season,casual,registered,atemp,weathersit,hr,windspeed,holiday,temp,mnth,hum,weekday,yr,workingday,cnt
1.0,15.0,52.0,0.4394,2.0,17.0,0.2836,0.0,0.44,1.0,0.82,6.0,0.0,0.0,67.0
1.0,9.0,26.0,0.4242,3.0,18.0,0.2537,0.0,0.42,1.0,0.88,6.0,0.0,0.0,35.0
1.0,6.0,31.0,0.4242,3.0,19.0,0.2537,0.0,0.42,1.0,0.88,6.0,0.0,0.0,37.0
1.0,11.0,25.0,0.4091,2.0,20.0,0.2537,0.0,0.4,1.0,0.87,6.0,0.0,0.0,36.0
1.0,3.0,31.0,0.4091,2.0,21.0,0.194,0.0,0.4,1.0,0.87,6.0,0.0,0.0,34.0
1.0,11.0,17.0,0.4091,2.0,22.0,0.2239,0.0,0.4,1.0,0.94,6.0,0.0,0.0,28.0
1.0,15.0,24.0,0.4545,2.0,23.0,0.2985,0.0,0.46,1.0,0.88,6.0,0.0,0.0,39.0
1.0,4.0,13.0,0.4545,2.0,0.0,0.2985,0.0,0.46,1.0,0.88,0.0,0.0,0.0,17.0
1.0,1.0,16.0,0.4394,2.0,1.0,0.2537,0.0,0.44,1.0,0.94,0.0,0.0,0.0,17.0
1.0,1.0,8.0,0.4242,2.0,2.0,0.2836,0.0,0.42,1.0,1.0,0.0,0.0,0.0,9.0
1.0,2.0,4.0,0.4545,2.0,3.0,0.194,0.0,0.46,1.0,0.94,0.0,0.0,0.0,6.0
1.0,2.0,1.0,0.4545,2.0,4.0,0.194,0.0,0.46,1.0,0.94,0.0,0.0,0.0,3.0
1.0,0.0,2.0,0.4242,3.0,6.0,0.2985,0.0,0.42,1.0,0.77,0.0,0.0,0.0,2.0
1.0,0.0,1.0,0.4091,2.0,7.0,0.194,0.0,0.4,1.0,0.76,0.0,0.0,0.0,1.0
1.0,0.0,8.0,0.4091,3.0,8.0,0.2239,0.0,0.4,1.0,0.71,0.0,0.0,0.0,8.0
1.0,1.0,19.0,0.3939,2.0,9.0,0.2239,0.0,0.38,1.0,0.76,0.0,0.0,0.0,20.0
1.0,7.0,46.0,0.3485,2.0,10.0,0.2239,0.0,0.36,1.0,0.81,0.0,0.0,0.0,53.0
1.0,16.0,54.0,0.3333,2.0,11.0,0.2537,0.0,0.36,1.0,0.71,0.0,0.0,0.0,70.0
1.0,20.0,73.0,0.3333,2.0,12.0,0.2985,0.0,0.36,1.0,0.66,0.0,0.0,0.0,93.0
1.0,11.0,64.0,0.3485,2.0,13.0,0.1343,0.0,0.36,1.0,0.66,0.0,0.0,0.0,75.0
1.0,4.0,55.0,0.3485,3.0,14.0,0.194,0.0,0.36,1.0,0.76,0.0,0.0,0.0,59.0
1.0,19.0,55.0,0.3333,3.0,15.0,0.1642,0.0,0.34,1.0,0.81,0.0,0.0,0.0,74.0
1.0,9.0,67.0,0.3333,3.0,16.0,0.1642,0.0,0.34,1.0,0.71,0.0,0.0,0.0,76.0
1.0,7.0,58.0,0.3333,1.0,17.0,0.194,0.0,0.34,1.0,0.57,0.0,0.0,0.0,65.0
1.0,10.0,43.0,0.3333,2.0,18.0,0.3284,0.0,0.36,1.0,0.46,0.0,0.0,0.0,53.0
1.0,1.0,29.0,0.2879,1.0,19.0,0.4478,0.0,0.32,1.0,0.42,0.0,0.0,0.0,30.0
1.0,5.0,17.0,0.2727,1.0,20.0,0.3582,0.0,0.3,1.0,0.39,0.0,0.0,0.0,22.0
1.0,11.0,20.0,0.2273,1.0,21.0,0.3284,0.0,0.26,1.0,0.44,0.0,0.0,0.0,31.0
1.0,0.0,9.0,0.2121,1.0,22.0,0.2985,0.0,0.24,1.0,0.44,0.0,0.0,0.0,9.0
1.0,0.0,8.0,0.2273,1.0,23.0,0.1642,0.0,0.22,1.0,0.47,0.0,0.0,0.0,8.0
1.0,0.0,5.0,0.197,1.0,0.0,0.3582,0.0,0.22,1.0,0.44,1.0,0.0,1.0,5.0
1.0,0.0,2.0,0.1667,1.0,1.0,0.4179,0.0,0.2,1.0,0.44,1.0,0.0,1.0,2.0
1.0,0.0,1.0,0.1364,1.0,4.0,0.3881,0.0,0.16,1.0,0.47,1.0,0.0,1.0,1.0
1.0,0.0,3.0,0.1364,1.0,5.0,0.2836,0.0,0.16,1.0,0.47,1.0,0.0,1.0,3.0
1.0,0.0,30.0,0.1061,1.0,6.0,0.3881,0.0,0.14,1.0,0.5,1.0,0.0,1.0,30.0
1.0,1.0,63.0,0.1364,1.0,7.0,0.194,0.0,0.14,1.0,0.5,1.0,0.0,1.0,64.0
1.0,1.0,153.0,0.1212,1.0,8.0,0.2836,0.0,0.14,1.0,0.5,1.0,0.0,1.0,154.0
1.0,7.0,81.0,0.1364,1.0,9.0,0.3881,0.0,0.16,1.0,0.43,1.0,0.0,1.0,88.0
1.0,11.0,33.0,0.1667,1.0,10.0,0.2537,0.0,0.18,1.0,0.43,1.0,0.0,1.0,44.0
1.0,10.0,41.0,0.1818,1.0,11.0,0.3284,0.0,0.2,1.0,0.4,1.0,0.0,1.0,51.0
1.0,13.0,48.0,0.2121,1.0,12.0,0.2985,0.0,0.22,1.0,0.35,1.0,0.0,1.0,61.0
1.0,8.0,53.0,0.2121,1.0,13.0,0.2836,0.0,0.24,1.0,0.35,1.0,0.0,1.0,61.0
1.0,11.0,66.0,0.2424,1.0,14.0,0.2836,0.0,0.26,1.0,0.3,1.0,0.0,1.0,77.0
1.0,14.0,58.0,0.2424,1.0,15.0,0.2537,0.0,0.26,1.0,0.3,1.0,0.0,1.0,72.0
1.0,9.0,67.0,0.2424,1.0,16.0,0.2537,0.0,0.26,1.0,0.3,1.0,0.0,1.0,76.0
1.0,11.0,146.0,0.2273,1.0,17.0,0.2239,0.0,0.24,1.0,0.3,1.0,0.0,1.0,157.0
1.0,9.0,148.0,0.2576,1.0,18.0,0.1045,0.0,0.24,1.0,0.32,1.0,0.0,1.0,157.0
1.0,8.0,102.0,0.2576,1.0,19.0,0.0,0.0,0.2,1.0,0.47,1.0,0.0,1.0,110.0
1.0,3.0,49.0,0.2273,1.0,20.0,0.1045,0.0,0.2,1.0,0.47,1.0,0.0,1.0,52.0
1.0,3.0,49.0,0.197,1.0,21.0,0.1343,0.0,0.18,1.0,0.64,1.0,0.0,1.0,52.0
1.0,0.0,20.0,0.1515,1.0,22.0,0.1343,0.0,0.14,1.0,0.69,1.0,0.0,1.0,20.0
1.0,1.0,11.0,0.2121,1.0,23.0,0.1045,0.0,0.18,1.0,0.55,1.0,0.0,1.0,12.0
1.0,0.0,5.0,0.1818,1.0,0.0,0.1045,0.0,0.16,1.0,0.55,2.0,0.0,1.0,5.0
1.0,0.0,2.0,0.1818,1.0,1.0,0.1045,0.0,0.16,1.0,0.59,2.0,0.0,1.0,2.0
1.0,0.0,1.0,0.1515,1.0,2.0,0.1343,0.0,0.14,1.0,0.63,2.0,0.0,1.0,1.0
1.0,0.0,2.0,0.1818,1.0,4.0,0.0896,0.0,0.14,1.0,0.63,2.0,0.0,1.0,2.0
1.0,0.0,4.0,0.1515,1.0,5.0,0.1045,0.0,0.12,1.0,0.68,2.0,0.0,1.0,4.0
1.0,0.0,36.0,0.1515,1.0,6.0,0.1045,0.0,0.12,1.0,0.74,2.0,0.0,1.0,36.0
1.0,2.0,92.0,0.1515,1.0,7.0,0.1343,0.0,0.12,1.0,0.74,2.0,0.0,1.0,94.0
1.0,2.0,177.0,0.1515,1.0,8.0,0.1642,0.0,0.14,1.0,0.69,2.0,0.0,1.0,179.0
1.0,2.0,98.0,0.1515,1.0,9.0,0.2239,0.0,0.16,1.0,0.64,2.0,0.0,1.0,100.0
1.0,5.0,37.0,0.1364,2.0,10.0,0.3284,0.0,0.16,1.0,0.69,2.0,0.0,1.0,42.0
1.0,7.0,50.0,0.2121,1.0,11.0,0.2985,0.0,0.22,1.0,0.51,2.0,0.0,1.0,57.0
1.0,12.0,66.0,0.2273,1.0,12.0,0.1642,0.0,0.22,1.0,0.51,2.0,0.0,1.0,78.0
1.0,18.0,79.0,0.2273,1.0,13.0,0.194,0.0,0.24,1.0,0.56,2.0,0.0,1.0,97.0
1.0,9.0,54.0,0.2576,1.0,14.0,0.2239,0.0,0.26,1.0,0.52,2.0,0.0,1.0,63.0
1.0,17.0,48.0,0.2727,1.0,15.0,0.2537,0.0,0.28,1.0,0.52,2.0,0.0,1.0,65.0
1.0,15.0,68.0,0.2879,1.0,16.0,0.2537,0.0,0.3,1.0,0.49,2.0,0.0,1.0,83.0
1.0,10.0,202.0,0.2727,1.0,17.0,0.2239,0.0,0.28,1.0,0.48,2.0,0.0,1.0,212.0
1.0,3.0,179.0,0.2576,1.0,18.0,0.194,0.0,0.26,1.0,0.48,2.0,0.0,1.0,182.0
1.0,2.0,110.0,0.2576,1.0,19.0,0.1045,0.0,0.24,1.0,0.48,2.0,0.0,1.0,112.0
1.0,1.0,53.0,0.2576,1.0,20.0,0.1045,0.0,0.24,1.0,0.48,2.0,0.0,1.0,54.0
1.0,0.0,48.0,0.2727,1.0,21.0,0.0,0.0,0.22,1.0,0.64,2.0,0.0,1.0,48.0
1.0,1.0,34.0,0.2576,1.0,22.0,0.0896,0.0,0.22,1.0,0.64,2.0,0.0,1.0,35.0
1.0,2.0,9.0,0.2273,1.0,23.0,0.0896,0.0,0.2,1.0,0.69,2.0,0.0,1.0,11.0
1.0,0.0,6.0,0.2576,1.0,0.0,0.0,0.0,0.2,1.0,0.64,3.0,0.0,1.0,6.0
1.0,0.0,6.0,0.197,1.0,1.0,0.0896,0.0,0.16,1.0,0.74,3.0,0.0,1.0,6.0
1.0,0.0,2.0,0.197,1.0,2.0,0.0896,0.0,0.16,1.0,0.74,3.0,0.0,1.0,2.0
1.0,0.0,2.0,0.2273,1.0,4.0,0.2239,0.0,0.24,1.0,0.48,3.0,0.0,1.0,2.0
1.0,0.0,3.0,0.2273,1.0,5.0,0.1642,0.0,0.22,1.0,0.47,3.0,0.0,1.0,3.0
1.0,0.0,33.0,0.197,1.0,6.0,0.2239,0.0,0.2,1.0,0.47,3.0,0.0,1.0,33.0
1.0,1.0,87.0,0.1818,1.0,7.0,0.194,0.0,0.18,1.0,0.43,3.0,0.0,1.0,88.0
1.0,3.0,192.0,0.1818,1.0,8.0,0.2985,0.0,0.2,1.0,0.4,3.0,0.0,1.0,195.0
1.0,6.0,109.0,0.197,1.0,9.0,0.3284,0.0,0.22,1.0,0.37,3.0,0.0,1.0,115.0
1.0,4.0,53.0,0.197,1.0,10.0,0.3284,0.0,0.22,1.0,0.37,3.0,0.0,1.0,57.0
1.0,12.0,34.0,0.2273,1.0,11.0,0.3284,0.0,0.26,1.0,0.33,3.0,0.0,1.0,46.0
1.0,5.0,74.0,0.2273,1.0,12.0,0.3284,0.0,0.26,1.0,0.33,3.0,0.0,1.0,79.0
1.0,6.0,65.0,0.2576,1.0,13.0,0.2985,0.0,0.28,1.0,0.3,3.0,0.0,1.0,71.0
1.0,10.0,52.0,0.2879,1.0,14.0,0.194,0.0,0.3,1.0,0.28,3.0,0.0,1.0,62.0
1.0,7.0,55.0,0.2879,1.0,15.0,0.194,0.0,0.3,1.0,0.28,3.0,0.0,1.0,62.0
1.0,4.0,85.0,0.3182,1.0,16.0,0.0896,0.0,0.3,1.0,0.28,3.0,0.0,1.0,89.0
1.0,4.0,186.0,0.2273,1.0,17.0,0.194,0.0,0.24,1.0,0.38,3.0,0.0,1.0,190.0
1.0,3.0,166.0,0.2424,1.0,18.0,0.1343,0.0,0.24,1.0,0.38,3.0,0.0,1.0,169.0
1.0,5.0,127.0,0.2576,1.0,19.0,0.1045,0.0,0.24,1.0,0.38,3.0,0.0,1.0,132.0
1.0,7.0,82.0,0.2273,1.0,20.0,0.1642,0.0,0.22,1.0,0.47,3.0,0.0,1.0,89.0
1.0,3.0,40.0,0.197,1.0,21.0,0.194,0.0,0.2,1.0,0.51,3.0,0.0,1.0,43.0
1.0,1.0,41.0,0.197,1.0,22.0,0.1343,0.0,0.18,1.0,0.55,3.0,0.0,1.0,42.0
1.0,1.0,18.0,0.2576,1.0,23.0,0.0,0.0,0.2,1.0,0.47,3.0,0.0,1.0,19.0
1.0,0.0,11.0,0.2424,1.0,0.0,0.0,0.0,0.18,1.0,0.55,4.0,0.0,1.0,11.0
1.0,0.0,4.0,0.2273,1.0,1.0,0.0,0.0,0.16,1.0,0.64,4.0,0.0,1.0,4.0
1.0,0.0,2.0,0.2273,1.0,2.0,0.0,0.0,0.16,1.0,0.64,4.0,0.0,1.0,2.0
1.0,0.0,1.0,0.197,2.0,4.0,0.0896,0.0,0.16,1.0,0.64,4.0,0.0,1.0,1.0
1.0,0.0,4.0,0.1818,2.0,5.0,0.0896,0.0,0.14,1.0,0.69,4.0,0.0,1.0,4.0
1.0,0.0,36.0,0.1667,2.0,6.0,0.1045,0.0,0.14,1.0,0.63,4.0,0.0,1.0,36.0
1.0,0.0,95.0,0.2273,2.0,7.0,0.0,0.0,0.16,1.0,0.59,4.0,0.0,1.0,95.0
1.0,3.0,216.0,0.2273,1.0,8.0,0.0,0.0,0.16,1.0,0.59,4.0,0.0,1.0,219.0
1.0,6.0,116.0,0.2424,2.0,9.0,0.0,0.0,0.18,1.0,0.51,4.0,0.0,1.0,122.0
1.0,3.0,42.0,0.2576,1.0,10.0,0.0,0.0,0.2,1.0,0.47,4.0,0.0,1.0,45.0
1.0,2.0,57.0,0.2576,1.0,11.0,0.0896,0.0,0.22,1.0,0.44,4.0,0.0,1.0,59.0
1.0,6.0,78.0,0.2879,1.0,12.0,0.0,0.0,0.26,1.0,0.35,4.0,0.0,1.0,84.0
1.0,12.0,55.0,0.2727,1.0,13.0,0.1045,0.0,0.26,1.0,0.35,4.0,0.0,1.0,67.0
1.0,11.0,59.0,0.2727,1.0,14.0,0.1642,0.0,0.28,1.0,0.36,4.0,0.0,1.0,70.0
1.0,8.0,54.0,0.2727,1.0,15.0,0.0,0.0,0.28,1.0,0.36,4.0,0.0,1.0,62.0
1.0,12.0,74.0,0.2576,1.0,16.0,0.1642,0.0,0.26,1.0,0.38,4.0,0.0,1.0,86.0
1.0,9.0,163.0,0.2273,1.0,17.0,0.1642,0.0,0.22,1.0,0.51,4.0,0.0,1.0,172.0
1.0,5.0,158.0,0.2273,1.0,18.0,0.1343,0.0,0.22,1.0,0.51,4.0,0.0,1.0,163.0
1.0,3.0,109.0,0.2576,1.0,19.0,0.0896,0.0,0.22,1.0,0.55,4.0,0.0,1.0,112.0
1.0,3.0,66.0,0.2121,1.0,20.0,0.1642,0.0,0.2,1.0,0.51,4.0,0.0,1.0,69.0
1.0,0.0,48.0,0.2121,2.0,21.0,0.2239,0.0,0.22,1.0,0.55,4.0,0.0,1.0,48.0
1.0,1.0,51.0,0.2121,2.0,22.0,0.2836,0.0,0.22,1.0,0.51,4.0,0.0,1.0,52.0
1.0,4.0,19.0,0.197,2.0,23.0,0.194,0.0,0.2,1.0,0.59,4.0,0.0,1.0,23.0
1.0,4.0,13.0,0.197,2.0,0.0,0.194,0.0,0.2,1.0,0.64,5.0,0.0,1.0,17.0
1.0,2.0,5.0,0.197,2.0,1.0,0.2239,0.0,0.2,1.0,0.69,5.0,0.0,1.0,7.0
1.0,0.0,1.0,0.197,2.0,2.0,0.2239,0.0,0.2,1.0,0.69,5.0,0.0,1.0,1.0
1.0,0.0,1.0,0.2121,2.0,4.0,0.1343,0.0,0.2,1.0,0.69,5.0,0.0,1.0,1.0
1.0,0.0,5.0,0.2727,3.0,5.0,0.0,0.0,0.22,1.0,0.55,5.0,0.0,1.0,5.0
1.0,8.0,26.0,0.2576,2.0,6.0,0.0,0.0,0.2,1.0,0.69,5.0,0.0,1.0,34.0
1.0,8.0,76.0,0.2121,1.0,7.0,0.1343,0.0,0.2,1.0,0.69,5.0,0.0,1.0,84.0
1.0,20.0,190.0,0.197,1.0,8.0,0.2537,0.0,0.2,1.0,0.51,5.0,0.0,1.0,210.0
1.0,9.0,125.0,0.1818,1.0,9.0,0.2985,0.0,0.2,1.0,0.47,5.0,0.0,1.0,134.0
1.0,16.0,47.0,0.197,1.0,10.0,0.3284,0.0,0.22,1.0,0.37,5.0,0.0,1.0,63.0
1.0,19.0,48.0,0.197,2.0,11.0,0.2239,0.0,0.2,1.0,0.4,5.0,0.0,1.0,67.0
1.0,9.0,50.0,0.197,2.0,12.0,0.2537,0.0,0.2,1.0,0.37,5.0,0.0,1.0,59.0
1.0,9.0,64.0,0.1818,2.0,13.0,0.2836,0.0,0.2,1.0,0.37,5.0,0.0,1.0,73.0
1.0,7.0,43.0,0.197,2.0,14.0,0.2537,0.0,0.2,1.0,0.4,5.0,0.0,1.0,50.0
1.0,9.0,63.0,0.2121,2.0,15.0,0.1642,0.0,0.2,1.0,0.37,5.0,0.0,1.0,72.0
1.0,5.0,82.0,0.2121,2.0,16.0,0.1642,0.0,0.2,1.0,0.37,5.0,0.0,1.0,87.0
1.0,9.0,178.0,0.2576,2.0,17.0,0.0,0.0,0.2,1.0,0.37,5.0,0.0,1.0,187.0
1.0,7.0,116.0,0.2273,1.0,18.0,0.0896,0.0,0.2,1.0,0.4,5.0,0.0,1.0,123.0
1.0,3.0,92.0,0.197,1.0,19.0,0.0896,0.0,0.16,1.0,0.55,5.0,0.0,1.0,95.0
1.0,1.0,50.0,0.2121,1.0,20.0,0.1045,0.0,0.18,1.0,0.47,5.0,0.0,1.0,51.0
1.0,0.0,39.0,0.197,1.0,21.0,0.1343,0.0,0.18,1.0,0.47,5.0,0.0,1.0,39.0
1.0,2.0,34.0,0.197,2.0,22.0,0.1642,0.0,0.18,1.0,0.43,5.0,0.0,1.0,36.0
1.0,1.0,14.0,0.197,2.0,23.0,0.1642,0.0,0.18,1.0,0.51,5.0,0.0,1.0,15.0
1.0,1.0,24.0,0.197,2.0,0.0,0.1642,0.0,0.18,1.0,0.51,6.0,0.0,0.0,25.0
1.0,1.0,15.0,0.2121,2.0,1.0,0.0896,0.0,0.18,1.0,0.55,6.0,0.0,0.0,16.0
1.0,3.0,13.0,0.2424,2.0,2.0,0.0,0.0,0.18,1.0,0.55,6.0,0.0,0.0,16.0
1.0,0.0,7.0,0.197,3.0,3.0,0.1642,0.0,0.18,1.0,0.55,6.0,0.0,0.0,7.0
1.0,0.0,1.0,0.197,3.0,4.0,0.1642,0.0,0.18,1.0,0.55,6.0,0.0,0.0,1.0
1.0,0.0,5.0,0.1667,2.0,5.0,0.1642,0.0,0.16,1.0,0.74,6.0,0.0,0.0,5.0
1.0,0.0,2.0,0.1667,2.0,6.0,0.1642,0.0,0.16,1.0,0.74,6.0,0.0,0.0,2.0
1.0,1.0,8.0,0.1818,2.0,7.0,0.1045,0.0,0.16,1.0,0.74,6.0,0.0,0.0,9.0
1.0,0.0,15.0,0.1818,3.0,8.0,0.1045,0.0,0.16,1.0,0.93,6.0,0.0,0.0,15.0
1.0,0.0,20.0,0.1818,3.0,9.0,0.1045,0.0,0.16,1.0,0.93,6.0,0.0,0.0,20.0
1.0,5.0,56.0,0.197,2.0,10.0,0.1642,0.0,0.18,1.0,0.8,6.0,0.0,0.0,61.0
1.0,2.0,60.0,0.1818,2.0,11.0,0.3881,0.0,0.2,1.0,0.69,6.0,0.0,0.0,62.0
1.0,8.0,90.0,0.1818,2.0,12.0,0.3582,0.0,0.2,1.0,0.59,6.0,0.0,0.0,98.0
1.0,7.0,95.0,0.1818,1.0,13.0,0.3284,0.0,0.2,1.0,0.44,6.0,0.0,0.0,102.0
1.0,12.0,83.0,0.1667,1.0,14.0,0.4925,0.0,0.2,1.0,0.32,6.0,0.0,0.0,95.0
1.0,5.0,69.0,0.1667,1.0,15.0,0.4478,0.0,0.2,1.0,0.32,6.0,0.0,0.0,74.0
1.0,8.0,68.0,0.1364,1.0,16.0,0.4478,0.0,0.18,1.0,0.29,6.0,0.0,0.0,76.0
1.0,5.0,64.0,0.1212,1.0,17.0,0.5522,0.0,0.16,1.0,0.37,6.0,0.0,0.0,69.0
1.0,3.0,52.0,0.1212,1.0,18.0,0.2985,0.0,0.14,1.0,0.39,6.0,0.0,0.0,55.0
1.0,4.0,26.0,0.1212,1.0,19.0,0.2537,0.0,0.14,1.0,0.36,6.0,0.0,0.0,30.0
1.0,0.0,28.0,0.1212,1.0,20.0,0.2537,0.0,0.12,1.0,0.36,6.0,0.0,0.0,28.0
1.0,2.0,35.0,0.1061,1.0,21.0,0.3582,0.0,0.12,1.0,0.39,6.0,0.0,0.0,37.0
1.0,1.0,33.0,0.1061,1.0,22.0,0.3881,0.0,0.12,1.0,0.36,6.0,0.0,0.0,34.0
1.0,0.0,22.0,0.0606,1.0,23.0,0.4478,0.0,0.1,1.0,0.39,6.0,0.0,0.0,22.0
1.0,1.0,24.0,0.0758,1.0,0.0,0.3881,0.0,0.1,1.0,0.42,0.0,0.0,0.0,25.0
1.0,0.0,12.0,0.0606,1.0,1.0,0.4627,0.0,0.1,1.0,0.42,0.0,0.0,0.0,12.0
1.0,0.0,11.0,0.0606,1.0,2.0,0.4627,0.0,0.1,1.0,0.46,0.0,0.0,0.0,11.0
1.0,0.0,4.0,0.0758,1.0,3.0,0.4179,0.0,0.1,1.0,0.46,0.0,0.0,0.0,4.0
1.0,0.0,1.0,0.0909,1.0,4.0,0.194,0.0,0.08,1.0,0.53,0.0,0.0,0.0,1.0
1.0,0.0,1.0,0.0909,1.0,5.0,0.194,0.0,0.08,1.0,0.53,0.0,0.0,0.0,1.0
1.0,0.0,1.0,0.0909,1.0,6.0,0.2836,0.0,0.1,1.0,0.49,0.0,0.0,0.0,1.0
1.0,1.0,5.0,0.0909,1.0,7.0,0.194,0.0,0.08,1.0,0.53,0.0,0.0,0.0,6.0
1.0,0.0,10.0,0.0909,1.0,8.0,0.2836,0.0,0.1,1.0,0.49,0.0,0.0,0.0,10.0
1.0,0.0,19.0,0.0758,1.0,9.0,0.5224,0.0,0.12,1.0,0.46,0.0,0.0,0.0,19.0
1.0,0.0,49.0,0.1061,1.0,10.0,0.3881,0.0,0.14,1.0,0.43,0.0,0.0,0.0,49.0
1.0,2.0,47.0,0.1212,1.0,11.0,0.5224,0.0,0.16,1.0,0.4,0.0,0.0,0.0,49.0
1.0,4.0,79.0,0.1364,1.0,12.0,0.4478,0.0,0.18,1.0,0.37,0.0,0.0,0.0,83.0
1.0,6.0,69.0,0.1667,1.0,13.0,0.4478,0.0,0.2,1.0,0.34,0.0,0.0,0.0,75.0
1.0,8.0,64.0,0.1818,1.0,14.0,0.4627,0.0,0.22,1.0,0.32,0.0,0.0,0.0,72.0
1.0,5.0,77.0,0.197,1.0,15.0,0.3582,0.0,0.22,1.0,0.35,0.0,0.0,0.0,82.0
1.0,13.0,79.0,0.1667,1.0,16.0,0.4478,0.0,0.2,1.0,0.34,0.0,0.0,0.0,92.0
1.0,3.0,59.0,0.1515,1.0,17.0,0.3881,0.0,0.18,1.0,0.37,0.0,0.0,0.0,62.0
1.0,4.0,44.0,0.1364,1.0,18.0,0.3284,0.0,0.16,1.0,0.4,0.0,0.0,0.0,48.0
1.0,1.0,40.0,0.1364,1.0,19.0,0.3284,0.0,0.16,1.0,0.43,0.0,0.0,0.0,41.0
1.0,0.0,38.0,0.1212,1.0,20.0,0.2537,0.0,0.14,1.0,0.46,0.0,0.0,0.0,38.0
1.0,1.0,19.0,0.1061,1.0,21.0,0.4179,0.0,0.14,1.0,0.46,0.0,0.0,0.0,20.0
1.0,5.0,10.0,0.1212,1.0,22.0,0.2985,0.0,0.14,1.0,0.46,0.0,0.0,0.0,15.0
1.0,0.0,6.0,0.1364,1.0,23.0,0.194,0.0,0.12,1.0,0.5,0.0,0.0,0.0,6.0
1.0,2.0,3.0,0.1212,1.0,0.0,0.2836,0.0,0.12,1.0,0.5,1.0,0.0,1.0,5.0
1.0,1.0,0.0,0.1212,1.0,1.0,0.2836,0.0,0.12,1.0,0.5,1.0,0.0,1.0,1.0
1.0,0.0,3.0,0.1212,1.0,2.0,0.2239,0.0,0.12,1.0,0.5,1.0,0.0,1.0,3.0
1.0,0.0,1.0,0.1212,1.0,3.0,0.2239,0.0,0.12,1.0,0.5,1.0,0.0,1.0,1.0
1.0,1.0,2.0,0.1212,1.0,4.0,0.1343,0.0,0.1,1.0,0.54,1.0,0.0,1.0,3.0
1.0,0.0,3.0,0.1061,1.0,5.0,0.2537,0.0,0.1,1.0,0.54,1.0,0.0,1.0,3.0
1.0,0.0,31.0,0.1212,1.0,6.0,0.2836,0.0,0.12,1.0,0.5,1.0,0.0,1.0,31.0
1.0,2.0,75.0,0.1212,1.0,7.0,0.2239,0.0,0.12,1.0,0.5,1.0,0.0,1.0,77.0
1.0,4.0,184.0,0.1212,2.0,8.0,0.2836,0.0,0.12,1.0,0.5,1.0,0.0,1.0,188.0
1.0,2.0,92.0,0.1212,2.0,9.0,0.2537,0.0,0.14,1.0,0.5,1.0,0.0,1.0,94.0
1.0,0.0,31.0,0.1212,2.0,10.0,0.2985,0.0,0.14,1.0,0.5,1.0,0.0,1.0,31.0
1.0,2.0,28.0,0.1364,2.0,11.0,0.2836,0.0,0.16,1.0,0.47,1.0,0.0,1.0,30.0
1.0,5.0,47.0,0.1818,2.0,12.0,0.2836,0.0,0.2,1.0,0.4,1.0,0.0,1.0,52.0
1.0,4.0,50.0,0.1818,2.0,13.0,0.2836,0.0,0.2,1.0,0.4,1.0,0.0,1.0,54.0
1.0,0.0,47.0,0.197,2.0,14.0,0.2239,0.0,0.2,1.0,0.4,1.0,0.0,1.0,47.0
1.0,2.0,43.0,0.197,2.0,15.0,0.2239,0.0,0.2,1.0,0.4,1.0,0.0,1.0,45.0
