casual,yr,holiday,windspeed,atemp,temp,hum,workingday,weathersit,season,weekday,mnth,hr,cnt,registered
0.0,0.0,0.0,0.0,0.2273,0.16,0.64,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0
0.0,0.0,0.0,0.0896,0.197,0.16,0.64,1.0,2.0,1.0,4.0,1.0,4.0,1.0,1.0
0.0,0.0,0.0,0.0896,0.1818,0.14,0.69,1.0,2.0,1.0,4.0,1.0,5.0,4.0,4.0
0.0,0.0,0.0,0.1045,0.1667,0.14,0.63,1.0,2.0,1.0,4.0,1.0,6.0,36.0,36.0
0.0,0.0,0.0,0.0,0.2273,0.16,0.59,1.0,2.0,1.0,4.0,1.0,7.0,95.0,95.0
3.0,0.0,0.0,0.0,0.2273,0.16,0.59,1.0,1.0,1.0,4.0,1.0,8.0,219.0,216.0
6.0,0.0,0.0,0.0,0.2424,0.18,0.51,1.0,2.0,1.0,4.0,1.0,9.0,122.0,116.0
3.0,0.0,0.0,0.0,0.2576,0.2,0.47,1.0,1.0,1.0,4.0,1.0,10.0,45.0,42.0
2.0,0.0,0.0,0.0896,0.2576,0.22,0.44,1.0,1.0,1.0,4.0,1.0,11.0,59.0,57.0
6.0,0.0,0.0,0.0,0.2879,0.26,0.35,1.0,1.0,1.0,4.0,1.0,12.0,84.0,78.0
12.0,0.0,0.0,0.1045,0.2727,0.26,0.35,1.0,1.0,1.0,4.0,1.0,13.0,67.0,55.0
11.0,0.0,0.0,0.1642,0.2727,0.28,0.36,1.0,1.0,1.0,4.0,1.0,14.0,70.0,59.0
8.0,0.0,0.0,0.0,0.2727,0.28,0.36,1.0,1.0,1.0,4.0,1.0,15.0,62.0,54.0
12.0,0.0,0.0,0.1642,0.2576,0.26,0.38,1.0,1.0,1.0,4.0,1.0,16.0,86.0,74.0
9.0,0.0,0.0,0.1642,0.2273,0.22,0.51,1.0,1.0,1.0,4.0,1.0,17.0,172.0,163.0
5.0,0.0,0.0,0.1343,0.2273,0.22,0.51,1.0,1.0,1.0,4.0,1.0,18.0,163.0,158.0
3.0,0.0,0.0,0.0896,0.2576,0.22,0.55,1.0,1.0,1.0,4.0,1.0,19.0,112.0,109.0
3.0,0.0,0.0,0.1642,0.2121,0.2,0.51,1.0,1.0,1.0,4.0,1.0,20.0,69.0,66.0
0.0,0.0,0.0,0.2239,0.2121,0.22,0.55,1.0,2.0,1.0,4.0,1.0,21.0,48.0,48.0
1.0,0.0,0.0,0.2836,0.2121,0.22,0.51,1.0,2.0,1.0,4.0,1.0,22.0,52.0,51.0
4.0,0.0,0.0,0.194,0.197,0.2,0.59,1.0,2.0,1.0,4.0,1.0,23.0,23.0,19.0
4.0,0.0,0.0,0.194,0.197,0.2,0.64,1.0,2.0,1.0,5.0,1.0,0.0,17.0,13.0
2.0,0.0,0.0,0.2239,0.197,0.2,0.69,1.0,2.0,1.0,5.0,1.0,1.0,7.0,5.0
0.0,0.0,0.0,0.2239,0.197,0.2,0.69,1.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0
0.0,0.0,0.0,0.1343,0.2121,0.2,0.69,1.0,2.0,1.0,5.0,1.0,4.0,1.0,1.0
0.0,0.0,0.0,0.0,0.2727,0.22,0.55,1.0,3.0,1.0,5.0,1.0,5.0,5.0,5.0
8.0,0.0,0.0,0.0,0.2576,0.2,0.69,1.0,2.0,1.0,5.0,1.0,6.0,34.0,26.0
8.0,0.0,0.0,0.1343,0.2121,0.2,0.69,1.0,1.0,1.0,5.0,1.0,7.0,84.0,76.0
20.0,0.0,0.0,0.2537,0.197,0.2,0.51,1.0,1.0,1.0,5.0,1.0,8.0,210.0,190.0
9.0,0.0,0.0,0.2985,0.1818,0.2,0.47,1.0,1.0,1.0,5.0,1.0,9.0,134.0,125.0
16.0,0.0,0.0,0.3284,0.197,0.22,0.37,1.0,1.0,1.0,5.0,1.0,10.0,63.0,47.0
19.0,0.0,0.0,0.2239,0.197,0.2,0.4,1.0,2.0,1.0,5.0,1.0,11.0,67.0,48.0
9.0,0.0,0.0,0.2537,0.197,0.2,0.37,1.0,2.0,1.0,5.0,1.0,12.0,59.0,50.0
9.0,0.0,0.0,0.2836,0.1818,0.2,0.37,1.0,2.0,1.0,5.0,1.0,13.0,73.0,64.0
7.0,0.0,0.0,0.2537,0.197,0.2,0.4,1.0,2.0,1.0,5.0,1.0,14.0,50.0,43.0
9.0,0.0,0.0,0.1642,0.2121,0.2,0.37,1.0,2.0,1.0,5.0,1.0,15.0,72.0,63.0
5.0,0.0,0.0,0.1642,0.2121,0.2,0.37,1.0,2.0,1.0,5.0,1.0,16.0,87.0,82.0
9.0,0.0,0.0,0.0,0.2576,0.2,0.37,1.0,2.0,1.0,5.0,1.0,17.0,187.0,178.0
7.0,0.0,0.0,0.0896,0.2273,0.2,0.4,1.0,1.0,1.0,5.0,1.0,18.0,123.0,116.0
3.0,0.0,0.0,0.0896,0.197,0.16,0.55,1.0,1.0,1.0,5.0,1.0,19.0,95.0,92.0
1.0,0.0,0.0,0.1045,0.2121,0.18,0.47,1.0,1.0,1.0,5.0,1.0,20.0,51.0,50.0
0.0,0.0,0.0,0.1343,0.197,0.18,0.47,1.0,1.0,1.0,5.0,1.0,21.0,39.0,39.0
2.0,0.0,0.0,0.1642,0.197,0.18,0.43,1.0,2.0,1.0,5.0,1.0,22.0,36.0,34.0
1.0,0.0,0.0,0.1642,0.197,0.18,0.51,1.0,2.0,1.0,5.0,1.0,23.0,15.0,14.0
1.0,0.0,0.0,0.1642,0.197,0.18,0.51,0.0,2.0,1.0,6.0,1.0,0.0,25.0,24.0
1.0,0.0,0.0,0.0896,0.2121,0.18,0.55,0.0,2.0,1.0,6.0,1.0,1.0,16.0,15.0
3.0,0.0,0.0,0.0,0.2424,0.18,0.55,0.0,2.0,1.0,6.0,1.0,2.0,16.0,13.0
0.0,0.0,0.0,0.1642,0.197,0.18,0.55,0.0,3.0,1.0,6.0,1.0,3.0,7.0,7.0
0.0,0.0,0.0,0.1642,0.197,0.18,0.55,0.0,3.0,1.0,6.0,1.0,4.0,1.0,1.0
0.0,0.0,0.0,0.1642,0.1667,0.16,0.74,0.0,2.0,1.0,6.0,1.0,5.0,5.0,5.0
0.0,0.0,0.0,0.1642,0.1667,0.16,0.74,0.0,2.0,1.0,6.0,1.0,6.0,2.0,2.0
1.0,0.0,0.0,0.1045,0.1818,0.16,0.74,0.0,2.0,1.0,6.0,1.0,7.0,9.0,8.0
0.0,0.0,0.0,0.1045,0.1818,0.16,0.93,0.0,3.0,1.0,6.0,1.0,8.0,15.0,15.0
0.0,0.0,0.0,0.1045,0.1818,0.16,0.93,0.0,3.0,1.0,6.0,1.0,9.0,20.0,20.0
5.0,0.0,0.0,0.1642,0.197,0.18,0.8,0.0,2.0,1.0,6.0,1.0,10.0,61.0,56.0
2.0,0.0,0.0,0.3881,0.1818,0.2,0.69,0.0,2.0,1.0,6.0,1.0,11.0,62.0,60.0
8.0,0.0,0.0,0.3582,0.1818,0.2,0.59,0.0,2.0,1.0,6.0,1.0,12.0,98.0,90.0
7.0,0.0,0.0,0.3284,0.1818,0.2,0.44,0.0,1.0,1.0,6.0,1.0,13.0,102.0,95.0
12.0,0.0,0.0,0.4925,0.1667,0.2,0.32,0.0,1.0,1.0,6.0,1.0,14.0,95.0,83.0
5.0,0.0,0.0,0.4478,0.1667,0.2,0.32,0.0,1.0,1.0,6.0,1.0,15.0,74.0,69.0
8.0,0.0,0.0,0.4478,0.1364,0.18,0.29,0.0,1.0,1.0,6.0,1.0,16.0,76.0,68.0
5.0,0.0,0.0,0.5522,0.1212,0.16,0.37,0.0,1.0,1.0,6.0,1.0,17.0,69.0,64.0
3.0,0.0,0.0,0.2985,0.1212,0.14,0.39,0.0,1.0,1.0,6.0,1.0,18.0,55.0,52.0
4.0,0.0,0.0,0.2537,0.1212,0.14,0.36,0.0,1.0,1.0,6.0,1.0,19.0,30.0,26.0
0.0,0.0,0.0,0.2537,0.1212,0.12,0.36,0.0,1.0,1.0,6.0,1.0,20.0,28.0,28.0
2.0,0.0,0.0,0.3582,0.1061,0.12,0.39,0.0,1.0,1.0,6.0,1.0,21.0,37.0,35.0
1.0,0.0,0.0,0.3881,0.1061,0.12,0.36,0.0,1.0,1.0,6.0,1.0,22.0,34.0,33.0
0.0,0.0,0.0,0.4478,0.0606,0.1,0.39,0.0,1.0,1.0,6.0,1.0,23.0,22.0,22.0
1.0,0.0,0.0,0.3881,0.0758,0.1,0.42,0.0,1.0,1.0,0.0,1.0,0.0,25.0,24.0
0.0,0.0,0.0,0.4627,0.0606,0.1,0.42,0.0,1.0,1.0,0.0,1.0,1.0,12.0,12.0
0.0,0.0,0.0,0.4627,0.0606,0.1,0.46,0.0,1.0,1.0,0.0,1.0,2.0,11.0,11.0
0.0,0.0,0.0,0.4179,0.0758,0.1,0.46,0.0,1.0,1.0,0.0,1.0,3.0,4.0,4.0
0.0,0.0,0.0,0.194,0.0909,0.08,0.53,0.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0
0.0,0.0,0.0,0.194,0.0909,0.08,0.53,0.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0
0.0,0.0,0.0,0.2836,0.0909,0.1,0.49,0.0,1.0,1.0,0.0,1.0,6.0,1.0,1.0
1.0,0.0,0.0,0.194,0.0909,0.08,0.53,0.0,1.0,1.0,0.0,1.0,7.0,6.0,5.0
0.0,0.0,0.0,0.2836,0.0909,0.1,0.49,0.0,1.0,1.0,0.0,1.0,8.0,10.0,10.0
0.0,0.0,0.0,0.5224,0.0758,0.12,0.46,0.0,1.0,1.0,0.0,1.0,9.0,19.0,19.0
0.0,0.0,0.0,0.3881,0.1061,0.14,0.43,0.0,1.0,1.0,0.0,1.0,10.0,49.0,49.0
2.0,0.0,0.0,0.5224,0.1212,0.16,0.4,0.0,1.0,1.0,0.0,1.0,11.0,49.0,47.0
4.0,0.0,0.0,0.4478,0.1364,0.18,0.37,0.0,1.0,1.0,0.0,1.0,12.0,83.0,79.0
6.0,0.0,0.0,0.4478,0.1667,0.2,0.34,0.0,1.0,1.0,0.0,1.0,13.0,75.0,69.0
8.0,0.0,0.0,0.4627,0.1818,0.22,0.32,0.0,1.0,1.0,0.0,1.0,14.0,72.0,64.0
5.0,0.0,0.0,0.3582,0.197,0.22,0.35,0.0,1.0,1.0,0.0,1.0,15.0,82.0,77.0
13.0,0.0,0.0,0.4478,0.1667,0.2,0.34,0.0,1.0,1.0,0.0,1.0,16.0,92.0,79.0
3.0,0.0,0.0,0.3881,0.1515,0.18,0.37,0.0,1.0,1.0,0.0,1.0,17.0,62.0,59.0
4.0,0.0,0.0,0.3284,0.1364,0.16,0.4,0.0,1.0,1.0,0.0,1.0,18.0,48.0,44.0
1.0,0.0,0.0,0.3284,0.1364,0.16,0.43,0.0,1.0,1.0,0.0,1.0,19.0,41.0,40.0
0.0,0.0,0.0,0.2537,0.1212,0.14,0.46,0.0,1.0,1.0,0.0,1.0,20.0,38.0,38.0
1.0,0.0,0.0,0.4179,0.1061,0.14,0.46,0.0,1.0,1.0,0.0,1.0,21.0,20.0,19.0
5.0,0.0,0.0,0.2985,0.1212,0.14,0.46,0.0,1.0,1.0,0.0,1.0,22.0,15.0,10.0
0.0,0.0,0.0,0.194,0.1364,0.12,0.5,0.0,1.0,1.0,0.0,1.0,23.0,6.0,6.0
2.0,0.0,0.0,0.2836,0.1212,0.12,0.5,1.0,1.0,1.0,1.0,1.0,0.0,5.0,3.0
1.0,0.0,0.0,0.2836,0.1212,0.12,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.2239,0.1212,0.12,0.5,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0
0.0,0.0,0.0,0.2239,0.1212,0.12,0.5,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
1.0,0.0,0.0,0.1343,0.1212,0.1,0.54,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0
0.0,0.0,0.0,0.2537,0.1061,0.1,0.54,1.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0
0.0,0.0,0.0,0.2836,0.1212,0.12,0.5,1.0,1.0,1.0,1.0,1.0,6.0,31.0,31.0
2.0,0.0,0.0,0.2239,0.1212,0.12,0.5,1.0,1.0,1.0,1.0,1.0,7.0,77.0,75.0
4.0,0.0,0.0,0.2836,0.1212,0.12,0.5,1.0,2.0,1.0,1.0,1.0,8.0,188.0,184.0
2.0,0.0,0.0,0.2537,0.1212,0.14,0.5,1.0,2.0,1.0,1.0,1.0,9.0,94.0,92.0
0.0,0.0,0.0,0.2985,0.1212,0.14,0.5,1.0,2.0,1.0,1.0,1.0,10.0,31.0,31.0
2.0,0.0,0.0,0.2836,0.1364,0.16,0.47,1.0,2.0,1.0,1.0,1.0,11.0,30.0,28.0
5.0,0.0,0.0,0.2836,0.1818,0.2,0.4,1.0,2.0,1.0,1.0,1.0,12.0,52.0,47.0
4.0,0.0,0.0,0.2836,0.1818,0.2,0.4,1.0,2.0,1.0,1.0,1.0,13.0,54.0,50.0
0.0,0.0,0.0,0.2239,0.197,0.2,0.4,1.0,2.0,1.0,1.0,1.0,14.0,47.0,47.0
2.0,0.0,0.0,0.2239,0.197,0.2,0.4,1.0,2.0,1.0,1.0,1.0,15.0,45.0,43.0
