temp,hum,weekday,yr,cnt,registered,season,hr,workingday,atemp,holiday,casual,weathersit,mnth,windspeed
0.4,0.87,6.0,0.0,36.0,25.0,1.0,20.0,0.0,0.4091,0.0,11.0,2.0,1.0,0.2537
0.4,0.87,6.0,0.0,34.0,31.0,1.0,21.0,0.0,0.4091,0.0,3.0,2.0,1.0,0.194
0.4,0.94,6.0,0.0,28.0,17.0,1.0,22.0,0.0,0.4091,0.0,11.0,2.0,1.0,0.2239
0.46,0.88,6.0,0.0,39.0,24.0,1.0,23.0,0.0,0.4545,0.0,15.0,2.0,1.0,0.2985
0.46,0.88,0.0,0.0,17.0,13.0,1.0,0.0,0.0,0.4545,0.0,4.0,2.0,1.0,0.2985
0.44,0.94,0.0,0.0,17.0,16.0,1.0,1.0,0.0,0.4394,0.0,1.0,2.0,1.0,0.2537
0.42,1.0,0.0,0.0,9.0,8.0,1.0,2.0,0.0,0.4242,0.0,1.0,2.0,1.0,0.2836
0.46,0.94,0.0,0.0,6.0,4.0,1.0,3.0,0.0,0.4545,0.0,2.0,2.0,1.0,0.194
0.46,0.94,0.0,0.0,3.0,1.0,1.0,4.0,0.0,0.4545,0.0,2.0,2.0,1.0,0.194
0.42,0.77,0.0,0.0,2.0,2.0,1.0,6.0,0.0,0.4242,0.0,0.0,3.0,1.0,0.2985
0.4,0.76,0.0,0.0,1.0,1.0,1.0,7.0,0.0,0.4091,0.0,0.0,2.0,1.0,0.194
0.4,0.71,0.0,0.0,8.0,8.0,1.0,8.0,0.0,0.4091,0.0,0.0,3.0,1.0,0.2239
0.38,0.76,0.0,0.0,20.0,19.0,1.0,9.0,0.0,0.3939,0.0,1.0,2.0,1.0,0.2239
0.36,0.81,0.0,0.0,53.0,46.0,1.0,10.0,0.0,0.3485,0.0,7.0,2.0,1.0,0.2239
0.36,0.71,0.0,0.0,70.0,54.0,1.0,11.0,0.0,0.3333,0.0,16.0,2.0,1.0,0.2537
0.36,0.66,0.0,0.0,93.0,73.0,1.0,12.0,0.0,0.3333,0.0,20.0,2.0,1.0,0.2985
0.36,0.66,0.0,0.0,75.0,64.0,1.0,13.0,0.0,0.3485,0.0,11.0,2.0,1.0,0.1343
0.36,0.76,0.0,0.0,59.0,55.0,1.0,14.0,0.0,0.3485,0.0,4.0,3.0,1.0,0.194
0.34,0.81,0.0,0.0,74.0,55.0,1.0,15.0,0.0,0.3333,0.0,19.0,3.0,1.0,0.1642
0.34,0.71,0.0,0.0,76.0,67.0,1.0,16.0,0.0,0.3333,0.0,9.0,3.0,1.0,0.1642
0.34,0.57,0.0,0.0,65.0,58.0,1.0,17.0,0.0,0.3333,0.0,7.0,1.0,1.0,0.194
0.36,0.46,0.0,0.0,53.0,43.0,1.0,18.0,0.0,0.3333,0.0,10.0,2.0,1.0,0.3284
0.32,0.42,0.0,0.0,30.0,29.0,1.0,19.0,0.0,0.2879,0.0,1.0,1.0,1.0,0.4478
0.3,0.39,0.0,0.0,22.0,17.0,1.0,20.0,0.0,0.2727,0.0,5.0,1.0,1.0,0.3582
0.26,0.44,0.0,0.0,31.0,20.0,1.0,21.0,0.0,0.2273,0.0,11.0,1.0,1.0,0.3284
0.24,0.44,0.0,0.0,9.0,9.0,1.0,22.0,0.0,0.2121,0.0,0.0,1.0,1.0,0.2985
0.22,0.47,0.0,0.0,8.0,8.0,1.0,23.0,0.0,0.2273,0.0,0.0,1.0,1.0,0.1642
0.22,0.44,1.0,0.0,5.0,5.0,1.0,0.0,1.0,0.197,0.0,0.0,1.0,1.0,0.3582
0.2,0.44,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.1667,0.0,0.0,1.0,1.0,0.4179
0.16,0.47,1.0,0.0,1.0,1.0,1.0,4.0,1.0,0.1364,0.0,0.0,1.0,1.0,0.3881
0.16,0.47,1.0,0.0,3.0,3.0,1.0,5.0,1.0,0.1364,0.0,0.0,1.0,1.0,0.2836
0.14,0.5,1.0,0.0,30.0,30.0,1.0,6.0,1.0,0.1061,0.0,0.0,1.0,1.0,0.3881
0.14,0.5,1.0,0.0,64.0,63.0,1.0,7.0,1.0,0.1364,0.0,1.0,1.0,1.0,0.194
0.14,0.5,1.0,0.0,154.0,153.0,1.0,8.0,1.0,0.1212,0.0,1.0,1.0,1.0,0.2836
0.16,0.43,1.0,0.0,88.0,81.0,1.0,9.0,1.0,0.1364,0.0,7.0,1.0,1.0,0.3881
0.18,0.43,1.0,0.0,44.0,33.0,1.0,10.0,1.0,0.1667,0.0,11.0,1.0,1.0,0.2537
0.2,0.4,1.0,0.0,51.0,41.0,1.0,11.0,1.0,0.1818,0.0,10.0,1.0,1.0,0.3284
0.22,0.35,1.0,0.0,61.0,48.0,1.0,12.0,1.0,0.2121,0.0,13.0,1.0,1.0,0.2985
0.24,0.35,1.0,0.0,61.0,53.0,1.0,13.0,1.0,0.2121,0.0,8.0,1.0,1.0,0.2836
0.26,0.3,1.0,0.0,77.0,66.0,1.0,14.0,1.0,0.2424,0.0,11.0,1.0,1.0,0.2836
0.26,0.3,1.0,0.0,72.0,58.0,1.0,15.0,1.0,0.2424,0.0,14.0,1.0,1.0,0.2537
0.26,0.3,1.0,0.0,76.0,67.0,1.0,16.0,1.0,0.2424,0.0,9.0,1.0,1.0,0.2537
0.24,0.3,1.0,0.0,157.0,146.0,1.0,17.0,1.0,0.2273,0.0,11.0,1.0,1.0,0.2239
0.24,0.32,1.0,0.0,157.0,148.0,1.0,18.0,1.0,0.2576,0.0,9.0,1.0,1.0,0.1045
0.2,0.47,1.0,0.0,110.0,102.0,1.0,19.0,1.0,0.2576,0.0,8.0,1.0,1.0,0.0
0.2,0.47,1.0,0.0,52.0,49.0,1.0,20.0,1.0,0.2273,0.0,3.0,1.0,1.0,0.1045
0.18,0.64,1.0,0.0,52.0,49.0,1.0,21.0,1.0,0.197,0.0,3.0,1.0,1.0,0.1343
0.14,0.69,1.0,0.0,20.0,20.0,1.0,22.0,1.0,0.1515,0.0,0.0,1.0,1.0,0.1343
0.18,0.55,1.0,0.0,12.0,11.0,1.0,23.0,1.0,0.2121,0.0,1.0,1.0,1.0,0.1045
0.16,0.55,2.0,0.0,5.0,5.0,1.0,0.0,1.0,0.1818,0.0,0.0,1.0,1.0,0.1045
0.16,0.59,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.1818,0.0,0.0,1.0,1.0,0.1045
0.14,0.63,2.0,0.0,1.0,1.0,1.0,2.0,1.0,0.1515,0.0,0.0,1.0,1.0,0.1343
0.14,0.63,2.0,0.0,2.0,2.0,1.0,4.0,1.0,0.1818,0.0,0.0,1.0,1.0,0.0896
0.12,0.68,2.0,0.0,4.0,4.0,1.0,5.0,1.0,0.1515,0.0,0.0,1.0,1.0,0.1045
0.12,0.74,2.0,0.0,36.0,36.0,1.0,6.0,1.0,0.1515,0.0,0.0,1.0,1.0,0.1045
0.12,0.74,2.0,0.0,94.0,92.0,1.0,7.0,1.0,0.1515,0.0,2.0,1.0,1.0,0.1343
0.14,0.69,2.0,0.0,179.0,177.0,1.0,8.0,1.0,0.1515,0.0,2.0,1.0,1.0,0.1642
0.16,0.64,2.0,0.0,100.0,98.0,1.0,9.0,1.0,0.1515,0.0,2.0,1.0,1.0,0.2239
0.16,0.69,2.0,0.0,42.0,37.0,1.0,10.0,1.0,0.1364,0.0,5.0,2.0,1.0,0.3284
0.22,0.51,2.0,0.0,57.0,50.0,1.0,11.0,1.0,0.2121,0.0,7.0,1.0,1.0,0.2985
0.22,0.51,2.0,0.0,78.0,66.0,1.0,12.0,1.0,0.2273,0.0,12.0,1.0,1.0,0.1642
0.24,0.56,2.0,0.0,97.0,79.0,1.0,13.0,1.0,0.2273,0.0,18.0,1.0,1.0,0.194
0.26,0.52,2.0,0.0,63.0,54.0,1.0,14.0,1.0,0.2576,0.0,9.0,1.0,1.0,0.2239
0.28,0.52,2.0,0.0,65.0,48.0,1.0,15.0,1.0,0.2727,0.0,17.0,1.0,1.0,0.2537
0.3,0.49,2.0,0.0,83.0,68.0,1.0,16.0,1.0,0.2879,0.0,15.0,1.0,1.0,0.2537
0.28,0.48,2.0,0.0,212.0,202.0,1.0,17.0,1.0,0.2727,0.0,10.0,1.0,1.0,0.2239
0.26,0.48,2.0,0.0,182.0,179.0,1.0,18.0,1.0,0.2576,0.0,3.0,1.0,1.0,0.194
0.24,0.48,2.0,0.0,112.0,110.0,1.0,19.0,1.0,0.2576,0.0,2.0,1.0,1.0,0.1045
0.24,0.48,2.0,0.0,54.0,53.0,1.0,20.0,1.0,0.2576,0.0,1.0,1.0,1.0,0.1045
0.22,0.64,2.0,0.0,48.0,48.0,1.0,21.0,1.0,0.2727,0.0,0.0,1.0,1.0,0.0
0.22,0.64,2.0,0.0,35.0,34.0,1.0,22.0,1.0,0.2576,0.0,1.0,1.0,1.0,0.0896
0.2,0.69,2.0,0.0,11.0,9.0,1.0,23.0,1.0,0.2273,0.0,2.0,1.0,1.0,0.0896
0.2,0.64,3.0,0.0,6.0,6.0,1.0,0.0,1.0,0.2576,0.0,0.0,1.0,1.0,0.0
0.16,0.74,3.0,0.0,6.0,6.0,1.0,1.0,1.0,0.197,0.0,0.0,1.0,1.0,0.0896
0.16,0.74,3.0,0.0,2.0,2.0,1.0,2.0,1.0,0.197,0.0,0.0,1.0,1.0,0.0896
0.24,0.48,3.0,0.0,2.0,2.0,1.0,4.0,1.0,0.2273,0.0,0.0,1.0,1.0,0.2239
0.22,0.47,3.0,0.0,3.0,3.0,1.0,5.0,1.0,0.2273,0.0,0.0,1.0,1.0,0.1642
0.2,0.47,3.0,0.0,33.0,33.0,1.0,6.0,1.0,0.197,0.0,0.0,1.0,1.0,0.2239
0.18,0.43,3.0,0.0,88.0,87.0,1.0,7.0,1.0,0.1818,0.0,1.0,1.0,1.0,0.194
0.2,0.4,3.0,0.0,195.0,192.0,1.0,8.0,1.0,0.1818,0.0,3.0,1.0,1.0,0.2985
0.22,0.37,3.0,0.0,115.0,109.0,1.0,9.0,1.0,0.197,0.0,6.0,1.0,1.0,0.3284
0.22,0.37,3.0,0.0,57.0,53.0,1.0,10.0,1.0,0.197,0.0,4.0,1.0,1.0,0.3284
0.26,0.33,3.0,0.0,46.0,34.0,1.0,11.0,1.0,0.2273,0.0,12.0,1.0,1.0,0.3284
0.26,0.33,3.0,0.0,79.0,74.0,1.0,12.0,1.0,0.2273,0.0,5.0,1.0,1.0,0.3284
0.28,0.3,3.0,0.0,71.0,65.0,1.0,13.0,1.0,0.2576,0.0,6.0,1.0,1.0,0.2985
0.3,0.28,3.0,0.0,62.0,52.0,1.0,14.0,1.0,0.2879,0.0,10.0,1.0,1.0,0.194
0.3,0.28,3.0,0.0,62.0,55.0,1.0,15.0,1.0,0.2879,0.0,7.0,1.0,1.0,0.194
0.3,0.28,3.0,0.0,89.0,85.0,1.0,16.0,1.0,0.3182,0.0,4.0,1.0,1.0,0.0896
0.24,0.38,3.0,0.0,190.0,186.0,1.0,17.0,1.0,0.2273,0.0,4.0,1.0,1.0,0.194
0.24,0.38,3.0,0.0,169.0,166.0,1.0,18.0,1.0,0.2424,0.0,3.0,1.0,1.0,0.1343
0.24,0.38,3.0,0.0,132.0,127.0,1.0,19.0,1.0,0.2576,0.0,5.0,1.0,1.0,0.1045
0.22,0.47,3.0,0.0,89.0,82.0,1.0,20.0,1.0,0.2273,0.0,7.0,1.0,1.0,0.1642
0.2,0.51,3.0,0.0,43.0,40.0,1.0,21.0,1.0,0.197,0.0,3.0,1.0,1.0,0.194
0.18,0.55,3.0,0.0,42.0,41.0,1.0,22.0,1.0,0.197,0.0,1.0,1.0,1.0,0.1343
0.2,0.47,3.0,0.0,19.0,18.0,1.0,23.0,1.0,0.2576,0.0,1.0,1.0,1.0,0.0
0.18,0.55,4.0,0.0,11.0,11.0,1.0,0.0,1.0,0.2424,0.0,0.0,1.0,1.0,0.0
0.16,0.64,4.0,0.0,4.0,4.0,1.0,1.0,1.0,0.2273,0.0,0.0,1.0,1.0,0.0
0.16,0.64,4.0,0.0,2.0,2.0,1.0,2.0,1.0,0.2273,0.0,0.0,1.0,1.0,0.0
0.16,0.64,4.0,0.0,1.0,1.0,1.0,4.0,1.0,0.197,0.0,0.0,2.0,1.0,0.0896
0.14,0.69,4.0,0.0,4.0,4.0,1.0,5.0,1.0,0.1818,0.0,0.0,2.0,1.0,0.0896
0.14,0.63,4.0,0.0,36.0,36.0,1.0,6.0,1.0,0.1667,0.0,0.0,2.0,1.0,0.1045
0.16,0.59,4.0,0.0,95.0,95.0,1.0,7.0,1.0,0.2273,0.0,0.0,2.0,1.0,0.0
0.16,0.59,4.0,0.0,219.0,216.0,1.0,8.0,1.0,0.2273,0.0,3.0,1.0,1.0,0.0
0.18,0.51,4.0,0.0,122.0,116.0,1.0,9.0,1.0,0.2424,0.0,6.0,2.0,1.0,0.0
0.2,0.47,4.0,0.0,45.0,42.0,1.0,10.0,1.0,0.2576,0.0,3.0,1.0,1.0,0.0
0.22,0.44,4.0,0.0,59.0,57.0,1.0,11.0,1.0,0.2576,0.0,2.0,1.0,1.0,0.0896
0.26,0.35,4.0,0.0,84.0,78.0,1.0,12.0,1.0,0.2879,0.0,6.0,1.0,1.0,0.0
0.26,0.35,4.0,0.0,67.0,55.0,1.0,13.0,1.0,0.2727,0.0,12.0,1.0,1.0,0.1045
0.28,0.36,4.0,0.0,70.0,59.0,1.0,14.0,1.0,0.2727,0.0,11.0,1.0,1.0,0.1642
0.28,0.36,4.0,0.0,62.0,54.0,1.0,15.0,1.0,0.2727,0.0,8.0,1.0,1.0,0.0
0.26,0.38,4.0,0.0,86.0,74.0,1.0,16.0,1.0,0.2576,0.0,12.0,1.0,1.0,0.1642
0.22,0.51,4.0,0.0,172.0,163.0,1.0,17.0,1.0,0.2273,0.0,9.0,1.0,1.0,0.1642
0.22,0.51,4.0,0.0,163.0,158.0,1.0,18.0,1.0,0.2273,0.0,5.0,1.0,1.0,0.1343
0.22,0.55,4.0,0.0,112.0,109.0,1.0,19.0,1.0,0.2576,0.0,3.0,1.0,1.0,0.0896
0.2,0.51,4.0,0.0,69.0,66.0,1.0,20.0,1.0,0.2121,0.0,3.0,1.0,1.0,0.1642
0.22,0.55,4.0,0.0,48.0,48.0,1.0,21.0,1.0,0.2121,0.0,0.0,2.0,1.0,0.2239
0.22,0.51,4.0,0.0,52.0,51.0,1.0,22.0,1.0,0.2121,0.0,1.0,2.0,1.0,0.2836
0.2,0.59,4.0,0.0,23.0,19.0,1.0,23.0,1.0,0.197,0.0,4.0,2.0,1.0,0.194
0.2,0.64,5.0,0.0,17.0,13.0,1.0,0.0,1.0,0.197,0.0,4.0,2.0,1.0,0.194
0.2,0.69,5.0,0.0,7.0,5.0,1.0,1.0,1.0,0.197,0.0,2.0,2.0,1.0,0.2239
0.2,0.69,5.0,0.0,1.0,1.0,1.0,2.0,1.0,0.197,0.0,0.0,2.0,1.0,0.2239
0.2,0.69,5.0,0.0,1.0,1.0,1.0,4.0,1.0,0.2121,0.0,0.0,2.0,1.0,0.1343
0.22,0.55,5.0,0.0,5.0,5.0,1.0,5.0,1.0,0.2727,0.0,0.0,3.0,1.0,0.0
0.2,0.69,5.0,0.0,34.0,26.0,1.0,6.0,1.0,0.2576,0.0,8.0,2.0,1.0,0.0
0.2,0.69,5.0,0.0,84.0,76.0,1.0,7.0,1.0,0.2121,0.0,8.0,1.0,1.0,0.1343
0.2,0.51,5.0,0.0,210.0,190.0,1.0,8.0,1.0,0.197,0.0,20.0,1.0,1.0,0.2537
0.2,0.47,5.0,0.0,134.0,125.0,1.0,9.0,1.0,0.1818,0.0,9.0,1.0,1.0,0.2985
0.22,0.37,5.0,0.0,63.0,47.0,1.0,10.0,1.0,0.197,0.0,16.0,1.0,1.0,0.3284
0.2,0.4,5.0,0.0,67.0,48.0,1.0,11.0,1.0,0.197,0.0,19.0,2.0,1.0,0.2239
0.2,0.37,5.0,0.0,59.0,50.0,1.0,12.0,1.0,0.197,0.0,9.0,2.0,1.0,0.2537
0.2,0.37,5.0,0.0,73.0,64.0,1.0,13.0,1.0,0.1818,0.0,9.0,2.0,1.0,0.2836
0.2,0.4,5.0,0.0,50.0,43.0,1.0,14.0,1.0,0.197,0.0,7.0,2.0,1.0,0.2537
0.2,0.37,5.0,0.0,72.0,63.0,1.0,15.0,1.0,0.2121,0.0,9.0,2.0,1.0,0.1642
0.2,0.37,5.0,0.0,87.0,82.0,1.0,16.0,1.0,0.2121,0.0,5.0,2.0,1.0,0.1642
0.2,0.37,5.0,0.0,187.0,178.0,1.0,17.0,1.0,0.2576,0.0,9.0,2.0,1.0,0.0
0.2,0.4,5.0,0.0,123.0,116.0,1.0,18.0,1.0,0.2273,0.0,7.0,1.0,1.0,0.0896
0.16,0.55,5.0,0.0,95.0,92.0,1.0,19.0,1.0,0.197,0.0,3.0,1.0,1.0,0.0896
0.18,0.47,5.0,0.0,51.0,50.0,1.0,20.0,1.0,0.2121,0.0,1.0,1.0,1.0,0.1045
0.18,0.47,5.0,0.0,39.0,39.0,1.0,21.0,1.0,0.197,0.0,0.0,1.0,1.0,0.1343
0.18,0.43,5.0,0.0,36.0,34.0,1.0,22.0,1.0,0.197,0.0,2.0,2.0,1.0,0.1642
0.18,0.51,5.0,0.0,15.0,14.0,1.0,23.0,1.0,0.197,0.0,1.0,2.0,1.0,0.1642
0.18,0.51,6.0,0.0,25.0,24.0,1.0,0.0,0.0,0.197,0.0,1.0,2.0,1.0,0.1642
0.18,0.55,6.0,0.0,16.0,15.0,1.0,1.0,0.0,0.2121,0.0,1.0,2.0,1.0,0.0896
0.18,0.55,6.0,0.0,16.0,13.0,1.0,2.0,0.0,0.2424,0.0,3.0,2.0,1.0,0.0
0.18,0.55,6.0,0.0,7.0,7.0,1.0,3.0,0.0,0.197,0.0,0.0,3.0,1.0,0.1642
0.18,0.55,6.0,0.0,1.0,1.0,1.0,4.0,0.0,0.197,0.0,0.0,3.0,1.0,0.1642
0.16,0.74,6.0,0.0,5.0,5.0,1.0,5.0,0.0,0.1667,0.0,0.0,2.0,1.0,0.1642
0.16,0.74,6.0,0.0,2.0,2.0,1.0,6.0,0.0,0.1667,0.0,0.0,2.0,1.0,0.1642
0.16,0.74,6.0,0.0,9.0,8.0,1.0,7.0,0.0,0.1818,0.0,1.0,2.0,1.0,0.1045
0.16,0.93,6.0,0.0,15.0,15.0,1.0,8.0,0.0,0.1818,0.0,0.0,3.0,1.0,0.1045
0.16,0.93,6.0,0.0,20.0,20.0,1.0,9.0,0.0,0.1818,0.0,0.0,3.0,1.0,0.1045
0.18,0.8,6.0,0.0,61.0,56.0,1.0,10.0,0.0,0.197,0.0,5.0,2.0,1.0,0.1642
0.2,0.69,6.0,0.0,62.0,60.0,1.0,11.0,0.0,0.1818,0.0,2.0,2.0,1.0,0.3881
0.2,0.59,6.0,0.0,98.0,90.0,1.0,12.0,0.0,0.1818,0.0,8.0,2.0,1.0,0.3582
0.2,0.44,6.0,0.0,102.0,95.0,1.0,13.0,0.0,0.1818,0.0,7.0,1.0,1.0,0.3284
0.2,0.32,6.0,0.0,95.0,83.0,1.0,14.0,0.0,0.1667,0.0,12.0,1.0,1.0,0.4925
0.2,0.32,6.0,0.0,74.0,69.0,1.0,15.0,0.0,0.1667,0.0,5.0,1.0,1.0,0.4478
0.18,0.29,6.0,0.0,76.0,68.0,1.0,16.0,0.0,0.1364,0.0,8.0,1.0,1.0,0.4478
0.16,0.37,6.0,0.0,69.0,64.0,1.0,17.0,0.0,0.1212,0.0,5.0,1.0,1.0,0.5522
0.14,0.39,6.0,0.0,55.0,52.0,1.0,18.0,0.0,0.1212,0.0,3.0,1.0,1.0,0.2985
0.14,0.36,6.0,0.0,30.0,26.0,1.0,19.0,0.0,0.1212,0.0,4.0,1.0,1.0,0.2537
0.12,0.36,6.0,0.0,28.0,28.0,1.0,20.0,0.0,0.1212,0.0,0.0,1.0,1.0,0.2537
0.12,0.39,6.0,0.0,37.0,35.0,1.0,21.0,0.0,0.1061,0.0,2.0,1.0,1.0,0.3582
0.12,0.36,6.0,0.0,34.0,33.0,1.0,22.0,0.0,0.1061,0.0,1.0,1.0,1.0,0.3881
0.1,0.39,6.0,0.0,22.0,22.0,1.0,23.0,0.0,0.0606,0.0,0.0,1.0,1.0,0.4478
0.1,0.42,0.0,0.0,25.0,24.0,1.0,0.0,0.0,0.0758,0.0,1.0,1.0,1.0,0.3881
0.1,0.42,0.0,0.0,12.0,12.0,1.0,1.0,0.0,0.0606,0.0,0.0,1.0,1.0,0.4627
0.1,0.46,0.0,0.0,11.0,11.0,1.0,2.0,0.0,0.0606,0.0,0.0,1.0,1.0,0.4627
0.1,0.46,0.0,0.0,4.0,4.0,1.0,3.0,0.0,0.0758,0.0,0.0,1.0,1.0,0.4179
0.08,0.53,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0909,0.0,0.0,1.0,1.0,0.194
0.08,0.53,0.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0909,0.0,0.0,1.0,1.0,0.194
0.1,0.49,0.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0909,0.0,0.0,1.0,1.0,0.2836
0.08,0.53,0.0,0.0,6.0,5.0,1.0,7.0,0.0,0.0909,0.0,1.0,1.0,1.0,0.194
0.1,0.49,0.0,0.0,10.0,10.0,1.0,8.0,0.0,0.0909,0.0,0.0,1.0,1.0,0.2836
0.12,0.46,0.0,0.0,19.0,19.0,1.0,9.0,0.0,0.0758,0.0,0.0,1.0,1.0,0.5224
0.14,0.43,0.0,0.0,49.0,49.0,1.0,10.0,0.0,0.1061,0.0,0.0,1.0,1.0,0.3881
0.16,0.4,0.0,0.0,49.0,47.0,1.0,11.0,0.0,0.1212,0.0,2.0,1.0,1.0,0.5224
0.18,0.37,0.0,0.0,83.0,79.0,1.0,12.0,0.0,0.1364,0.0,4.0,1.0,1.0,0.4478
0.2,0.34,0.0,0.0,75.0,69.0,1.0,13.0,0.0,0.1667,0.0,6.0,1.0,1.0,0.4478
0.22,0.32,0.0,0.0,72.0,64.0,1.0,14.0,0.0,0.1818,0.0,8.0,1.0,1.0,0.4627
0.22,0.35,0.0,0.0,82.0,77.0,1.0,15.0,0.0,0.197,0.0,5.0,1.0,1.0,0.3582
0.2,0.34,0.0,0.0,92.0,79.0,1.0,16.0,0.0,0.1667,0.0,13.0,1.0,1.0,0.4478
0.18,0.37,0.0,0.0,62.0,59.0,1.0,17.0,0.0,0.1515,0.0,3.0,1.0,1.0,0.3881
0.16,0.4,0.0,0.0,48.0,44.0,1.0,18.0,0.0,0.1364,0.0,4.0,1.0,1.0,0.3284
0.16,0.43,0.0,0.0,41.0,40.0,1.0,19.0,0.0,0.1364,0.0,1.0,1.0,1.0,0.3284
0.14,0.46,0.0,0.0,38.0,38.0,1.0,20.0,0.0,0.1212,0.0,0.0,1.0,1.0,0.2537
0.14,0.46,0.0,0.0,20.0,19.0,1.0,21.0,0.0,0.1061,0.0,1.0,1.0,1.0,0.4179
0.14,0.46,0.0,0.0,15.0,10.0,1.0,22.0,0.0,0.1212,0.0,5.0,1.0,1.0,0.2985
0.12,0.5,0.0,0.0,6.0,6.0,1.0,23.0,0.0,0.1364,0.0,0.0,1.0,1.0,0.194
0.12,0.5,1.0,0.0,5.0,3.0,1.0,0.0,1.0,0.1212,0.0,2.0,1.0,1.0,0.2836
0.12,0.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.1212,0.0,1.0,1.0,1.0,0.2836
0.12,0.5,1.0,0.0,3.0,3.0,1.0,2.0,1.0,0.1212,0.0,0.0,1.0,1.0,0.2239
0.12,0.5,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.1212,0.0,0.0,1.0,1.0,0.2239
0.1,0.54,1.0,0.0,3.0,2.0,1.0,4.0,1.0,0.1212,0.0,1.0,1.0,1.0,0.1343
0.1,0.54,1.0,0.0,3.0,3.0,1.0,5.0,1.0,0.1061,0.0,0.0,1.0,1.0,0.2537
0.12,0.5,1.0,0.0,31.0,31.0,1.0,6.0,1.0,0.1212,0.0,0.0,1.0,1.0,0.2836
0.12,0.5,1.0,0.0,77.0,75.0,1.0,7.0,1.0,0.1212,0.0,2.0,1.0,1.0,0.2239
0.12,0.5,1.0,0.0,188.0,184.0,1.0,8.0,1.0,0.1212,0.0,4.0,2.0,1.0,0.2836
0.14,0.5,1.0,0.0,94.0,92.0,1.0,9.0,1.0,0.1212,0.0,2.0,2.0,1.0,0.2537
0.14,0.5,1.0,0.0,31.0,31.0,1.0,10.0,1.0,0.1212,0.0,0.0,2.0,1.0,0.2985
0.16,0.47,1.0,0.0,30.0,28.0,1.0,11.0,1.0,0.1364,0.0,2.0,2.0,1.0,0.2836
0.2,0.4,1.0,0.0,52.0,47.0,1.0,12.0,1.0,0.1818,0.0,5.0,2.0,1.0,0.2836
0.2,0.4,1.0,0.0,54.0,50.0,1.0,13.0,1.0,0.1818,0.0,4.0,2.0,1.0,0.2836
0.2,0.4,1.0,0.0,47.0,47.0,1.0,14.0,1.0,0.197,0.0,0.0,2.0,1.0,0.2239
0.2,0.4,1.0,0.0,45.0,43.0,1.0,15.0,1.0,0.197,0.0,2.0,2.0,1.0,0.2239
