eicosenoic,linoleic,palmitic,linolenic,oleic,stearic,palmitoleic,arachidic,region
57.1,32.8,67.2,68.1,42.5,62.3,49.8,66.0,Calabria
48.2,28.4,68.7,59.7,46.5,54.3,38.9,64.1,Calabria
46.4,30.8,59.8,72.2,52.1,49.8,32.8,61.2,Calabria
28.6,32.5,61.0,63.9,51.2,48.4,45.7,47.6,Calabria
37.5,37.0,60.2,58.3,49.4,60.5,35.1,40.8,Calabria
35.7,35.4,65.9,47.2,44.0,64.6,54.3,56.3,Calabria
60.7,25.5,56.1,69.4,56.8,52.0,30.9,65.0,Calabria
57.1,44.0,58.4,100.0,44.1,66.4,32.5,61.2,Calabria
60.7,40.4,55.6,72.2,48.4,44.8,46.4,62.1,Calabria
50.0,39.1,57.3,62.5,51.9,31.8,33.2,52.4,Calabria
53.6,66.1,91.5,61.1,10.0,80.3,59.2,86.4,Sicily
62.5,73.0,65.3,63.9,23.7,53.8,44.5,78.6,Sicily
73.2,59.9,64.8,61.1,25.5,55.2,58.5,83.5,Sicily
69.6,43.2,51.9,58.3,46.3,49.8,45.3,90.3,Sicily
76.8,0.0,44.6,69.4,69.7,100.0,20.0,65.0,Sicily
73.2,11.5,54.4,63.9,61.8,79.4,20.8,63.1,Sicily
53.6,20.8,46.8,65.3,62.4,84.8,21.5,61.2,Sicily
41.1,32.9,28.1,59.7,71.8,56.1,9.8,61.2,Sicily
62.5,8.2,44.0,68.1,67.0,99.1,20.4,64.1,Sicily
60.7,30.8,44.4,59.7,60.5,68.6,24.2,60.2,Sicily
78.6,43.5,59.9,56.9,44.3,50.7,29.4,72.8,Sicily
60.7,48.7,45.3,55.6,52.9,56.1,20.4,55.3,Sicily
100.0,24.1,27.2,55.6,74.4,57.8,14.0,60.2,Sicily
96.4,35.6,26.2,65.3,68.6,61.0,12.8,67.0,Sicily
71.4,47.7,53.0,58.3,48.8,60.5,15.1,69.9,Sicily
62.5,40.6,75.3,54.2,34.1,51.6,63.0,79.6,Sicily
58.9,36.7,63.7,47.2,48.7,18.4,47.2,82.5,Sicily
67.9,58.8,61.6,52.8,35.3,44.4,32.1,81.6,Sicily
53.6,56.7,74.1,44.4,27.3,48.0,60.4,73.8,Sicily
44.6,40.1,79.6,38.9,31.4,33.2,86.0,68.0,Sicily
67.9,58.0,72.8,48.6,29.2,31.8,55.5,72.8,Sicily
64.3,47.0,78.3,48.6,32.9,26.5,55.5,92.2,Sicily
67.9,41.3,69.6,50.0,42.1,26.5,42.6,88.3,Sicily
73.2,46.5,70.6,52.8,38.4,26.0,44.9,96.1,Sicily
76.8,39.9,54.4,50.0,50.9,27.8,43.4,84.5,Sicily
53.6,25.1,48.3,55.6,61.3,73.5,22.3,60.2,Sicily
53.6,27.4,49.7,56.9,59.4,69.5,23.0,65.0,Sicily
23.2,32.0,67.5,51.4,50.9,38.1,33.6,66.0,Sicily
75.0,31.8,34.0,54.2,68.4,51.6,16.2,58.3,Sicily
80.4,35.9,32.9,58.3,67.3,45.7,14.3,65.0,Sicily
80.4,37.7,31.7,59.7,66.0,54.3,15.1,59.2,Sicily
64.3,27.4,46.0,58.3,58.2,90.6,21.9,71.8,Sicily
71.4,35.8,51.4,58.3,54.3,54.3,26.4,68.9,Sicily
58.9,35.6,57.5,56.9,52.4,42.6,30.2,66.0,Sicily
51.8,25.0,58.0,56.9,55.5,66.8,27.5,67.0,Sicily
0.0,65.4,38.4,45.8,51.0,26.0,45.3,85.4,InlandSardinia
0.0,62.3,43.8,41.7,51.2,26.0,30.6,89.3,InlandSardinia
0.0,69.1,45.2,45.8,46.4,30.9,30.9,89.3,InlandSardinia
0.0,66.3,39.3,40.3,51.6,28.3,30.2,87.4,InlandSardinia
0.0,70.5,45.0,33.3,46.9,35.4,32.8,62.1,InlandSardinia
0.0,63.9,44.3,25.0,48.3,35.4,44.2,62.1,InlandSardinia
0.0,61.3,46.1,36.1,51.5,26.9,35.1,58.3,InlandSardinia
0.0,66.3,42.2,36.1,51.4,31.8,28.7,58.3,InlandSardinia
0.0,68.4,43.9,34.7,48.4,36.3,33.2,57.3,InlandSardinia
0.0,67.7,43.4,36.1,49.2,26.9,27.5,63.1,InlandSardinia
0.0,64.8,44.3,37.5,50.6,35.4,29.1,58.3,InlandSardinia
0.0,63.4,41.3,41.7,52.7,24.7,33.2,64.1,InlandSardinia
0.0,66.5,39.9,31.9,51.5,34.1,30.6,68.0,InlandSardinia
0.0,59.6,50.3,45.8,49.6,24.7,29.1,77.7,InlandSardinia
0.0,64.6,48.8,50.0,48.3,27.4,31.3,60.2,InlandSardinia
0.0,63.3,46.4,34.7,52.0,22.0,24.5,63.1,InlandSardinia
0.0,63.4,44.2,37.5,52.1,30.5,22.6,85.4,InlandSardinia
0.0,66.3,42.8,36.1,50.0,36.8,33.6,54.4,InlandSardinia
0.0,59.6,45.2,43.1,52.6,30.0,24.9,76.7,InlandSardinia
0.0,64.2,44.1,45.8,51.2,26.9,29.4,64.1,InlandSardinia
0.0,65.8,38.8,36.1,51.4,38.6,32.5,84.5,InlandSardinia
0.0,63.9,49.3,27.8,48.9,27.8,31.7,63.1,InlandSardinia
0.0,66.0,48.7,37.5,48.7,22.0,26.0,72.8,InlandSardinia
0.0,63.1,43.1,48.6,52.8,22.9,27.5,73.8,InlandSardinia
0.0,64.5,50.3,43.1,51.9,23.8,22.6,69.9,InlandSardinia
0.0,67.7,43.8,36.1,49.1,30.5,35.5,55.3,InlandSardinia
0.0,66.2,44.6,41.7,50.0,25.6,29.1,68.9,InlandSardinia
0.0,65.1,42.8,25.0,51.0,31.4,29.4,49.5,InlandSardinia
0.0,66.2,41.8,43.1,50.8,30.0,31.3,73.8,InlandSardinia
0.0,65.2,39.2,38.9,52.3,33.6,35.1,62.1,InlandSardinia
0.0,62.9,43.2,38.9,52.8,26.5,26.0,67.0,InlandSardinia
0.0,63.9,47.3,36.1,49.3,32.7,30.9,61.2,InlandSardinia
0.0,64.5,38.8,41.7,52.1,37.7,30.6,75.7,InlandSardinia
0.0,65.4,44.8,40.3,50.2,26.0,26.8,78.6,InlandSardinia
0.0,63.6,47.1,29.2,48.5,39.9,29.4,69.9,InlandSardinia
0.0,64.5,41.3,47.2,52.6,21.5,28.7,75.7,InlandSardinia
0.0,66.2,42.8,43.1,53.4,30.0,34.3,72.8,InlandSardinia
0.0,66.7,41.4,34.7,52.5,23.3,30.2,74.8,InlandSardinia
0.0,63.7,50.5,44.4,51.2,22.0,27.9,82.5,InlandSardinia
0.0,64.9,43.1,56.9,50.6,31.8,33.6,52.4,InlandSardinia
0.0,68.3,39.2,38.9,53.1,26.5,23.8,77.7,InlandSardinia
0.0,66.7,38.9,36.1,54.0,27.4,24.2,57.3,InlandSardinia
0.0,64.0,40.1,37.5,53.1,30.5,26.8,74.8,InlandSardinia
0.0,67.9,44.0,36.1,49.9,26.0,27.5,68.0,InlandSardinia
0.0,65.6,47.6,25.0,43.0,38.1,7.5,42.7,InlandSardinia
0.0,70.5,39.0,27.8,47.5,30.0,30.6,43.7,InlandSardinia
0.0,69.5,44.0,29.2,47.5,29.6,39.6,41.7,InlandSardinia
0.0,71.3,37.3,26.4,52.3,27.8,26.0,66.0,InlandSardinia
0.0,77.5,40.9,36.1,46.4,28.3,31.3,64.1,InlandSardinia
0.0,71.3,43.8,38.9,47.9,25.1,24.9,85.4,InlandSardinia
0.0,71.2,38.2,31.9,50.6,23.8,32.5,80.6,InlandSardinia
0.0,65.1,43.6,27.8,48.3,26.0,30.2,68.0,InlandSardinia
0.0,59.9,45.2,47.2,52.8,21.1,26.4,81.6,InlandSardinia
0.0,70.0,40.4,30.6,49.5,35.0,31.3,69.9,InlandSardinia
0.0,65.8,46.3,27.8,50.1,30.9,23.8,65.0,InlandSardinia
0.0,68.2,41.8,45.8,47.2,29.6,39.6,100.0,InlandSardinia
0.0,64.7,41.3,27.8,52.3,35.4,26.8,68.9,InlandSardinia
0.0,70.9,38.2,31.9,50.4,34.1,33.2,62.1,InlandSardinia
0.0,68.5,46.0,38.9,48.3,22.9,25.3,83.5,InlandSardinia
0.0,68.6,40.0,25.0,50.4,35.4,36.2,61.2,InlandSardinia
0.0,68.6,43.8,25.0,50.5,30.5,23.8,61.2,InlandSardinia
0.0,72.1,44.4,30.6,48.2,22.0,28.7,69.9,InlandSardinia
0.0,71.9,42.8,36.1,51.3,29.6,35.1,83.5,InlandSardinia
0.0,66.4,43.0,33.3,49.3,30.5,30.6,91.3,InlandSardinia
0.0,85.9,48.7,27.8,36.3,41.7,35.1,70.9,CoastalSardinia
0.0,87.5,46.5,26.4,37.0,39.9,35.8,64.1,CoastalSardinia
0.0,83.9,43.1,26.4,38.9,43.9,41.5,78.6,CoastalSardinia
0.0,91.5,52.5,31.9,32.7,38.6,27.2,70.9,CoastalSardinia
0.0,86.8,53.6,27.8,33.5,41.7,36.6,61.2,CoastalSardinia
0.0,92.2,49.4,25.0,31.8,53.8,30.9,78.6,CoastalSardinia
0.0,78.8,48.4,27.8,39.3,47.1,39.2,57.3,CoastalSardinia
0.0,100.0,50.4,27.8,27.6,39.9,36.2,90.3,CoastalSardinia
0.0,88.9,48.9,30.6,35.2,39.5,30.6,74.8,CoastalSardinia
0.0,84.6,45.5,18.1,40.0,39.9,33.6,54.4,CoastalSardinia
0.0,89.4,46.4,30.6,36.3,47.1,31.7,85.4,CoastalSardinia
0.0,81.6,43.2,31.9,40.9,48.4,32.1,69.9,CoastalSardinia
0.0,84.1,46.3,31.9,40.0,36.3,27.2,68.0,CoastalSardinia
0.0,87.3,51.0,33.3,34.1,47.5,34.0,62.1,CoastalSardinia
0.0,85.3,46.7,30.6,39.0,37.2,29.8,63.1,CoastalSardinia
0.0,86.3,42.1,36.1,40.9,39.5,30.6,53.4,CoastalSardinia
0.0,81.9,42.3,36.1,40.7,44.8,42.3,58.3,CoastalSardinia
0.0,88.0,47.1,29.2,37.2,47.5,30.2,67.0,CoastalSardinia
0.0,84.3,46.9,31.9,38.1,45.7,32.5,64.1,CoastalSardinia
0.0,83.1,48.8,34.7,36.4,48.9,35.8,72.8,CoastalSardinia
0.0,84.1,46.3,36.1,41.2,25.1,27.2,53.4,CoastalSardinia
0.0,84.1,50.2,43.1,36.8,27.8,35.1,80.6,CoastalSardinia
0.0,83.9,41.4,37.5,44.7,22.4,23.4,63.1,CoastalSardinia
0.0,91.5,45.3,29.2,36.4,39.5,28.3,70.9,CoastalSardinia
0.0,90.4,48.2,31.9,37.0,38.6,36.2,76.7,CoastalSardinia
0.0,92.0,47.2,27.8,34.8,43.9,30.2,64.1,CoastalSardinia
0.0,83.5,43.4,30.6,39.6,51.6,33.2,71.8,CoastalSardinia
0.0,91.2,45.9,33.3,36.1,37.7,32.1,65.0,CoastalSardinia
0.0,83.6,42.4,22.2,42.7,40.8,27.9,56.3,CoastalSardinia
0.0,90.4,44.9,25.0,37.2,37.7,30.6,70.9,CoastalSardinia
0.0,90.8,50.5,27.8,33.5,39.9,29.1,79.6,CoastalSardinia
0.0,90.0,49.1,31.9,34.4,40.4,34.3,67.0,CoastalSardinia
0.0,26.6,49.8,52.8,65.9,35.0,24.5,66.0,EastLiguria
0.0,30.5,43.6,38.9,65.4,43.9,28.3,75.7,EastLiguria
0.0,27.6,45.3,52.8,67.3,39.5,20.8,75.7,EastLiguria
0.0,29.5,48.9,38.9,64.0,43.9,20.8,85.4,EastLiguria
0.0,23.7,52.4,25.0,69.7,26.0,13.2,46.6,EastLiguria
0.0,12.9,47.1,11.1,80.1,21.5,13.2,17.5,EastLiguria
0.0,30.5,54.2,38.9,62.1,39.5,24.5,56.3,EastLiguria
0.0,34.4,50.7,66.7,57.8,43.9,28.3,95.1,EastLiguria
0.0,32.5,53.3,52.8,59.7,43.9,20.8,85.4,EastLiguria
0.0,31.5,54.2,80.6,58.8,30.5,24.5,95.1,EastLiguria
0.0,36.4,50.7,66.7,57.8,17.0,32.1,95.1,EastLiguria
0.0,33.5,48.9,52.8,60.7,30.5,28.3,85.4,EastLiguria
0.0,32.5,46.2,38.9,62.6,39.5,32.1,85.4,EastLiguria
0.0,29.5,41.8,25.0,66.8,48.4,32.1,66.0,EastLiguria
0.0,26.6,42.7,66.7,67.8,57.4,28.3,95.1,EastLiguria
0.0,25.6,36.4,52.8,69.7,52.9,32.1,85.4,EastLiguria
0.0,30.5,42.7,80.6,65.4,43.9,28.3,75.7,EastLiguria
0.0,22.7,45.3,38.9,67.3,48.4,32.1,75.7,EastLiguria
0.0,21.7,41.8,38.9,72.5,39.5,24.5,66.0,EastLiguria
0.0,18.8,48.9,11.1,73.9,35.0,20.8,17.5,EastLiguria
0.0,21.7,43.6,25.0,72.0,39.5,24.5,66.0,EastLiguria
0.0,17.8,39.1,11.1,77.3,43.9,32.1,27.2,EastLiguria
0.0,23.7,42.7,38.9,70.1,52.9,28.3,46.6,EastLiguria
0.0,22.7,45.3,38.9,68.7,48.4,24.5,75.7,EastLiguria
0.0,27.6,45.3,52.8,65.4,43.9,32.1,66.0,EastLiguria
0.0,25.6,51.6,38.9,64.9,35.0,28.3,75.7,EastLiguria
0.0,28.6,49.8,25.0,62.6,43.9,35.8,85.4,EastLiguria
0.0,27.6,45.3,25.0,67.3,35.0,32.1,66.0,EastLiguria
0.0,26.6,51.6,11.1,65.9,52.9,24.5,36.9,EastLiguria
0.0,34.4,70.2,0.0,53.1,52.9,28.3,17.5,EastLiguria
0.0,30.5,65.8,11.1,57.8,43.9,24.5,27.2,EastLiguria
0.0,21.7,42.7,11.1,75.4,30.5,17.0,56.3,EastLiguria
0.0,19.8,48.0,38.9,70.6,35.0,28.3,56.3,EastLiguria
0.0,13.9,56.0,11.1,72.0,30.5,28.3,27.2,EastLiguria
0.0,8.0,54.2,0.0,75.4,39.5,32.1,7.8,EastLiguria
0.0,12.9,50.7,11.1,74.4,43.9,24.5,27.2,EastLiguria
0.0,17.8,49.8,38.9,67.8,39.5,35.8,85.4,EastLiguria
0.0,18.8,49.8,25.0,66.8,57.4,32.1,66.0,EastLiguria
0.0,22.7,50.7,11.1,70.6,30.5,24.5,36.9,EastLiguria
0.0,13.9,52.4,11.1,72.0,39.5,28.3,46.6,EastLiguria
0.0,11.9,47.1,25.0,74.9,39.5,28.3,56.3,EastLiguria
0.0,12.9,48.9,38.9,74.4,26.0,20.8,75.7,EastLiguria
0.0,19.8,46.2,52.8,70.1,43.9,24.5,56.3,EastLiguria
0.0,17.8,48.0,38.9,71.1,39.5,24.5,66.0,EastLiguria
0.0,21.7,44.4,25.0,72.0,39.5,20.8,66.0,EastLiguria
0.0,16.8,48.0,25.0,73.5,30.5,20.8,36.9,EastLiguria
0.0,21.7,50.7,25.0,69.2,39.5,24.5,46.6,EastLiguria
0.0,22.7,36.4,11.1,76.8,43.9,24.5,27.2,EastLiguria
0.0,19.8,0.0,0.0,100.0,35.0,24.5,17.5,EastLiguria
0.0,54.0,44.4,0.0,59.2,26.0,43.4,0.0,WestLiguria
0.0,56.9,36.4,0.0,58.3,30.5,32.1,0.0,WestLiguria
0.0,53.0,40.9,0.0,61.6,26.0,39.6,7.8,WestLiguria
0.0,58.9,35.6,11.1,55.9,88.8,28.3,7.8,WestLiguria
0.0,37.4,40.0,11.1,65.4,39.5,47.2,36.9,WestLiguria
0.0,42.3,40.0,11.1,62.6,52.9,47.2,17.5,WestLiguria
0.0,44.2,37.3,0.0,68.2,35.0,32.1,0.0,WestLiguria
0.0,51.1,45.3,0.0,58.3,43.9,43.4,0.0,WestLiguria
0.0,52.1,37.3,0.0,69.2,30.5,35.8,0.0,WestLiguria
0.0,53.0,40.9,11.1,61.6,35.0,32.1,0.0,WestLiguria
0.0,39.3,47.1,11.1,62.1,30.5,62.3,7.8,WestLiguria
0.0,40.3,42.7,11.1,61.1,35.0,62.3,36.9,WestLiguria
0.0,45.2,32.9,11.1,67.3,66.4,35.8,0.0,WestLiguria
0.0,57.9,32.9,0.0,58.8,79.8,28.3,0.0,WestLiguria
0.0,48.1,31.1,0.0,71.6,21.5,28.3,0.0,WestLiguria
0.0,47.2,33.8,0.0,70.1,26.0,28.3,0.0,WestLiguria
0.0,55.0,40.0,0.0,61.6,26.0,39.6,0.0,WestLiguria
0.0,27.6,56.0,11.1,62.1,43.9,50.9,7.8,WestLiguria
0.0,23.7,40.0,0.0,73.5,70.9,28.3,0.0,WestLiguria
0.0,50.1,36.4,0.0,62.6,61.9,32.1,7.8,WestLiguria
0.0,56.0,32.0,0.0,66.4,30.5,28.3,0.0,WestLiguria
0.0,55.0,50.7,0.0,54.5,30.5,43.4,7.8,WestLiguria
0.0,39.3,40.0,11.1,65.9,39.5,47.2,7.8,WestLiguria
0.0,56.9,33.8,0.0,63.0,43.9,32.1,0.0,WestLiguria
0.0,48.1,35.6,11.1,63.0,88.8,28.3,0.0,WestLiguria
0.0,36.4,38.2,11.1,70.1,43.9,28.3,7.8,WestLiguria
0.0,35.4,38.2,11.1,71.6,43.9,28.3,7.8,WestLiguria
0.0,46.2,36.4,11.1,62.6,88.8,28.3,0.0,WestLiguria
0.0,55.0,36.4,0.0,62.6,48.4,28.3,0.0,WestLiguria
0.0,47.2,35.6,11.1,62.1,88.8,28.3,0.0,WestLiguria
0.0,45.2,27.6,0.0,67.3,84.3,35.8,0.0,WestLiguria
0.0,44.2,37.3,0.0,66.8,43.9,32.1,7.8,WestLiguria
0.0,37.4,31.1,0.0,72.0,66.4,28.3,0.0,WestLiguria
0.0,38.4,37.3,0.0,71.6,26.0,35.8,0.0,WestLiguria
0.0,45.2,35.6,11.1,66.8,39.5,32.1,17.5,WestLiguria
0.0,39.3,36.4,0.0,71.1,39.5,28.3,0.0,WestLiguria
0.0,37.4,45.3,0.0,64.0,66.4,28.3,7.8,WestLiguria
0.0,34.4,42.7,11.1,66.8,61.9,28.3,0.0,WestLiguria
0.0,31.5,43.6,11.1,63.0,57.4,39.6,7.8,WestLiguria
0.0,30.5,42.7,11.1,72.0,39.5,24.5,0.0,WestLiguria
0.0,35.4,48.0,0.0,67.3,43.9,28.3,7.8,WestLiguria
0.0,29.5,44.4,0.0,71.6,35.0,28.3,7.8,WestLiguria
0.0,49.1,35.6,0.0,67.3,26.0,35.8,0.0,WestLiguria
0.0,41.3,40.9,11.1,67.8,30.5,32.1,7.8,WestLiguria
0.0,33.5,59.6,11.1,56.4,61.9,35.8,7.8,WestLiguria
0.0,35.4,40.0,11.1,68.2,52.9,32.1,7.8,WestLiguria
0.0,51.1,35.6,0.0,67.3,26.0,28.3,0.0,WestLiguria
0.0,41.3,33.8,11.1,68.7,43.9,39.6,7.8,WestLiguria
0.0,28.6,31.1,11.1,78.2,39.5,24.5,17.5,WestLiguria
0.0,14.9,42.2,31.9,78.4,14.8,20.8,51.5,Umbria
0.0,14.9,42.7,36.1,78.2,17.0,17.0,43.7,Umbria
0.0,15.1,41.8,45.8,78.7,16.6,18.9,17.5,Umbria
0.0,14.9,42.7,36.1,78.4,19.3,17.0,38.8,Umbria
0.0,14.9,44.0,48.6,75.8,21.5,15.1,51.5,Umbria
0.0,15.9,40.0,25.0,79.4,10.3,22.6,51.5,Umbria
0.0,15.4,39.1,36.1,79.5,8.1,20.8,61.2,Umbria
0.0,14.9,43.6,45.8,76.1,20.6,15.1,46.6,Umbria
0.0,15.4,40.4,27.8,78.9,11.7,18.9,61.2,Umbria
0.0,15.1,42.2,38.9,78.4,16.1,17.0,46.6,Umbria
0.0,15.4,41.8,31.9,78.7,12.6,18.9,51.5,Umbria
0.0,15.1,42.2,38.9,78.4,17.0,17.0,49.5,Umbria
0.0,15.1,41.3,25.0,78.7,19.3,20.0,36.9,Umbria
0.0,14.9,42.7,45.8,78.2,17.9,16.2,36.9,Umbria
0.0,14.9,43.1,50.0,78.0,20.6,17.0,31.1,Umbria
0.0,14.9,42.7,38.9,78.2,19.3,16.2,38.8,Umbria
0.0,15.1,43.1,45.8,78.2,20.6,16.2,29.1,Umbria
0.0,14.9,42.7,45.8,77.7,19.3,16.2,38.8,Umbria
0.0,14.9,43.1,45.8,78.0,20.6,16.2,31.1,Umbria
0.0,14.9,43.1,45.8,77.7,21.5,15.1,41.7,Umbria
0.0,15.7,41.8,36.1,78.9,16.1,20.8,33.0,Umbria
0.0,14.9,42.7,41.7,78.2,19.3,17.0,35.0,Umbria
0.0,14.4,44.0,51.4,75.8,21.5,15.1,52.4,Umbria
0.0,14.4,44.4,52.8,75.8,23.8,13.2,48.5,Umbria
0.0,15.7,41.3,36.1,79.5,20.6,20.8,30.1,Umbria
0.0,15.7,41.3,45.8,79.6,14.8,18.9,38.8,Umbria
0.0,15.9,40.4,31.9,79.4,12.6,22.6,46.6,Umbria
0.0,15.1,40.9,27.8,79.6,16.1,22.6,41.7,Umbria
0.0,15.1,40.9,27.8,79.6,16.1,22.6,41.7,Umbria
0.0,15.9,43.6,51.4,76.3,21.5,20.8,40.8,Umbria
0.0,15.9,41.3,27.8,78.7,14.8,20.8,54.4,Umbria
0.0,15.9,39.1,22.2,80.1,10.3,23.8,55.3,Umbria
0.0,14.9,42.7,41.7,78.0,20.6,17.0,32.0,Umbria
0.0,15.7,39.1,36.1,80.1,16.1,23.8,20.4,Umbria
0.0,15.4,41.3,36.1,79.4,17.0,20.8,24.3,Umbria
0.0,14.4,43.4,55.6,78.0,22.4,14.7,29.1,Umbria
0.0,12.4,44.0,69.4,80.8,20.6,0.0,17.5,Umbria
0.0,6.1,44.4,73.6,76.5,30.5,22.6,61.2,Umbria
0.0,17.4,39.8,52.8,80.0,11.7,13.2,51.5,Umbria
0.0,14.9,44.9,73.6,78.4,32.7,5.7,12.6,Umbria
0.0,11.9,44.0,69.4,80.3,20.6,5.7,17.5,Umbria
0.0,16.3,41.1,63.9,79.6,11.7,12.8,44.7,Umbria
0.0,11.9,44.4,66.7,80.1,26.0,0.0,17.5,Umbria
