arachidic,linolenic,palmitic,oleic,stearic,eicosenoic,palmitoleic,linoleic,region
73.8,56.9,30.4,72.0,47.5,55.4,23.4,28.2,NorthApulia
78.6,75.0,41.2,66.0,37.7,76.8,19.6,26.2,NorthApulia
81.6,75.0,34.2,71.4,61.0,67.9,11.7,22.6,NorthApulia
84.5,72.2,39.6,66.5,42.6,87.5,14.3,24.7,NorthApulia
69.9,55.6,40.4,74.7,36.8,42.9,9.1,25.0,NorthApulia
77.7,62.5,40.4,70.1,41.7,64.3,11.3,24.3,NorthApulia
59.2,56.9,63.2,41.4,29.1,50.0,45.7,49.1,Calabria
59.2,59.7,66.6,44.3,42.2,28.6,37.7,41.7,Calabria
60.2,61.1,68.3,39.2,53.8,37.5,36.2,48.1,Calabria
58.3,56.9,60.9,45.2,41.7,64.3,35.5,44.5,Calabria
64.1,52.8,59.1,46.7,28.3,69.6,40.0,43.4,Calabria
66.0,66.7,64.5,37.1,74.4,64.3,39.6,45.7,Calabria
68.0,61.1,62.1,45.4,39.9,58.9,40.4,41.3,Calabria
68.0,63.9,64.9,49.1,16.6,33.9,37.4,36.4,Calabria
65.0,52.8,61.2,47.8,45.3,44.6,38.1,36.7,Calabria
66.0,72.2,54.3,54.1,30.9,46.4,34.7,34.2,Calabria
63.1,58.3,56.4,51.9,58.7,46.4,21.5,37.3,Calabria
61.2,76.4,60.0,48.5,41.3,60.7,43.0,36.3,Calabria
62.1,61.1,56.7,47.3,72.2,55.4,34.7,38.4,Calabria
70.9,63.9,66.3,43.1,37.7,60.7,34.3,40.9,Calabria
60.2,65.3,57.8,50.0,34.1,46.4,32.8,41.3,Calabria
61.2,62.5,57.9,44.5,71.7,41.1,40.0,42.0,Calabria
57.3,63.9,61.7,40.8,57.0,62.5,41.1,47.0,Calabria
61.2,68.1,65.2,39.3,60.5,69.6,38.5,43.9,Calabria
50.5,62.5,63.4,49.8,66.4,42.9,30.6,30.2,Calabria
57.3,63.9,60.6,49.8,28.3,53.6,38.5,38.3,Calabria
67.0,61.1,57.2,51.8,41.3,39.3,38.9,33.1,Calabria
65.0,54.2,62.4,41.1,48.0,32.1,43.8,48.0,Calabria
61.2,62.5,53.6,45.5,66.8,51.8,35.5,46.7,Calabria
52.4,54.2,66.6,45.6,89.2,25.0,31.3,32.5,Calabria
65.0,59.7,58.3,53.8,49.8,48.2,30.9,28.9,Calabria
63.1,59.7,61.2,47.9,71.3,37.5,31.7,33.2,Calabria
68.0,56.9,58.8,45.4,57.0,44.6,38.1,41.5,Calabria
49.5,58.3,59.4,51.1,80.7,39.3,27.2,31.6,Calabria
53.4,63.9,51.0,51.7,71.3,46.4,36.6,36.3,Calabria
56.3,51.4,68.6,44.6,52.0,50.0,35.8,37.2,Calabria
47.6,50.0,50.9,60.7,62.8,37.5,49.4,16.6,Calabria
66.0,69.4,57.9,50.0,30.0,42.9,52.1,36.2,Calabria
51.5,34.7,52.3,63.5,39.0,30.4,45.7,18.1,Calabria
45.6,47.2,54.7,64.4,35.9,42.9,44.9,16.4,Calabria
65.0,52.8,64.8,42.2,25.1,41.1,57.0,46.5,Calabria
56.3,59.7,46.4,63.6,39.5,51.8,53.6,18.6,Calabria
66.0,62.5,68.5,51.4,41.7,41.1,63.4,15.8,Calabria
53.4,56.9,71.0,45.4,47.1,25.0,42.6,30.4,Calabria
64.1,62.5,61.9,45.2,43.9,39.3,42.3,41.2,Calabria
64.1,58.3,67.7,50.0,43.9,46.4,39.6,24.9,Calabria
56.3,50.0,64.5,47.1,40.4,28.6,37.0,39.8,Calabria
68.0,59.7,70.3,40.9,38.6,60.7,51.3,40.0,Calabria
58.3,52.8,69.3,44.4,36.8,69.6,39.2,36.7,Calabria
51.5,51.4,73.1,34.5,57.8,41.1,51.7,49.0,Calabria
64.1,59.7,71.3,41.8,65.5,46.4,41.1,33.5,Calabria
66.0,68.1,67.2,42.5,62.3,57.1,49.8,32.8,Calabria
64.1,59.7,68.7,46.5,54.3,48.2,38.9,28.4,Calabria
61.2,72.2,59.8,52.1,49.8,46.4,32.8,30.8,Calabria
47.6,63.9,61.0,51.2,48.4,28.6,45.7,32.5,Calabria
40.8,58.3,60.2,49.4,60.5,37.5,35.1,37.0,Calabria
56.3,47.2,65.9,44.0,64.6,35.7,54.3,35.4,Calabria
65.0,69.4,56.1,56.8,52.0,60.7,30.9,25.5,Calabria
61.2,100.0,58.4,44.1,66.4,57.1,32.5,44.0,Calabria
62.1,72.2,55.6,48.4,44.8,60.7,46.4,40.4,Calabria
52.4,62.5,57.3,51.9,31.8,50.0,33.2,39.1,Calabria
86.4,61.1,91.5,10.0,80.3,53.6,59.2,66.1,Sicily
78.6,63.9,65.3,23.7,53.8,62.5,44.5,73.0,Sicily
83.5,61.1,64.8,25.5,55.2,73.2,58.5,59.9,Sicily
90.3,58.3,51.9,46.3,49.8,69.6,45.3,43.2,Sicily
65.0,69.4,44.6,69.7,100.0,76.8,20.0,0.0,Sicily
63.1,63.9,54.4,61.8,79.4,73.2,20.8,11.5,Sicily
61.2,65.3,46.8,62.4,84.8,53.6,21.5,20.8,Sicily
61.2,59.7,28.1,71.8,56.1,41.1,9.8,32.9,Sicily
64.1,68.1,44.0,67.0,99.1,62.5,20.4,8.2,Sicily
60.2,59.7,44.4,60.5,68.6,60.7,24.2,30.8,Sicily
72.8,56.9,59.9,44.3,50.7,78.6,29.4,43.5,Sicily
55.3,55.6,45.3,52.9,56.1,60.7,20.4,48.7,Sicily
60.2,55.6,27.2,74.4,57.8,100.0,14.0,24.1,Sicily
67.0,65.3,26.2,68.6,61.0,96.4,12.8,35.6,Sicily
69.9,58.3,53.0,48.8,60.5,71.4,15.1,47.7,Sicily
79.6,54.2,75.3,34.1,51.6,62.5,63.0,40.6,Sicily
82.5,47.2,63.7,48.7,18.4,58.9,47.2,36.7,Sicily
81.6,52.8,61.6,35.3,44.4,67.9,32.1,58.8,Sicily
73.8,44.4,74.1,27.3,48.0,53.6,60.4,56.7,Sicily
68.0,38.9,79.6,31.4,33.2,44.6,86.0,40.1,Sicily
72.8,48.6,72.8,29.2,31.8,67.9,55.5,58.0,Sicily
92.2,48.6,78.3,32.9,26.5,64.3,55.5,47.0,Sicily
88.3,50.0,69.6,42.1,26.5,67.9,42.6,41.3,Sicily
96.1,52.8,70.6,38.4,26.0,73.2,44.9,46.5,Sicily
84.5,50.0,54.4,50.9,27.8,76.8,43.4,39.9,Sicily
60.2,55.6,48.3,61.3,73.5,53.6,22.3,25.1,Sicily
65.0,56.9,49.7,59.4,69.5,53.6,23.0,27.4,Sicily
66.0,51.4,67.5,50.9,38.1,23.2,33.6,32.0,Sicily
58.3,54.2,34.0,68.4,51.6,75.0,16.2,31.8,Sicily
65.0,58.3,32.9,67.3,45.7,80.4,14.3,35.9,Sicily
59.2,59.7,31.7,66.0,54.3,80.4,15.1,37.7,Sicily
71.8,58.3,46.0,58.2,90.6,64.3,21.9,27.4,Sicily
68.9,58.3,51.4,54.3,54.3,71.4,26.4,35.8,Sicily
66.0,56.9,57.5,52.4,42.6,58.9,30.2,35.6,Sicily
67.0,56.9,58.0,55.5,66.8,51.8,27.5,25.0,Sicily
85.4,45.8,38.4,51.0,26.0,0.0,45.3,65.4,InlandSardinia
89.3,41.7,43.8,51.2,26.0,0.0,30.6,62.3,InlandSardinia
89.3,45.8,45.2,46.4,30.9,0.0,30.9,69.1,InlandSardinia
87.4,40.3,39.3,51.6,28.3,0.0,30.2,66.3,InlandSardinia
62.1,33.3,45.0,46.9,35.4,0.0,32.8,70.5,InlandSardinia
62.1,25.0,44.3,48.3,35.4,0.0,44.2,63.9,InlandSardinia
58.3,36.1,46.1,51.5,26.9,0.0,35.1,61.3,InlandSardinia
58.3,36.1,42.2,51.4,31.8,0.0,28.7,66.3,InlandSardinia
57.3,34.7,43.9,48.4,36.3,0.0,33.2,68.4,InlandSardinia
63.1,36.1,43.4,49.2,26.9,0.0,27.5,67.7,InlandSardinia
58.3,37.5,44.3,50.6,35.4,0.0,29.1,64.8,InlandSardinia
64.1,41.7,41.3,52.7,24.7,0.0,33.2,63.4,InlandSardinia
68.0,31.9,39.9,51.5,34.1,0.0,30.6,66.5,InlandSardinia
77.7,45.8,50.3,49.6,24.7,0.0,29.1,59.6,InlandSardinia
60.2,50.0,48.8,48.3,27.4,0.0,31.3,64.6,InlandSardinia
63.1,34.7,46.4,52.0,22.0,0.0,24.5,63.3,InlandSardinia
85.4,37.5,44.2,52.1,30.5,0.0,22.6,63.4,InlandSardinia
54.4,36.1,42.8,50.0,36.8,0.0,33.6,66.3,InlandSardinia
76.7,43.1,45.2,52.6,30.0,0.0,24.9,59.6,InlandSardinia
64.1,45.8,44.1,51.2,26.9,0.0,29.4,64.2,InlandSardinia
84.5,36.1,38.8,51.4,38.6,0.0,32.5,65.8,InlandSardinia
63.1,27.8,49.3,48.9,27.8,0.0,31.7,63.9,InlandSardinia
72.8,37.5,48.7,48.7,22.0,0.0,26.0,66.0,InlandSardinia
73.8,48.6,43.1,52.8,22.9,0.0,27.5,63.1,InlandSardinia
69.9,43.1,50.3,51.9,23.8,0.0,22.6,64.5,InlandSardinia
55.3,36.1,43.8,49.1,30.5,0.0,35.5,67.7,InlandSardinia
68.9,41.7,44.6,50.0,25.6,0.0,29.1,66.2,InlandSardinia
49.5,25.0,42.8,51.0,31.4,0.0,29.4,65.1,InlandSardinia
73.8,43.1,41.8,50.8,30.0,0.0,31.3,66.2,InlandSardinia
62.1,38.9,39.2,52.3,33.6,0.0,35.1,65.2,InlandSardinia
67.0,38.9,43.2,52.8,26.5,0.0,26.0,62.9,InlandSardinia
61.2,36.1,47.3,49.3,32.7,0.0,30.9,63.9,InlandSardinia
75.7,41.7,38.8,52.1,37.7,0.0,30.6,64.5,InlandSardinia
78.6,40.3,44.8,50.2,26.0,0.0,26.8,65.4,InlandSardinia
69.9,29.2,47.1,48.5,39.9,0.0,29.4,63.6,InlandSardinia
75.7,47.2,41.3,52.6,21.5,0.0,28.7,64.5,InlandSardinia
72.8,43.1,42.8,53.4,30.0,0.0,34.3,66.2,InlandSardinia
74.8,34.7,41.4,52.5,23.3,0.0,30.2,66.7,InlandSardinia
82.5,44.4,50.5,51.2,22.0,0.0,27.9,63.7,InlandSardinia
52.4,56.9,43.1,50.6,31.8,0.0,33.6,64.9,InlandSardinia
77.7,38.9,39.2,53.1,26.5,0.0,23.8,68.3,InlandSardinia
57.3,36.1,38.9,54.0,27.4,0.0,24.2,66.7,InlandSardinia
74.8,37.5,40.1,53.1,30.5,0.0,26.8,64.0,InlandSardinia
68.0,36.1,44.0,49.9,26.0,0.0,27.5,67.9,InlandSardinia
42.7,25.0,47.6,43.0,38.1,0.0,7.5,65.6,InlandSardinia
43.7,27.8,39.0,47.5,30.0,0.0,30.6,70.5,InlandSardinia
41.7,29.2,44.0,47.5,29.6,0.0,39.6,69.5,InlandSardinia
66.0,26.4,37.3,52.3,27.8,0.0,26.0,71.3,InlandSardinia
64.1,36.1,40.9,46.4,28.3,0.0,31.3,77.5,InlandSardinia
85.4,38.9,43.8,47.9,25.1,0.0,24.9,71.3,InlandSardinia
80.6,31.9,38.2,50.6,23.8,0.0,32.5,71.2,InlandSardinia
68.0,27.8,43.6,48.3,26.0,0.0,30.2,65.1,InlandSardinia
81.6,47.2,45.2,52.8,21.1,0.0,26.4,59.9,InlandSardinia
69.9,30.6,40.4,49.5,35.0,0.0,31.3,70.0,InlandSardinia
65.0,27.8,46.3,50.1,30.9,0.0,23.8,65.8,InlandSardinia
100.0,45.8,41.8,47.2,29.6,0.0,39.6,68.2,InlandSardinia
68.9,27.8,41.3,52.3,35.4,0.0,26.8,64.7,InlandSardinia
62.1,31.9,38.2,50.4,34.1,0.0,33.2,70.9,InlandSardinia
83.5,38.9,46.0,48.3,22.9,0.0,25.3,68.5,InlandSardinia
61.2,25.0,40.0,50.4,35.4,0.0,36.2,68.6,InlandSardinia
61.2,25.0,43.8,50.5,30.5,0.0,23.8,68.6,InlandSardinia
69.9,30.6,44.4,48.2,22.0,0.0,28.7,72.1,InlandSardinia
83.5,36.1,42.8,51.3,29.6,0.0,35.1,71.9,InlandSardinia
91.3,33.3,43.0,49.3,30.5,0.0,30.6,66.4,InlandSardinia
70.9,27.8,48.7,36.3,41.7,0.0,35.1,85.9,CoastalSardinia
64.1,26.4,46.5,37.0,39.9,0.0,35.8,87.5,CoastalSardinia
78.6,26.4,43.1,38.9,43.9,0.0,41.5,83.9,CoastalSardinia
70.9,31.9,52.5,32.7,38.6,0.0,27.2,91.5,CoastalSardinia
61.2,27.8,53.6,33.5,41.7,0.0,36.6,86.8,CoastalSardinia
78.6,25.0,49.4,31.8,53.8,0.0,30.9,92.2,CoastalSardinia
57.3,27.8,48.4,39.3,47.1,0.0,39.2,78.8,CoastalSardinia
90.3,27.8,50.4,27.6,39.9,0.0,36.2,100.0,CoastalSardinia
74.8,30.6,48.9,35.2,39.5,0.0,30.6,88.9,CoastalSardinia
54.4,18.1,45.5,40.0,39.9,0.0,33.6,84.6,CoastalSardinia
85.4,30.6,46.4,36.3,47.1,0.0,31.7,89.4,CoastalSardinia
69.9,31.9,43.2,40.9,48.4,0.0,32.1,81.6,CoastalSardinia
68.0,31.9,46.3,40.0,36.3,0.0,27.2,84.1,CoastalSardinia
62.1,33.3,51.0,34.1,47.5,0.0,34.0,87.3,CoastalSardinia
63.1,30.6,46.7,39.0,37.2,0.0,29.8,85.3,CoastalSardinia
53.4,36.1,42.1,40.9,39.5,0.0,30.6,86.3,CoastalSardinia
58.3,36.1,42.3,40.7,44.8,0.0,42.3,81.9,CoastalSardinia
67.0,29.2,47.1,37.2,47.5,0.0,30.2,88.0,CoastalSardinia
64.1,31.9,46.9,38.1,45.7,0.0,32.5,84.3,CoastalSardinia
72.8,34.7,48.8,36.4,48.9,0.0,35.8,83.1,CoastalSardinia
53.4,36.1,46.3,41.2,25.1,0.0,27.2,84.1,CoastalSardinia
80.6,43.1,50.2,36.8,27.8,0.0,35.1,84.1,CoastalSardinia
63.1,37.5,41.4,44.7,22.4,0.0,23.4,83.9,CoastalSardinia
70.9,29.2,45.3,36.4,39.5,0.0,28.3,91.5,CoastalSardinia
76.7,31.9,48.2,37.0,38.6,0.0,36.2,90.4,CoastalSardinia
64.1,27.8,47.2,34.8,43.9,0.0,30.2,92.0,CoastalSardinia
71.8,30.6,43.4,39.6,51.6,0.0,33.2,83.5,CoastalSardinia
65.0,33.3,45.9,36.1,37.7,0.0,32.1,91.2,CoastalSardinia
56.3,22.2,42.4,42.7,40.8,0.0,27.9,83.6,CoastalSardinia
70.9,25.0,44.9,37.2,37.7,0.0,30.6,90.4,CoastalSardinia
79.6,27.8,50.5,33.5,39.9,0.0,29.1,90.8,CoastalSardinia
67.0,31.9,49.1,34.4,40.4,0.0,34.3,90.0,CoastalSardinia
66.0,52.8,49.8,65.9,35.0,0.0,24.5,26.6,EastLiguria
75.7,38.9,43.6,65.4,43.9,0.0,28.3,30.5,EastLiguria
75.7,52.8,45.3,67.3,39.5,0.0,20.8,27.6,EastLiguria
85.4,38.9,48.9,64.0,43.9,0.0,20.8,29.5,EastLiguria
46.6,25.0,52.4,69.7,26.0,0.0,13.2,23.7,EastLiguria
17.5,11.1,47.1,80.1,21.5,0.0,13.2,12.9,EastLiguria
56.3,38.9,54.2,62.1,39.5,0.0,24.5,30.5,EastLiguria
95.1,66.7,50.7,57.8,43.9,0.0,28.3,34.4,EastLiguria
85.4,52.8,53.3,59.7,43.9,0.0,20.8,32.5,EastLiguria
95.1,80.6,54.2,58.8,30.5,0.0,24.5,31.5,EastLiguria
95.1,66.7,50.7,57.8,17.0,0.0,32.1,36.4,EastLiguria
85.4,52.8,48.9,60.7,30.5,0.0,28.3,33.5,EastLiguria
85.4,38.9,46.2,62.6,39.5,0.0,32.1,32.5,EastLiguria
66.0,25.0,41.8,66.8,48.4,0.0,32.1,29.5,EastLiguria
95.1,66.7,42.7,67.8,57.4,0.0,28.3,26.6,EastLiguria
85.4,52.8,36.4,69.7,52.9,0.0,32.1,25.6,EastLiguria
75.7,80.6,42.7,65.4,43.9,0.0,28.3,30.5,EastLiguria
75.7,38.9,45.3,67.3,48.4,0.0,32.1,22.7,EastLiguria
66.0,38.9,41.8,72.5,39.5,0.0,24.5,21.7,EastLiguria
17.5,11.1,48.9,73.9,35.0,0.0,20.8,18.8,EastLiguria
66.0,25.0,43.6,72.0,39.5,0.0,24.5,21.7,EastLiguria
27.2,11.1,39.1,77.3,43.9,0.0,32.1,17.8,EastLiguria
46.6,38.9,42.7,70.1,52.9,0.0,28.3,23.7,EastLiguria
75.7,38.9,45.3,68.7,48.4,0.0,24.5,22.7,EastLiguria
66.0,52.8,45.3,65.4,43.9,0.0,32.1,27.6,EastLiguria
75.7,38.9,51.6,64.9,35.0,0.0,28.3,25.6,EastLiguria
85.4,25.0,49.8,62.6,43.9,0.0,35.8,28.6,EastLiguria
66.0,25.0,45.3,67.3,35.0,0.0,32.1,27.6,EastLiguria
36.9,11.1,51.6,65.9,52.9,0.0,24.5,26.6,EastLiguria
17.5,0.0,70.2,53.1,52.9,0.0,28.3,34.4,EastLiguria
27.2,11.1,65.8,57.8,43.9,0.0,24.5,30.5,EastLiguria
56.3,11.1,42.7,75.4,30.5,0.0,17.0,21.7,EastLiguria
56.3,38.9,48.0,70.6,35.0,0.0,28.3,19.8,EastLiguria
27.2,11.1,56.0,72.0,30.5,0.0,28.3,13.9,EastLiguria
7.8,0.0,54.2,75.4,39.5,0.0,32.1,8.0,EastLiguria
27.2,11.1,50.7,74.4,43.9,0.0,24.5,12.9,EastLiguria
85.4,38.9,49.8,67.8,39.5,0.0,35.8,17.8,EastLiguria
66.0,25.0,49.8,66.8,57.4,0.0,32.1,18.8,EastLiguria
36.9,11.1,50.7,70.6,30.5,0.0,24.5,22.7,EastLiguria
46.6,11.1,52.4,72.0,39.5,0.0,28.3,13.9,EastLiguria
56.3,25.0,47.1,74.9,39.5,0.0,28.3,11.9,EastLiguria
75.7,38.9,48.9,74.4,26.0,0.0,20.8,12.9,EastLiguria
56.3,52.8,46.2,70.1,43.9,0.0,24.5,19.8,EastLiguria
66.0,38.9,48.0,71.1,39.5,0.0,24.5,17.8,EastLiguria
66.0,25.0,44.4,72.0,39.5,0.0,20.8,21.7,EastLiguria
36.9,25.0,48.0,73.5,30.5,0.0,20.8,16.8,EastLiguria
46.6,25.0,50.7,69.2,39.5,0.0,24.5,21.7,EastLiguria
27.2,11.1,36.4,76.8,43.9,0.0,24.5,22.7,EastLiguria
17.5,0.0,0.0,100.0,35.0,0.0,24.5,19.8,EastLiguria
0.0,0.0,44.4,59.2,26.0,0.0,43.4,54.0,WestLiguria
0.0,0.0,36.4,58.3,30.5,0.0,32.1,56.9,WestLiguria
7.8,0.0,40.9,61.6,26.0,0.0,39.6,53.0,WestLiguria
7.8,11.1,35.6,55.9,88.8,0.0,28.3,58.9,WestLiguria
36.9,11.1,40.0,65.4,39.5,0.0,47.2,37.4,WestLiguria
17.5,11.1,40.0,62.6,52.9,0.0,47.2,42.3,WestLiguria
0.0,0.0,37.3,68.2,35.0,0.0,32.1,44.2,WestLiguria
0.0,0.0,45.3,58.3,43.9,0.0,43.4,51.1,WestLiguria
0.0,0.0,37.3,69.2,30.5,0.0,35.8,52.1,WestLiguria
0.0,11.1,40.9,61.6,35.0,0.0,32.1,53.0,WestLiguria
7.8,11.1,47.1,62.1,30.5,0.0,62.3,39.3,WestLiguria
36.9,11.1,42.7,61.1,35.0,0.0,62.3,40.3,WestLiguria
0.0,11.1,32.9,67.3,66.4,0.0,35.8,45.2,WestLiguria
0.0,0.0,32.9,58.8,79.8,0.0,28.3,57.9,WestLiguria
0.0,0.0,31.1,71.6,21.5,0.0,28.3,48.1,WestLiguria
0.0,0.0,33.8,70.1,26.0,0.0,28.3,47.2,WestLiguria
0.0,0.0,40.0,61.6,26.0,0.0,39.6,55.0,WestLiguria
7.8,11.1,56.0,62.1,43.9,0.0,50.9,27.6,WestLiguria
0.0,0.0,40.0,73.5,70.9,0.0,28.3,23.7,WestLiguria
7.8,0.0,36.4,62.6,61.9,0.0,32.1,50.1,WestLiguria
0.0,0.0,32.0,66.4,30.5,0.0,28.3,56.0,WestLiguria
7.8,0.0,50.7,54.5,30.5,0.0,43.4,55.0,WestLiguria
7.8,11.1,40.0,65.9,39.5,0.0,47.2,39.3,WestLiguria
0.0,0.0,33.8,63.0,43.9,0.0,32.1,56.9,WestLiguria
0.0,11.1,35.6,63.0,88.8,0.0,28.3,48.1,WestLiguria
7.8,11.1,38.2,70.1,43.9,0.0,28.3,36.4,WestLiguria
7.8,11.1,38.2,71.6,43.9,0.0,28.3,35.4,WestLiguria
0.0,11.1,36.4,62.6,88.8,0.0,28.3,46.2,WestLiguria
0.0,0.0,36.4,62.6,48.4,0.0,28.3,55.0,WestLiguria
0.0,11.1,35.6,62.1,88.8,0.0,28.3,47.2,WestLiguria
0.0,0.0,27.6,67.3,84.3,0.0,35.8,45.2,WestLiguria
7.8,0.0,37.3,66.8,43.9,0.0,32.1,44.2,WestLiguria
0.0,0.0,31.1,72.0,66.4,0.0,28.3,37.4,WestLiguria
0.0,0.0,37.3,71.6,26.0,0.0,35.8,38.4,WestLiguria
17.5,11.1,35.6,66.8,39.5,0.0,32.1,45.2,WestLiguria
0.0,0.0,36.4,71.1,39.5,0.0,28.3,39.3,WestLiguria
7.8,0.0,45.3,64.0,66.4,0.0,28.3,37.4,WestLiguria
0.0,11.1,42.7,66.8,61.9,0.0,28.3,34.4,WestLiguria
7.8,11.1,43.6,63.0,57.4,0.0,39.6,31.5,WestLiguria
0.0,11.1,42.7,72.0,39.5,0.0,24.5,30.5,WestLiguria
7.8,0.0,48.0,67.3,43.9,0.0,28.3,35.4,WestLiguria
7.8,0.0,44.4,71.6,35.0,0.0,28.3,29.5,WestLiguria
0.0,0.0,35.6,67.3,26.0,0.0,35.8,49.1,WestLiguria
7.8,11.1,40.9,67.8,30.5,0.0,32.1,41.3,WestLiguria
7.8,11.1,59.6,56.4,61.9,0.0,35.8,33.5,WestLiguria
7.8,11.1,40.0,68.2,52.9,0.0,32.1,35.4,WestLiguria
0.0,0.0,35.6,67.3,26.0,0.0,28.3,51.1,WestLiguria
7.8,11.1,33.8,68.7,43.9,0.0,39.6,41.3,WestLiguria
17.5,11.1,31.1,78.2,39.5,0.0,24.5,28.6,WestLiguria
51.5,31.9,42.2,78.4,14.8,0.0,20.8,14.9,Umbria
43.7,36.1,42.7,78.2,17.0,0.0,17.0,14.9,Umbria
17.5,45.8,41.8,78.7,16.6,0.0,18.9,15.1,Umbria
38.8,36.1,42.7,78.4,19.3,0.0,17.0,14.9,Umbria
51.5,48.6,44.0,75.8,21.5,0.0,15.1,14.9,Umbria
51.5,25.0,40.0,79.4,10.3,0.0,22.6,15.9,Umbria
61.2,36.1,39.1,79.5,8.1,0.0,20.8,15.4,Umbria
46.6,45.8,43.6,76.1,20.6,0.0,15.1,14.9,Umbria
61.2,27.8,40.4,78.9,11.7,0.0,18.9,15.4,Umbria
46.6,38.9,42.2,78.4,16.1,0.0,17.0,15.1,Umbria
51.5,31.9,41.8,78.7,12.6,0.0,18.9,15.4,Umbria
49.5,38.9,42.2,78.4,17.0,0.0,17.0,15.1,Umbria
36.9,25.0,41.3,78.7,19.3,0.0,20.0,15.1,Umbria
36.9,45.8,42.7,78.2,17.9,0.0,16.2,14.9,Umbria
31.1,50.0,43.1,78.0,20.6,0.0,17.0,14.9,Umbria
38.8,38.9,42.7,78.2,19.3,0.0,16.2,14.9,Umbria
29.1,45.8,43.1,78.2,20.6,0.0,16.2,15.1,Umbria
38.8,45.8,42.7,77.7,19.3,0.0,16.2,14.9,Umbria
31.1,45.8,43.1,78.0,20.6,0.0,16.2,14.9,Umbria
41.7,45.8,43.1,77.7,21.5,0.0,15.1,14.9,Umbria
33.0,36.1,41.8,78.9,16.1,0.0,20.8,15.7,Umbria
35.0,41.7,42.7,78.2,19.3,0.0,17.0,14.9,Umbria
52.4,51.4,44.0,75.8,21.5,0.0,15.1,14.4,Umbria
48.5,52.8,44.4,75.8,23.8,0.0,13.2,14.4,Umbria
30.1,36.1,41.3,79.5,20.6,0.0,20.8,15.7,Umbria
38.8,45.8,41.3,79.6,14.8,0.0,18.9,15.7,Umbria
46.6,31.9,40.4,79.4,12.6,0.0,22.6,15.9,Umbria
41.7,27.8,40.9,79.6,16.1,0.0,22.6,15.1,Umbria
41.7,27.8,40.9,79.6,16.1,0.0,22.6,15.1,Umbria
40.8,51.4,43.6,76.3,21.5,0.0,20.8,15.9,Umbria
54.4,27.8,41.3,78.7,14.8,0.0,20.8,15.9,Umbria
55.3,22.2,39.1,80.1,10.3,0.0,23.8,15.9,Umbria
32.0,41.7,42.7,78.0,20.6,0.0,17.0,14.9,Umbria
20.4,36.1,39.1,80.1,16.1,0.0,23.8,15.7,Umbria
24.3,36.1,41.3,79.4,17.0,0.0,20.8,15.4,Umbria
29.1,55.6,43.4,78.0,22.4,0.0,14.7,14.4,Umbria
17.5,69.4,44.0,80.8,20.6,0.0,0.0,12.4,Umbria
61.2,73.6,44.4,76.5,30.5,0.0,22.6,6.1,Umbria
51.5,52.8,39.8,80.0,11.7,0.0,13.2,17.4,Umbria
12.6,73.6,44.9,78.4,32.7,0.0,5.7,14.9,Umbria
17.5,69.4,44.0,80.3,20.6,0.0,5.7,11.9,Umbria
44.7,63.9,41.1,79.6,11.7,0.0,12.8,16.3,Umbria
17.5,66.7,44.4,80.1,26.0,0.0,0.0,11.9,Umbria
