palmitic,palmitoleic,linoleic,arachidic,linolenic,eicosenoic,stearic,oleic,region
44.0,27.5,67.9,68.0,36.1,0.0,26.0,49.9,InlandSardinia
47.6,7.5,65.6,42.7,25.0,0.0,38.1,43.0,InlandSardinia
39.0,30.6,70.5,43.7,27.8,0.0,30.0,47.5,InlandSardinia
44.0,39.6,69.5,41.7,29.2,0.0,29.6,47.5,InlandSardinia
37.3,26.0,71.3,66.0,26.4,0.0,27.8,52.3,InlandSardinia
40.9,31.3,77.5,64.1,36.1,0.0,28.3,46.4,InlandSardinia
43.8,24.9,71.3,85.4,38.9,0.0,25.1,47.9,InlandSardinia
38.2,32.5,71.2,80.6,31.9,0.0,23.8,50.6,InlandSardinia
43.6,30.2,65.1,68.0,27.8,0.0,26.0,48.3,InlandSardinia
45.2,26.4,59.9,81.6,47.2,0.0,21.1,52.8,InlandSardinia
40.4,31.3,70.0,69.9,30.6,0.0,35.0,49.5,InlandSardinia
46.3,23.8,65.8,65.0,27.8,0.0,30.9,50.1,InlandSardinia
41.8,39.6,68.2,100.0,45.8,0.0,29.6,47.2,InlandSardinia
41.3,26.8,64.7,68.9,27.8,0.0,35.4,52.3,InlandSardinia
38.2,33.2,70.9,62.1,31.9,0.0,34.1,50.4,InlandSardinia
46.0,25.3,68.5,83.5,38.9,0.0,22.9,48.3,InlandSardinia
40.0,36.2,68.6,61.2,25.0,0.0,35.4,50.4,InlandSardinia
43.8,23.8,68.6,61.2,25.0,0.0,30.5,50.5,InlandSardinia
44.4,28.7,72.1,69.9,30.6,0.0,22.0,48.2,InlandSardinia
42.8,35.1,71.9,83.5,36.1,0.0,29.6,51.3,InlandSardinia
43.0,30.6,66.4,91.3,33.3,0.0,30.5,49.3,InlandSardinia
48.7,35.1,85.9,70.9,27.8,0.0,41.7,36.3,CoastalSardinia
46.5,35.8,87.5,64.1,26.4,0.0,39.9,37.0,CoastalSardinia
43.1,41.5,83.9,78.6,26.4,0.0,43.9,38.9,CoastalSardinia
52.5,27.2,91.5,70.9,31.9,0.0,38.6,32.7,CoastalSardinia
53.6,36.6,86.8,61.2,27.8,0.0,41.7,33.5,CoastalSardinia
49.4,30.9,92.2,78.6,25.0,0.0,53.8,31.8,CoastalSardinia
48.4,39.2,78.8,57.3,27.8,0.0,47.1,39.3,CoastalSardinia
50.4,36.2,100.0,90.3,27.8,0.0,39.9,27.6,CoastalSardinia
48.9,30.6,88.9,74.8,30.6,0.0,39.5,35.2,CoastalSardinia
45.5,33.6,84.6,54.4,18.1,0.0,39.9,40.0,CoastalSardinia
46.4,31.7,89.4,85.4,30.6,0.0,47.1,36.3,CoastalSardinia
43.2,32.1,81.6,69.9,31.9,0.0,48.4,40.9,CoastalSardinia
46.3,27.2,84.1,68.0,31.9,0.0,36.3,40.0,CoastalSardinia
51.0,34.0,87.3,62.1,33.3,0.0,47.5,34.1,CoastalSardinia
46.7,29.8,85.3,63.1,30.6,0.0,37.2,39.0,CoastalSardinia
42.1,30.6,86.3,53.4,36.1,0.0,39.5,40.9,CoastalSardinia
42.3,42.3,81.9,58.3,36.1,0.0,44.8,40.7,CoastalSardinia
47.1,30.2,88.0,67.0,29.2,0.0,47.5,37.2,CoastalSardinia
46.9,32.5,84.3,64.1,31.9,0.0,45.7,38.1,CoastalSardinia
48.8,35.8,83.1,72.8,34.7,0.0,48.9,36.4,CoastalSardinia
46.3,27.2,84.1,53.4,36.1,0.0,25.1,41.2,CoastalSardinia
50.2,35.1,84.1,80.6,43.1,0.0,27.8,36.8,CoastalSardinia
41.4,23.4,83.9,63.1,37.5,0.0,22.4,44.7,CoastalSardinia
45.3,28.3,91.5,70.9,29.2,0.0,39.5,36.4,CoastalSardinia
48.2,36.2,90.4,76.7,31.9,0.0,38.6,37.0,CoastalSardinia
47.2,30.2,92.0,64.1,27.8,0.0,43.9,34.8,CoastalSardinia
43.4,33.2,83.5,71.8,30.6,0.0,51.6,39.6,CoastalSardinia
45.9,32.1,91.2,65.0,33.3,0.0,37.7,36.1,CoastalSardinia
42.4,27.9,83.6,56.3,22.2,0.0,40.8,42.7,CoastalSardinia
44.9,30.6,90.4,70.9,25.0,0.0,37.7,37.2,CoastalSardinia
50.5,29.1,90.8,79.6,27.8,0.0,39.9,33.5,CoastalSardinia
49.1,34.3,90.0,67.0,31.9,0.0,40.4,34.4,CoastalSardinia
49.8,24.5,26.6,66.0,52.8,0.0,35.0,65.9,EastLiguria
43.6,28.3,30.5,75.7,38.9,0.0,43.9,65.4,EastLiguria
45.3,20.8,27.6,75.7,52.8,0.0,39.5,67.3,EastLiguria
48.9,20.8,29.5,85.4,38.9,0.0,43.9,64.0,EastLiguria
52.4,13.2,23.7,46.6,25.0,0.0,26.0,69.7,EastLiguria
47.1,13.2,12.9,17.5,11.1,0.0,21.5,80.1,EastLiguria
54.2,24.5,30.5,56.3,38.9,0.0,39.5,62.1,EastLiguria
50.7,28.3,34.4,95.1,66.7,0.0,43.9,57.8,EastLiguria
53.3,20.8,32.5,85.4,52.8,0.0,43.9,59.7,EastLiguria
54.2,24.5,31.5,95.1,80.6,0.0,30.5,58.8,EastLiguria
50.7,32.1,36.4,95.1,66.7,0.0,17.0,57.8,EastLiguria
48.9,28.3,33.5,85.4,52.8,0.0,30.5,60.7,EastLiguria
46.2,32.1,32.5,85.4,38.9,0.0,39.5,62.6,EastLiguria
41.8,32.1,29.5,66.0,25.0,0.0,48.4,66.8,EastLiguria
42.7,28.3,26.6,95.1,66.7,0.0,57.4,67.8,EastLiguria
36.4,32.1,25.6,85.4,52.8,0.0,52.9,69.7,EastLiguria
42.7,28.3,30.5,75.7,80.6,0.0,43.9,65.4,EastLiguria
45.3,32.1,22.7,75.7,38.9,0.0,48.4,67.3,EastLiguria
41.8,24.5,21.7,66.0,38.9,0.0,39.5,72.5,EastLiguria
48.9,20.8,18.8,17.5,11.1,0.0,35.0,73.9,EastLiguria
43.6,24.5,21.7,66.0,25.0,0.0,39.5,72.0,EastLiguria
39.1,32.1,17.8,27.2,11.1,0.0,43.9,77.3,EastLiguria
42.7,28.3,23.7,46.6,38.9,0.0,52.9,70.1,EastLiguria
45.3,24.5,22.7,75.7,38.9,0.0,48.4,68.7,EastLiguria
45.3,32.1,27.6,66.0,52.8,0.0,43.9,65.4,EastLiguria
51.6,28.3,25.6,75.7,38.9,0.0,35.0,64.9,EastLiguria
49.8,35.8,28.6,85.4,25.0,0.0,43.9,62.6,EastLiguria
45.3,32.1,27.6,66.0,25.0,0.0,35.0,67.3,EastLiguria
51.6,24.5,26.6,36.9,11.1,0.0,52.9,65.9,EastLiguria
70.2,28.3,34.4,17.5,0.0,0.0,52.9,53.1,EastLiguria
65.8,24.5,30.5,27.2,11.1,0.0,43.9,57.8,EastLiguria
42.7,17.0,21.7,56.3,11.1,0.0,30.5,75.4,EastLiguria
48.0,28.3,19.8,56.3,38.9,0.0,35.0,70.6,EastLiguria
56.0,28.3,13.9,27.2,11.1,0.0,30.5,72.0,EastLiguria
54.2,32.1,8.0,7.8,0.0,0.0,39.5,75.4,EastLiguria
50.7,24.5,12.9,27.2,11.1,0.0,43.9,74.4,EastLiguria
49.8,35.8,17.8,85.4,38.9,0.0,39.5,67.8,EastLiguria
49.8,32.1,18.8,66.0,25.0,0.0,57.4,66.8,EastLiguria
50.7,24.5,22.7,36.9,11.1,0.0,30.5,70.6,EastLiguria
52.4,28.3,13.9,46.6,11.1,0.0,39.5,72.0,EastLiguria
47.1,28.3,11.9,56.3,25.0,0.0,39.5,74.9,EastLiguria
48.9,20.8,12.9,75.7,38.9,0.0,26.0,74.4,EastLiguria
46.2,24.5,19.8,56.3,52.8,0.0,43.9,70.1,EastLiguria
48.0,24.5,17.8,66.0,38.9,0.0,39.5,71.1,EastLiguria
44.4,20.8,21.7,66.0,25.0,0.0,39.5,72.0,EastLiguria
48.0,20.8,16.8,36.9,25.0,0.0,30.5,73.5,EastLiguria
50.7,24.5,21.7,46.6,25.0,0.0,39.5,69.2,EastLiguria
36.4,24.5,22.7,27.2,11.1,0.0,43.9,76.8,EastLiguria
0.0,24.5,19.8,17.5,0.0,0.0,35.0,100.0,EastLiguria
44.4,43.4,54.0,0.0,0.0,0.0,26.0,59.2,WestLiguria
36.4,32.1,56.9,0.0,0.0,0.0,30.5,58.3,WestLiguria
40.9,39.6,53.0,7.8,0.0,0.0,26.0,61.6,WestLiguria
35.6,28.3,58.9,7.8,11.1,0.0,88.8,55.9,WestLiguria
40.0,47.2,37.4,36.9,11.1,0.0,39.5,65.4,WestLiguria
40.0,47.2,42.3,17.5,11.1,0.0,52.9,62.6,WestLiguria
37.3,32.1,44.2,0.0,0.0,0.0,35.0,68.2,WestLiguria
45.3,43.4,51.1,0.0,0.0,0.0,43.9,58.3,WestLiguria
37.3,35.8,52.1,0.0,0.0,0.0,30.5,69.2,WestLiguria
40.9,32.1,53.0,0.0,11.1,0.0,35.0,61.6,WestLiguria
47.1,62.3,39.3,7.8,11.1,0.0,30.5,62.1,WestLiguria
42.7,62.3,40.3,36.9,11.1,0.0,35.0,61.1,WestLiguria
32.9,35.8,45.2,0.0,11.1,0.0,66.4,67.3,WestLiguria
32.9,28.3,57.9,0.0,0.0,0.0,79.8,58.8,WestLiguria
31.1,28.3,48.1,0.0,0.0,0.0,21.5,71.6,WestLiguria
33.8,28.3,47.2,0.0,0.0,0.0,26.0,70.1,WestLiguria
40.0,39.6,55.0,0.0,0.0,0.0,26.0,61.6,WestLiguria
56.0,50.9,27.6,7.8,11.1,0.0,43.9,62.1,WestLiguria
40.0,28.3,23.7,0.0,0.0,0.0,70.9,73.5,WestLiguria
36.4,32.1,50.1,7.8,0.0,0.0,61.9,62.6,WestLiguria
32.0,28.3,56.0,0.0,0.0,0.0,30.5,66.4,WestLiguria
50.7,43.4,55.0,7.8,0.0,0.0,30.5,54.5,WestLiguria
40.0,47.2,39.3,7.8,11.1,0.0,39.5,65.9,WestLiguria
33.8,32.1,56.9,0.0,0.0,0.0,43.9,63.0,WestLiguria
35.6,28.3,48.1,0.0,11.1,0.0,88.8,63.0,WestLiguria
38.2,28.3,36.4,7.8,11.1,0.0,43.9,70.1,WestLiguria
38.2,28.3,35.4,7.8,11.1,0.0,43.9,71.6,WestLiguria
36.4,28.3,46.2,0.0,11.1,0.0,88.8,62.6,WestLiguria
36.4,28.3,55.0,0.0,0.0,0.0,48.4,62.6,WestLiguria
35.6,28.3,47.2,0.0,11.1,0.0,88.8,62.1,WestLiguria
27.6,35.8,45.2,0.0,0.0,0.0,84.3,67.3,WestLiguria
37.3,32.1,44.2,7.8,0.0,0.0,43.9,66.8,WestLiguria
31.1,28.3,37.4,0.0,0.0,0.0,66.4,72.0,WestLiguria
37.3,35.8,38.4,0.0,0.0,0.0,26.0,71.6,WestLiguria
35.6,32.1,45.2,17.5,11.1,0.0,39.5,66.8,WestLiguria
36.4,28.3,39.3,0.0,0.0,0.0,39.5,71.1,WestLiguria
45.3,28.3,37.4,7.8,0.0,0.0,66.4,64.0,WestLiguria
42.7,28.3,34.4,0.0,11.1,0.0,61.9,66.8,WestLiguria
43.6,39.6,31.5,7.8,11.1,0.0,57.4,63.0,WestLiguria
42.7,24.5,30.5,0.0,11.1,0.0,39.5,72.0,WestLiguria
48.0,28.3,35.4,7.8,0.0,0.0,43.9,67.3,WestLiguria
44.4,28.3,29.5,7.8,0.0,0.0,35.0,71.6,WestLiguria
35.6,35.8,49.1,0.0,0.0,0.0,26.0,67.3,WestLiguria
40.9,32.1,41.3,7.8,11.1,0.0,30.5,67.8,WestLiguria
59.6,35.8,33.5,7.8,11.1,0.0,61.9,56.4,WestLiguria
40.0,32.1,35.4,7.8,11.1,0.0,52.9,68.2,WestLiguria
35.6,28.3,51.1,0.0,0.0,0.0,26.0,67.3,WestLiguria
33.8,39.6,41.3,7.8,11.1,0.0,43.9,68.7,WestLiguria
31.1,24.5,28.6,17.5,11.1,0.0,39.5,78.2,WestLiguria
42.2,20.8,14.9,51.5,31.9,0.0,14.8,78.4,Umbria
42.7,17.0,14.9,43.7,36.1,0.0,17.0,78.2,Umbria
41.8,18.9,15.1,17.5,45.8,0.0,16.6,78.7,Umbria
42.7,17.0,14.9,38.8,36.1,0.0,19.3,78.4,Umbria
44.0,15.1,14.9,51.5,48.6,0.0,21.5,75.8,Umbria
40.0,22.6,15.9,51.5,25.0,0.0,10.3,79.4,Umbria
39.1,20.8,15.4,61.2,36.1,0.0,8.1,79.5,Umbria
43.6,15.1,14.9,46.6,45.8,0.0,20.6,76.1,Umbria
40.4,18.9,15.4,61.2,27.8,0.0,11.7,78.9,Umbria
42.2,17.0,15.1,46.6,38.9,0.0,16.1,78.4,Umbria
41.8,18.9,15.4,51.5,31.9,0.0,12.6,78.7,Umbria
42.2,17.0,15.1,49.5,38.9,0.0,17.0,78.4,Umbria
41.3,20.0,15.1,36.9,25.0,0.0,19.3,78.7,Umbria
42.7,16.2,14.9,36.9,45.8,0.0,17.9,78.2,Umbria
43.1,17.0,14.9,31.1,50.0,0.0,20.6,78.0,Umbria
42.7,16.2,14.9,38.8,38.9,0.0,19.3,78.2,Umbria
43.1,16.2,15.1,29.1,45.8,0.0,20.6,78.2,Umbria
42.7,16.2,14.9,38.8,45.8,0.0,19.3,77.7,Umbria
43.1,16.2,14.9,31.1,45.8,0.0,20.6,78.0,Umbria
43.1,15.1,14.9,41.7,45.8,0.0,21.5,77.7,Umbria
41.8,20.8,15.7,33.0,36.1,0.0,16.1,78.9,Umbria
42.7,17.0,14.9,35.0,41.7,0.0,19.3,78.2,Umbria
44.0,15.1,14.4,52.4,51.4,0.0,21.5,75.8,Umbria
44.4,13.2,14.4,48.5,52.8,0.0,23.8,75.8,Umbria
41.3,20.8,15.7,30.1,36.1,0.0,20.6,79.5,Umbria
41.3,18.9,15.7,38.8,45.8,0.0,14.8,79.6,Umbria
40.4,22.6,15.9,46.6,31.9,0.0,12.6,79.4,Umbria
40.9,22.6,15.1,41.7,27.8,0.0,16.1,79.6,Umbria
40.9,22.6,15.1,41.7,27.8,0.0,16.1,79.6,Umbria
43.6,20.8,15.9,40.8,51.4,0.0,21.5,76.3,Umbria
41.3,20.8,15.9,54.4,27.8,0.0,14.8,78.7,Umbria
39.1,23.8,15.9,55.3,22.2,0.0,10.3,80.1,Umbria
42.7,17.0,14.9,32.0,41.7,0.0,20.6,78.0,Umbria
39.1,23.8,15.7,20.4,36.1,0.0,16.1,80.1,Umbria
41.3,20.8,15.4,24.3,36.1,0.0,17.0,79.4,Umbria
43.4,14.7,14.4,29.1,55.6,0.0,22.4,78.0,Umbria
44.0,0.0,12.4,17.5,69.4,0.0,20.6,80.8,Umbria
44.4,22.6,6.1,61.2,73.6,0.0,30.5,76.5,Umbria
39.8,13.2,17.4,51.5,52.8,0.0,11.7,80.0,Umbria
44.9,5.7,14.9,12.6,73.6,0.0,32.7,78.4,Umbria
44.0,5.7,11.9,17.5,69.4,0.0,20.6,80.3,Umbria
41.1,12.8,16.3,44.7,63.9,0.0,11.7,79.6,Umbria
44.4,0.0,11.9,17.5,66.7,0.0,26.0,80.1,Umbria
