arachidic,linolenic,palmitic,linoleic,oleic,stearic,palmitoleic,eicosenoic,region
47.6,63.9,61.0,32.5,51.2,48.4,45.7,28.6,Calabria
40.8,58.3,60.2,37.0,49.4,60.5,35.1,37.5,Calabria
56.3,47.2,65.9,35.4,44.0,64.6,54.3,35.7,Calabria
65.0,69.4,56.1,25.5,56.8,52.0,30.9,60.7,Calabria
61.2,100.0,58.4,44.0,44.1,66.4,32.5,57.1,Calabria
62.1,72.2,55.6,40.4,48.4,44.8,46.4,60.7,Calabria
52.4,62.5,57.3,39.1,51.9,31.8,33.2,50.0,Calabria
86.4,61.1,91.5,66.1,10.0,80.3,59.2,53.6,Sicily
78.6,63.9,65.3,73.0,23.7,53.8,44.5,62.5,Sicily
83.5,61.1,64.8,59.9,25.5,55.2,58.5,73.2,Sicily
90.3,58.3,51.9,43.2,46.3,49.8,45.3,69.6,Sicily
65.0,69.4,44.6,0.0,69.7,100.0,20.0,76.8,Sicily
63.1,63.9,54.4,11.5,61.8,79.4,20.8,73.2,Sicily
61.2,65.3,46.8,20.8,62.4,84.8,21.5,53.6,Sicily
61.2,59.7,28.1,32.9,71.8,56.1,9.8,41.1,Sicily
64.1,68.1,44.0,8.2,67.0,99.1,20.4,62.5,Sicily
60.2,59.7,44.4,30.8,60.5,68.6,24.2,60.7,Sicily
72.8,56.9,59.9,43.5,44.3,50.7,29.4,78.6,Sicily
55.3,55.6,45.3,48.7,52.9,56.1,20.4,60.7,Sicily
60.2,55.6,27.2,24.1,74.4,57.8,14.0,100.0,Sicily
67.0,65.3,26.2,35.6,68.6,61.0,12.8,96.4,Sicily
69.9,58.3,53.0,47.7,48.8,60.5,15.1,71.4,Sicily
79.6,54.2,75.3,40.6,34.1,51.6,63.0,62.5,Sicily
82.5,47.2,63.7,36.7,48.7,18.4,47.2,58.9,Sicily
81.6,52.8,61.6,58.8,35.3,44.4,32.1,67.9,Sicily
73.8,44.4,74.1,56.7,27.3,48.0,60.4,53.6,Sicily
68.0,38.9,79.6,40.1,31.4,33.2,86.0,44.6,Sicily
72.8,48.6,72.8,58.0,29.2,31.8,55.5,67.9,Sicily
92.2,48.6,78.3,47.0,32.9,26.5,55.5,64.3,Sicily
88.3,50.0,69.6,41.3,42.1,26.5,42.6,67.9,Sicily
96.1,52.8,70.6,46.5,38.4,26.0,44.9,73.2,Sicily
84.5,50.0,54.4,39.9,50.9,27.8,43.4,76.8,Sicily
60.2,55.6,48.3,25.1,61.3,73.5,22.3,53.6,Sicily
65.0,56.9,49.7,27.4,59.4,69.5,23.0,53.6,Sicily
66.0,51.4,67.5,32.0,50.9,38.1,33.6,23.2,Sicily
58.3,54.2,34.0,31.8,68.4,51.6,16.2,75.0,Sicily
65.0,58.3,32.9,35.9,67.3,45.7,14.3,80.4,Sicily
59.2,59.7,31.7,37.7,66.0,54.3,15.1,80.4,Sicily
71.8,58.3,46.0,27.4,58.2,90.6,21.9,64.3,Sicily
68.9,58.3,51.4,35.8,54.3,54.3,26.4,71.4,Sicily
66.0,56.9,57.5,35.6,52.4,42.6,30.2,58.9,Sicily
67.0,56.9,58.0,25.0,55.5,66.8,27.5,51.8,Sicily
85.4,45.8,38.4,65.4,51.0,26.0,45.3,0.0,InlandSardinia
89.3,41.7,43.8,62.3,51.2,26.0,30.6,0.0,InlandSardinia
89.3,45.8,45.2,69.1,46.4,30.9,30.9,0.0,InlandSardinia
87.4,40.3,39.3,66.3,51.6,28.3,30.2,0.0,InlandSardinia
62.1,33.3,45.0,70.5,46.9,35.4,32.8,0.0,InlandSardinia
62.1,25.0,44.3,63.9,48.3,35.4,44.2,0.0,InlandSardinia
58.3,36.1,46.1,61.3,51.5,26.9,35.1,0.0,InlandSardinia
58.3,36.1,42.2,66.3,51.4,31.8,28.7,0.0,InlandSardinia
57.3,34.7,43.9,68.4,48.4,36.3,33.2,0.0,InlandSardinia
63.1,36.1,43.4,67.7,49.2,26.9,27.5,0.0,InlandSardinia
58.3,37.5,44.3,64.8,50.6,35.4,29.1,0.0,InlandSardinia
64.1,41.7,41.3,63.4,52.7,24.7,33.2,0.0,InlandSardinia
68.0,31.9,39.9,66.5,51.5,34.1,30.6,0.0,InlandSardinia
77.7,45.8,50.3,59.6,49.6,24.7,29.1,0.0,InlandSardinia
60.2,50.0,48.8,64.6,48.3,27.4,31.3,0.0,InlandSardinia
63.1,34.7,46.4,63.3,52.0,22.0,24.5,0.0,InlandSardinia
85.4,37.5,44.2,63.4,52.1,30.5,22.6,0.0,InlandSardinia
54.4,36.1,42.8,66.3,50.0,36.8,33.6,0.0,InlandSardinia
76.7,43.1,45.2,59.6,52.6,30.0,24.9,0.0,InlandSardinia
64.1,45.8,44.1,64.2,51.2,26.9,29.4,0.0,InlandSardinia
84.5,36.1,38.8,65.8,51.4,38.6,32.5,0.0,InlandSardinia
63.1,27.8,49.3,63.9,48.9,27.8,31.7,0.0,InlandSardinia
72.8,37.5,48.7,66.0,48.7,22.0,26.0,0.0,InlandSardinia
73.8,48.6,43.1,63.1,52.8,22.9,27.5,0.0,InlandSardinia
69.9,43.1,50.3,64.5,51.9,23.8,22.6,0.0,InlandSardinia
55.3,36.1,43.8,67.7,49.1,30.5,35.5,0.0,InlandSardinia
68.9,41.7,44.6,66.2,50.0,25.6,29.1,0.0,InlandSardinia
49.5,25.0,42.8,65.1,51.0,31.4,29.4,0.0,InlandSardinia
73.8,43.1,41.8,66.2,50.8,30.0,31.3,0.0,InlandSardinia
62.1,38.9,39.2,65.2,52.3,33.6,35.1,0.0,InlandSardinia
67.0,38.9,43.2,62.9,52.8,26.5,26.0,0.0,InlandSardinia
61.2,36.1,47.3,63.9,49.3,32.7,30.9,0.0,InlandSardinia
75.7,41.7,38.8,64.5,52.1,37.7,30.6,0.0,InlandSardinia
78.6,40.3,44.8,65.4,50.2,26.0,26.8,0.0,InlandSardinia
69.9,29.2,47.1,63.6,48.5,39.9,29.4,0.0,InlandSardinia
75.7,47.2,41.3,64.5,52.6,21.5,28.7,0.0,InlandSardinia
72.8,43.1,42.8,66.2,53.4,30.0,34.3,0.0,InlandSardinia
74.8,34.7,41.4,66.7,52.5,23.3,30.2,0.0,InlandSardinia
82.5,44.4,50.5,63.7,51.2,22.0,27.9,0.0,InlandSardinia
52.4,56.9,43.1,64.9,50.6,31.8,33.6,0.0,InlandSardinia
77.7,38.9,39.2,68.3,53.1,26.5,23.8,0.0,InlandSardinia
57.3,36.1,38.9,66.7,54.0,27.4,24.2,0.0,InlandSardinia
74.8,37.5,40.1,64.0,53.1,30.5,26.8,0.0,InlandSardinia
68.0,36.1,44.0,67.9,49.9,26.0,27.5,0.0,InlandSardinia
42.7,25.0,47.6,65.6,43.0,38.1,7.5,0.0,InlandSardinia
43.7,27.8,39.0,70.5,47.5,30.0,30.6,0.0,InlandSardinia
41.7,29.2,44.0,69.5,47.5,29.6,39.6,0.0,InlandSardinia
66.0,26.4,37.3,71.3,52.3,27.8,26.0,0.0,InlandSardinia
64.1,36.1,40.9,77.5,46.4,28.3,31.3,0.0,InlandSardinia
85.4,38.9,43.8,71.3,47.9,25.1,24.9,0.0,InlandSardinia
80.6,31.9,38.2,71.2,50.6,23.8,32.5,0.0,InlandSardinia
68.0,27.8,43.6,65.1,48.3,26.0,30.2,0.0,InlandSardinia
81.6,47.2,45.2,59.9,52.8,21.1,26.4,0.0,InlandSardinia
69.9,30.6,40.4,70.0,49.5,35.0,31.3,0.0,InlandSardinia
65.0,27.8,46.3,65.8,50.1,30.9,23.8,0.0,InlandSardinia
100.0,45.8,41.8,68.2,47.2,29.6,39.6,0.0,InlandSardinia
68.9,27.8,41.3,64.7,52.3,35.4,26.8,0.0,InlandSardinia
62.1,31.9,38.2,70.9,50.4,34.1,33.2,0.0,InlandSardinia
83.5,38.9,46.0,68.5,48.3,22.9,25.3,0.0,InlandSardinia
61.2,25.0,40.0,68.6,50.4,35.4,36.2,0.0,InlandSardinia
61.2,25.0,43.8,68.6,50.5,30.5,23.8,0.0,InlandSardinia
69.9,30.6,44.4,72.1,48.2,22.0,28.7,0.0,InlandSardinia
83.5,36.1,42.8,71.9,51.3,29.6,35.1,0.0,InlandSardinia
91.3,33.3,43.0,66.4,49.3,30.5,30.6,0.0,InlandSardinia
70.9,27.8,48.7,85.9,36.3,41.7,35.1,0.0,CoastalSardinia
64.1,26.4,46.5,87.5,37.0,39.9,35.8,0.0,CoastalSardinia
78.6,26.4,43.1,83.9,38.9,43.9,41.5,0.0,CoastalSardinia
70.9,31.9,52.5,91.5,32.7,38.6,27.2,0.0,CoastalSardinia
61.2,27.8,53.6,86.8,33.5,41.7,36.6,0.0,CoastalSardinia
78.6,25.0,49.4,92.2,31.8,53.8,30.9,0.0,CoastalSardinia
57.3,27.8,48.4,78.8,39.3,47.1,39.2,0.0,CoastalSardinia
90.3,27.8,50.4,100.0,27.6,39.9,36.2,0.0,CoastalSardinia
74.8,30.6,48.9,88.9,35.2,39.5,30.6,0.0,CoastalSardinia
54.4,18.1,45.5,84.6,40.0,39.9,33.6,0.0,CoastalSardinia
85.4,30.6,46.4,89.4,36.3,47.1,31.7,0.0,CoastalSardinia
69.9,31.9,43.2,81.6,40.9,48.4,32.1,0.0,CoastalSardinia
68.0,31.9,46.3,84.1,40.0,36.3,27.2,0.0,CoastalSardinia
62.1,33.3,51.0,87.3,34.1,47.5,34.0,0.0,CoastalSardinia
63.1,30.6,46.7,85.3,39.0,37.2,29.8,0.0,CoastalSardinia
53.4,36.1,42.1,86.3,40.9,39.5,30.6,0.0,CoastalSardinia
58.3,36.1,42.3,81.9,40.7,44.8,42.3,0.0,CoastalSardinia
67.0,29.2,47.1,88.0,37.2,47.5,30.2,0.0,CoastalSardinia
64.1,31.9,46.9,84.3,38.1,45.7,32.5,0.0,CoastalSardinia
72.8,34.7,48.8,83.1,36.4,48.9,35.8,0.0,CoastalSardinia
53.4,36.1,46.3,84.1,41.2,25.1,27.2,0.0,CoastalSardinia
80.6,43.1,50.2,84.1,36.8,27.8,35.1,0.0,CoastalSardinia
63.1,37.5,41.4,83.9,44.7,22.4,23.4,0.0,CoastalSardinia
70.9,29.2,45.3,91.5,36.4,39.5,28.3,0.0,CoastalSardinia
76.7,31.9,48.2,90.4,37.0,38.6,36.2,0.0,CoastalSardinia
64.1,27.8,47.2,92.0,34.8,43.9,30.2,0.0,CoastalSardinia
71.8,30.6,43.4,83.5,39.6,51.6,33.2,0.0,CoastalSardinia
65.0,33.3,45.9,91.2,36.1,37.7,32.1,0.0,CoastalSardinia
56.3,22.2,42.4,83.6,42.7,40.8,27.9,0.0,CoastalSardinia
70.9,25.0,44.9,90.4,37.2,37.7,30.6,0.0,CoastalSardinia
79.6,27.8,50.5,90.8,33.5,39.9,29.1,0.0,CoastalSardinia
67.0,31.9,49.1,90.0,34.4,40.4,34.3,0.0,CoastalSardinia
66.0,52.8,49.8,26.6,65.9,35.0,24.5,0.0,EastLiguria
75.7,38.9,43.6,30.5,65.4,43.9,28.3,0.0,EastLiguria
75.7,52.8,45.3,27.6,67.3,39.5,20.8,0.0,EastLiguria
85.4,38.9,48.9,29.5,64.0,43.9,20.8,0.0,EastLiguria
46.6,25.0,52.4,23.7,69.7,26.0,13.2,0.0,EastLiguria
17.5,11.1,47.1,12.9,80.1,21.5,13.2,0.0,EastLiguria
56.3,38.9,54.2,30.5,62.1,39.5,24.5,0.0,EastLiguria
95.1,66.7,50.7,34.4,57.8,43.9,28.3,0.0,EastLiguria
85.4,52.8,53.3,32.5,59.7,43.9,20.8,0.0,EastLiguria
95.1,80.6,54.2,31.5,58.8,30.5,24.5,0.0,EastLiguria
95.1,66.7,50.7,36.4,57.8,17.0,32.1,0.0,EastLiguria
85.4,52.8,48.9,33.5,60.7,30.5,28.3,0.0,EastLiguria
85.4,38.9,46.2,32.5,62.6,39.5,32.1,0.0,EastLiguria
66.0,25.0,41.8,29.5,66.8,48.4,32.1,0.0,EastLiguria
95.1,66.7,42.7,26.6,67.8,57.4,28.3,0.0,EastLiguria
85.4,52.8,36.4,25.6,69.7,52.9,32.1,0.0,EastLiguria
75.7,80.6,42.7,30.5,65.4,43.9,28.3,0.0,EastLiguria
75.7,38.9,45.3,22.7,67.3,48.4,32.1,0.0,EastLiguria
66.0,38.9,41.8,21.7,72.5,39.5,24.5,0.0,EastLiguria
17.5,11.1,48.9,18.8,73.9,35.0,20.8,0.0,EastLiguria
66.0,25.0,43.6,21.7,72.0,39.5,24.5,0.0,EastLiguria
27.2,11.1,39.1,17.8,77.3,43.9,32.1,0.0,EastLiguria
46.6,38.9,42.7,23.7,70.1,52.9,28.3,0.0,EastLiguria
75.7,38.9,45.3,22.7,68.7,48.4,24.5,0.0,EastLiguria
66.0,52.8,45.3,27.6,65.4,43.9,32.1,0.0,EastLiguria
75.7,38.9,51.6,25.6,64.9,35.0,28.3,0.0,EastLiguria
85.4,25.0,49.8,28.6,62.6,43.9,35.8,0.0,EastLiguria
66.0,25.0,45.3,27.6,67.3,35.0,32.1,0.0,EastLiguria
36.9,11.1,51.6,26.6,65.9,52.9,24.5,0.0,EastLiguria
17.5,0.0,70.2,34.4,53.1,52.9,28.3,0.0,EastLiguria
27.2,11.1,65.8,30.5,57.8,43.9,24.5,0.0,EastLiguria
56.3,11.1,42.7,21.7,75.4,30.5,17.0,0.0,EastLiguria
56.3,38.9,48.0,19.8,70.6,35.0,28.3,0.0,EastLiguria
27.2,11.1,56.0,13.9,72.0,30.5,28.3,0.0,EastLiguria
7.8,0.0,54.2,8.0,75.4,39.5,32.1,0.0,EastLiguria
27.2,11.1,50.7,12.9,74.4,43.9,24.5,0.0,EastLiguria
85.4,38.9,49.8,17.8,67.8,39.5,35.8,0.0,EastLiguria
66.0,25.0,49.8,18.8,66.8,57.4,32.1,0.0,EastLiguria
36.9,11.1,50.7,22.7,70.6,30.5,24.5,0.0,EastLiguria
46.6,11.1,52.4,13.9,72.0,39.5,28.3,0.0,EastLiguria
56.3,25.0,47.1,11.9,74.9,39.5,28.3,0.0,EastLiguria
75.7,38.9,48.9,12.9,74.4,26.0,20.8,0.0,EastLiguria
56.3,52.8,46.2,19.8,70.1,43.9,24.5,0.0,EastLiguria
66.0,38.9,48.0,17.8,71.1,39.5,24.5,0.0,EastLiguria
66.0,25.0,44.4,21.7,72.0,39.5,20.8,0.0,EastLiguria
36.9,25.0,48.0,16.8,73.5,30.5,20.8,0.0,EastLiguria
46.6,25.0,50.7,21.7,69.2,39.5,24.5,0.0,EastLiguria
27.2,11.1,36.4,22.7,76.8,43.9,24.5,0.0,EastLiguria
17.5,0.0,0.0,19.8,100.0,35.0,24.5,0.0,EastLiguria
0.0,0.0,44.4,54.0,59.2,26.0,43.4,0.0,WestLiguria
0.0,0.0,36.4,56.9,58.3,30.5,32.1,0.0,WestLiguria
7.8,0.0,40.9,53.0,61.6,26.0,39.6,0.0,WestLiguria
7.8,11.1,35.6,58.9,55.9,88.8,28.3,0.0,WestLiguria
36.9,11.1,40.0,37.4,65.4,39.5,47.2,0.0,WestLiguria
17.5,11.1,40.0,42.3,62.6,52.9,47.2,0.0,WestLiguria
0.0,0.0,37.3,44.2,68.2,35.0,32.1,0.0,WestLiguria
0.0,0.0,45.3,51.1,58.3,43.9,43.4,0.0,WestLiguria
0.0,0.0,37.3,52.1,69.2,30.5,35.8,0.0,WestLiguria
0.0,11.1,40.9,53.0,61.6,35.0,32.1,0.0,WestLiguria
7.8,11.1,47.1,39.3,62.1,30.5,62.3,0.0,WestLiguria
36.9,11.1,42.7,40.3,61.1,35.0,62.3,0.0,WestLiguria
0.0,11.1,32.9,45.2,67.3,66.4,35.8,0.0,WestLiguria
0.0,0.0,32.9,57.9,58.8,79.8,28.3,0.0,WestLiguria
0.0,0.0,31.1,48.1,71.6,21.5,28.3,0.0,WestLiguria
0.0,0.0,33.8,47.2,70.1,26.0,28.3,0.0,WestLiguria
0.0,0.0,40.0,55.0,61.6,26.0,39.6,0.0,WestLiguria
7.8,11.1,56.0,27.6,62.1,43.9,50.9,0.0,WestLiguria
0.0,0.0,40.0,23.7,73.5,70.9,28.3,0.0,WestLiguria
7.8,0.0,36.4,50.1,62.6,61.9,32.1,0.0,WestLiguria
0.0,0.0,32.0,56.0,66.4,30.5,28.3,0.0,WestLiguria
7.8,0.0,50.7,55.0,54.5,30.5,43.4,0.0,WestLiguria
7.8,11.1,40.0,39.3,65.9,39.5,47.2,0.0,WestLiguria
0.0,0.0,33.8,56.9,63.0,43.9,32.1,0.0,WestLiguria
0.0,11.1,35.6,48.1,63.0,88.8,28.3,0.0,WestLiguria
7.8,11.1,38.2,36.4,70.1,43.9,28.3,0.0,WestLiguria
7.8,11.1,38.2,35.4,71.6,43.9,28.3,0.0,WestLiguria
0.0,11.1,36.4,46.2,62.6,88.8,28.3,0.0,WestLiguria
0.0,0.0,36.4,55.0,62.6,48.4,28.3,0.0,WestLiguria
0.0,11.1,35.6,47.2,62.1,88.8,28.3,0.0,WestLiguria
0.0,0.0,27.6,45.2,67.3,84.3,35.8,0.0,WestLiguria
7.8,0.0,37.3,44.2,66.8,43.9,32.1,0.0,WestLiguria
0.0,0.0,31.1,37.4,72.0,66.4,28.3,0.0,WestLiguria
0.0,0.0,37.3,38.4,71.6,26.0,35.8,0.0,WestLiguria
17.5,11.1,35.6,45.2,66.8,39.5,32.1,0.0,WestLiguria
0.0,0.0,36.4,39.3,71.1,39.5,28.3,0.0,WestLiguria
7.8,0.0,45.3,37.4,64.0,66.4,28.3,0.0,WestLiguria
0.0,11.1,42.7,34.4,66.8,61.9,28.3,0.0,WestLiguria
7.8,11.1,43.6,31.5,63.0,57.4,39.6,0.0,WestLiguria
0.0,11.1,42.7,30.5,72.0,39.5,24.5,0.0,WestLiguria
7.8,0.0,48.0,35.4,67.3,43.9,28.3,0.0,WestLiguria
7.8,0.0,44.4,29.5,71.6,35.0,28.3,0.0,WestLiguria
0.0,0.0,35.6,49.1,67.3,26.0,35.8,0.0,WestLiguria
7.8,11.1,40.9,41.3,67.8,30.5,32.1,0.0,WestLiguria
7.8,11.1,59.6,33.5,56.4,61.9,35.8,0.0,WestLiguria
7.8,11.1,40.0,35.4,68.2,52.9,32.1,0.0,WestLiguria
0.0,0.0,35.6,51.1,67.3,26.0,28.3,0.0,WestLiguria
7.8,11.1,33.8,41.3,68.7,43.9,39.6,0.0,WestLiguria
17.5,11.1,31.1,28.6,78.2,39.5,24.5,0.0,WestLiguria
51.5,31.9,42.2,14.9,78.4,14.8,20.8,0.0,Umbria
43.7,36.1,42.7,14.9,78.2,17.0,17.0,0.0,Umbria
17.5,45.8,41.8,15.1,78.7,16.6,18.9,0.0,Umbria
38.8,36.1,42.7,14.9,78.4,19.3,17.0,0.0,Umbria
51.5,48.6,44.0,14.9,75.8,21.5,15.1,0.0,Umbria
51.5,25.0,40.0,15.9,79.4,10.3,22.6,0.0,Umbria
61.2,36.1,39.1,15.4,79.5,8.1,20.8,0.0,Umbria
46.6,45.8,43.6,14.9,76.1,20.6,15.1,0.0,Umbria
61.2,27.8,40.4,15.4,78.9,11.7,18.9,0.0,Umbria
46.6,38.9,42.2,15.1,78.4,16.1,17.0,0.0,Umbria
51.5,31.9,41.8,15.4,78.7,12.6,18.9,0.0,Umbria
49.5,38.9,42.2,15.1,78.4,17.0,17.0,0.0,Umbria
36.9,25.0,41.3,15.1,78.7,19.3,20.0,0.0,Umbria
36.9,45.8,42.7,14.9,78.2,17.9,16.2,0.0,Umbria
31.1,50.0,43.1,14.9,78.0,20.6,17.0,0.0,Umbria
38.8,38.9,42.7,14.9,78.2,19.3,16.2,0.0,Umbria
29.1,45.8,43.1,15.1,78.2,20.6,16.2,0.0,Umbria
38.8,45.8,42.7,14.9,77.7,19.3,16.2,0.0,Umbria
31.1,45.8,43.1,14.9,78.0,20.6,16.2,0.0,Umbria
41.7,45.8,43.1,14.9,77.7,21.5,15.1,0.0,Umbria
33.0,36.1,41.8,15.7,78.9,16.1,20.8,0.0,Umbria
35.0,41.7,42.7,14.9,78.2,19.3,17.0,0.0,Umbria
52.4,51.4,44.0,14.4,75.8,21.5,15.1,0.0,Umbria
48.5,52.8,44.4,14.4,75.8,23.8,13.2,0.0,Umbria
30.1,36.1,41.3,15.7,79.5,20.6,20.8,0.0,Umbria
38.8,45.8,41.3,15.7,79.6,14.8,18.9,0.0,Umbria
46.6,31.9,40.4,15.9,79.4,12.6,22.6,0.0,Umbria
41.7,27.8,40.9,15.1,79.6,16.1,22.6,0.0,Umbria
41.7,27.8,40.9,15.1,79.6,16.1,22.6,0.0,Umbria
40.8,51.4,43.6,15.9,76.3,21.5,20.8,0.0,Umbria
54.4,27.8,41.3,15.9,78.7,14.8,20.8,0.0,Umbria
55.3,22.2,39.1,15.9,80.1,10.3,23.8,0.0,Umbria
32.0,41.7,42.7,14.9,78.0,20.6,17.0,0.0,Umbria
20.4,36.1,39.1,15.7,80.1,16.1,23.8,0.0,Umbria
24.3,36.1,41.3,15.4,79.4,17.0,20.8,0.0,Umbria
29.1,55.6,43.4,14.4,78.0,22.4,14.7,0.0,Umbria
17.5,69.4,44.0,12.4,80.8,20.6,0.0,0.0,Umbria
61.2,73.6,44.4,6.1,76.5,30.5,22.6,0.0,Umbria
51.5,52.8,39.8,17.4,80.0,11.7,13.2,0.0,Umbria
12.6,73.6,44.9,14.9,78.4,32.7,5.7,0.0,Umbria
17.5,69.4,44.0,11.9,80.3,20.6,5.7,0.0,Umbria
44.7,63.9,41.1,16.3,79.6,11.7,12.8,0.0,Umbria
17.5,66.7,44.4,11.9,80.1,26.0,0.0,0.0,Umbria
