oleic,arachidic,linoleic,palmitoleic,palmitic,linolenic,stearic,eicosenoic,region
51.7,53.4,36.3,36.6,51.0,63.9,71.3,46.4,Calabria
44.6,56.3,37.2,35.8,68.6,51.4,52.0,50.0,Calabria
60.7,47.6,16.6,49.4,50.9,50.0,62.8,37.5,Calabria
50.0,66.0,36.2,52.1,57.9,69.4,30.0,42.9,Calabria
63.5,51.5,18.1,45.7,52.3,34.7,39.0,30.4,Calabria
64.4,45.6,16.4,44.9,54.7,47.2,35.9,42.9,Calabria
42.2,65.0,46.5,57.0,64.8,52.8,25.1,41.1,Calabria
63.6,56.3,18.6,53.6,46.4,59.7,39.5,51.8,Calabria
51.4,66.0,15.8,63.4,68.5,62.5,41.7,41.1,Calabria
45.4,53.4,30.4,42.6,71.0,56.9,47.1,25.0,Calabria
45.2,64.1,41.2,42.3,61.9,62.5,43.9,39.3,Calabria
50.0,64.1,24.9,39.6,67.7,58.3,43.9,46.4,Calabria
47.1,56.3,39.8,37.0,64.5,50.0,40.4,28.6,Calabria
40.9,68.0,40.0,51.3,70.3,59.7,38.6,60.7,Calabria
44.4,58.3,36.7,39.2,69.3,52.8,36.8,69.6,Calabria
34.5,51.5,49.0,51.7,73.1,51.4,57.8,41.1,Calabria
41.8,64.1,33.5,41.1,71.3,59.7,65.5,46.4,Calabria
42.5,66.0,32.8,49.8,67.2,68.1,62.3,57.1,Calabria
46.5,64.1,28.4,38.9,68.7,59.7,54.3,48.2,Calabria
52.1,61.2,30.8,32.8,59.8,72.2,49.8,46.4,Calabria
51.2,47.6,32.5,45.7,61.0,63.9,48.4,28.6,Calabria
49.4,40.8,37.0,35.1,60.2,58.3,60.5,37.5,Calabria
44.0,56.3,35.4,54.3,65.9,47.2,64.6,35.7,Calabria
56.8,65.0,25.5,30.9,56.1,69.4,52.0,60.7,Calabria
44.1,61.2,44.0,32.5,58.4,100.0,66.4,57.1,Calabria
48.4,62.1,40.4,46.4,55.6,72.2,44.8,60.7,Calabria
51.9,52.4,39.1,33.2,57.3,62.5,31.8,50.0,Calabria
10.0,86.4,66.1,59.2,91.5,61.1,80.3,53.6,Sicily
23.7,78.6,73.0,44.5,65.3,63.9,53.8,62.5,Sicily
25.5,83.5,59.9,58.5,64.8,61.1,55.2,73.2,Sicily
46.3,90.3,43.2,45.3,51.9,58.3,49.8,69.6,Sicily
69.7,65.0,0.0,20.0,44.6,69.4,100.0,76.8,Sicily
61.8,63.1,11.5,20.8,54.4,63.9,79.4,73.2,Sicily
62.4,61.2,20.8,21.5,46.8,65.3,84.8,53.6,Sicily
71.8,61.2,32.9,9.8,28.1,59.7,56.1,41.1,Sicily
67.0,64.1,8.2,20.4,44.0,68.1,99.1,62.5,Sicily
60.5,60.2,30.8,24.2,44.4,59.7,68.6,60.7,Sicily
44.3,72.8,43.5,29.4,59.9,56.9,50.7,78.6,Sicily
52.9,55.3,48.7,20.4,45.3,55.6,56.1,60.7,Sicily
74.4,60.2,24.1,14.0,27.2,55.6,57.8,100.0,Sicily
68.6,67.0,35.6,12.8,26.2,65.3,61.0,96.4,Sicily
48.8,69.9,47.7,15.1,53.0,58.3,60.5,71.4,Sicily
34.1,79.6,40.6,63.0,75.3,54.2,51.6,62.5,Sicily
48.7,82.5,36.7,47.2,63.7,47.2,18.4,58.9,Sicily
35.3,81.6,58.8,32.1,61.6,52.8,44.4,67.9,Sicily
27.3,73.8,56.7,60.4,74.1,44.4,48.0,53.6,Sicily
31.4,68.0,40.1,86.0,79.6,38.9,33.2,44.6,Sicily
29.2,72.8,58.0,55.5,72.8,48.6,31.8,67.9,Sicily
32.9,92.2,47.0,55.5,78.3,48.6,26.5,64.3,Sicily
42.1,88.3,41.3,42.6,69.6,50.0,26.5,67.9,Sicily
38.4,96.1,46.5,44.9,70.6,52.8,26.0,73.2,Sicily
50.9,84.5,39.9,43.4,54.4,50.0,27.8,76.8,Sicily
61.3,60.2,25.1,22.3,48.3,55.6,73.5,53.6,Sicily
59.4,65.0,27.4,23.0,49.7,56.9,69.5,53.6,Sicily
50.9,66.0,32.0,33.6,67.5,51.4,38.1,23.2,Sicily
68.4,58.3,31.8,16.2,34.0,54.2,51.6,75.0,Sicily
67.3,65.0,35.9,14.3,32.9,58.3,45.7,80.4,Sicily
66.0,59.2,37.7,15.1,31.7,59.7,54.3,80.4,Sicily
58.2,71.8,27.4,21.9,46.0,58.3,90.6,64.3,Sicily
54.3,68.9,35.8,26.4,51.4,58.3,54.3,71.4,Sicily
52.4,66.0,35.6,30.2,57.5,56.9,42.6,58.9,Sicily
55.5,67.0,25.0,27.5,58.0,56.9,66.8,51.8,Sicily
51.0,85.4,65.4,45.3,38.4,45.8,26.0,0.0,InlandSardinia
51.2,89.3,62.3,30.6,43.8,41.7,26.0,0.0,InlandSardinia
46.4,89.3,69.1,30.9,45.2,45.8,30.9,0.0,InlandSardinia
51.6,87.4,66.3,30.2,39.3,40.3,28.3,0.0,InlandSardinia
46.9,62.1,70.5,32.8,45.0,33.3,35.4,0.0,InlandSardinia
48.3,62.1,63.9,44.2,44.3,25.0,35.4,0.0,InlandSardinia
51.5,58.3,61.3,35.1,46.1,36.1,26.9,0.0,InlandSardinia
51.4,58.3,66.3,28.7,42.2,36.1,31.8,0.0,InlandSardinia
48.4,57.3,68.4,33.2,43.9,34.7,36.3,0.0,InlandSardinia
49.2,63.1,67.7,27.5,43.4,36.1,26.9,0.0,InlandSardinia
50.6,58.3,64.8,29.1,44.3,37.5,35.4,0.0,InlandSardinia
52.7,64.1,63.4,33.2,41.3,41.7,24.7,0.0,InlandSardinia
51.5,68.0,66.5,30.6,39.9,31.9,34.1,0.0,InlandSardinia
49.6,77.7,59.6,29.1,50.3,45.8,24.7,0.0,InlandSardinia
48.3,60.2,64.6,31.3,48.8,50.0,27.4,0.0,InlandSardinia
52.0,63.1,63.3,24.5,46.4,34.7,22.0,0.0,InlandSardinia
52.1,85.4,63.4,22.6,44.2,37.5,30.5,0.0,InlandSardinia
50.0,54.4,66.3,33.6,42.8,36.1,36.8,0.0,InlandSardinia
52.6,76.7,59.6,24.9,45.2,43.1,30.0,0.0,InlandSardinia
51.2,64.1,64.2,29.4,44.1,45.8,26.9,0.0,InlandSardinia
51.4,84.5,65.8,32.5,38.8,36.1,38.6,0.0,InlandSardinia
48.9,63.1,63.9,31.7,49.3,27.8,27.8,0.0,InlandSardinia
48.7,72.8,66.0,26.0,48.7,37.5,22.0,0.0,InlandSardinia
52.8,73.8,63.1,27.5,43.1,48.6,22.9,0.0,InlandSardinia
51.9,69.9,64.5,22.6,50.3,43.1,23.8,0.0,InlandSardinia
49.1,55.3,67.7,35.5,43.8,36.1,30.5,0.0,InlandSardinia
50.0,68.9,66.2,29.1,44.6,41.7,25.6,0.0,InlandSardinia
51.0,49.5,65.1,29.4,42.8,25.0,31.4,0.0,InlandSardinia
50.8,73.8,66.2,31.3,41.8,43.1,30.0,0.0,InlandSardinia
52.3,62.1,65.2,35.1,39.2,38.9,33.6,0.0,InlandSardinia
52.8,67.0,62.9,26.0,43.2,38.9,26.5,0.0,InlandSardinia
49.3,61.2,63.9,30.9,47.3,36.1,32.7,0.0,InlandSardinia
52.1,75.7,64.5,30.6,38.8,41.7,37.7,0.0,InlandSardinia
50.2,78.6,65.4,26.8,44.8,40.3,26.0,0.0,InlandSardinia
48.5,69.9,63.6,29.4,47.1,29.2,39.9,0.0,InlandSardinia
52.6,75.7,64.5,28.7,41.3,47.2,21.5,0.0,InlandSardinia
53.4,72.8,66.2,34.3,42.8,43.1,30.0,0.0,InlandSardinia
52.5,74.8,66.7,30.2,41.4,34.7,23.3,0.0,InlandSardinia
51.2,82.5,63.7,27.9,50.5,44.4,22.0,0.0,InlandSardinia
50.6,52.4,64.9,33.6,43.1,56.9,31.8,0.0,InlandSardinia
53.1,77.7,68.3,23.8,39.2,38.9,26.5,0.0,InlandSardinia
54.0,57.3,66.7,24.2,38.9,36.1,27.4,0.0,InlandSardinia
53.1,74.8,64.0,26.8,40.1,37.5,30.5,0.0,InlandSardinia
49.9,68.0,67.9,27.5,44.0,36.1,26.0,0.0,InlandSardinia
43.0,42.7,65.6,7.5,47.6,25.0,38.1,0.0,InlandSardinia
47.5,43.7,70.5,30.6,39.0,27.8,30.0,0.0,InlandSardinia
47.5,41.7,69.5,39.6,44.0,29.2,29.6,0.0,InlandSardinia
52.3,66.0,71.3,26.0,37.3,26.4,27.8,0.0,InlandSardinia
46.4,64.1,77.5,31.3,40.9,36.1,28.3,0.0,InlandSardinia
47.9,85.4,71.3,24.9,43.8,38.9,25.1,0.0,InlandSardinia
50.6,80.6,71.2,32.5,38.2,31.9,23.8,0.0,InlandSardinia
48.3,68.0,65.1,30.2,43.6,27.8,26.0,0.0,InlandSardinia
52.8,81.6,59.9,26.4,45.2,47.2,21.1,0.0,InlandSardinia
49.5,69.9,70.0,31.3,40.4,30.6,35.0,0.0,InlandSardinia
50.1,65.0,65.8,23.8,46.3,27.8,30.9,0.0,InlandSardinia
47.2,100.0,68.2,39.6,41.8,45.8,29.6,0.0,InlandSardinia
52.3,68.9,64.7,26.8,41.3,27.8,35.4,0.0,InlandSardinia
50.4,62.1,70.9,33.2,38.2,31.9,34.1,0.0,InlandSardinia
48.3,83.5,68.5,25.3,46.0,38.9,22.9,0.0,InlandSardinia
50.4,61.2,68.6,36.2,40.0,25.0,35.4,0.0,InlandSardinia
50.5,61.2,68.6,23.8,43.8,25.0,30.5,0.0,InlandSardinia
48.2,69.9,72.1,28.7,44.4,30.6,22.0,0.0,InlandSardinia
51.3,83.5,71.9,35.1,42.8,36.1,29.6,0.0,InlandSardinia
49.3,91.3,66.4,30.6,43.0,33.3,30.5,0.0,InlandSardinia
36.3,70.9,85.9,35.1,48.7,27.8,41.7,0.0,CoastalSardinia
37.0,64.1,87.5,35.8,46.5,26.4,39.9,0.0,CoastalSardinia
38.9,78.6,83.9,41.5,43.1,26.4,43.9,0.0,CoastalSardinia
32.7,70.9,91.5,27.2,52.5,31.9,38.6,0.0,CoastalSardinia
33.5,61.2,86.8,36.6,53.6,27.8,41.7,0.0,CoastalSardinia
31.8,78.6,92.2,30.9,49.4,25.0,53.8,0.0,CoastalSardinia
39.3,57.3,78.8,39.2,48.4,27.8,47.1,0.0,CoastalSardinia
27.6,90.3,100.0,36.2,50.4,27.8,39.9,0.0,CoastalSardinia
35.2,74.8,88.9,30.6,48.9,30.6,39.5,0.0,CoastalSardinia
40.0,54.4,84.6,33.6,45.5,18.1,39.9,0.0,CoastalSardinia
36.3,85.4,89.4,31.7,46.4,30.6,47.1,0.0,CoastalSardinia
40.9,69.9,81.6,32.1,43.2,31.9,48.4,0.0,CoastalSardinia
40.0,68.0,84.1,27.2,46.3,31.9,36.3,0.0,CoastalSardinia
34.1,62.1,87.3,34.0,51.0,33.3,47.5,0.0,CoastalSardinia
39.0,63.1,85.3,29.8,46.7,30.6,37.2,0.0,CoastalSardinia
40.9,53.4,86.3,30.6,42.1,36.1,39.5,0.0,CoastalSardinia
40.7,58.3,81.9,42.3,42.3,36.1,44.8,0.0,CoastalSardinia
37.2,67.0,88.0,30.2,47.1,29.2,47.5,0.0,CoastalSardinia
38.1,64.1,84.3,32.5,46.9,31.9,45.7,0.0,CoastalSardinia
36.4,72.8,83.1,35.8,48.8,34.7,48.9,0.0,CoastalSardinia
41.2,53.4,84.1,27.2,46.3,36.1,25.1,0.0,CoastalSardinia
36.8,80.6,84.1,35.1,50.2,43.1,27.8,0.0,CoastalSardinia
44.7,63.1,83.9,23.4,41.4,37.5,22.4,0.0,CoastalSardinia
36.4,70.9,91.5,28.3,45.3,29.2,39.5,0.0,CoastalSardinia
37.0,76.7,90.4,36.2,48.2,31.9,38.6,0.0,CoastalSardinia
34.8,64.1,92.0,30.2,47.2,27.8,43.9,0.0,CoastalSardinia
39.6,71.8,83.5,33.2,43.4,30.6,51.6,0.0,CoastalSardinia
36.1,65.0,91.2,32.1,45.9,33.3,37.7,0.0,CoastalSardinia
42.7,56.3,83.6,27.9,42.4,22.2,40.8,0.0,CoastalSardinia
37.2,70.9,90.4,30.6,44.9,25.0,37.7,0.0,CoastalSardinia
33.5,79.6,90.8,29.1,50.5,27.8,39.9,0.0,CoastalSardinia
34.4,67.0,90.0,34.3,49.1,31.9,40.4,0.0,CoastalSardinia
65.9,66.0,26.6,24.5,49.8,52.8,35.0,0.0,EastLiguria
65.4,75.7,30.5,28.3,43.6,38.9,43.9,0.0,EastLiguria
67.3,75.7,27.6,20.8,45.3,52.8,39.5,0.0,EastLiguria
64.0,85.4,29.5,20.8,48.9,38.9,43.9,0.0,EastLiguria
69.7,46.6,23.7,13.2,52.4,25.0,26.0,0.0,EastLiguria
80.1,17.5,12.9,13.2,47.1,11.1,21.5,0.0,EastLiguria
62.1,56.3,30.5,24.5,54.2,38.9,39.5,0.0,EastLiguria
57.8,95.1,34.4,28.3,50.7,66.7,43.9,0.0,EastLiguria
59.7,85.4,32.5,20.8,53.3,52.8,43.9,0.0,EastLiguria
58.8,95.1,31.5,24.5,54.2,80.6,30.5,0.0,EastLiguria
57.8,95.1,36.4,32.1,50.7,66.7,17.0,0.0,EastLiguria
60.7,85.4,33.5,28.3,48.9,52.8,30.5,0.0,EastLiguria
62.6,85.4,32.5,32.1,46.2,38.9,39.5,0.0,EastLiguria
66.8,66.0,29.5,32.1,41.8,25.0,48.4,0.0,EastLiguria
67.8,95.1,26.6,28.3,42.7,66.7,57.4,0.0,EastLiguria
69.7,85.4,25.6,32.1,36.4,52.8,52.9,0.0,EastLiguria
65.4,75.7,30.5,28.3,42.7,80.6,43.9,0.0,EastLiguria
67.3,75.7,22.7,32.1,45.3,38.9,48.4,0.0,EastLiguria
72.5,66.0,21.7,24.5,41.8,38.9,39.5,0.0,EastLiguria
73.9,17.5,18.8,20.8,48.9,11.1,35.0,0.0,EastLiguria
72.0,66.0,21.7,24.5,43.6,25.0,39.5,0.0,EastLiguria
77.3,27.2,17.8,32.1,39.1,11.1,43.9,0.0,EastLiguria
70.1,46.6,23.7,28.3,42.7,38.9,52.9,0.0,EastLiguria
68.7,75.7,22.7,24.5,45.3,38.9,48.4,0.0,EastLiguria
65.4,66.0,27.6,32.1,45.3,52.8,43.9,0.0,EastLiguria
64.9,75.7,25.6,28.3,51.6,38.9,35.0,0.0,EastLiguria
62.6,85.4,28.6,35.8,49.8,25.0,43.9,0.0,EastLiguria
67.3,66.0,27.6,32.1,45.3,25.0,35.0,0.0,EastLiguria
65.9,36.9,26.6,24.5,51.6,11.1,52.9,0.0,EastLiguria
53.1,17.5,34.4,28.3,70.2,0.0,52.9,0.0,EastLiguria
57.8,27.2,30.5,24.5,65.8,11.1,43.9,0.0,EastLiguria
75.4,56.3,21.7,17.0,42.7,11.1,30.5,0.0,EastLiguria
70.6,56.3,19.8,28.3,48.0,38.9,35.0,0.0,EastLiguria
72.0,27.2,13.9,28.3,56.0,11.1,30.5,0.0,EastLiguria
75.4,7.8,8.0,32.1,54.2,0.0,39.5,0.0,EastLiguria
74.4,27.2,12.9,24.5,50.7,11.1,43.9,0.0,EastLiguria
67.8,85.4,17.8,35.8,49.8,38.9,39.5,0.0,EastLiguria
66.8,66.0,18.8,32.1,49.8,25.0,57.4,0.0,EastLiguria
70.6,36.9,22.7,24.5,50.7,11.1,30.5,0.0,EastLiguria
72.0,46.6,13.9,28.3,52.4,11.1,39.5,0.0,EastLiguria
74.9,56.3,11.9,28.3,47.1,25.0,39.5,0.0,EastLiguria
74.4,75.7,12.9,20.8,48.9,38.9,26.0,0.0,EastLiguria
70.1,56.3,19.8,24.5,46.2,52.8,43.9,0.0,EastLiguria
71.1,66.0,17.8,24.5,48.0,38.9,39.5,0.0,EastLiguria
72.0,66.0,21.7,20.8,44.4,25.0,39.5,0.0,EastLiguria
73.5,36.9,16.8,20.8,48.0,25.0,30.5,0.0,EastLiguria
69.2,46.6,21.7,24.5,50.7,25.0,39.5,0.0,EastLiguria
76.8,27.2,22.7,24.5,36.4,11.1,43.9,0.0,EastLiguria
100.0,17.5,19.8,24.5,0.0,0.0,35.0,0.0,EastLiguria
59.2,0.0,54.0,43.4,44.4,0.0,26.0,0.0,WestLiguria
58.3,0.0,56.9,32.1,36.4,0.0,30.5,0.0,WestLiguria
61.6,7.8,53.0,39.6,40.9,0.0,26.0,0.0,WestLiguria
55.9,7.8,58.9,28.3,35.6,11.1,88.8,0.0,WestLiguria
65.4,36.9,37.4,47.2,40.0,11.1,39.5,0.0,WestLiguria
62.6,17.5,42.3,47.2,40.0,11.1,52.9,0.0,WestLiguria
68.2,0.0,44.2,32.1,37.3,0.0,35.0,0.0,WestLiguria
58.3,0.0,51.1,43.4,45.3,0.0,43.9,0.0,WestLiguria
69.2,0.0,52.1,35.8,37.3,0.0,30.5,0.0,WestLiguria
61.6,0.0,53.0,32.1,40.9,11.1,35.0,0.0,WestLiguria
62.1,7.8,39.3,62.3,47.1,11.1,30.5,0.0,WestLiguria
61.1,36.9,40.3,62.3,42.7,11.1,35.0,0.0,WestLiguria
67.3,0.0,45.2,35.8,32.9,11.1,66.4,0.0,WestLiguria
58.8,0.0,57.9,28.3,32.9,0.0,79.8,0.0,WestLiguria
71.6,0.0,48.1,28.3,31.1,0.0,21.5,0.0,WestLiguria
70.1,0.0,47.2,28.3,33.8,0.0,26.0,0.0,WestLiguria
61.6,0.0,55.0,39.6,40.0,0.0,26.0,0.0,WestLiguria
62.1,7.8,27.6,50.9,56.0,11.1,43.9,0.0,WestLiguria
73.5,0.0,23.7,28.3,40.0,0.0,70.9,0.0,WestLiguria
62.6,7.8,50.1,32.1,36.4,0.0,61.9,0.0,WestLiguria
66.4,0.0,56.0,28.3,32.0,0.0,30.5,0.0,WestLiguria
54.5,7.8,55.0,43.4,50.7,0.0,30.5,0.0,WestLiguria
65.9,7.8,39.3,47.2,40.0,11.1,39.5,0.0,WestLiguria
63.0,0.0,56.9,32.1,33.8,0.0,43.9,0.0,WestLiguria
63.0,0.0,48.1,28.3,35.6,11.1,88.8,0.0,WestLiguria
70.1,7.8,36.4,28.3,38.2,11.1,43.9,0.0,WestLiguria
71.6,7.8,35.4,28.3,38.2,11.1,43.9,0.0,WestLiguria
62.6,0.0,46.2,28.3,36.4,11.1,88.8,0.0,WestLiguria
62.6,0.0,55.0,28.3,36.4,0.0,48.4,0.0,WestLiguria
62.1,0.0,47.2,28.3,35.6,11.1,88.8,0.0,WestLiguria
67.3,0.0,45.2,35.8,27.6,0.0,84.3,0.0,WestLiguria
66.8,7.8,44.2,32.1,37.3,0.0,43.9,0.0,WestLiguria
72.0,0.0,37.4,28.3,31.1,0.0,66.4,0.0,WestLiguria
71.6,0.0,38.4,35.8,37.3,0.0,26.0,0.0,WestLiguria
66.8,17.5,45.2,32.1,35.6,11.1,39.5,0.0,WestLiguria
71.1,0.0,39.3,28.3,36.4,0.0,39.5,0.0,WestLiguria
64.0,7.8,37.4,28.3,45.3,0.0,66.4,0.0,WestLiguria
66.8,0.0,34.4,28.3,42.7,11.1,61.9,0.0,WestLiguria
63.0,7.8,31.5,39.6,43.6,11.1,57.4,0.0,WestLiguria
72.0,0.0,30.5,24.5,42.7,11.1,39.5,0.0,WestLiguria
67.3,7.8,35.4,28.3,48.0,0.0,43.9,0.0,WestLiguria
71.6,7.8,29.5,28.3,44.4,0.0,35.0,0.0,WestLiguria
67.3,0.0,49.1,35.8,35.6,0.0,26.0,0.0,WestLiguria
67.8,7.8,41.3,32.1,40.9,11.1,30.5,0.0,WestLiguria
56.4,7.8,33.5,35.8,59.6,11.1,61.9,0.0,WestLiguria
68.2,7.8,35.4,32.1,40.0,11.1,52.9,0.0,WestLiguria
67.3,0.0,51.1,28.3,35.6,0.0,26.0,0.0,WestLiguria
68.7,7.8,41.3,39.6,33.8,11.1,43.9,0.0,WestLiguria
78.2,17.5,28.6,24.5,31.1,11.1,39.5,0.0,WestLiguria
78.4,51.5,14.9,20.8,42.2,31.9,14.8,0.0,Umbria
78.2,43.7,14.9,17.0,42.7,36.1,17.0,0.0,Umbria
78.7,17.5,15.1,18.9,41.8,45.8,16.6,0.0,Umbria
78.4,38.8,14.9,17.0,42.7,36.1,19.3,0.0,Umbria
75.8,51.5,14.9,15.1,44.0,48.6,21.5,0.0,Umbria
79.4,51.5,15.9,22.6,40.0,25.0,10.3,0.0,Umbria
79.5,61.2,15.4,20.8,39.1,36.1,8.1,0.0,Umbria
76.1,46.6,14.9,15.1,43.6,45.8,20.6,0.0,Umbria
78.9,61.2,15.4,18.9,40.4,27.8,11.7,0.0,Umbria
78.4,46.6,15.1,17.0,42.2,38.9,16.1,0.0,Umbria
78.7,51.5,15.4,18.9,41.8,31.9,12.6,0.0,Umbria
78.4,49.5,15.1,17.0,42.2,38.9,17.0,0.0,Umbria
78.7,36.9,15.1,20.0,41.3,25.0,19.3,0.0,Umbria
78.2,36.9,14.9,16.2,42.7,45.8,17.9,0.0,Umbria
78.0,31.1,14.9,17.0,43.1,50.0,20.6,0.0,Umbria
78.2,38.8,14.9,16.2,42.7,38.9,19.3,0.0,Umbria
78.2,29.1,15.1,16.2,43.1,45.8,20.6,0.0,Umbria
77.7,38.8,14.9,16.2,42.7,45.8,19.3,0.0,Umbria
78.0,31.1,14.9,16.2,43.1,45.8,20.6,0.0,Umbria
77.7,41.7,14.9,15.1,43.1,45.8,21.5,0.0,Umbria
78.9,33.0,15.7,20.8,41.8,36.1,16.1,0.0,Umbria
78.2,35.0,14.9,17.0,42.7,41.7,19.3,0.0,Umbria
75.8,52.4,14.4,15.1,44.0,51.4,21.5,0.0,Umbria
75.8,48.5,14.4,13.2,44.4,52.8,23.8,0.0,Umbria
79.5,30.1,15.7,20.8,41.3,36.1,20.6,0.0,Umbria
79.6,38.8,15.7,18.9,41.3,45.8,14.8,0.0,Umbria
79.4,46.6,15.9,22.6,40.4,31.9,12.6,0.0,Umbria
79.6,41.7,15.1,22.6,40.9,27.8,16.1,0.0,Umbria
79.6,41.7,15.1,22.6,40.9,27.8,16.1,0.0,Umbria
76.3,40.8,15.9,20.8,43.6,51.4,21.5,0.0,Umbria
78.7,54.4,15.9,20.8,41.3,27.8,14.8,0.0,Umbria
80.1,55.3,15.9,23.8,39.1,22.2,10.3,0.0,Umbria
78.0,32.0,14.9,17.0,42.7,41.7,20.6,0.0,Umbria
80.1,20.4,15.7,23.8,39.1,36.1,16.1,0.0,Umbria
79.4,24.3,15.4,20.8,41.3,36.1,17.0,0.0,Umbria
78.0,29.1,14.4,14.7,43.4,55.6,22.4,0.0,Umbria
80.8,17.5,12.4,0.0,44.0,69.4,20.6,0.0,Umbria
76.5,61.2,6.1,22.6,44.4,73.6,30.5,0.0,Umbria
80.0,51.5,17.4,13.2,39.8,52.8,11.7,0.0,Umbria
78.4,12.6,14.9,5.7,44.9,73.6,32.7,0.0,Umbria
80.3,17.5,11.9,5.7,44.0,69.4,20.6,0.0,Umbria
79.6,44.7,16.3,12.8,41.1,63.9,11.7,0.0,Umbria
80.1,17.5,11.9,0.0,44.4,66.7,26.0,0.0,Umbria
