eicosenoic,stearic,oleic,arachidic,linolenic,palmitic,palmitoleic,linoleic,region
46.4,58.7,51.9,63.1,58.3,56.4,21.5,37.3,Calabria
60.7,41.3,48.5,61.2,76.4,60.0,43.0,36.3,Calabria
55.4,72.2,47.3,62.1,61.1,56.7,34.7,38.4,Calabria
60.7,37.7,43.1,70.9,63.9,66.3,34.3,40.9,Calabria
46.4,34.1,50.0,60.2,65.3,57.8,32.8,41.3,Calabria
41.1,71.7,44.5,61.2,62.5,57.9,40.0,42.0,Calabria
62.5,57.0,40.8,57.3,63.9,61.7,41.1,47.0,Calabria
69.6,60.5,39.3,61.2,68.1,65.2,38.5,43.9,Calabria
42.9,66.4,49.8,50.5,62.5,63.4,30.6,30.2,Calabria
53.6,28.3,49.8,57.3,63.9,60.6,38.5,38.3,Calabria
39.3,41.3,51.8,67.0,61.1,57.2,38.9,33.1,Calabria
32.1,48.0,41.1,65.0,54.2,62.4,43.8,48.0,Calabria
51.8,66.8,45.5,61.2,62.5,53.6,35.5,46.7,Calabria
25.0,89.2,45.6,52.4,54.2,66.6,31.3,32.5,Calabria
48.2,49.8,53.8,65.0,59.7,58.3,30.9,28.9,Calabria
37.5,71.3,47.9,63.1,59.7,61.2,31.7,33.2,Calabria
44.6,57.0,45.4,68.0,56.9,58.8,38.1,41.5,Calabria
39.3,80.7,51.1,49.5,58.3,59.4,27.2,31.6,Calabria
46.4,71.3,51.7,53.4,63.9,51.0,36.6,36.3,Calabria
50.0,52.0,44.6,56.3,51.4,68.6,35.8,37.2,Calabria
37.5,62.8,60.7,47.6,50.0,50.9,49.4,16.6,Calabria
42.9,30.0,50.0,66.0,69.4,57.9,52.1,36.2,Calabria
30.4,39.0,63.5,51.5,34.7,52.3,45.7,18.1,Calabria
42.9,35.9,64.4,45.6,47.2,54.7,44.9,16.4,Calabria
41.1,25.1,42.2,65.0,52.8,64.8,57.0,46.5,Calabria
51.8,39.5,63.6,56.3,59.7,46.4,53.6,18.6,Calabria
41.1,41.7,51.4,66.0,62.5,68.5,63.4,15.8,Calabria
25.0,47.1,45.4,53.4,56.9,71.0,42.6,30.4,Calabria
39.3,43.9,45.2,64.1,62.5,61.9,42.3,41.2,Calabria
46.4,43.9,50.0,64.1,58.3,67.7,39.6,24.9,Calabria
28.6,40.4,47.1,56.3,50.0,64.5,37.0,39.8,Calabria
60.7,38.6,40.9,68.0,59.7,70.3,51.3,40.0,Calabria
69.6,36.8,44.4,58.3,52.8,69.3,39.2,36.7,Calabria
41.1,57.8,34.5,51.5,51.4,73.1,51.7,49.0,Calabria
46.4,65.5,41.8,64.1,59.7,71.3,41.1,33.5,Calabria
57.1,62.3,42.5,66.0,68.1,67.2,49.8,32.8,Calabria
48.2,54.3,46.5,64.1,59.7,68.7,38.9,28.4,Calabria
46.4,49.8,52.1,61.2,72.2,59.8,32.8,30.8,Calabria
28.6,48.4,51.2,47.6,63.9,61.0,45.7,32.5,Calabria
37.5,60.5,49.4,40.8,58.3,60.2,35.1,37.0,Calabria
35.7,64.6,44.0,56.3,47.2,65.9,54.3,35.4,Calabria
60.7,52.0,56.8,65.0,69.4,56.1,30.9,25.5,Calabria
57.1,66.4,44.1,61.2,100.0,58.4,32.5,44.0,Calabria
60.7,44.8,48.4,62.1,72.2,55.6,46.4,40.4,Calabria
50.0,31.8,51.9,52.4,62.5,57.3,33.2,39.1,Calabria
53.6,80.3,10.0,86.4,61.1,91.5,59.2,66.1,Sicily
62.5,53.8,23.7,78.6,63.9,65.3,44.5,73.0,Sicily
73.2,55.2,25.5,83.5,61.1,64.8,58.5,59.9,Sicily
69.6,49.8,46.3,90.3,58.3,51.9,45.3,43.2,Sicily
76.8,100.0,69.7,65.0,69.4,44.6,20.0,0.0,Sicily
73.2,79.4,61.8,63.1,63.9,54.4,20.8,11.5,Sicily
53.6,84.8,62.4,61.2,65.3,46.8,21.5,20.8,Sicily
41.1,56.1,71.8,61.2,59.7,28.1,9.8,32.9,Sicily
62.5,99.1,67.0,64.1,68.1,44.0,20.4,8.2,Sicily
60.7,68.6,60.5,60.2,59.7,44.4,24.2,30.8,Sicily
78.6,50.7,44.3,72.8,56.9,59.9,29.4,43.5,Sicily
60.7,56.1,52.9,55.3,55.6,45.3,20.4,48.7,Sicily
100.0,57.8,74.4,60.2,55.6,27.2,14.0,24.1,Sicily
96.4,61.0,68.6,67.0,65.3,26.2,12.8,35.6,Sicily
71.4,60.5,48.8,69.9,58.3,53.0,15.1,47.7,Sicily
62.5,51.6,34.1,79.6,54.2,75.3,63.0,40.6,Sicily
58.9,18.4,48.7,82.5,47.2,63.7,47.2,36.7,Sicily
67.9,44.4,35.3,81.6,52.8,61.6,32.1,58.8,Sicily
53.6,48.0,27.3,73.8,44.4,74.1,60.4,56.7,Sicily
44.6,33.2,31.4,68.0,38.9,79.6,86.0,40.1,Sicily
67.9,31.8,29.2,72.8,48.6,72.8,55.5,58.0,Sicily
64.3,26.5,32.9,92.2,48.6,78.3,55.5,47.0,Sicily
67.9,26.5,42.1,88.3,50.0,69.6,42.6,41.3,Sicily
73.2,26.0,38.4,96.1,52.8,70.6,44.9,46.5,Sicily
76.8,27.8,50.9,84.5,50.0,54.4,43.4,39.9,Sicily
53.6,73.5,61.3,60.2,55.6,48.3,22.3,25.1,Sicily
53.6,69.5,59.4,65.0,56.9,49.7,23.0,27.4,Sicily
23.2,38.1,50.9,66.0,51.4,67.5,33.6,32.0,Sicily
75.0,51.6,68.4,58.3,54.2,34.0,16.2,31.8,Sicily
80.4,45.7,67.3,65.0,58.3,32.9,14.3,35.9,Sicily
80.4,54.3,66.0,59.2,59.7,31.7,15.1,37.7,Sicily
64.3,90.6,58.2,71.8,58.3,46.0,21.9,27.4,Sicily
71.4,54.3,54.3,68.9,58.3,51.4,26.4,35.8,Sicily
58.9,42.6,52.4,66.0,56.9,57.5,30.2,35.6,Sicily
51.8,66.8,55.5,67.0,56.9,58.0,27.5,25.0,Sicily
0.0,26.0,51.0,85.4,45.8,38.4,45.3,65.4,InlandSardinia
0.0,26.0,51.2,89.3,41.7,43.8,30.6,62.3,InlandSardinia
0.0,30.9,46.4,89.3,45.8,45.2,30.9,69.1,InlandSardinia
0.0,28.3,51.6,87.4,40.3,39.3,30.2,66.3,InlandSardinia
0.0,35.4,46.9,62.1,33.3,45.0,32.8,70.5,InlandSardinia
0.0,35.4,48.3,62.1,25.0,44.3,44.2,63.9,InlandSardinia
0.0,26.9,51.5,58.3,36.1,46.1,35.1,61.3,InlandSardinia
0.0,31.8,51.4,58.3,36.1,42.2,28.7,66.3,InlandSardinia
0.0,36.3,48.4,57.3,34.7,43.9,33.2,68.4,InlandSardinia
0.0,26.9,49.2,63.1,36.1,43.4,27.5,67.7,InlandSardinia
0.0,35.4,50.6,58.3,37.5,44.3,29.1,64.8,InlandSardinia
0.0,24.7,52.7,64.1,41.7,41.3,33.2,63.4,InlandSardinia
0.0,34.1,51.5,68.0,31.9,39.9,30.6,66.5,InlandSardinia
0.0,24.7,49.6,77.7,45.8,50.3,29.1,59.6,InlandSardinia
0.0,27.4,48.3,60.2,50.0,48.8,31.3,64.6,InlandSardinia
0.0,22.0,52.0,63.1,34.7,46.4,24.5,63.3,InlandSardinia
0.0,30.5,52.1,85.4,37.5,44.2,22.6,63.4,InlandSardinia
0.0,36.8,50.0,54.4,36.1,42.8,33.6,66.3,InlandSardinia
0.0,30.0,52.6,76.7,43.1,45.2,24.9,59.6,InlandSardinia
0.0,26.9,51.2,64.1,45.8,44.1,29.4,64.2,InlandSardinia
0.0,38.6,51.4,84.5,36.1,38.8,32.5,65.8,InlandSardinia
0.0,27.8,48.9,63.1,27.8,49.3,31.7,63.9,InlandSardinia
0.0,22.0,48.7,72.8,37.5,48.7,26.0,66.0,InlandSardinia
0.0,22.9,52.8,73.8,48.6,43.1,27.5,63.1,InlandSardinia
0.0,23.8,51.9,69.9,43.1,50.3,22.6,64.5,InlandSardinia
0.0,30.5,49.1,55.3,36.1,43.8,35.5,67.7,InlandSardinia
0.0,25.6,50.0,68.9,41.7,44.6,29.1,66.2,InlandSardinia
0.0,31.4,51.0,49.5,25.0,42.8,29.4,65.1,InlandSardinia
0.0,30.0,50.8,73.8,43.1,41.8,31.3,66.2,InlandSardinia
0.0,33.6,52.3,62.1,38.9,39.2,35.1,65.2,InlandSardinia
0.0,26.5,52.8,67.0,38.9,43.2,26.0,62.9,InlandSardinia
0.0,32.7,49.3,61.2,36.1,47.3,30.9,63.9,InlandSardinia
0.0,37.7,52.1,75.7,41.7,38.8,30.6,64.5,InlandSardinia
0.0,26.0,50.2,78.6,40.3,44.8,26.8,65.4,InlandSardinia
0.0,39.9,48.5,69.9,29.2,47.1,29.4,63.6,InlandSardinia
0.0,21.5,52.6,75.7,47.2,41.3,28.7,64.5,InlandSardinia
0.0,30.0,53.4,72.8,43.1,42.8,34.3,66.2,InlandSardinia
0.0,23.3,52.5,74.8,34.7,41.4,30.2,66.7,InlandSardinia
0.0,22.0,51.2,82.5,44.4,50.5,27.9,63.7,InlandSardinia
0.0,31.8,50.6,52.4,56.9,43.1,33.6,64.9,InlandSardinia
0.0,26.5,53.1,77.7,38.9,39.2,23.8,68.3,InlandSardinia
0.0,27.4,54.0,57.3,36.1,38.9,24.2,66.7,InlandSardinia
0.0,30.5,53.1,74.8,37.5,40.1,26.8,64.0,InlandSardinia
0.0,26.0,49.9,68.0,36.1,44.0,27.5,67.9,InlandSardinia
0.0,38.1,43.0,42.7,25.0,47.6,7.5,65.6,InlandSardinia
0.0,30.0,47.5,43.7,27.8,39.0,30.6,70.5,InlandSardinia
0.0,29.6,47.5,41.7,29.2,44.0,39.6,69.5,InlandSardinia
0.0,27.8,52.3,66.0,26.4,37.3,26.0,71.3,InlandSardinia
0.0,28.3,46.4,64.1,36.1,40.9,31.3,77.5,InlandSardinia
0.0,25.1,47.9,85.4,38.9,43.8,24.9,71.3,InlandSardinia
0.0,23.8,50.6,80.6,31.9,38.2,32.5,71.2,InlandSardinia
0.0,26.0,48.3,68.0,27.8,43.6,30.2,65.1,InlandSardinia
0.0,21.1,52.8,81.6,47.2,45.2,26.4,59.9,InlandSardinia
0.0,35.0,49.5,69.9,30.6,40.4,31.3,70.0,InlandSardinia
0.0,30.9,50.1,65.0,27.8,46.3,23.8,65.8,InlandSardinia
0.0,29.6,47.2,100.0,45.8,41.8,39.6,68.2,InlandSardinia
0.0,35.4,52.3,68.9,27.8,41.3,26.8,64.7,InlandSardinia
0.0,34.1,50.4,62.1,31.9,38.2,33.2,70.9,InlandSardinia
0.0,22.9,48.3,83.5,38.9,46.0,25.3,68.5,InlandSardinia
0.0,35.4,50.4,61.2,25.0,40.0,36.2,68.6,InlandSardinia
0.0,30.5,50.5,61.2,25.0,43.8,23.8,68.6,InlandSardinia
0.0,22.0,48.2,69.9,30.6,44.4,28.7,72.1,InlandSardinia
0.0,29.6,51.3,83.5,36.1,42.8,35.1,71.9,InlandSardinia
0.0,30.5,49.3,91.3,33.3,43.0,30.6,66.4,InlandSardinia
0.0,41.7,36.3,70.9,27.8,48.7,35.1,85.9,CoastalSardinia
0.0,39.9,37.0,64.1,26.4,46.5,35.8,87.5,CoastalSardinia
0.0,43.9,38.9,78.6,26.4,43.1,41.5,83.9,CoastalSardinia
0.0,38.6,32.7,70.9,31.9,52.5,27.2,91.5,CoastalSardinia
0.0,41.7,33.5,61.2,27.8,53.6,36.6,86.8,CoastalSardinia
0.0,53.8,31.8,78.6,25.0,49.4,30.9,92.2,CoastalSardinia
0.0,47.1,39.3,57.3,27.8,48.4,39.2,78.8,CoastalSardinia
0.0,39.9,27.6,90.3,27.8,50.4,36.2,100.0,CoastalSardinia
0.0,39.5,35.2,74.8,30.6,48.9,30.6,88.9,CoastalSardinia
0.0,39.9,40.0,54.4,18.1,45.5,33.6,84.6,CoastalSardinia
0.0,47.1,36.3,85.4,30.6,46.4,31.7,89.4,CoastalSardinia
0.0,48.4,40.9,69.9,31.9,43.2,32.1,81.6,CoastalSardinia
0.0,36.3,40.0,68.0,31.9,46.3,27.2,84.1,CoastalSardinia
0.0,47.5,34.1,62.1,33.3,51.0,34.0,87.3,CoastalSardinia
0.0,37.2,39.0,63.1,30.6,46.7,29.8,85.3,CoastalSardinia
0.0,39.5,40.9,53.4,36.1,42.1,30.6,86.3,CoastalSardinia
0.0,44.8,40.7,58.3,36.1,42.3,42.3,81.9,CoastalSardinia
0.0,47.5,37.2,67.0,29.2,47.1,30.2,88.0,CoastalSardinia
0.0,45.7,38.1,64.1,31.9,46.9,32.5,84.3,CoastalSardinia
0.0,48.9,36.4,72.8,34.7,48.8,35.8,83.1,CoastalSardinia
0.0,25.1,41.2,53.4,36.1,46.3,27.2,84.1,CoastalSardinia
0.0,27.8,36.8,80.6,43.1,50.2,35.1,84.1,CoastalSardinia
0.0,22.4,44.7,63.1,37.5,41.4,23.4,83.9,CoastalSardinia
0.0,39.5,36.4,70.9,29.2,45.3,28.3,91.5,CoastalSardinia
0.0,38.6,37.0,76.7,31.9,48.2,36.2,90.4,CoastalSardinia
0.0,43.9,34.8,64.1,27.8,47.2,30.2,92.0,CoastalSardinia
0.0,51.6,39.6,71.8,30.6,43.4,33.2,83.5,CoastalSardinia
0.0,37.7,36.1,65.0,33.3,45.9,32.1,91.2,CoastalSardinia
0.0,40.8,42.7,56.3,22.2,42.4,27.9,83.6,CoastalSardinia
0.0,37.7,37.2,70.9,25.0,44.9,30.6,90.4,CoastalSardinia
0.0,39.9,33.5,79.6,27.8,50.5,29.1,90.8,CoastalSardinia
0.0,40.4,34.4,67.0,31.9,49.1,34.3,90.0,CoastalSardinia
0.0,35.0,65.9,66.0,52.8,49.8,24.5,26.6,EastLiguria
0.0,43.9,65.4,75.7,38.9,43.6,28.3,30.5,EastLiguria
0.0,39.5,67.3,75.7,52.8,45.3,20.8,27.6,EastLiguria
0.0,43.9,64.0,85.4,38.9,48.9,20.8,29.5,EastLiguria
0.0,26.0,69.7,46.6,25.0,52.4,13.2,23.7,EastLiguria
0.0,21.5,80.1,17.5,11.1,47.1,13.2,12.9,EastLiguria
0.0,39.5,62.1,56.3,38.9,54.2,24.5,30.5,EastLiguria
0.0,43.9,57.8,95.1,66.7,50.7,28.3,34.4,EastLiguria
0.0,43.9,59.7,85.4,52.8,53.3,20.8,32.5,EastLiguria
0.0,30.5,58.8,95.1,80.6,54.2,24.5,31.5,EastLiguria
0.0,17.0,57.8,95.1,66.7,50.7,32.1,36.4,EastLiguria
0.0,30.5,60.7,85.4,52.8,48.9,28.3,33.5,EastLiguria
0.0,39.5,62.6,85.4,38.9,46.2,32.1,32.5,EastLiguria
0.0,48.4,66.8,66.0,25.0,41.8,32.1,29.5,EastLiguria
0.0,57.4,67.8,95.1,66.7,42.7,28.3,26.6,EastLiguria
0.0,52.9,69.7,85.4,52.8,36.4,32.1,25.6,EastLiguria
0.0,43.9,65.4,75.7,80.6,42.7,28.3,30.5,EastLiguria
0.0,48.4,67.3,75.7,38.9,45.3,32.1,22.7,EastLiguria
0.0,39.5,72.5,66.0,38.9,41.8,24.5,21.7,EastLiguria
0.0,35.0,73.9,17.5,11.1,48.9,20.8,18.8,EastLiguria
0.0,39.5,72.0,66.0,25.0,43.6,24.5,21.7,EastLiguria
0.0,43.9,77.3,27.2,11.1,39.1,32.1,17.8,EastLiguria
0.0,52.9,70.1,46.6,38.9,42.7,28.3,23.7,EastLiguria
0.0,48.4,68.7,75.7,38.9,45.3,24.5,22.7,EastLiguria
0.0,43.9,65.4,66.0,52.8,45.3,32.1,27.6,EastLiguria
0.0,35.0,64.9,75.7,38.9,51.6,28.3,25.6,EastLiguria
0.0,43.9,62.6,85.4,25.0,49.8,35.8,28.6,EastLiguria
0.0,35.0,67.3,66.0,25.0,45.3,32.1,27.6,EastLiguria
0.0,52.9,65.9,36.9,11.1,51.6,24.5,26.6,EastLiguria
0.0,52.9,53.1,17.5,0.0,70.2,28.3,34.4,EastLiguria
0.0,43.9,57.8,27.2,11.1,65.8,24.5,30.5,EastLiguria
0.0,30.5,75.4,56.3,11.1,42.7,17.0,21.7,EastLiguria
0.0,35.0,70.6,56.3,38.9,48.0,28.3,19.8,EastLiguria
0.0,30.5,72.0,27.2,11.1,56.0,28.3,13.9,EastLiguria
0.0,39.5,75.4,7.8,0.0,54.2,32.1,8.0,EastLiguria
0.0,43.9,74.4,27.2,11.1,50.7,24.5,12.9,EastLiguria
0.0,39.5,67.8,85.4,38.9,49.8,35.8,17.8,EastLiguria
0.0,57.4,66.8,66.0,25.0,49.8,32.1,18.8,EastLiguria
0.0,30.5,70.6,36.9,11.1,50.7,24.5,22.7,EastLiguria
0.0,39.5,72.0,46.6,11.1,52.4,28.3,13.9,EastLiguria
0.0,39.5,74.9,56.3,25.0,47.1,28.3,11.9,EastLiguria
0.0,26.0,74.4,75.7,38.9,48.9,20.8,12.9,EastLiguria
0.0,43.9,70.1,56.3,52.8,46.2,24.5,19.8,EastLiguria
0.0,39.5,71.1,66.0,38.9,48.0,24.5,17.8,EastLiguria
0.0,39.5,72.0,66.0,25.0,44.4,20.8,21.7,EastLiguria
0.0,30.5,73.5,36.9,25.0,48.0,20.8,16.8,EastLiguria
0.0,39.5,69.2,46.6,25.0,50.7,24.5,21.7,EastLiguria
0.0,43.9,76.8,27.2,11.1,36.4,24.5,22.7,EastLiguria
0.0,35.0,100.0,17.5,0.0,0.0,24.5,19.8,EastLiguria
0.0,26.0,59.2,0.0,0.0,44.4,43.4,54.0,WestLiguria
0.0,30.5,58.3,0.0,0.0,36.4,32.1,56.9,WestLiguria
0.0,26.0,61.6,7.8,0.0,40.9,39.6,53.0,WestLiguria
0.0,88.8,55.9,7.8,11.1,35.6,28.3,58.9,WestLiguria
0.0,39.5,65.4,36.9,11.1,40.0,47.2,37.4,WestLiguria
0.0,52.9,62.6,17.5,11.1,40.0,47.2,42.3,WestLiguria
0.0,35.0,68.2,0.0,0.0,37.3,32.1,44.2,WestLiguria
0.0,43.9,58.3,0.0,0.0,45.3,43.4,51.1,WestLiguria
0.0,30.5,69.2,0.0,0.0,37.3,35.8,52.1,WestLiguria
0.0,35.0,61.6,0.0,11.1,40.9,32.1,53.0,WestLiguria
0.0,30.5,62.1,7.8,11.1,47.1,62.3,39.3,WestLiguria
0.0,35.0,61.1,36.9,11.1,42.7,62.3,40.3,WestLiguria
0.0,66.4,67.3,0.0,11.1,32.9,35.8,45.2,WestLiguria
0.0,79.8,58.8,0.0,0.0,32.9,28.3,57.9,WestLiguria
0.0,21.5,71.6,0.0,0.0,31.1,28.3,48.1,WestLiguria
0.0,26.0,70.1,0.0,0.0,33.8,28.3,47.2,WestLiguria
0.0,26.0,61.6,0.0,0.0,40.0,39.6,55.0,WestLiguria
0.0,43.9,62.1,7.8,11.1,56.0,50.9,27.6,WestLiguria
0.0,70.9,73.5,0.0,0.0,40.0,28.3,23.7,WestLiguria
0.0,61.9,62.6,7.8,0.0,36.4,32.1,50.1,WestLiguria
0.0,30.5,66.4,0.0,0.0,32.0,28.3,56.0,WestLiguria
0.0,30.5,54.5,7.8,0.0,50.7,43.4,55.0,WestLiguria
0.0,39.5,65.9,7.8,11.1,40.0,47.2,39.3,WestLiguria
0.0,43.9,63.0,0.0,0.0,33.8,32.1,56.9,WestLiguria
0.0,88.8,63.0,0.0,11.1,35.6,28.3,48.1,WestLiguria
0.0,43.9,70.1,7.8,11.1,38.2,28.3,36.4,WestLiguria
0.0,43.9,71.6,7.8,11.1,38.2,28.3,35.4,WestLiguria
0.0,88.8,62.6,0.0,11.1,36.4,28.3,46.2,WestLiguria
0.0,48.4,62.6,0.0,0.0,36.4,28.3,55.0,WestLiguria
0.0,88.8,62.1,0.0,11.1,35.6,28.3,47.2,WestLiguria
0.0,84.3,67.3,0.0,0.0,27.6,35.8,45.2,WestLiguria
0.0,43.9,66.8,7.8,0.0,37.3,32.1,44.2,WestLiguria
0.0,66.4,72.0,0.0,0.0,31.1,28.3,37.4,WestLiguria
0.0,26.0,71.6,0.0,0.0,37.3,35.8,38.4,WestLiguria
0.0,39.5,66.8,17.5,11.1,35.6,32.1,45.2,WestLiguria
0.0,39.5,71.1,0.0,0.0,36.4,28.3,39.3,WestLiguria
0.0,66.4,64.0,7.8,0.0,45.3,28.3,37.4,WestLiguria
0.0,61.9,66.8,0.0,11.1,42.7,28.3,34.4,WestLiguria
0.0,57.4,63.0,7.8,11.1,43.6,39.6,31.5,WestLiguria
0.0,39.5,72.0,0.0,11.1,42.7,24.5,30.5,WestLiguria
0.0,43.9,67.3,7.8,0.0,48.0,28.3,35.4,WestLiguria
0.0,35.0,71.6,7.8,0.0,44.4,28.3,29.5,WestLiguria
0.0,26.0,67.3,0.0,0.0,35.6,35.8,49.1,WestLiguria
0.0,30.5,67.8,7.8,11.1,40.9,32.1,41.3,WestLiguria
0.0,61.9,56.4,7.8,11.1,59.6,35.8,33.5,WestLiguria
0.0,52.9,68.2,7.8,11.1,40.0,32.1,35.4,WestLiguria
0.0,26.0,67.3,0.0,0.0,35.6,28.3,51.1,WestLiguria
0.0,43.9,68.7,7.8,11.1,33.8,39.6,41.3,WestLiguria
0.0,39.5,78.2,17.5,11.1,31.1,24.5,28.6,WestLiguria
0.0,14.8,78.4,51.5,31.9,42.2,20.8,14.9,Umbria
0.0,17.0,78.2,43.7,36.1,42.7,17.0,14.9,Umbria
0.0,16.6,78.7,17.5,45.8,41.8,18.9,15.1,Umbria
0.0,19.3,78.4,38.8,36.1,42.7,17.0,14.9,Umbria
0.0,21.5,75.8,51.5,48.6,44.0,15.1,14.9,Umbria
0.0,10.3,79.4,51.5,25.0,40.0,22.6,15.9,Umbria
0.0,8.1,79.5,61.2,36.1,39.1,20.8,15.4,Umbria
0.0,20.6,76.1,46.6,45.8,43.6,15.1,14.9,Umbria
0.0,11.7,78.9,61.2,27.8,40.4,18.9,15.4,Umbria
0.0,16.1,78.4,46.6,38.9,42.2,17.0,15.1,Umbria
0.0,12.6,78.7,51.5,31.9,41.8,18.9,15.4,Umbria
0.0,17.0,78.4,49.5,38.9,42.2,17.0,15.1,Umbria
0.0,19.3,78.7,36.9,25.0,41.3,20.0,15.1,Umbria
0.0,17.9,78.2,36.9,45.8,42.7,16.2,14.9,Umbria
0.0,20.6,78.0,31.1,50.0,43.1,17.0,14.9,Umbria
0.0,19.3,78.2,38.8,38.9,42.7,16.2,14.9,Umbria
0.0,20.6,78.2,29.1,45.8,43.1,16.2,15.1,Umbria
0.0,19.3,77.7,38.8,45.8,42.7,16.2,14.9,Umbria
0.0,20.6,78.0,31.1,45.8,43.1,16.2,14.9,Umbria
0.0,21.5,77.7,41.7,45.8,43.1,15.1,14.9,Umbria
0.0,16.1,78.9,33.0,36.1,41.8,20.8,15.7,Umbria
0.0,19.3,78.2,35.0,41.7,42.7,17.0,14.9,Umbria
0.0,21.5,75.8,52.4,51.4,44.0,15.1,14.4,Umbria
0.0,23.8,75.8,48.5,52.8,44.4,13.2,14.4,Umbria
0.0,20.6,79.5,30.1,36.1,41.3,20.8,15.7,Umbria
0.0,14.8,79.6,38.8,45.8,41.3,18.9,15.7,Umbria
0.0,12.6,79.4,46.6,31.9,40.4,22.6,15.9,Umbria
0.0,16.1,79.6,41.7,27.8,40.9,22.6,15.1,Umbria
0.0,16.1,79.6,41.7,27.8,40.9,22.6,15.1,Umbria
0.0,21.5,76.3,40.8,51.4,43.6,20.8,15.9,Umbria
0.0,14.8,78.7,54.4,27.8,41.3,20.8,15.9,Umbria
0.0,10.3,80.1,55.3,22.2,39.1,23.8,15.9,Umbria
0.0,20.6,78.0,32.0,41.7,42.7,17.0,14.9,Umbria
0.0,16.1,80.1,20.4,36.1,39.1,23.8,15.7,Umbria
0.0,17.0,79.4,24.3,36.1,41.3,20.8,15.4,Umbria
0.0,22.4,78.0,29.1,55.6,43.4,14.7,14.4,Umbria
0.0,20.6,80.8,17.5,69.4,44.0,0.0,12.4,Umbria
0.0,30.5,76.5,61.2,73.6,44.4,22.6,6.1,Umbria
0.0,11.7,80.0,51.5,52.8,39.8,13.2,17.4,Umbria
0.0,32.7,78.4,12.6,73.6,44.9,5.7,14.9,Umbria
0.0,20.6,80.3,17.5,69.4,44.0,5.7,11.9,Umbria
0.0,11.7,79.6,44.7,63.9,41.1,12.8,16.3,Umbria
0.0,26.0,80.1,17.5,66.7,44.4,0.0,11.9,Umbria
