eicosenoic,palmitic,linoleic,linolenic,stearic,arachidic,oleic,palmitoleic,region
0.0,39.2,68.3,38.9,26.5,77.7,53.1,23.8,InlandSardinia
0.0,38.9,66.7,36.1,27.4,57.3,54.0,24.2,InlandSardinia
0.0,40.1,64.0,37.5,30.5,74.8,53.1,26.8,InlandSardinia
0.0,44.0,67.9,36.1,26.0,68.0,49.9,27.5,InlandSardinia
0.0,47.6,65.6,25.0,38.1,42.7,43.0,7.5,InlandSardinia
0.0,39.0,70.5,27.8,30.0,43.7,47.5,30.6,InlandSardinia
0.0,44.0,69.5,29.2,29.6,41.7,47.5,39.6,InlandSardinia
0.0,37.3,71.3,26.4,27.8,66.0,52.3,26.0,InlandSardinia
0.0,40.9,77.5,36.1,28.3,64.1,46.4,31.3,InlandSardinia
0.0,43.8,71.3,38.9,25.1,85.4,47.9,24.9,InlandSardinia
0.0,38.2,71.2,31.9,23.8,80.6,50.6,32.5,InlandSardinia
0.0,43.6,65.1,27.8,26.0,68.0,48.3,30.2,InlandSardinia
0.0,45.2,59.9,47.2,21.1,81.6,52.8,26.4,InlandSardinia
0.0,40.4,70.0,30.6,35.0,69.9,49.5,31.3,InlandSardinia
0.0,46.3,65.8,27.8,30.9,65.0,50.1,23.8,InlandSardinia
0.0,41.8,68.2,45.8,29.6,100.0,47.2,39.6,InlandSardinia
0.0,41.3,64.7,27.8,35.4,68.9,52.3,26.8,InlandSardinia
0.0,38.2,70.9,31.9,34.1,62.1,50.4,33.2,InlandSardinia
0.0,46.0,68.5,38.9,22.9,83.5,48.3,25.3,InlandSardinia
0.0,40.0,68.6,25.0,35.4,61.2,50.4,36.2,InlandSardinia
0.0,43.8,68.6,25.0,30.5,61.2,50.5,23.8,InlandSardinia
0.0,44.4,72.1,30.6,22.0,69.9,48.2,28.7,InlandSardinia
0.0,42.8,71.9,36.1,29.6,83.5,51.3,35.1,InlandSardinia
0.0,43.0,66.4,33.3,30.5,91.3,49.3,30.6,InlandSardinia
0.0,48.7,85.9,27.8,41.7,70.9,36.3,35.1,CoastalSardinia
0.0,46.5,87.5,26.4,39.9,64.1,37.0,35.8,CoastalSardinia
0.0,43.1,83.9,26.4,43.9,78.6,38.9,41.5,CoastalSardinia
0.0,52.5,91.5,31.9,38.6,70.9,32.7,27.2,CoastalSardinia
0.0,53.6,86.8,27.8,41.7,61.2,33.5,36.6,CoastalSardinia
0.0,49.4,92.2,25.0,53.8,78.6,31.8,30.9,CoastalSardinia
0.0,48.4,78.8,27.8,47.1,57.3,39.3,39.2,CoastalSardinia
0.0,50.4,100.0,27.8,39.9,90.3,27.6,36.2,CoastalSardinia
0.0,48.9,88.9,30.6,39.5,74.8,35.2,30.6,CoastalSardinia
0.0,45.5,84.6,18.1,39.9,54.4,40.0,33.6,CoastalSardinia
0.0,46.4,89.4,30.6,47.1,85.4,36.3,31.7,CoastalSardinia
0.0,43.2,81.6,31.9,48.4,69.9,40.9,32.1,CoastalSardinia
0.0,46.3,84.1,31.9,36.3,68.0,40.0,27.2,CoastalSardinia
0.0,51.0,87.3,33.3,47.5,62.1,34.1,34.0,CoastalSardinia
0.0,46.7,85.3,30.6,37.2,63.1,39.0,29.8,CoastalSardinia
0.0,42.1,86.3,36.1,39.5,53.4,40.9,30.6,CoastalSardinia
0.0,42.3,81.9,36.1,44.8,58.3,40.7,42.3,CoastalSardinia
0.0,47.1,88.0,29.2,47.5,67.0,37.2,30.2,CoastalSardinia
0.0,46.9,84.3,31.9,45.7,64.1,38.1,32.5,CoastalSardinia
0.0,48.8,83.1,34.7,48.9,72.8,36.4,35.8,CoastalSardinia
0.0,46.3,84.1,36.1,25.1,53.4,41.2,27.2,CoastalSardinia
0.0,50.2,84.1,43.1,27.8,80.6,36.8,35.1,CoastalSardinia
0.0,41.4,83.9,37.5,22.4,63.1,44.7,23.4,CoastalSardinia
0.0,45.3,91.5,29.2,39.5,70.9,36.4,28.3,CoastalSardinia
0.0,48.2,90.4,31.9,38.6,76.7,37.0,36.2,CoastalSardinia
0.0,47.2,92.0,27.8,43.9,64.1,34.8,30.2,CoastalSardinia
0.0,43.4,83.5,30.6,51.6,71.8,39.6,33.2,CoastalSardinia
0.0,45.9,91.2,33.3,37.7,65.0,36.1,32.1,CoastalSardinia
0.0,42.4,83.6,22.2,40.8,56.3,42.7,27.9,CoastalSardinia
0.0,44.9,90.4,25.0,37.7,70.9,37.2,30.6,CoastalSardinia
0.0,50.5,90.8,27.8,39.9,79.6,33.5,29.1,CoastalSardinia
0.0,49.1,90.0,31.9,40.4,67.0,34.4,34.3,CoastalSardinia
0.0,49.8,26.6,52.8,35.0,66.0,65.9,24.5,EastLiguria
0.0,43.6,30.5,38.9,43.9,75.7,65.4,28.3,EastLiguria
0.0,45.3,27.6,52.8,39.5,75.7,67.3,20.8,EastLiguria
0.0,48.9,29.5,38.9,43.9,85.4,64.0,20.8,EastLiguria
0.0,52.4,23.7,25.0,26.0,46.6,69.7,13.2,EastLiguria
0.0,47.1,12.9,11.1,21.5,17.5,80.1,13.2,EastLiguria
0.0,54.2,30.5,38.9,39.5,56.3,62.1,24.5,EastLiguria
0.0,50.7,34.4,66.7,43.9,95.1,57.8,28.3,EastLiguria
0.0,53.3,32.5,52.8,43.9,85.4,59.7,20.8,EastLiguria
0.0,54.2,31.5,80.6,30.5,95.1,58.8,24.5,EastLiguria
0.0,50.7,36.4,66.7,17.0,95.1,57.8,32.1,EastLiguria
0.0,48.9,33.5,52.8,30.5,85.4,60.7,28.3,EastLiguria
0.0,46.2,32.5,38.9,39.5,85.4,62.6,32.1,EastLiguria
0.0,41.8,29.5,25.0,48.4,66.0,66.8,32.1,EastLiguria
0.0,42.7,26.6,66.7,57.4,95.1,67.8,28.3,EastLiguria
0.0,36.4,25.6,52.8,52.9,85.4,69.7,32.1,EastLiguria
0.0,42.7,30.5,80.6,43.9,75.7,65.4,28.3,EastLiguria
0.0,45.3,22.7,38.9,48.4,75.7,67.3,32.1,EastLiguria
0.0,41.8,21.7,38.9,39.5,66.0,72.5,24.5,EastLiguria
0.0,48.9,18.8,11.1,35.0,17.5,73.9,20.8,EastLiguria
0.0,43.6,21.7,25.0,39.5,66.0,72.0,24.5,EastLiguria
0.0,39.1,17.8,11.1,43.9,27.2,77.3,32.1,EastLiguria
0.0,42.7,23.7,38.9,52.9,46.6,70.1,28.3,EastLiguria
0.0,45.3,22.7,38.9,48.4,75.7,68.7,24.5,EastLiguria
0.0,45.3,27.6,52.8,43.9,66.0,65.4,32.1,EastLiguria
0.0,51.6,25.6,38.9,35.0,75.7,64.9,28.3,EastLiguria
0.0,49.8,28.6,25.0,43.9,85.4,62.6,35.8,EastLiguria
0.0,45.3,27.6,25.0,35.0,66.0,67.3,32.1,EastLiguria
0.0,51.6,26.6,11.1,52.9,36.9,65.9,24.5,EastLiguria
0.0,70.2,34.4,0.0,52.9,17.5,53.1,28.3,EastLiguria
0.0,65.8,30.5,11.1,43.9,27.2,57.8,24.5,EastLiguria
0.0,42.7,21.7,11.1,30.5,56.3,75.4,17.0,EastLiguria
0.0,48.0,19.8,38.9,35.0,56.3,70.6,28.3,EastLiguria
0.0,56.0,13.9,11.1,30.5,27.2,72.0,28.3,EastLiguria
0.0,54.2,8.0,0.0,39.5,7.8,75.4,32.1,EastLiguria
0.0,50.7,12.9,11.1,43.9,27.2,74.4,24.5,EastLiguria
0.0,49.8,17.8,38.9,39.5,85.4,67.8,35.8,EastLiguria
0.0,49.8,18.8,25.0,57.4,66.0,66.8,32.1,EastLiguria
0.0,50.7,22.7,11.1,30.5,36.9,70.6,24.5,EastLiguria
0.0,52.4,13.9,11.1,39.5,46.6,72.0,28.3,EastLiguria
0.0,47.1,11.9,25.0,39.5,56.3,74.9,28.3,EastLiguria
0.0,48.9,12.9,38.9,26.0,75.7,74.4,20.8,EastLiguria
0.0,46.2,19.8,52.8,43.9,56.3,70.1,24.5,EastLiguria
0.0,48.0,17.8,38.9,39.5,66.0,71.1,24.5,EastLiguria
0.0,44.4,21.7,25.0,39.5,66.0,72.0,20.8,EastLiguria
0.0,48.0,16.8,25.0,30.5,36.9,73.5,20.8,EastLiguria
0.0,50.7,21.7,25.0,39.5,46.6,69.2,24.5,EastLiguria
0.0,36.4,22.7,11.1,43.9,27.2,76.8,24.5,EastLiguria
0.0,0.0,19.8,0.0,35.0,17.5,100.0,24.5,EastLiguria
0.0,44.4,54.0,0.0,26.0,0.0,59.2,43.4,WestLiguria
0.0,36.4,56.9,0.0,30.5,0.0,58.3,32.1,WestLiguria
0.0,40.9,53.0,0.0,26.0,7.8,61.6,39.6,WestLiguria
0.0,35.6,58.9,11.1,88.8,7.8,55.9,28.3,WestLiguria
0.0,40.0,37.4,11.1,39.5,36.9,65.4,47.2,WestLiguria
0.0,40.0,42.3,11.1,52.9,17.5,62.6,47.2,WestLiguria
0.0,37.3,44.2,0.0,35.0,0.0,68.2,32.1,WestLiguria
0.0,45.3,51.1,0.0,43.9,0.0,58.3,43.4,WestLiguria
0.0,37.3,52.1,0.0,30.5,0.0,69.2,35.8,WestLiguria
0.0,40.9,53.0,11.1,35.0,0.0,61.6,32.1,WestLiguria
0.0,47.1,39.3,11.1,30.5,7.8,62.1,62.3,WestLiguria
0.0,42.7,40.3,11.1,35.0,36.9,61.1,62.3,WestLiguria
0.0,32.9,45.2,11.1,66.4,0.0,67.3,35.8,WestLiguria
0.0,32.9,57.9,0.0,79.8,0.0,58.8,28.3,WestLiguria
0.0,31.1,48.1,0.0,21.5,0.0,71.6,28.3,WestLiguria
0.0,33.8,47.2,0.0,26.0,0.0,70.1,28.3,WestLiguria
0.0,40.0,55.0,0.0,26.0,0.0,61.6,39.6,WestLiguria
0.0,56.0,27.6,11.1,43.9,7.8,62.1,50.9,WestLiguria
0.0,40.0,23.7,0.0,70.9,0.0,73.5,28.3,WestLiguria
0.0,36.4,50.1,0.0,61.9,7.8,62.6,32.1,WestLiguria
0.0,32.0,56.0,0.0,30.5,0.0,66.4,28.3,WestLiguria
0.0,50.7,55.0,0.0,30.5,7.8,54.5,43.4,WestLiguria
0.0,40.0,39.3,11.1,39.5,7.8,65.9,47.2,WestLiguria
0.0,33.8,56.9,0.0,43.9,0.0,63.0,32.1,WestLiguria
0.0,35.6,48.1,11.1,88.8,0.0,63.0,28.3,WestLiguria
0.0,38.2,36.4,11.1,43.9,7.8,70.1,28.3,WestLiguria
0.0,38.2,35.4,11.1,43.9,7.8,71.6,28.3,WestLiguria
0.0,36.4,46.2,11.1,88.8,0.0,62.6,28.3,WestLiguria
0.0,36.4,55.0,0.0,48.4,0.0,62.6,28.3,WestLiguria
0.0,35.6,47.2,11.1,88.8,0.0,62.1,28.3,WestLiguria
0.0,27.6,45.2,0.0,84.3,0.0,67.3,35.8,WestLiguria
0.0,37.3,44.2,0.0,43.9,7.8,66.8,32.1,WestLiguria
0.0,31.1,37.4,0.0,66.4,0.0,72.0,28.3,WestLiguria
0.0,37.3,38.4,0.0,26.0,0.0,71.6,35.8,WestLiguria
0.0,35.6,45.2,11.1,39.5,17.5,66.8,32.1,WestLiguria
0.0,36.4,39.3,0.0,39.5,0.0,71.1,28.3,WestLiguria
0.0,45.3,37.4,0.0,66.4,7.8,64.0,28.3,WestLiguria
0.0,42.7,34.4,11.1,61.9,0.0,66.8,28.3,WestLiguria
0.0,43.6,31.5,11.1,57.4,7.8,63.0,39.6,WestLiguria
0.0,42.7,30.5,11.1,39.5,0.0,72.0,24.5,WestLiguria
0.0,48.0,35.4,0.0,43.9,7.8,67.3,28.3,WestLiguria
0.0,44.4,29.5,0.0,35.0,7.8,71.6,28.3,WestLiguria
0.0,35.6,49.1,0.0,26.0,0.0,67.3,35.8,WestLiguria
0.0,40.9,41.3,11.1,30.5,7.8,67.8,32.1,WestLiguria
0.0,59.6,33.5,11.1,61.9,7.8,56.4,35.8,WestLiguria
0.0,40.0,35.4,11.1,52.9,7.8,68.2,32.1,WestLiguria
0.0,35.6,51.1,0.0,26.0,0.0,67.3,28.3,WestLiguria
0.0,33.8,41.3,11.1,43.9,7.8,68.7,39.6,WestLiguria
0.0,31.1,28.6,11.1,39.5,17.5,78.2,24.5,WestLiguria
0.0,42.2,14.9,31.9,14.8,51.5,78.4,20.8,Umbria
0.0,42.7,14.9,36.1,17.0,43.7,78.2,17.0,Umbria
0.0,41.8,15.1,45.8,16.6,17.5,78.7,18.9,Umbria
0.0,42.7,14.9,36.1,19.3,38.8,78.4,17.0,Umbria
0.0,44.0,14.9,48.6,21.5,51.5,75.8,15.1,Umbria
0.0,40.0,15.9,25.0,10.3,51.5,79.4,22.6,Umbria
0.0,39.1,15.4,36.1,8.1,61.2,79.5,20.8,Umbria
0.0,43.6,14.9,45.8,20.6,46.6,76.1,15.1,Umbria
0.0,40.4,15.4,27.8,11.7,61.2,78.9,18.9,Umbria
0.0,42.2,15.1,38.9,16.1,46.6,78.4,17.0,Umbria
0.0,41.8,15.4,31.9,12.6,51.5,78.7,18.9,Umbria
0.0,42.2,15.1,38.9,17.0,49.5,78.4,17.0,Umbria
0.0,41.3,15.1,25.0,19.3,36.9,78.7,20.0,Umbria
0.0,42.7,14.9,45.8,17.9,36.9,78.2,16.2,Umbria
0.0,43.1,14.9,50.0,20.6,31.1,78.0,17.0,Umbria
0.0,42.7,14.9,38.9,19.3,38.8,78.2,16.2,Umbria
0.0,43.1,15.1,45.8,20.6,29.1,78.2,16.2,Umbria
0.0,42.7,14.9,45.8,19.3,38.8,77.7,16.2,Umbria
0.0,43.1,14.9,45.8,20.6,31.1,78.0,16.2,Umbria
0.0,43.1,14.9,45.8,21.5,41.7,77.7,15.1,Umbria
0.0,41.8,15.7,36.1,16.1,33.0,78.9,20.8,Umbria
0.0,42.7,14.9,41.7,19.3,35.0,78.2,17.0,Umbria
0.0,44.0,14.4,51.4,21.5,52.4,75.8,15.1,Umbria
0.0,44.4,14.4,52.8,23.8,48.5,75.8,13.2,Umbria
0.0,41.3,15.7,36.1,20.6,30.1,79.5,20.8,Umbria
0.0,41.3,15.7,45.8,14.8,38.8,79.6,18.9,Umbria
0.0,40.4,15.9,31.9,12.6,46.6,79.4,22.6,Umbria
0.0,40.9,15.1,27.8,16.1,41.7,79.6,22.6,Umbria
0.0,40.9,15.1,27.8,16.1,41.7,79.6,22.6,Umbria
0.0,43.6,15.9,51.4,21.5,40.8,76.3,20.8,Umbria
0.0,41.3,15.9,27.8,14.8,54.4,78.7,20.8,Umbria
0.0,39.1,15.9,22.2,10.3,55.3,80.1,23.8,Umbria
0.0,42.7,14.9,41.7,20.6,32.0,78.0,17.0,Umbria
0.0,39.1,15.7,36.1,16.1,20.4,80.1,23.8,Umbria
0.0,41.3,15.4,36.1,17.0,24.3,79.4,20.8,Umbria
0.0,43.4,14.4,55.6,22.4,29.1,78.0,14.7,Umbria
0.0,44.0,12.4,69.4,20.6,17.5,80.8,0.0,Umbria
0.0,44.4,6.1,73.6,30.5,61.2,76.5,22.6,Umbria
0.0,39.8,17.4,52.8,11.7,51.5,80.0,13.2,Umbria
0.0,44.9,14.9,73.6,32.7,12.6,78.4,5.7,Umbria
0.0,44.0,11.9,69.4,20.6,17.5,80.3,5.7,Umbria
0.0,41.1,16.3,63.9,11.7,44.7,79.6,12.8,Umbria
0.0,44.4,11.9,66.7,26.0,17.5,80.1,0.0,Umbria
