arachidic,linoleic,palmitic,oleic,eicosenoic,stearic,palmitoleic,linolenic,region
64.1,63.4,41.3,52.7,0.0,24.7,33.2,41.7,InlandSardinia
68.0,66.5,39.9,51.5,0.0,34.1,30.6,31.9,InlandSardinia
77.7,59.6,50.3,49.6,0.0,24.7,29.1,45.8,InlandSardinia
60.2,64.6,48.8,48.3,0.0,27.4,31.3,50.0,InlandSardinia
63.1,63.3,46.4,52.0,0.0,22.0,24.5,34.7,InlandSardinia
85.4,63.4,44.2,52.1,0.0,30.5,22.6,37.5,InlandSardinia
54.4,66.3,42.8,50.0,0.0,36.8,33.6,36.1,InlandSardinia
76.7,59.6,45.2,52.6,0.0,30.0,24.9,43.1,InlandSardinia
64.1,64.2,44.1,51.2,0.0,26.9,29.4,45.8,InlandSardinia
84.5,65.8,38.8,51.4,0.0,38.6,32.5,36.1,InlandSardinia
63.1,63.9,49.3,48.9,0.0,27.8,31.7,27.8,InlandSardinia
72.8,66.0,48.7,48.7,0.0,22.0,26.0,37.5,InlandSardinia
73.8,63.1,43.1,52.8,0.0,22.9,27.5,48.6,InlandSardinia
69.9,64.5,50.3,51.9,0.0,23.8,22.6,43.1,InlandSardinia
55.3,67.7,43.8,49.1,0.0,30.5,35.5,36.1,InlandSardinia
68.9,66.2,44.6,50.0,0.0,25.6,29.1,41.7,InlandSardinia
49.5,65.1,42.8,51.0,0.0,31.4,29.4,25.0,InlandSardinia
73.8,66.2,41.8,50.8,0.0,30.0,31.3,43.1,InlandSardinia
62.1,65.2,39.2,52.3,0.0,33.6,35.1,38.9,InlandSardinia
67.0,62.9,43.2,52.8,0.0,26.5,26.0,38.9,InlandSardinia
61.2,63.9,47.3,49.3,0.0,32.7,30.9,36.1,InlandSardinia
75.7,64.5,38.8,52.1,0.0,37.7,30.6,41.7,InlandSardinia
78.6,65.4,44.8,50.2,0.0,26.0,26.8,40.3,InlandSardinia
69.9,63.6,47.1,48.5,0.0,39.9,29.4,29.2,InlandSardinia
75.7,64.5,41.3,52.6,0.0,21.5,28.7,47.2,InlandSardinia
72.8,66.2,42.8,53.4,0.0,30.0,34.3,43.1,InlandSardinia
74.8,66.7,41.4,52.5,0.0,23.3,30.2,34.7,InlandSardinia
82.5,63.7,50.5,51.2,0.0,22.0,27.9,44.4,InlandSardinia
52.4,64.9,43.1,50.6,0.0,31.8,33.6,56.9,InlandSardinia
77.7,68.3,39.2,53.1,0.0,26.5,23.8,38.9,InlandSardinia
57.3,66.7,38.9,54.0,0.0,27.4,24.2,36.1,InlandSardinia
74.8,64.0,40.1,53.1,0.0,30.5,26.8,37.5,InlandSardinia
68.0,67.9,44.0,49.9,0.0,26.0,27.5,36.1,InlandSardinia
42.7,65.6,47.6,43.0,0.0,38.1,7.5,25.0,InlandSardinia
43.7,70.5,39.0,47.5,0.0,30.0,30.6,27.8,InlandSardinia
41.7,69.5,44.0,47.5,0.0,29.6,39.6,29.2,InlandSardinia
66.0,71.3,37.3,52.3,0.0,27.8,26.0,26.4,InlandSardinia
64.1,77.5,40.9,46.4,0.0,28.3,31.3,36.1,InlandSardinia
85.4,71.3,43.8,47.9,0.0,25.1,24.9,38.9,InlandSardinia
80.6,71.2,38.2,50.6,0.0,23.8,32.5,31.9,InlandSardinia
68.0,65.1,43.6,48.3,0.0,26.0,30.2,27.8,InlandSardinia
81.6,59.9,45.2,52.8,0.0,21.1,26.4,47.2,InlandSardinia
69.9,70.0,40.4,49.5,0.0,35.0,31.3,30.6,InlandSardinia
65.0,65.8,46.3,50.1,0.0,30.9,23.8,27.8,InlandSardinia
100.0,68.2,41.8,47.2,0.0,29.6,39.6,45.8,InlandSardinia
68.9,64.7,41.3,52.3,0.0,35.4,26.8,27.8,InlandSardinia
62.1,70.9,38.2,50.4,0.0,34.1,33.2,31.9,InlandSardinia
83.5,68.5,46.0,48.3,0.0,22.9,25.3,38.9,InlandSardinia
61.2,68.6,40.0,50.4,0.0,35.4,36.2,25.0,InlandSardinia
61.2,68.6,43.8,50.5,0.0,30.5,23.8,25.0,InlandSardinia
69.9,72.1,44.4,48.2,0.0,22.0,28.7,30.6,InlandSardinia
83.5,71.9,42.8,51.3,0.0,29.6,35.1,36.1,InlandSardinia
91.3,66.4,43.0,49.3,0.0,30.5,30.6,33.3,InlandSardinia
70.9,85.9,48.7,36.3,0.0,41.7,35.1,27.8,CoastalSardinia
64.1,87.5,46.5,37.0,0.0,39.9,35.8,26.4,CoastalSardinia
78.6,83.9,43.1,38.9,0.0,43.9,41.5,26.4,CoastalSardinia
70.9,91.5,52.5,32.7,0.0,38.6,27.2,31.9,CoastalSardinia
61.2,86.8,53.6,33.5,0.0,41.7,36.6,27.8,CoastalSardinia
78.6,92.2,49.4,31.8,0.0,53.8,30.9,25.0,CoastalSardinia
57.3,78.8,48.4,39.3,0.0,47.1,39.2,27.8,CoastalSardinia
90.3,100.0,50.4,27.6,0.0,39.9,36.2,27.8,CoastalSardinia
74.8,88.9,48.9,35.2,0.0,39.5,30.6,30.6,CoastalSardinia
54.4,84.6,45.5,40.0,0.0,39.9,33.6,18.1,CoastalSardinia
85.4,89.4,46.4,36.3,0.0,47.1,31.7,30.6,CoastalSardinia
69.9,81.6,43.2,40.9,0.0,48.4,32.1,31.9,CoastalSardinia
68.0,84.1,46.3,40.0,0.0,36.3,27.2,31.9,CoastalSardinia
62.1,87.3,51.0,34.1,0.0,47.5,34.0,33.3,CoastalSardinia
63.1,85.3,46.7,39.0,0.0,37.2,29.8,30.6,CoastalSardinia
53.4,86.3,42.1,40.9,0.0,39.5,30.6,36.1,CoastalSardinia
58.3,81.9,42.3,40.7,0.0,44.8,42.3,36.1,CoastalSardinia
67.0,88.0,47.1,37.2,0.0,47.5,30.2,29.2,CoastalSardinia
64.1,84.3,46.9,38.1,0.0,45.7,32.5,31.9,CoastalSardinia
72.8,83.1,48.8,36.4,0.0,48.9,35.8,34.7,CoastalSardinia
53.4,84.1,46.3,41.2,0.0,25.1,27.2,36.1,CoastalSardinia
80.6,84.1,50.2,36.8,0.0,27.8,35.1,43.1,CoastalSardinia
63.1,83.9,41.4,44.7,0.0,22.4,23.4,37.5,CoastalSardinia
70.9,91.5,45.3,36.4,0.0,39.5,28.3,29.2,CoastalSardinia
76.7,90.4,48.2,37.0,0.0,38.6,36.2,31.9,CoastalSardinia
64.1,92.0,47.2,34.8,0.0,43.9,30.2,27.8,CoastalSardinia
71.8,83.5,43.4,39.6,0.0,51.6,33.2,30.6,CoastalSardinia
65.0,91.2,45.9,36.1,0.0,37.7,32.1,33.3,CoastalSardinia
56.3,83.6,42.4,42.7,0.0,40.8,27.9,22.2,CoastalSardinia
70.9,90.4,44.9,37.2,0.0,37.7,30.6,25.0,CoastalSardinia
79.6,90.8,50.5,33.5,0.0,39.9,29.1,27.8,CoastalSardinia
67.0,90.0,49.1,34.4,0.0,40.4,34.3,31.9,CoastalSardinia
66.0,26.6,49.8,65.9,0.0,35.0,24.5,52.8,EastLiguria
75.7,30.5,43.6,65.4,0.0,43.9,28.3,38.9,EastLiguria
75.7,27.6,45.3,67.3,0.0,39.5,20.8,52.8,EastLiguria
85.4,29.5,48.9,64.0,0.0,43.9,20.8,38.9,EastLiguria
46.6,23.7,52.4,69.7,0.0,26.0,13.2,25.0,EastLiguria
17.5,12.9,47.1,80.1,0.0,21.5,13.2,11.1,EastLiguria
56.3,30.5,54.2,62.1,0.0,39.5,24.5,38.9,EastLiguria
95.1,34.4,50.7,57.8,0.0,43.9,28.3,66.7,EastLiguria
85.4,32.5,53.3,59.7,0.0,43.9,20.8,52.8,EastLiguria
95.1,31.5,54.2,58.8,0.0,30.5,24.5,80.6,EastLiguria
95.1,36.4,50.7,57.8,0.0,17.0,32.1,66.7,EastLiguria
85.4,33.5,48.9,60.7,0.0,30.5,28.3,52.8,EastLiguria
85.4,32.5,46.2,62.6,0.0,39.5,32.1,38.9,EastLiguria
66.0,29.5,41.8,66.8,0.0,48.4,32.1,25.0,EastLiguria
95.1,26.6,42.7,67.8,0.0,57.4,28.3,66.7,EastLiguria
85.4,25.6,36.4,69.7,0.0,52.9,32.1,52.8,EastLiguria
75.7,30.5,42.7,65.4,0.0,43.9,28.3,80.6,EastLiguria
75.7,22.7,45.3,67.3,0.0,48.4,32.1,38.9,EastLiguria
66.0,21.7,41.8,72.5,0.0,39.5,24.5,38.9,EastLiguria
17.5,18.8,48.9,73.9,0.0,35.0,20.8,11.1,EastLiguria
66.0,21.7,43.6,72.0,0.0,39.5,24.5,25.0,EastLiguria
27.2,17.8,39.1,77.3,0.0,43.9,32.1,11.1,EastLiguria
46.6,23.7,42.7,70.1,0.0,52.9,28.3,38.9,EastLiguria
75.7,22.7,45.3,68.7,0.0,48.4,24.5,38.9,EastLiguria
66.0,27.6,45.3,65.4,0.0,43.9,32.1,52.8,EastLiguria
75.7,25.6,51.6,64.9,0.0,35.0,28.3,38.9,EastLiguria
85.4,28.6,49.8,62.6,0.0,43.9,35.8,25.0,EastLiguria
66.0,27.6,45.3,67.3,0.0,35.0,32.1,25.0,EastLiguria
36.9,26.6,51.6,65.9,0.0,52.9,24.5,11.1,EastLiguria
17.5,34.4,70.2,53.1,0.0,52.9,28.3,0.0,EastLiguria
27.2,30.5,65.8,57.8,0.0,43.9,24.5,11.1,EastLiguria
56.3,21.7,42.7,75.4,0.0,30.5,17.0,11.1,EastLiguria
56.3,19.8,48.0,70.6,0.0,35.0,28.3,38.9,EastLiguria
27.2,13.9,56.0,72.0,0.0,30.5,28.3,11.1,EastLiguria
7.8,8.0,54.2,75.4,0.0,39.5,32.1,0.0,EastLiguria
27.2,12.9,50.7,74.4,0.0,43.9,24.5,11.1,EastLiguria
85.4,17.8,49.8,67.8,0.0,39.5,35.8,38.9,EastLiguria
66.0,18.8,49.8,66.8,0.0,57.4,32.1,25.0,EastLiguria
36.9,22.7,50.7,70.6,0.0,30.5,24.5,11.1,EastLiguria
46.6,13.9,52.4,72.0,0.0,39.5,28.3,11.1,EastLiguria
56.3,11.9,47.1,74.9,0.0,39.5,28.3,25.0,EastLiguria
75.7,12.9,48.9,74.4,0.0,26.0,20.8,38.9,EastLiguria
56.3,19.8,46.2,70.1,0.0,43.9,24.5,52.8,EastLiguria
66.0,17.8,48.0,71.1,0.0,39.5,24.5,38.9,EastLiguria
66.0,21.7,44.4,72.0,0.0,39.5,20.8,25.0,EastLiguria
36.9,16.8,48.0,73.5,0.0,30.5,20.8,25.0,EastLiguria
46.6,21.7,50.7,69.2,0.0,39.5,24.5,25.0,EastLiguria
27.2,22.7,36.4,76.8,0.0,43.9,24.5,11.1,EastLiguria
17.5,19.8,0.0,100.0,0.0,35.0,24.5,0.0,EastLiguria
0.0,54.0,44.4,59.2,0.0,26.0,43.4,0.0,WestLiguria
0.0,56.9,36.4,58.3,0.0,30.5,32.1,0.0,WestLiguria
7.8,53.0,40.9,61.6,0.0,26.0,39.6,0.0,WestLiguria
7.8,58.9,35.6,55.9,0.0,88.8,28.3,11.1,WestLiguria
36.9,37.4,40.0,65.4,0.0,39.5,47.2,11.1,WestLiguria
17.5,42.3,40.0,62.6,0.0,52.9,47.2,11.1,WestLiguria
0.0,44.2,37.3,68.2,0.0,35.0,32.1,0.0,WestLiguria
0.0,51.1,45.3,58.3,0.0,43.9,43.4,0.0,WestLiguria
0.0,52.1,37.3,69.2,0.0,30.5,35.8,0.0,WestLiguria
0.0,53.0,40.9,61.6,0.0,35.0,32.1,11.1,WestLiguria
7.8,39.3,47.1,62.1,0.0,30.5,62.3,11.1,WestLiguria
36.9,40.3,42.7,61.1,0.0,35.0,62.3,11.1,WestLiguria
0.0,45.2,32.9,67.3,0.0,66.4,35.8,11.1,WestLiguria
0.0,57.9,32.9,58.8,0.0,79.8,28.3,0.0,WestLiguria
0.0,48.1,31.1,71.6,0.0,21.5,28.3,0.0,WestLiguria
0.0,47.2,33.8,70.1,0.0,26.0,28.3,0.0,WestLiguria
0.0,55.0,40.0,61.6,0.0,26.0,39.6,0.0,WestLiguria
7.8,27.6,56.0,62.1,0.0,43.9,50.9,11.1,WestLiguria
0.0,23.7,40.0,73.5,0.0,70.9,28.3,0.0,WestLiguria
7.8,50.1,36.4,62.6,0.0,61.9,32.1,0.0,WestLiguria
0.0,56.0,32.0,66.4,0.0,30.5,28.3,0.0,WestLiguria
7.8,55.0,50.7,54.5,0.0,30.5,43.4,0.0,WestLiguria
7.8,39.3,40.0,65.9,0.0,39.5,47.2,11.1,WestLiguria
0.0,56.9,33.8,63.0,0.0,43.9,32.1,0.0,WestLiguria
0.0,48.1,35.6,63.0,0.0,88.8,28.3,11.1,WestLiguria
7.8,36.4,38.2,70.1,0.0,43.9,28.3,11.1,WestLiguria
7.8,35.4,38.2,71.6,0.0,43.9,28.3,11.1,WestLiguria
0.0,46.2,36.4,62.6,0.0,88.8,28.3,11.1,WestLiguria
0.0,55.0,36.4,62.6,0.0,48.4,28.3,0.0,WestLiguria
0.0,47.2,35.6,62.1,0.0,88.8,28.3,11.1,WestLiguria
0.0,45.2,27.6,67.3,0.0,84.3,35.8,0.0,WestLiguria
7.8,44.2,37.3,66.8,0.0,43.9,32.1,0.0,WestLiguria
0.0,37.4,31.1,72.0,0.0,66.4,28.3,0.0,WestLiguria
0.0,38.4,37.3,71.6,0.0,26.0,35.8,0.0,WestLiguria
17.5,45.2,35.6,66.8,0.0,39.5,32.1,11.1,WestLiguria
0.0,39.3,36.4,71.1,0.0,39.5,28.3,0.0,WestLiguria
7.8,37.4,45.3,64.0,0.0,66.4,28.3,0.0,WestLiguria
0.0,34.4,42.7,66.8,0.0,61.9,28.3,11.1,WestLiguria
7.8,31.5,43.6,63.0,0.0,57.4,39.6,11.1,WestLiguria
0.0,30.5,42.7,72.0,0.0,39.5,24.5,11.1,WestLiguria
7.8,35.4,48.0,67.3,0.0,43.9,28.3,0.0,WestLiguria
7.8,29.5,44.4,71.6,0.0,35.0,28.3,0.0,WestLiguria
0.0,49.1,35.6,67.3,0.0,26.0,35.8,0.0,WestLiguria
7.8,41.3,40.9,67.8,0.0,30.5,32.1,11.1,WestLiguria
7.8,33.5,59.6,56.4,0.0,61.9,35.8,11.1,WestLiguria
7.8,35.4,40.0,68.2,0.0,52.9,32.1,11.1,WestLiguria
0.0,51.1,35.6,67.3,0.0,26.0,28.3,0.0,WestLiguria
7.8,41.3,33.8,68.7,0.0,43.9,39.6,11.1,WestLiguria
17.5,28.6,31.1,78.2,0.0,39.5,24.5,11.1,WestLiguria
51.5,14.9,42.2,78.4,0.0,14.8,20.8,31.9,Umbria
43.7,14.9,42.7,78.2,0.0,17.0,17.0,36.1,Umbria
17.5,15.1,41.8,78.7,0.0,16.6,18.9,45.8,Umbria
38.8,14.9,42.7,78.4,0.0,19.3,17.0,36.1,Umbria
51.5,14.9,44.0,75.8,0.0,21.5,15.1,48.6,Umbria
51.5,15.9,40.0,79.4,0.0,10.3,22.6,25.0,Umbria
61.2,15.4,39.1,79.5,0.0,8.1,20.8,36.1,Umbria
46.6,14.9,43.6,76.1,0.0,20.6,15.1,45.8,Umbria
61.2,15.4,40.4,78.9,0.0,11.7,18.9,27.8,Umbria
46.6,15.1,42.2,78.4,0.0,16.1,17.0,38.9,Umbria
51.5,15.4,41.8,78.7,0.0,12.6,18.9,31.9,Umbria
49.5,15.1,42.2,78.4,0.0,17.0,17.0,38.9,Umbria
36.9,15.1,41.3,78.7,0.0,19.3,20.0,25.0,Umbria
36.9,14.9,42.7,78.2,0.0,17.9,16.2,45.8,Umbria
31.1,14.9,43.1,78.0,0.0,20.6,17.0,50.0,Umbria
38.8,14.9,42.7,78.2,0.0,19.3,16.2,38.9,Umbria
29.1,15.1,43.1,78.2,0.0,20.6,16.2,45.8,Umbria
38.8,14.9,42.7,77.7,0.0,19.3,16.2,45.8,Umbria
31.1,14.9,43.1,78.0,0.0,20.6,16.2,45.8,Umbria
41.7,14.9,43.1,77.7,0.0,21.5,15.1,45.8,Umbria
33.0,15.7,41.8,78.9,0.0,16.1,20.8,36.1,Umbria
35.0,14.9,42.7,78.2,0.0,19.3,17.0,41.7,Umbria
52.4,14.4,44.0,75.8,0.0,21.5,15.1,51.4,Umbria
48.5,14.4,44.4,75.8,0.0,23.8,13.2,52.8,Umbria
30.1,15.7,41.3,79.5,0.0,20.6,20.8,36.1,Umbria
38.8,15.7,41.3,79.6,0.0,14.8,18.9,45.8,Umbria
46.6,15.9,40.4,79.4,0.0,12.6,22.6,31.9,Umbria
41.7,15.1,40.9,79.6,0.0,16.1,22.6,27.8,Umbria
41.7,15.1,40.9,79.6,0.0,16.1,22.6,27.8,Umbria
40.8,15.9,43.6,76.3,0.0,21.5,20.8,51.4,Umbria
54.4,15.9,41.3,78.7,0.0,14.8,20.8,27.8,Umbria
55.3,15.9,39.1,80.1,0.0,10.3,23.8,22.2,Umbria
32.0,14.9,42.7,78.0,0.0,20.6,17.0,41.7,Umbria
20.4,15.7,39.1,80.1,0.0,16.1,23.8,36.1,Umbria
24.3,15.4,41.3,79.4,0.0,17.0,20.8,36.1,Umbria
29.1,14.4,43.4,78.0,0.0,22.4,14.7,55.6,Umbria
17.5,12.4,44.0,80.8,0.0,20.6,0.0,69.4,Umbria
61.2,6.1,44.4,76.5,0.0,30.5,22.6,73.6,Umbria
51.5,17.4,39.8,80.0,0.0,11.7,13.2,52.8,Umbria
12.6,14.9,44.9,78.4,0.0,32.7,5.7,73.6,Umbria
17.5,11.9,44.0,80.3,0.0,20.6,5.7,69.4,Umbria
44.7,16.3,41.1,79.6,0.0,11.7,12.8,63.9,Umbria
17.5,11.9,44.4,80.1,0.0,26.0,0.0,66.7,Umbria
