palmitic,palmitoleic,stearic,oleic,linoleic,linolenic,arachidic,eicosenoic,region
52.3,45.7,39.0,63.5,18.1,34.7,51.5,30.4,Calabria
51.6,28.3,35.0,64.9,25.6,38.9,75.7,0.0,EastLiguria
49.8,24.5,35.0,65.9,26.6,52.8,66.0,0.0,EastLiguria
63.4,30.6,66.4,49.8,30.2,62.5,50.5,42.9,Calabria
53.3,20.8,43.9,59.7,32.5,52.8,85.4,0.0,EastLiguria
43.6,28.3,43.9,65.4,30.5,38.9,75.7,0.0,EastLiguria
63.7,47.2,18.4,48.7,36.7,47.2,82.5,58.9,Sicily
65.5,67.5,20.2,46.3,43.7,31.9,42.7,23.2,SouthApulia
49.4,30.9,53.8,31.8,92.2,25.0,78.6,0.0,CoastalSardinia
59.1,40.0,28.3,46.7,43.4,52.8,64.1,69.6,Calabria
55.6,46.4,44.8,48.4,40.4,72.2,62.1,60.7,Calabria
61.7,41.1,57.0,40.8,47.0,63.9,57.3,62.5,Calabria
59.8,32.8,49.8,52.1,30.8,72.2,61.2,46.4,Calabria
65.9,54.3,64.6,44.0,35.4,47.2,56.3,35.7,Calabria
67.0,71.3,32.7,29.8,62.2,26.4,46.6,21.4,SouthApulia
75.0,63.4,19.7,35.9,55.4,34.7,42.7,30.4,SouthApulia
67.5,62.3,13.0,33.2,66.7,51.4,41.7,39.3,SouthApulia
61.0,45.7,48.4,51.2,32.5,63.9,47.6,28.6,Calabria
69.7,56.2,31.8,37.3,58.1,30.6,39.8,37.5,SouthApulia
53.1,51.3,1.8,40.7,76.9,34.7,47.6,21.4,SouthApulia
67.5,58.9,14.3,30.2,78.1,38.9,44.7,23.2,SouthApulia
70.1,64.9,17.5,26.6,76.8,50.0,56.3,26.8,SouthApulia
71.4,67.2,25.1,27.3,73.8,38.9,56.3,28.6,SouthApulia
65.4,54.7,7.6,36.6,68.8,51.4,44.7,23.2,SouthApulia
73.1,51.7,57.8,34.5,49.0,51.4,51.5,41.1,Calabria
54.4,44.5,33.6,53.3,36.8,47.2,65.0,58.9,Sicily
57.9,52.1,30.0,50.0,36.2,69.4,66.0,42.9,Calabria
74.6,60.4,20.6,27.6,69.9,52.8,66.0,35.7,SouthApulia
59.8,51.3,13.5,33.2,80.5,52.8,48.5,33.9,SouthApulia
68.8,61.5,25.1,38.2,53.9,37.5,63.1,42.9,SouthApulia
67.4,58.9,29.6,33.6,59.6,54.2,50.5,42.9,SouthApulia
63.5,60.0,20.6,26.7,82.3,47.2,66.0,33.9,SouthApulia
61.4,53.2,24.7,33.3,76.4,54.2,44.7,21.4,SouthApulia
44.0,39.6,29.6,47.5,69.5,29.2,41.7,0.0,InlandSardinia
39.0,30.6,30.0,47.5,70.5,27.8,43.7,0.0,InlandSardinia
41.8,39.6,29.6,47.2,68.2,45.8,100.0,0.0,InlandSardinia
46.4,31.7,47.1,36.3,89.4,30.6,85.4,0.0,CoastalSardinia
47.2,30.2,43.9,34.8,92.0,27.8,64.1,0.0,CoastalSardinia
42.4,27.9,40.8,42.7,83.6,22.2,56.3,0.0,CoastalSardinia
52.5,27.2,38.6,32.7,91.5,31.9,70.9,0.0,CoastalSardinia
46.7,31.3,44.4,38.9,84.7,25.0,57.3,0.0,CoastalSardinia
45.3,28.3,39.5,36.4,91.5,29.2,70.9,0.0,CoastalSardinia
53.6,36.6,41.7,33.5,86.8,27.8,61.2,0.0,CoastalSardinia
43.1,41.5,43.9,38.9,83.9,26.4,78.6,0.0,CoastalSardinia
49.1,34.3,40.4,34.4,90.0,31.9,67.0,0.0,CoastalSardinia
48.9,30.6,39.5,35.2,88.9,30.6,74.8,0.0,CoastalSardinia
43.4,33.2,51.6,39.6,83.5,30.6,71.8,0.0,CoastalSardinia
42.8,29.4,31.4,51.0,65.1,25.0,49.5,0.0,InlandSardinia
46.3,27.2,25.1,41.2,84.1,36.1,53.4,0.0,CoastalSardinia
52.5,57.7,17.0,37.9,75.1,56.9,60.2,25.0,SouthApulia
41.4,23.4,22.4,44.7,83.9,37.5,63.1,0.0,CoastalSardinia
46.7,29.8,37.2,39.0,85.3,30.6,63.1,0.0,CoastalSardinia
48.8,35.8,48.9,36.4,83.1,34.7,72.8,0.0,CoastalSardinia
46.3,27.2,36.3,40.0,84.1,31.9,68.0,0.0,CoastalSardinia
43.8,23.8,30.5,50.5,68.6,25.0,61.2,0.0,InlandSardinia
37.3,26.0,27.8,52.3,71.3,26.4,66.0,0.0,InlandSardinia
40.0,36.2,35.4,50.4,68.6,25.0,61.2,0.0,InlandSardinia
44.3,44.2,35.4,48.3,63.9,25.0,62.1,0.0,InlandSardinia
38.9,24.2,27.4,54.0,66.7,36.1,57.3,0.0,InlandSardinia
38.4,45.3,26.0,51.0,65.4,45.8,85.4,0.0,InlandSardinia
43.1,33.6,31.8,50.6,64.9,56.9,52.4,0.0,InlandSardinia
44.4,28.7,22.0,48.2,72.1,30.6,69.9,0.0,InlandSardinia
40.9,31.3,28.3,46.4,77.5,36.1,64.1,0.0,InlandSardinia
38.2,33.2,34.1,50.4,70.9,31.9,62.1,0.0,InlandSardinia
46.3,23.8,30.9,50.1,65.8,27.8,65.0,0.0,InlandSardinia
41.3,26.8,35.4,52.3,64.7,27.8,68.9,0.0,InlandSardinia
42.8,33.6,36.8,50.0,66.3,36.1,54.4,0.0,InlandSardinia
43.8,35.5,30.5,49.1,67.7,36.1,55.3,0.0,InlandSardinia
43.6,30.2,26.0,48.3,65.1,27.8,68.0,0.0,InlandSardinia
49.3,31.7,27.8,48.9,63.9,27.8,63.1,0.0,InlandSardinia
46.4,24.5,22.0,52.0,63.3,34.7,63.1,0.0,InlandSardinia
42.2,28.7,31.8,51.4,66.3,36.1,58.3,0.0,InlandSardinia
43.9,33.2,36.3,48.4,68.4,34.7,57.3,0.0,InlandSardinia
40.4,31.3,35.0,49.5,70.0,30.6,69.9,0.0,InlandSardinia
46.1,35.1,26.9,51.5,61.3,36.1,58.3,0.0,InlandSardinia
45.0,32.8,35.4,46.9,70.5,33.3,62.1,0.0,InlandSardinia
39.9,30.6,34.1,51.5,66.5,31.9,68.0,0.0,InlandSardinia
43.4,27.5,26.9,49.2,67.7,36.1,63.1,0.0,InlandSardinia
44.3,29.1,35.4,50.6,64.8,37.5,58.3,0.0,InlandSardinia
39.2,35.1,33.6,52.3,65.2,38.9,62.1,0.0,InlandSardinia
47.3,30.9,32.7,49.3,63.9,36.1,61.2,0.0,InlandSardinia
44.0,27.5,26.0,49.9,67.9,36.1,68.0,0.0,InlandSardinia
38.2,32.5,23.8,50.6,71.2,31.9,80.6,0.0,InlandSardinia
47.1,29.4,39.9,48.5,63.6,29.2,69.9,0.0,InlandSardinia
41.4,30.2,23.3,52.5,66.7,34.7,74.8,0.0,InlandSardinia
43.2,26.0,26.5,52.8,62.9,38.9,67.0,0.0,InlandSardinia
41.3,33.2,24.7,52.7,63.4,41.7,64.1,0.0,InlandSardinia
39.2,23.8,26.5,53.1,68.3,38.9,77.7,0.0,InlandSardinia
40.1,26.8,30.5,53.1,64.0,37.5,74.8,0.0,InlandSardinia
48.7,26.0,22.0,48.7,66.0,37.5,72.8,0.0,InlandSardinia
44.6,29.1,25.6,50.0,66.2,41.7,68.9,0.0,InlandSardinia
44.1,29.4,26.9,51.2,64.2,45.8,64.1,0.0,InlandSardinia
50.3,22.6,23.8,51.9,64.5,43.1,69.9,0.0,InlandSardinia
42.8,34.3,30.0,53.4,66.2,43.1,72.8,0.0,InlandSardinia
41.8,31.3,30.0,50.8,66.2,43.1,73.8,0.0,InlandSardinia
44.8,26.8,26.0,50.2,65.4,40.3,78.6,0.0,InlandSardinia
42.8,35.1,29.6,51.3,71.9,36.1,83.5,0.0,InlandSardinia
46.0,25.3,22.9,48.3,68.5,38.9,83.5,0.0,InlandSardinia
43.8,24.9,25.1,47.9,71.3,38.9,85.4,0.0,InlandSardinia
38.8,30.6,37.7,52.1,64.5,41.7,75.7,0.0,InlandSardinia
41.3,28.7,21.5,52.6,64.5,47.2,75.7,0.0,InlandSardinia
45.2,24.9,30.0,52.6,59.6,43.1,76.7,0.0,InlandSardinia
43.1,27.5,22.9,52.8,63.1,48.6,73.8,0.0,InlandSardinia
44.2,22.6,30.5,52.1,63.4,37.5,85.4,0.0,InlandSardinia
39.3,30.2,28.3,51.6,66.3,40.3,87.4,0.0,InlandSardinia
38.8,32.5,38.6,51.4,65.8,36.1,84.5,0.0,InlandSardinia
43.0,30.6,30.5,49.3,66.4,33.3,91.3,0.0,InlandSardinia
45.2,26.4,21.1,52.8,59.9,47.2,81.6,0.0,InlandSardinia
50.5,27.9,22.0,51.2,63.7,44.4,82.5,0.0,InlandSardinia
43.8,30.6,26.0,51.2,62.3,41.7,89.3,0.0,InlandSardinia
50.3,29.1,24.7,49.6,59.6,45.8,77.7,0.0,InlandSardinia
45.5,33.6,39.9,40.0,84.6,18.1,54.4,0.0,CoastalSardinia
44.9,30.6,37.7,37.2,90.4,25.0,70.9,0.0,CoastalSardinia
42.1,30.6,39.5,40.9,86.3,36.1,53.4,0.0,CoastalSardinia
46.5,35.8,39.9,37.0,87.5,26.4,64.1,0.0,CoastalSardinia
48.8,31.3,27.4,48.3,64.6,50.0,60.2,0.0,InlandSardinia
43.2,32.1,48.4,40.9,81.6,31.9,69.9,0.0,CoastalSardinia
45.9,32.1,37.7,36.1,91.2,33.3,65.0,0.0,CoastalSardinia
46.9,32.5,45.7,38.1,84.3,31.9,64.1,0.0,CoastalSardinia
48.7,35.1,41.7,36.3,85.9,27.8,70.9,0.0,CoastalSardinia
47.1,30.2,47.5,37.2,88.0,29.2,67.0,0.0,CoastalSardinia
48.2,36.2,38.6,37.0,90.4,31.9,76.7,0.0,CoastalSardinia
48.4,39.2,47.1,39.3,78.8,27.8,57.3,0.0,CoastalSardinia
42.3,42.3,44.8,40.7,81.9,36.1,58.3,0.0,CoastalSardinia
50.5,29.1,39.9,33.5,90.8,27.8,79.6,0.0,CoastalSardinia
51.0,34.0,47.5,34.1,87.3,33.3,62.1,0.0,CoastalSardinia
50.2,35.1,27.8,36.8,84.1,43.1,80.6,0.0,CoastalSardinia
45.2,30.9,30.9,46.4,69.1,45.8,89.3,0.0,InlandSardinia
47.6,7.5,38.1,43.0,65.6,25.0,42.7,0.0,InlandSardinia
46.1,39.6,31.4,46.1,65.0,56.9,93.2,0.0,InlandSardinia
46.2,32.1,39.5,62.6,32.5,38.9,85.4,0.0,EastLiguria
54.2,24.5,39.5,62.1,30.5,38.9,56.3,0.0,EastLiguria
35.6,32.1,39.5,66.8,45.2,11.1,17.5,0.0,WestLiguria
48.9,28.3,30.5,60.7,33.5,52.8,85.4,0.0,EastLiguria
44.4,20.8,39.5,72.0,21.7,25.0,66.0,0.0,EastLiguria
52.4,13.2,26.0,69.7,23.7,25.0,46.6,0.0,EastLiguria
48.0,28.3,35.0,70.6,19.8,38.9,56.3,0.0,EastLiguria
45.3,20.8,39.5,67.3,27.6,52.8,75.7,0.0,EastLiguria
45.3,32.1,43.9,65.4,27.6,52.8,66.0,0.0,EastLiguria
42.7,62.3,35.0,61.1,40.3,11.1,36.9,0.0,WestLiguria
45.3,24.5,48.4,68.7,22.7,38.9,75.7,0.0,EastLiguria
50.7,24.5,30.5,70.6,22.7,11.1,36.9,0.0,EastLiguria
41.3,20.8,14.8,78.7,15.9,27.8,54.4,0.0,Umbria
48.0,20.8,30.5,73.5,16.8,25.0,36.9,0.0,EastLiguria
41.8,18.9,12.6,78.7,15.4,31.9,51.5,0.0,Umbria
40.4,22.6,12.6,79.4,15.9,31.9,46.6,0.0,Umbria
40.9,22.6,16.1,79.6,15.1,27.8,41.7,0.0,Umbria
47.1,28.3,39.5,74.9,11.9,25.0,56.3,0.0,EastLiguria
41.3,20.0,19.3,78.7,15.1,25.0,36.9,0.0,Umbria
39.1,20.8,8.1,79.5,15.4,36.1,61.2,0.0,Umbria
42.7,16.2,19.3,78.2,14.9,38.9,38.8,0.0,Umbria
52.4,28.3,39.5,72.0,13.9,11.1,46.6,0.0,EastLiguria
41.8,20.8,16.1,78.9,15.7,36.1,33.0,0.0,Umbria
43.1,15.1,21.5,77.7,14.9,45.8,41.7,0.0,Umbria
42.7,17.0,19.3,78.2,14.9,41.7,35.0,0.0,Umbria
41.3,20.8,20.6,79.5,15.7,36.1,30.1,0.0,Umbria
42.7,17.0,20.6,78.0,14.9,41.7,32.0,0.0,Umbria
44.0,15.1,21.5,75.8,14.4,51.4,52.4,0.0,Umbria
43.6,20.8,21.5,76.3,15.9,51.4,40.8,0.0,Umbria
39.8,13.2,11.7,80.0,17.4,52.8,51.5,0.0,Umbria
36.4,24.5,43.9,76.8,22.7,11.1,27.2,0.0,EastLiguria
43.1,17.0,20.6,78.0,14.9,50.0,31.1,0.0,Umbria
49.8,32.1,57.4,66.8,18.8,25.0,66.0,0.0,EastLiguria
39.1,23.8,16.1,80.1,15.7,36.1,20.4,0.0,Umbria
65.8,24.5,43.9,57.8,30.5,11.1,27.2,0.0,EastLiguria
48.9,20.8,35.0,73.9,18.8,11.1,17.5,0.0,EastLiguria
43.4,14.7,22.4,78.0,14.4,55.6,29.1,0.0,Umbria
43.6,24.5,28.3,77.3,8.5,59.7,56.3,0.0,Umbria
38.2,28.3,43.9,70.1,36.4,11.1,7.8,0.0,WestLiguria
40.0,47.2,52.9,62.6,42.3,11.1,17.5,0.0,WestLiguria
41.1,12.8,11.7,79.6,16.3,63.9,44.7,0.0,Umbria
40.9,32.1,35.0,61.6,53.0,11.1,0.0,0.0,WestLiguria
50.7,43.4,30.5,54.5,55.0,0.0,7.8,0.0,WestLiguria
43.6,39.6,57.4,63.0,31.5,11.1,7.8,0.0,WestLiguria
58.1,57.4,6.3,39.3,72.3,27.8,48.5,17.9,SouthApulia
60.1,55.8,13.9,35.1,76.5,37.5,53.4,17.9,SouthApulia
67.5,33.6,38.1,50.9,32.0,51.4,66.0,23.2,Sicily
50.7,28.3,43.9,57.8,34.4,66.7,95.1,0.0,EastLiguria
64.5,37.0,40.4,47.1,39.8,50.0,56.3,28.6,Calabria
52.5,60.4,22.0,39.3,72.9,47.2,45.6,23.2,SouthApulia
56.7,55.8,2.7,38.1,75.7,40.3,56.3,21.4,SouthApulia
61.8,59.2,7.6,33.4,79.5,36.1,46.6,16.1,SouthApulia
68.4,59.6,16.1,35.0,67.6,40.3,40.8,21.4,SouthApulia
54.1,57.4,8.5,37.3,78.9,45.8,46.6,25.0,SouthApulia
61.1,52.1,11.2,33.4,79.5,45.8,56.3,25.0,SouthApulia
60.4,53.6,17.9,33.2,79.7,33.3,47.6,30.4,SouthApulia
64.4,54.3,20.2,31.9,75.5,47.2,56.3,26.8,SouthApulia
61.6,56.6,10.3,34.4,77.8,40.3,37.9,25.0,SouthApulia
63.4,54.7,23.8,29.0,83.2,30.6,46.6,26.8,SouthApulia
42.7,28.3,43.9,65.4,30.5,80.6,75.7,0.0,EastLiguria
66.6,37.7,42.2,44.3,41.7,59.7,59.2,28.6,Calabria
48.4,31.3,22.0,61.9,36.0,41.7,56.3,48.2,NorthApulia
62.4,43.8,48.0,41.1,48.0,54.2,65.0,32.1,Calabria
71.0,42.6,47.1,45.4,30.4,56.9,53.4,25.0,Calabria
42.5,21.9,32.3,66.8,32.6,40.3,57.3,48.2,NorthApulia
64.4,64.5,34.5,45.5,37.1,44.4,52.4,32.1,SouthApulia
71.1,69.4,28.7,39.3,49.6,26.4,44.7,30.4,SouthApulia
64.9,37.4,16.6,49.1,36.4,63.9,68.0,33.9,Calabria
78.0,59.2,8.1,29.4,68.1,48.6,50.5,21.4,SouthApulia
65.9,61.9,15.2,30.1,77.8,47.2,46.6,30.4,SouthApulia
67.5,72.1,22.9,30.9,70.5,45.8,46.6,25.0,SouthApulia
65.6,52.5,13.9,29.2,81.1,63.9,52.4,25.0,SouthApulia
64.8,57.0,25.1,42.2,46.5,52.8,65.0,41.1,Calabria
59.4,20.4,23.8,49.5,49.8,59.7,66.0,46.4,NorthApulia
57.2,38.9,41.3,51.8,33.1,61.1,67.0,39.3,Calabria
61.9,42.3,43.9,45.2,41.2,62.5,64.1,39.3,Calabria
61.2,38.1,45.3,47.8,36.7,52.8,65.0,44.6,Calabria
62.9,61.9,11.2,34.6,73.0,45.8,38.8,41.1,SouthApulia
66.8,55.8,19.7,27.9,80.7,48.6,54.4,39.3,SouthApulia
57.8,32.8,34.1,50.0,41.3,65.3,60.2,46.4,Calabria
57.3,33.2,31.8,51.9,39.1,62.5,52.4,50.0,Calabria
63.2,45.7,29.1,41.4,49.1,56.9,59.2,50.0,Calabria
68.3,36.2,53.8,39.2,48.1,61.1,60.2,37.5,Calabria
60.1,66.8,22.9,39.4,59.2,50.0,61.2,46.4,SouthApulia
62.8,68.7,46.6,34.9,60.6,52.8,56.3,35.7,SouthApulia
60.2,35.1,60.5,49.4,37.0,58.3,40.8,37.5,Calabria
39.2,7.5,30.0,79.5,15.4,26.4,61.2,39.3,NorthApulia
58.8,38.1,57.0,45.4,41.5,56.9,68.0,44.6,Calabria
62.7,46.8,35.0,47.3,37.6,55.6,56.3,53.6,Calabria
54.3,34.7,30.9,54.1,34.2,72.2,66.0,46.4,Calabria
60.6,38.5,28.3,49.8,38.3,63.9,57.3,53.6,Calabria
40.4,9.1,36.8,74.7,25.0,55.6,69.9,42.9,NorthApulia
68.6,35.8,52.0,44.6,37.2,51.4,56.3,50.0,Calabria
58.3,30.9,49.8,53.8,28.9,59.7,65.0,48.2,Calabria
67.7,39.6,43.9,50.0,24.9,58.3,64.1,46.4,Calabria
38.0,15.1,27.4,77.9,18.1,33.3,48.5,50.0,NorthApulia
56.4,21.5,58.7,51.9,37.3,58.3,63.1,46.4,Calabria
42.7,28.3,57.4,67.8,26.6,66.7,95.1,0.0,EastLiguria
29.6,29.8,13.9,73.0,33.3,55.6,70.9,51.8,NorthApulia
57.5,30.2,42.6,52.4,35.6,56.9,66.0,58.9,Sicily
43.6,17.4,37.2,67.7,28.0,51.4,60.2,58.9,NorthApulia
28.1,9.8,56.1,71.8,32.9,59.7,61.2,41.1,Sicily
31.2,20.8,19.3,78.6,28.8,61.1,70.9,50.0,NorthApulia
61.2,31.7,71.3,47.9,33.2,59.7,63.1,37.5,Calabria
68.7,38.9,54.3,46.5,28.4,59.7,64.1,48.2,Calabria
62.1,40.4,39.9,45.4,41.3,61.1,68.0,58.9,Calabria
46.4,53.6,39.5,63.6,18.6,59.7,56.3,51.8,Calabria
57.9,40.0,71.7,44.5,42.0,62.5,61.2,41.1,Calabria
60.9,35.5,41.7,45.2,44.5,56.9,58.3,64.3,Calabria
66.7,55.8,10.8,28.5,81.4,36.1,61.2,44.6,SouthApulia
54.8,62.6,27.4,31.3,76.5,62.5,69.9,42.9,SouthApulia
45.3,20.4,56.1,52.9,48.7,55.6,55.3,60.7,Sicily
61.3,64.9,19.7,29.4,78.8,54.2,71.8,41.1,SouthApulia
53.6,35.5,66.8,45.5,46.7,62.5,61.2,51.8,Calabria
51.0,36.6,71.3,51.7,36.3,63.9,53.4,46.4,Calabria
66.3,34.3,37.7,43.1,40.9,63.9,70.9,60.7,Calabria
71.3,41.1,65.5,41.8,33.5,59.7,64.1,46.4,Calabria
68.5,63.4,41.7,51.4,15.8,62.5,66.0,41.1,Calabria
42.0,17.0,39.0,68.5,25.5,61.1,78.6,55.4,NorthApulia
30.4,23.4,47.5,72.0,28.2,56.9,73.8,55.4,NorthApulia
70.3,51.3,38.6,40.9,40.0,59.7,68.0,60.7,Calabria
69.1,63.0,40.4,29.1,63.9,58.3,64.1,50.0,SouthApulia
60.0,43.0,41.3,48.5,36.3,76.4,61.2,60.7,Calabria
69.3,39.2,36.8,44.4,36.7,52.8,58.3,69.6,Calabria
59.4,27.2,80.7,51.1,31.6,58.3,49.5,39.3,Calabria
