mcg,gvh,vac,erl,alm,nuc,pox,mit,class
0.8,0.88,0.56,0.5,0.36,0.33,0.0,0.39,ME1
0.53,0.54,0.57,0.5,0.43,0.32,0.0,0.1,NUC
0.51,0.51,0.52,0.5,0.43,0.22,0.0,0.87,MIT
0.38,0.61,0.53,0.5,0.61,0.47,0.0,0.12,CYT
0.33,0.55,0.51,0.5,0.51,0.22,0.0,0.43,NUC
0.78,0.74,0.43,0.5,0.42,0.22,0.0,0.26,ME1
0.74,0.67,0.42,0.5,0.47,0.22,0.0,0.34,EXC
0.72,0.61,0.54,0.5,0.45,0.25,0.0,0.3,MIT
0.4,0.45,0.56,0.5,0.57,0.26,0.0,0.18,CYT
0.59,0.53,0.5,0.5,0.43,0.22,0.0,0.44,MIT
0.57,0.53,0.53,0.5,0.53,0.22,0.0,0.34,MIT
0.86,0.68,0.54,0.5,0.39,0.22,0.0,0.24,ME2
0.86,0.74,0.55,0.5,0.51,0.22,0.0,0.4,ME2
0.79,0.57,0.59,0.5,0.41,0.22,0.0,0.28,ME2
0.41,0.54,0.51,0.5,0.39,0.22,0.0,0.2,ME3
0.37,0.36,0.48,0.5,0.56,0.26,0.0,0.18,VAC
0.53,0.31,0.47,0.5,0.58,0.37,0.0,0.39,NUC
0.74,0.75,0.4,0.5,0.58,0.35,0.0,0.47,ME2
0.49,0.39,0.48,0.5,0.52,0.22,0.0,0.29,EXC
0.74,0.57,0.58,0.5,0.51,0.22,0.0,0.28,VAC
0.42,0.24,0.5,0.5,0.34,0.22,0.0,0.16,ME3
0.48,0.39,0.52,0.5,0.51,0.28,0.0,0.21,CYT
0.41,0.53,0.52,0.5,0.45,0.66,0.0,0.14,ME3
0.45,0.46,0.55,0.5,0.55,0.38,0.0,0.43,NUC
0.56,0.48,0.51,0.5,0.58,0.22,0.0,0.27,CYT
0.64,0.59,0.46,0.5,0.56,0.22,0.0,0.23,CYT
0.64,0.56,0.45,0.5,0.56,0.22,0.0,0.22,CYT
0.66,0.62,0.49,0.5,0.49,0.22,0.0,0.1,CYT
0.53,0.44,0.55,0.5,0.51,0.22,0.0,0.33,CYT
0.38,0.49,0.5,0.5,0.53,0.22,0.0,0.19,CYT
0.45,0.58,0.52,0.5,0.48,0.22,0.0,0.67,MIT
0.43,0.35,0.54,0.5,0.52,0.22,0.0,0.52,MIT
0.37,0.32,0.45,0.5,0.47,0.25,0.0,0.18,NUC
0.48,0.43,0.52,0.5,0.51,0.43,0.0,0.32,NUC
0.41,0.46,0.58,0.5,0.59,0.27,0.0,0.19,NUC
0.54,0.48,0.52,0.5,0.44,0.27,0.0,0.08,CYT
0.6,0.47,0.51,0.5,0.45,0.29,0.0,0.22,CYT
0.34,0.46,0.55,0.5,0.57,0.22,0.0,0.09,CYT
0.48,0.54,0.51,0.5,0.55,0.22,0.0,0.12,CYT
0.47,0.39,0.57,0.5,0.59,0.22,0.0,0.15,CYT
0.81,0.85,0.56,0.5,0.47,0.22,0.0,0.37,EXC
0.48,0.42,0.56,0.5,0.52,0.22,0.0,0.24,CYT
0.58,0.51,0.57,0.5,0.49,0.29,0.0,0.27,CYT
0.6,0.5,0.47,0.5,0.44,0.22,0.0,0.61,MIT
0.45,0.55,0.47,0.5,0.54,0.22,0.0,0.66,MIT
0.46,0.49,0.44,0.5,0.58,0.22,0.0,0.23,MIT
0.49,0.42,0.42,0.5,0.56,0.25,0.0,0.55,MIT
0.63,0.53,0.5,0.5,0.54,0.22,0.0,0.4,MIT
0.5,0.54,0.51,0.5,0.53,0.27,0.0,0.54,MIT
0.63,0.57,0.38,0.5,0.59,0.22,0.0,0.4,MIT
0.43,0.57,0.48,0.5,0.51,0.22,0.0,0.49,MIT
0.48,0.45,0.53,0.5,0.55,0.22,0.0,0.5,MIT
0.5,0.58,0.46,0.5,0.46,0.22,0.0,0.46,MIT
0.51,0.54,0.58,0.5,0.6,0.22,0.0,0.57,MIT
0.54,0.52,0.46,0.5,0.63,0.22,0.0,0.37,MIT
0.67,0.62,0.5,0.5,0.4,0.22,0.83,0.43,MIT
0.28,0.58,0.51,0.5,0.21,0.22,0.0,0.13,ME3
0.39,0.44,0.55,0.5,0.35,0.22,0.0,0.16,ME3
0.8,0.63,0.51,0.5,0.45,0.22,0.0,0.29,EXC
0.5,0.52,0.51,0.5,0.59,0.35,0.0,0.3,NUC
0.42,0.47,0.53,0.5,0.52,0.32,0.0,0.41,CYT
0.36,0.46,0.51,0.5,0.62,0.33,0.0,0.46,CYT
0.46,0.38,0.52,0.5,0.47,0.27,0.0,0.22,MIT
0.4,0.45,0.45,0.5,0.56,0.22,0.0,0.2,CYT
0.33,0.43,0.52,0.5,0.64,0.52,0.0,0.16,NUC
0.49,0.61,0.5,0.5,0.49,0.28,0.0,0.25,CYT
0.38,0.5,0.43,0.5,0.37,0.22,0.0,0.26,ME3
0.69,0.7,0.46,0.5,0.52,0.22,0.0,0.36,EXC
0.61,0.72,0.58,0.5,0.39,0.22,0.0,0.33,MIT
0.78,0.75,0.53,0.5,0.4,0.22,0.0,0.28,MIT
0.64,0.57,0.37,0.5,0.57,0.22,0.0,0.27,CYT
0.36,0.58,0.44,0.5,0.35,0.22,0.0,0.24,ME3
0.36,0.43,0.49,0.5,0.39,0.22,0.0,0.12,ME3
0.47,0.52,0.41,0.5,0.5,0.22,0.0,0.4,CYT
0.48,0.23,0.48,0.5,0.57,0.47,0.0,0.27,NUC
0.47,0.39,0.47,0.5,0.55,0.22,0.0,0.24,CYT
0.44,0.59,0.52,0.5,0.36,0.22,0.0,0.16,ME3
0.42,0.35,0.56,0.5,0.54,0.22,0.0,0.18,CYT
0.3,0.56,0.5,0.5,0.55,0.22,0.0,0.18,CYT
0.65,0.65,0.6,0.5,0.52,0.22,0.0,0.16,CYT
0.27,0.6,0.55,0.5,0.48,0.22,0.0,0.23,CYT
0.45,0.41,0.5,0.5,0.5,0.27,0.5,0.46,POX
0.44,0.52,0.51,0.5,0.41,0.22,0.0,0.23,NUC
0.3,0.32,0.48,0.5,0.57,0.55,0.0,0.19,NUC
0.4,0.44,0.49,0.5,0.49,0.27,0.0,0.47,NUC
0.45,0.51,0.52,0.5,0.5,1.0,0.0,0.16,NUC
0.45,0.45,0.49,0.5,0.5,0.22,0.0,0.6,MIT
0.59,0.67,0.47,0.5,0.56,0.22,0.0,0.41,MIT
0.47,0.47,0.48,0.5,0.57,0.22,0.0,0.48,MIT
0.35,0.52,0.26,0.5,0.48,0.22,0.0,0.22,MIT
0.47,0.41,0.53,0.5,0.66,0.22,0.0,0.26,MIT
0.64,0.62,0.51,0.5,0.29,0.22,0.0,0.28,MIT
0.55,0.53,0.52,0.5,0.55,0.22,0.0,0.46,MIT
0.67,0.62,0.53,0.5,0.54,0.22,0.0,0.43,MIT
0.59,0.6,0.53,0.5,0.49,0.31,0.0,0.43,MIT
0.54,0.55,0.54,0.5,0.34,0.22,0.0,0.31,ME3
0.58,0.62,0.48,0.5,0.54,0.22,0.0,0.17,MIT
0.4,0.38,0.52,0.5,0.53,0.27,0.0,0.16,NUC
0.46,0.71,0.53,0.5,0.48,0.22,0.0,0.53,MIT
0.53,0.51,0.45,0.5,0.55,0.25,0.0,0.05,NUC
0.41,0.4,0.48,0.5,0.59,0.43,0.0,0.47,CYT
0.5,0.64,0.47,0.5,0.57,0.22,0.0,0.15,CYT
0.4,0.62,0.49,0.5,0.52,0.31,0.0,0.31,CYT
0.6,0.5,0.41,0.5,0.57,0.26,0.0,0.25,CYT
0.62,0.51,0.54,0.5,0.52,0.27,0.0,0.42,NUC
0.35,0.58,0.51,0.5,0.54,0.22,0.0,0.16,NUC
0.34,0.54,0.54,0.5,0.5,0.31,0.0,0.21,CYT
0.39,0.58,0.54,0.5,0.5,0.59,0.0,0.26,ME3
0.48,0.54,0.53,0.5,0.5,0.22,0.0,0.17,NUC
0.29,0.32,0.5,0.5,0.58,0.3,0.0,0.15,CYT
0.47,0.32,0.63,0.5,0.64,0.22,0.0,0.3,NUC
0.39,0.47,0.47,0.5,0.56,0.22,0.0,0.16,CYT
0.58,0.48,0.55,0.5,0.51,0.22,0.0,0.47,NUC
0.64,0.6,0.43,0.5,0.57,0.22,0.0,0.19,NUC
0.37,0.46,0.45,0.5,0.4,0.22,0.0,0.27,NUC
0.43,0.57,0.54,0.5,0.53,0.22,0.0,0.16,CYT
0.28,0.37,0.52,0.5,0.61,0.55,0.0,0.09,NUC
0.59,0.48,0.45,0.5,0.5,0.25,0.0,0.14,CYT
0.39,0.55,0.54,0.5,0.48,0.29,0.0,0.31,CYT
0.26,0.36,0.53,0.5,0.47,0.72,0.0,0.34,NUC
0.51,0.34,0.5,0.5,0.5,0.22,0.0,0.19,NUC
0.58,0.5,0.48,0.5,0.5,0.25,0.0,0.12,NUC
0.44,0.39,0.54,0.5,0.53,0.44,0.0,0.14,CYT
0.41,0.39,0.48,0.5,0.44,0.4,0.0,0.34,NUC
0.45,0.43,0.54,0.5,0.51,0.33,0.0,0.24,CYT
0.36,0.68,0.53,0.5,0.46,0.28,0.0,0.16,NUC
0.42,0.31,0.53,0.5,0.5,0.22,0.0,0.15,NUC
0.42,0.43,0.49,0.5,0.56,0.22,0.0,0.1,CYT
0.67,0.71,0.53,0.5,0.52,0.36,0.0,0.65,NUC
0.49,0.47,0.48,0.5,0.53,0.27,0.0,0.16,NUC
0.71,0.59,0.59,0.5,0.48,0.22,0.0,0.43,MIT
0.4,0.42,0.54,0.5,0.71,0.32,0.0,0.21,CYT
0.4,0.42,0.54,0.5,0.71,0.32,0.0,0.21,CYT
0.54,0.49,0.52,0.5,0.49,0.22,0.0,0.2,CYT
0.42,0.51,0.52,0.5,0.5,0.46,0.0,0.12,NUC
0.57,0.51,0.56,0.5,0.53,0.25,0.0,0.18,NUC
0.35,0.45,0.56,0.5,0.43,0.22,0.0,0.11,ME3
0.42,0.42,0.49,0.5,0.42,0.22,0.0,0.2,ME3
0.26,0.5,0.51,0.5,0.33,0.22,0.0,0.28,ME3
0.39,0.42,0.49,0.5,0.38,0.47,0.0,0.4,ME3
0.26,0.44,0.51,0.5,0.3,0.47,0.0,0.11,ME3
0.31,0.44,0.51,0.5,0.53,0.32,0.0,0.23,NUC
0.48,0.61,0.47,0.5,0.44,0.22,0.0,0.2,CYT
0.66,0.45,0.49,0.5,0.5,0.22,0.0,0.23,CYT
0.21,0.41,0.5,0.5,0.55,0.27,0.0,0.11,CYT
0.38,0.68,0.53,0.5,0.44,0.22,0.0,0.45,MIT
0.44,0.38,0.53,0.5,0.48,0.22,0.83,0.32,POX
0.31,0.31,0.52,0.5,0.56,0.33,0.0,0.33,NUC
0.49,0.31,0.51,0.5,0.49,0.29,0.0,0.35,NUC
0.38,0.37,0.49,0.5,0.56,0.22,0.0,0.21,NUC
0.39,0.4,0.47,0.5,0.53,0.22,0.0,0.67,CYT
0.24,0.34,0.52,0.5,0.69,0.22,0.0,0.18,CYT
0.49,0.43,0.47,0.5,0.51,0.22,0.0,0.13,CYT
0.54,0.38,0.48,0.5,0.52,0.22,0.0,0.18,CYT
0.43,0.57,0.53,0.5,0.53,0.25,0.0,0.53,CYT
0.48,0.64,0.6,0.5,0.61,0.22,0.0,0.23,CYT
0.31,0.55,0.52,0.5,0.52,0.22,0.0,0.17,CYT
0.32,0.57,0.53,0.5,0.5,0.22,0.0,0.15,CYT
0.32,0.42,0.6,0.5,0.52,0.22,0.0,0.24,CYT
0.59,0.5,0.55,0.5,0.52,0.25,0.0,0.28,CYT
0.37,0.42,0.57,0.5,0.51,0.22,0.0,0.11,CYT
0.75,0.7,0.49,0.5,0.38,0.22,0.0,0.27,ME1
0.61,0.72,0.56,0.5,0.31,0.22,0.0,0.33,MIT
0.44,0.42,0.57,0.5,0.6,0.22,0.0,0.21,CYT
0.52,0.51,0.55,0.5,0.51,0.27,0.0,0.54,MIT
0.63,0.56,0.51,0.5,0.45,0.22,0.0,0.58,MIT
0.52,0.56,0.45,0.5,0.54,0.22,0.0,0.53,MIT
0.58,0.58,0.49,0.5,0.58,0.26,0.0,0.49,MIT
0.72,0.62,0.56,0.5,0.34,0.28,0.0,0.29,MIT
0.72,0.61,0.57,0.5,0.37,0.22,0.0,0.3,MIT
0.46,0.43,0.48,0.5,0.38,0.28,0.0,0.33,MIT
0.57,0.57,0.52,0.5,0.44,0.25,0.0,0.37,MIT
0.42,0.31,0.4,0.5,0.62,0.22,0.0,0.12,MIT
0.49,0.46,0.52,0.5,0.45,0.22,0.0,0.45,MIT
0.42,0.58,0.46,0.5,0.41,0.26,0.0,0.65,MIT
0.59,0.61,0.51,0.5,0.34,0.22,0.0,0.22,MIT
0.52,0.77,0.51,0.5,0.38,0.22,0.0,0.34,MIT
0.5,0.52,0.48,0.5,0.6,0.22,0.0,0.51,MIT
0.49,0.6,0.36,0.5,0.43,0.22,0.0,0.56,MIT
0.5,0.41,0.42,0.5,0.44,0.22,0.0,0.5,MIT
0.5,0.4,0.5,0.5,0.56,0.22,0.0,0.7,MIT
0.37,0.58,0.44,0.5,0.44,0.22,0.0,0.51,MIT
0.55,0.45,0.5,0.5,0.45,0.22,0.0,0.54,MIT
0.67,0.68,0.46,0.5,0.46,0.22,0.0,0.29,MIT
0.53,0.51,0.48,0.5,0.46,0.22,0.0,0.28,CYT
0.35,0.66,0.54,0.5,0.49,0.25,0.0,0.21,CYT
0.52,0.4,0.55,0.5,0.6,0.22,0.0,0.12,CYT
0.77,0.79,0.48,0.5,0.58,0.22,0.0,0.23,EXC
0.47,0.46,0.56,0.5,0.59,0.22,0.0,0.49,MIT
0.73,0.83,0.55,0.5,0.43,0.22,0.0,0.3,ME1
0.78,0.74,0.53,1.0,0.58,0.22,0.0,0.25,ERL
0.7,0.65,0.6,0.5,0.54,0.4,0.0,0.28,VAC
0.47,0.54,0.5,0.5,0.37,0.22,0.0,0.14,ME3
0.56,0.52,0.46,0.5,0.48,0.22,0.0,0.17,NUC
0.57,0.41,0.4,0.5,0.59,0.22,0.0,0.24,CYT
0.56,0.41,0.42,0.5,0.58,0.22,0.0,0.21,CYT
0.58,0.56,0.51,0.5,0.45,0.22,0.0,0.12,NUC
0.53,0.38,0.43,0.5,0.66,0.22,0.0,0.25,NUC
0.34,0.36,0.36,0.5,0.54,0.21,0.0,0.11,NUC
0.69,0.61,0.52,0.5,0.38,0.22,0.0,0.27,ME2
0.37,0.53,0.42,0.5,0.6,0.22,0.5,0.19,POX
0.41,0.45,0.51,0.5,0.53,0.25,0.0,0.17,NUC
0.31,0.46,0.5,0.5,0.54,0.34,0.0,0.52,NUC
0.36,0.37,0.57,0.5,0.33,0.31,0.0,0.14,ME3
0.82,0.78,0.46,0.5,0.49,0.22,0.0,0.23,EXC
0.82,0.75,0.46,0.5,0.54,0.22,0.0,0.23,EXC
0.41,0.51,0.45,0.5,0.58,0.27,0.0,0.15,CYT
0.38,0.51,0.55,0.5,0.75,0.22,0.0,0.17,CYT
0.38,0.51,0.55,0.5,0.75,0.22,0.0,0.17,CYT
0.53,0.44,0.52,0.5,0.51,0.22,0.0,0.33,MIT
0.46,0.54,0.59,0.5,0.71,0.22,0.0,0.15,MIT
0.4,0.56,0.47,0.5,0.48,0.22,0.0,0.14,MIT
0.53,0.53,0.49,0.5,0.6,0.22,0.0,0.13,MIT
0.42,0.57,0.57,0.5,0.72,0.22,0.0,0.22,MIT
0.45,0.27,0.52,0.5,0.57,0.18,0.0,0.36,CYT
0.2,0.26,0.53,0.5,0.52,0.44,0.0,0.14,CYT
0.51,0.53,0.51,0.5,0.55,0.22,0.0,0.14,CYT
0.44,0.68,0.52,0.5,0.45,0.41,0.0,0.51,MIT
0.27,0.39,0.44,0.5,0.66,0.22,0.0,0.11,MIT
0.55,0.42,0.52,0.5,0.34,0.22,0.0,0.3,ME3
0.34,0.42,0.53,0.5,0.3,0.22,0.0,0.23,ME3
0.44,0.53,0.51,0.5,0.52,0.22,0.83,0.23,POX
0.59,0.58,0.54,0.5,0.56,0.33,0.0,0.21,NUC
0.39,0.28,0.41,0.5,0.46,0.22,0.0,0.12,NUC
0.56,0.43,0.5,0.5,0.54,0.22,0.0,0.16,NUC
0.36,0.68,0.53,0.5,0.38,0.25,0.0,0.08,VAC
0.27,0.36,0.37,0.5,0.6,0.31,0.0,0.33,NUC
0.35,0.4,0.47,0.5,0.59,0.37,0.0,0.22,NUC
0.42,0.32,0.51,0.5,0.5,0.22,0.0,0.21,NUC
0.23,0.2,0.44,0.5,0.53,0.22,0.0,0.2,NUC
0.55,0.54,0.5,0.5,0.56,0.37,0.0,0.22,NUC
0.36,0.24,0.51,0.5,0.49,0.22,0.0,0.16,NUC
0.38,0.48,0.46,0.5,0.59,0.22,0.0,0.22,CYT
0.8,0.46,0.53,0.5,0.5,0.22,0.0,0.15,CYT
0.6,0.56,0.5,0.5,0.47,0.38,0.0,0.2,NUC
0.41,0.24,0.41,0.5,0.54,0.22,0.0,0.26,NUC
0.47,0.65,0.53,0.5,0.54,0.36,0.0,0.62,MIT
0.43,0.39,0.47,0.5,0.54,0.22,0.0,0.14,NUC
0.5,0.51,0.48,0.5,0.52,0.25,0.0,0.09,NUC
0.53,0.61,0.55,0.5,0.52,0.3,0.0,0.21,NUC
0.54,0.42,0.52,0.5,0.41,0.22,0.0,0.16,ME2
0.46,0.35,0.51,0.5,0.53,0.29,0.0,0.16,CYT
0.46,0.43,0.49,0.5,0.49,0.63,0.0,0.79,NUC
0.51,0.55,0.51,0.5,0.35,0.47,0.0,0.16,ME3
0.56,0.52,0.54,0.5,0.55,0.22,0.0,0.19,CYT
0.61,0.3,0.49,0.5,0.59,0.27,0.0,0.12,NUC
0.37,0.53,0.47,0.5,0.46,0.22,0.0,0.23,NUC
0.83,0.58,0.53,0.5,0.33,0.22,0.0,0.04,ME2
0.39,0.45,0.54,0.5,0.53,0.22,0.0,0.18,CYT
0.52,0.54,0.48,0.5,0.5,0.3,0.0,0.21,CYT
0.35,0.39,0.48,0.5,0.57,0.22,0.0,0.11,NUC
0.36,0.49,0.52,0.5,0.3,0.31,0.0,0.22,ME3
0.78,0.7,0.53,0.5,0.32,0.22,0.0,0.23,ME1
0.55,0.46,0.52,0.5,0.53,0.48,0.0,0.11,CYT
0.45,0.56,0.57,0.5,0.54,0.22,0.0,0.32,CYT
0.45,0.56,0.57,0.5,0.53,0.22,0.0,0.32,CYT
0.29,0.43,0.53,0.5,0.4,0.22,0.0,0.15,ME3
0.52,0.75,0.46,0.5,0.37,0.22,0.0,0.14,ME3
0.71,0.56,0.52,0.5,0.39,0.22,0.0,0.27,ME2
0.58,0.6,0.55,0.5,0.43,0.22,0.0,0.12,ME3
0.54,0.65,0.52,0.5,0.49,0.22,0.0,0.34,CYT
0.57,0.59,0.52,0.5,0.44,0.22,0.0,0.16,ME2
0.59,0.58,0.56,0.5,0.46,0.27,0.0,0.19,CYT
0.92,0.61,0.54,0.5,0.4,0.22,0.0,0.22,ME2
0.55,0.56,0.54,0.5,0.45,0.22,0.0,0.14,CYT
0.63,0.61,0.51,0.5,0.41,0.22,0.0,0.22,ME3
0.58,0.53,0.52,0.5,0.38,0.22,0.0,0.18,ME3
0.36,0.46,0.48,0.5,0.43,0.22,0.0,0.19,ME3
0.32,0.47,0.52,0.5,0.55,0.22,0.0,0.12,CYT
0.34,0.38,0.51,0.5,0.45,0.22,0.0,0.19,ME2
0.62,0.58,0.53,0.5,0.46,0.22,0.0,0.13,CYT
0.53,0.68,0.53,0.5,0.42,0.22,0.0,0.19,ME3
0.73,0.55,0.46,0.5,0.41,0.22,0.0,0.16,ME2
0.55,0.46,0.58,0.5,0.46,0.48,0.0,0.31,NUC
0.35,0.6,0.52,0.5,0.47,0.43,0.0,0.13,NUC
0.77,0.8,0.54,1.0,0.51,0.22,0.0,0.4,ERL
0.77,0.87,0.48,0.5,0.47,0.22,0.0,0.37,EXC
0.35,0.46,0.55,1.0,0.49,0.35,0.0,0.15,CYT
0.43,0.51,0.5,0.5,0.48,0.22,0.0,0.14,CYT
0.57,0.61,0.5,0.5,0.45,0.22,0.0,0.26,CYT
0.63,0.62,0.52,0.5,0.42,0.25,0.0,0.12,CYT
0.25,0.4,0.5,0.5,0.51,0.27,0.0,0.18,CYT
0.56,0.62,0.57,0.5,0.53,0.22,0.0,0.24,CYT
0.58,0.6,0.53,0.5,0.51,0.22,0.0,0.24,CYT
0.71,0.59,0.49,0.5,0.53,0.33,0.0,0.15,CYT
0.46,0.35,0.55,0.5,0.33,0.22,0.0,0.17,ME3
0.54,0.55,0.48,0.5,0.42,0.22,0.0,0.22,ME3
0.39,0.44,0.46,0.5,0.28,0.27,0.0,0.12,ME3
0.33,0.44,0.48,0.5,0.49,0.49,0.0,0.08,NUC
0.81,0.82,0.39,0.5,0.41,0.22,0.0,0.36,EXC
0.69,0.6,0.52,0.5,0.51,0.22,0.83,0.13,POX
0.46,0.48,0.55,0.5,0.44,0.22,0.0,0.21,POX
0.35,0.36,0.52,0.5,0.57,0.22,0.0,0.17,CYT
0.74,0.72,0.57,0.5,0.47,0.22,0.0,0.25,ME1
0.54,0.57,0.59,0.5,0.52,0.67,0.0,0.19,NUC
0.42,0.52,0.5,0.5,0.4,0.26,0.0,0.17,ME3
0.91,0.77,0.52,0.5,0.34,0.31,0.0,0.47,ME1
0.81,0.9,0.53,0.5,0.39,0.22,0.0,0.41,ME2
0.45,0.4,0.54,0.5,0.56,0.22,0.0,0.14,CYT
0.47,0.47,0.49,0.5,0.58,0.28,0.0,0.16,CYT
0.41,0.39,0.49,0.5,0.51,0.22,0.0,0.52,CYT
0.37,0.34,0.56,0.5,0.32,0.22,0.0,0.22,ME3
0.69,0.6,0.55,0.5,0.5,0.22,0.0,0.31,CYT
0.35,0.56,0.53,0.5,0.36,0.25,0.0,0.3,ME3
0.84,0.66,0.49,0.5,0.36,0.5,0.0,0.78,ME1
0.51,0.58,0.53,0.5,0.54,0.22,0.0,0.29,CYT
0.37,0.43,0.48,0.5,0.62,0.22,0.0,0.27,NUC
0.55,0.66,0.57,0.5,0.57,0.34,0.0,0.32,CYT
0.48,0.35,0.57,0.5,0.42,0.22,0.0,0.21,CYT
0.62,0.58,0.52,0.5,0.52,0.29,0.0,0.15,CYT
0.56,0.59,0.24,0.5,0.53,0.42,0.0,0.16,NUC
0.44,0.51,0.51,0.5,0.37,0.22,0.0,0.15,ME3
0.44,0.44,0.46,0.5,0.49,0.27,0.0,0.15,NUC
0.5,0.5,0.47,0.5,0.48,0.26,0.0,0.17,CYT
0.6,0.6,0.53,0.5,0.49,0.22,0.0,0.3,NUC
0.49,0.46,0.55,0.5,0.34,0.22,0.0,0.21,ME3
0.35,0.68,0.53,0.5,0.57,0.36,0.0,0.4,NUC
0.7,0.69,0.58,0.5,0.43,0.22,0.0,0.33,ME1
0.23,0.3,0.48,0.5,0.58,0.27,0.0,0.22,NUC
0.45,0.42,0.5,0.5,0.52,0.25,0.0,0.2,CYT
0.51,0.35,0.51,0.5,0.46,0.42,0.0,0.15,CYT
0.42,0.39,0.5,0.5,0.47,0.27,0.0,0.13,CYT
0.32,0.38,0.52,0.5,0.52,0.28,0.0,0.2,CYT
0.59,0.65,0.46,0.5,0.52,0.31,0.0,0.3,CYT
0.41,0.52,0.54,0.5,0.41,0.35,0.0,0.11,CYT
0.37,0.33,0.51,0.5,0.5,0.54,0.0,0.12,CYT
0.45,0.56,0.52,0.5,0.49,0.22,0.0,0.17,CYT
0.56,0.54,0.52,0.5,0.59,0.27,0.0,0.14,NUC
0.31,0.31,0.52,0.5,0.54,0.29,0.0,0.18,NUC
0.27,0.51,0.49,0.5,0.47,0.28,0.0,0.35,NUC
0.54,0.56,0.45,0.5,0.57,0.25,0.0,0.18,NUC
0.17,0.38,0.54,0.5,0.45,0.27,0.0,0.09,NUC
0.43,0.51,0.45,0.5,0.54,0.26,0.0,0.15,NUC
0.6,0.4,0.48,0.5,0.59,0.22,0.0,0.18,CYT
0.91,0.69,0.56,0.5,0.57,0.22,0.0,0.45,ME2
0.38,0.47,0.48,0.5,0.53,0.22,0.0,0.12,CYT
0.59,0.43,0.55,0.5,0.52,0.27,0.0,0.19,CYT
0.64,0.53,0.53,0.5,0.45,0.22,0.0,0.13,CYT
0.49,0.31,0.52,0.5,0.34,0.22,0.0,0.13,ME3
0.52,0.51,0.51,0.5,0.51,0.4,0.0,0.12,CYT
0.49,0.43,0.55,0.5,0.48,0.25,0.0,0.15,CYT
0.49,0.47,0.53,0.5,0.52,0.28,0.0,0.16,CYT
0.48,0.39,0.51,0.5,0.49,0.22,0.0,0.18,CYT
0.44,0.34,0.52,0.5,0.55,0.22,0.0,0.18,CYT
0.43,0.54,0.5,0.5,0.58,0.36,0.0,0.16,NUC
0.49,0.42,0.5,0.5,0.54,0.36,0.0,0.17,CYT
0.34,0.66,0.47,0.5,0.51,0.33,0.0,0.16,NUC
0.2,0.34,0.48,0.5,0.33,0.31,0.0,0.1,ME3
0.74,0.53,0.55,0.5,0.5,0.31,0.0,0.08,CYT
0.69,0.48,0.55,0.5,0.38,0.22,0.0,0.15,ME2
0.3,0.5,0.46,0.5,0.47,0.22,0.0,0.11,CYT
0.44,0.51,0.52,0.5,0.48,0.22,0.0,0.38,CYT
0.31,0.45,0.49,0.5,0.5,0.22,0.0,0.17,CYT
0.55,0.41,0.52,0.5,0.56,0.22,0.0,0.21,CYT
0.4,0.34,0.47,0.5,0.52,0.51,0.0,0.17,NUC
0.4,0.48,0.54,0.5,0.5,0.5,0.0,0.17,CYT
0.58,0.48,0.46,0.5,0.56,0.25,0.0,0.1,NUC
0.58,0.48,0.46,0.5,0.56,0.25,0.0,0.12,NUC
