fAsym,fM3Trans,fLength,fConc1,fWidth,fDist,fConc,fM3Long,fAlpha,fSize,class
30.937,15.143,27.6746,0.2224,18.9149,223.241,0.3759,20.242,19.3719,2.5422,g
14.7178,-11.8517,13.2617,0.4096,10.7145,107.851,0.7823,2.4666,68.604,2.1319,g
54.8329,-18.9858,61.6463,0.1086,21.171,234.581,0.2112,52.4882,4.2131,3.4303,g
-4.2971,8.0971,18.6533,0.337,15.1674,55.7509,0.523,16.0316,4.7998,2.4338,g
37.2749,16.227,38.1627,0.1279,25.1091,188.124,0.247,22.8564,5.5119,3.1041,g
13.7506,-6.5973,12.974,0.4704,10.9058,168.245,0.7431,-6.2434,42.2408,2.1021,g
-27.3566,19.7834,63.2886,0.1273,26.427,302.897,0.2342,54.6506,0.9753,3.4434,g
5.8044,-10.3623,24.999,0.2332,14.6867,174.003,0.432,19.2386,9.862,2.5434,g
-34.0069,-6.3628,35.9913,0.1801,19.4494,175.99,0.3297,-25.3956,0.2425,2.7466,g
25.9525,19.3011,44.0846,0.0994,23.0143,210.596,0.1963,-35.1309,16.119,2.8974,g
-89.2907,-19.7587,65.3574,0.1601,22.3483,272.68,0.2855,-31.2444,4.874,2.7376,g
32.9358,11.1037,43.7724,0.141,20.353,273.837,0.2743,38.4208,16.25,2.8982,g
33.3189,-6.8774,33.4858,0.1891,15.0766,169.066,0.3623,19.1818,12.9506,2.7969,g
-25.5033,-19.0013,92.8723,0.1619,25.685,304.585,0.242,51.797,7.7301,3.1553,g
-24.0292,-2.8001,19.6562,0.3266,9.7376,118.341,0.578,-9.836,63.03,2.238,g
-59.0369,-26.431,96.8578,0.0679,39.4755,340.996,0.1204,66.0291,3.8107,3.9903,g
21.1988,-15.3593,95.5207,0.0543,34.5134,260.879,0.1005,88.912,0.084,4.1295,g
-8.7481,12.765,22.7945,0.294,14.8676,110.258,0.5203,-20.3785,6.7835,2.567,g
27.3604,-7.3935,66.7336,0.0889,24.94,223.912,0.1683,67.0539,9.941,3.4357,g
-10.746,-13.6786,45.0172,0.167,18.4512,178.647,0.284,-37.5851,8.718,2.699,g
48.7119,7.7025,99.6416,0.1996,13.5477,57.7231,0.3846,92.2613,74.5664,2.4362,g
-1.5465,-6.0245,20.8112,0.3558,7.1717,235.951,0.7041,8.9641,85.103,2.1255,g
-34.801,20.5479,96.3755,0.1376,31.3902,307.321,0.2179,61.0636,9.782,3.359,g
-32.2094,-5.1006,30.3331,0.2416,14.9817,74.5242,0.4762,-20.1641,0.9075,2.4526,g
-22.9802,6.0883,20.9491,0.3935,7.0366,146.512,0.7292,-12.1656,40.656,2.1414,g
44.0893,22.939,49.6143,0.089,28.1482,150.761,0.1769,26.0127,0.67,3.2641,g
-12.3167,1.6476,26.9766,0.2395,9.7238,197.338,0.4593,16.287,3.675,2.3064,g
10.0066,15.0702,29.817,0.239,19.8364,222.184,0.3718,23.9409,15.9328,2.7372,g
-25.6063,5.5499,23.0242,0.2326,13.2275,210.819,0.4471,-10.429,33.4008,2.2188,g
42.2957,-12.7104,66.1331,0.075,25.9259,160.519,0.1495,50.5528,11.5159,3.1984,g
-12.5192,-7.5776,34.9502,0.1644,16.0121,201.404,0.297,11.1413,17.6684,3.0663,g
-15.6487,-9.9017,23.6353,0.4085,11.4736,194.384,0.6291,-18.8315,43.565,2.4661,g
2.48,-3.923,20.4754,0.2148,15.7636,55.4986,0.4116,-10.4986,13.8089,2.4425,g
51.0255,-14.0979,59.7337,0.1895,17.0227,217.856,0.2966,54.5868,5.094,2.7997,g
23.4366,-10.8294,22.6397,0.3156,10.2608,251.28,0.5603,18.6537,14.3756,2.1492,g
18.6509,14.2821,92.937,0.1937,22.1354,358.99,0.3108,48.5227,3.497,3.0885,g
-24.0564,26.1668,86.5636,0.0809,36.8235,306.55,0.1508,60.9768,2.643,3.8026,g
18.1724,6.5266,39.3737,0.1615,12.0817,201.01,0.3213,13.6391,3.7449,2.7763,g
23.2559,12.715,41.2629,0.1626,20.9786,219.077,0.2807,43.3331,7.6147,3.1361,g
22.0971,14.069,89.8648,0.0805,33.6384,158.618,0.1487,98.5182,3.689,3.8899,g
-16.3719,14.8483,24.999,0.2453,17.775,120.263,0.4327,-25.5307,81.8671,2.5993,g
-6.8054,-4.9889,19.5793,0.2824,14.6976,130.918,0.514,17.3916,13.17,2.2934,g
25.981,6.6103,21.8344,0.3531,6.832,95.7374,0.7063,-0.1704,35.4993,2.1804,g
99.2131,-14.3854,87.5837,0.0667,33.3742,255.315,0.125,75.0174,2.428,3.9208,g
-45.8108,-9.3853,53.7339,0.2955,15.4395,32.6827,0.4572,-40.3603,1.886,2.4298,g
29.9825,12.4846,34.889,0.2534,19.6402,227.336,0.3747,29.1531,8.376,2.8429,g
47.4405,16.1237,41.0677,0.1812,16.2578,213.317,0.3532,37.9125,17.671,2.7308,g
3.5656,8.5485,60.0261,0.1433,12.245,230.089,0.26,55.2047,1.3841,2.8052,g
-66.4032,-24.9966,70.0322,0.0929,30.2255,294.746,0.1775,48.4611,2.936,3.1573,g
-36.5281,-12.2594,74.5714,0.1627,23.0735,363.489,0.3182,63.076,4.029,2.9914,g
-2.4392,-14.371,77.9219,0.1232,31.8209,327.992,0.2059,58.1668,0.2442,3.7043,g
-38.1241,17.0574,39.1755,0.2005,26.3821,299.173,0.345,25.4219,6.4974,2.7966,g
1.7266,-6.3001,18.1607,0.3289,10.4502,147.236,0.6043,-7.66,43.3661,2.2718,g
7.0323,6.2085,25.4762,0.2303,12.0898,193.349,0.4134,15.7982,24.847,2.4048,g
-8.8017,10.389,23.4494,0.2655,16.2843,235.203,0.4539,-15.9867,83.8081,2.5605,g
-2.3114,-11.3244,32.0586,0.2037,15.6976,193.794,0.3826,-17.7455,12.1807,2.5072,g
-0.0948,11.397,18.4475,0.4051,11.7563,219.394,0.5714,-6.5384,69.2291,2.4074,g
39.265,-23.3496,41.4001,0.1023,25.658,91.228,0.2036,30.5051,0.6344,3.0414,g
-68.649,6.7814,92.5854,0.1923,11.2825,293.081,0.3119,-48.92,2.5099,3.0071,g
-51.8263,7.7365,29.3424,0.165,16.1814,168.084,0.3272,23.7665,39.189,2.5496,g
28.7838,-7.859,47.8275,0.1603,18.509,159.704,0.2775,-29.0817,4.798,2.747,g
-44.1258,16.6915,73.2547,0.1939,19.5552,282.616,0.357,34.5939,23.149,2.5545,g
16.3451,5.6343,26.0862,0.2354,12.5473,183.852,0.4397,14.9018,4.1527,2.4099,g
-97.071,-14.982,94.2369,0.1612,17.6341,302.219,0.297,50.552,1.854,2.7727,g
-21.4336,13.3864,38.1089,0.2126,15.08,154.264,0.3887,-29.3931,13.741,2.3927,g
-49.0296,5.127,33.5874,0.2134,17.46,166.95,0.3979,-7.6514,25.657,2.5821,g
38.7703,9.3292,50.8293,0.1236,20.0939,189.155,0.2162,41.463,3.6565,3.3959,g
-12.5331,12.3285,25.0275,0.3078,12.8142,72.7386,0.4884,-8.9993,65.2451,2.5391,g
-1.6706,-15.8111,26.8928,0.2357,17.7678,109.02,0.3782,-8.159,23.821,2.8439,g
-7.7092,-2.8594,28.0883,0.3174,6.8084,146.596,0.5899,-17.4113,27.549,2.2504,g
17.8018,-6.2792,35.8144,0.214,12.3164,142.372,0.393,20.673,23.123,2.57,g
6.1452,11.3697,29.3108,0.2223,14.6309,69.2467,0.4402,-19.1932,24.109,2.6464,g
-0.5678,0.0,19.6419,0.571,0.0,182.016,0.795,5.2697,34.817,2.2,g
23.9812,-7.0892,23.6924,0.4543,8.8987,128.707,0.6683,14.1032,27.014,2.3181,g
2.8405,-10.0668,27.4888,0.1854,18.5665,188.636,0.3078,6.1522,23.5868,2.8639,g
98.9071,-17.914,117.749,0.0806,33.2446,188.983,0.1606,129.932,2.582,3.1921,g
-12.9068,8.1139,26.8971,0.1655,19.2128,152.596,0.319,4.6154,41.065,2.7657,g
-14.5262,-11.7029,13.1994,0.4209,10.8032,181.817,0.7761,1.8356,54.0277,2.224,g
-24.1639,7.8713,25.1576,0.236,12.8638,149.657,0.4615,11.1073,47.777,2.4564,g
18.9639,5.3072,18.2028,0.2945,15.8708,48.9988,0.5115,18.329,2.5957,2.4526,g
-96.9809,-12.6086,70.6584,0.1334,19.8319,288.263,0.2541,52.5046,0.45,3.1041,g
-157.872,22.1504,101.703,0.077,39.5491,327.251,0.1462,70.4115,4.0677,3.9457,g
-49.22,11.5684,58.1232,0.0922,23.5601,94.0063,0.1791,-33.4621,20.194,2.8837,g
11.7553,-12.0534,20.7445,0.2446,17.3249,91.6373,0.4686,17.0726,25.7775,2.5916,g
71.8585,10.7621,56.2418,0.1103,16.5703,250.91,0.2092,39.648,1.574,2.8943,g
83.3498,-12.3834,70.2768,0.0651,24.5132,233.617,0.1294,48.9676,2.9261,3.3917,g
35.5667,12.8892,81.2317,0.0893,32.2546,295.38,0.1694,66.9446,4.155,3.7262,g
46.6935,15.3472,32.7059,0.2142,17.1981,99.7447,0.4074,13.1053,40.3711,2.5804,g
-4.4911,-11.1395,42.3725,0.1343,20.2021,182.477,0.2533,26.362,0.6925,3.2909,g
36.0787,-10.599,80.3994,0.1581,14.9183,272.617,0.3004,76.0508,5.066,2.8445,g
16.7068,-14.8757,25.5688,0.422,19.0735,316.47,0.7161,25.194,74.308,2.2911,g
-1.2345,6.0007,16.9286,0.3314,11.2814,190.039,0.5736,5.8021,18.5125,2.4116,g
-14.6576,-14.4939,18.8734,0.2579,17.772,114.938,0.4686,-16.9343,17.1286,2.5821,g
-4.6579,11.8667,34.1619,0.1554,21.2966,163.722,0.2907,-11.6112,11.6079,2.9974,g
23.3297,-18.5123,30.0005,0.1857,21.6966,151.522,0.3062,17.6318,27.943,2.934,g
-20.4985,28.1989,41.3848,0.1889,32.4617,308.373,0.3521,28.2927,9.628,2.7938,g
-12.181,11.3032,25.2228,0.2939,13.6075,78.9436,0.4989,-12.8844,66.649,2.3738,g
5.8526,10.2235,21.6891,0.2923,10.3849,232.154,0.5604,-17.6826,1.5485,2.316,g
12.5054,-8.1001,20.5839,0.2648,12.8876,199.96,0.4724,12.7741,26.586,2.4191,g
10.6071,3.9151,25.2091,0.3006,10.6551,147.489,0.4989,21.1038,41.563,2.3701,g
-32.1031,7.0429,35.7062,0.329,13.2892,201.751,0.5204,-25.7479,1.2543,2.3664,g
-100.913,16.5613,62.6886,0.1084,22.612,229.768,0.2077,-25.4533,3.121,3.2496,g
-3.5091,-4.8598,19.7366,0.4109,7.3095,173.073,0.7636,10.3719,24.7838,2.1383,g
19.6222,-10.5913,48.4695,0.1177,18.1279,203.072,0.2345,46.8981,6.955,2.9917,g
5.3609,0.0,22.5702,0.4021,0.0,210.833,0.7904,-15.2145,80.3449,2.1629,g
22.8063,5.3027,18.249,0.3156,10.4383,159.544,0.6034,10.1469,15.8259,2.2529,g
28.2765,10.6797,28.4148,0.4409,13.01,136.651,0.5923,20.1871,13.6965,2.4778,g
41.1158,8.2134,47.6,0.1497,13.413,178.462,0.2762,33.8544,2.608,2.8092,g
15.898,-8.487,33.3528,0.275,17.6866,196.918,0.3796,27.6711,8.709,2.7551,g
29.7042,12.0158,97.794,0.077,26.8347,256.435,0.1516,95.3544,3.2128,3.5327,g
12.3051,10.0776,13.1155,0.5238,10.1083,166.287,0.8,7.4928,58.845,2.1973,g
-53.2694,-20.7681,52.8479,0.2054,21.5505,309.622,0.3667,27.9502,6.087,2.9462,g
-5.5945,-10.1794,40.6097,0.1219,20.5874,233.346,0.2304,16.0028,0.774,2.9117,g
-84.0021,-23.9483,65.6069,0.073,33.6033,246.341,0.1433,43.5019,0.7567,3.8528,g
44.5465,18.3607,63.8128,0.1088,26.2233,284.652,0.1958,46.5522,1.919,3.5143,g
-4.0544,10.4839,22.5539,0.2888,9.7776,236.65,0.559,16.5945,9.215,2.2068,g
-110.45,12.1712,59.817,0.1678,14.838,289.536,0.3132,53.9825,5.235,2.8808,g
-12.2606,-11.7431,27.1044,0.3145,9.7779,225.566,0.5198,-14.8614,29.844,2.4241,g
8.4346,-9.1862,21.776,0.3722,12.7202,120.076,0.6344,15.5208,22.3655,2.356,g
20.3461,5.7986,20.6454,0.4545,6.839,175.992,0.774,14.9016,2.7533,2.2844,g
-105.167,32.7482,91.6174,0.0406,39.9496,256.828,0.0806,83.687,3.0094,4.0942,g
42.4917,12.0692,60.8598,0.1378,18.7033,146.803,0.2561,33.7518,4.182,2.6128,g
15.679,4.1406,35.577,0.2202,15.0526,225.707,0.3964,14.3568,2.0711,2.9805,g
-23.7309,-11.5139,31.6173,0.1268,24.2115,157.613,0.2402,2.8864,22.951,2.7197,g
-44.0508,-14.117,85.9355,0.1735,29.9215,335.983,0.3134,-20.0659,4.7597,3.0755,g
14.1429,7.8845,20.0777,0.2939,12.6181,132.889,0.5286,15.066,36.457,2.404,g
26.7671,-29.0666,59.6124,0.1113,30.8693,264.642,0.1888,54.7397,1.1057,3.4791,g
-47.3236,-10.2088,72.969,0.1537,19.2006,291.175,0.2749,42.1489,4.087,3.008,g
1.5153,5.9528,20.7154,0.3618,7.1982,189.577,0.7066,-8.8118,88.4999,2.2443,g
7.3563,-7.645,23.807,0.3184,10.0712,216.895,0.5624,16.856,10.378,2.4289,g
17.1472,-14.2938,24.38,0.3087,17.4654,256.869,0.4915,19.777,0.8652,2.616,g
-57.2893,-5.1062,36.5237,0.2176,15.3246,109.517,0.4252,29.2074,12.715,2.4786,g
8.3826,8.0364,19.0154,0.4264,12.8813,174.401,0.6326,17.2241,58.903,2.5085,g
-19.4911,8.3832,23.8915,0.3173,12.8584,131.247,0.5088,-14.9193,6.2472,2.534,g
-55.8407,-17.9965,82.3156,0.2464,17.9964,288.194,0.3636,-62.4659,10.08,2.7404,g
-54.9261,-5.9832,72.8104,0.1607,14.3361,286.265,0.307,58.5437,0.644,3.096,g
2.1721,-5.7228,20.4525,0.3754,7.2419,159.126,0.7243,-9.6562,9.1256,2.1775,g
-1.574,-11.354,23.6179,0.3739,20.0571,86.2468,0.5495,-15.0956,47.786,2.5224,g
20.4369,-24.8336,80.0169,0.0898,29.9756,228.254,0.1577,24.4273,4.142,3.6714,g
-23.7708,-5.9792,20.7779,0.3693,7.1383,177.459,0.722,-10.7906,28.79,2.081,g
4.4937,-11.6112,37.3516,0.2093,16.8653,184.572,0.3958,31.5053,1.713,2.7882,g
10.5704,-14.0925,25.0056,0.2308,16.7048,169.08,0.4562,18.3557,4.2353,2.2753,g
-37.9885,14.4754,42.1289,0.1704,16.1025,220.713,0.3121,-22.3351,12.9801,2.4969,g
16.4085,-13.2107,24.3343,0.1991,14.9489,125.972,0.3953,14.006,10.288,2.5302,g
1.5604,15.5561,17.8912,0.3818,15.0832,225.809,0.6404,11.248,44.74,2.3075,g
7.9688,14.4923,21.6327,0.2246,17.2218,186.555,0.4206,9.6019,10.615,2.5434,g
88.6317,13.1675,60.7883,0.1201,27.5272,237.768,0.2336,-19.3902,5.097,2.8868,g
82.1473,15.8013,78.6493,0.0568,34.0613,161.776,0.1103,66.0231,3.227,3.7751,g
43.638,16.3734,84.2741,0.0635,33.3225,260.378,0.1233,73.8035,3.7714,3.8949,g
46.2902,12.4317,77.5343,0.1436,18.8832,213.191,0.2584,94.0484,1.892,3.2671,g
21.9631,9.8037,20.5321,0.2582,15.3265,207.691,0.4803,14.7728,44.9,2.4829,g
39.2425,-6.915,33.7616,0.2096,14.4511,140.921,0.3759,30.9736,32.377,2.7941,g
-14.268,-26.1683,68.0121,0.1576,27.6698,313.967,0.2738,44.4184,3.9746,3.0824,g
18.2871,-8.0678,23.1657,0.2982,12.7022,193.769,0.5723,9.4278,82.0505,2.2201,g
31.7383,7.9992,42.1441,0.1966,13.7346,228.537,0.3339,19.1549,1.7038,2.7459,g
37.1098,8.4708,36.079,0.2317,13.2636,147.636,0.4301,-17.1724,26.3559,2.3793,g
59.8813,-21.7603,74.3456,0.0801,37.459,211.97,0.1521,83.1157,31.553,3.2412,g
78.3723,-27.5737,101.424,0.0421,41.0631,265.012,0.0793,90.4413,6.1992,4.1837,g
44.9467,-4.6509,43.1994,0.1431,17.501,154.427,0.2735,40.3342,7.6914,2.8011,g
47.4507,13.6166,61.6933,0.1449,18.0011,234.109,0.276,38.9838,2.926,2.9015,g
22.8049,11.7008,23.2114,0.2195,18.431,51.4993,0.414,22.652,2.8462,2.7466,g
13.6337,-7.5994,25.2455,0.1863,19.0726,229.061,0.3678,11.1564,81.6368,2.6191,g
57.955,16.129,78.2002,0.1212,23.1372,217.965,0.2005,86.1356,12.616,3.2357,g
33.1918,-7.3445,31.5256,0.3837,7.4577,189.48,0.6093,21.022,10.2785,2.3324,g
11.2262,14.2419,57.1656,0.1,19.9402,247.114,0.197,44.4537,12.267,2.9978,g
-30.4934,-12.6072,26.3353,0.1793,16.2775,194.042,0.343,-15.3203,27.835,2.6522,g
-48.0214,-9.317,45.8894,0.2059,15.7069,227.008,0.4,22.4139,1.7371,2.4065,g
36.9605,5.2607,39.2192,0.2306,14.1085,225.515,0.4064,31.7324,9.1923,2.8534,g
-25.0167,6.56,52.221,0.3125,12.2973,185.44,0.4523,-41.2341,5.096,2.6435,g
25.3507,0.0,23.1587,0.3875,0.0046,147.73,0.7675,15.0322,61.5621,2.1319,g
3.6595,-10.7783,19.7592,0.2989,12.1812,182.91,0.5419,-11.2892,18.354,2.3664,g
25.8408,15.2061,32.5377,0.1762,19.6957,136.814,0.2925,21.2875,27.297,2.8561,g
28.0575,16.5609,23.153,0.2006,21.0028,78.7331,0.3622,19.6679,27.621,2.8065,g
-2.4734,8.1078,36.9017,0.0977,24.9234,135.037,0.1855,-13.2831,1.9727,3.0876,g
-9.3565,10.0929,29.1556,0.27,12.5696,216.048,0.5257,21.4041,1.925,2.5441,g
-110.411,-14.7132,100.747,0.211,16.6321,230.713,0.3322,74.4191,0.305,2.944,g
17.6816,10.205,46.5588,0.0996,28.6929,107.747,0.1864,46.0987,12.727,3.3971,g
1.7249,8.066,33.3045,0.2029,14.4421,215.956,0.3687,-9.9052,5.2437,2.6862,g
27.7037,8.5655,29.8023,0.2882,10.9847,209.784,0.4862,24.3173,0.352,2.2999,g
35.8899,25.1406,86.5346,0.0458,40.6201,219.069,0.0915,74.5456,4.8152,4.1111,g
104.88,-6.9935,64.6445,0.1679,28.8301,261.443,0.3186,-54.6747,10.304,2.7168,g
65.7484,-11.1654,64.4081,0.1016,23.7635,224.491,0.1951,41.2256,1.0067,3.1281,g
-1.1217,-5.933,20.683,0.3649,7.2158,137.98,0.7014,7.933,56.923,2.0233,g
-132.189,-8.8232,68.8466,0.1802,17.4731,248.86,0.3029,67.6255,0.137,2.7835,g
7.1639,13.2218,31.5283,0.1945,21.6599,38.7816,0.3368,22.6167,50.0234,2.8618,g
-129.945,7.5805,90.239,0.1844,14.5621,303.714,0.3526,37.1621,3.241,2.8293,g
16.9437,-8.9597,20.9663,0.2141,12.7298,218.66,0.4282,5.9588,47.8491,2.3274,g
-14.0863,10.5095,13.0557,0.4502,10.9159,175.677,0.7613,5.2668,74.1884,2.2188,g
53.3845,16.2707,79.9539,0.1518,31.9315,171.441,0.2497,87.6757,17.7108,3.1602,g
-19.3494,-18.4786,44.9999,0.1405,25.6517,15.3696,0.2231,-12.726,46.1539,3.03,g
29.0377,-8.2908,26.611,0.2715,14.1842,135.119,0.4195,20.5257,29.5051,2.4878,g
43.5397,-10.9792,70.457,0.1496,22.9878,216.957,0.2562,68.1553,34.2372,3.0195,g
11.2818,10.8997,36.9794,0.12,24.1174,93.9373,0.2213,8.5158,46.43,2.9834,g
-0.8501,3.9635,16.3371,0.3131,11.6489,224.031,0.6036,4.6868,69.7431,2.3464,g
68.4368,-9.5179,71.2234,0.1494,17.8914,223.184,0.2557,71.1737,7.615,2.9445,g
43.4461,2.9659,45.8732,0.219,11.2837,192.525,0.3837,-19.3437,4.6366,2.5653,g
-13.7784,-25.3331,33.429,0.1538,29.8932,28.8145,0.2976,-31.4401,29.644,2.7792,g
37.3736,-12.4757,43.351,0.221,17.7081,140.19,0.3477,31.5782,20.664,2.9287,g
33.813,8.7702,56.2479,0.1103,20.9217,220.971,0.2168,36.6852,0.556,3.1942,g
-42.0608,-13.6411,100.226,0.1321,28.222,299.45,0.2179,-33.4996,4.4376,3.3769,g
-29.8832,6.9027,34.4244,0.254,9.6598,182.12,0.4888,23.1758,27.604,2.4955,g
-6.2041,-6.9374,22.2442,0.3298,11.3451,147.737,0.5581,-19.0011,6.6462,2.5735,g
-28.1468,-10.4241,37.3887,0.181,19.1897,245.343,0.3333,-21.6535,1.818,2.5843,g
-57.3109,-13.1964,92.6284,0.1134,33.594,273.371,0.1703,62.6011,6.878,3.5469,g
-14.0759,7.2235,32.2468,0.21,13.0261,168.025,0.3867,-25.0816,16.2095,2.6532,g
42.9603,-11.2019,50.0122,0.1331,17.8938,201.766,0.257,19.7787,2.8523,3.0388,g
56.2044,8.1977,63.7616,0.1356,24.1374,243.311,0.2712,57.895,3.473,3.1096,g
-76.6982,21.812,68.9648,0.1121,25.5221,253.006,0.2102,52.6603,0.402,3.1307,g
-49.9844,-25.3392,80.7093,0.0704,47.2876,280.767,0.1276,88.2266,30.763,3.5386,g
17.9069,8.9821,49.6601,0.1843,22.0999,197.243,0.3017,-25.4435,5.4509,3.1746,g
-13.6277,-7.9568,22.8274,0.311,12.9011,164.843,0.5581,-12.0722,33.5573,2.2355,g
10.7891,19.5228,50.5984,0.1315,25.8939,270.007,0.2464,35.9762,8.44,3.0586,g
1.5724,-4.5251,22.4236,0.3146,15.8256,139.193,0.4968,-20.7925,53.815,2.5938,g
24.9532,6.2648,37.6518,0.3015,15.2293,184.216,0.4805,37.9769,7.803,2.8561,g
18.4225,-11.544,21.1221,0.452,9.3478,167.109,0.697,20.1723,75.3948,2.2967,g
-88.956,-17.9763,70.4799,0.2016,18.7963,251.386,0.3142,43.637,4.5199,2.7906,g
13.4573,6.0375,26.466,0.2463,18.778,169.81,0.4044,9.0185,6.6995,2.6107,g
-1.0,-10.4173,19.4731,0.3205,12.2939,202.139,0.5219,9.8855,53.7383,2.4556,g
16.1166,-8.1819,18.9671,0.3165,12.7729,163.805,0.557,11.5546,31.4965,2.4417,g
33.7307,2.2896,33.5123,0.3104,15.0057,199.944,0.4866,27.5196,6.8985,2.4742,g
20.2038,-11.145,49.2754,0.1588,14.5068,177.428,0.3141,38.108,1.985,2.7509,g
-50.8563,24.28,114.806,0.2524,22.8821,127.577,0.3706,-130.103,41.91,2.6716,g
10.2036,8.5211,24.5581,0.1989,15.468,165.258,0.3957,12.6949,26.996,2.6628,g
3.4739,5.2467,17.1997,0.5532,7.3014,217.318,0.8312,4.489,19.79,2.2844,g
48.9056,4.4207,86.5389,0.1565,16.3152,245.673,0.3023,72.2829,1.53,2.8756,g
11.2062,-5.4993,12.871,0.5686,9.8459,146.03,0.7899,8.4149,40.035,2.2516,g
14.0562,14.7248,36.1618,0.1216,25.9263,142.269,0.2127,20.1419,33.371,3.1178,g
29.268,14.5016,21.1474,0.2658,16.8163,122.94,0.4435,-11.5756,35.595,2.5599,g
14.6416,11.6445,13.123,0.4146,10.9616,98.8626,0.7666,-4.0114,88.1516,2.1569,g
39.2808,14.9922,53.5736,0.0986,25.803,171.407,0.1956,58.4267,7.596,3.5737,g
11.2887,-10.7571,29.1123,0.1657,18.0166,190.445,0.3175,26.7753,36.953,2.635,g
18.4636,-9.3669,74.4746,0.1435,13.4246,286.639,0.2818,76.5354,5.847,2.9717,g
