fWidth,fM3Long,fSize,fDist,fConc1,fAsym,fAlpha,fM3Trans,fLength,fConc,class
71.8818,72.3016,3.8484,285.414,0.043,-56.7107,16.622,60.019,91.6423,0.078,g
21.8287,57.8212,3.3587,302.553,0.1662,-58.7854,2.005,-18.8093,86.0486,0.2369,g
17.8721,84.6189,3.033,272.038,0.108,-57.417,2.039,14.9662,90.5299,0.2122,g
9.0462,12.9487,2.3365,66.1667,0.3894,22.27,43.0032,-2.0403,20.3836,0.6359,g
27.935,66.6867,2.8848,342.504,0.1806,-18.2102,4.4265,-11.3438,87.2384,0.3155,g
29.1356,89.5136,3.5265,293.781,0.0683,-47.1175,3.312,-20.0479,107.338,0.1315,g
19.2817,23.3428,2.6375,104.283,0.2039,23.0406,77.5379,9.7216,27.2304,0.371,g
18.907,18.6858,2.6781,63.7637,0.2214,9.1616,26.881,-11.6888,26.7065,0.4281,g
9.9926,-13.8665,2.2095,185.189,0.3364,30.0056,26.5328,-8.26,23.5647,0.5679,g
19.2286,-16.3092,2.5629,109.445,0.1984,30.3637,1.521,14.3186,34.7486,0.3666,g
25.9699,39.0162,3.3194,141.601,0.1133,32.1193,22.471,-18.1839,50.4829,0.1941,g
26.7866,68.3446,3.4231,371.79,0.1761,10.4779,0.3647,-24.0948,87.4217,0.2809,g
15.9621,11.8249,2.8457,154.712,0.1762,15.8025,9.59,11.9768,34.9205,0.3267,g
19.1223,-23.1846,2.8609,199.059,0.1894,-10.3243,20.7574,11.4633,28.6609,0.3402,g
31.6833,43.08,3.1334,282.915,0.0997,-58.1243,1.5926,10.3219,75.2057,0.192,g
36.4657,86.0228,3.6809,258.597,0.0714,54.4505,17.575,16.1472,84.61,0.1393,g
20.8103,37.7755,3.0438,165.582,0.1162,-0.5056,4.25,-9.2036,45.6094,0.226,g
24.3346,34.4104,3.0404,131.601,0.1508,5.998,24.216,13.7756,37.742,0.2478,g
15.9235,26.1095,2.6906,177.008,0.1662,10.1326,2.572,-3.1071,38.1817,0.3262,g
35.582,42.6119,3.4533,372.317,0.1333,-48.0377,4.471,-26.2742,73.6263,0.2493,g
24.3855,-19.4147,3.4233,291.553,0.1375,-48.6381,0.64,16.9773,63.3453,0.2339,g
11.3962,5.0177,2.2989,169.688,0.3291,-0.8645,62.618,-5.7427,16.7608,0.5829,g
18.9149,20.242,2.5422,223.241,0.2224,30.937,19.3719,15.143,27.6746,0.3759,g
10.7145,2.4666,2.1319,107.851,0.4096,14.7178,68.604,-11.8517,13.2617,0.7823,g
21.171,52.4882,3.4303,234.581,0.1086,54.8329,4.2131,-18.9858,61.6463,0.2112,g
15.1674,16.0316,2.4338,55.7509,0.337,-4.2971,4.7998,8.0971,18.6533,0.523,g
25.1091,22.8564,3.1041,188.124,0.1279,37.2749,5.5119,16.227,38.1627,0.247,g
10.9058,-6.2434,2.1021,168.245,0.4704,13.7506,42.2408,-6.5973,12.974,0.7431,g
26.427,54.6506,3.4434,302.897,0.1273,-27.3566,0.9753,19.7834,63.2886,0.2342,g
14.6867,19.2386,2.5434,174.003,0.2332,5.8044,9.862,-10.3623,24.999,0.432,g
19.4494,-25.3956,2.7466,175.99,0.1801,-34.0069,0.2425,-6.3628,35.9913,0.3297,g
23.0143,-35.1309,2.8974,210.596,0.0994,25.9525,16.119,19.3011,44.0846,0.1963,g
22.3483,-31.2444,2.7376,272.68,0.1601,-89.2907,4.874,-19.7587,65.3574,0.2855,g
20.353,38.4208,2.8982,273.837,0.141,32.9358,16.25,11.1037,43.7724,0.2743,g
15.0766,19.1818,2.7969,169.066,0.1891,33.3189,12.9506,-6.8774,33.4858,0.3623,g
25.685,51.797,3.1553,304.585,0.1619,-25.5033,7.7301,-19.0013,92.8723,0.242,g
9.7376,-9.836,2.238,118.341,0.3266,-24.0292,63.03,-2.8001,19.6562,0.578,g
39.4755,66.0291,3.9903,340.996,0.0679,-59.0369,3.8107,-26.431,96.8578,0.1204,g
34.5134,88.912,4.1295,260.879,0.0543,21.1988,0.084,-15.3593,95.5207,0.1005,g
14.8676,-20.3785,2.567,110.258,0.294,-8.7481,6.7835,12.765,22.7945,0.5203,g
24.94,67.0539,3.4357,223.912,0.0889,27.3604,9.941,-7.3935,66.7336,0.1683,g
18.4512,-37.5851,2.699,178.647,0.167,-10.746,8.718,-13.6786,45.0172,0.284,g
13.5477,92.2613,2.4362,57.7231,0.1996,48.7119,74.5664,7.7025,99.6416,0.3846,g
7.1717,8.9641,2.1255,235.951,0.3558,-1.5465,85.103,-6.0245,20.8112,0.7041,g
31.3902,61.0636,3.359,307.321,0.1376,-34.801,9.782,20.5479,96.3755,0.2179,g
14.9817,-20.1641,2.4526,74.5242,0.2416,-32.2094,0.9075,-5.1006,30.3331,0.4762,g
7.0366,-12.1656,2.1414,146.512,0.3935,-22.9802,40.656,6.0883,20.9491,0.7292,g
28.1482,26.0127,3.2641,150.761,0.089,44.0893,0.67,22.939,49.6143,0.1769,g
9.7238,16.287,2.3064,197.338,0.2395,-12.3167,3.675,1.6476,26.9766,0.4593,g
19.8364,23.9409,2.7372,222.184,0.239,10.0066,15.9328,15.0702,29.817,0.3718,g
13.2275,-10.429,2.2188,210.819,0.2326,-25.6063,33.4008,5.5499,23.0242,0.4471,g
25.9259,50.5528,3.1984,160.519,0.075,42.2957,11.5159,-12.7104,66.1331,0.1495,g
16.0121,11.1413,3.0663,201.404,0.1644,-12.5192,17.6684,-7.5776,34.9502,0.297,g
11.4736,-18.8315,2.4661,194.384,0.4085,-15.6487,43.565,-9.9017,23.6353,0.6291,g
15.7636,-10.4986,2.4425,55.4986,0.2148,2.48,13.8089,-3.923,20.4754,0.4116,g
17.0227,54.5868,2.7997,217.856,0.1895,51.0255,5.094,-14.0979,59.7337,0.2966,g
10.2608,18.6537,2.1492,251.28,0.3156,23.4366,14.3756,-10.8294,22.6397,0.5603,g
22.1354,48.5227,3.0885,358.99,0.1937,18.6509,3.497,14.2821,92.937,0.3108,g
36.8235,60.9768,3.8026,306.55,0.0809,-24.0564,2.643,26.1668,86.5636,0.1508,g
12.0817,13.6391,2.7763,201.01,0.1615,18.1724,3.7449,6.5266,39.3737,0.3213,g
20.9786,43.3331,3.1361,219.077,0.1626,23.2559,7.6147,12.715,41.2629,0.2807,g
33.6384,98.5182,3.8899,158.618,0.0805,22.0971,3.689,14.069,89.8648,0.1487,g
17.775,-25.5307,2.5993,120.263,0.2453,-16.3719,81.8671,14.8483,24.999,0.4327,g
14.6976,17.3916,2.2934,130.918,0.2824,-6.8054,13.17,-4.9889,19.5793,0.514,g
6.832,-0.1704,2.1804,95.7374,0.3531,25.981,35.4993,6.6103,21.8344,0.7063,g
33.3742,75.0174,3.9208,255.315,0.0667,99.2131,2.428,-14.3854,87.5837,0.125,g
15.4395,-40.3603,2.4298,32.6827,0.2955,-45.8108,1.886,-9.3853,53.7339,0.4572,g
19.6402,29.1531,2.8429,227.336,0.2534,29.9825,8.376,12.4846,34.889,0.3747,g
16.2578,37.9125,2.7308,213.317,0.1812,47.4405,17.671,16.1237,41.0677,0.3532,g
12.245,55.2047,2.8052,230.089,0.1433,3.5656,1.3841,8.5485,60.0261,0.26,g
30.2255,48.4611,3.1573,294.746,0.0929,-66.4032,2.936,-24.9966,70.0322,0.1775,g
23.0735,63.076,2.9914,363.489,0.1627,-36.5281,4.029,-12.2594,74.5714,0.3182,g
31.8209,58.1668,3.7043,327.992,0.1232,-2.4392,0.2442,-14.371,77.9219,0.2059,g
26.3821,25.4219,2.7966,299.173,0.2005,-38.1241,6.4974,17.0574,39.1755,0.345,g
10.4502,-7.66,2.2718,147.236,0.3289,1.7266,43.3661,-6.3001,18.1607,0.6043,g
12.0898,15.7982,2.4048,193.349,0.2303,7.0323,24.847,6.2085,25.4762,0.4134,g
16.2843,-15.9867,2.5605,235.203,0.2655,-8.8017,83.8081,10.389,23.4494,0.4539,g
15.6976,-17.7455,2.5072,193.794,0.2037,-2.3114,12.1807,-11.3244,32.0586,0.3826,g
11.7563,-6.5384,2.4074,219.394,0.4051,-0.0948,69.2291,11.397,18.4475,0.5714,g
25.658,30.5051,3.0414,91.228,0.1023,39.265,0.6344,-23.3496,41.4001,0.2036,g
11.2825,-48.92,3.0071,293.081,0.1923,-68.649,2.5099,6.7814,92.5854,0.3119,g
16.1814,23.7665,2.5496,168.084,0.165,-51.8263,39.189,7.7365,29.3424,0.3272,g
18.509,-29.0817,2.747,159.704,0.1603,28.7838,4.798,-7.859,47.8275,0.2775,g
19.5552,34.5939,2.5545,282.616,0.1939,-44.1258,23.149,16.6915,73.2547,0.357,g
12.5473,14.9018,2.4099,183.852,0.2354,16.3451,4.1527,5.6343,26.0862,0.4397,g
17.6341,50.552,2.7727,302.219,0.1612,-97.071,1.854,-14.982,94.2369,0.297,g
15.08,-29.3931,2.3927,154.264,0.2126,-21.4336,13.741,13.3864,38.1089,0.3887,g
17.46,-7.6514,2.5821,166.95,0.2134,-49.0296,25.657,5.127,33.5874,0.3979,g
20.0939,41.463,3.3959,189.155,0.1236,38.7703,3.6565,9.3292,50.8293,0.2162,g
12.8142,-8.9993,2.5391,72.7386,0.3078,-12.5331,65.2451,12.3285,25.0275,0.4884,g
17.7678,-8.159,2.8439,109.02,0.2357,-1.6706,23.821,-15.8111,26.8928,0.3782,g
6.8084,-17.4113,2.2504,146.596,0.3174,-7.7092,27.549,-2.8594,28.0883,0.5899,g
12.3164,20.673,2.57,142.372,0.214,17.8018,23.123,-6.2792,35.8144,0.393,g
14.6309,-19.1932,2.6464,69.2467,0.2223,6.1452,24.109,11.3697,29.3108,0.4402,g
0.0,5.2697,2.2,182.016,0.571,-0.5678,34.817,0.0,19.6419,0.795,g
8.8987,14.1032,2.3181,128.707,0.4543,23.9812,27.014,-7.0892,23.6924,0.6683,g
18.5665,6.1522,2.8639,188.636,0.1854,2.8405,23.5868,-10.0668,27.4888,0.3078,g
33.2446,129.932,3.1921,188.983,0.0806,98.9071,2.582,-17.914,117.749,0.1606,g
19.2128,4.6154,2.7657,152.596,0.1655,-12.9068,41.065,8.1139,26.8971,0.319,g
10.8032,1.8356,2.224,181.817,0.4209,-14.5262,54.0277,-11.7029,13.1994,0.7761,g
12.8638,11.1073,2.4564,149.657,0.236,-24.1639,47.777,7.8713,25.1576,0.4615,g
15.8708,18.329,2.4526,48.9988,0.2945,18.9639,2.5957,5.3072,18.2028,0.5115,g
19.8319,52.5046,3.1041,288.263,0.1334,-96.9809,0.45,-12.6086,70.6584,0.2541,g
39.5491,70.4115,3.9457,327.251,0.077,-157.872,4.0677,22.1504,101.703,0.1462,g
23.5601,-33.4621,2.8837,94.0063,0.0922,-49.22,20.194,11.5684,58.1232,0.1791,g
17.3249,17.0726,2.5916,91.6373,0.2446,11.7553,25.7775,-12.0534,20.7445,0.4686,g
16.5703,39.648,2.8943,250.91,0.1103,71.8585,1.574,10.7621,56.2418,0.2092,g
24.5132,48.9676,3.3917,233.617,0.0651,83.3498,2.9261,-12.3834,70.2768,0.1294,g
32.2546,66.9446,3.7262,295.38,0.0893,35.5667,4.155,12.8892,81.2317,0.1694,g
17.1981,13.1053,2.5804,99.7447,0.2142,46.6935,40.3711,15.3472,32.7059,0.4074,g
20.2021,26.362,3.2909,182.477,0.1343,-4.4911,0.6925,-11.1395,42.3725,0.2533,g
14.9183,76.0508,2.8445,272.617,0.1581,36.0787,5.066,-10.599,80.3994,0.3004,g
19.0735,25.194,2.2911,316.47,0.422,16.7068,74.308,-14.8757,25.5688,0.7161,g
11.2814,5.8021,2.4116,190.039,0.3314,-1.2345,18.5125,6.0007,16.9286,0.5736,g
17.772,-16.9343,2.5821,114.938,0.2579,-14.6576,17.1286,-14.4939,18.8734,0.4686,g
21.2966,-11.6112,2.9974,163.722,0.1554,-4.6579,11.6079,11.8667,34.1619,0.2907,g
21.6966,17.6318,2.934,151.522,0.1857,23.3297,27.943,-18.5123,30.0005,0.3062,g
32.4617,28.2927,2.7938,308.373,0.1889,-20.4985,9.628,28.1989,41.3848,0.3521,g
13.6075,-12.8844,2.3738,78.9436,0.2939,-12.181,66.649,11.3032,25.2228,0.4989,g
10.3849,-17.6826,2.316,232.154,0.2923,5.8526,1.5485,10.2235,21.6891,0.5604,g
12.8876,12.7741,2.4191,199.96,0.2648,12.5054,26.586,-8.1001,20.5839,0.4724,g
10.6551,21.1038,2.3701,147.489,0.3006,10.6071,41.563,3.9151,25.2091,0.4989,g
13.2892,-25.7479,2.3664,201.751,0.329,-32.1031,1.2543,7.0429,35.7062,0.5204,g
22.612,-25.4533,3.2496,229.768,0.1084,-100.913,3.121,16.5613,62.6886,0.2077,g
7.3095,10.3719,2.1383,173.073,0.4109,-3.5091,24.7838,-4.8598,19.7366,0.7636,g
18.1279,46.8981,2.9917,203.072,0.1177,19.6222,6.955,-10.5913,48.4695,0.2345,g
0.0,-15.2145,2.1629,210.833,0.4021,5.3609,80.3449,0.0,22.5702,0.7904,g
10.4383,10.1469,2.2529,159.544,0.3156,22.8063,15.8259,5.3027,18.249,0.6034,g
13.01,20.1871,2.4778,136.651,0.4409,28.2765,13.6965,10.6797,28.4148,0.5923,g
13.413,33.8544,2.8092,178.462,0.1497,41.1158,2.608,8.2134,47.6,0.2762,g
17.6866,27.6711,2.7551,196.918,0.275,15.898,8.709,-8.487,33.3528,0.3796,g
26.8347,95.3544,3.5327,256.435,0.077,29.7042,3.2128,12.0158,97.794,0.1516,g
10.1083,7.4928,2.1973,166.287,0.5238,12.3051,58.845,10.0776,13.1155,0.8,g
21.5505,27.9502,2.9462,309.622,0.2054,-53.2694,6.087,-20.7681,52.8479,0.3667,g
20.5874,16.0028,2.9117,233.346,0.1219,-5.5945,0.774,-10.1794,40.6097,0.2304,g
33.6033,43.5019,3.8528,246.341,0.073,-84.0021,0.7567,-23.9483,65.6069,0.1433,g
26.2233,46.5522,3.5143,284.652,0.1088,44.5465,1.919,18.3607,63.8128,0.1958,g
9.7776,16.5945,2.2068,236.65,0.2888,-4.0544,9.215,10.4839,22.5539,0.559,g
14.838,53.9825,2.8808,289.536,0.1678,-110.45,5.235,12.1712,59.817,0.3132,g
9.7779,-14.8614,2.4241,225.566,0.3145,-12.2606,29.844,-11.7431,27.1044,0.5198,g
12.7202,15.5208,2.356,120.076,0.3722,8.4346,22.3655,-9.1862,21.776,0.6344,g
6.839,14.9016,2.2844,175.992,0.4545,20.3461,2.7533,5.7986,20.6454,0.774,g
39.9496,83.687,4.0942,256.828,0.0406,-105.167,3.0094,32.7482,91.6174,0.0806,g
18.7033,33.7518,2.6128,146.803,0.1378,42.4917,4.182,12.0692,60.8598,0.2561,g
15.0526,14.3568,2.9805,225.707,0.2202,15.679,2.0711,4.1406,35.577,0.3964,g
24.2115,2.8864,2.7197,157.613,0.1268,-23.7309,22.951,-11.5139,31.6173,0.2402,g
29.9215,-20.0659,3.0755,335.983,0.1735,-44.0508,4.7597,-14.117,85.9355,0.3134,g
12.6181,15.066,2.404,132.889,0.2939,14.1429,36.457,7.8845,20.0777,0.5286,g
30.8693,54.7397,3.4791,264.642,0.1113,26.7671,1.1057,-29.0666,59.6124,0.1888,g
19.2006,42.1489,3.008,291.175,0.1537,-47.3236,4.087,-10.2088,72.969,0.2749,g
7.1982,-8.8118,2.2443,189.577,0.3618,1.5153,88.4999,5.9528,20.7154,0.7066,g
10.0712,16.856,2.4289,216.895,0.3184,7.3563,10.378,-7.645,23.807,0.5624,g
17.4654,19.777,2.616,256.869,0.3087,17.1472,0.8652,-14.2938,24.38,0.4915,g
15.3246,29.2074,2.4786,109.517,0.2176,-57.2893,12.715,-5.1062,36.5237,0.4252,g
12.8813,17.2241,2.5085,174.401,0.4264,8.3826,58.903,8.0364,19.0154,0.6326,g
12.8584,-14.9193,2.534,131.247,0.3173,-19.4911,6.2472,8.3832,23.8915,0.5088,g
17.9964,-62.4659,2.7404,288.194,0.2464,-55.8407,10.08,-17.9965,82.3156,0.3636,g
14.3361,58.5437,3.096,286.265,0.1607,-54.9261,0.644,-5.9832,72.8104,0.307,g
7.2419,-9.6562,2.1775,159.126,0.3754,2.1721,9.1256,-5.7228,20.4525,0.7243,g
20.0571,-15.0956,2.5224,86.2468,0.3739,-1.574,47.786,-11.354,23.6179,0.5495,g
29.9756,24.4273,3.6714,228.254,0.0898,20.4369,4.142,-24.8336,80.0169,0.1577,g
7.1383,-10.7906,2.081,177.459,0.3693,-23.7708,28.79,-5.9792,20.7779,0.722,g
16.8653,31.5053,2.7882,184.572,0.2093,4.4937,1.713,-11.6112,37.3516,0.3958,g
16.7048,18.3557,2.2753,169.08,0.2308,10.5704,4.2353,-14.0925,25.0056,0.4562,g
16.1025,-22.3351,2.4969,220.713,0.1704,-37.9885,12.9801,14.4754,42.1289,0.3121,g
14.9489,14.006,2.5302,125.972,0.1991,16.4085,10.288,-13.2107,24.3343,0.3953,g
15.0832,11.248,2.3075,225.809,0.3818,1.5604,44.74,15.5561,17.8912,0.6404,g
17.2218,9.6019,2.5434,186.555,0.2246,7.9688,10.615,14.4923,21.6327,0.4206,g
27.5272,-19.3902,2.8868,237.768,0.1201,88.6317,5.097,13.1675,60.7883,0.2336,g
34.0613,66.0231,3.7751,161.776,0.0568,82.1473,3.227,15.8013,78.6493,0.1103,g
33.3225,73.8035,3.8949,260.378,0.0635,43.638,3.7714,16.3734,84.2741,0.1233,g
18.8832,94.0484,3.2671,213.191,0.1436,46.2902,1.892,12.4317,77.5343,0.2584,g
15.3265,14.7728,2.4829,207.691,0.2582,21.9631,44.9,9.8037,20.5321,0.4803,g
14.4511,30.9736,2.7941,140.921,0.2096,39.2425,32.377,-6.915,33.7616,0.3759,g
27.6698,44.4184,3.0824,313.967,0.1576,-14.268,3.9746,-26.1683,68.0121,0.2738,g
12.7022,9.4278,2.2201,193.769,0.2982,18.2871,82.0505,-8.0678,23.1657,0.5723,g
13.7346,19.1549,2.7459,228.537,0.1966,31.7383,1.7038,7.9992,42.1441,0.3339,g
13.2636,-17.1724,2.3793,147.636,0.2317,37.1098,26.3559,8.4708,36.079,0.4301,g
37.459,83.1157,3.2412,211.97,0.0801,59.8813,31.553,-21.7603,74.3456,0.1521,g
41.0631,90.4413,4.1837,265.012,0.0421,78.3723,6.1992,-27.5737,101.424,0.0793,g
17.501,40.3342,2.8011,154.427,0.1431,44.9467,7.6914,-4.6509,43.1994,0.2735,g
18.0011,38.9838,2.9015,234.109,0.1449,47.4507,2.926,13.6166,61.6933,0.276,g
18.431,22.652,2.7466,51.4993,0.2195,22.8049,2.8462,11.7008,23.2114,0.414,g
19.0726,11.1564,2.6191,229.061,0.1863,13.6337,81.6368,-7.5994,25.2455,0.3678,g
23.1372,86.1356,3.2357,217.965,0.1212,57.955,12.616,16.129,78.2002,0.2005,g
7.4577,21.022,2.3324,189.48,0.3837,33.1918,10.2785,-7.3445,31.5256,0.6093,g
19.9402,44.4537,2.9978,247.114,0.1,11.2262,12.267,14.2419,57.1656,0.197,g
16.2775,-15.3203,2.6522,194.042,0.1793,-30.4934,27.835,-12.6072,26.3353,0.343,g
15.7069,22.4139,2.4065,227.008,0.2059,-48.0214,1.7371,-9.317,45.8894,0.4,g
14.1085,31.7324,2.8534,225.515,0.2306,36.9605,9.1923,5.2607,39.2192,0.4064,g
12.2973,-41.2341,2.6435,185.44,0.3125,-25.0167,5.096,6.56,52.221,0.4523,g
0.0046,15.0322,2.1319,147.73,0.3875,25.3507,61.5621,0.0,23.1587,0.7675,g
12.1812,-11.2892,2.3664,182.91,0.2989,3.6595,18.354,-10.7783,19.7592,0.5419,g
19.6957,21.2875,2.8561,136.814,0.1762,25.8408,27.297,15.2061,32.5377,0.2925,g
21.0028,19.6679,2.8065,78.7331,0.2006,28.0575,27.621,16.5609,23.153,0.3622,g
24.9234,-13.2831,3.0876,135.037,0.0977,-2.4734,1.9727,8.1078,36.9017,0.1855,g
12.5696,21.4041,2.5441,216.048,0.27,-9.3565,1.925,10.0929,29.1556,0.5257,g
16.6321,74.4191,2.944,230.713,0.211,-110.411,0.305,-14.7132,100.747,0.3322,g
28.6929,46.0987,3.3971,107.747,0.0996,17.6816,12.727,10.205,46.5588,0.1864,g
14.4421,-9.9052,2.6862,215.956,0.2029,1.7249,5.2437,8.066,33.3045,0.3687,g
10.9847,24.3173,2.2999,209.784,0.2882,27.7037,0.352,8.5655,29.8023,0.4862,g
40.6201,74.5456,4.1111,219.069,0.0458,35.8899,4.8152,25.1406,86.5346,0.0915,g
28.8301,-54.6747,2.7168,261.443,0.1679,104.88,10.304,-6.9935,64.6445,0.3186,g
23.7635,41.2256,3.1281,224.491,0.1016,65.7484,1.0067,-11.1654,64.4081,0.1951,g
7.2158,7.933,2.0233,137.98,0.3649,-1.1217,56.923,-5.933,20.683,0.7014,g
17.4731,67.6255,2.7835,248.86,0.1802,-132.189,0.137,-8.8232,68.8466,0.3029,g
21.6599,22.6167,2.8618,38.7816,0.1945,7.1639,50.0234,13.2218,31.5283,0.3368,g
14.5621,37.1621,2.8293,303.714,0.1844,-129.945,3.241,7.5805,90.239,0.3526,g
12.7298,5.9588,2.3274,218.66,0.2141,16.9437,47.8491,-8.9597,20.9663,0.4282,g
10.9159,5.2668,2.2188,175.677,0.4502,-14.0863,74.1884,10.5095,13.0557,0.7613,g
31.9315,87.6757,3.1602,171.441,0.1518,53.3845,17.7108,16.2707,79.9539,0.2497,g
25.6517,-12.726,3.03,15.3696,0.1405,-19.3494,46.1539,-18.4786,44.9999,0.2231,g
14.1842,20.5257,2.4878,135.119,0.2715,29.0377,29.5051,-8.2908,26.611,0.4195,g
22.9878,68.1553,3.0195,216.957,0.1496,43.5397,34.2372,-10.9792,70.457,0.2562,g
24.1174,8.5158,2.9834,93.9373,0.12,11.2818,46.43,10.8997,36.9794,0.2213,g
11.6489,4.6868,2.3464,224.031,0.3131,-0.8501,69.7431,3.9635,16.3371,0.6036,g
17.8914,71.1737,2.9445,223.184,0.1494,68.4368,7.615,-9.5179,71.2234,0.2557,g
11.2837,-19.3437,2.5653,192.525,0.219,43.4461,4.6366,2.9659,45.8732,0.3837,g
29.8932,-31.4401,2.7792,28.8145,0.1538,-13.7784,29.644,-25.3331,33.429,0.2976,g
17.7081,31.5782,2.9287,140.19,0.221,37.3736,20.664,-12.4757,43.351,0.3477,g
20.9217,36.6852,3.1942,220.971,0.1103,33.813,0.556,8.7702,56.2479,0.2168,g
28.222,-33.4996,3.3769,299.45,0.1321,-42.0608,4.4376,-13.6411,100.226,0.2179,g
9.6598,23.1758,2.4955,182.12,0.254,-29.8832,27.604,6.9027,34.4244,0.4888,g
11.3451,-19.0011,2.5735,147.737,0.3298,-6.2041,6.6462,-6.9374,22.2442,0.5581,g
19.1897,-21.6535,2.5843,245.343,0.181,-28.1468,1.818,-10.4241,37.3887,0.3333,g
33.594,62.6011,3.5469,273.371,0.1134,-57.3109,6.878,-13.1964,92.6284,0.1703,g
13.0261,-25.0816,2.6532,168.025,0.21,-14.0759,16.2095,7.2235,32.2468,0.3867,g
17.8938,19.7787,3.0388,201.766,0.1331,42.9603,2.8523,-11.2019,50.0122,0.257,g
24.1374,57.895,3.1096,243.311,0.1356,56.2044,3.473,8.1977,63.7616,0.2712,g
25.5221,52.6603,3.1307,253.006,0.1121,-76.6982,0.402,21.812,68.9648,0.2102,g
47.2876,88.2266,3.5386,280.767,0.0704,-49.9844,30.763,-25.3392,80.7093,0.1276,g
22.0999,-25.4435,3.1746,197.243,0.1843,17.9069,5.4509,8.9821,49.6601,0.3017,g
12.9011,-12.0722,2.2355,164.843,0.311,-13.6277,33.5573,-7.9568,22.8274,0.5581,g
25.8939,35.9762,3.0586,270.007,0.1315,10.7891,8.44,19.5228,50.5984,0.2464,g
15.8256,-20.7925,2.5938,139.193,0.3146,1.5724,53.815,-4.5251,22.4236,0.4968,g
15.2293,37.9769,2.8561,184.216,0.3015,24.9532,7.803,6.2648,37.6518,0.4805,g
9.3478,20.1723,2.2967,167.109,0.452,18.4225,75.3948,-11.544,21.1221,0.697,g
18.7963,43.637,2.7906,251.386,0.2016,-88.956,4.5199,-17.9763,70.4799,0.3142,g
18.778,9.0185,2.6107,169.81,0.2463,13.4573,6.6995,6.0375,26.466,0.4044,g
12.2939,9.8855,2.4556,202.139,0.3205,-1.0,53.7383,-10.4173,19.4731,0.5219,g
12.7729,11.5546,2.4417,163.805,0.3165,16.1166,31.4965,-8.1819,18.9671,0.557,g
15.0057,27.5196,2.4742,199.944,0.3104,33.7307,6.8985,2.2896,33.5123,0.4866,g
14.5068,38.108,2.7509,177.428,0.1588,20.2038,1.985,-11.145,49.2754,0.3141,g
22.8821,-130.103,2.6716,127.577,0.2524,-50.8563,41.91,24.28,114.806,0.3706,g
15.468,12.6949,2.6628,165.258,0.1989,10.2036,26.996,8.5211,24.5581,0.3957,g
7.3014,4.489,2.2844,217.318,0.5532,3.4739,19.79,5.2467,17.1997,0.8312,g
16.3152,72.2829,2.8756,245.673,0.1565,48.9056,1.53,4.4207,86.5389,0.3023,g
9.8459,8.4149,2.2516,146.03,0.5686,11.2062,40.035,-5.4993,12.871,0.7899,g
25.9263,20.1419,3.1178,142.269,0.1216,14.0562,33.371,14.7248,36.1618,0.2127,g
16.8163,-11.5756,2.5599,122.94,0.2658,29.268,35.595,14.5016,21.1474,0.4435,g
10.9616,-4.0114,2.1569,98.8626,0.4146,14.6416,88.1516,11.6445,13.123,0.7666,g
25.803,58.4267,3.5737,171.407,0.0986,39.2808,7.596,14.9922,53.5736,0.1956,g
18.0166,26.7753,2.635,190.445,0.1657,11.2887,36.953,-10.7571,29.1123,0.3175,g
13.4246,76.5354,2.9717,286.639,0.1435,18.4636,5.847,-9.3669,74.4746,0.2818,g
