fDist,fLength,fWidth,fAlpha,fSize,fConc,fConc1,fM3Trans,fAsym,fM3Long,class
221.806,44.7394,15.6364,3.251,2.638,0.3107,0.1715,12.4183,14.043,37.2246,g
285.414,91.6423,71.8818,16.622,3.8484,0.078,0.043,60.019,-56.7107,72.3016,g
302.553,86.0486,21.8287,2.005,3.3587,0.2369,0.1662,-18.8093,-58.7854,57.8212,g
272.038,90.5299,17.8721,2.039,3.033,0.2122,0.108,14.9662,-57.417,84.6189,g
66.1667,20.3836,9.0462,43.0032,2.3365,0.6359,0.3894,-2.0403,22.27,12.9487,g
342.504,87.2384,27.935,4.4265,2.8848,0.3155,0.1806,-11.3438,-18.2102,66.6867,g
293.781,107.338,29.1356,3.312,3.5265,0.1315,0.0683,-20.0479,-47.1175,89.5136,g
104.283,27.2304,19.2817,77.5379,2.6375,0.371,0.2039,9.7216,23.0406,23.3428,g
63.7637,26.7065,18.907,26.881,2.6781,0.4281,0.2214,-11.6888,9.1616,18.6858,g
185.189,23.5647,9.9926,26.5328,2.2095,0.5679,0.3364,-8.26,30.0056,-13.8665,g
109.445,34.7486,19.2286,1.521,2.5629,0.3666,0.1984,14.3186,30.3637,-16.3092,g
141.601,50.4829,25.9699,22.471,3.3194,0.1941,0.1133,-18.1839,32.1193,39.0162,g
371.79,87.4217,26.7866,0.3647,3.4231,0.2809,0.1761,-24.0948,10.4779,68.3446,g
154.712,34.9205,15.9621,9.59,2.8457,0.3267,0.1762,11.9768,15.8025,11.8249,g
199.059,28.6609,19.1223,20.7574,2.8609,0.3402,0.1894,11.4633,-10.3243,-23.1846,g
282.915,75.2057,31.6833,1.5926,3.1334,0.192,0.0997,10.3219,-58.1243,43.08,g
258.597,84.61,36.4657,17.575,3.6809,0.1393,0.0714,16.1472,54.4505,86.0228,g
165.582,45.6094,20.8103,4.25,3.0438,0.226,0.1162,-9.2036,-0.5056,37.7755,g
131.601,37.742,24.3346,24.216,3.0404,0.2478,0.1508,13.7756,5.998,34.4104,g
177.008,38.1817,15.9235,2.572,2.6906,0.3262,0.1662,-3.1071,10.1326,26.1095,g
372.317,73.6263,35.582,4.471,3.4533,0.2493,0.1333,-26.2742,-48.0377,42.6119,g
291.553,63.3453,24.3855,0.64,3.4233,0.2339,0.1375,16.9773,-48.6381,-19.4147,g
169.688,16.7608,11.3962,62.618,2.2989,0.5829,0.3291,-5.7427,-0.8645,5.0177,g
223.241,27.6746,18.9149,19.3719,2.5422,0.3759,0.2224,15.143,30.937,20.242,g
107.851,13.2617,10.7145,68.604,2.1319,0.7823,0.4096,-11.8517,14.7178,2.4666,g
234.581,61.6463,21.171,4.2131,3.4303,0.2112,0.1086,-18.9858,54.8329,52.4882,g
55.7509,18.6533,15.1674,4.7998,2.4338,0.523,0.337,8.0971,-4.2971,16.0316,g
188.124,38.1627,25.1091,5.5119,3.1041,0.247,0.1279,16.227,37.2749,22.8564,g
168.245,12.974,10.9058,42.2408,2.1021,0.7431,0.4704,-6.5973,13.7506,-6.2434,g
302.897,63.2886,26.427,0.9753,3.4434,0.2342,0.1273,19.7834,-27.3566,54.6506,g
174.003,24.999,14.6867,9.862,2.5434,0.432,0.2332,-10.3623,5.8044,19.2386,g
175.99,35.9913,19.4494,0.2425,2.7466,0.3297,0.1801,-6.3628,-34.0069,-25.3956,g
210.596,44.0846,23.0143,16.119,2.8974,0.1963,0.0994,19.3011,25.9525,-35.1309,g
272.68,65.3574,22.3483,4.874,2.7376,0.2855,0.1601,-19.7587,-89.2907,-31.2444,g
273.837,43.7724,20.353,16.25,2.8982,0.2743,0.141,11.1037,32.9358,38.4208,g
169.066,33.4858,15.0766,12.9506,2.7969,0.3623,0.1891,-6.8774,33.3189,19.1818,g
304.585,92.8723,25.685,7.7301,3.1553,0.242,0.1619,-19.0013,-25.5033,51.797,g
118.341,19.6562,9.7376,63.03,2.238,0.578,0.3266,-2.8001,-24.0292,-9.836,g
340.996,96.8578,39.4755,3.8107,3.9903,0.1204,0.0679,-26.431,-59.0369,66.0291,g
260.879,95.5207,34.5134,0.084,4.1295,0.1005,0.0543,-15.3593,21.1988,88.912,g
110.258,22.7945,14.8676,6.7835,2.567,0.5203,0.294,12.765,-8.7481,-20.3785,g
223.912,66.7336,24.94,9.941,3.4357,0.1683,0.0889,-7.3935,27.3604,67.0539,g
178.647,45.0172,18.4512,8.718,2.699,0.284,0.167,-13.6786,-10.746,-37.5851,g
57.7231,99.6416,13.5477,74.5664,2.4362,0.3846,0.1996,7.7025,48.7119,92.2613,g
235.951,20.8112,7.1717,85.103,2.1255,0.7041,0.3558,-6.0245,-1.5465,8.9641,g
307.321,96.3755,31.3902,9.782,3.359,0.2179,0.1376,20.5479,-34.801,61.0636,g
74.5242,30.3331,14.9817,0.9075,2.4526,0.4762,0.2416,-5.1006,-32.2094,-20.1641,g
146.512,20.9491,7.0366,40.656,2.1414,0.7292,0.3935,6.0883,-22.9802,-12.1656,g
150.761,49.6143,28.1482,0.67,3.2641,0.1769,0.089,22.939,44.0893,26.0127,g
197.338,26.9766,9.7238,3.675,2.3064,0.4593,0.2395,1.6476,-12.3167,16.287,g
222.184,29.817,19.8364,15.9328,2.7372,0.3718,0.239,15.0702,10.0066,23.9409,g
210.819,23.0242,13.2275,33.4008,2.2188,0.4471,0.2326,5.5499,-25.6063,-10.429,g
160.519,66.1331,25.9259,11.5159,3.1984,0.1495,0.075,-12.7104,42.2957,50.5528,g
201.404,34.9502,16.0121,17.6684,3.0663,0.297,0.1644,-7.5776,-12.5192,11.1413,g
194.384,23.6353,11.4736,43.565,2.4661,0.6291,0.4085,-9.9017,-15.6487,-18.8315,g
55.4986,20.4754,15.7636,13.8089,2.4425,0.4116,0.2148,-3.923,2.48,-10.4986,g
217.856,59.7337,17.0227,5.094,2.7997,0.2966,0.1895,-14.0979,51.0255,54.5868,g
251.28,22.6397,10.2608,14.3756,2.1492,0.5603,0.3156,-10.8294,23.4366,18.6537,g
358.99,92.937,22.1354,3.497,3.0885,0.3108,0.1937,14.2821,18.6509,48.5227,g
306.55,86.5636,36.8235,2.643,3.8026,0.1508,0.0809,26.1668,-24.0564,60.9768,g
201.01,39.3737,12.0817,3.7449,2.7763,0.3213,0.1615,6.5266,18.1724,13.6391,g
219.077,41.2629,20.9786,7.6147,3.1361,0.2807,0.1626,12.715,23.2559,43.3331,g
158.618,89.8648,33.6384,3.689,3.8899,0.1487,0.0805,14.069,22.0971,98.5182,g
120.263,24.999,17.775,81.8671,2.5993,0.4327,0.2453,14.8483,-16.3719,-25.5307,g
130.918,19.5793,14.6976,13.17,2.2934,0.514,0.2824,-4.9889,-6.8054,17.3916,g
95.7374,21.8344,6.832,35.4993,2.1804,0.7063,0.3531,6.6103,25.981,-0.1704,g
255.315,87.5837,33.3742,2.428,3.9208,0.125,0.0667,-14.3854,99.2131,75.0174,g
32.6827,53.7339,15.4395,1.886,2.4298,0.4572,0.2955,-9.3853,-45.8108,-40.3603,g
227.336,34.889,19.6402,8.376,2.8429,0.3747,0.2534,12.4846,29.9825,29.1531,g
213.317,41.0677,16.2578,17.671,2.7308,0.3532,0.1812,16.1237,47.4405,37.9125,g
230.089,60.0261,12.245,1.3841,2.8052,0.26,0.1433,8.5485,3.5656,55.2047,g
294.746,70.0322,30.2255,2.936,3.1573,0.1775,0.0929,-24.9966,-66.4032,48.4611,g
363.489,74.5714,23.0735,4.029,2.9914,0.3182,0.1627,-12.2594,-36.5281,63.076,g
327.992,77.9219,31.8209,0.2442,3.7043,0.2059,0.1232,-14.371,-2.4392,58.1668,g
299.173,39.1755,26.3821,6.4974,2.7966,0.345,0.2005,17.0574,-38.1241,25.4219,g
147.236,18.1607,10.4502,43.3661,2.2718,0.6043,0.3289,-6.3001,1.7266,-7.66,g
193.349,25.4762,12.0898,24.847,2.4048,0.4134,0.2303,6.2085,7.0323,15.7982,g
235.203,23.4494,16.2843,83.8081,2.5605,0.4539,0.2655,10.389,-8.8017,-15.9867,g
193.794,32.0586,15.6976,12.1807,2.5072,0.3826,0.2037,-11.3244,-2.3114,-17.7455,g
219.394,18.4475,11.7563,69.2291,2.4074,0.5714,0.4051,11.397,-0.0948,-6.5384,g
91.228,41.4001,25.658,0.6344,3.0414,0.2036,0.1023,-23.3496,39.265,30.5051,g
293.081,92.5854,11.2825,2.5099,3.0071,0.3119,0.1923,6.7814,-68.649,-48.92,g
168.084,29.3424,16.1814,39.189,2.5496,0.3272,0.165,7.7365,-51.8263,23.7665,g
159.704,47.8275,18.509,4.798,2.747,0.2775,0.1603,-7.859,28.7838,-29.0817,g
282.616,73.2547,19.5552,23.149,2.5545,0.357,0.1939,16.6915,-44.1258,34.5939,g
183.852,26.0862,12.5473,4.1527,2.4099,0.4397,0.2354,5.6343,16.3451,14.9018,g
302.219,94.2369,17.6341,1.854,2.7727,0.297,0.1612,-14.982,-97.071,50.552,g
154.264,38.1089,15.08,13.741,2.3927,0.3887,0.2126,13.3864,-21.4336,-29.3931,g
166.95,33.5874,17.46,25.657,2.5821,0.3979,0.2134,5.127,-49.0296,-7.6514,g
189.155,50.8293,20.0939,3.6565,3.3959,0.2162,0.1236,9.3292,38.7703,41.463,g
72.7386,25.0275,12.8142,65.2451,2.5391,0.4884,0.3078,12.3285,-12.5331,-8.9993,g
109.02,26.8928,17.7678,23.821,2.8439,0.3782,0.2357,-15.8111,-1.6706,-8.159,g
146.596,28.0883,6.8084,27.549,2.2504,0.5899,0.3174,-2.8594,-7.7092,-17.4113,g
142.372,35.8144,12.3164,23.123,2.57,0.393,0.214,-6.2792,17.8018,20.673,g
69.2467,29.3108,14.6309,24.109,2.6464,0.4402,0.2223,11.3697,6.1452,-19.1932,g
182.016,19.6419,0.0,34.817,2.2,0.795,0.571,0.0,-0.5678,5.2697,g
128.707,23.6924,8.8987,27.014,2.3181,0.6683,0.4543,-7.0892,23.9812,14.1032,g
188.636,27.4888,18.5665,23.5868,2.8639,0.3078,0.1854,-10.0668,2.8405,6.1522,g
188.983,117.749,33.2446,2.582,3.1921,0.1606,0.0806,-17.914,98.9071,129.932,g
152.596,26.8971,19.2128,41.065,2.7657,0.319,0.1655,8.1139,-12.9068,4.6154,g
181.817,13.1994,10.8032,54.0277,2.224,0.7761,0.4209,-11.7029,-14.5262,1.8356,g
149.657,25.1576,12.8638,47.777,2.4564,0.4615,0.236,7.8713,-24.1639,11.1073,g
48.9988,18.2028,15.8708,2.5957,2.4526,0.5115,0.2945,5.3072,18.9639,18.329,g
288.263,70.6584,19.8319,0.45,3.1041,0.2541,0.1334,-12.6086,-96.9809,52.5046,g
327.251,101.703,39.5491,4.0677,3.9457,0.1462,0.077,22.1504,-157.872,70.4115,g
94.0063,58.1232,23.5601,20.194,2.8837,0.1791,0.0922,11.5684,-49.22,-33.4621,g
91.6373,20.7445,17.3249,25.7775,2.5916,0.4686,0.2446,-12.0534,11.7553,17.0726,g
250.91,56.2418,16.5703,1.574,2.8943,0.2092,0.1103,10.7621,71.8585,39.648,g
233.617,70.2768,24.5132,2.9261,3.3917,0.1294,0.0651,-12.3834,83.3498,48.9676,g
295.38,81.2317,32.2546,4.155,3.7262,0.1694,0.0893,12.8892,35.5667,66.9446,g
99.7447,32.7059,17.1981,40.3711,2.5804,0.4074,0.2142,15.3472,46.6935,13.1053,g
182.477,42.3725,20.2021,0.6925,3.2909,0.2533,0.1343,-11.1395,-4.4911,26.362,g
272.617,80.3994,14.9183,5.066,2.8445,0.3004,0.1581,-10.599,36.0787,76.0508,g
316.47,25.5688,19.0735,74.308,2.2911,0.7161,0.422,-14.8757,16.7068,25.194,g
190.039,16.9286,11.2814,18.5125,2.4116,0.5736,0.3314,6.0007,-1.2345,5.8021,g
114.938,18.8734,17.772,17.1286,2.5821,0.4686,0.2579,-14.4939,-14.6576,-16.9343,g
163.722,34.1619,21.2966,11.6079,2.9974,0.2907,0.1554,11.8667,-4.6579,-11.6112,g
151.522,30.0005,21.6966,27.943,2.934,0.3062,0.1857,-18.5123,23.3297,17.6318,g
308.373,41.3848,32.4617,9.628,2.7938,0.3521,0.1889,28.1989,-20.4985,28.2927,g
78.9436,25.2228,13.6075,66.649,2.3738,0.4989,0.2939,11.3032,-12.181,-12.8844,g
232.154,21.6891,10.3849,1.5485,2.316,0.5604,0.2923,10.2235,5.8526,-17.6826,g
199.96,20.5839,12.8876,26.586,2.4191,0.4724,0.2648,-8.1001,12.5054,12.7741,g
147.489,25.2091,10.6551,41.563,2.3701,0.4989,0.3006,3.9151,10.6071,21.1038,g
201.751,35.7062,13.2892,1.2543,2.3664,0.5204,0.329,7.0429,-32.1031,-25.7479,g
229.768,62.6886,22.612,3.121,3.2496,0.2077,0.1084,16.5613,-100.913,-25.4533,g
173.073,19.7366,7.3095,24.7838,2.1383,0.7636,0.4109,-4.8598,-3.5091,10.3719,g
203.072,48.4695,18.1279,6.955,2.9917,0.2345,0.1177,-10.5913,19.6222,46.8981,g
210.833,22.5702,0.0,80.3449,2.1629,0.7904,0.4021,0.0,5.3609,-15.2145,g
159.544,18.249,10.4383,15.8259,2.2529,0.6034,0.3156,5.3027,22.8063,10.1469,g
136.651,28.4148,13.01,13.6965,2.4778,0.5923,0.4409,10.6797,28.2765,20.1871,g
178.462,47.6,13.413,2.608,2.8092,0.2762,0.1497,8.2134,41.1158,33.8544,g
196.918,33.3528,17.6866,8.709,2.7551,0.3796,0.275,-8.487,15.898,27.6711,g
256.435,97.794,26.8347,3.2128,3.5327,0.1516,0.077,12.0158,29.7042,95.3544,g
166.287,13.1155,10.1083,58.845,2.1973,0.8,0.5238,10.0776,12.3051,7.4928,g
309.622,52.8479,21.5505,6.087,2.9462,0.3667,0.2054,-20.7681,-53.2694,27.9502,g
233.346,40.6097,20.5874,0.774,2.9117,0.2304,0.1219,-10.1794,-5.5945,16.0028,g
246.341,65.6069,33.6033,0.7567,3.8528,0.1433,0.073,-23.9483,-84.0021,43.5019,g
284.652,63.8128,26.2233,1.919,3.5143,0.1958,0.1088,18.3607,44.5465,46.5522,g
236.65,22.5539,9.7776,9.215,2.2068,0.559,0.2888,10.4839,-4.0544,16.5945,g
289.536,59.817,14.838,5.235,2.8808,0.3132,0.1678,12.1712,-110.45,53.9825,g
225.566,27.1044,9.7779,29.844,2.4241,0.5198,0.3145,-11.7431,-12.2606,-14.8614,g
120.076,21.776,12.7202,22.3655,2.356,0.6344,0.3722,-9.1862,8.4346,15.5208,g
175.992,20.6454,6.839,2.7533,2.2844,0.774,0.4545,5.7986,20.3461,14.9016,g
256.828,91.6174,39.9496,3.0094,4.0942,0.0806,0.0406,32.7482,-105.167,83.687,g
146.803,60.8598,18.7033,4.182,2.6128,0.2561,0.1378,12.0692,42.4917,33.7518,g
225.707,35.577,15.0526,2.0711,2.9805,0.3964,0.2202,4.1406,15.679,14.3568,g
157.613,31.6173,24.2115,22.951,2.7197,0.2402,0.1268,-11.5139,-23.7309,2.8864,g
335.983,85.9355,29.9215,4.7597,3.0755,0.3134,0.1735,-14.117,-44.0508,-20.0659,g
132.889,20.0777,12.6181,36.457,2.404,0.5286,0.2939,7.8845,14.1429,15.066,g
264.642,59.6124,30.8693,1.1057,3.4791,0.1888,0.1113,-29.0666,26.7671,54.7397,g
291.175,72.969,19.2006,4.087,3.008,0.2749,0.1537,-10.2088,-47.3236,42.1489,g
189.577,20.7154,7.1982,88.4999,2.2443,0.7066,0.3618,5.9528,1.5153,-8.8118,g
216.895,23.807,10.0712,10.378,2.4289,0.5624,0.3184,-7.645,7.3563,16.856,g
256.869,24.38,17.4654,0.8652,2.616,0.4915,0.3087,-14.2938,17.1472,19.777,g
109.517,36.5237,15.3246,12.715,2.4786,0.4252,0.2176,-5.1062,-57.2893,29.2074,g
174.401,19.0154,12.8813,58.903,2.5085,0.6326,0.4264,8.0364,8.3826,17.2241,g
131.247,23.8915,12.8584,6.2472,2.534,0.5088,0.3173,8.3832,-19.4911,-14.9193,g
288.194,82.3156,17.9964,10.08,2.7404,0.3636,0.2464,-17.9965,-55.8407,-62.4659,g
286.265,72.8104,14.3361,0.644,3.096,0.307,0.1607,-5.9832,-54.9261,58.5437,g
159.126,20.4525,7.2419,9.1256,2.1775,0.7243,0.3754,-5.7228,2.1721,-9.6562,g
86.2468,23.6179,20.0571,47.786,2.5224,0.5495,0.3739,-11.354,-1.574,-15.0956,g
228.254,80.0169,29.9756,4.142,3.6714,0.1577,0.0898,-24.8336,20.4369,24.4273,g
177.459,20.7779,7.1383,28.79,2.081,0.722,0.3693,-5.9792,-23.7708,-10.7906,g
184.572,37.3516,16.8653,1.713,2.7882,0.3958,0.2093,-11.6112,4.4937,31.5053,g
169.08,25.0056,16.7048,4.2353,2.2753,0.4562,0.2308,-14.0925,10.5704,18.3557,g
220.713,42.1289,16.1025,12.9801,2.4969,0.3121,0.1704,14.4754,-37.9885,-22.3351,g
125.972,24.3343,14.9489,10.288,2.5302,0.3953,0.1991,-13.2107,16.4085,14.006,g
225.809,17.8912,15.0832,44.74,2.3075,0.6404,0.3818,15.5561,1.5604,11.248,g
186.555,21.6327,17.2218,10.615,2.5434,0.4206,0.2246,14.4923,7.9688,9.6019,g
237.768,60.7883,27.5272,5.097,2.8868,0.2336,0.1201,13.1675,88.6317,-19.3902,g
161.776,78.6493,34.0613,3.227,3.7751,0.1103,0.0568,15.8013,82.1473,66.0231,g
260.378,84.2741,33.3225,3.7714,3.8949,0.1233,0.0635,16.3734,43.638,73.8035,g
213.191,77.5343,18.8832,1.892,3.2671,0.2584,0.1436,12.4317,46.2902,94.0484,g
207.691,20.5321,15.3265,44.9,2.4829,0.4803,0.2582,9.8037,21.9631,14.7728,g
140.921,33.7616,14.4511,32.377,2.7941,0.3759,0.2096,-6.915,39.2425,30.9736,g
313.967,68.0121,27.6698,3.9746,3.0824,0.2738,0.1576,-26.1683,-14.268,44.4184,g
193.769,23.1657,12.7022,82.0505,2.2201,0.5723,0.2982,-8.0678,18.2871,9.4278,g
228.537,42.1441,13.7346,1.7038,2.7459,0.3339,0.1966,7.9992,31.7383,19.1549,g
147.636,36.079,13.2636,26.3559,2.3793,0.4301,0.2317,8.4708,37.1098,-17.1724,g
211.97,74.3456,37.459,31.553,3.2412,0.1521,0.0801,-21.7603,59.8813,83.1157,g
265.012,101.424,41.0631,6.1992,4.1837,0.0793,0.0421,-27.5737,78.3723,90.4413,g
154.427,43.1994,17.501,7.6914,2.8011,0.2735,0.1431,-4.6509,44.9467,40.3342,g
234.109,61.6933,18.0011,2.926,2.9015,0.276,0.1449,13.6166,47.4507,38.9838,g
51.4993,23.2114,18.431,2.8462,2.7466,0.414,0.2195,11.7008,22.8049,22.652,g
229.061,25.2455,19.0726,81.6368,2.6191,0.3678,0.1863,-7.5994,13.6337,11.1564,g
217.965,78.2002,23.1372,12.616,3.2357,0.2005,0.1212,16.129,57.955,86.1356,g
189.48,31.5256,7.4577,10.2785,2.3324,0.6093,0.3837,-7.3445,33.1918,21.022,g
247.114,57.1656,19.9402,12.267,2.9978,0.197,0.1,14.2419,11.2262,44.4537,g
194.042,26.3353,16.2775,27.835,2.6522,0.343,0.1793,-12.6072,-30.4934,-15.3203,g
227.008,45.8894,15.7069,1.7371,2.4065,0.4,0.2059,-9.317,-48.0214,22.4139,g
225.515,39.2192,14.1085,9.1923,2.8534,0.4064,0.2306,5.2607,36.9605,31.7324,g
185.44,52.221,12.2973,5.096,2.6435,0.4523,0.3125,6.56,-25.0167,-41.2341,g
147.73,23.1587,0.0046,61.5621,2.1319,0.7675,0.3875,0.0,25.3507,15.0322,g
182.91,19.7592,12.1812,18.354,2.3664,0.5419,0.2989,-10.7783,3.6595,-11.2892,g
136.814,32.5377,19.6957,27.297,2.8561,0.2925,0.1762,15.2061,25.8408,21.2875,g
78.7331,23.153,21.0028,27.621,2.8065,0.3622,0.2006,16.5609,28.0575,19.6679,g
135.037,36.9017,24.9234,1.9727,3.0876,0.1855,0.0977,8.1078,-2.4734,-13.2831,g
216.048,29.1556,12.5696,1.925,2.5441,0.5257,0.27,10.0929,-9.3565,21.4041,g
230.713,100.747,16.6321,0.305,2.944,0.3322,0.211,-14.7132,-110.411,74.4191,g
107.747,46.5588,28.6929,12.727,3.3971,0.1864,0.0996,10.205,17.6816,46.0987,g
215.956,33.3045,14.4421,5.2437,2.6862,0.3687,0.2029,8.066,1.7249,-9.9052,g
209.784,29.8023,10.9847,0.352,2.2999,0.4862,0.2882,8.5655,27.7037,24.3173,g
219.069,86.5346,40.6201,4.8152,4.1111,0.0915,0.0458,25.1406,35.8899,74.5456,g
261.443,64.6445,28.8301,10.304,2.7168,0.3186,0.1679,-6.9935,104.88,-54.6747,g
224.491,64.4081,23.7635,1.0067,3.1281,0.1951,0.1016,-11.1654,65.7484,41.2256,g
137.98,20.683,7.2158,56.923,2.0233,0.7014,0.3649,-5.933,-1.1217,7.933,g
248.86,68.8466,17.4731,0.137,2.7835,0.3029,0.1802,-8.8232,-132.189,67.6255,g
38.7816,31.5283,21.6599,50.0234,2.8618,0.3368,0.1945,13.2218,7.1639,22.6167,g
303.714,90.239,14.5621,3.241,2.8293,0.3526,0.1844,7.5805,-129.945,37.1621,g
218.66,20.9663,12.7298,47.8491,2.3274,0.4282,0.2141,-8.9597,16.9437,5.9588,g
175.677,13.0557,10.9159,74.1884,2.2188,0.7613,0.4502,10.5095,-14.0863,5.2668,g
171.441,79.9539,31.9315,17.7108,3.1602,0.2497,0.1518,16.2707,53.3845,87.6757,g
15.3696,44.9999,25.6517,46.1539,3.03,0.2231,0.1405,-18.4786,-19.3494,-12.726,g
135.119,26.611,14.1842,29.5051,2.4878,0.4195,0.2715,-8.2908,29.0377,20.5257,g
216.957,70.457,22.9878,34.2372,3.0195,0.2562,0.1496,-10.9792,43.5397,68.1553,g
93.9373,36.9794,24.1174,46.43,2.9834,0.2213,0.12,10.8997,11.2818,8.5158,g
224.031,16.3371,11.6489,69.7431,2.3464,0.6036,0.3131,3.9635,-0.8501,4.6868,g
223.184,71.2234,17.8914,7.615,2.9445,0.2557,0.1494,-9.5179,68.4368,71.1737,g
192.525,45.8732,11.2837,4.6366,2.5653,0.3837,0.219,2.9659,43.4461,-19.3437,g
28.8145,33.429,29.8932,29.644,2.7792,0.2976,0.1538,-25.3331,-13.7784,-31.4401,g
140.19,43.351,17.7081,20.664,2.9287,0.3477,0.221,-12.4757,37.3736,31.5782,g
220.971,56.2479,20.9217,0.556,3.1942,0.2168,0.1103,8.7702,33.813,36.6852,g
299.45,100.226,28.222,4.4376,3.3769,0.2179,0.1321,-13.6411,-42.0608,-33.4996,g
182.12,34.4244,9.6598,27.604,2.4955,0.4888,0.254,6.9027,-29.8832,23.1758,g
147.737,22.2442,11.3451,6.6462,2.5735,0.5581,0.3298,-6.9374,-6.2041,-19.0011,g
245.343,37.3887,19.1897,1.818,2.5843,0.3333,0.181,-10.4241,-28.1468,-21.6535,g
273.371,92.6284,33.594,6.878,3.5469,0.1703,0.1134,-13.1964,-57.3109,62.6011,g
168.025,32.2468,13.0261,16.2095,2.6532,0.3867,0.21,7.2235,-14.0759,-25.0816,g
201.766,50.0122,17.8938,2.8523,3.0388,0.257,0.1331,-11.2019,42.9603,19.7787,g
243.311,63.7616,24.1374,3.473,3.1096,0.2712,0.1356,8.1977,56.2044,57.895,g
253.006,68.9648,25.5221,0.402,3.1307,0.2102,0.1121,21.812,-76.6982,52.6603,g
280.767,80.7093,47.2876,30.763,3.5386,0.1276,0.0704,-25.3392,-49.9844,88.2266,g
197.243,49.6601,22.0999,5.4509,3.1746,0.3017,0.1843,8.9821,17.9069,-25.4435,g
164.843,22.8274,12.9011,33.5573,2.2355,0.5581,0.311,-7.9568,-13.6277,-12.0722,g
270.007,50.5984,25.8939,8.44,3.0586,0.2464,0.1315,19.5228,10.7891,35.9762,g
139.193,22.4236,15.8256,53.815,2.5938,0.4968,0.3146,-4.5251,1.5724,-20.7925,g
184.216,37.6518,15.2293,7.803,2.8561,0.4805,0.3015,6.2648,24.9532,37.9769,g
167.109,21.1221,9.3478,75.3948,2.2967,0.697,0.452,-11.544,18.4225,20.1723,g
251.386,70.4799,18.7963,4.5199,2.7906,0.3142,0.2016,-17.9763,-88.956,43.637,g
169.81,26.466,18.778,6.6995,2.6107,0.4044,0.2463,6.0375,13.4573,9.0185,g
202.139,19.4731,12.2939,53.7383,2.4556,0.5219,0.3205,-10.4173,-1.0,9.8855,g
163.805,18.9671,12.7729,31.4965,2.4417,0.557,0.3165,-8.1819,16.1166,11.5546,g
199.944,33.5123,15.0057,6.8985,2.4742,0.4866,0.3104,2.2896,33.7307,27.5196,g
177.428,49.2754,14.5068,1.985,2.7509,0.3141,0.1588,-11.145,20.2038,38.108,g
127.577,114.806,22.8821,41.91,2.6716,0.3706,0.2524,24.28,-50.8563,-130.103,g
165.258,24.5581,15.468,26.996,2.6628,0.3957,0.1989,8.5211,10.2036,12.6949,g
217.318,17.1997,7.3014,19.79,2.2844,0.8312,0.5532,5.2467,3.4739,4.489,g
245.673,86.5389,16.3152,1.53,2.8756,0.3023,0.1565,4.4207,48.9056,72.2829,g
146.03,12.871,9.8459,40.035,2.2516,0.7899,0.5686,-5.4993,11.2062,8.4149,g
142.269,36.1618,25.9263,33.371,3.1178,0.2127,0.1216,14.7248,14.0562,20.1419,g
122.94,21.1474,16.8163,35.595,2.5599,0.4435,0.2658,14.5016,29.268,-11.5756,g
98.8626,13.123,10.9616,88.1516,2.1569,0.7666,0.4146,11.6445,14.6416,-4.0114,g
171.407,53.5736,25.803,7.596,3.5737,0.1956,0.0986,14.9922,39.2808,58.4267,g
190.445,29.1123,18.0166,36.953,2.635,0.3175,0.1657,-10.7571,11.2887,26.7753,g
286.639,74.4746,13.4246,5.847,2.9717,0.2818,0.1435,-9.3669,18.4636,76.5354,g
