fLength,fWidth,fAlpha,fSize,fConc,fConc1,fM3Trans,fM3Long,fAsym,fDist,class
20.6454,6.839,2.7533,2.2844,0.774,0.4545,5.7986,14.9016,20.3461,175.992,g
91.6174,39.9496,3.0094,4.0942,0.0806,0.0406,32.7482,83.687,-105.167,256.828,g
60.8598,18.7033,4.182,2.6128,0.2561,0.1378,12.0692,33.7518,42.4917,146.803,g
35.577,15.0526,2.0711,2.9805,0.3964,0.2202,4.1406,14.3568,15.679,225.707,g
31.6173,24.2115,22.951,2.7197,0.2402,0.1268,-11.5139,2.8864,-23.7309,157.613,g
85.9355,29.9215,4.7597,3.0755,0.3134,0.1735,-14.117,-20.0659,-44.0508,335.983,g
20.0777,12.6181,36.457,2.404,0.5286,0.2939,7.8845,15.066,14.1429,132.889,g
59.6124,30.8693,1.1057,3.4791,0.1888,0.1113,-29.0666,54.7397,26.7671,264.642,g
72.969,19.2006,4.087,3.008,0.2749,0.1537,-10.2088,42.1489,-47.3236,291.175,g
20.7154,7.1982,88.4999,2.2443,0.7066,0.3618,5.9528,-8.8118,1.5153,189.577,g
23.807,10.0712,10.378,2.4289,0.5624,0.3184,-7.645,16.856,7.3563,216.895,g
24.38,17.4654,0.8652,2.616,0.4915,0.3087,-14.2938,19.777,17.1472,256.869,g
36.5237,15.3246,12.715,2.4786,0.4252,0.2176,-5.1062,29.2074,-57.2893,109.517,g
19.0154,12.8813,58.903,2.5085,0.6326,0.4264,8.0364,17.2241,8.3826,174.401,g
23.8915,12.8584,6.2472,2.534,0.5088,0.3173,8.3832,-14.9193,-19.4911,131.247,g
82.3156,17.9964,10.08,2.7404,0.3636,0.2464,-17.9965,-62.4659,-55.8407,288.194,g
72.8104,14.3361,0.644,3.096,0.307,0.1607,-5.9832,58.5437,-54.9261,286.265,g
20.4525,7.2419,9.1256,2.1775,0.7243,0.3754,-5.7228,-9.6562,2.1721,159.126,g
23.6179,20.0571,47.786,2.5224,0.5495,0.3739,-11.354,-15.0956,-1.574,86.2468,g
80.0169,29.9756,4.142,3.6714,0.1577,0.0898,-24.8336,24.4273,20.4369,228.254,g
20.7779,7.1383,28.79,2.081,0.722,0.3693,-5.9792,-10.7906,-23.7708,177.459,g
37.3516,16.8653,1.713,2.7882,0.3958,0.2093,-11.6112,31.5053,4.4937,184.572,g
25.0056,16.7048,4.2353,2.2753,0.4562,0.2308,-14.0925,18.3557,10.5704,169.08,g
42.1289,16.1025,12.9801,2.4969,0.3121,0.1704,14.4754,-22.3351,-37.9885,220.713,g
24.3343,14.9489,10.288,2.5302,0.3953,0.1991,-13.2107,14.006,16.4085,125.972,g
17.8912,15.0832,44.74,2.3075,0.6404,0.3818,15.5561,11.248,1.5604,225.809,g
21.6327,17.2218,10.615,2.5434,0.4206,0.2246,14.4923,9.6019,7.9688,186.555,g
60.7883,27.5272,5.097,2.8868,0.2336,0.1201,13.1675,-19.3902,88.6317,237.768,g
78.6493,34.0613,3.227,3.7751,0.1103,0.0568,15.8013,66.0231,82.1473,161.776,g
84.2741,33.3225,3.7714,3.8949,0.1233,0.0635,16.3734,73.8035,43.638,260.378,g
77.5343,18.8832,1.892,3.2671,0.2584,0.1436,12.4317,94.0484,46.2902,213.191,g
20.5321,15.3265,44.9,2.4829,0.4803,0.2582,9.8037,14.7728,21.9631,207.691,g
33.7616,14.4511,32.377,2.7941,0.3759,0.2096,-6.915,30.9736,39.2425,140.921,g
68.0121,27.6698,3.9746,3.0824,0.2738,0.1576,-26.1683,44.4184,-14.268,313.967,g
23.1657,12.7022,82.0505,2.2201,0.5723,0.2982,-8.0678,9.4278,18.2871,193.769,g
42.1441,13.7346,1.7038,2.7459,0.3339,0.1966,7.9992,19.1549,31.7383,228.537,g
36.079,13.2636,26.3559,2.3793,0.4301,0.2317,8.4708,-17.1724,37.1098,147.636,g
74.3456,37.459,31.553,3.2412,0.1521,0.0801,-21.7603,83.1157,59.8813,211.97,g
101.424,41.0631,6.1992,4.1837,0.0793,0.0421,-27.5737,90.4413,78.3723,265.012,g
43.1994,17.501,7.6914,2.8011,0.2735,0.1431,-4.6509,40.3342,44.9467,154.427,g
61.6933,18.0011,2.926,2.9015,0.276,0.1449,13.6166,38.9838,47.4507,234.109,g
23.2114,18.431,2.8462,2.7466,0.414,0.2195,11.7008,22.652,22.8049,51.4993,g
25.2455,19.0726,81.6368,2.6191,0.3678,0.1863,-7.5994,11.1564,13.6337,229.061,g
78.2002,23.1372,12.616,3.2357,0.2005,0.1212,16.129,86.1356,57.955,217.965,g
31.5256,7.4577,10.2785,2.3324,0.6093,0.3837,-7.3445,21.022,33.1918,189.48,g
57.1656,19.9402,12.267,2.9978,0.197,0.1,14.2419,44.4537,11.2262,247.114,g
26.3353,16.2775,27.835,2.6522,0.343,0.1793,-12.6072,-15.3203,-30.4934,194.042,g
45.8894,15.7069,1.7371,2.4065,0.4,0.2059,-9.317,22.4139,-48.0214,227.008,g
39.2192,14.1085,9.1923,2.8534,0.4064,0.2306,5.2607,31.7324,36.9605,225.515,g
52.221,12.2973,5.096,2.6435,0.4523,0.3125,6.56,-41.2341,-25.0167,185.44,g
23.1587,0.0046,61.5621,2.1319,0.7675,0.3875,0.0,15.0322,25.3507,147.73,g
19.7592,12.1812,18.354,2.3664,0.5419,0.2989,-10.7783,-11.2892,3.6595,182.91,g
32.5377,19.6957,27.297,2.8561,0.2925,0.1762,15.2061,21.2875,25.8408,136.814,g
23.153,21.0028,27.621,2.8065,0.3622,0.2006,16.5609,19.6679,28.0575,78.7331,g
36.9017,24.9234,1.9727,3.0876,0.1855,0.0977,8.1078,-13.2831,-2.4734,135.037,g
29.1556,12.5696,1.925,2.5441,0.5257,0.27,10.0929,21.4041,-9.3565,216.048,g
100.747,16.6321,0.305,2.944,0.3322,0.211,-14.7132,74.4191,-110.411,230.713,g
46.5588,28.6929,12.727,3.3971,0.1864,0.0996,10.205,46.0987,17.6816,107.747,g
33.3045,14.4421,5.2437,2.6862,0.3687,0.2029,8.066,-9.9052,1.7249,215.956,g
29.8023,10.9847,0.352,2.2999,0.4862,0.2882,8.5655,24.3173,27.7037,209.784,g
86.5346,40.6201,4.8152,4.1111,0.0915,0.0458,25.1406,74.5456,35.8899,219.069,g
64.6445,28.8301,10.304,2.7168,0.3186,0.1679,-6.9935,-54.6747,104.88,261.443,g
64.4081,23.7635,1.0067,3.1281,0.1951,0.1016,-11.1654,41.2256,65.7484,224.491,g
20.683,7.2158,56.923,2.0233,0.7014,0.3649,-5.933,7.933,-1.1217,137.98,g
68.8466,17.4731,0.137,2.7835,0.3029,0.1802,-8.8232,67.6255,-132.189,248.86,g
31.5283,21.6599,50.0234,2.8618,0.3368,0.1945,13.2218,22.6167,7.1639,38.7816,g
90.239,14.5621,3.241,2.8293,0.3526,0.1844,7.5805,37.1621,-129.945,303.714,g
20.9663,12.7298,47.8491,2.3274,0.4282,0.2141,-8.9597,5.9588,16.9437,218.66,g
13.0557,10.9159,74.1884,2.2188,0.7613,0.4502,10.5095,5.2668,-14.0863,175.677,g
79.9539,31.9315,17.7108,3.1602,0.2497,0.1518,16.2707,87.6757,53.3845,171.441,g
44.9999,25.6517,46.1539,3.03,0.2231,0.1405,-18.4786,-12.726,-19.3494,15.3696,g
26.611,14.1842,29.5051,2.4878,0.4195,0.2715,-8.2908,20.5257,29.0377,135.119,g
70.457,22.9878,34.2372,3.0195,0.2562,0.1496,-10.9792,68.1553,43.5397,216.957,g
36.9794,24.1174,46.43,2.9834,0.2213,0.12,10.8997,8.5158,11.2818,93.9373,g
16.3371,11.6489,69.7431,2.3464,0.6036,0.3131,3.9635,4.6868,-0.8501,224.031,g
71.2234,17.8914,7.615,2.9445,0.2557,0.1494,-9.5179,71.1737,68.4368,223.184,g
45.8732,11.2837,4.6366,2.5653,0.3837,0.219,2.9659,-19.3437,43.4461,192.525,g
33.429,29.8932,29.644,2.7792,0.2976,0.1538,-25.3331,-31.4401,-13.7784,28.8145,g
43.351,17.7081,20.664,2.9287,0.3477,0.221,-12.4757,31.5782,37.3736,140.19,g
56.2479,20.9217,0.556,3.1942,0.2168,0.1103,8.7702,36.6852,33.813,220.971,g
100.226,28.222,4.4376,3.3769,0.2179,0.1321,-13.6411,-33.4996,-42.0608,299.45,g
34.4244,9.6598,27.604,2.4955,0.4888,0.254,6.9027,23.1758,-29.8832,182.12,g
22.2442,11.3451,6.6462,2.5735,0.5581,0.3298,-6.9374,-19.0011,-6.2041,147.737,g
37.3887,19.1897,1.818,2.5843,0.3333,0.181,-10.4241,-21.6535,-28.1468,245.343,g
92.6284,33.594,6.878,3.5469,0.1703,0.1134,-13.1964,62.6011,-57.3109,273.371,g
32.2468,13.0261,16.2095,2.6532,0.3867,0.21,7.2235,-25.0816,-14.0759,168.025,g
50.0122,17.8938,2.8523,3.0388,0.257,0.1331,-11.2019,19.7787,42.9603,201.766,g
63.7616,24.1374,3.473,3.1096,0.2712,0.1356,8.1977,57.895,56.2044,243.311,g
68.9648,25.5221,0.402,3.1307,0.2102,0.1121,21.812,52.6603,-76.6982,253.006,g
80.7093,47.2876,30.763,3.5386,0.1276,0.0704,-25.3392,88.2266,-49.9844,280.767,g
49.6601,22.0999,5.4509,3.1746,0.3017,0.1843,8.9821,-25.4435,17.9069,197.243,g
22.8274,12.9011,33.5573,2.2355,0.5581,0.311,-7.9568,-12.0722,-13.6277,164.843,g
50.5984,25.8939,8.44,3.0586,0.2464,0.1315,19.5228,35.9762,10.7891,270.007,g
22.4236,15.8256,53.815,2.5938,0.4968,0.3146,-4.5251,-20.7925,1.5724,139.193,g
37.6518,15.2293,7.803,2.8561,0.4805,0.3015,6.2648,37.9769,24.9532,184.216,g
21.1221,9.3478,75.3948,2.2967,0.697,0.452,-11.544,20.1723,18.4225,167.109,g
70.4799,18.7963,4.5199,2.7906,0.3142,0.2016,-17.9763,43.637,-88.956,251.386,g
26.466,18.778,6.6995,2.6107,0.4044,0.2463,6.0375,9.0185,13.4573,169.81,g
19.4731,12.2939,53.7383,2.4556,0.5219,0.3205,-10.4173,9.8855,-1.0,202.139,g
18.9671,12.7729,31.4965,2.4417,0.557,0.3165,-8.1819,11.5546,16.1166,163.805,g
33.5123,15.0057,6.8985,2.4742,0.4866,0.3104,2.2896,27.5196,33.7307,199.944,g
49.2754,14.5068,1.985,2.7509,0.3141,0.1588,-11.145,38.108,20.2038,177.428,g
114.806,22.8821,41.91,2.6716,0.3706,0.2524,24.28,-130.103,-50.8563,127.577,g
24.5581,15.468,26.996,2.6628,0.3957,0.1989,8.5211,12.6949,10.2036,165.258,g
17.1997,7.3014,19.79,2.2844,0.8312,0.5532,5.2467,4.489,3.4739,217.318,g
86.5389,16.3152,1.53,2.8756,0.3023,0.1565,4.4207,72.2829,48.9056,245.673,g
12.871,9.8459,40.035,2.2516,0.7899,0.5686,-5.4993,8.4149,11.2062,146.03,g
36.1618,25.9263,33.371,3.1178,0.2127,0.1216,14.7248,20.1419,14.0562,142.269,g
21.1474,16.8163,35.595,2.5599,0.4435,0.2658,14.5016,-11.5756,29.268,122.94,g
13.123,10.9616,88.1516,2.1569,0.7666,0.4146,11.6445,-4.0114,14.6416,98.8626,g
53.5736,25.803,7.596,3.5737,0.1956,0.0986,14.9922,58.4267,39.2808,171.407,g
29.1123,18.0166,36.953,2.635,0.3175,0.1657,-10.7571,26.7753,11.2887,190.445,g
74.4746,13.4246,5.847,2.9717,0.2818,0.1435,-9.3669,76.5354,18.4636,286.639,g
