fDist,fLength,fAlpha,fWidth,fM3Trans,fConc1,fConc,fSize,fAsym,fM3Long,class
201.404,34.9502,17.6684,16.0121,-7.5776,0.1644,0.297,3.0663,-12.5192,11.1413,g
194.384,23.6353,43.565,11.4736,-9.9017,0.4085,0.6291,2.4661,-15.6487,-18.8315,g
55.4986,20.4754,13.8089,15.7636,-3.923,0.2148,0.4116,2.4425,2.48,-10.4986,g
217.856,59.7337,5.094,17.0227,-14.0979,0.1895,0.2966,2.7997,51.0255,54.5868,g
251.28,22.6397,14.3756,10.2608,-10.8294,0.3156,0.5603,2.1492,23.4366,18.6537,g
358.99,92.937,3.497,22.1354,14.2821,0.1937,0.3108,3.0885,18.6509,48.5227,g
306.55,86.5636,2.643,36.8235,26.1668,0.0809,0.1508,3.8026,-24.0564,60.9768,g
201.01,39.3737,3.7449,12.0817,6.5266,0.1615,0.3213,2.7763,18.1724,13.6391,g
219.077,41.2629,7.6147,20.9786,12.715,0.1626,0.2807,3.1361,23.2559,43.3331,g
158.618,89.8648,3.689,33.6384,14.069,0.0805,0.1487,3.8899,22.0971,98.5182,g
120.263,24.999,81.8671,17.775,14.8483,0.2453,0.4327,2.5993,-16.3719,-25.5307,g
130.918,19.5793,13.17,14.6976,-4.9889,0.2824,0.514,2.2934,-6.8054,17.3916,g
95.7374,21.8344,35.4993,6.832,6.6103,0.3531,0.7063,2.1804,25.981,-0.1704,g
255.315,87.5837,2.428,33.3742,-14.3854,0.0667,0.125,3.9208,99.2131,75.0174,g
32.6827,53.7339,1.886,15.4395,-9.3853,0.2955,0.4572,2.4298,-45.8108,-40.3603,g
227.336,34.889,8.376,19.6402,12.4846,0.2534,0.3747,2.8429,29.9825,29.1531,g
213.317,41.0677,17.671,16.2578,16.1237,0.1812,0.3532,2.7308,47.4405,37.9125,g
230.089,60.0261,1.3841,12.245,8.5485,0.1433,0.26,2.8052,3.5656,55.2047,g
294.746,70.0322,2.936,30.2255,-24.9966,0.0929,0.1775,3.1573,-66.4032,48.4611,g
363.489,74.5714,4.029,23.0735,-12.2594,0.1627,0.3182,2.9914,-36.5281,63.076,g
327.992,77.9219,0.2442,31.8209,-14.371,0.1232,0.2059,3.7043,-2.4392,58.1668,g
299.173,39.1755,6.4974,26.3821,17.0574,0.2005,0.345,2.7966,-38.1241,25.4219,g
147.236,18.1607,43.3661,10.4502,-6.3001,0.3289,0.6043,2.2718,1.7266,-7.66,g
193.349,25.4762,24.847,12.0898,6.2085,0.2303,0.4134,2.4048,7.0323,15.7982,g
235.203,23.4494,83.8081,16.2843,10.389,0.2655,0.4539,2.5605,-8.8017,-15.9867,g
193.794,32.0586,12.1807,15.6976,-11.3244,0.2037,0.3826,2.5072,-2.3114,-17.7455,g
219.394,18.4475,69.2291,11.7563,11.397,0.4051,0.5714,2.4074,-0.0948,-6.5384,g
91.228,41.4001,0.6344,25.658,-23.3496,0.1023,0.2036,3.0414,39.265,30.5051,g
293.081,92.5854,2.5099,11.2825,6.7814,0.1923,0.3119,3.0071,-68.649,-48.92,g
168.084,29.3424,39.189,16.1814,7.7365,0.165,0.3272,2.5496,-51.8263,23.7665,g
159.704,47.8275,4.798,18.509,-7.859,0.1603,0.2775,2.747,28.7838,-29.0817,g
282.616,73.2547,23.149,19.5552,16.6915,0.1939,0.357,2.5545,-44.1258,34.5939,g
183.852,26.0862,4.1527,12.5473,5.6343,0.2354,0.4397,2.4099,16.3451,14.9018,g
302.219,94.2369,1.854,17.6341,-14.982,0.1612,0.297,2.7727,-97.071,50.552,g
154.264,38.1089,13.741,15.08,13.3864,0.2126,0.3887,2.3927,-21.4336,-29.3931,g
166.95,33.5874,25.657,17.46,5.127,0.2134,0.3979,2.5821,-49.0296,-7.6514,g
189.155,50.8293,3.6565,20.0939,9.3292,0.1236,0.2162,3.3959,38.7703,41.463,g
72.7386,25.0275,65.2451,12.8142,12.3285,0.3078,0.4884,2.5391,-12.5331,-8.9993,g
109.02,26.8928,23.821,17.7678,-15.8111,0.2357,0.3782,2.8439,-1.6706,-8.159,g
146.596,28.0883,27.549,6.8084,-2.8594,0.3174,0.5899,2.2504,-7.7092,-17.4113,g
142.372,35.8144,23.123,12.3164,-6.2792,0.214,0.393,2.57,17.8018,20.673,g
69.2467,29.3108,24.109,14.6309,11.3697,0.2223,0.4402,2.6464,6.1452,-19.1932,g
182.016,19.6419,34.817,0.0,0.0,0.571,0.795,2.2,-0.5678,5.2697,g
128.707,23.6924,27.014,8.8987,-7.0892,0.4543,0.6683,2.3181,23.9812,14.1032,g
188.636,27.4888,23.5868,18.5665,-10.0668,0.1854,0.3078,2.8639,2.8405,6.1522,g
188.983,117.749,2.582,33.2446,-17.914,0.0806,0.1606,3.1921,98.9071,129.932,g
152.596,26.8971,41.065,19.2128,8.1139,0.1655,0.319,2.7657,-12.9068,4.6154,g
181.817,13.1994,54.0277,10.8032,-11.7029,0.4209,0.7761,2.224,-14.5262,1.8356,g
149.657,25.1576,47.777,12.8638,7.8713,0.236,0.4615,2.4564,-24.1639,11.1073,g
48.9988,18.2028,2.5957,15.8708,5.3072,0.2945,0.5115,2.4526,18.9639,18.329,g
288.263,70.6584,0.45,19.8319,-12.6086,0.1334,0.2541,3.1041,-96.9809,52.5046,g
327.251,101.703,4.0677,39.5491,22.1504,0.077,0.1462,3.9457,-157.872,70.4115,g
94.0063,58.1232,20.194,23.5601,11.5684,0.0922,0.1791,2.8837,-49.22,-33.4621,g
91.6373,20.7445,25.7775,17.3249,-12.0534,0.2446,0.4686,2.5916,11.7553,17.0726,g
250.91,56.2418,1.574,16.5703,10.7621,0.1103,0.2092,2.8943,71.8585,39.648,g
233.617,70.2768,2.9261,24.5132,-12.3834,0.0651,0.1294,3.3917,83.3498,48.9676,g
295.38,81.2317,4.155,32.2546,12.8892,0.0893,0.1694,3.7262,35.5667,66.9446,g
99.7447,32.7059,40.3711,17.1981,15.3472,0.2142,0.4074,2.5804,46.6935,13.1053,g
182.477,42.3725,0.6925,20.2021,-11.1395,0.1343,0.2533,3.2909,-4.4911,26.362,g
272.617,80.3994,5.066,14.9183,-10.599,0.1581,0.3004,2.8445,36.0787,76.0508,g
316.47,25.5688,74.308,19.0735,-14.8757,0.422,0.7161,2.2911,16.7068,25.194,g
190.039,16.9286,18.5125,11.2814,6.0007,0.3314,0.5736,2.4116,-1.2345,5.8021,g
114.938,18.8734,17.1286,17.772,-14.4939,0.2579,0.4686,2.5821,-14.6576,-16.9343,g
163.722,34.1619,11.6079,21.2966,11.8667,0.1554,0.2907,2.9974,-4.6579,-11.6112,g
151.522,30.0005,27.943,21.6966,-18.5123,0.1857,0.3062,2.934,23.3297,17.6318,g
308.373,41.3848,9.628,32.4617,28.1989,0.1889,0.3521,2.7938,-20.4985,28.2927,g
78.9436,25.2228,66.649,13.6075,11.3032,0.2939,0.4989,2.3738,-12.181,-12.8844,g
232.154,21.6891,1.5485,10.3849,10.2235,0.2923,0.5604,2.316,5.8526,-17.6826,g
199.96,20.5839,26.586,12.8876,-8.1001,0.2648,0.4724,2.4191,12.5054,12.7741,g
147.489,25.2091,41.563,10.6551,3.9151,0.3006,0.4989,2.3701,10.6071,21.1038,g
201.751,35.7062,1.2543,13.2892,7.0429,0.329,0.5204,2.3664,-32.1031,-25.7479,g
229.768,62.6886,3.121,22.612,16.5613,0.1084,0.2077,3.2496,-100.913,-25.4533,g
173.073,19.7366,24.7838,7.3095,-4.8598,0.4109,0.7636,2.1383,-3.5091,10.3719,g
203.072,48.4695,6.955,18.1279,-10.5913,0.1177,0.2345,2.9917,19.6222,46.8981,g
210.833,22.5702,80.3449,0.0,0.0,0.4021,0.7904,2.1629,5.3609,-15.2145,g
159.544,18.249,15.8259,10.4383,5.3027,0.3156,0.6034,2.2529,22.8063,10.1469,g
136.651,28.4148,13.6965,13.01,10.6797,0.4409,0.5923,2.4778,28.2765,20.1871,g
178.462,47.6,2.608,13.413,8.2134,0.1497,0.2762,2.8092,41.1158,33.8544,g
196.918,33.3528,8.709,17.6866,-8.487,0.275,0.3796,2.7551,15.898,27.6711,g
256.435,97.794,3.2128,26.8347,12.0158,0.077,0.1516,3.5327,29.7042,95.3544,g
166.287,13.1155,58.845,10.1083,10.0776,0.5238,0.8,2.1973,12.3051,7.4928,g
309.622,52.8479,6.087,21.5505,-20.7681,0.2054,0.3667,2.9462,-53.2694,27.9502,g
233.346,40.6097,0.774,20.5874,-10.1794,0.1219,0.2304,2.9117,-5.5945,16.0028,g
246.341,65.6069,0.7567,33.6033,-23.9483,0.073,0.1433,3.8528,-84.0021,43.5019,g
284.652,63.8128,1.919,26.2233,18.3607,0.1088,0.1958,3.5143,44.5465,46.5522,g
236.65,22.5539,9.215,9.7776,10.4839,0.2888,0.559,2.2068,-4.0544,16.5945,g
289.536,59.817,5.235,14.838,12.1712,0.1678,0.3132,2.8808,-110.45,53.9825,g
225.566,27.1044,29.844,9.7779,-11.7431,0.3145,0.5198,2.4241,-12.2606,-14.8614,g
120.076,21.776,22.3655,12.7202,-9.1862,0.3722,0.6344,2.356,8.4346,15.5208,g
175.992,20.6454,2.7533,6.839,5.7986,0.4545,0.774,2.2844,20.3461,14.9016,g
256.828,91.6174,3.0094,39.9496,32.7482,0.0406,0.0806,4.0942,-105.167,83.687,g
146.803,60.8598,4.182,18.7033,12.0692,0.1378,0.2561,2.6128,42.4917,33.7518,g
225.707,35.577,2.0711,15.0526,4.1406,0.2202,0.3964,2.9805,15.679,14.3568,g
157.613,31.6173,22.951,24.2115,-11.5139,0.1268,0.2402,2.7197,-23.7309,2.8864,g
335.983,85.9355,4.7597,29.9215,-14.117,0.1735,0.3134,3.0755,-44.0508,-20.0659,g
132.889,20.0777,36.457,12.6181,7.8845,0.2939,0.5286,2.404,14.1429,15.066,g
264.642,59.6124,1.1057,30.8693,-29.0666,0.1113,0.1888,3.4791,26.7671,54.7397,g
291.175,72.969,4.087,19.2006,-10.2088,0.1537,0.2749,3.008,-47.3236,42.1489,g
189.577,20.7154,88.4999,7.1982,5.9528,0.3618,0.7066,2.2443,1.5153,-8.8118,g
216.895,23.807,10.378,10.0712,-7.645,0.3184,0.5624,2.4289,7.3563,16.856,g
256.869,24.38,0.8652,17.4654,-14.2938,0.3087,0.4915,2.616,17.1472,19.777,g
109.517,36.5237,12.715,15.3246,-5.1062,0.2176,0.4252,2.4786,-57.2893,29.2074,g
174.401,19.0154,58.903,12.8813,8.0364,0.4264,0.6326,2.5085,8.3826,17.2241,g
131.247,23.8915,6.2472,12.8584,8.3832,0.3173,0.5088,2.534,-19.4911,-14.9193,g
288.194,82.3156,10.08,17.9964,-17.9965,0.2464,0.3636,2.7404,-55.8407,-62.4659,g
286.265,72.8104,0.644,14.3361,-5.9832,0.1607,0.307,3.096,-54.9261,58.5437,g
159.126,20.4525,9.1256,7.2419,-5.7228,0.3754,0.7243,2.1775,2.1721,-9.6562,g
86.2468,23.6179,47.786,20.0571,-11.354,0.3739,0.5495,2.5224,-1.574,-15.0956,g
228.254,80.0169,4.142,29.9756,-24.8336,0.0898,0.1577,3.6714,20.4369,24.4273,g
177.459,20.7779,28.79,7.1383,-5.9792,0.3693,0.722,2.081,-23.7708,-10.7906,g
184.572,37.3516,1.713,16.8653,-11.6112,0.2093,0.3958,2.7882,4.4937,31.5053,g
169.08,25.0056,4.2353,16.7048,-14.0925,0.2308,0.4562,2.2753,10.5704,18.3557,g
220.713,42.1289,12.9801,16.1025,14.4754,0.1704,0.3121,2.4969,-37.9885,-22.3351,g
125.972,24.3343,10.288,14.9489,-13.2107,0.1991,0.3953,2.5302,16.4085,14.006,g
225.809,17.8912,44.74,15.0832,15.5561,0.3818,0.6404,2.3075,1.5604,11.248,g
186.555,21.6327,10.615,17.2218,14.4923,0.2246,0.4206,2.5434,7.9688,9.6019,g
237.768,60.7883,5.097,27.5272,13.1675,0.1201,0.2336,2.8868,88.6317,-19.3902,g
161.776,78.6493,3.227,34.0613,15.8013,0.0568,0.1103,3.7751,82.1473,66.0231,g
260.378,84.2741,3.7714,33.3225,16.3734,0.0635,0.1233,3.8949,43.638,73.8035,g
213.191,77.5343,1.892,18.8832,12.4317,0.1436,0.2584,3.2671,46.2902,94.0484,g
207.691,20.5321,44.9,15.3265,9.8037,0.2582,0.4803,2.4829,21.9631,14.7728,g
140.921,33.7616,32.377,14.4511,-6.915,0.2096,0.3759,2.7941,39.2425,30.9736,g
313.967,68.0121,3.9746,27.6698,-26.1683,0.1576,0.2738,3.0824,-14.268,44.4184,g
193.769,23.1657,82.0505,12.7022,-8.0678,0.2982,0.5723,2.2201,18.2871,9.4278,g
228.537,42.1441,1.7038,13.7346,7.9992,0.1966,0.3339,2.7459,31.7383,19.1549,g
147.636,36.079,26.3559,13.2636,8.4708,0.2317,0.4301,2.3793,37.1098,-17.1724,g
211.97,74.3456,31.553,37.459,-21.7603,0.0801,0.1521,3.2412,59.8813,83.1157,g
265.012,101.424,6.1992,41.0631,-27.5737,0.0421,0.0793,4.1837,78.3723,90.4413,g
154.427,43.1994,7.6914,17.501,-4.6509,0.1431,0.2735,2.8011,44.9467,40.3342,g
234.109,61.6933,2.926,18.0011,13.6166,0.1449,0.276,2.9015,47.4507,38.9838,g
51.4993,23.2114,2.8462,18.431,11.7008,0.2195,0.414,2.7466,22.8049,22.652,g
229.061,25.2455,81.6368,19.0726,-7.5994,0.1863,0.3678,2.6191,13.6337,11.1564,g
217.965,78.2002,12.616,23.1372,16.129,0.1212,0.2005,3.2357,57.955,86.1356,g
189.48,31.5256,10.2785,7.4577,-7.3445,0.3837,0.6093,2.3324,33.1918,21.022,g
247.114,57.1656,12.267,19.9402,14.2419,0.1,0.197,2.9978,11.2262,44.4537,g
194.042,26.3353,27.835,16.2775,-12.6072,0.1793,0.343,2.6522,-30.4934,-15.3203,g
227.008,45.8894,1.7371,15.7069,-9.317,0.2059,0.4,2.4065,-48.0214,22.4139,g
225.515,39.2192,9.1923,14.1085,5.2607,0.2306,0.4064,2.8534,36.9605,31.7324,g
185.44,52.221,5.096,12.2973,6.56,0.3125,0.4523,2.6435,-25.0167,-41.2341,g
147.73,23.1587,61.5621,0.0046,0.0,0.3875,0.7675,2.1319,25.3507,15.0322,g
182.91,19.7592,18.354,12.1812,-10.7783,0.2989,0.5419,2.3664,3.6595,-11.2892,g
136.814,32.5377,27.297,19.6957,15.2061,0.1762,0.2925,2.8561,25.8408,21.2875,g
78.7331,23.153,27.621,21.0028,16.5609,0.2006,0.3622,2.8065,28.0575,19.6679,g
135.037,36.9017,1.9727,24.9234,8.1078,0.0977,0.1855,3.0876,-2.4734,-13.2831,g
216.048,29.1556,1.925,12.5696,10.0929,0.27,0.5257,2.5441,-9.3565,21.4041,g
230.713,100.747,0.305,16.6321,-14.7132,0.211,0.3322,2.944,-110.411,74.4191,g
107.747,46.5588,12.727,28.6929,10.205,0.0996,0.1864,3.3971,17.6816,46.0987,g
215.956,33.3045,5.2437,14.4421,8.066,0.2029,0.3687,2.6862,1.7249,-9.9052,g
209.784,29.8023,0.352,10.9847,8.5655,0.2882,0.4862,2.2999,27.7037,24.3173,g
219.069,86.5346,4.8152,40.6201,25.1406,0.0458,0.0915,4.1111,35.8899,74.5456,g
261.443,64.6445,10.304,28.8301,-6.9935,0.1679,0.3186,2.7168,104.88,-54.6747,g
224.491,64.4081,1.0067,23.7635,-11.1654,0.1016,0.1951,3.1281,65.7484,41.2256,g
137.98,20.683,56.923,7.2158,-5.933,0.3649,0.7014,2.0233,-1.1217,7.933,g
248.86,68.8466,0.137,17.4731,-8.8232,0.1802,0.3029,2.7835,-132.189,67.6255,g
38.7816,31.5283,50.0234,21.6599,13.2218,0.1945,0.3368,2.8618,7.1639,22.6167,g
303.714,90.239,3.241,14.5621,7.5805,0.1844,0.3526,2.8293,-129.945,37.1621,g
218.66,20.9663,47.8491,12.7298,-8.9597,0.2141,0.4282,2.3274,16.9437,5.9588,g
175.677,13.0557,74.1884,10.9159,10.5095,0.4502,0.7613,2.2188,-14.0863,5.2668,g
171.441,79.9539,17.7108,31.9315,16.2707,0.1518,0.2497,3.1602,53.3845,87.6757,g
15.3696,44.9999,46.1539,25.6517,-18.4786,0.1405,0.2231,3.03,-19.3494,-12.726,g
135.119,26.611,29.5051,14.1842,-8.2908,0.2715,0.4195,2.4878,29.0377,20.5257,g
216.957,70.457,34.2372,22.9878,-10.9792,0.1496,0.2562,3.0195,43.5397,68.1553,g
93.9373,36.9794,46.43,24.1174,10.8997,0.12,0.2213,2.9834,11.2818,8.5158,g
224.031,16.3371,69.7431,11.6489,3.9635,0.3131,0.6036,2.3464,-0.8501,4.6868,g
223.184,71.2234,7.615,17.8914,-9.5179,0.1494,0.2557,2.9445,68.4368,71.1737,g
192.525,45.8732,4.6366,11.2837,2.9659,0.219,0.3837,2.5653,43.4461,-19.3437,g
28.8145,33.429,29.644,29.8932,-25.3331,0.1538,0.2976,2.7792,-13.7784,-31.4401,g
140.19,43.351,20.664,17.7081,-12.4757,0.221,0.3477,2.9287,37.3736,31.5782,g
220.971,56.2479,0.556,20.9217,8.7702,0.1103,0.2168,3.1942,33.813,36.6852,g
299.45,100.226,4.4376,28.222,-13.6411,0.1321,0.2179,3.3769,-42.0608,-33.4996,g
182.12,34.4244,27.604,9.6598,6.9027,0.254,0.4888,2.4955,-29.8832,23.1758,g
147.737,22.2442,6.6462,11.3451,-6.9374,0.3298,0.5581,2.5735,-6.2041,-19.0011,g
245.343,37.3887,1.818,19.1897,-10.4241,0.181,0.3333,2.5843,-28.1468,-21.6535,g
273.371,92.6284,6.878,33.594,-13.1964,0.1134,0.1703,3.5469,-57.3109,62.6011,g
168.025,32.2468,16.2095,13.0261,7.2235,0.21,0.3867,2.6532,-14.0759,-25.0816,g
201.766,50.0122,2.8523,17.8938,-11.2019,0.1331,0.257,3.0388,42.9603,19.7787,g
243.311,63.7616,3.473,24.1374,8.1977,0.1356,0.2712,3.1096,56.2044,57.895,g
253.006,68.9648,0.402,25.5221,21.812,0.1121,0.2102,3.1307,-76.6982,52.6603,g
280.767,80.7093,30.763,47.2876,-25.3392,0.0704,0.1276,3.5386,-49.9844,88.2266,g
197.243,49.6601,5.4509,22.0999,8.9821,0.1843,0.3017,3.1746,17.9069,-25.4435,g
164.843,22.8274,33.5573,12.9011,-7.9568,0.311,0.5581,2.2355,-13.6277,-12.0722,g
270.007,50.5984,8.44,25.8939,19.5228,0.1315,0.2464,3.0586,10.7891,35.9762,g
139.193,22.4236,53.815,15.8256,-4.5251,0.3146,0.4968,2.5938,1.5724,-20.7925,g
184.216,37.6518,7.803,15.2293,6.2648,0.3015,0.4805,2.8561,24.9532,37.9769,g
167.109,21.1221,75.3948,9.3478,-11.544,0.452,0.697,2.2967,18.4225,20.1723,g
251.386,70.4799,4.5199,18.7963,-17.9763,0.2016,0.3142,2.7906,-88.956,43.637,g
169.81,26.466,6.6995,18.778,6.0375,0.2463,0.4044,2.6107,13.4573,9.0185,g
202.139,19.4731,53.7383,12.2939,-10.4173,0.3205,0.5219,2.4556,-1.0,9.8855,g
163.805,18.9671,31.4965,12.7729,-8.1819,0.3165,0.557,2.4417,16.1166,11.5546,g
199.944,33.5123,6.8985,15.0057,2.2896,0.3104,0.4866,2.4742,33.7307,27.5196,g
177.428,49.2754,1.985,14.5068,-11.145,0.1588,0.3141,2.7509,20.2038,38.108,g
127.577,114.806,41.91,22.8821,24.28,0.2524,0.3706,2.6716,-50.8563,-130.103,g
165.258,24.5581,26.996,15.468,8.5211,0.1989,0.3957,2.6628,10.2036,12.6949,g
217.318,17.1997,19.79,7.3014,5.2467,0.5532,0.8312,2.2844,3.4739,4.489,g
245.673,86.5389,1.53,16.3152,4.4207,0.1565,0.3023,2.8756,48.9056,72.2829,g
146.03,12.871,40.035,9.8459,-5.4993,0.5686,0.7899,2.2516,11.2062,8.4149,g
142.269,36.1618,33.371,25.9263,14.7248,0.1216,0.2127,3.1178,14.0562,20.1419,g
122.94,21.1474,35.595,16.8163,14.5016,0.2658,0.4435,2.5599,29.268,-11.5756,g
98.8626,13.123,88.1516,10.9616,11.6445,0.4146,0.7666,2.1569,14.6416,-4.0114,g
171.407,53.5736,7.596,25.803,14.9922,0.0986,0.1956,3.5737,39.2808,58.4267,g
190.445,29.1123,36.953,18.0166,-10.7571,0.1657,0.3175,2.635,11.2887,26.7753,g
286.639,74.4746,5.847,13.4246,-9.3669,0.1435,0.2818,2.9717,18.4636,76.5354,g
