proline ,alcohol,color_intensity,OD280/OD315,ash,total_phenols,flavanoids,proanthocyanins,hue,nonflavanoid_phenols,malic_acid,alcalinity_of_ash,magnesium,class
1080.0,14.21,5.24,3.33,2.44,2.85,2.65,1.25,0.87,0.3,4.04,18.9,111.0,1.0
1065.0,14.38,4.9,3.44,2.28,3.25,3.17,2.19,1.04,0.27,3.59,16.0,102.0,1.0
985.0,13.9,6.1,3.33,2.12,3.1,3.39,2.14,0.91,0.21,1.68,16.0,101.0,1.0
1060.0,14.1,6.2,2.75,2.4,2.75,2.92,2.38,1.07,0.32,2.02,18.8,103.0,1.0
1260.0,13.94,8.9,3.1,2.27,2.88,3.54,2.08,1.12,0.32,1.73,17.4,108.0,1.0
1150.0,13.05,7.2,2.91,2.04,2.72,3.27,2.91,1.12,0.17,1.73,12.4,92.0,1.0
1265.0,13.83,5.6,3.37,2.6,2.45,2.99,2.29,1.24,0.22,1.65,17.2,94.0,1.0
1190.0,13.82,7.05,3.26,2.42,3.88,3.74,1.87,1.01,0.32,1.75,14.0,111.0,1.0
1375.0,13.77,6.3,2.93,2.68,3.0,2.79,1.68,1.13,0.39,1.9,17.1,115.0,1.0
1060.0,13.74,5.85,3.2,2.25,2.6,2.9,1.62,0.92,0.21,1.67,16.4,118.0,1.0
1120.0,13.56,6.25,3.03,2.46,2.96,2.78,2.45,0.98,0.2,1.73,20.5,116.0,1.0
970.0,14.22,6.38,3.31,2.3,3.2,3.0,2.03,0.94,0.26,1.7,16.3,118.0,1.0
1270.0,13.29,6.0,2.84,2.68,3.0,3.23,1.66,1.07,0.31,1.97,16.8,102.0,1.0
1285.0,13.72,6.8,2.87,2.5,3.4,3.67,2.04,0.89,0.19,1.43,16.7,108.0,1.0
520.0,12.37,1.95,1.82,1.36,1.98,0.57,0.42,1.05,0.28,0.94,10.6,88.0,2.0
680.0,12.33,3.27,1.67,2.28,2.05,1.09,0.41,1.25,0.63,1.1,16.0,101.0,2.0
450.0,12.64,5.75,1.59,2.02,2.02,1.41,0.62,0.98,0.53,1.36,16.8,100.0,2.0
630.0,13.67,3.8,2.46,1.92,2.1,1.79,0.73,1.23,0.32,1.25,18.0,94.0,2.0
420.0,12.37,4.45,2.87,2.16,3.5,3.1,1.87,1.22,0.19,1.13,19.0,87.0,2.0
355.0,12.17,2.95,2.23,2.53,1.89,1.75,1.03,1.45,0.45,1.45,19.0,104.0,2.0
678.0,12.37,4.6,2.3,2.56,2.42,2.65,2.08,1.19,0.37,1.21,18.1,98.0,2.0
502.0,13.11,5.3,3.18,1.7,2.98,3.18,2.28,1.12,0.26,1.01,15.0,78.0,2.0
510.0,12.37,4.68,3.48,1.92,2.11,2.0,1.04,1.12,0.27,1.17,19.6,78.0,2.0
750.0,13.34,3.17,1.93,2.36,2.53,1.3,0.42,1.02,0.55,0.94,17.0,110.0,2.0
718.0,12.21,2.85,3.07,1.75,1.85,1.28,2.5,1.28,0.14,1.19,16.8,151.0,2.0
870.0,12.29,3.05,1.82,2.21,1.1,1.02,1.46,0.906,0.37,1.61,20.4,103.0,2.0
410.0,13.86,3.38,3.16,2.67,2.95,2.86,1.87,1.36,0.21,1.51,25.0,86.0,2.0
472.0,13.49,3.74,2.78,2.24,1.88,1.84,1.03,0.98,0.27,1.66,24.0,87.0,2.0
985.0,12.99,3.35,3.5,2.6,3.3,2.89,1.96,1.31,0.21,1.67,30.0,139.0,2.0
886.0,11.96,3.21,3.13,2.3,3.38,2.14,1.65,0.99,0.13,1.09,21.0,101.0,2.0
428.0,11.66,3.8,2.14,1.92,1.61,1.57,1.15,1.23,0.34,1.88,16.0,97.0,2.0
392.0,13.03,4.6,2.48,1.71,1.95,2.03,1.46,1.19,0.24,0.9,16.0,86.0,2.0
500.0,11.84,2.65,2.52,2.23,1.72,1.32,0.95,0.96,0.43,2.89,18.0,112.0,2.0
750.0,12.33,3.4,2.31,1.95,1.9,1.85,2.76,1.06,0.35,0.99,14.8,136.0,2.0
463.0,12.7,2.57,3.13,2.4,2.83,2.55,1.95,1.19,0.43,3.87,23.0,101.0,2.0
278.0,12.0,2.5,3.12,2.0,2.42,2.26,1.43,1.38,0.3,0.92,19.0,86.0,2.0
714.0,12.72,3.9,3.14,2.2,2.2,2.53,1.77,1.16,0.26,1.81,18.8,86.0,2.0
630.0,12.08,2.2,2.72,2.51,2.0,1.58,1.4,1.31,0.4,1.13,24.0,78.0,2.0
515.0,13.05,4.8,2.01,2.32,1.65,1.59,1.62,0.84,0.61,3.86,22.5,85.0,2.0
520.0,11.84,3.05,3.08,2.58,2.2,2.21,2.35,0.79,0.22,0.89,18.0,94.0,2.0
450.0,12.67,2.62,3.16,2.24,2.2,1.94,1.46,1.23,0.3,0.98,18.0,99.0,2.0
495.0,12.16,2.45,2.26,2.31,1.78,1.69,1.56,1.33,0.43,1.61,22.8,90.0,2.0
562.0,11.65,2.6,3.21,2.62,1.92,1.61,1.34,1.36,0.4,1.67,26.0,88.0,2.0
680.0,11.64,2.8,2.75,2.46,1.95,1.69,1.35,1.0,0.48,2.06,21.6,84.0,2.0
625.0,12.08,1.74,3.21,2.3,2.2,1.59,1.38,1.07,0.42,1.33,23.6,70.0,2.0
480.0,12.08,2.4,2.27,2.32,1.6,1.5,1.64,1.08,0.52,1.83,18.5,81.0,2.0
450.0,12.0,3.6,2.65,2.42,1.45,1.25,1.63,1.05,0.5,1.51,22.0,86.0,2.0
495.0,12.69,3.05,2.06,2.26,1.38,1.46,1.62,0.96,0.58,1.53,20.7,80.0,2.0
290.0,12.29,2.15,3.3,2.22,2.45,2.25,1.99,1.15,0.25,2.83,18.0,88.0,2.0
345.0,11.62,3.25,2.96,2.28,3.02,2.26,1.35,1.16,0.17,1.99,18.0,98.0,2.0
937.0,12.47,2.6,2.63,2.2,2.5,2.27,3.28,1.16,0.32,1.52,19.0,162.0,2.0
625.0,11.81,2.5,2.26,2.74,1.6,0.99,1.56,0.95,0.14,2.12,21.5,134.0,2.0
428.0,12.29,2.9,2.74,1.98,2.55,2.5,1.77,1.23,0.29,1.41,16.0,85.0,2.0
660.0,12.37,4.5,2.77,2.1,3.52,3.75,1.95,1.04,0.24,1.07,18.5,88.0,2.0
406.0,12.29,2.3,2.83,2.21,2.85,2.99,2.81,1.42,0.45,3.17,18.0,88.0,2.0
710.0,12.08,3.3,2.96,1.7,2.23,2.17,1.4,1.27,0.26,2.08,17.5,97.0,2.0
562.0,12.6,2.45,2.77,1.9,1.45,1.36,1.35,1.04,0.29,1.34,18.5,88.0,2.0
438.0,12.34,2.8,3.38,2.46,2.56,2.11,1.31,0.8,0.34,2.45,21.0,98.0,2.0
415.0,11.82,2.06,2.44,1.88,2.5,1.64,1.42,0.94,0.37,1.72,19.5,86.0,2.0
672.0,12.51,2.94,3.57,1.98,2.2,1.92,1.48,1.04,0.32,1.73,20.5,85.0,2.0
315.0,12.42,2.7,3.3,2.27,1.68,1.84,1.42,0.86,0.66,2.55,22.0,90.0,2.0
510.0,12.25,3.4,3.17,2.12,1.65,2.03,1.63,1.0,0.37,1.73,19.0,80.0,2.0
488.0,12.72,3.3,2.42,2.28,1.38,1.76,1.63,0.88,0.48,1.75,22.5,84.0,2.0
312.0,12.22,2.7,3.02,1.94,2.36,2.04,2.08,0.86,0.39,1.29,19.0,92.0,2.0
680.0,11.61,2.65,3.26,2.7,2.74,2.92,2.49,0.96,0.29,1.35,20.0,94.0,2.0
562.0,11.46,2.9,2.81,1.82,3.18,2.58,3.58,0.75,0.24,3.74,19.5,107.0,2.0
325.0,12.52,2.0,2.78,2.17,2.55,2.27,1.22,0.9,0.26,2.43,21.0,88.0,2.0
607.0,11.76,3.8,2.5,2.92,1.75,2.03,1.05,1.23,0.6,2.68,20.0,103.0,2.0
434.0,11.41,3.08,2.31,2.5,2.48,2.01,1.44,1.1,0.42,0.74,21.0,88.0,2.0
385.0,12.08,2.9,3.19,2.5,2.56,2.29,1.04,0.93,0.43,1.39,22.5,84.0,2.0
407.0,11.03,1.9,2.87,2.2,2.46,2.17,2.01,1.71,0.52,1.51,21.5,85.0,2.0
495.0,11.82,1.95,3.33,1.99,1.98,1.6,1.53,0.95,0.3,1.47,20.8,86.0,2.0
345.0,12.42,2.06,2.96,2.19,2.0,2.09,1.61,1.06,0.34,1.61,22.5,108.0,2.0
372.0,12.77,3.4,2.12,1.98,1.63,1.25,0.83,0.7,0.43,3.43,16.0,80.0,2.0
564.0,12.0,1.28,3.05,2.0,2.0,1.64,1.87,0.93,0.37,3.43,19.0,87.0,2.0
625.0,11.45,3.25,3.39,2.42,2.9,2.79,1.83,0.8,0.32,2.4,20.0,96.0,2.0
465.0,11.56,6.0,3.69,3.23,3.18,5.08,1.87,0.93,0.47,2.05,28.5,119.0,2.0
365.0,12.42,2.08,3.12,2.73,2.2,2.13,1.71,0.92,0.43,4.43,26.5,102.0,2.0
380.0,13.05,2.6,3.1,2.13,2.62,2.65,2.01,0.73,0.3,5.8,21.5,86.0,2.0
380.0,11.87,2.8,3.64,2.39,2.86,3.03,2.91,0.75,0.21,4.31,21.0,82.0,2.0
378.0,12.07,2.76,3.28,2.17,2.6,2.65,1.35,0.86,0.37,2.16,21.0,85.0,2.0
352.0,12.43,3.94,2.84,2.29,2.74,3.15,1.77,0.69,0.39,1.53,21.5,86.0,2.0
466.0,11.79,3.0,2.44,2.78,2.13,2.24,1.76,0.97,0.58,2.13,28.5,92.0,2.0
342.0,12.37,2.12,2.78,2.3,2.22,2.45,1.9,0.89,0.4,1.63,24.5,88.0,2.0
580.0,12.04,2.6,2.57,2.38,2.1,1.75,1.35,0.79,0.42,4.3,22.0,80.0,2.0
630.0,12.86,4.1,1.29,2.32,1.51,1.25,0.94,0.76,0.21,1.35,18.0,122.0,3.0
530.0,12.88,5.4,1.42,2.4,1.3,1.22,0.83,0.74,0.24,2.99,20.0,104.0,3.0
560.0,12.81,5.7,1.36,2.4,1.15,1.09,0.83,0.66,0.27,2.31,24.0,98.0,3.0
600.0,12.7,5.0,1.29,2.36,1.7,1.2,0.84,0.78,0.17,3.55,21.5,106.0,3.0
650.0,12.51,5.45,1.51,2.25,2.0,0.58,1.25,0.75,0.6,1.24,17.5,85.0,3.0
695.0,12.6,7.1,1.58,2.2,1.62,0.66,0.94,0.73,0.63,2.46,18.5,94.0,3.0
720.0,12.25,3.85,1.27,2.54,1.38,0.47,0.8,0.75,0.53,4.72,21.0,89.0,3.0
515.0,12.53,5.0,1.69,2.64,1.79,0.6,1.1,0.82,0.63,5.51,25.0,96.0,3.0
580.0,13.49,5.7,1.82,2.19,1.62,0.48,0.88,0.81,0.58,3.59,19.5,88.0,3.0
590.0,12.84,4.92,2.15,2.61,2.32,0.6,0.81,0.89,0.53,2.96,24.0,101.0,3.0
600.0,12.93,4.6,2.31,2.7,1.54,0.5,0.75,0.77,0.53,2.81,21.0,96.0,3.0
780.0,13.36,5.6,2.47,2.35,1.4,0.5,0.64,0.7,0.37,2.56,20.0,89.0,3.0
520.0,13.52,4.35,2.06,2.72,1.55,0.52,0.55,0.89,0.5,3.17,23.5,97.0,3.0
550.0,13.62,4.4,2.05,2.35,2.0,0.8,1.02,0.91,0.47,4.95,20.0,92.0,3.0
855.0,12.25,8.21,2.0,2.2,1.38,0.78,1.14,0.65,0.29,3.88,18.5,112.0,3.0
830.0,13.16,4.0,1.68,2.15,1.5,0.55,1.3,0.6,0.43,3.57,21.0,102.0,3.0
415.0,13.88,4.9,1.33,2.23,0.98,0.34,0.68,0.58,0.4,5.04,20.0,80.0,3.0
625.0,12.87,7.65,1.86,2.48,1.7,0.65,0.86,0.54,0.47,4.61,21.5,86.0,3.0
650.0,13.32,8.42,1.62,2.38,1.93,0.76,1.25,0.55,0.45,3.24,21.5,92.0,3.0
550.0,13.08,9.4,1.33,2.36,1.41,1.39,1.14,0.57,0.34,3.9,21.5,113.0,3.0
500.0,13.5,8.6,1.3,2.62,1.4,1.57,1.25,0.59,0.22,3.12,24.0,123.0,3.0
480.0,12.79,10.8,1.47,2.48,1.48,1.36,1.26,0.48,0.24,2.67,22.0,112.0,3.0
425.0,13.11,7.1,1.33,2.75,2.2,1.28,1.56,0.61,0.26,1.9,25.5,116.0,3.0
675.0,13.23,10.52,1.51,2.28,1.8,0.83,1.87,0.56,0.61,3.3,18.5,98.0,3.0
640.0,12.58,7.6,1.55,2.1,1.48,0.58,1.4,0.58,0.53,1.29,20.0,103.0,3.0
725.0,13.17,7.9,1.48,2.32,1.74,0.63,1.55,0.6,0.61,5.19,22.0,93.0,3.0
480.0,13.84,9.01,1.64,2.38,1.8,0.83,1.56,0.57,0.48,4.12,19.5,89.0,3.0
880.0,12.45,7.5,1.73,2.64,1.9,0.58,1.14,0.67,0.63,3.03,27.0,97.0,3.0
660.0,14.34,13.0,1.96,2.7,2.8,1.31,2.7,0.57,0.53,1.68,25.0,98.0,3.0
620.0,13.48,11.75,1.78,2.64,2.6,1.1,2.29,0.57,0.52,1.67,22.5,89.0,3.0
520.0,12.36,7.65,1.58,2.38,2.3,0.92,1.04,0.56,0.5,3.83,21.0,88.0,3.0
680.0,13.69,5.88,1.82,2.54,1.83,0.56,0.8,0.96,0.5,3.26,20.0,107.0,3.0
570.0,12.85,5.58,2.11,2.58,1.65,0.6,0.96,0.87,0.6,3.27,22.0,106.0,3.0
675.0,12.96,5.28,1.75,2.35,1.39,0.7,0.94,0.68,0.4,3.45,18.5,106.0,3.0
615.0,13.78,9.58,1.68,2.3,1.35,0.68,1.03,0.7,0.41,2.76,22.0,90.0,3.0
520.0,13.73,6.62,1.75,2.26,1.28,0.47,1.15,0.78,0.52,4.36,22.5,88.0,3.0
695.0,13.45,10.68,1.56,2.6,1.7,0.92,1.46,0.85,0.43,3.7,23.0,111.0,3.0
685.0,12.82,10.26,1.75,2.3,1.48,0.66,0.97,0.72,0.4,3.37,19.5,88.0,3.0
750.0,13.58,8.66,1.8,2.69,1.55,0.84,1.54,0.74,0.39,2.58,24.5,105.0,3.0
630.0,13.4,8.5,1.92,2.86,1.98,0.96,1.11,0.67,0.27,4.6,25.0,112.0,3.0
510.0,12.2,5.5,1.83,2.32,1.25,0.49,0.73,0.66,0.4,3.03,19.0,96.0,3.0
470.0,12.77,9.899999,1.63,2.28,1.39,0.51,0.64,0.57,0.48,2.39,19.5,86.0,3.0
660.0,14.16,9.7,1.71,2.48,1.68,0.7,1.24,0.62,0.44,2.51,20.0,91.0,3.0
740.0,13.71,7.7,1.74,2.45,1.68,0.61,1.06,0.64,0.52,5.65,20.5,95.0,3.0
750.0,13.4,7.3,1.56,2.48,1.8,0.75,1.41,0.7,0.43,3.91,23.0,102.0,3.0
835.0,13.27,10.2,1.56,2.26,1.59,0.69,1.35,0.59,0.43,4.28,20.0,120.0,3.0
840.0,13.17,9.3,1.62,2.37,1.65,0.68,1.46,0.6,0.53,2.59,20.0,120.0,3.0
560.0,14.13,9.2,1.6,2.74,2.05,0.76,1.35,0.61,0.56,4.1,24.5,96.0,3.0
