flavanoids,color_intensity,hue,nonflavanoid_phenols,OD280/OD315,alcalinity_of_ash,alcohol,proanthocyanins,ash,total_phenols,magnesium,malic_acid,proline ,class
3.14,6.2,1.07,0.33,2.65,20.0,14.3,1.97,2.72,2.8,120.0,1.92,1280.0,1.0
3.4,6.6,1.13,0.4,2.57,20.0,13.83,1.72,2.62,2.95,115.0,1.57,1130.0,1.0
3.93,8.7,1.23,0.32,2.82,16.5,14.19,1.86,2.48,3.3,108.0,1.59,1680.0,1.0
3.03,5.1,0.96,0.17,3.36,15.2,13.64,1.66,2.56,2.7,116.0,3.1,845.0,1.0
3.17,5.65,1.09,0.24,3.71,16.0,14.06,2.1,2.28,3.0,126.0,1.63,780.0,1.0
2.41,4.5,1.03,0.25,3.52,18.6,12.93,1.98,2.65,2.41,102.0,3.8,770.0,1.0
2.88,3.8,1.11,0.27,4.0,16.6,13.71,1.69,2.36,2.61,101.0,1.86,1035.0,1.0
2.37,3.93,1.09,0.26,3.63,17.8,12.85,1.46,2.52,2.48,95.0,1.6,1015.0,1.0
2.61,3.52,1.12,0.28,3.82,20.0,13.5,1.66,2.61,2.53,96.0,1.81,845.0,1.0
2.68,3.58,1.13,0.47,3.2,25.0,13.05,1.92,3.22,2.63,124.0,2.05,830.0,1.0
2.94,4.8,0.92,0.34,3.22,16.1,13.39,1.45,2.62,2.85,93.0,1.77,1195.0,1.0
2.19,3.95,1.02,0.27,2.77,17.0,13.3,1.35,2.14,2.4,94.0,1.72,1285.0,1.0
2.97,4.5,1.25,0.37,3.4,19.4,13.87,1.76,2.8,2.95,107.0,1.9,915.0,1.0
2.33,4.7,1.04,0.26,3.59,16.0,14.02,1.98,2.21,2.65,96.0,1.68,1035.0,1.0
3.25,5.7,1.19,0.29,2.71,22.5,13.73,2.38,2.7,3.0,101.0,1.5,1285.0,1.0
3.19,6.9,1.09,0.22,2.88,19.1,13.58,1.95,2.36,2.86,106.0,1.66,1515.0,1.0
2.69,3.84,1.23,0.42,2.87,17.2,13.68,1.97,2.36,2.42,104.0,1.83,990.0,1.0
2.74,5.4,1.25,0.5,3.0,19.5,13.76,1.35,2.7,2.95,132.0,1.53,1235.0,1.0
2.53,4.2,1.1,0.29,2.87,19.0,13.51,1.54,2.65,2.35,110.0,1.8,1095.0,1.0
2.98,5.1,1.04,0.26,3.47,20.5,13.48,1.86,2.41,2.7,100.0,1.81,920.0,1.0
2.68,4.6,1.09,0.34,2.78,15.5,13.28,1.36,2.84,2.6,110.0,1.64,880.0,1.0
2.43,4.25,1.12,0.29,2.51,18.0,13.05,1.44,2.55,2.45,98.0,1.65,1105.0,1.0
2.64,3.7,1.18,0.28,2.69,15.5,13.07,1.37,2.1,2.4,98.0,1.5,1020.0,1.0
3.04,5.1,0.89,0.2,3.53,13.2,14.22,2.08,2.51,3.0,128.0,3.99,760.0,1.0
3.29,6.13,0.95,0.34,3.38,16.2,13.56,2.34,2.31,3.15,117.0,1.71,795.0,1.0
2.68,4.28,0.91,0.27,3.0,18.8,13.41,1.48,2.12,2.45,90.0,3.84,1035.0,1.0
3.56,5.43,0.88,0.17,3.56,15.0,13.88,1.7,2.59,3.25,101.0,1.89,1095.0,1.0
2.63,4.36,0.82,0.32,3.0,17.5,13.24,1.66,2.29,2.64,103.0,3.98,680.0,1.0
3.0,5.04,0.88,0.28,3.35,17.0,13.05,2.03,2.1,3.0,107.0,1.77,885.0,1.0
2.65,5.24,0.87,0.3,3.33,18.9,14.21,1.25,2.44,2.85,111.0,4.04,1080.0,1.0
3.17,4.9,1.04,0.27,3.44,16.0,14.38,2.19,2.28,3.25,102.0,3.59,1065.0,1.0
3.39,6.1,0.91,0.21,3.33,16.0,13.9,2.14,2.12,3.1,101.0,1.68,985.0,1.0
2.92,6.2,1.07,0.32,2.75,18.8,14.1,2.38,2.4,2.75,103.0,2.02,1060.0,1.0
3.54,8.9,1.12,0.32,3.1,17.4,13.94,2.08,2.27,2.88,108.0,1.73,1260.0,1.0
3.27,7.2,1.12,0.17,2.91,12.4,13.05,2.91,2.04,2.72,92.0,1.73,1150.0,1.0
2.99,5.6,1.24,0.22,3.37,17.2,13.83,2.29,2.6,2.45,94.0,1.65,1265.0,1.0
3.74,7.05,1.01,0.32,3.26,14.0,13.82,1.87,2.42,3.88,111.0,1.75,1190.0,1.0
2.79,6.3,1.13,0.39,2.93,17.1,13.77,1.68,2.68,3.0,115.0,1.9,1375.0,1.0
2.9,5.85,0.92,0.21,3.2,16.4,13.74,1.62,2.25,2.6,118.0,1.67,1060.0,1.0
2.78,6.25,0.98,0.2,3.03,20.5,13.56,2.45,2.46,2.96,116.0,1.73,1120.0,1.0
3.0,6.38,0.94,0.26,3.31,16.3,14.22,2.03,2.3,3.2,118.0,1.7,970.0,1.0
3.23,6.0,1.07,0.31,2.84,16.8,13.29,1.66,2.68,3.0,102.0,1.97,1270.0,1.0
3.67,6.8,0.89,0.19,2.87,16.7,13.72,2.04,2.5,3.4,108.0,1.43,1285.0,1.0
0.57,1.95,1.05,0.28,1.82,10.6,12.37,0.42,1.36,1.98,88.0,0.94,520.0,2.0
1.09,3.27,1.25,0.63,1.67,16.0,12.33,0.41,2.28,2.05,101.0,1.1,680.0,2.0
1.41,5.75,0.98,0.53,1.59,16.8,12.64,0.62,2.02,2.02,100.0,1.36,450.0,2.0
1.79,3.8,1.23,0.32,2.46,18.0,13.67,0.73,1.92,2.1,94.0,1.25,630.0,2.0
3.1,4.45,1.22,0.19,2.87,19.0,12.37,1.87,2.16,3.5,87.0,1.13,420.0,2.0
1.75,2.95,1.45,0.45,2.23,19.0,12.17,1.03,2.53,1.89,104.0,1.45,355.0,2.0
2.65,4.6,1.19,0.37,2.3,18.1,12.37,2.08,2.56,2.42,98.0,1.21,678.0,2.0
3.18,5.3,1.12,0.26,3.18,15.0,13.11,2.28,1.7,2.98,78.0,1.01,502.0,2.0
2.0,4.68,1.12,0.27,3.48,19.6,12.37,1.04,1.92,2.11,78.0,1.17,510.0,2.0
1.3,3.17,1.02,0.55,1.93,17.0,13.34,0.42,2.36,2.53,110.0,0.94,750.0,2.0
1.28,2.85,1.28,0.14,3.07,16.8,12.21,2.5,1.75,1.85,151.0,1.19,718.0,2.0
1.02,3.05,0.906,0.37,1.82,20.4,12.29,1.46,2.21,1.1,103.0,1.61,870.0,2.0
2.86,3.38,1.36,0.21,3.16,25.0,13.86,1.87,2.67,2.95,86.0,1.51,410.0,2.0
1.84,3.74,0.98,0.27,2.78,24.0,13.49,1.03,2.24,1.88,87.0,1.66,472.0,2.0
2.89,3.35,1.31,0.21,3.5,30.0,12.99,1.96,2.6,3.3,139.0,1.67,985.0,2.0
2.14,3.21,0.99,0.13,3.13,21.0,11.96,1.65,2.3,3.38,101.0,1.09,886.0,2.0
1.57,3.8,1.23,0.34,2.14,16.0,11.66,1.15,1.92,1.61,97.0,1.88,428.0,2.0
2.03,4.6,1.19,0.24,2.48,16.0,13.03,1.46,1.71,1.95,86.0,0.9,392.0,2.0
1.32,2.65,0.96,0.43,2.52,18.0,11.84,0.95,2.23,1.72,112.0,2.89,500.0,2.0
1.85,3.4,1.06,0.35,2.31,14.8,12.33,2.76,1.95,1.9,136.0,0.99,750.0,2.0
2.55,2.57,1.19,0.43,3.13,23.0,12.7,1.95,2.4,2.83,101.0,3.87,463.0,2.0
2.26,2.5,1.38,0.3,3.12,19.0,12.0,1.43,2.0,2.42,86.0,0.92,278.0,2.0
2.53,3.9,1.16,0.26,3.14,18.8,12.72,1.77,2.2,2.2,86.0,1.81,714.0,2.0
1.58,2.2,1.31,0.4,2.72,24.0,12.08,1.4,2.51,2.0,78.0,1.13,630.0,2.0
1.59,4.8,0.84,0.61,2.01,22.5,13.05,1.62,2.32,1.65,85.0,3.86,515.0,2.0
2.21,3.05,0.79,0.22,3.08,18.0,11.84,2.35,2.58,2.2,94.0,0.89,520.0,2.0
1.94,2.62,1.23,0.3,3.16,18.0,12.67,1.46,2.24,2.2,99.0,0.98,450.0,2.0
1.69,2.45,1.33,0.43,2.26,22.8,12.16,1.56,2.31,1.78,90.0,1.61,495.0,2.0
1.61,2.6,1.36,0.4,3.21,26.0,11.65,1.34,2.62,1.92,88.0,1.67,562.0,2.0
1.69,2.8,1.0,0.48,2.75,21.6,11.64,1.35,2.46,1.95,84.0,2.06,680.0,2.0
1.59,1.74,1.07,0.42,3.21,23.6,12.08,1.38,2.3,2.2,70.0,1.33,625.0,2.0
1.5,2.4,1.08,0.52,2.27,18.5,12.08,1.64,2.32,1.6,81.0,1.83,480.0,2.0
1.25,3.6,1.05,0.5,2.65,22.0,12.0,1.63,2.42,1.45,86.0,1.51,450.0,2.0
1.46,3.05,0.96,0.58,2.06,20.7,12.69,1.62,2.26,1.38,80.0,1.53,495.0,2.0
2.25,2.15,1.15,0.25,3.3,18.0,12.29,1.99,2.22,2.45,88.0,2.83,290.0,2.0
2.26,3.25,1.16,0.17,2.96,18.0,11.62,1.35,2.28,3.02,98.0,1.99,345.0,2.0
2.27,2.6,1.16,0.32,2.63,19.0,12.47,3.28,2.2,2.5,162.0,1.52,937.0,2.0
0.99,2.5,0.95,0.14,2.26,21.5,11.81,1.56,2.74,1.6,134.0,2.12,625.0,2.0
2.5,2.9,1.23,0.29,2.74,16.0,12.29,1.77,1.98,2.55,85.0,1.41,428.0,2.0
3.75,4.5,1.04,0.24,2.77,18.5,12.37,1.95,2.1,3.52,88.0,1.07,660.0,2.0
2.99,2.3,1.42,0.45,2.83,18.0,12.29,2.81,2.21,2.85,88.0,3.17,406.0,2.0
2.17,3.3,1.27,0.26,2.96,17.5,12.08,1.4,1.7,2.23,97.0,2.08,710.0,2.0
1.36,2.45,1.04,0.29,2.77,18.5,12.6,1.35,1.9,1.45,88.0,1.34,562.0,2.0
2.11,2.8,0.8,0.34,3.38,21.0,12.34,1.31,2.46,2.56,98.0,2.45,438.0,2.0
1.64,2.06,0.94,0.37,2.44,19.5,11.82,1.42,1.88,2.5,86.0,1.72,415.0,2.0
1.92,2.94,1.04,0.32,3.57,20.5,12.51,1.48,1.98,2.2,85.0,1.73,672.0,2.0
1.84,2.7,0.86,0.66,3.3,22.0,12.42,1.42,2.27,1.68,90.0,2.55,315.0,2.0
2.03,3.4,1.0,0.37,3.17,19.0,12.25,1.63,2.12,1.65,80.0,1.73,510.0,2.0
1.76,3.3,0.88,0.48,2.42,22.5,12.72,1.63,2.28,1.38,84.0,1.75,488.0,2.0
2.04,2.7,0.86,0.39,3.02,19.0,12.22,2.08,1.94,2.36,92.0,1.29,312.0,2.0
2.92,2.65,0.96,0.29,3.26,20.0,11.61,2.49,2.7,2.74,94.0,1.35,680.0,2.0
2.58,2.9,0.75,0.24,2.81,19.5,11.46,3.58,1.82,3.18,107.0,3.74,562.0,2.0
2.27,2.0,0.9,0.26,2.78,21.0,12.52,1.22,2.17,2.55,88.0,2.43,325.0,2.0
2.03,3.8,1.23,0.6,2.5,20.0,11.76,1.05,2.92,1.75,103.0,2.68,607.0,2.0
2.01,3.08,1.1,0.42,2.31,21.0,11.41,1.44,2.5,2.48,88.0,0.74,434.0,2.0
2.29,2.9,0.93,0.43,3.19,22.5,12.08,1.04,2.5,2.56,84.0,1.39,385.0,2.0
2.17,1.9,1.71,0.52,2.87,21.5,11.03,2.01,2.2,2.46,85.0,1.51,407.0,2.0
1.6,1.95,0.95,0.3,3.33,20.8,11.82,1.53,1.99,1.98,86.0,1.47,495.0,2.0
2.09,2.06,1.06,0.34,2.96,22.5,12.42,1.61,2.19,2.0,108.0,1.61,345.0,2.0
1.25,3.4,0.7,0.43,2.12,16.0,12.77,0.83,1.98,1.63,80.0,3.43,372.0,2.0
1.64,1.28,0.93,0.37,3.05,19.0,12.0,1.87,2.0,2.0,87.0,3.43,564.0,2.0
2.79,3.25,0.8,0.32,3.39,20.0,11.45,1.83,2.42,2.9,96.0,2.4,625.0,2.0
5.08,6.0,0.93,0.47,3.69,28.5,11.56,1.87,3.23,3.18,119.0,2.05,465.0,2.0
2.13,2.08,0.92,0.43,3.12,26.5,12.42,1.71,2.73,2.2,102.0,4.43,365.0,2.0
2.65,2.6,0.73,0.3,3.1,21.5,13.05,2.01,2.13,2.62,86.0,5.8,380.0,2.0
3.03,2.8,0.75,0.21,3.64,21.0,11.87,2.91,2.39,2.86,82.0,4.31,380.0,2.0
2.65,2.76,0.86,0.37,3.28,21.0,12.07,1.35,2.17,2.6,85.0,2.16,378.0,2.0
3.15,3.94,0.69,0.39,2.84,21.5,12.43,1.77,2.29,2.74,86.0,1.53,352.0,2.0
2.24,3.0,0.97,0.58,2.44,28.5,11.79,1.76,2.78,2.13,92.0,2.13,466.0,2.0
2.45,2.12,0.89,0.4,2.78,24.5,12.37,1.9,2.3,2.22,88.0,1.63,342.0,2.0
1.75,2.6,0.79,0.42,2.57,22.0,12.04,1.35,2.38,2.1,80.0,4.3,580.0,2.0
1.25,4.1,0.76,0.21,1.29,18.0,12.86,0.94,2.32,1.51,122.0,1.35,630.0,3.0
1.22,5.4,0.74,0.24,1.42,20.0,12.88,0.83,2.4,1.3,104.0,2.99,530.0,3.0
1.09,5.7,0.66,0.27,1.36,24.0,12.81,0.83,2.4,1.15,98.0,2.31,560.0,3.0
1.2,5.0,0.78,0.17,1.29,21.5,12.7,0.84,2.36,1.7,106.0,3.55,600.0,3.0
0.58,5.45,0.75,0.6,1.51,17.5,12.51,1.25,2.25,2.0,85.0,1.24,650.0,3.0
0.66,7.1,0.73,0.63,1.58,18.5,12.6,0.94,2.2,1.62,94.0,2.46,695.0,3.0
0.47,3.85,0.75,0.53,1.27,21.0,12.25,0.8,2.54,1.38,89.0,4.72,720.0,3.0
0.6,5.0,0.82,0.63,1.69,25.0,12.53,1.1,2.64,1.79,96.0,5.51,515.0,3.0
0.48,5.7,0.81,0.58,1.82,19.5,13.49,0.88,2.19,1.62,88.0,3.59,580.0,3.0
0.6,4.92,0.89,0.53,2.15,24.0,12.84,0.81,2.61,2.32,101.0,2.96,590.0,3.0
0.5,4.6,0.77,0.53,2.31,21.0,12.93,0.75,2.7,1.54,96.0,2.81,600.0,3.0
0.5,5.6,0.7,0.37,2.47,20.0,13.36,0.64,2.35,1.4,89.0,2.56,780.0,3.0
0.52,4.35,0.89,0.5,2.06,23.5,13.52,0.55,2.72,1.55,97.0,3.17,520.0,3.0
0.8,4.4,0.91,0.47,2.05,20.0,13.62,1.02,2.35,2.0,92.0,4.95,550.0,3.0
0.78,8.21,0.65,0.29,2.0,18.5,12.25,1.14,2.2,1.38,112.0,3.88,855.0,3.0
0.55,4.0,0.6,0.43,1.68,21.0,13.16,1.3,2.15,1.5,102.0,3.57,830.0,3.0
0.34,4.9,0.58,0.4,1.33,20.0,13.88,0.68,2.23,0.98,80.0,5.04,415.0,3.0
0.65,7.65,0.54,0.47,1.86,21.5,12.87,0.86,2.48,1.7,86.0,4.61,625.0,3.0
0.76,8.42,0.55,0.45,1.62,21.5,13.32,1.25,2.38,1.93,92.0,3.24,650.0,3.0
1.39,9.4,0.57,0.34,1.33,21.5,13.08,1.14,2.36,1.41,113.0,3.9,550.0,3.0
1.57,8.6,0.59,0.22,1.3,24.0,13.5,1.25,2.62,1.4,123.0,3.12,500.0,3.0
1.36,10.8,0.48,0.24,1.47,22.0,12.79,1.26,2.48,1.48,112.0,2.67,480.0,3.0
1.28,7.1,0.61,0.26,1.33,25.5,13.11,1.56,2.75,2.2,116.0,1.9,425.0,3.0
0.83,10.52,0.56,0.61,1.51,18.5,13.23,1.87,2.28,1.8,98.0,3.3,675.0,3.0
0.58,7.6,0.58,0.53,1.55,20.0,12.58,1.4,2.1,1.48,103.0,1.29,640.0,3.0
0.63,7.9,0.6,0.61,1.48,22.0,13.17,1.55,2.32,1.74,93.0,5.19,725.0,3.0
0.83,9.01,0.57,0.48,1.64,19.5,13.84,1.56,2.38,1.8,89.0,4.12,480.0,3.0
0.58,7.5,0.67,0.63,1.73,27.0,12.45,1.14,2.64,1.9,97.0,3.03,880.0,3.0
1.31,13.0,0.57,0.53,1.96,25.0,14.34,2.7,2.7,2.8,98.0,1.68,660.0,3.0
1.1,11.75,0.57,0.52,1.78,22.5,13.48,2.29,2.64,2.6,89.0,1.67,620.0,3.0
0.92,7.65,0.56,0.5,1.58,21.0,12.36,1.04,2.38,2.3,88.0,3.83,520.0,3.0
0.56,5.88,0.96,0.5,1.82,20.0,13.69,0.8,2.54,1.83,107.0,3.26,680.0,3.0
0.6,5.58,0.87,0.6,2.11,22.0,12.85,0.96,2.58,1.65,106.0,3.27,570.0,3.0
0.7,5.28,0.68,0.4,1.75,18.5,12.96,0.94,2.35,1.39,106.0,3.45,675.0,3.0
0.68,9.58,0.7,0.41,1.68,22.0,13.78,1.03,2.3,1.35,90.0,2.76,615.0,3.0
0.47,6.62,0.78,0.52,1.75,22.5,13.73,1.15,2.26,1.28,88.0,4.36,520.0,3.0
0.92,10.68,0.85,0.43,1.56,23.0,13.45,1.46,2.6,1.7,111.0,3.7,695.0,3.0
0.66,10.26,0.72,0.4,1.75,19.5,12.82,0.97,2.3,1.48,88.0,3.37,685.0,3.0
0.84,8.66,0.74,0.39,1.8,24.5,13.58,1.54,2.69,1.55,105.0,2.58,750.0,3.0
0.96,8.5,0.67,0.27,1.92,25.0,13.4,1.11,2.86,1.98,112.0,4.6,630.0,3.0
0.49,5.5,0.66,0.4,1.83,19.0,12.2,0.73,2.32,1.25,96.0,3.03,510.0,3.0
0.51,9.899999,0.57,0.48,1.63,19.5,12.77,0.64,2.28,1.39,86.0,2.39,470.0,3.0
0.7,9.7,0.62,0.44,1.71,20.0,14.16,1.24,2.48,1.68,91.0,2.51,660.0,3.0
0.61,7.7,0.64,0.52,1.74,20.5,13.71,1.06,2.45,1.68,95.0,5.65,740.0,3.0
0.75,7.3,0.7,0.43,1.56,23.0,13.4,1.41,2.48,1.8,102.0,3.91,750.0,3.0
0.69,10.2,0.59,0.43,1.56,20.0,13.27,1.35,2.26,1.59,120.0,4.28,835.0,3.0
0.68,9.3,0.6,0.53,1.62,20.0,13.17,1.46,2.37,1.65,120.0,2.59,840.0,3.0
0.76,9.2,0.61,0.56,1.6,24.5,14.13,1.35,2.74,2.05,96.0,4.1,560.0,3.0
