proline ,color_intensity,malic_acid,nonflavanoid_phenols,hue,proanthocyanins,flavanoids,total_phenols,ash,OD280/OD315,alcohol,alcalinity_of_ash,magnesium,class
420.0,4.45,1.13,0.19,1.22,1.87,3.1,3.5,2.16,2.87,12.37,19.0,87.0,2.0
355.0,2.95,1.45,0.45,1.45,1.03,1.75,1.89,2.53,2.23,12.17,19.0,104.0,2.0
678.0,4.6,1.21,0.37,1.19,2.08,2.65,2.42,2.56,2.3,12.37,18.1,98.0,2.0
502.0,5.3,1.01,0.26,1.12,2.28,3.18,2.98,1.7,3.18,13.11,15.0,78.0,2.0
510.0,4.68,1.17,0.27,1.12,1.04,2.0,2.11,1.92,3.48,12.37,19.6,78.0,2.0
750.0,3.17,0.94,0.55,1.02,0.42,1.3,2.53,2.36,1.93,13.34,17.0,110.0,2.0
718.0,2.85,1.19,0.14,1.28,2.5,1.28,1.85,1.75,3.07,12.21,16.8,151.0,2.0
870.0,3.05,1.61,0.37,0.906,1.46,1.02,1.1,2.21,1.82,12.29,20.4,103.0,2.0
410.0,3.38,1.51,0.21,1.36,1.87,2.86,2.95,2.67,3.16,13.86,25.0,86.0,2.0
472.0,3.74,1.66,0.27,0.98,1.03,1.84,1.88,2.24,2.78,13.49,24.0,87.0,2.0
985.0,3.35,1.67,0.21,1.31,1.96,2.89,3.3,2.6,3.5,12.99,30.0,139.0,2.0
886.0,3.21,1.09,0.13,0.99,1.65,2.14,3.38,2.3,3.13,11.96,21.0,101.0,2.0
428.0,3.8,1.88,0.34,1.23,1.15,1.57,1.61,1.92,2.14,11.66,16.0,97.0,2.0
392.0,4.6,0.9,0.24,1.19,1.46,2.03,1.95,1.71,2.48,13.03,16.0,86.0,2.0
500.0,2.65,2.89,0.43,0.96,0.95,1.32,1.72,2.23,2.52,11.84,18.0,112.0,2.0
750.0,3.4,0.99,0.35,1.06,2.76,1.85,1.9,1.95,2.31,12.33,14.8,136.0,2.0
463.0,2.57,3.87,0.43,1.19,1.95,2.55,2.83,2.4,3.13,12.7,23.0,101.0,2.0
278.0,2.5,0.92,0.3,1.38,1.43,2.26,2.42,2.0,3.12,12.0,19.0,86.0,2.0
714.0,3.9,1.81,0.26,1.16,1.77,2.53,2.2,2.2,3.14,12.72,18.8,86.0,2.0
630.0,2.2,1.13,0.4,1.31,1.4,1.58,2.0,2.51,2.72,12.08,24.0,78.0,2.0
515.0,4.8,3.86,0.61,0.84,1.62,1.59,1.65,2.32,2.01,13.05,22.5,85.0,2.0
520.0,3.05,0.89,0.22,0.79,2.35,2.21,2.2,2.58,3.08,11.84,18.0,94.0,2.0
450.0,2.62,0.98,0.3,1.23,1.46,1.94,2.2,2.24,3.16,12.67,18.0,99.0,2.0
495.0,2.45,1.61,0.43,1.33,1.56,1.69,1.78,2.31,2.26,12.16,22.8,90.0,2.0
562.0,2.6,1.67,0.4,1.36,1.34,1.61,1.92,2.62,3.21,11.65,26.0,88.0,2.0
680.0,2.8,2.06,0.48,1.0,1.35,1.69,1.95,2.46,2.75,11.64,21.6,84.0,2.0
625.0,1.74,1.33,0.42,1.07,1.38,1.59,2.2,2.3,3.21,12.08,23.6,70.0,2.0
480.0,2.4,1.83,0.52,1.08,1.64,1.5,1.6,2.32,2.27,12.08,18.5,81.0,2.0
450.0,3.6,1.51,0.5,1.05,1.63,1.25,1.45,2.42,2.65,12.0,22.0,86.0,2.0
495.0,3.05,1.53,0.58,0.96,1.62,1.46,1.38,2.26,2.06,12.69,20.7,80.0,2.0
290.0,2.15,2.83,0.25,1.15,1.99,2.25,2.45,2.22,3.3,12.29,18.0,88.0,2.0
345.0,3.25,1.99,0.17,1.16,1.35,2.26,3.02,2.28,2.96,11.62,18.0,98.0,2.0
937.0,2.6,1.52,0.32,1.16,3.28,2.27,2.5,2.2,2.63,12.47,19.0,162.0,2.0
625.0,2.5,2.12,0.14,0.95,1.56,0.99,1.6,2.74,2.26,11.81,21.5,134.0,2.0
428.0,2.9,1.41,0.29,1.23,1.77,2.5,2.55,1.98,2.74,12.29,16.0,85.0,2.0
660.0,4.5,1.07,0.24,1.04,1.95,3.75,3.52,2.1,2.77,12.37,18.5,88.0,2.0
406.0,2.3,3.17,0.45,1.42,2.81,2.99,2.85,2.21,2.83,12.29,18.0,88.0,2.0
710.0,3.3,2.08,0.26,1.27,1.4,2.17,2.23,1.7,2.96,12.08,17.5,97.0,2.0
562.0,2.45,1.34,0.29,1.04,1.35,1.36,1.45,1.9,2.77,12.6,18.5,88.0,2.0
438.0,2.8,2.45,0.34,0.8,1.31,2.11,2.56,2.46,3.38,12.34,21.0,98.0,2.0
415.0,2.06,1.72,0.37,0.94,1.42,1.64,2.5,1.88,2.44,11.82,19.5,86.0,2.0
672.0,2.94,1.73,0.32,1.04,1.48,1.92,2.2,1.98,3.57,12.51,20.5,85.0,2.0
315.0,2.7,2.55,0.66,0.86,1.42,1.84,1.68,2.27,3.3,12.42,22.0,90.0,2.0
510.0,3.4,1.73,0.37,1.0,1.63,2.03,1.65,2.12,3.17,12.25,19.0,80.0,2.0
488.0,3.3,1.75,0.48,0.88,1.63,1.76,1.38,2.28,2.42,12.72,22.5,84.0,2.0
312.0,2.7,1.29,0.39,0.86,2.08,2.04,2.36,1.94,3.02,12.22,19.0,92.0,2.0
680.0,2.65,1.35,0.29,0.96,2.49,2.92,2.74,2.7,3.26,11.61,20.0,94.0,2.0
562.0,2.9,3.74,0.24,0.75,3.58,2.58,3.18,1.82,2.81,11.46,19.5,107.0,2.0
325.0,2.0,2.43,0.26,0.9,1.22,2.27,2.55,2.17,2.78,12.52,21.0,88.0,2.0
607.0,3.8,2.68,0.6,1.23,1.05,2.03,1.75,2.92,2.5,11.76,20.0,103.0,2.0
434.0,3.08,0.74,0.42,1.1,1.44,2.01,2.48,2.5,2.31,11.41,21.0,88.0,2.0
385.0,2.9,1.39,0.43,0.93,1.04,2.29,2.56,2.5,3.19,12.08,22.5,84.0,2.0
407.0,1.9,1.51,0.52,1.71,2.01,2.17,2.46,2.2,2.87,11.03,21.5,85.0,2.0
495.0,1.95,1.47,0.3,0.95,1.53,1.6,1.98,1.99,3.33,11.82,20.8,86.0,2.0
345.0,2.06,1.61,0.34,1.06,1.61,2.09,2.0,2.19,2.96,12.42,22.5,108.0,2.0
372.0,3.4,3.43,0.43,0.7,0.83,1.25,1.63,1.98,2.12,12.77,16.0,80.0,2.0
564.0,1.28,3.43,0.37,0.93,1.87,1.64,2.0,2.0,3.05,12.0,19.0,87.0,2.0
625.0,3.25,2.4,0.32,0.8,1.83,2.79,2.9,2.42,3.39,11.45,20.0,96.0,2.0
465.0,6.0,2.05,0.47,0.93,1.87,5.08,3.18,3.23,3.69,11.56,28.5,119.0,2.0
365.0,2.08,4.43,0.43,0.92,1.71,2.13,2.2,2.73,3.12,12.42,26.5,102.0,2.0
380.0,2.6,5.8,0.3,0.73,2.01,2.65,2.62,2.13,3.1,13.05,21.5,86.0,2.0
380.0,2.8,4.31,0.21,0.75,2.91,3.03,2.86,2.39,3.64,11.87,21.0,82.0,2.0
378.0,2.76,2.16,0.37,0.86,1.35,2.65,2.6,2.17,3.28,12.07,21.0,85.0,2.0
352.0,3.94,1.53,0.39,0.69,1.77,3.15,2.74,2.29,2.84,12.43,21.5,86.0,2.0
466.0,3.0,2.13,0.58,0.97,1.76,2.24,2.13,2.78,2.44,11.79,28.5,92.0,2.0
342.0,2.12,1.63,0.4,0.89,1.9,2.45,2.22,2.3,2.78,12.37,24.5,88.0,2.0
580.0,2.6,4.3,0.42,0.79,1.35,1.75,2.1,2.38,2.57,12.04,22.0,80.0,2.0
630.0,4.1,1.35,0.21,0.76,0.94,1.25,1.51,2.32,1.29,12.86,18.0,122.0,3.0
530.0,5.4,2.99,0.24,0.74,0.83,1.22,1.3,2.4,1.42,12.88,20.0,104.0,3.0
560.0,5.7,2.31,0.27,0.66,0.83,1.09,1.15,2.4,1.36,12.81,24.0,98.0,3.0
600.0,5.0,3.55,0.17,0.78,0.84,1.2,1.7,2.36,1.29,12.7,21.5,106.0,3.0
650.0,5.45,1.24,0.6,0.75,1.25,0.58,2.0,2.25,1.51,12.51,17.5,85.0,3.0
695.0,7.1,2.46,0.63,0.73,0.94,0.66,1.62,2.2,1.58,12.6,18.5,94.0,3.0
720.0,3.85,4.72,0.53,0.75,0.8,0.47,1.38,2.54,1.27,12.25,21.0,89.0,3.0
515.0,5.0,5.51,0.63,0.82,1.1,0.6,1.79,2.64,1.69,12.53,25.0,96.0,3.0
580.0,5.7,3.59,0.58,0.81,0.88,0.48,1.62,2.19,1.82,13.49,19.5,88.0,3.0
590.0,4.92,2.96,0.53,0.89,0.81,0.6,2.32,2.61,2.15,12.84,24.0,101.0,3.0
600.0,4.6,2.81,0.53,0.77,0.75,0.5,1.54,2.7,2.31,12.93,21.0,96.0,3.0
780.0,5.6,2.56,0.37,0.7,0.64,0.5,1.4,2.35,2.47,13.36,20.0,89.0,3.0
520.0,4.35,3.17,0.5,0.89,0.55,0.52,1.55,2.72,2.06,13.52,23.5,97.0,3.0
550.0,4.4,4.95,0.47,0.91,1.02,0.8,2.0,2.35,2.05,13.62,20.0,92.0,3.0
855.0,8.21,3.88,0.29,0.65,1.14,0.78,1.38,2.2,2.0,12.25,18.5,112.0,3.0
830.0,4.0,3.57,0.43,0.6,1.3,0.55,1.5,2.15,1.68,13.16,21.0,102.0,3.0
415.0,4.9,5.04,0.4,0.58,0.68,0.34,0.98,2.23,1.33,13.88,20.0,80.0,3.0
625.0,7.65,4.61,0.47,0.54,0.86,0.65,1.7,2.48,1.86,12.87,21.5,86.0,3.0
650.0,8.42,3.24,0.45,0.55,1.25,0.76,1.93,2.38,1.62,13.32,21.5,92.0,3.0
550.0,9.4,3.9,0.34,0.57,1.14,1.39,1.41,2.36,1.33,13.08,21.5,113.0,3.0
500.0,8.6,3.12,0.22,0.59,1.25,1.57,1.4,2.62,1.3,13.5,24.0,123.0,3.0
480.0,10.8,2.67,0.24,0.48,1.26,1.36,1.48,2.48,1.47,12.79,22.0,112.0,3.0
425.0,7.1,1.9,0.26,0.61,1.56,1.28,2.2,2.75,1.33,13.11,25.5,116.0,3.0
675.0,10.52,3.3,0.61,0.56,1.87,0.83,1.8,2.28,1.51,13.23,18.5,98.0,3.0
640.0,7.6,1.29,0.53,0.58,1.4,0.58,1.48,2.1,1.55,12.58,20.0,103.0,3.0
725.0,7.9,5.19,0.61,0.6,1.55,0.63,1.74,2.32,1.48,13.17,22.0,93.0,3.0
480.0,9.01,4.12,0.48,0.57,1.56,0.83,1.8,2.38,1.64,13.84,19.5,89.0,3.0
880.0,7.5,3.03,0.63,0.67,1.14,0.58,1.9,2.64,1.73,12.45,27.0,97.0,3.0
660.0,13.0,1.68,0.53,0.57,2.7,1.31,2.8,2.7,1.96,14.34,25.0,98.0,3.0
620.0,11.75,1.67,0.52,0.57,2.29,1.1,2.6,2.64,1.78,13.48,22.5,89.0,3.0
520.0,7.65,3.83,0.5,0.56,1.04,0.92,2.3,2.38,1.58,12.36,21.0,88.0,3.0
680.0,5.88,3.26,0.5,0.96,0.8,0.56,1.83,2.54,1.82,13.69,20.0,107.0,3.0
570.0,5.58,3.27,0.6,0.87,0.96,0.6,1.65,2.58,2.11,12.85,22.0,106.0,3.0
675.0,5.28,3.45,0.4,0.68,0.94,0.7,1.39,2.35,1.75,12.96,18.5,106.0,3.0
615.0,9.58,2.76,0.41,0.7,1.03,0.68,1.35,2.3,1.68,13.78,22.0,90.0,3.0
520.0,6.62,4.36,0.52,0.78,1.15,0.47,1.28,2.26,1.75,13.73,22.5,88.0,3.0
695.0,10.68,3.7,0.43,0.85,1.46,0.92,1.7,2.6,1.56,13.45,23.0,111.0,3.0
685.0,10.26,3.37,0.4,0.72,0.97,0.66,1.48,2.3,1.75,12.82,19.5,88.0,3.0
750.0,8.66,2.58,0.39,0.74,1.54,0.84,1.55,2.69,1.8,13.58,24.5,105.0,3.0
630.0,8.5,4.6,0.27,0.67,1.11,0.96,1.98,2.86,1.92,13.4,25.0,112.0,3.0
510.0,5.5,3.03,0.4,0.66,0.73,0.49,1.25,2.32,1.83,12.2,19.0,96.0,3.0
470.0,9.899999,2.39,0.48,0.57,0.64,0.51,1.39,2.28,1.63,12.77,19.5,86.0,3.0
660.0,9.7,2.51,0.44,0.62,1.24,0.7,1.68,2.48,1.71,14.16,20.0,91.0,3.0
740.0,7.7,5.65,0.52,0.64,1.06,0.61,1.68,2.45,1.74,13.71,20.5,95.0,3.0
750.0,7.3,3.91,0.43,0.7,1.41,0.75,1.8,2.48,1.56,13.4,23.0,102.0,3.0
835.0,10.2,4.28,0.43,0.59,1.35,0.69,1.59,2.26,1.56,13.27,20.0,120.0,3.0
840.0,9.3,2.59,0.53,0.6,1.46,0.68,1.65,2.37,1.62,13.17,20.0,120.0,3.0
560.0,9.2,4.1,0.56,0.61,1.35,0.76,2.05,2.74,1.6,14.13,24.5,96.0,3.0
