proline ,nonflavanoid_phenols,hue,proanthocyanins,flavanoids,total_phenols,OD280/OD315,ash,malic_acid,color_intensity,alcohol,alcalinity_of_ash,magnesium,class
1235.0,0.5,1.25,1.35,2.74,2.95,3.0,2.7,1.53,5.4,13.76,19.5,132.0,1.0
1095.0,0.29,1.1,1.54,2.53,2.35,2.87,2.65,1.8,4.2,13.51,19.0,110.0,1.0
920.0,0.26,1.04,1.86,2.98,2.7,3.47,2.41,1.81,5.1,13.48,20.5,100.0,1.0
880.0,0.34,1.09,1.36,2.68,2.6,2.78,2.84,1.64,4.6,13.28,15.5,110.0,1.0
1105.0,0.29,1.12,1.44,2.43,2.45,2.51,2.55,1.65,4.25,13.05,18.0,98.0,1.0
1020.0,0.28,1.18,1.37,2.64,2.4,2.69,2.1,1.5,3.7,13.07,15.5,98.0,1.0
760.0,0.2,0.89,2.08,3.04,3.0,3.53,2.51,3.99,5.1,14.22,13.2,128.0,1.0
795.0,0.34,0.95,2.34,3.29,3.15,3.38,2.31,1.71,6.13,13.56,16.2,117.0,1.0
1035.0,0.27,0.91,1.48,2.68,2.45,3.0,2.12,3.84,4.28,13.41,18.8,90.0,1.0
1095.0,0.17,0.88,1.7,3.56,3.25,3.56,2.59,1.89,5.43,13.88,15.0,101.0,1.0
680.0,0.32,0.82,1.66,2.63,2.64,3.0,2.29,3.98,4.36,13.24,17.5,103.0,1.0
885.0,0.28,0.88,2.03,3.0,3.0,3.35,2.1,1.77,5.04,13.05,17.0,107.0,1.0
1080.0,0.3,0.87,1.25,2.65,2.85,3.33,2.44,4.04,5.24,14.21,18.9,111.0,1.0
1065.0,0.27,1.04,2.19,3.17,3.25,3.44,2.28,3.59,4.9,14.38,16.0,102.0,1.0
985.0,0.21,0.91,2.14,3.39,3.1,3.33,2.12,1.68,6.1,13.9,16.0,101.0,1.0
1060.0,0.32,1.07,2.38,2.92,2.75,2.75,2.4,2.02,6.2,14.1,18.8,103.0,1.0
1260.0,0.32,1.12,2.08,3.54,2.88,3.1,2.27,1.73,8.9,13.94,17.4,108.0,1.0
1150.0,0.17,1.12,2.91,3.27,2.72,2.91,2.04,1.73,7.2,13.05,12.4,92.0,1.0
1265.0,0.22,1.24,2.29,2.99,2.45,3.37,2.6,1.65,5.6,13.83,17.2,94.0,1.0
1190.0,0.32,1.01,1.87,3.74,3.88,3.26,2.42,1.75,7.05,13.82,14.0,111.0,1.0
1375.0,0.39,1.13,1.68,2.79,3.0,2.93,2.68,1.9,6.3,13.77,17.1,115.0,1.0
1060.0,0.21,0.92,1.62,2.9,2.6,3.2,2.25,1.67,5.85,13.74,16.4,118.0,1.0
1120.0,0.2,0.98,2.45,2.78,2.96,3.03,2.46,1.73,6.25,13.56,20.5,116.0,1.0
970.0,0.26,0.94,2.03,3.0,3.2,3.31,2.3,1.7,6.38,14.22,16.3,118.0,1.0
1270.0,0.31,1.07,1.66,3.23,3.0,2.84,2.68,1.97,6.0,13.29,16.8,102.0,1.0
1285.0,0.19,0.89,2.04,3.67,3.4,2.87,2.5,1.43,6.8,13.72,16.7,108.0,1.0
520.0,0.28,1.05,0.42,0.57,1.98,1.82,1.36,0.94,1.95,12.37,10.6,88.0,2.0
680.0,0.63,1.25,0.41,1.09,2.05,1.67,2.28,1.1,3.27,12.33,16.0,101.0,2.0
450.0,0.53,0.98,0.62,1.41,2.02,1.59,2.02,1.36,5.75,12.64,16.8,100.0,2.0
630.0,0.32,1.23,0.73,1.79,2.1,2.46,1.92,1.25,3.8,13.67,18.0,94.0,2.0
420.0,0.19,1.22,1.87,3.1,3.5,2.87,2.16,1.13,4.45,12.37,19.0,87.0,2.0
355.0,0.45,1.45,1.03,1.75,1.89,2.23,2.53,1.45,2.95,12.17,19.0,104.0,2.0
678.0,0.37,1.19,2.08,2.65,2.42,2.3,2.56,1.21,4.6,12.37,18.1,98.0,2.0
502.0,0.26,1.12,2.28,3.18,2.98,3.18,1.7,1.01,5.3,13.11,15.0,78.0,2.0
510.0,0.27,1.12,1.04,2.0,2.11,3.48,1.92,1.17,4.68,12.37,19.6,78.0,2.0
750.0,0.55,1.02,0.42,1.3,2.53,1.93,2.36,0.94,3.17,13.34,17.0,110.0,2.0
718.0,0.14,1.28,2.5,1.28,1.85,3.07,1.75,1.19,2.85,12.21,16.8,151.0,2.0
870.0,0.37,0.906,1.46,1.02,1.1,1.82,2.21,1.61,3.05,12.29,20.4,103.0,2.0
410.0,0.21,1.36,1.87,2.86,2.95,3.16,2.67,1.51,3.38,13.86,25.0,86.0,2.0
472.0,0.27,0.98,1.03,1.84,1.88,2.78,2.24,1.66,3.74,13.49,24.0,87.0,2.0
985.0,0.21,1.31,1.96,2.89,3.3,3.5,2.6,1.67,3.35,12.99,30.0,139.0,2.0
886.0,0.13,0.99,1.65,2.14,3.38,3.13,2.3,1.09,3.21,11.96,21.0,101.0,2.0
428.0,0.34,1.23,1.15,1.57,1.61,2.14,1.92,1.88,3.8,11.66,16.0,97.0,2.0
392.0,0.24,1.19,1.46,2.03,1.95,2.48,1.71,0.9,4.6,13.03,16.0,86.0,2.0
500.0,0.43,0.96,0.95,1.32,1.72,2.52,2.23,2.89,2.65,11.84,18.0,112.0,2.0
750.0,0.35,1.06,2.76,1.85,1.9,2.31,1.95,0.99,3.4,12.33,14.8,136.0,2.0
463.0,0.43,1.19,1.95,2.55,2.83,3.13,2.4,3.87,2.57,12.7,23.0,101.0,2.0
278.0,0.3,1.38,1.43,2.26,2.42,3.12,2.0,0.92,2.5,12.0,19.0,86.0,2.0
714.0,0.26,1.16,1.77,2.53,2.2,3.14,2.2,1.81,3.9,12.72,18.8,86.0,2.0
630.0,0.4,1.31,1.4,1.58,2.0,2.72,2.51,1.13,2.2,12.08,24.0,78.0,2.0
515.0,0.61,0.84,1.62,1.59,1.65,2.01,2.32,3.86,4.8,13.05,22.5,85.0,2.0
520.0,0.22,0.79,2.35,2.21,2.2,3.08,2.58,0.89,3.05,11.84,18.0,94.0,2.0
450.0,0.3,1.23,1.46,1.94,2.2,3.16,2.24,0.98,2.62,12.67,18.0,99.0,2.0
495.0,0.43,1.33,1.56,1.69,1.78,2.26,2.31,1.61,2.45,12.16,22.8,90.0,2.0
562.0,0.4,1.36,1.34,1.61,1.92,3.21,2.62,1.67,2.6,11.65,26.0,88.0,2.0
680.0,0.48,1.0,1.35,1.69,1.95,2.75,2.46,2.06,2.8,11.64,21.6,84.0,2.0
625.0,0.42,1.07,1.38,1.59,2.2,3.21,2.3,1.33,1.74,12.08,23.6,70.0,2.0
480.0,0.52,1.08,1.64,1.5,1.6,2.27,2.32,1.83,2.4,12.08,18.5,81.0,2.0
450.0,0.5,1.05,1.63,1.25,1.45,2.65,2.42,1.51,3.6,12.0,22.0,86.0,2.0
495.0,0.58,0.96,1.62,1.46,1.38,2.06,2.26,1.53,3.05,12.69,20.7,80.0,2.0
290.0,0.25,1.15,1.99,2.25,2.45,3.3,2.22,2.83,2.15,12.29,18.0,88.0,2.0
345.0,0.17,1.16,1.35,2.26,3.02,2.96,2.28,1.99,3.25,11.62,18.0,98.0,2.0
937.0,0.32,1.16,3.28,2.27,2.5,2.63,2.2,1.52,2.6,12.47,19.0,162.0,2.0
625.0,0.14,0.95,1.56,0.99,1.6,2.26,2.74,2.12,2.5,11.81,21.5,134.0,2.0
428.0,0.29,1.23,1.77,2.5,2.55,2.74,1.98,1.41,2.9,12.29,16.0,85.0,2.0
660.0,0.24,1.04,1.95,3.75,3.52,2.77,2.1,1.07,4.5,12.37,18.5,88.0,2.0
406.0,0.45,1.42,2.81,2.99,2.85,2.83,2.21,3.17,2.3,12.29,18.0,88.0,2.0
710.0,0.26,1.27,1.4,2.17,2.23,2.96,1.7,2.08,3.3,12.08,17.5,97.0,2.0
562.0,0.29,1.04,1.35,1.36,1.45,2.77,1.9,1.34,2.45,12.6,18.5,88.0,2.0
438.0,0.34,0.8,1.31,2.11,2.56,3.38,2.46,2.45,2.8,12.34,21.0,98.0,2.0
415.0,0.37,0.94,1.42,1.64,2.5,2.44,1.88,1.72,2.06,11.82,19.5,86.0,2.0
672.0,0.32,1.04,1.48,1.92,2.2,3.57,1.98,1.73,2.94,12.51,20.5,85.0,2.0
315.0,0.66,0.86,1.42,1.84,1.68,3.3,2.27,2.55,2.7,12.42,22.0,90.0,2.0
510.0,0.37,1.0,1.63,2.03,1.65,3.17,2.12,1.73,3.4,12.25,19.0,80.0,2.0
488.0,0.48,0.88,1.63,1.76,1.38,2.42,2.28,1.75,3.3,12.72,22.5,84.0,2.0
312.0,0.39,0.86,2.08,2.04,2.36,3.02,1.94,1.29,2.7,12.22,19.0,92.0,2.0
680.0,0.29,0.96,2.49,2.92,2.74,3.26,2.7,1.35,2.65,11.61,20.0,94.0,2.0
562.0,0.24,0.75,3.58,2.58,3.18,2.81,1.82,3.74,2.9,11.46,19.5,107.0,2.0
325.0,0.26,0.9,1.22,2.27,2.55,2.78,2.17,2.43,2.0,12.52,21.0,88.0,2.0
607.0,0.6,1.23,1.05,2.03,1.75,2.5,2.92,2.68,3.8,11.76,20.0,103.0,2.0
434.0,0.42,1.1,1.44,2.01,2.48,2.31,2.5,0.74,3.08,11.41,21.0,88.0,2.0
385.0,0.43,0.93,1.04,2.29,2.56,3.19,2.5,1.39,2.9,12.08,22.5,84.0,2.0
407.0,0.52,1.71,2.01,2.17,2.46,2.87,2.2,1.51,1.9,11.03,21.5,85.0,2.0
495.0,0.3,0.95,1.53,1.6,1.98,3.33,1.99,1.47,1.95,11.82,20.8,86.0,2.0
345.0,0.34,1.06,1.61,2.09,2.0,2.96,2.19,1.61,2.06,12.42,22.5,108.0,2.0
372.0,0.43,0.7,0.83,1.25,1.63,2.12,1.98,3.43,3.4,12.77,16.0,80.0,2.0
564.0,0.37,0.93,1.87,1.64,2.0,3.05,2.0,3.43,1.28,12.0,19.0,87.0,2.0
625.0,0.32,0.8,1.83,2.79,2.9,3.39,2.42,2.4,3.25,11.45,20.0,96.0,2.0
465.0,0.47,0.93,1.87,5.08,3.18,3.69,3.23,2.05,6.0,11.56,28.5,119.0,2.0
365.0,0.43,0.92,1.71,2.13,2.2,3.12,2.73,4.43,2.08,12.42,26.5,102.0,2.0
380.0,0.3,0.73,2.01,2.65,2.62,3.1,2.13,5.8,2.6,13.05,21.5,86.0,2.0
380.0,0.21,0.75,2.91,3.03,2.86,3.64,2.39,4.31,2.8,11.87,21.0,82.0,2.0
378.0,0.37,0.86,1.35,2.65,2.6,3.28,2.17,2.16,2.76,12.07,21.0,85.0,2.0
352.0,0.39,0.69,1.77,3.15,2.74,2.84,2.29,1.53,3.94,12.43,21.5,86.0,2.0
466.0,0.58,0.97,1.76,2.24,2.13,2.44,2.78,2.13,3.0,11.79,28.5,92.0,2.0
342.0,0.4,0.89,1.9,2.45,2.22,2.78,2.3,1.63,2.12,12.37,24.5,88.0,2.0
580.0,0.42,0.79,1.35,1.75,2.1,2.57,2.38,4.3,2.6,12.04,22.0,80.0,2.0
630.0,0.21,0.76,0.94,1.25,1.51,1.29,2.32,1.35,4.1,12.86,18.0,122.0,3.0
530.0,0.24,0.74,0.83,1.22,1.3,1.42,2.4,2.99,5.4,12.88,20.0,104.0,3.0
560.0,0.27,0.66,0.83,1.09,1.15,1.36,2.4,2.31,5.7,12.81,24.0,98.0,3.0
600.0,0.17,0.78,0.84,1.2,1.7,1.29,2.36,3.55,5.0,12.7,21.5,106.0,3.0
650.0,0.6,0.75,1.25,0.58,2.0,1.51,2.25,1.24,5.45,12.51,17.5,85.0,3.0
695.0,0.63,0.73,0.94,0.66,1.62,1.58,2.2,2.46,7.1,12.6,18.5,94.0,3.0
720.0,0.53,0.75,0.8,0.47,1.38,1.27,2.54,4.72,3.85,12.25,21.0,89.0,3.0
515.0,0.63,0.82,1.1,0.6,1.79,1.69,2.64,5.51,5.0,12.53,25.0,96.0,3.0
580.0,0.58,0.81,0.88,0.48,1.62,1.82,2.19,3.59,5.7,13.49,19.5,88.0,3.0
590.0,0.53,0.89,0.81,0.6,2.32,2.15,2.61,2.96,4.92,12.84,24.0,101.0,3.0
600.0,0.53,0.77,0.75,0.5,1.54,2.31,2.7,2.81,4.6,12.93,21.0,96.0,3.0
780.0,0.37,0.7,0.64,0.5,1.4,2.47,2.35,2.56,5.6,13.36,20.0,89.0,3.0
520.0,0.5,0.89,0.55,0.52,1.55,2.06,2.72,3.17,4.35,13.52,23.5,97.0,3.0
550.0,0.47,0.91,1.02,0.8,2.0,2.05,2.35,4.95,4.4,13.62,20.0,92.0,3.0
855.0,0.29,0.65,1.14,0.78,1.38,2.0,2.2,3.88,8.21,12.25,18.5,112.0,3.0
830.0,0.43,0.6,1.3,0.55,1.5,1.68,2.15,3.57,4.0,13.16,21.0,102.0,3.0
415.0,0.4,0.58,0.68,0.34,0.98,1.33,2.23,5.04,4.9,13.88,20.0,80.0,3.0
625.0,0.47,0.54,0.86,0.65,1.7,1.86,2.48,4.61,7.65,12.87,21.5,86.0,3.0
650.0,0.45,0.55,1.25,0.76,1.93,1.62,2.38,3.24,8.42,13.32,21.5,92.0,3.0
550.0,0.34,0.57,1.14,1.39,1.41,1.33,2.36,3.9,9.4,13.08,21.5,113.0,3.0
500.0,0.22,0.59,1.25,1.57,1.4,1.3,2.62,3.12,8.6,13.5,24.0,123.0,3.0
480.0,0.24,0.48,1.26,1.36,1.48,1.47,2.48,2.67,10.8,12.79,22.0,112.0,3.0
425.0,0.26,0.61,1.56,1.28,2.2,1.33,2.75,1.9,7.1,13.11,25.5,116.0,3.0
675.0,0.61,0.56,1.87,0.83,1.8,1.51,2.28,3.3,10.52,13.23,18.5,98.0,3.0
640.0,0.53,0.58,1.4,0.58,1.48,1.55,2.1,1.29,7.6,12.58,20.0,103.0,3.0
725.0,0.61,0.6,1.55,0.63,1.74,1.48,2.32,5.19,7.9,13.17,22.0,93.0,3.0
480.0,0.48,0.57,1.56,0.83,1.8,1.64,2.38,4.12,9.01,13.84,19.5,89.0,3.0
880.0,0.63,0.67,1.14,0.58,1.9,1.73,2.64,3.03,7.5,12.45,27.0,97.0,3.0
660.0,0.53,0.57,2.7,1.31,2.8,1.96,2.7,1.68,13.0,14.34,25.0,98.0,3.0
620.0,0.52,0.57,2.29,1.1,2.6,1.78,2.64,1.67,11.75,13.48,22.5,89.0,3.0
520.0,0.5,0.56,1.04,0.92,2.3,1.58,2.38,3.83,7.65,12.36,21.0,88.0,3.0
680.0,0.5,0.96,0.8,0.56,1.83,1.82,2.54,3.26,5.88,13.69,20.0,107.0,3.0
570.0,0.6,0.87,0.96,0.6,1.65,2.11,2.58,3.27,5.58,12.85,22.0,106.0,3.0
675.0,0.4,0.68,0.94,0.7,1.39,1.75,2.35,3.45,5.28,12.96,18.5,106.0,3.0
615.0,0.41,0.7,1.03,0.68,1.35,1.68,2.3,2.76,9.58,13.78,22.0,90.0,3.0
520.0,0.52,0.78,1.15,0.47,1.28,1.75,2.26,4.36,6.62,13.73,22.5,88.0,3.0
695.0,0.43,0.85,1.46,0.92,1.7,1.56,2.6,3.7,10.68,13.45,23.0,111.0,3.0
685.0,0.4,0.72,0.97,0.66,1.48,1.75,2.3,3.37,10.26,12.82,19.5,88.0,3.0
750.0,0.39,0.74,1.54,0.84,1.55,1.8,2.69,2.58,8.66,13.58,24.5,105.0,3.0
630.0,0.27,0.67,1.11,0.96,1.98,1.92,2.86,4.6,8.5,13.4,25.0,112.0,3.0
510.0,0.4,0.66,0.73,0.49,1.25,1.83,2.32,3.03,5.5,12.2,19.0,96.0,3.0
470.0,0.48,0.57,0.64,0.51,1.39,1.63,2.28,2.39,9.899999,12.77,19.5,86.0,3.0
660.0,0.44,0.62,1.24,0.7,1.68,1.71,2.48,2.51,9.7,14.16,20.0,91.0,3.0
740.0,0.52,0.64,1.06,0.61,1.68,1.74,2.45,5.65,7.7,13.71,20.5,95.0,3.0
750.0,0.43,0.7,1.41,0.75,1.8,1.56,2.48,3.91,7.3,13.4,23.0,102.0,3.0
835.0,0.43,0.59,1.35,0.69,1.59,1.56,2.26,4.28,10.2,13.27,20.0,120.0,3.0
840.0,0.53,0.6,1.46,0.68,1.65,1.62,2.37,2.59,9.3,13.17,20.0,120.0,3.0
560.0,0.56,0.61,1.35,0.76,2.05,1.6,2.74,4.1,9.2,14.13,24.5,96.0,3.0
