proline ,magnesium,alcalinity_of_ash,alcohol,color_intensity,malic_acid,ash,OD280/OD315,total_phenols,flavanoids,proanthocyanins,hue,nonflavanoid_phenols,class
1270.0,102.0,16.8,13.29,6.0,1.97,2.68,2.84,3.0,3.23,1.66,1.07,0.31,1.0
1285.0,108.0,16.7,13.72,6.8,1.43,2.5,2.87,3.4,3.67,2.04,0.89,0.19,1.0
520.0,88.0,10.6,12.37,1.95,0.94,1.36,1.82,1.98,0.57,0.42,1.05,0.28,2.0
680.0,101.0,16.0,12.33,3.27,1.1,2.28,1.67,2.05,1.09,0.41,1.25,0.63,2.0
450.0,100.0,16.8,12.64,5.75,1.36,2.02,1.59,2.02,1.41,0.62,0.98,0.53,2.0
630.0,94.0,18.0,13.67,3.8,1.25,1.92,2.46,2.1,1.79,0.73,1.23,0.32,2.0
420.0,87.0,19.0,12.37,4.45,1.13,2.16,2.87,3.5,3.1,1.87,1.22,0.19,2.0
355.0,104.0,19.0,12.17,2.95,1.45,2.53,2.23,1.89,1.75,1.03,1.45,0.45,2.0
678.0,98.0,18.1,12.37,4.6,1.21,2.56,2.3,2.42,2.65,2.08,1.19,0.37,2.0
502.0,78.0,15.0,13.11,5.3,1.01,1.7,3.18,2.98,3.18,2.28,1.12,0.26,2.0
510.0,78.0,19.6,12.37,4.68,1.17,1.92,3.48,2.11,2.0,1.04,1.12,0.27,2.0
750.0,110.0,17.0,13.34,3.17,0.94,2.36,1.93,2.53,1.3,0.42,1.02,0.55,2.0
718.0,151.0,16.8,12.21,2.85,1.19,1.75,3.07,1.85,1.28,2.5,1.28,0.14,2.0
870.0,103.0,20.4,12.29,3.05,1.61,2.21,1.82,1.1,1.02,1.46,0.906,0.37,2.0
410.0,86.0,25.0,13.86,3.38,1.51,2.67,3.16,2.95,2.86,1.87,1.36,0.21,2.0
472.0,87.0,24.0,13.49,3.74,1.66,2.24,2.78,1.88,1.84,1.03,0.98,0.27,2.0
985.0,139.0,30.0,12.99,3.35,1.67,2.6,3.5,3.3,2.89,1.96,1.31,0.21,2.0
886.0,101.0,21.0,11.96,3.21,1.09,2.3,3.13,3.38,2.14,1.65,0.99,0.13,2.0
428.0,97.0,16.0,11.66,3.8,1.88,1.92,2.14,1.61,1.57,1.15,1.23,0.34,2.0
392.0,86.0,16.0,13.03,4.6,0.9,1.71,2.48,1.95,2.03,1.46,1.19,0.24,2.0
500.0,112.0,18.0,11.84,2.65,2.89,2.23,2.52,1.72,1.32,0.95,0.96,0.43,2.0
750.0,136.0,14.8,12.33,3.4,0.99,1.95,2.31,1.9,1.85,2.76,1.06,0.35,2.0
463.0,101.0,23.0,12.7,2.57,3.87,2.4,3.13,2.83,2.55,1.95,1.19,0.43,2.0
278.0,86.0,19.0,12.0,2.5,0.92,2.0,3.12,2.42,2.26,1.43,1.38,0.3,2.0
714.0,86.0,18.8,12.72,3.9,1.81,2.2,3.14,2.2,2.53,1.77,1.16,0.26,2.0
630.0,78.0,24.0,12.08,2.2,1.13,2.51,2.72,2.0,1.58,1.4,1.31,0.4,2.0
515.0,85.0,22.5,13.05,4.8,3.86,2.32,2.01,1.65,1.59,1.62,0.84,0.61,2.0
520.0,94.0,18.0,11.84,3.05,0.89,2.58,3.08,2.2,2.21,2.35,0.79,0.22,2.0
450.0,99.0,18.0,12.67,2.62,0.98,2.24,3.16,2.2,1.94,1.46,1.23,0.3,2.0
495.0,90.0,22.8,12.16,2.45,1.61,2.31,2.26,1.78,1.69,1.56,1.33,0.43,2.0
562.0,88.0,26.0,11.65,2.6,1.67,2.62,3.21,1.92,1.61,1.34,1.36,0.4,2.0
680.0,84.0,21.6,11.64,2.8,2.06,2.46,2.75,1.95,1.69,1.35,1.0,0.48,2.0
625.0,70.0,23.6,12.08,1.74,1.33,2.3,3.21,2.2,1.59,1.38,1.07,0.42,2.0
480.0,81.0,18.5,12.08,2.4,1.83,2.32,2.27,1.6,1.5,1.64,1.08,0.52,2.0
450.0,86.0,22.0,12.0,3.6,1.51,2.42,2.65,1.45,1.25,1.63,1.05,0.5,2.0
495.0,80.0,20.7,12.69,3.05,1.53,2.26,2.06,1.38,1.46,1.62,0.96,0.58,2.0
290.0,88.0,18.0,12.29,2.15,2.83,2.22,3.3,2.45,2.25,1.99,1.15,0.25,2.0
345.0,98.0,18.0,11.62,3.25,1.99,2.28,2.96,3.02,2.26,1.35,1.16,0.17,2.0
937.0,162.0,19.0,12.47,2.6,1.52,2.2,2.63,2.5,2.27,3.28,1.16,0.32,2.0
625.0,134.0,21.5,11.81,2.5,2.12,2.74,2.26,1.6,0.99,1.56,0.95,0.14,2.0
428.0,85.0,16.0,12.29,2.9,1.41,1.98,2.74,2.55,2.5,1.77,1.23,0.29,2.0
660.0,88.0,18.5,12.37,4.5,1.07,2.1,2.77,3.52,3.75,1.95,1.04,0.24,2.0
406.0,88.0,18.0,12.29,2.3,3.17,2.21,2.83,2.85,2.99,2.81,1.42,0.45,2.0
710.0,97.0,17.5,12.08,3.3,2.08,1.7,2.96,2.23,2.17,1.4,1.27,0.26,2.0
562.0,88.0,18.5,12.6,2.45,1.34,1.9,2.77,1.45,1.36,1.35,1.04,0.29,2.0
438.0,98.0,21.0,12.34,2.8,2.45,2.46,3.38,2.56,2.11,1.31,0.8,0.34,2.0
415.0,86.0,19.5,11.82,2.06,1.72,1.88,2.44,2.5,1.64,1.42,0.94,0.37,2.0
672.0,85.0,20.5,12.51,2.94,1.73,1.98,3.57,2.2,1.92,1.48,1.04,0.32,2.0
315.0,90.0,22.0,12.42,2.7,2.55,2.27,3.3,1.68,1.84,1.42,0.86,0.66,2.0
510.0,80.0,19.0,12.25,3.4,1.73,2.12,3.17,1.65,2.03,1.63,1.0,0.37,2.0
488.0,84.0,22.5,12.72,3.3,1.75,2.28,2.42,1.38,1.76,1.63,0.88,0.48,2.0
312.0,92.0,19.0,12.22,2.7,1.29,1.94,3.02,2.36,2.04,2.08,0.86,0.39,2.0
680.0,94.0,20.0,11.61,2.65,1.35,2.7,3.26,2.74,2.92,2.49,0.96,0.29,2.0
562.0,107.0,19.5,11.46,2.9,3.74,1.82,2.81,3.18,2.58,3.58,0.75,0.24,2.0
325.0,88.0,21.0,12.52,2.0,2.43,2.17,2.78,2.55,2.27,1.22,0.9,0.26,2.0
607.0,103.0,20.0,11.76,3.8,2.68,2.92,2.5,1.75,2.03,1.05,1.23,0.6,2.0
434.0,88.0,21.0,11.41,3.08,0.74,2.5,2.31,2.48,2.01,1.44,1.1,0.42,2.0
385.0,84.0,22.5,12.08,2.9,1.39,2.5,3.19,2.56,2.29,1.04,0.93,0.43,2.0
407.0,85.0,21.5,11.03,1.9,1.51,2.2,2.87,2.46,2.17,2.01,1.71,0.52,2.0
495.0,86.0,20.8,11.82,1.95,1.47,1.99,3.33,1.98,1.6,1.53,0.95,0.3,2.0
345.0,108.0,22.5,12.42,2.06,1.61,2.19,2.96,2.0,2.09,1.61,1.06,0.34,2.0
372.0,80.0,16.0,12.77,3.4,3.43,1.98,2.12,1.63,1.25,0.83,0.7,0.43,2.0
564.0,87.0,19.0,12.0,1.28,3.43,2.0,3.05,2.0,1.64,1.87,0.93,0.37,2.0
625.0,96.0,20.0,11.45,3.25,2.4,2.42,3.39,2.9,2.79,1.83,0.8,0.32,2.0
465.0,119.0,28.5,11.56,6.0,2.05,3.23,3.69,3.18,5.08,1.87,0.93,0.47,2.0
365.0,102.0,26.5,12.42,2.08,4.43,2.73,3.12,2.2,2.13,1.71,0.92,0.43,2.0
380.0,86.0,21.5,13.05,2.6,5.8,2.13,3.1,2.62,2.65,2.01,0.73,0.3,2.0
380.0,82.0,21.0,11.87,2.8,4.31,2.39,3.64,2.86,3.03,2.91,0.75,0.21,2.0
378.0,85.0,21.0,12.07,2.76,2.16,2.17,3.28,2.6,2.65,1.35,0.86,0.37,2.0
352.0,86.0,21.5,12.43,3.94,1.53,2.29,2.84,2.74,3.15,1.77,0.69,0.39,2.0
466.0,92.0,28.5,11.79,3.0,2.13,2.78,2.44,2.13,2.24,1.76,0.97,0.58,2.0
342.0,88.0,24.5,12.37,2.12,1.63,2.3,2.78,2.22,2.45,1.9,0.89,0.4,2.0
580.0,80.0,22.0,12.04,2.6,4.3,2.38,2.57,2.1,1.75,1.35,0.79,0.42,2.0
630.0,122.0,18.0,12.86,4.1,1.35,2.32,1.29,1.51,1.25,0.94,0.76,0.21,3.0
530.0,104.0,20.0,12.88,5.4,2.99,2.4,1.42,1.3,1.22,0.83,0.74,0.24,3.0
560.0,98.0,24.0,12.81,5.7,2.31,2.4,1.36,1.15,1.09,0.83,0.66,0.27,3.0
600.0,106.0,21.5,12.7,5.0,3.55,2.36,1.29,1.7,1.2,0.84,0.78,0.17,3.0
650.0,85.0,17.5,12.51,5.45,1.24,2.25,1.51,2.0,0.58,1.25,0.75,0.6,3.0
695.0,94.0,18.5,12.6,7.1,2.46,2.2,1.58,1.62,0.66,0.94,0.73,0.63,3.0
720.0,89.0,21.0,12.25,3.85,4.72,2.54,1.27,1.38,0.47,0.8,0.75,0.53,3.0
515.0,96.0,25.0,12.53,5.0,5.51,2.64,1.69,1.79,0.6,1.1,0.82,0.63,3.0
580.0,88.0,19.5,13.49,5.7,3.59,2.19,1.82,1.62,0.48,0.88,0.81,0.58,3.0
590.0,101.0,24.0,12.84,4.92,2.96,2.61,2.15,2.32,0.6,0.81,0.89,0.53,3.0
600.0,96.0,21.0,12.93,4.6,2.81,2.7,2.31,1.54,0.5,0.75,0.77,0.53,3.0
780.0,89.0,20.0,13.36,5.6,2.56,2.35,2.47,1.4,0.5,0.64,0.7,0.37,3.0
520.0,97.0,23.5,13.52,4.35,3.17,2.72,2.06,1.55,0.52,0.55,0.89,0.5,3.0
550.0,92.0,20.0,13.62,4.4,4.95,2.35,2.05,2.0,0.8,1.02,0.91,0.47,3.0
855.0,112.0,18.5,12.25,8.21,3.88,2.2,2.0,1.38,0.78,1.14,0.65,0.29,3.0
830.0,102.0,21.0,13.16,4.0,3.57,2.15,1.68,1.5,0.55,1.3,0.6,0.43,3.0
415.0,80.0,20.0,13.88,4.9,5.04,2.23,1.33,0.98,0.34,0.68,0.58,0.4,3.0
625.0,86.0,21.5,12.87,7.65,4.61,2.48,1.86,1.7,0.65,0.86,0.54,0.47,3.0
650.0,92.0,21.5,13.32,8.42,3.24,2.38,1.62,1.93,0.76,1.25,0.55,0.45,3.0
550.0,113.0,21.5,13.08,9.4,3.9,2.36,1.33,1.41,1.39,1.14,0.57,0.34,3.0
500.0,123.0,24.0,13.5,8.6,3.12,2.62,1.3,1.4,1.57,1.25,0.59,0.22,3.0
480.0,112.0,22.0,12.79,10.8,2.67,2.48,1.47,1.48,1.36,1.26,0.48,0.24,3.0
425.0,116.0,25.5,13.11,7.1,1.9,2.75,1.33,2.2,1.28,1.56,0.61,0.26,3.0
675.0,98.0,18.5,13.23,10.52,3.3,2.28,1.51,1.8,0.83,1.87,0.56,0.61,3.0
640.0,103.0,20.0,12.58,7.6,1.29,2.1,1.55,1.48,0.58,1.4,0.58,0.53,3.0
725.0,93.0,22.0,13.17,7.9,5.19,2.32,1.48,1.74,0.63,1.55,0.6,0.61,3.0
480.0,89.0,19.5,13.84,9.01,4.12,2.38,1.64,1.8,0.83,1.56,0.57,0.48,3.0
880.0,97.0,27.0,12.45,7.5,3.03,2.64,1.73,1.9,0.58,1.14,0.67,0.63,3.0
660.0,98.0,25.0,14.34,13.0,1.68,2.7,1.96,2.8,1.31,2.7,0.57,0.53,3.0
620.0,89.0,22.5,13.48,11.75,1.67,2.64,1.78,2.6,1.1,2.29,0.57,0.52,3.0
520.0,88.0,21.0,12.36,7.65,3.83,2.38,1.58,2.3,0.92,1.04,0.56,0.5,3.0
680.0,107.0,20.0,13.69,5.88,3.26,2.54,1.82,1.83,0.56,0.8,0.96,0.5,3.0
570.0,106.0,22.0,12.85,5.58,3.27,2.58,2.11,1.65,0.6,0.96,0.87,0.6,3.0
675.0,106.0,18.5,12.96,5.28,3.45,2.35,1.75,1.39,0.7,0.94,0.68,0.4,3.0
615.0,90.0,22.0,13.78,9.58,2.76,2.3,1.68,1.35,0.68,1.03,0.7,0.41,3.0
520.0,88.0,22.5,13.73,6.62,4.36,2.26,1.75,1.28,0.47,1.15,0.78,0.52,3.0
695.0,111.0,23.0,13.45,10.68,3.7,2.6,1.56,1.7,0.92,1.46,0.85,0.43,3.0
685.0,88.0,19.5,12.82,10.26,3.37,2.3,1.75,1.48,0.66,0.97,0.72,0.4,3.0
750.0,105.0,24.5,13.58,8.66,2.58,2.69,1.8,1.55,0.84,1.54,0.74,0.39,3.0
630.0,112.0,25.0,13.4,8.5,4.6,2.86,1.92,1.98,0.96,1.11,0.67,0.27,3.0
510.0,96.0,19.0,12.2,5.5,3.03,2.32,1.83,1.25,0.49,0.73,0.66,0.4,3.0
470.0,86.0,19.5,12.77,9.899999,2.39,2.28,1.63,1.39,0.51,0.64,0.57,0.48,3.0
660.0,91.0,20.0,14.16,9.7,2.51,2.48,1.71,1.68,0.7,1.24,0.62,0.44,3.0
740.0,95.0,20.5,13.71,7.7,5.65,2.45,1.74,1.68,0.61,1.06,0.64,0.52,3.0
750.0,102.0,23.0,13.4,7.3,3.91,2.48,1.56,1.8,0.75,1.41,0.7,0.43,3.0
835.0,120.0,20.0,13.27,10.2,4.28,2.26,1.56,1.59,0.69,1.35,0.59,0.43,3.0
840.0,120.0,20.0,13.17,9.3,2.59,2.37,1.62,1.65,0.68,1.46,0.6,0.53,3.0
560.0,96.0,24.5,14.13,9.2,4.1,2.74,1.6,2.05,0.76,1.35,0.61,0.56,3.0
