total_phenols,proline ,malic_acid,alcohol,OD280/OD315,nonflavanoid_phenols,color_intensity,hue,proanthocyanins,ash,magnesium,alcalinity_of_ash,flavanoids,class
2.42,278.0,0.92,12.0,3.12,0.3,2.5,1.38,1.43,2.0,86.0,19.0,2.26,2.0
2.2,714.0,1.81,12.72,3.14,0.26,3.9,1.16,1.77,2.2,86.0,18.8,2.53,2.0
2.0,630.0,1.13,12.08,2.72,0.4,2.2,1.31,1.4,2.51,78.0,24.0,1.58,2.0
1.65,515.0,3.86,13.05,2.01,0.61,4.8,0.84,1.62,2.32,85.0,22.5,1.59,2.0
2.2,520.0,0.89,11.84,3.08,0.22,3.05,0.79,2.35,2.58,94.0,18.0,2.21,2.0
2.2,450.0,0.98,12.67,3.16,0.3,2.62,1.23,1.46,2.24,99.0,18.0,1.94,2.0
1.78,495.0,1.61,12.16,2.26,0.43,2.45,1.33,1.56,2.31,90.0,22.8,1.69,2.0
1.92,562.0,1.67,11.65,3.21,0.4,2.6,1.36,1.34,2.62,88.0,26.0,1.61,2.0
1.95,680.0,2.06,11.64,2.75,0.48,2.8,1.0,1.35,2.46,84.0,21.6,1.69,2.0
2.2,625.0,1.33,12.08,3.21,0.42,1.74,1.07,1.38,2.3,70.0,23.6,1.59,2.0
1.6,480.0,1.83,12.08,2.27,0.52,2.4,1.08,1.64,2.32,81.0,18.5,1.5,2.0
1.45,450.0,1.51,12.0,2.65,0.5,3.6,1.05,1.63,2.42,86.0,22.0,1.25,2.0
1.38,495.0,1.53,12.69,2.06,0.58,3.05,0.96,1.62,2.26,80.0,20.7,1.46,2.0
2.45,290.0,2.83,12.29,3.3,0.25,2.15,1.15,1.99,2.22,88.0,18.0,2.25,2.0
3.02,345.0,1.99,11.62,2.96,0.17,3.25,1.16,1.35,2.28,98.0,18.0,2.26,2.0
2.5,937.0,1.52,12.47,2.63,0.32,2.6,1.16,3.28,2.2,162.0,19.0,2.27,2.0
1.6,625.0,2.12,11.81,2.26,0.14,2.5,0.95,1.56,2.74,134.0,21.5,0.99,2.0
2.55,428.0,1.41,12.29,2.74,0.29,2.9,1.23,1.77,1.98,85.0,16.0,2.5,2.0
3.52,660.0,1.07,12.37,2.77,0.24,4.5,1.04,1.95,2.1,88.0,18.5,3.75,2.0
2.85,406.0,3.17,12.29,2.83,0.45,2.3,1.42,2.81,2.21,88.0,18.0,2.99,2.0
2.23,710.0,2.08,12.08,2.96,0.26,3.3,1.27,1.4,1.7,97.0,17.5,2.17,2.0
1.45,562.0,1.34,12.6,2.77,0.29,2.45,1.04,1.35,1.9,88.0,18.5,1.36,2.0
2.56,438.0,2.45,12.34,3.38,0.34,2.8,0.8,1.31,2.46,98.0,21.0,2.11,2.0
2.5,415.0,1.72,11.82,2.44,0.37,2.06,0.94,1.42,1.88,86.0,19.5,1.64,2.0
2.2,672.0,1.73,12.51,3.57,0.32,2.94,1.04,1.48,1.98,85.0,20.5,1.92,2.0
1.68,315.0,2.55,12.42,3.3,0.66,2.7,0.86,1.42,2.27,90.0,22.0,1.84,2.0
1.65,510.0,1.73,12.25,3.17,0.37,3.4,1.0,1.63,2.12,80.0,19.0,2.03,2.0
1.38,488.0,1.75,12.72,2.42,0.48,3.3,0.88,1.63,2.28,84.0,22.5,1.76,2.0
2.36,312.0,1.29,12.22,3.02,0.39,2.7,0.86,2.08,1.94,92.0,19.0,2.04,2.0
2.74,680.0,1.35,11.61,3.26,0.29,2.65,0.96,2.49,2.7,94.0,20.0,2.92,2.0
3.18,562.0,3.74,11.46,2.81,0.24,2.9,0.75,3.58,1.82,107.0,19.5,2.58,2.0
2.55,325.0,2.43,12.52,2.78,0.26,2.0,0.9,1.22,2.17,88.0,21.0,2.27,2.0
1.75,607.0,2.68,11.76,2.5,0.6,3.8,1.23,1.05,2.92,103.0,20.0,2.03,2.0
2.48,434.0,0.74,11.41,2.31,0.42,3.08,1.1,1.44,2.5,88.0,21.0,2.01,2.0
2.56,385.0,1.39,12.08,3.19,0.43,2.9,0.93,1.04,2.5,84.0,22.5,2.29,2.0
2.46,407.0,1.51,11.03,2.87,0.52,1.9,1.71,2.01,2.2,85.0,21.5,2.17,2.0
1.98,495.0,1.47,11.82,3.33,0.3,1.95,0.95,1.53,1.99,86.0,20.8,1.6,2.0
2.0,345.0,1.61,12.42,2.96,0.34,2.06,1.06,1.61,2.19,108.0,22.5,2.09,2.0
1.63,372.0,3.43,12.77,2.12,0.43,3.4,0.7,0.83,1.98,80.0,16.0,1.25,2.0
2.0,564.0,3.43,12.0,3.05,0.37,1.28,0.93,1.87,2.0,87.0,19.0,1.64,2.0
2.9,625.0,2.4,11.45,3.39,0.32,3.25,0.8,1.83,2.42,96.0,20.0,2.79,2.0
3.18,465.0,2.05,11.56,3.69,0.47,6.0,0.93,1.87,3.23,119.0,28.5,5.08,2.0
2.2,365.0,4.43,12.42,3.12,0.43,2.08,0.92,1.71,2.73,102.0,26.5,2.13,2.0
2.62,380.0,5.8,13.05,3.1,0.3,2.6,0.73,2.01,2.13,86.0,21.5,2.65,2.0
2.86,380.0,4.31,11.87,3.64,0.21,2.8,0.75,2.91,2.39,82.0,21.0,3.03,2.0
2.6,378.0,2.16,12.07,3.28,0.37,2.76,0.86,1.35,2.17,85.0,21.0,2.65,2.0
2.74,352.0,1.53,12.43,2.84,0.39,3.94,0.69,1.77,2.29,86.0,21.5,3.15,2.0
2.13,466.0,2.13,11.79,2.44,0.58,3.0,0.97,1.76,2.78,92.0,28.5,2.24,2.0
2.22,342.0,1.63,12.37,2.78,0.4,2.12,0.89,1.9,2.3,88.0,24.5,2.45,2.0
2.1,580.0,4.3,12.04,2.57,0.42,2.6,0.79,1.35,2.38,80.0,22.0,1.75,2.0
1.51,630.0,1.35,12.86,1.29,0.21,4.1,0.76,0.94,2.32,122.0,18.0,1.25,3.0
1.3,530.0,2.99,12.88,1.42,0.24,5.4,0.74,0.83,2.4,104.0,20.0,1.22,3.0
1.15,560.0,2.31,12.81,1.36,0.27,5.7,0.66,0.83,2.4,98.0,24.0,1.09,3.0
1.7,600.0,3.55,12.7,1.29,0.17,5.0,0.78,0.84,2.36,106.0,21.5,1.2,3.0
2.0,650.0,1.24,12.51,1.51,0.6,5.45,0.75,1.25,2.25,85.0,17.5,0.58,3.0
1.62,695.0,2.46,12.6,1.58,0.63,7.1,0.73,0.94,2.2,94.0,18.5,0.66,3.0
1.38,720.0,4.72,12.25,1.27,0.53,3.85,0.75,0.8,2.54,89.0,21.0,0.47,3.0
1.79,515.0,5.51,12.53,1.69,0.63,5.0,0.82,1.1,2.64,96.0,25.0,0.6,3.0
1.62,580.0,3.59,13.49,1.82,0.58,5.7,0.81,0.88,2.19,88.0,19.5,0.48,3.0
2.32,590.0,2.96,12.84,2.15,0.53,4.92,0.89,0.81,2.61,101.0,24.0,0.6,3.0
1.54,600.0,2.81,12.93,2.31,0.53,4.6,0.77,0.75,2.7,96.0,21.0,0.5,3.0
1.4,780.0,2.56,13.36,2.47,0.37,5.6,0.7,0.64,2.35,89.0,20.0,0.5,3.0
1.55,520.0,3.17,13.52,2.06,0.5,4.35,0.89,0.55,2.72,97.0,23.5,0.52,3.0
2.0,550.0,4.95,13.62,2.05,0.47,4.4,0.91,1.02,2.35,92.0,20.0,0.8,3.0
1.38,855.0,3.88,12.25,2.0,0.29,8.21,0.65,1.14,2.2,112.0,18.5,0.78,3.0
1.5,830.0,3.57,13.16,1.68,0.43,4.0,0.6,1.3,2.15,102.0,21.0,0.55,3.0
0.98,415.0,5.04,13.88,1.33,0.4,4.9,0.58,0.68,2.23,80.0,20.0,0.34,3.0
1.7,625.0,4.61,12.87,1.86,0.47,7.65,0.54,0.86,2.48,86.0,21.5,0.65,3.0
1.93,650.0,3.24,13.32,1.62,0.45,8.42,0.55,1.25,2.38,92.0,21.5,0.76,3.0
1.41,550.0,3.9,13.08,1.33,0.34,9.4,0.57,1.14,2.36,113.0,21.5,1.39,3.0
1.4,500.0,3.12,13.5,1.3,0.22,8.6,0.59,1.25,2.62,123.0,24.0,1.57,3.0
1.48,480.0,2.67,12.79,1.47,0.24,10.8,0.48,1.26,2.48,112.0,22.0,1.36,3.0
2.2,425.0,1.9,13.11,1.33,0.26,7.1,0.61,1.56,2.75,116.0,25.5,1.28,3.0
1.8,675.0,3.3,13.23,1.51,0.61,10.52,0.56,1.87,2.28,98.0,18.5,0.83,3.0
1.48,640.0,1.29,12.58,1.55,0.53,7.6,0.58,1.4,2.1,103.0,20.0,0.58,3.0
1.74,725.0,5.19,13.17,1.48,0.61,7.9,0.6,1.55,2.32,93.0,22.0,0.63,3.0
1.8,480.0,4.12,13.84,1.64,0.48,9.01,0.57,1.56,2.38,89.0,19.5,0.83,3.0
1.9,880.0,3.03,12.45,1.73,0.63,7.5,0.67,1.14,2.64,97.0,27.0,0.58,3.0
2.8,660.0,1.68,14.34,1.96,0.53,13.0,0.57,2.7,2.7,98.0,25.0,1.31,3.0
2.6,620.0,1.67,13.48,1.78,0.52,11.75,0.57,2.29,2.64,89.0,22.5,1.1,3.0
2.3,520.0,3.83,12.36,1.58,0.5,7.65,0.56,1.04,2.38,88.0,21.0,0.92,3.0
1.83,680.0,3.26,13.69,1.82,0.5,5.88,0.96,0.8,2.54,107.0,20.0,0.56,3.0
1.65,570.0,3.27,12.85,2.11,0.6,5.58,0.87,0.96,2.58,106.0,22.0,0.6,3.0
1.39,675.0,3.45,12.96,1.75,0.4,5.28,0.68,0.94,2.35,106.0,18.5,0.7,3.0
1.35,615.0,2.76,13.78,1.68,0.41,9.58,0.7,1.03,2.3,90.0,22.0,0.68,3.0
1.28,520.0,4.36,13.73,1.75,0.52,6.62,0.78,1.15,2.26,88.0,22.5,0.47,3.0
1.7,695.0,3.7,13.45,1.56,0.43,10.68,0.85,1.46,2.6,111.0,23.0,0.92,3.0
1.48,685.0,3.37,12.82,1.75,0.4,10.26,0.72,0.97,2.3,88.0,19.5,0.66,3.0
1.55,750.0,2.58,13.58,1.8,0.39,8.66,0.74,1.54,2.69,105.0,24.5,0.84,3.0
1.98,630.0,4.6,13.4,1.92,0.27,8.5,0.67,1.11,2.86,112.0,25.0,0.96,3.0
1.25,510.0,3.03,12.2,1.83,0.4,5.5,0.66,0.73,2.32,96.0,19.0,0.49,3.0
1.39,470.0,2.39,12.77,1.63,0.48,9.899999,0.57,0.64,2.28,86.0,19.5,0.51,3.0
1.68,660.0,2.51,14.16,1.71,0.44,9.7,0.62,1.24,2.48,91.0,20.0,0.7,3.0
1.68,740.0,5.65,13.71,1.74,0.52,7.7,0.64,1.06,2.45,95.0,20.5,0.61,3.0
1.8,750.0,3.91,13.4,1.56,0.43,7.3,0.7,1.41,2.48,102.0,23.0,0.75,3.0
1.59,835.0,4.28,13.27,1.56,0.43,10.2,0.59,1.35,2.26,120.0,20.0,0.69,3.0
1.65,840.0,2.59,13.17,1.62,0.53,9.3,0.6,1.46,2.37,120.0,20.0,0.68,3.0
2.05,560.0,4.1,14.13,1.6,0.56,9.2,0.61,1.35,2.74,96.0,24.5,0.76,3.0
