dividends_from_stocks,capital_losses,age,weeks_worked_in_year,detailed_industry_recode,detailed_occupation_recode,detailed_household_and_family_stat,education,major_industry_code,major_occupation_code,country_of_birth_father,country_of_birth_mother,country_of_birth_self,hispanic_origin,race,detailed_household_summary_in_household,tax_filer_stat,veterans_benefits,marital_stat,citizenship,live_in_this_house_1_year_ago,own_business_or_self_employed,income,sex,year,full_or_part_time_employment_stat,num_persons_worked_for_employer,class_of_worker,migration_code-change_in_msa,migration_code-change_in_reg,migration_code-move_within_reg,family_members_under_18,enroll_in_edu_inst_last_wk,fill_inc_questionnaire_for_veteran's_admin,reason_for_unemployment,member_of_a_labor_union,migration_prev_res_in_sunbelt,region_of_previous_residence,state_of_previous_residence,wage_per_hour,capital_gains,instance_weight
0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,-3.0,2.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,-3.0,2.0,2.0,2.0,1.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,2466.24
0.0,0.0,32.0,0.0,0.0,0.0,26.0,10.0,1.0,-3.0,-3.0,-3.0,-3.0,5.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,2021.27
0.0,0.0,51.0,52.0,4.0,34.0,11.0,11.0,15.0,9.0,2.0,2.0,2.0,9.0,5.0,5.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,2441.22
0.0,1590.0,46.0,52.0,37.0,31.0,11.0,10.0,13.0,3.0,14.0,14.0,14.0,4.0,5.0,5.0,4.0,3.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,978.16
0.0,0.0,26.0,52.0,24.0,12.0,18.0,14.0,8.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,2604.91
0.0,0.0,13.0,0.0,0.0,0.0,1.0,1.0,1.0,-3.0,2.0,2.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,-3.0,2.0,2.0,2.0,1.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1520.08
0.0,0.0,47.0,52.0,39.0,36.0,18.0,14.0,14.0,11.0,20.0,2.0,2.0,5.0,5.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,404.9
0.0,0.0,39.0,0.0,0.0,0.0,10.0,7.0,1.0,-3.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,-3.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1274.04
0.0,0.0,16.0,0.0,0.0,0.0,1.0,7.0,1.0,-3.0,2.0,15.0,2.0,2.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,-3.0,-3.0,-3.0,-3.0,1.0,1.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1555.29
6000.0,0.0,35.0,49.0,12.0,41.0,11.0,10.0,7.0,8.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1790.75
0.0,0.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,-3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,-3.0,3.0,7.0,8.0,1.0,-3.0,-3.0,-3.0,-3.0,2.0,2.0,2.0,0.0,0.0,455.02
0.0,0.0,27.0,52.0,4.0,34.0,11.0,11.0,15.0,9.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,6.0,4.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1004.69
0.0,0.0,56.0,32.0,35.0,22.0,10.0,11.0,11.0,6.0,2.0,2.0,2.0,5.0,5.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,1.0,-3.0,-3.0,-3.0,500.0,0.0,1500.08
100.0,1977.0,46.0,52.0,45.0,12.0,11.0,16.0,17.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,999.46
0.0,0.0,55.0,0.0,0.0,0.0,11.0,11.0,1.0,-3.0,16.0,2.0,2.0,5.0,3.0,5.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,-3.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1483.69
0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,-3.0,2.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,-3.0,2.0,2.0,2.0,1.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1660.53
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-3.0,-3.0,-3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,-3.0,3.0,4.0,4.0,3.0,-3.0,-3.0,-3.0,-3.0,1.0,3.0,3.0,0.0,0.0,848.25
0.0,0.0,37.0,52.0,3.0,34.0,10.0,11.0,20.0,9.0,2.0,2.0,2.0,5.0,5.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,2671.99
0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,-3.0,2.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,-3.0,-3.0,-3.0,-3.0,1.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1188.42
700.0,1669.0,37.0,52.0,4.0,2.0,6.0,14.0,15.0,13.0,2.0,2.0,2.0,5.0,5.0,3.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,3.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1331.35
0.0,0.0,63.0,15.0,19.0,35.0,11.0,2.0,8.0,9.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,6.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,2.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,711.15
0.0,0.0,34.0,52.0,29.0,25.0,10.0,11.0,18.0,6.0,2.0,2.0,2.0,5.0,5.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,8.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1578.65
0.0,0.0,46.0,52.0,4.0,34.0,11.0,11.0,15.0,9.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1629.02
0.0,0.0,25.0,52.0,45.0,23.0,23.0,10.0,17.0,6.0,2.0,2.0,2.0,5.0,5.0,8.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1998.03
0.0,0.0,81.0,0.0,0.0,0.0,18.0,14.0,1.0,-3.0,-3.0,2.0,2.0,5.0,5.0,5.0,4.0,3.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,-3.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,991.0,463.55
0.0,0.0,46.0,52.0,32.0,42.0,11.0,10.0,9.0,8.0,9.0,9.0,9.0,4.0,5.0,5.0,4.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,2492.74
1000.0,0.0,39.0,52.0,34.0,2.0,11.0,14.0,11.0,13.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,3.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,980.1
49.0,0.0,42.0,52.0,48.0,8.0,11.0,13.0,6.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,6.0,8.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1539.4
0.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,1.0,-3.0,2.0,2.0,2.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,-3.0,-3.0,-3.0,-3.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,2621.94
0.0,0.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,-3.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,-3.0,2.0,2.0,2.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,498.25
0.0,0.0,30.0,0.0,0.0,0.0,11.0,10.0,1.0,-3.0,2.0,2.0,2.0,5.0,4.0,5.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,-3.0,3.0,3.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,1.0,5.0,29.0,0.0,0.0,1773.08
0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,-3.0,4.0,3.0,2.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,-3.0,2.0,2.0,2.0,1.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,885.84
0.0,0.0,66.0,38.0,33.0,19.0,10.0,5.0,10.0,5.0,2.0,2.0,2.0,5.0,5.0,4.0,6.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,4183.26
0.0,0.0,26.0,0.0,0.0,0.0,10.0,10.0,1.0,-3.0,1.0,1.0,1.0,2.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,-3.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1040.15
0.0,0.0,84.0,0.0,0.0,0.0,10.0,10.0,1.0,-3.0,2.0,2.0,2.0,5.0,5.0,4.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,3494.72
59.0,0.0,32.0,52.0,33.0,29.0,11.0,10.0,10.0,3.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1130.25
0.0,0.0,52.0,0.0,0.0,0.0,10.0,10.0,1.0,-3.0,2.0,2.0,2.0,5.0,5.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,-3.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1407.39
0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,-3.0,2.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,-3.0,3.0,3.0,3.0,3.0,-3.0,-3.0,-3.0,-3.0,1.0,4.0,23.0,0.0,0.0,235.92
0.0,0.0,35.0,0.0,0.0,0.0,10.0,10.0,1.0,-3.0,2.0,2.0,2.0,5.0,5.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,-3.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1669.47
0.0,0.0,66.0,52.0,37.0,36.0,11.0,11.0,13.0,11.0,2.0,2.0,2.0,5.0,5.0,5.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,1.0,-3.0,-3.0,-3.0,400.0,0.0,1212.48
0.0,0.0,47.0,0.0,0.0,0.0,11.0,10.0,1.0,-3.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,3745.71
0.0,0.0,36.0,48.0,33.0,34.0,11.0,10.0,10.0,9.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,-3.0,-3.0,-3.0,-3.0,1.0,1.0,5.0,44.0,0.0,0.0,1812.0
0.0,0.0,37.0,52.0,23.0,26.0,11.0,10.0,8.0,6.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,2829.0,1027.68
0.0,0.0,42.0,52.0,44.0,10.0,10.0,14.0,3.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,2635.89
0.0,0.0,42.0,0.0,0.0,0.0,10.0,10.0,1.0,-3.0,-3.0,-3.0,2.0,3.0,5.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1293.12
0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,-3.0,2.0,2.0,2.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,-3.0,2.0,2.0,2.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1558.21
50.0,0.0,72.0,0.0,0.0,0.0,10.0,14.0,1.0,-3.0,2.0,2.0,2.0,5.0,5.0,4.0,6.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,-3.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1841.65
0.0,0.0,42.0,52.0,37.0,2.0,11.0,11.0,13.0,13.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,949.12
0.0,0.0,61.0,9.0,36.0,27.0,18.0,10.0,12.0,14.0,2.0,2.0,2.0,5.0,2.0,5.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,1.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,869.67
0.0,0.0,41.0,24.0,12.0,35.0,10.0,13.0,7.0,9.0,2.0,2.0,2.0,5.0,5.0,4.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1095.21
0.0,0.0,90.0,0.0,0.0,0.0,11.0,5.0,1.0,-3.0,2.0,2.0,2.0,5.0,5.0,5.0,1.0,3.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,-3.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,3666.39
0.0,0.0,39.0,52.0,32.0,16.0,11.0,14.0,9.0,5.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,3464.0,1322.1
0.0,1719.0,49.0,50.0,24.0,2.0,18.0,14.0,8.0,13.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,946.47
0.0,0.0,25.0,10.0,4.0,34.0,32.0,10.0,15.0,9.0,2.0,2.0,2.0,5.0,5.0,8.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,3504.66
0.0,0.0,47.0,52.0,31.0,33.0,11.0,9.0,19.0,9.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1274.84
0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,-3.0,31.0,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,-3.0,-3.0,-3.0,-3.0,1.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1508.23
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-3.0,2.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,-3.0,-3.0,-3.0,-3.0,1.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1475.95
0.0,0.0,36.0,52.0,33.0,2.0,11.0,11.0,10.0,13.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,5178.0,771.46
10000.0,2444.0,33.0,52.0,30.0,33.0,18.0,12.0,21.0,9.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,3.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,6.0,3.0,3.0,3.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,1.0,5.0,20.0,0.0,0.0,1864.18
0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,-3.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,-3.0,-3.0,-3.0,-3.0,1.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,2025.19
0.0,0.0,27.0,52.0,33.0,16.0,6.0,14.0,10.0,5.0,2.0,2.0,2.0,5.0,5.0,3.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,1.0,3.0,-3.0,0.0,0.0,2339.89
0.0,0.0,57.0,0.0,0.0,0.0,10.0,5.0,1.0,-3.0,6.0,6.0,6.0,8.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,-3.0,2.0,2.0,2.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,1133.65
0.0,0.0,50.0,52.0,41.0,13.0,11.0,14.0,22.0,10.0,12.0,12.0,12.0,5.0,3.0,5.0,3.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,2488.48
0.0,0.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,-3.0,2.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,-3.0,-3.0,-3.0,-3.0,3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,3230.85
