migration_prev_res_in_sunbelt,country_of_birth_mother,dividends_from_stocks,country_of_birth_father,instance_weight,migration_code-move_within_reg,full_or_part_time_employment_stat,migration_code-change_in_reg,migration_code-change_in_msa,marital_stat,member_of_a_labor_union,num_persons_worked_for_employer,race,citizenship,major_occupation_code,major_industry_code,detailed_occupation_recode,family_members_under_18,age,state_of_previous_residence,reason_for_unemployment,region_of_previous_residence,country_of_birth_self,year,class_of_worker,detailed_industry_recode,education,income,live_in_this_house_1_year_ago,detailed_household_summary_in_household,capital_gains,veterans_benefits,own_business_or_self_employed,weeks_worked_in_year,capital_losses,tax_filer_stat,hispanic_origin,sex,fill_inc_questionnaire_for_veteran's_admin,enroll_in_edu_inst_last_wk,wage_per_hour,detailed_household_and_family_stat
-3.0,2.0,0.0,16.0,1483.69,2.0,1.0,2.0,2.0,2.0,-3.0,0.0,3.0,1.0,-3.0,1.0,0.0,-3.0,55.0,-3.0,-3.0,-3.0,2.0,1.0,-3.0,0.0,11.0,1.0,2.0,5.0,0.0,3.0,1.0,0.0,0.0,3.0,5.0,1.0,-3.0,-3.0,0.0,11.0
-3.0,2.0,0.0,2.0,1660.53,2.0,1.0,2.0,2.0,1.0,-3.0,0.0,5.0,1.0,-3.0,1.0,0.0,1.0,2.0,-3.0,-3.0,-3.0,2.0,1.0,-3.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,2.0,-3.0,-3.0,0.0,1.0
1.0,-3.0,0.0,-3.0,848.25,4.0,1.0,4.0,3.0,1.0,-3.0,0.0,1.0,1.0,-3.0,1.0,0.0,3.0,1.0,3.0,-3.0,3.0,2.0,1.0,-3.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,-3.0,-3.0,0.0,1.0
-3.0,2.0,0.0,2.0,2671.99,-3.0,2.0,-3.0,-3.0,2.0,-3.0,3.0,5.0,1.0,9.0,20.0,34.0,-3.0,37.0,-3.0,-3.0,-3.0,2.0,2.0,3.0,3.0,11.0,1.0,1.0,4.0,0.0,3.0,1.0,52.0,0.0,3.0,5.0,2.0,-3.0,-3.0,0.0,10.0
-3.0,2.0,0.0,2.0,1188.42,-3.0,1.0,-3.0,-3.0,1.0,-3.0,0.0,5.0,1.0,-3.0,1.0,0.0,1.0,4.0,-3.0,-3.0,-3.0,2.0,2.0,-3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,-3.0,-3.0,0.0,1.0
-3.0,2.0,700.0,2.0,1331.35,2.0,1.0,2.0,2.0,1.0,-3.0,6.0,5.0,1.0,13.0,15.0,2.0,-3.0,37.0,-3.0,-3.0,-3.0,2.0,1.0,3.0,4.0,14.0,1.0,2.0,3.0,0.0,3.0,1.0,52.0,1669.0,4.0,5.0,2.0,-3.0,-3.0,0.0,6.0
-3.0,1.0,0.0,1.0,711.15,-3.0,5.0,-3.0,-3.0,2.0,-3.0,6.0,1.0,2.0,9.0,8.0,35.0,-3.0,63.0,-3.0,2.0,-3.0,1.0,2.0,3.0,19.0,2.0,1.0,1.0,5.0,0.0,3.0,1.0,15.0,0.0,3.0,1.0,2.0,-3.0,-3.0,0.0,11.0
-3.0,2.0,0.0,2.0,1578.65,-3.0,3.0,-3.0,-3.0,2.0,-3.0,6.0,5.0,1.0,6.0,18.0,25.0,-3.0,34.0,-3.0,-3.0,-3.0,2.0,2.0,8.0,29.0,11.0,1.0,1.0,4.0,0.0,3.0,1.0,52.0,0.0,3.0,5.0,1.0,-3.0,-3.0,0.0,10.0
-3.0,2.0,0.0,2.0,1629.02,2.0,1.0,2.0,2.0,2.0,-3.0,1.0,5.0,1.0,9.0,15.0,34.0,-3.0,46.0,-3.0,-3.0,-3.0,2.0,1.0,4.0,4.0,11.0,1.0,2.0,5.0,0.0,3.0,1.0,52.0,0.0,3.0,5.0,2.0,-3.0,-3.0,0.0,11.0
-3.0,2.0,0.0,2.0,1998.03,2.0,1.0,2.0,2.0,1.0,-3.0,1.0,5.0,1.0,6.0,17.0,23.0,-3.0,25.0,-3.0,-3.0,-3.0,2.0,1.0,3.0,45.0,10.0,1.0,2.0,8.0,0.0,3.0,1.0,52.0,0.0,4.0,5.0,1.0,-3.0,-3.0,0.0,23.0
-3.0,2.0,0.0,-3.0,463.55,2.0,1.0,2.0,2.0,6.0,-3.0,0.0,5.0,1.0,-3.0,1.0,0.0,-3.0,81.0,-3.0,-3.0,-3.0,2.0,1.0,-3.0,0.0,14.0,1.0,2.0,5.0,991.0,3.0,1.0,0.0,0.0,4.0,5.0,1.0,-3.0,-3.0,0.0,18.0
-3.0,9.0,0.0,9.0,2492.74,2.0,1.0,2.0,2.0,4.0,-3.0,3.0,5.0,2.0,8.0,9.0,42.0,-3.0,46.0,-3.0,-3.0,-3.0,9.0,1.0,3.0,32.0,10.0,1.0,2.0,5.0,0.0,3.0,1.0,52.0,0.0,4.0,4.0,1.0,-3.0,-3.0,0.0,11.0
-3.0,2.0,1000.0,2.0,980.1,2.0,1.0,2.0,2.0,2.0,-3.0,6.0,5.0,1.0,13.0,11.0,2.0,-3.0,39.0,-3.0,-3.0,-3.0,2.0,1.0,3.0,34.0,14.0,1.0,2.0,5.0,0.0,3.0,1.0,52.0,0.0,3.0,5.0,2.0,-3.0,-3.0,0.0,11.0
-3.0,2.0,49.0,2.0,1539.4,-3.0,6.0,-3.0,-3.0,2.0,-3.0,6.0,5.0,1.0,2.0,6.0,8.0,-3.0,42.0,-3.0,-3.0,-3.0,2.0,2.0,8.0,48.0,13.0,1.0,1.0,5.0,0.0,3.0,1.0,52.0,0.0,3.0,5.0,2.0,-3.0,-3.0,0.0,11.0
-3.0,2.0,0.0,2.0,2621.94,-3.0,1.0,-3.0,-3.0,1.0,-3.0,0.0,4.0,1.0,-3.0,1.0,0.0,2.0,2.0,-3.0,-3.0,-3.0,2.0,2.0,-3.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,2.0,-3.0,-3.0,0.0,5.0
-3.0,1.0,0.0,1.0,498.25,2.0,1.0,2.0,2.0,1.0,-3.0,0.0,5.0,1.0,-3.0,1.0,0.0,3.0,11.0,-3.0,-3.0,-3.0,2.0,1.0,-3.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,-3.0,-3.0,0.0,1.0
1.0,2.0,0.0,2.0,1773.08,3.0,1.0,3.0,3.0,1.0,-3.0,0.0,4.0,1.0,-3.0,1.0,0.0,-3.0,30.0,29.0,-3.0,5.0,2.0,1.0,-3.0,0.0,10.0,1.0,3.0,5.0,0.0,3.0,1.0,0.0,0.0,1.0,5.0,1.0,-3.0,-3.0,0.0,11.0
-3.0,3.0,0.0,4.0,885.84,2.0,1.0,2.0,2.0,1.0,-3.0,0.0,5.0,1.0,-3.0,1.0,0.0,1.0,7.0,-3.0,-3.0,-3.0,2.0,1.0,-3.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,2.0,-3.0,-3.0,0.0,1.0
-3.0,2.0,0.0,2.0,4183.26,2.0,1.0,2.0,2.0,2.0,-3.0,1.0,5.0,1.0,5.0,10.0,19.0,-3.0,66.0,-3.0,-3.0,-3.0,2.0,1.0,4.0,33.0,5.0,1.0,2.0,4.0,0.0,3.0,1.0,38.0,0.0,6.0,5.0,1.0,-3.0,-3.0,0.0,10.0
-3.0,1.0,0.0,1.0,1040.15,2.0,1.0,2.0,2.0,2.0,-3.0,0.0,5.0,2.0,-3.0,1.0,0.0,-3.0,26.0,-3.0,-3.0,-3.0,1.0,1.0,-3.0,0.0,10.0,1.0,2.0,4.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0,1.0,-3.0,-3.0,0.0,10.0
-3.0,2.0,0.0,2.0,3494.72,-3.0,4.0,-3.0,-3.0,2.0,-3.0,0.0,5.0,1.0,-3.0,1.0,0.0,-3.0,84.0,-3.0,-3.0,-3.0,2.0,2.0,-3.0,0.0,10.0,1.0,1.0,4.0,0.0,3.0,1.0,0.0,0.0,6.0,5.0,1.0,-3.0,-3.0,0.0,10.0
-3.0,2.0,59.0,2.0,1130.25,-3.0,2.0,-3.0,-3.0,1.0,-3.0,6.0,5.0,1.0,3.0,10.0,29.0,-3.0,32.0,-3.0,-3.0,-3.0,2.0,2.0,3.0,33.0,10.0,1.0,1.0,5.0,0.0,3.0,1.0,52.0,0.0,5.0,5.0,1.0,-3.0,-3.0,0.0,11.0
-3.0,2.0,0.0,2.0,1407.39,2.0,1.0,2.0,2.0,2.0,-3.0,0.0,5.0,1.0,-3.0,1.0,0.0,-3.0,52.0,-3.0,-3.0,-3.0,2.0,1.0,-3.0,0.0,10.0,1.0,2.0,4.0,0.0,3.0,1.0,0.0,0.0,3.0,5.0,1.0,-3.0,-3.0,0.0,10.0
1.0,2.0,0.0,2.0,235.92,3.0,1.0,3.0,3.0,1.0,-3.0,0.0,5.0,1.0,-3.0,1.0,0.0,3.0,5.0,23.0,-3.0,4.0,2.0,1.0,-3.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,-3.0,-3.0,0.0,1.0
-3.0,2.0,0.0,2.0,1669.47,2.0,1.0,2.0,2.0,2.0,-3.0,0.0,5.0,1.0,-3.0,1.0,0.0,-3.0,35.0,-3.0,-3.0,-3.0,2.0,1.0,-3.0,0.0,10.0,1.0,2.0,4.0,0.0,3.0,1.0,0.0,0.0,3.0,5.0,1.0,-3.0,-3.0,0.0,10.0
-3.0,2.0,0.0,2.0,1212.48,-3.0,2.0,-3.0,-3.0,2.0,1.0,2.0,5.0,1.0,11.0,13.0,36.0,-3.0,66.0,-3.0,-3.0,-3.0,2.0,2.0,3.0,37.0,11.0,1.0,1.0,5.0,0.0,3.0,1.0,52.0,0.0,6.0,5.0,2.0,-3.0,-3.0,400.0,11.0
-3.0,2.0,0.0,2.0,3745.71,-3.0,4.0,-3.0,-3.0,2.0,-3.0,0.0,5.0,1.0,-3.0,1.0,0.0,-3.0,47.0,-3.0,-3.0,-3.0,2.0,2.0,-3.0,0.0,10.0,1.0,1.0,5.0,0.0,3.0,1.0,0.0,0.0,3.0,5.0,2.0,-3.0,-3.0,0.0,11.0
1.0,2.0,0.0,2.0,1812.0,3.0,1.0,3.0,4.0,2.0,1.0,3.0,5.0,1.0,9.0,10.0,34.0,-3.0,36.0,44.0,-3.0,5.0,2.0,1.0,3.0,33.0,10.0,1.0,3.0,5.0,0.0,3.0,1.0,48.0,0.0,3.0,5.0,2.0,-3.0,-3.0,0.0,11.0
-3.0,2.0,0.0,2.0,1027.68,-3.0,2.0,-3.0,-3.0,2.0,-3.0,6.0,5.0,1.0,6.0,8.0,26.0,-3.0,37.0,-3.0,-3.0,-3.0,2.0,2.0,3.0,23.0,10.0,1.0,1.0,5.0,2829.0,3.0,1.0,52.0,0.0,3.0,5.0,2.0,-3.0,-3.0,0.0,11.0
-3.0,2.0,0.0,2.0,2635.89,2.0,1.0,2.0,2.0,2.0,-3.0,6.0,5.0,1.0,2.0,3.0,10.0,-3.0,42.0,-3.0,-3.0,-3.0,2.0,1.0,3.0,44.0,14.0,1.0,2.0,4.0,0.0,3.0,1.0,52.0,0.0,3.0,5.0,1.0,-3.0,-3.0,0.0,10.0
-3.0,-3.0,0.0,-3.0,1293.12,-3.0,4.0,-3.0,-3.0,2.0,-3.0,0.0,5.0,1.0,-3.0,1.0,0.0,-3.0,42.0,-3.0,-3.0,-3.0,2.0,2.0,-3.0,0.0,10.0,1.0,1.0,4.0,0.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,-3.0,-3.0,0.0,10.0
-3.0,2.0,0.0,2.0,1558.21,2.0,1.0,2.0,2.0,1.0,-3.0,0.0,5.0,1.0,-3.0,1.0,0.0,3.0,1.0,-3.0,-3.0,-3.0,2.0,1.0,-3.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,2.0,-3.0,-3.0,0.0,4.0
-3.0,2.0,50.0,2.0,1841.65,2.0,1.0,2.0,2.0,2.0,-3.0,0.0,5.0,1.0,-3.0,1.0,0.0,-3.0,72.0,-3.0,-3.0,-3.0,2.0,1.0,-3.0,0.0,14.0,1.0,2.0,4.0,0.0,3.0,1.0,0.0,0.0,6.0,5.0,1.0,-3.0,-3.0,0.0,10.0
-3.0,2.0,0.0,2.0,949.12,-3.0,2.0,-3.0,-3.0,2.0,-3.0,2.0,5.0,1.0,13.0,13.0,2.0,-3.0,42.0,-3.0,-3.0,-3.0,2.0,2.0,5.0,37.0,11.0,2.0,1.0,5.0,0.0,3.0,1.0,52.0,0.0,3.0,5.0,2.0,-3.0,-3.0,0.0,11.0
-3.0,2.0,0.0,2.0,869.67,-3.0,2.0,-3.0,-3.0,4.0,-3.0,1.0,2.0,1.0,14.0,12.0,27.0,-3.0,61.0,-3.0,-3.0,-3.0,2.0,2.0,3.0,36.0,10.0,1.0,1.0,5.0,0.0,2.0,1.0,9.0,0.0,4.0,5.0,1.0,1.0,-3.0,0.0,18.0
-3.0,2.0,0.0,2.0,1095.21,2.0,1.0,2.0,2.0,2.0,-3.0,1.0,5.0,1.0,9.0,7.0,35.0,-3.0,41.0,-3.0,-3.0,-3.0,2.0,1.0,3.0,12.0,13.0,1.0,2.0,4.0,0.0,3.0,3.0,24.0,0.0,3.0,5.0,1.0,-3.0,-3.0,0.0,10.0
-3.0,2.0,0.0,2.0,3666.39,2.0,1.0,2.0,2.0,6.0,-3.0,0.0,5.0,1.0,-3.0,1.0,0.0,-3.0,90.0,-3.0,-3.0,-3.0,2.0,1.0,-3.0,0.0,5.0,1.0,2.0,5.0,0.0,3.0,1.0,0.0,0.0,1.0,5.0,1.0,-3.0,-3.0,0.0,11.0
-3.0,2.0,0.0,2.0,1322.1,2.0,1.0,2.0,2.0,2.0,-3.0,4.0,5.0,1.0,5.0,9.0,16.0,-3.0,39.0,-3.0,-3.0,-3.0,2.0,1.0,3.0,32.0,14.0,1.0,2.0,5.0,3464.0,3.0,1.0,52.0,0.0,3.0,5.0,2.0,-3.0,-3.0,0.0,11.0
-3.0,2.0,0.0,2.0,946.47,-3.0,2.0,-3.0,-3.0,5.0,-3.0,1.0,5.0,1.0,13.0,8.0,2.0,-3.0,49.0,-3.0,-3.0,-3.0,2.0,2.0,5.0,24.0,14.0,1.0,1.0,5.0,0.0,3.0,1.0,50.0,1719.0,4.0,5.0,1.0,-3.0,-3.0,0.0,18.0
-3.0,2.0,0.0,2.0,3504.66,-3.0,2.0,-3.0,-3.0,3.0,-3.0,2.0,5.0,1.0,9.0,15.0,34.0,-3.0,25.0,-3.0,-3.0,-3.0,2.0,2.0,3.0,4.0,10.0,1.0,1.0,8.0,0.0,3.0,1.0,10.0,0.0,4.0,5.0,2.0,-3.0,-3.0,0.0,32.0
-3.0,2.0,0.0,2.0,1274.84,-3.0,2.0,-3.0,-3.0,2.0,-3.0,6.0,5.0,1.0,9.0,19.0,33.0,-3.0,47.0,-3.0,-3.0,-3.0,2.0,2.0,3.0,31.0,9.0,2.0,1.0,5.0,0.0,3.0,1.0,52.0,0.0,3.0,5.0,2.0,-3.0,-3.0,0.0,11.0
-3.0,2.0,0.0,31.0,1508.23,-3.0,1.0,-3.0,-3.0,1.0,-3.0,0.0,3.0,1.0,-3.0,1.0,0.0,1.0,6.0,-3.0,-3.0,-3.0,2.0,2.0,-3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,-3.0,-3.0,0.0,1.0
-3.0,2.0,0.0,2.0,1475.95,-3.0,1.0,-3.0,-3.0,1.0,-3.0,0.0,5.0,1.0,-3.0,1.0,0.0,1.0,0.0,-3.0,-3.0,-3.0,2.0,1.0,-3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,2.0,-3.0,-3.0,0.0,1.0
-3.0,2.0,0.0,2.0,771.46,-3.0,2.0,-3.0,-3.0,2.0,-3.0,1.0,5.0,1.0,13.0,10.0,2.0,-3.0,36.0,-3.0,-3.0,-3.0,2.0,2.0,5.0,33.0,11.0,1.0,1.0,5.0,5178.0,3.0,2.0,52.0,0.0,3.0,5.0,2.0,-3.0,-3.0,0.0,11.0
1.0,2.0,10000.0,2.0,1864.18,3.0,1.0,3.0,3.0,4.0,-3.0,6.0,5.0,1.0,9.0,21.0,33.0,-3.0,33.0,20.0,-3.0,5.0,2.0,1.0,3.0,30.0,12.0,2.0,3.0,5.0,0.0,3.0,1.0,52.0,2444.0,4.0,5.0,2.0,-3.0,-3.0,0.0,18.0
-3.0,2.0,0.0,2.0,2025.19,-3.0,1.0,-3.0,-3.0,1.0,-3.0,0.0,5.0,1.0,-3.0,1.0,0.0,1.0,10.0,-3.0,-3.0,-3.0,2.0,2.0,-3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,-3.0,-3.0,0.0,1.0
1.0,2.0,0.0,2.0,2339.89,3.0,1.0,3.0,3.0,1.0,-3.0,1.0,5.0,1.0,5.0,10.0,16.0,-3.0,27.0,-3.0,-3.0,3.0,2.0,1.0,4.0,33.0,14.0,1.0,3.0,3.0,0.0,3.0,1.0,52.0,0.0,4.0,5.0,2.0,-3.0,-3.0,0.0,6.0
-3.0,6.0,0.0,6.0,1133.65,2.0,1.0,2.0,2.0,2.0,-3.0,0.0,5.0,2.0,-3.0,1.0,0.0,-3.0,57.0,-3.0,-3.0,-3.0,6.0,1.0,-3.0,0.0,5.0,1.0,2.0,4.0,0.0,3.0,1.0,0.0,0.0,3.0,8.0,1.0,-3.0,-3.0,0.0,10.0
-3.0,12.0,0.0,12.0,2488.48,-3.0,2.0,-3.0,-3.0,2.0,-3.0,6.0,3.0,5.0,10.0,22.0,13.0,-3.0,50.0,-3.0,-3.0,-3.0,12.0,2.0,3.0,41.0,14.0,1.0,1.0,5.0,0.0,3.0,1.0,52.0,0.0,3.0,5.0,1.0,-3.0,-3.0,0.0,11.0
-3.0,2.0,0.0,2.0,3230.85,-3.0,1.0,-3.0,-3.0,1.0,-3.0,0.0,5.0,1.0,-3.0,1.0,0.0,3.0,12.0,-3.0,-3.0,-3.0,2.0,2.0,-3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,2.0,-3.0,-3.0,0.0,1.0
