age,class_of_worker,detailed_industry_recode,detailed_occupation_recode,education,wage_per_hour,enroll_in_edu_inst_last_wk,marital_stat,major_industry_code,major_occupation_code,race,hispanic_origin,sex,member_of_a_labor_union,reason_for_unemployment,full_or_part_time_employment_stat,capital_gains,capital_losses,dividends_from_stocks,tax_filer_stat,region_of_previous_residence,state_of_previous_residence,detailed_household_and_family_stat,detailed_household_summary_in_household,instance_weight,migration_code-change_in_msa,migration_code-change_in_reg,migration_code-move_within_reg,live_in_this_house_1_year_ago,migration_prev_res_in_sunbelt,num_persons_worked_for_employer,family_members_under_18,country_of_birth_father,country_of_birth_mother,country_of_birth_self,citizenship,own_business_or_self_employed,fill_inc_questionnaire_for_veteran's_admin,veterans_benefits,weeks_worked_in_year,year,income
33,3,30,33,12,0,-3,4,21,9,5,5,2,-3,-3,1,0,2444,10000,4,5,20,18,5,1864.18,3,3,3,3,1,6,-3,2,2,2,1,1,-3,3,52,1,2
10,-3,0,0,1,0,-3,1,1,-3,5,2,2,-3,-3,1,0,0,0,1,-3,-3,1,1,2025.19,-3,-3,-3,1,-3,0,1,2,2,2,1,1,-3,1,0,2,1
27,4,33,16,14,0,-3,1,10,5,5,5,2,-3,-3,1,0,0,0,4,3,-3,6,3,2339.89,3,3,3,3,1,1,-3,2,2,2,1,1,-3,3,52,1,1
57,-3,0,0,5,0,-3,2,1,-3,5,8,1,-3,-3,1,0,0,0,3,-3,-3,10,4,1133.65,2,2,2,2,-3,0,-3,6,6,6,2,1,-3,3,0,1,1
50,3,41,13,14,0,-3,2,22,10,3,5,1,-3,-3,2,0,0,0,3,-3,-3,11,5,2488.48,-3,-3,-3,1,-3,6,-3,12,12,12,5,1,-3,3,52,2,1
12,-3,0,0,1,0,-3,1,1,-3,5,5,2,-3,-3,1,0,0,0,1,-3,-3,1,1,3230.85,-3,-3,-3,1,-3,0,3,2,2,2,1,1,-3,1,0,2,1
51,3,32,18,11,0,-3,2,9,5,5,5,2,-3,-3,2,0,0,0,3,-3,-3,11,5,1060.36,-3,-3,-3,1,-3,4,-3,2,2,2,1,1,-3,3,52,2,1
10,-3,0,0,1,0,-3,1,1,-3,5,2,2,-3,-3,1,0,0,0,1,-3,-3,1,1,1922.65,-3,-3,-3,1,-3,0,1,2,1,2,1,1,-3,1,0,2,1
48,6,43,9,11,0,-3,2,5,2,5,5,2,-3,-3,2,0,0,0,3,-3,-3,11,5,290.55,-3,-3,-3,1,-3,6,-3,2,2,2,1,3,-3,3,52,2,1
27,3,33,16,11,0,-3,1,10,5,5,5,2,-3,-3,2,0,0,275,4,-3,-3,18,5,296.82,-3,-3,-3,1,-3,6,-3,2,2,2,1,1,-3,3,52,2,1
24,-3,0,0,10,0,-3,2,1,-3,4,5,2,-3,-3,1,0,0,0,3,-3,-3,11,5,1027.88,-3,-3,-3,1,-3,6,-3,2,2,2,1,1,-3,3,52,2,1
17,-3,0,0,5,0,1,1,1,-3,5,5,2,-3,-3,1,0,0,0,1,-3,-3,1,1,1709.61,2,2,2,2,-3,0,1,2,2,2,1,1,-3,3,0,1,1
58,4,35,17,15,0,-3,2,11,5,5,5,1,-3,-3,2,0,0,0,3,-3,-3,11,5,1983.08,-3,-3,-3,1,-3,1,-3,2,2,2,1,1,-3,3,52,2,2
2,-3,0,0,1,0,-3,1,1,-3,4,5,1,-3,-3,1,0,0,0,1,-3,-3,1,1,1526.66,2,2,2,2,-3,0,3,2,2,2,1,1,-3,1,0,1,1
53,3,4,34,7,0,-3,2,15,9,5,5,2,-3,-3,2,0,0,0,3,-3,-3,11,5,1715.28,-3,-3,-3,1,-3,1,-3,2,2,2,1,1,-3,3,45,2,1
33,3,45,23,14,0,-3,1,17,6,4,5,1,-3,-3,2,0,0,0,4,-3,-3,18,5,1394.5,-3,-3,-3,1,-3,6,-3,2,2,2,1,1,-3,3,52,2,1
7,-3,0,0,1,0,-3,1,1,-3,5,5,2,-3,-3,1,0,0,0,1,2,48,1,1,1905.05,8,3,3,3,1,0,1,20,2,2,1,1,-3,1,0,1,1
40,3,19,42,4,0,-3,2,8,8,5,1,1,-3,-3,1,0,0,0,3,-3,-3,10,4,1265.91,2,2,2,2,-3,3,-3,1,1,1,2,1,-3,3,43,1,1
25,3,33,29,10,0,-3,1,10,3,5,5,1,-3,-3,1,0,0,0,5,-3,-3,27,8,765.19,2,2,2,2,-3,3,-3,2,2,2,1,1,-3,3,4,1,1
8,-3,0,0,1,0,-3,1,1,-3,1,5,1,-3,-3,1,0,0,0,1,-3,-3,5,2,684.0,-3,-3,-3,1,-3,0,2,-3,-3,-3,2,1,-3,1,0,2,1
54,-3,0,0,10,0,-3,2,1,-3,3,5,2,-3,-3,4,0,0,0,1,-3,-3,11,5,3039.6,-3,-3,-3,1,-3,0,-3,24,24,24,2,1,-3,3,0,2,2
22,3,34,26,10,0,-3,2,11,6,5,5,1,-3,-3,1,0,0,0,3,-3,-3,10,4,1174.34,2,2,2,2,-3,3,-3,2,2,2,1,1,-3,3,52,1,1
29,-3,0,0,11,0,-3,2,1,-3,4,5,2,-3,-3,1,0,0,0,3,-3,-3,11,5,2901.42,-3,-3,-3,1,-3,6,-3,2,2,2,1,1,-3,3,52,2,1
9,-3,0,0,1,0,-3,1,1,-3,5,5,2,-3,-3,1,0,0,0,1,-3,-3,1,1,1039.2,-3,-3,-3,1,-3,0,3,2,2,2,1,1,-3,1,0,2,1
85,-3,0,0,10,0,-3,1,1,-3,5,5,1,-3,-3,4,0,0,0,4,-3,-3,11,5,1339.37,-3,-3,-3,1,-3,0,-3,-3,-3,-3,5,1,-3,3,0,2,1
40,3,29,17,10,0,-3,2,18,5,5,5,2,-3,-3,1,0,0,0,3,-3,-3,11,5,2917.4,2,2,2,2,-3,3,-3,2,2,2,1,1,-3,3,52,1,1
38,-3,0,0,2,0,-3,1,1,-3,5,5,1,-3,-3,1,0,0,0,1,-3,-3,23,8,2243.77,2,2,2,2,-3,0,-3,2,2,2,1,1,-3,3,0,1,1
7,-3,0,0,1,0,-3,1,1,-3,5,5,2,-3,-3,1,0,0,0,1,-3,-3,1,1,2882.4,2,2,2,2,-3,0,1,2,2,2,1,1,-3,1,0,1,1
49,6,29,26,8,0,-3,2,18,6,5,2,2,-3,-3,1,0,0,0,3,-3,-3,11,5,958.8,2,2,2,2,-3,6,-3,2,2,2,1,1,-3,3,52,1,1
76,3,43,2,17,0,-3,2,5,13,5,5,2,-3,-3,1,0,0,11744,6,-3,-3,10,4,1897.64,2,2,2,2,-3,6,-3,-3,-3,2,1,1,-3,3,26,1,1
7,-3,0,0,1,0,-3,1,1,-3,5,5,1,-3,-3,1,0,0,0,1,-3,-3,1,1,1353.41,-3,-3,-3,1,-3,0,1,2,2,2,1,1,-3,1,0,2,1
21,3,33,3,11,0,2,1,10,13,5,5,2,-3,-3,2,0,0,0,4,-3,-3,23,8,996.16,-3,-3,-3,1,-3,6,-3,2,2,2,1,3,-3,3,52,2,1
52,-3,0,0,5,0,-3,2,1,-3,5,5,2,-3,-3,4,0,0,0,3,-3,-3,11,5,2634.31,-3,-3,-3,1,-3,0,-3,2,2,2,1,1,-3,3,0,2,1
34,7,43,10,14,0,-3,2,5,2,5,5,1,2,-3,1,0,0,0,3,-3,-3,10,4,1152.47,2,2,2,2,-3,6,-3,2,2,2,1,1,-3,3,40,1,1
6,-3,0,0,1,0,-3,1,1,-3,5,5,2,-3,-3,1,0,0,0,1,-3,-3,1,1,1117.33,2,2,2,2,-3,0,1,2,2,2,1,1,-3,1,0,1,1
31,3,5,39,8,0,-3,2,7,12,5,2,1,-3,-3,1,0,0,0,3,-3,-3,10,4,636.85,2,2,2,2,-3,2,-3,2,2,2,1,1,-3,3,50,1,1
74,-3,0,0,10,0,-3,2,1,-3,5,5,2,-3,-3,1,5556,0,0,6,-3,-3,11,5,2730.77,2,2,2,2,-3,0,-3,2,2,2,1,1,-3,3,0,1,1
0,-3,0,0,1,0,-3,1,1,-3,5,2,2,-3,-3,1,0,0,0,1,-3,-3,1,1,1428.97,-3,-3,-3,1,-3,0,1,1,1,2,1,1,-3,1,0,1,1
19,3,39,32,11,0,-3,1,14,3,5,5,1,-3,-3,2,0,0,0,1,-3,-3,23,8,2147.49,-3,-3,-3,1,-3,3,-3,2,2,2,1,1,-3,3,4,2,1
15,-3,0,0,5,0,-3,1,1,-3,5,5,1,-3,-3,1,0,0,0,1,4,23,1,1,215.84,3,3,3,3,1,0,1,2,2,2,1,1,-3,3,0,1,1
4,-3,0,0,1,0,-3,1,1,-3,5,1,1,-3,-3,1,0,0,0,1,-3,-3,1,1,1289.56,-3,-3,-3,1,-3,0,1,1,1,1,2,1,-3,1,0,2,1
24,-3,0,0,14,0,2,1,1,-3,5,5,2,-3,-3,1,0,0,0,1,3,41,6,3,1208.48,3,8,9,3,1,0,-3,2,2,2,1,1,-3,3,0,1,1
3,-3,0,0,1,0,-3,1,1,-3,5,5,2,-3,-3,1,0,0,0,1,-3,-3,1,1,454.07,-3,-3,-3,1,-3,0,3,2,2,2,1,1,-3,1,0,2,1
8,-3,0,0,1,0,-3,1,1,-3,5,2,1,-3,-3,1,0,0,0,1,-3,-3,1,1,2887.5,-3,-3,-3,1,-3,0,1,1,1,2,1,1,-3,1,0,2,1
43,3,34,2,11,0,-3,1,11,13,5,5,1,-3,-3,1,0,0,0,4,-3,-3,18,5,1103.79,2,2,2,2,-3,6,-3,2,2,2,1,1,-3,3,52,1,1
72,-3,0,0,8,0,-3,2,1,-3,4,5,2,-3,-3,1,0,0,0,1,-3,-3,11,5,573.79,2,2,2,2,-3,0,-3,2,2,2,1,1,-3,3,0,1,1
68,-3,0,0,14,0,-3,2,1,-3,5,5,2,-3,-3,4,0,0,3095,6,-3,-3,11,5,1516.05,-3,-3,-3,1,-3,0,-3,2,2,2,1,1,-3,3,0,2,1
39,4,4,34,6,0,-3,2,15,9,5,6,2,-3,5,1,0,0,0,3,-3,-3,11,5,1282.49,2,2,2,2,-3,1,-3,4,4,4,5,1,-3,3,52,1,1
36,3,11,23,10,0,-3,2,7,6,5,5,1,-3,-3,1,0,0,0,3,-3,-3,10,4,2700.08,2,2,2,2,-3,4,-3,2,2,2,1,1,-3,3,52,1,1
4,-3,0,0,1,0,-3,1,1,-3,5,1,2,-3,-3,1,0,0,0,1,-3,-3,1,1,1570.8,-3,-3,-3,1,-3,0,1,1,1,2,1,1,-3,1,0,2,1
38,3,39,31,3,0,-3,1,14,3,5,4,1,-3,-3,1,0,0,0,5,-3,-3,11,5,272.14,2,2,2,2,-3,3,-3,15,15,15,5,3,-3,3,20,1,1
71,-3,0,0,11,0,-3,2,1,-3,5,5,2,-3,-3,4,0,1421,0,6,-3,-3,11,5,2172.64,-3,-3,-3,1,-3,0,-3,2,2,2,1,1,-3,3,0,2,1
49,3,4,2,10,0,-3,5,15,13,5,5,2,-3,-3,1,0,0,0,4,5,37,18,5,803.77,3,3,3,3,1,3,-3,2,20,2,1,2,-3,3,52,1,1
2,-3,0,0,1,0,-3,1,1,-3,5,5,2,-3,-3,1,0,0,0,1,-3,-3,1,1,709.9,2,2,2,2,-3,0,1,2,2,2,1,1,-3,1,0,1,1
45,5,45,11,15,0,-3,2,17,2,5,5,1,-3,-3,2,0,0,0,3,-3,-3,10,4,3497.86,-3,-3,-3,1,-3,3,-3,13,17,13,5,1,-3,3,52,2,2
5,-3,0,0,1,0,-3,1,1,-3,5,2,2,-3,-3,1,0,0,0,1,-3,-3,1,1,1905.6,-3,-3,-3,1,-3,0,1,1,11,2,1,1,-3,1,0,2,1
33,3,39,29,13,0,-3,1,14,3,5,5,2,-3,-3,1,0,0,0,4,-3,-3,18,5,2117.38,2,2,2,2,-3,6,-3,40,40,40,2,3,-3,3,52,1,1
15,1,0,0,7,0,-3,1,1,-3,5,2,2,-3,3,1,0,0,0,4,-3,-3,1,1,2288.5,2,2,2,2,-3,6,1,1,1,2,1,1,-3,3,6,1,1
62,4,29,2,10,0,-3,6,18,13,5,5,1,-3,-3,7,0,0,0,4,-3,-3,18,5,359.51,-3,-3,-3,1,-3,1,-3,2,2,2,1,1,-3,3,52,2,1
18,-3,0,0,11,0,2,1,1,-3,5,5,1,-3,-3,1,0,0,0,1,-3,-3,23,8,1680.95,2,2,2,2,-3,1,-3,2,2,2,1,1,-3,3,12,1,1
23,3,33,3,14,0,-3,1,10,13,5,5,1,-3,-3,2,0,0,0,4,-3,-3,23,8,1782.93,-3,-3,-3,1,-3,4,-3,2,2,2,1,1,-3,3,52,2,1
21,-3,0,0,11,0,2,1,1,-3,3,5,2,-3,-3,1,0,0,0,1,-3,-3,18,5,1989.51,2,2,2,2,-3,0,-3,-3,-3,-3,2,1,-3,3,0,1,1
36,3,9,36,10,0,-3,2,7,11,5,5,2,-3,-3,1,0,0,0,3,-3,-3,11,5,2941.28,2,2,2,2,-3,5,-3,2,2,2,1,1,-3,3,52,1,1
3,-3,0,0,1,0,-3,1,1,-3,5,5,1,-3,-3,1,0,0,0,1,-3,-3,1,1,2379.74,2,2,2,2,-3,0,1,2,2,2,1,1,-3,1,0,1,1
28,3,42,30,8,0,-3,5,16,3,5,5,2,-3,-3,2,0,0,0,4,-3,-3,6,3,3713.29,-3,-3,-3,1,-3,5,-3,2,2,2,1,1,-3,3,52,2,1
84,-3,0,0,10,0,-3,5,1,-3,5,5,1,-3,-3,1,0,0,0,4,-3,-3,18,5,2784.47,2,2,2,2,-3,0,-3,2,2,2,1,1,-3,3,0,1,1
69,-3,0,0,7,0,-3,5,1,-3,5,5,2,-3,-3,4,0,0,0,4,-3,-3,18,5,2176.86,-3,-3,-3,1,-3,0,-3,2,2,2,1,1,-3,3,0,2,1
58,7,43,32,10,0,-3,2,5,3,5,5,1,-3,-3,2,0,0,0,2,-3,-3,10,4,1578.2,-3,-3,-3,1,-3,6,-3,2,2,2,1,1,-3,3,52,2,1
