length,whole_weight,shell_weight,viscera_weight,height,diameter,shucked_weight,rings
0.27,0.1205,0.04,0.028,0.08,0.2,0.0465,6.0
0.52,0.895,0.235,0.186,0.15,0.45,0.3615,14.0
0.35,0.2925,0.0905,0.0635,0.11,0.275,0.1225,8.0
0.47,0.6355,0.255,0.0885,0.15,0.39,0.2185,9.0
0.59,1.187,0.37,0.2705,0.2,0.5,0.412,16.0
0.62,1.219,0.385,0.2505,0.205,0.485,0.3875,14.0
0.63,1.525,0.45,0.3335,0.225,0.505,0.56,15.0
0.63,1.259,0.41,0.197,0.155,0.515,0.4105,13.0
0.655,1.844,0.585,0.327,0.215,0.54,0.7425,22.0
0.61,1.642,0.69,0.3345,0.24,0.5,0.532,18.0
0.635,1.484,0.43,0.3115,0.205,0.525,0.55,20.0
0.485,0.6295,0.225,0.127,0.14,0.395,0.2285,14.0
0.515,0.9565,0.31,0.158,0.175,0.38,0.325,14.0
0.53,0.699,0.205,0.1595,0.155,0.435,0.288,10.0
0.44,0.4775,0.19,0.0815,0.125,0.355,0.132,9.0
0.54,0.996,0.325,0.226,0.18,0.435,0.3835,17.0
0.61,1.116,0.315,0.2205,0.165,0.475,0.428,15.0
0.6,1.0575,0.375,0.19,0.195,0.495,0.384,26.0
0.49,0.549,0.15,0.1275,0.14,0.395,0.2215,11.0
0.37,0.234,0.075,0.0585,0.105,0.28,0.0905,9.0
0.37,0.252,0.074,0.0595,0.1,0.28,0.1065,8.0
0.36,0.217,0.0715,0.0495,0.1,0.27,0.0885,6.0
0.645,1.5415,0.535,0.369,0.24,0.515,0.471,13.0
0.55,0.7605,0.195,0.1635,0.125,0.41,0.2505,14.0
0.57,0.9055,0.275,0.2355,0.145,0.435,0.3925,10.0
0.56,0.971,0.265,0.2045,0.14,0.44,0.443,14.0
0.595,1.3305,0.345,0.3235,0.195,0.455,0.4595,19.0
0.63,1.3,0.46,0.2945,0.175,0.485,0.4335,23.0
0.45,0.3675,0.12,0.1015,0.1,0.35,0.1465,10.0
0.385,0.2845,0.1,0.075,0.1,0.31,0.1065,11.0
0.335,0.222,0.075,0.056,0.105,0.265,0.0935,7.0
0.51,0.6435,0.205,0.1665,0.13,0.4,0.27,12.0
0.36,0.241,0.095,0.053,0.105,0.295,0.0865,8.0
0.5,0.5955,0.2,0.161,0.155,0.38,0.2135,12.0
0.62,1.3415,0.355,0.3175,0.19,0.465,0.5705,11.0
0.6,1.0875,0.325,0.2655,0.19,0.475,0.403,14.0
0.59,1.283,0.425,0.276,0.185,0.45,0.473,16.0
0.62,1.325,0.33,0.325,0.185,0.475,0.6045,13.0
0.575,1.165,0.3,0.2275,0.145,0.455,0.581,14.0
0.62,1.274,0.32,0.3065,0.185,0.465,0.579,12.0
0.49,0.707,0.18,0.2185,0.14,0.39,0.2795,13.0
0.61,1.2,0.28,0.2455,0.15,0.48,0.56,14.0
0.57,0.9535,0.245,0.2065,0.14,0.46,0.4465,12.0
0.58,0.93,0.22,0.259,0.17,0.455,0.408,9.0
0.635,1.275,0.34,0.286,0.17,0.515,0.509,16.0
0.7,2.13,0.58,0.49,0.205,0.58,0.7415,20.0
0.675,1.587,0.395,0.336,0.185,0.525,0.6935,13.0
0.745,2.499,0.7,0.472,0.215,0.585,0.9265,17.0
0.605,1.227,0.35,0.287,0.18,0.49,0.48,18.0
0.63,1.016,0.355,0.244,0.16,0.515,0.4215,19.0
0.58,0.887,0.265,0.1655,0.145,0.465,0.4405,11.0
0.63,1.13,0.315,0.2765,0.18,0.49,0.458,12.0
0.685,1.343,0.4,0.292,0.15,0.52,0.4635,13.0
0.63,1.1775,0.285,0.3365,0.19,0.49,0.4935,11.0
0.565,0.995,0.37,0.183,0.175,0.465,0.3895,15.0
0.605,1.1405,0.385,0.2805,0.18,0.47,0.3755,15.0
0.535,0.791,0.25,0.189,0.145,0.42,0.33,10.0
0.485,0.663,0.2,0.137,0.135,0.4,0.313,10.0
0.47,0.5565,0.195,0.122,0.12,0.375,0.226,12.0
0.545,0.8445,0.235,0.21,0.135,0.425,0.373,10.0
0.54,0.7385,0.215,0.152,0.155,0.42,0.3515,12.0
0.46,0.482,0.145,0.1225,0.135,0.38,0.207,10.0
0.49,0.609,0.22,0.1435,0.125,0.42,0.239,14.0
0.475,0.593,0.18,0.115,0.125,0.375,0.277,10.0
0.47,0.5865,0.185,0.144,0.145,0.38,0.2385,8.0
0.535,0.6765,0.26,0.139,0.15,0.44,0.256,12.0
0.585,0.987,0.31,0.2075,0.15,0.455,0.4355,11.0
0.515,0.7225,0.235,0.1625,0.135,0.455,0.295,9.0
0.45,0.479,0.15,0.1045,0.115,0.355,0.2125,8.0
0.59,0.911,0.29,0.182,0.12,0.485,0.39,16.0
0.555,0.915,0.285,0.246,0.145,0.45,0.4,11.0
0.57,0.827,0.235,0.2215,0.095,0.44,0.3395,8.0
0.59,1.1045,0.34,0.2425,0.165,0.5,0.4565,15.0
0.585,0.945,0.28,0.2115,0.12,0.475,0.41,14.0
0.545,0.8565,0.24,0.1715,0.12,0.44,0.3475,12.0
0.63,1.352,0.45,0.349,0.165,0.515,0.488,20.0
0.545,0.625,0.235,0.16,0.14,0.41,0.223,13.0
0.58,1.068,0.32,0.203,0.175,0.45,0.425,13.0
0.6,1.015,0.33,0.1735,0.16,0.5,0.3995,19.0
0.6,1.036,0.325,0.196,0.155,0.47,0.4375,20.0
0.565,0.9065,0.32,0.156,0.17,0.455,0.342,18.0
0.545,0.7505,0.255,0.13,0.14,0.42,0.2475,22.0
0.5,0.662,0.22,0.137,0.15,0.41,0.2815,11.0
0.39,0.3055,0.085,0.0645,0.09,0.3,0.143,9.0
0.5,0.6885,0.25,0.138,0.165,0.415,0.249,13.0
0.565,0.9815,0.39,0.136,0.185,0.435,0.329,13.0
0.565,0.9265,0.375,0.1575,0.185,0.455,0.354,16.0
0.605,1.098,0.375,0.232,0.175,0.5,0.4765,12.0
0.725,1.891,0.58,0.4725,0.215,0.565,0.6975,16.0
0.575,0.8375,0.24,0.1735,0.14,0.47,0.3485,11.0
0.38,0.2665,0.075,0.061,0.1,0.285,0.115,11.0
0.655,1.388,0.41,0.2735,0.195,0.53,0.567,13.0
0.675,1.4385,0.465,0.2665,0.2,0.555,0.545,21.0
0.53,0.7395,0.2645,0.1395,0.175,0.415,0.261,17.0
0.665,1.347,0.415,0.254,0.175,0.54,0.4955,17.0
0.735,1.756,0.58,0.3405,0.225,0.59,0.637,21.0
0.66,1.32,0.455,0.2635,0.185,0.545,0.5305,16.0
0.575,0.9325,0.3,0.2445,0.155,0.4,0.3605,17.0
0.57,0.849,0.24,0.1765,0.125,0.465,0.3785,15.0
0.63,1.0115,0.305,0.237,0.145,0.48,0.4235,12.0
0.55,0.92,0.29,0.2385,0.13,0.45,0.378,11.0
0.54,0.8075,0.235,0.1795,0.135,0.42,0.3485,11.0
0.59,1.073,0.285,0.19,0.145,0.455,0.475,14.0
0.58,0.921,0.29,0.181,0.13,0.46,0.357,13.0
0.655,1.2635,0.415,0.2635,0.175,0.53,0.486,15.0
0.625,1.369,0.37,0.2185,0.195,0.5,0.5875,17.0
0.555,0.874,0.305,0.202,0.175,0.45,0.3275,10.0
0.6,1.105,0.315,0.247,0.175,0.47,0.4865,15.0
0.56,0.8395,0.305,0.157,0.235,0.46,0.3325,12.0
0.585,1.055,0.365,0.221,0.225,0.455,0.3815,15.0
0.56,0.889,0.25,0.204,0.18,0.435,0.36,11.0
0.31,0.146,0.045,0.0365,0.085,0.22,0.061,6.0
0.27,0.1,0.03,0.0195,0.08,0.195,0.0385,6.0
0.4,0.2795,0.075,0.0575,0.115,0.29,0.1115,9.0
0.28,0.0915,0.03,0.0215,0.08,0.2,0.033,5.0
0.325,0.147,0.045,0.034,0.09,0.23,0.06,4.0
0.21,0.0385,0.01,0.0085,0.05,0.15,0.0155,3.0
0.2,0.035,0.01,0.008,0.055,0.14,0.0145,5.0
0.235,0.0545,0.015,0.0095,0.06,0.16,0.0265,4.0
0.175,0.024,0.005,0.006,0.04,0.125,0.0095,4.0
0.155,0.0155,0.005,0.003,0.04,0.11,0.0065,3.0
0.385,0.24,0.085,0.059,0.095,0.3,0.0885,9.0
0.29,0.1165,0.04,0.0255,0.075,0.23,0.043,7.0
0.275,0.094,0.0325,0.02,0.07,0.205,0.0335,5.0
0.42,0.2885,0.1135,0.057,0.115,0.325,0.1,15.0
0.445,0.3615,0.117,0.0695,0.115,0.35,0.1565,8.0
0.32,0.1555,0.049,0.038,0.075,0.245,0.0585,11.0
0.255,0.08,0.027,0.018,0.065,0.195,0.0315,8.0
0.205,0.0425,0.0155,0.0055,0.045,0.155,0.017,7.0
0.35,0.179,0.06,0.0385,0.065,0.255,0.0705,10.0
0.28,0.1085,0.0345,0.0265,0.08,0.21,0.041,7.0
0.45,0.4625,0.15,0.076,0.14,0.335,0.164,14.0
0.535,0.6995,0.24,0.153,0.15,0.42,0.2575,12.0
0.345,0.195,0.059,0.0455,0.09,0.27,0.078,9.0
0.37,0.228,0.081,0.0675,0.1,0.285,0.0675,10.0
0.35,0.1775,0.068,0.042,0.09,0.265,0.0575,12.0
0.195,0.032,0.012,0.008,0.05,0.145,0.01,4.0
0.325,0.155,0.06,0.0355,0.075,0.24,0.0475,9.0
0.415,0.3865,0.148,0.07,0.135,0.345,0.128,13.0
0.32,0.17,0.049,0.047,0.085,0.24,0.0655,7.0
0.31,0.1295,0.044,0.0335,0.075,0.225,0.0455,9.0
0.235,0.0515,0.0195,0.0105,0.055,0.17,0.018,7.0
0.345,0.169,0.054,0.0425,0.08,0.255,0.06,10.0
0.34,0.1835,0.065,0.046,0.085,0.265,0.077,10.0
0.46,0.467,0.158,0.0945,0.125,0.365,0.1895,10.0
0.36,0.2105,0.075,0.0525,0.1,0.295,0.066,9.0
0.355,0.168,0.063,0.041,0.09,0.265,0.05,8.0
0.38,0.258,0.08,0.054,0.1,0.235,0.1055,7.0
0.355,0.1905,0.055,0.0485,0.085,0.26,0.081,6.0
0.325,0.173,0.05,0.038,0.085,0.24,0.0795,7.0
0.33,0.1875,0.06,0.045,0.095,0.255,0.0735,7.0
0.45,0.3715,0.105,0.0795,0.13,0.34,0.1605,9.0
0.33,0.1145,0.035,0.0265,0.075,0.215,0.045,6.0
0.48,0.777,0.17,0.13,0.145,0.375,0.216,9.0
0.255,0.079,0.025,0.014,0.065,0.18,0.034,5.0
0.31,0.1345,0.05,0.024,0.08,0.225,0.054,7.0
0.295,0.129,0.04,0.0295,0.075,0.215,0.05,7.0
0.455,0.4835,0.16,0.144,0.12,0.35,0.1815,11.0
0.55,0.9175,0.335,0.243,0.155,0.425,0.2775,13.0
0.475,0.6175,0.215,0.108,0.145,0.385,0.235,14.0
0.49,0.573,0.17,0.124,0.15,0.39,0.225,21.0
0.54,0.74,0.245,0.168,0.145,0.415,0.2635,12.0
0.485,0.5725,0.175,0.1415,0.14,0.37,0.204,10.0
0.535,0.8345,0.29,0.1725,0.185,0.405,0.3175,16.0
0.51,0.6515,0.185,0.1665,0.14,0.4,0.2455,10.0
0.565,0.909,0.255,0.2325,0.185,0.44,0.344,15.0
0.525,0.7305,0.195,0.2055,0.17,0.4,0.279,11.0
0.59,0.9555,0.295,0.2425,0.15,0.44,0.366,11.0
0.5,0.636,0.19,0.145,0.15,0.375,0.2535,10.0
0.38,0.283,0.085,0.0655,0.12,0.29,0.1175,9.0
0.28,0.1165,0.03,0.0285,0.1,0.205,0.0545,5.0
0.385,0.2905,0.0875,0.0685,0.105,0.285,0.1215,12.0
0.395,0.316,0.1105,0.0595,0.115,0.295,0.1205,12.0
0.4,0.417,0.1175,0.09,0.125,0.3,0.191,9.0
0.415,0.417,0.144,0.1015,0.14,0.325,0.1535,10.0
0.315,0.203,0.0795,0.037,0.09,0.25,0.0615,11.0
0.36,0.2765,0.1005,0.057,0.13,0.295,0.0895,10.0
0.375,0.2465,0.083,0.0475,0.1,0.3,0.104,11.0
0.355,0.201,0.0695,0.053,0.085,0.265,0.069,8.0
0.35,0.1915,0.063,0.0385,0.08,0.255,0.08,9.0
0.555,1.0575,0.293,0.228,0.16,0.455,0.3925,13.0
0.555,1.092,0.4405,0.212,0.15,0.44,0.416,15.0
0.525,0.99,0.295,0.243,0.13,0.41,0.3865,15.0
0.465,0.488,0.155,0.125,0.08,0.36,0.191,11.0
0.4,0.297,0.1,0.0705,0.085,0.305,0.108,10.0
0.505,0.77,0.255,0.159,0.125,0.4,0.2735,13.0
0.525,0.8295,0.275,0.1825,0.13,0.4,0.2405,11.0
0.545,0.879,0.23,0.1695,0.13,0.42,0.374,13.0
0.52,0.823,0.265,0.1805,0.12,0.4,0.298,15.0
0.505,0.656,0.22,0.1785,0.13,0.38,0.227,13.0
0.525,0.8665,0.29,0.176,0.12,0.425,0.2825,18.0
0.51,0.6565,0.175,0.1835,0.125,0.39,0.262,10.0
0.52,0.669,0.205,0.172,0.115,0.385,0.2385,12.0
0.535,0.862,0.32,0.1525,0.135,0.41,0.2855,14.0
0.445,0.3795,0.125,0.074,0.09,0.345,0.143,10.0
0.53,0.835,0.245,0.2175,0.205,0.44,0.32,14.0
0.53,0.8425,0.265,0.1945,0.13,0.415,0.275,20.0
0.52,0.6595,0.16,0.2035,0.14,0.385,0.2485,9.0
0.535,0.8055,0.28,0.181,0.13,0.42,0.301,14.0
0.695,1.5165,0.39,0.4105,0.175,0.515,0.578,15.0
0.485,0.547,0.14,0.1615,0.12,0.355,0.215,10.0
0.65,1.4805,0.525,0.272,0.175,0.515,0.5295,20.0
0.62,1.5275,0.35,0.368,0.185,0.505,0.69,13.0
0.615,1.1375,0.37,0.236,0.155,0.525,0.367,20.0
0.57,1.116,0.27,0.2315,0.155,0.44,0.4775,13.0
0.57,1.0615,0.31,0.167,0.12,0.43,0.348,15.0
0.585,1.2565,0.325,0.202,0.15,0.405,0.435,15.0
0.64,1.613,0.47,0.361,0.19,0.51,0.6215,14.0
0.545,0.978,0.3,0.1905,0.15,0.45,0.3365,11.0
0.345,0.197,0.07,0.05,0.095,0.27,0.0665,9.0
0.385,0.2685,0.085,0.0825,0.115,0.275,0.0975,8.0
0.455,0.462,0.12,0.158,0.135,0.34,0.1675,9.0
0.49,0.7605,0.185,0.167,0.14,0.38,0.245,10.0
0.53,0.732,0.31,0.17,0.165,0.41,0.189,11.0
0.505,0.6775,0.2,0.179,0.145,0.385,0.236,15.0
0.49,0.6385,0.195,0.142,0.14,0.38,0.2305,13.0
0.465,0.5755,0.19,0.1505,0.14,0.35,0.2015,15.0
0.56,0.93,0.3,0.237,0.165,0.41,0.3505,13.0
0.505,0.6415,0.215,0.152,0.15,0.385,0.246,12.0
0.515,0.8815,0.255,0.206,0.145,0.435,0.292,10.0
0.55,1.042,0.2905,0.2325,0.175,0.415,0.3295,15.0
0.495,0.709,0.262,0.1375,0.135,0.385,0.211,12.0
0.47,0.51,0.1625,0.1285,0.18,0.37,0.1915,9.0
0.575,0.9215,0.256,0.225,0.165,0.45,0.3275,12.0
0.58,1.0345,0.3635,0.26,0.16,0.465,0.315,12.0
0.515,0.695,0.234,0.1635,0.145,0.405,0.215,15.0
0.53,0.7155,0.214,0.1685,0.155,0.41,0.2805,11.0
0.44,0.394,0.122,0.096,0.11,0.335,0.157,9.0
0.52,0.745,0.2885,0.157,0.16,0.42,0.255,11.0
0.46,0.495,0.185,0.117,0.135,0.34,0.1655,10.0
0.45,0.349,0.115,0.1055,0.125,0.335,0.119,10.0
0.425,0.4405,0.155,0.0935,0.13,0.33,0.152,9.0
0.515,0.6615,0.155,0.2095,0.135,0.38,0.2875,10.0
0.405,0.3185,0.095,0.0905,0.12,0.305,0.1235,7.0
0.505,0.875,0.285,0.174,0.14,0.405,0.2665,12.0
0.415,0.325,0.091,0.0505,0.1,0.305,0.156,6.0
0.47,0.5805,0.169,0.0935,0.12,0.375,0.266,8.0
0.49,0.609,0.1775,0.096,0.125,0.385,0.3065,8.0
0.5,0.5975,0.166,0.1275,0.125,0.4,0.27,9.0
0.505,0.8275,0.239,0.1855,0.14,0.44,0.3415,8.0
0.525,0.7635,0.225,0.1425,0.13,0.395,0.3375,8.0
0.54,0.891,0.202,0.1915,0.125,0.405,0.4815,9.0
0.55,1.0145,0.2875,0.2015,0.15,0.45,0.407,10.0
0.555,0.9685,0.2385,0.168,0.145,0.435,0.4985,9.0
0.565,1.0595,0.265,0.24,0.155,0.45,0.4735,10.0
0.57,0.952,0.2745,0.2155,0.15,0.455,0.3895,9.0
0.57,0.7535,0.194,0.1755,0.13,0.435,0.349,10.0
0.59,1.077,0.3095,0.244,0.165,0.475,0.4545,9.0
0.59,1.102,0.33,0.2055,0.13,0.46,0.455,12.0
0.6,1.3445,0.36,0.2875,0.175,0.475,0.549,11.0
0.6,1.29,0.3445,0.276,0.175,0.495,0.606,11.0
0.605,1.1035,0.325,0.3015,0.16,0.455,0.421,9.0
0.615,1.296,0.32,0.3315,0.15,0.51,0.545,9.0
0.615,1.34,0.41,0.2815,0.165,0.505,0.5315,12.0
0.62,1.307,0.315,0.2545,0.165,0.5,0.6355,9.0
0.63,1.26,0.406,0.2755,0.165,0.505,0.4525,14.0
0.635,1.3555,0.39,0.305,0.17,0.51,0.619,9.0
0.65,1.4715,0.399,0.315,0.175,0.525,0.675,11.0
0.655,1.4095,0.405,0.291,0.165,0.52,0.586,9.0
0.655,2.0805,0.601,0.3415,0.205,0.58,0.959,17.0
0.66,1.3905,0.453,0.212,0.17,0.53,0.5905,15.0
0.66,1.558,0.4,0.298,0.19,0.52,0.755,10.0
0.73,2.8255,0.897,0.419,0.23,0.595,1.1465,17.0
0.47,0.612,0.14,0.15,0.12,0.365,0.327,8.0
0.475,0.537,0.15,0.1215,0.125,0.37,0.222,9.0
0.48,0.6765,0.17,0.1065,0.115,0.375,0.3205,6.0
0.48,0.64,0.1575,0.1405,0.145,0.385,0.2925,6.0
0.48,0.439,0.115,0.099,0.1,0.36,0.194,8.0
0.48,0.6015,0.14,0.117,0.12,0.365,0.312,7.0
0.49,0.649,0.1695,0.124,0.125,0.385,0.32,8.0
0.495,0.6335,0.1495,0.1295,0.135,0.395,0.3035,8.0
0.495,0.61,0.144,0.1435,0.135,0.4,0.272,7.0
0.5,0.6595,0.1565,0.1535,0.135,0.39,0.3145,6.0
0.5,0.6425,0.1535,0.129,0.135,0.385,0.3195,7.0
0.5,0.6725,0.1825,0.12,0.125,0.4,0.336,7.0
0.505,0.642,0.155,0.133,0.125,0.41,0.289,9.0
0.51,0.769,0.19,0.1455,0.135,0.39,0.3935,8.0
0.51,0.7035,0.1885,0.134,0.15,0.405,0.347,8.0
0.51,0.796,0.1955,0.1815,0.145,0.41,0.3865,8.0
0.515,0.7125,0.155,0.137,0.155,0.39,0.3695,7.0
0.525,0.7325,0.17,0.1575,0.14,0.4,0.334,11.0
0.53,0.6515,0.186,0.1605,0.125,0.405,0.2715,7.0
0.535,0.7165,0.2155,0.1595,0.14,0.43,0.2855,8.0
0.535,0.874,0.2195,0.229,0.14,0.435,0.3735,8.0
0.57,1.195,0.295,0.2565,0.155,0.45,0.5625,10.0
0.57,1.1935,0.343,0.21,0.155,0.45,0.513,10.0
0.57,1.0635,0.24,0.2195,0.14,0.445,0.5265,8.0
0.57,0.9035,0.214,0.1935,0.17,0.46,0.4075,7.0
0.575,1.114,0.29,0.2745,0.16,0.475,0.4955,9.0
0.58,1.012,0.2835,0.2115,0.15,0.455,0.4985,10.0
0.58,1.1335,0.237,0.2565,0.13,0.49,0.586,9.0
0.59,1.136,0.275,0.2615,0.155,0.465,0.5245,11.0
0.59,1.206,0.309,0.2425,0.16,0.47,0.479,8.0
0.595,1.213,0.274,0.2435,0.165,0.475,0.621,9.0
0.595,1.044,0.27,0.2205,0.15,0.455,0.518,9.0
0.605,1.161,0.275,0.2455,0.155,0.475,0.572,9.0
0.605,1.2315,0.2925,0.262,0.165,0.47,0.6025,11.0
0.61,1.1625,0.3085,0.258,0.15,0.47,0.565,11.0
0.61,1.168,0.3295,0.239,0.155,0.475,0.554,10.0
0.625,1.3325,0.405,0.271,0.175,0.49,0.5705,10.0
0.63,1.278,0.31,0.275,0.155,0.485,0.637,8.0
0.63,1.1785,0.3235,0.248,0.15,0.48,0.5185,8.0
0.635,1.375,0.395,0.2705,0.175,0.49,0.623,11.0
0.635,1.4065,0.3745,0.3,0.185,0.525,0.684,10.0
0.64,1.4025,0.335,0.2655,0.155,0.505,0.705,10.0
0.645,1.636,0.432,0.342,0.175,0.52,0.779,11.0
0.645,1.561,0.4,0.3555,0.175,0.52,0.709,8.0
0.645,1.3385,0.349,0.299,0.175,0.5,0.633,11.0
0.65,1.304,0.3725,0.312,0.16,0.495,0.57,9.0
0.65,1.6785,0.46,0.308,0.21,0.52,0.6665,11.0
0.65,1.622,0.477,0.3225,0.185,0.525,0.6645,10.0
0.66,1.5905,0.5175,0.297,0.19,0.535,0.6425,9.0
0.66,1.6275,0.485,0.3595,0.195,0.495,0.594,10.0
0.67,1.6085,0.4005,0.3145,0.165,0.525,0.682,11.0
