whole_weight,length,diameter,shucked_weight,shell_weight,viscera_weight,height,rings
1.615,0.62,0.51,0.5105,0.675,0.192,0.175,12.0
1.3175,0.595,0.475,0.408,0.58,0.234,0.16,21.0
1.013,0.58,0.45,0.38,0.36,0.216,0.14,14.0
1.195,0.625,0.465,0.4825,0.4,0.205,0.14,13.0
0.8645,0.56,0.44,0.3305,0.26,0.2075,0.16,10.0
0.8115,0.565,0.425,0.341,0.255,0.1675,0.135,15.0
0.755,0.555,0.44,0.307,0.26,0.1525,0.15,12.0
1.115,0.595,0.465,0.4015,0.39,0.254,0.175,13.0
1.494,0.695,0.56,0.588,0.485,0.3425,0.19,15.0
1.606,0.665,0.535,0.5755,0.48,0.388,0.195,14.0
0.725,0.535,0.435,0.269,0.25,0.1385,0.15,9.0
0.523,0.47,0.375,0.214,0.145,0.132,0.13,8.0
0.5225,0.47,0.37,0.201,0.165,0.133,0.13,7.0
0.843,0.55,0.435,0.328,0.255,0.1915,0.145,15.0
0.883,0.53,0.435,0.316,0.335,0.164,0.16,15.0
0.724,0.53,0.415,0.3105,0.205,0.1675,0.14,10.0
1.1735,0.605,0.47,0.4975,0.345,0.2405,0.16,12.0
0.5415,0.495,0.395,0.2375,0.155,0.1345,0.125,9.0
0.431,0.465,0.36,0.172,0.175,0.107,0.105,9.0
0.393,0.425,0.35,0.13,0.165,0.063,0.105,9.0
0.402,0.44,0.34,0.1305,0.165,0.0955,0.105,10.0
0.2605,0.405,0.305,0.1145,0.085,0.0595,0.085,8.0
0.214,0.37,0.265,0.09,0.07,0.051,0.075,6.0
1.7255,0.7,0.535,0.63,0.54,0.2635,0.16,19.0
1.959,0.71,0.54,0.7665,0.78,0.261,0.165,18.0
1.262,0.595,0.48,0.4835,0.41,0.283,0.165,17.0
0.2005,0.345,0.255,0.094,0.063,0.0295,0.09,9.0
0.253,0.375,0.285,0.096,0.0925,0.0575,0.095,9.0
1.3445,0.65,0.52,0.519,0.4465,0.306,0.19,16.0
0.797,0.56,0.455,0.34,0.2425,0.19,0.155,11.0
0.5175,0.475,0.375,0.2075,0.17,0.1165,0.13,10.0
0.515,0.46,0.35,0.224,0.1565,0.108,0.12,10.0
1.053,0.59,0.475,0.4415,0.325,0.262,0.145,15.0
0.722,0.515,0.405,0.32,0.21,0.131,0.13,10.0
1.514,0.645,0.485,0.546,0.635,0.2615,0.215,16.0
1.056,0.605,0.465,0.4215,0.34,0.2475,0.165,13.0
1.2445,0.61,0.485,0.544,0.345,0.297,0.175,12.0
2.55,0.725,0.57,1.0705,0.725,0.483,0.19,14.0
1.981,0.705,0.56,0.8175,0.76,0.3085,0.22,14.0
1.9565,0.695,0.55,0.7125,0.59,0.541,0.215,14.0
1.065,0.525,0.435,0.486,0.285,0.233,0.155,8.0
0.97,0.58,0.475,0.385,0.35,0.2165,0.15,11.0
0.9395,0.57,0.48,0.399,0.295,0.2,0.18,14.0
1.368,0.64,0.51,0.515,0.57,0.266,0.175,21.0
1.218,0.62,0.49,0.5455,0.355,0.2965,0.19,13.0
1.1595,0.615,0.48,0.4845,0.325,0.2165,0.18,13.0
1.0225,0.61,0.485,0.419,0.36,0.2405,0.17,12.0
0.927,0.58,0.45,0.276,0.36,0.1815,0.15,14.0
0.772,0.5,0.405,0.346,0.245,0.1535,0.155,12.0
1.3035,0.64,0.5,0.4445,0.465,0.2635,0.185,16.0
0.922,0.56,0.45,0.432,0.26,0.178,0.16,15.0
0.922,0.585,0.46,0.3635,0.285,0.213,0.185,10.0
0.825,0.5,0.4,0.254,0.285,0.205,0.165,13.0
0.369,0.42,0.335,0.171,0.12,0.071,0.115,8.0
0.181,0.335,0.25,0.0755,0.06,0.0415,0.09,7.0
0.6155,0.5,0.405,0.241,0.205,0.1355,0.14,9.0
0.8025,0.55,0.405,0.244,0.255,0.1635,0.14,10.0
0.46,0.45,0.35,0.174,0.135,0.111,0.13,8.0
0.501,0.47,0.36,0.1665,0.165,0.115,0.135,10.0
0.836,0.555,0.445,0.336,0.275,0.1625,0.135,13.0
0.9025,0.565,0.44,0.31,0.325,0.193,0.175,14.0
1.4455,0.625,0.505,0.496,0.435,0.287,0.215,22.0
0.9425,0.565,0.425,0.3495,0.275,0.2185,0.16,17.0
1.1235,0.59,0.47,0.4205,0.36,0.2805,0.18,13.0
1.2415,0.6,0.495,0.485,0.34,0.2775,0.165,15.0
1.011,0.56,0.45,0.3835,0.37,0.2065,0.175,15.0
1.07,0.56,0.45,0.3805,0.41,0.175,0.185,19.0
0.8975,0.545,0.46,0.341,0.345,0.1655,0.16,10.0
0.8945,0.53,0.42,0.319,0.245,0.239,0.165,11.0
0.1205,0.27,0.2,0.0465,0.04,0.028,0.08,6.0
0.895,0.52,0.45,0.3615,0.235,0.186,0.15,14.0
0.2925,0.35,0.275,0.1225,0.0905,0.0635,0.11,8.0
0.6355,0.47,0.39,0.2185,0.255,0.0885,0.15,9.0
1.187,0.59,0.5,0.412,0.37,0.2705,0.2,16.0
1.219,0.62,0.485,0.3875,0.385,0.2505,0.205,14.0
1.525,0.63,0.505,0.56,0.45,0.3335,0.225,15.0
1.259,0.63,0.515,0.4105,0.41,0.197,0.155,13.0
1.844,0.655,0.54,0.7425,0.585,0.327,0.215,22.0
1.642,0.61,0.5,0.532,0.69,0.3345,0.24,18.0
1.484,0.635,0.525,0.55,0.43,0.3115,0.205,20.0
0.6295,0.485,0.395,0.2285,0.225,0.127,0.14,14.0
0.9565,0.515,0.38,0.325,0.31,0.158,0.175,14.0
0.699,0.53,0.435,0.288,0.205,0.1595,0.155,10.0
0.4775,0.44,0.355,0.132,0.19,0.0815,0.125,9.0
0.996,0.54,0.435,0.3835,0.325,0.226,0.18,17.0
1.116,0.61,0.475,0.428,0.315,0.2205,0.165,15.0
1.0575,0.6,0.495,0.384,0.375,0.19,0.195,26.0
0.549,0.49,0.395,0.2215,0.15,0.1275,0.14,11.0
0.234,0.37,0.28,0.0905,0.075,0.0585,0.105,9.0
0.252,0.37,0.28,0.1065,0.074,0.0595,0.1,8.0
0.217,0.36,0.27,0.0885,0.0715,0.0495,0.1,6.0
1.5415,0.645,0.515,0.471,0.535,0.369,0.24,13.0
0.7605,0.55,0.41,0.2505,0.195,0.1635,0.125,14.0
0.9055,0.57,0.435,0.3925,0.275,0.2355,0.145,10.0
0.971,0.56,0.44,0.443,0.265,0.2045,0.14,14.0
1.3305,0.595,0.455,0.4595,0.345,0.3235,0.195,19.0
1.3,0.63,0.485,0.4335,0.46,0.2945,0.175,23.0
0.3675,0.45,0.35,0.1465,0.12,0.1015,0.1,10.0
0.2845,0.385,0.31,0.1065,0.1,0.075,0.1,11.0
0.222,0.335,0.265,0.0935,0.075,0.056,0.105,7.0
0.6435,0.51,0.4,0.27,0.205,0.1665,0.13,12.0
0.241,0.36,0.295,0.0865,0.095,0.053,0.105,8.0
0.5955,0.5,0.38,0.2135,0.2,0.161,0.155,12.0
1.3415,0.62,0.465,0.5705,0.355,0.3175,0.19,11.0
1.0875,0.6,0.475,0.403,0.325,0.2655,0.19,14.0
1.283,0.59,0.45,0.473,0.425,0.276,0.185,16.0
1.325,0.62,0.475,0.6045,0.33,0.325,0.185,13.0
1.165,0.575,0.455,0.581,0.3,0.2275,0.145,14.0
1.274,0.62,0.465,0.579,0.32,0.3065,0.185,12.0
0.707,0.49,0.39,0.2795,0.18,0.2185,0.14,13.0
1.2,0.61,0.48,0.56,0.28,0.2455,0.15,14.0
0.9535,0.57,0.46,0.4465,0.245,0.2065,0.14,12.0
0.93,0.58,0.455,0.408,0.22,0.259,0.17,9.0
1.275,0.635,0.515,0.509,0.34,0.286,0.17,16.0
2.13,0.7,0.58,0.7415,0.58,0.49,0.205,20.0
1.587,0.675,0.525,0.6935,0.395,0.336,0.185,13.0
2.499,0.745,0.585,0.9265,0.7,0.472,0.215,17.0
1.227,0.605,0.49,0.48,0.35,0.287,0.18,18.0
1.016,0.63,0.515,0.4215,0.355,0.244,0.16,19.0
0.887,0.58,0.465,0.4405,0.265,0.1655,0.145,11.0
1.13,0.63,0.49,0.458,0.315,0.2765,0.18,12.0
1.343,0.685,0.52,0.4635,0.4,0.292,0.15,13.0
1.1775,0.63,0.49,0.4935,0.285,0.3365,0.19,11.0
0.995,0.565,0.465,0.3895,0.37,0.183,0.175,15.0
1.1405,0.605,0.47,0.3755,0.385,0.2805,0.18,15.0
0.791,0.535,0.42,0.33,0.25,0.189,0.145,10.0
0.663,0.485,0.4,0.313,0.2,0.137,0.135,10.0
0.5565,0.47,0.375,0.226,0.195,0.122,0.12,12.0
0.8445,0.545,0.425,0.373,0.235,0.21,0.135,10.0
0.7385,0.54,0.42,0.3515,0.215,0.152,0.155,12.0
0.482,0.46,0.38,0.207,0.145,0.1225,0.135,10.0
0.609,0.49,0.42,0.239,0.22,0.1435,0.125,14.0
0.593,0.475,0.375,0.277,0.18,0.115,0.125,10.0
0.5865,0.47,0.38,0.2385,0.185,0.144,0.145,8.0
0.6765,0.535,0.44,0.256,0.26,0.139,0.15,12.0
0.987,0.585,0.455,0.4355,0.31,0.2075,0.15,11.0
0.7225,0.515,0.455,0.295,0.235,0.1625,0.135,9.0
0.479,0.45,0.355,0.2125,0.15,0.1045,0.115,8.0
0.911,0.59,0.485,0.39,0.29,0.182,0.12,16.0
0.915,0.555,0.45,0.4,0.285,0.246,0.145,11.0
0.827,0.57,0.44,0.3395,0.235,0.2215,0.095,8.0
1.1045,0.59,0.5,0.4565,0.34,0.2425,0.165,15.0
0.945,0.585,0.475,0.41,0.28,0.2115,0.12,14.0
0.8565,0.545,0.44,0.3475,0.24,0.1715,0.12,12.0
1.352,0.63,0.515,0.488,0.45,0.349,0.165,20.0
0.625,0.545,0.41,0.223,0.235,0.16,0.14,13.0
1.068,0.58,0.45,0.425,0.32,0.203,0.175,13.0
1.015,0.6,0.5,0.3995,0.33,0.1735,0.16,19.0
1.036,0.6,0.47,0.4375,0.325,0.196,0.155,20.0
0.9065,0.565,0.455,0.342,0.32,0.156,0.17,18.0
0.7505,0.545,0.42,0.2475,0.255,0.13,0.14,22.0
0.662,0.5,0.41,0.2815,0.22,0.137,0.15,11.0
0.3055,0.39,0.3,0.143,0.085,0.0645,0.09,9.0
0.6885,0.5,0.415,0.249,0.25,0.138,0.165,13.0
0.9815,0.565,0.435,0.329,0.39,0.136,0.185,13.0
0.9265,0.565,0.455,0.354,0.375,0.1575,0.185,16.0
1.098,0.605,0.5,0.4765,0.375,0.232,0.175,12.0
1.891,0.725,0.565,0.6975,0.58,0.4725,0.215,16.0
0.8375,0.575,0.47,0.3485,0.24,0.1735,0.14,11.0
0.2665,0.38,0.285,0.115,0.075,0.061,0.1,11.0
1.388,0.655,0.53,0.567,0.41,0.2735,0.195,13.0
1.4385,0.675,0.555,0.545,0.465,0.2665,0.2,21.0
0.7395,0.53,0.415,0.261,0.2645,0.1395,0.175,17.0
1.347,0.665,0.54,0.4955,0.415,0.254,0.175,17.0
1.756,0.735,0.59,0.637,0.58,0.3405,0.225,21.0
1.32,0.66,0.545,0.5305,0.455,0.2635,0.185,16.0
0.9325,0.575,0.4,0.3605,0.3,0.2445,0.155,17.0
0.849,0.57,0.465,0.3785,0.24,0.1765,0.125,15.0
1.0115,0.63,0.48,0.4235,0.305,0.237,0.145,12.0
0.92,0.55,0.45,0.378,0.29,0.2385,0.13,11.0
0.8075,0.54,0.42,0.3485,0.235,0.1795,0.135,11.0
1.073,0.59,0.455,0.475,0.285,0.19,0.145,14.0
0.921,0.58,0.46,0.357,0.29,0.181,0.13,13.0
1.2635,0.655,0.53,0.486,0.415,0.2635,0.175,15.0
1.369,0.625,0.5,0.5875,0.37,0.2185,0.195,17.0
0.874,0.555,0.45,0.3275,0.305,0.202,0.175,10.0
1.105,0.6,0.47,0.4865,0.315,0.247,0.175,15.0
0.8395,0.56,0.46,0.3325,0.305,0.157,0.235,12.0
1.055,0.585,0.455,0.3815,0.365,0.221,0.225,15.0
0.889,0.56,0.435,0.36,0.25,0.204,0.18,11.0
0.146,0.31,0.22,0.061,0.045,0.0365,0.085,6.0
0.1,0.27,0.195,0.0385,0.03,0.0195,0.08,6.0
0.2795,0.4,0.29,0.1115,0.075,0.0575,0.115,9.0
0.0915,0.28,0.2,0.033,0.03,0.0215,0.08,5.0
0.147,0.325,0.23,0.06,0.045,0.034,0.09,4.0
0.0385,0.21,0.15,0.0155,0.01,0.0085,0.05,3.0
0.035,0.2,0.14,0.0145,0.01,0.008,0.055,5.0
0.0545,0.235,0.16,0.0265,0.015,0.0095,0.06,4.0
0.024,0.175,0.125,0.0095,0.005,0.006,0.04,4.0
0.0155,0.155,0.11,0.0065,0.005,0.003,0.04,3.0
0.24,0.385,0.3,0.0885,0.085,0.059,0.095,9.0
0.1165,0.29,0.23,0.043,0.04,0.0255,0.075,7.0
0.094,0.275,0.205,0.0335,0.0325,0.02,0.07,5.0
0.2885,0.42,0.325,0.1,0.1135,0.057,0.115,15.0
0.3615,0.445,0.35,0.1565,0.117,0.0695,0.115,8.0
0.1555,0.32,0.245,0.0585,0.049,0.038,0.075,11.0
0.08,0.255,0.195,0.0315,0.027,0.018,0.065,8.0
0.0425,0.205,0.155,0.017,0.0155,0.0055,0.045,7.0
0.179,0.35,0.255,0.0705,0.06,0.0385,0.065,10.0
0.1085,0.28,0.21,0.041,0.0345,0.0265,0.08,7.0
0.4625,0.45,0.335,0.164,0.15,0.076,0.14,14.0
0.6995,0.535,0.42,0.2575,0.24,0.153,0.15,12.0
0.195,0.345,0.27,0.078,0.059,0.0455,0.09,9.0
0.228,0.37,0.285,0.0675,0.081,0.0675,0.1,10.0
0.1775,0.35,0.265,0.0575,0.068,0.042,0.09,12.0
0.032,0.195,0.145,0.01,0.012,0.008,0.05,4.0
0.155,0.325,0.24,0.0475,0.06,0.0355,0.075,9.0
0.3865,0.415,0.345,0.128,0.148,0.07,0.135,13.0
0.17,0.32,0.24,0.0655,0.049,0.047,0.085,7.0
0.1295,0.31,0.225,0.0455,0.044,0.0335,0.075,9.0
0.0515,0.235,0.17,0.018,0.0195,0.0105,0.055,7.0
0.169,0.345,0.255,0.06,0.054,0.0425,0.08,10.0
0.1835,0.34,0.265,0.077,0.065,0.046,0.085,10.0
0.467,0.46,0.365,0.1895,0.158,0.0945,0.125,10.0
0.2105,0.36,0.295,0.066,0.075,0.0525,0.1,9.0
0.168,0.355,0.265,0.05,0.063,0.041,0.09,8.0
0.258,0.38,0.235,0.1055,0.08,0.054,0.1,7.0
0.1905,0.355,0.26,0.081,0.055,0.0485,0.085,6.0
0.173,0.325,0.24,0.0795,0.05,0.038,0.085,7.0
0.1875,0.33,0.255,0.0735,0.06,0.045,0.095,7.0
0.3715,0.45,0.34,0.1605,0.105,0.0795,0.13,9.0
0.1145,0.33,0.215,0.045,0.035,0.0265,0.075,6.0
0.777,0.48,0.375,0.216,0.17,0.13,0.145,9.0
0.079,0.255,0.18,0.034,0.025,0.014,0.065,5.0
0.1345,0.31,0.225,0.054,0.05,0.024,0.08,7.0
0.129,0.295,0.215,0.05,0.04,0.0295,0.075,7.0
0.4835,0.455,0.35,0.1815,0.16,0.144,0.12,11.0
0.9175,0.55,0.425,0.2775,0.335,0.243,0.155,13.0
0.6175,0.475,0.385,0.235,0.215,0.108,0.145,14.0
0.573,0.49,0.39,0.225,0.17,0.124,0.15,21.0
0.74,0.54,0.415,0.2635,0.245,0.168,0.145,12.0
0.5725,0.485,0.37,0.204,0.175,0.1415,0.14,10.0
0.8345,0.535,0.405,0.3175,0.29,0.1725,0.185,16.0
0.6515,0.51,0.4,0.2455,0.185,0.1665,0.14,10.0
0.909,0.565,0.44,0.344,0.255,0.2325,0.185,15.0
0.7305,0.525,0.4,0.279,0.195,0.2055,0.17,11.0
0.9555,0.59,0.44,0.366,0.295,0.2425,0.15,11.0
0.636,0.5,0.375,0.2535,0.19,0.145,0.15,10.0
0.283,0.38,0.29,0.1175,0.085,0.0655,0.12,9.0
0.1165,0.28,0.205,0.0545,0.03,0.0285,0.1,5.0
0.2905,0.385,0.285,0.1215,0.0875,0.0685,0.105,12.0
0.316,0.395,0.295,0.1205,0.1105,0.0595,0.115,12.0
0.417,0.4,0.3,0.191,0.1175,0.09,0.125,9.0
0.417,0.415,0.325,0.1535,0.144,0.1015,0.14,10.0
0.203,0.315,0.25,0.0615,0.0795,0.037,0.09,11.0
0.2765,0.36,0.295,0.0895,0.1005,0.057,0.13,10.0
0.2465,0.375,0.3,0.104,0.083,0.0475,0.1,11.0
0.201,0.355,0.265,0.069,0.0695,0.053,0.085,8.0
0.1915,0.35,0.255,0.08,0.063,0.0385,0.08,9.0
1.0575,0.555,0.455,0.3925,0.293,0.228,0.16,13.0
1.092,0.555,0.44,0.416,0.4405,0.212,0.15,15.0
0.99,0.525,0.41,0.3865,0.295,0.243,0.13,15.0
0.488,0.465,0.36,0.191,0.155,0.125,0.08,11.0
0.297,0.4,0.305,0.108,0.1,0.0705,0.085,10.0
0.77,0.505,0.4,0.2735,0.255,0.159,0.125,13.0
0.8295,0.525,0.4,0.2405,0.275,0.1825,0.13,11.0
0.879,0.545,0.42,0.374,0.23,0.1695,0.13,13.0
0.823,0.52,0.4,0.298,0.265,0.1805,0.12,15.0
0.656,0.505,0.38,0.227,0.22,0.1785,0.13,13.0
0.8665,0.525,0.425,0.2825,0.29,0.176,0.12,18.0
0.6565,0.51,0.39,0.262,0.175,0.1835,0.125,10.0
0.669,0.52,0.385,0.2385,0.205,0.172,0.115,12.0
0.862,0.535,0.41,0.2855,0.32,0.1525,0.135,14.0
0.3795,0.445,0.345,0.143,0.125,0.074,0.09,10.0
0.835,0.53,0.44,0.32,0.245,0.2175,0.205,14.0
0.8425,0.53,0.415,0.275,0.265,0.1945,0.13,20.0
0.6595,0.52,0.385,0.2485,0.16,0.2035,0.14,9.0
0.8055,0.535,0.42,0.301,0.28,0.181,0.13,14.0
1.5165,0.695,0.515,0.578,0.39,0.4105,0.175,15.0
0.547,0.485,0.355,0.215,0.14,0.1615,0.12,10.0
1.4805,0.65,0.515,0.5295,0.525,0.272,0.175,20.0
1.5275,0.62,0.505,0.69,0.35,0.368,0.185,13.0
1.1375,0.615,0.525,0.367,0.37,0.236,0.155,20.0
1.116,0.57,0.44,0.4775,0.27,0.2315,0.155,13.0
1.0615,0.57,0.43,0.348,0.31,0.167,0.12,15.0
1.2565,0.585,0.405,0.435,0.325,0.202,0.15,15.0
1.613,0.64,0.51,0.6215,0.47,0.361,0.19,14.0
0.978,0.545,0.45,0.3365,0.3,0.1905,0.15,11.0
0.197,0.345,0.27,0.0665,0.07,0.05,0.095,9.0
0.2685,0.385,0.275,0.0975,0.085,0.0825,0.115,8.0
0.462,0.455,0.34,0.1675,0.12,0.158,0.135,9.0
0.7605,0.49,0.38,0.245,0.185,0.167,0.14,10.0
0.732,0.53,0.41,0.189,0.31,0.17,0.165,11.0
0.6775,0.505,0.385,0.236,0.2,0.179,0.145,15.0
0.6385,0.49,0.38,0.2305,0.195,0.142,0.14,13.0
0.5755,0.465,0.35,0.2015,0.19,0.1505,0.14,15.0
0.93,0.56,0.41,0.3505,0.3,0.237,0.165,13.0
0.6415,0.505,0.385,0.246,0.215,0.152,0.15,12.0
0.8815,0.515,0.435,0.292,0.255,0.206,0.145,10.0
1.042,0.55,0.415,0.3295,0.2905,0.2325,0.175,15.0
0.709,0.495,0.385,0.211,0.262,0.1375,0.135,12.0
0.51,0.47,0.37,0.1915,0.1625,0.1285,0.18,9.0
0.9215,0.575,0.45,0.3275,0.256,0.225,0.165,12.0
1.0345,0.58,0.465,0.315,0.3635,0.26,0.16,12.0
0.695,0.515,0.405,0.215,0.234,0.1635,0.145,15.0
0.7155,0.53,0.41,0.2805,0.214,0.1685,0.155,11.0
0.394,0.44,0.335,0.157,0.122,0.096,0.11,9.0
0.745,0.52,0.42,0.255,0.2885,0.157,0.16,11.0
0.495,0.46,0.34,0.1655,0.185,0.117,0.135,10.0
0.349,0.45,0.335,0.119,0.115,0.1055,0.125,10.0
0.4405,0.425,0.33,0.152,0.155,0.0935,0.13,9.0
0.6615,0.515,0.38,0.2875,0.155,0.2095,0.135,10.0
0.3185,0.405,0.305,0.1235,0.095,0.0905,0.12,7.0
0.875,0.505,0.405,0.2665,0.285,0.174,0.14,12.0
0.325,0.415,0.305,0.156,0.091,0.0505,0.1,6.0
0.5805,0.47,0.375,0.266,0.169,0.0935,0.12,8.0
0.609,0.49,0.385,0.3065,0.1775,0.096,0.125,8.0
0.5975,0.5,0.4,0.27,0.166,0.1275,0.125,9.0
0.8275,0.505,0.44,0.3415,0.239,0.1855,0.14,8.0
0.7635,0.525,0.395,0.3375,0.225,0.1425,0.13,8.0
0.891,0.54,0.405,0.4815,0.202,0.1915,0.125,9.0
1.0145,0.55,0.45,0.407,0.2875,0.2015,0.15,10.0
0.9685,0.555,0.435,0.4985,0.2385,0.168,0.145,9.0
1.0595,0.565,0.45,0.4735,0.265,0.24,0.155,10.0
0.952,0.57,0.455,0.3895,0.2745,0.2155,0.15,9.0
0.7535,0.57,0.435,0.349,0.194,0.1755,0.13,10.0
1.077,0.59,0.475,0.4545,0.3095,0.244,0.165,9.0
1.102,0.59,0.46,0.455,0.33,0.2055,0.13,12.0
1.3445,0.6,0.475,0.549,0.36,0.2875,0.175,11.0
1.29,0.6,0.495,0.606,0.3445,0.276,0.175,11.0
1.1035,0.605,0.455,0.421,0.325,0.3015,0.16,9.0
1.296,0.615,0.51,0.545,0.32,0.3315,0.15,9.0
1.34,0.615,0.505,0.5315,0.41,0.2815,0.165,12.0
1.307,0.62,0.5,0.6355,0.315,0.2545,0.165,9.0
1.26,0.63,0.505,0.4525,0.406,0.2755,0.165,14.0
1.3555,0.635,0.51,0.619,0.39,0.305,0.17,9.0
1.4715,0.65,0.525,0.675,0.399,0.315,0.175,11.0
1.4095,0.655,0.52,0.586,0.405,0.291,0.165,9.0
2.0805,0.655,0.58,0.959,0.601,0.3415,0.205,17.0
1.3905,0.66,0.53,0.5905,0.453,0.212,0.17,15.0
1.558,0.66,0.52,0.755,0.4,0.298,0.19,10.0
2.8255,0.73,0.595,1.1465,0.897,0.419,0.23,17.0
0.612,0.47,0.365,0.327,0.14,0.15,0.12,8.0
0.537,0.475,0.37,0.222,0.15,0.1215,0.125,9.0
0.6765,0.48,0.375,0.3205,0.17,0.1065,0.115,6.0
0.64,0.48,0.385,0.2925,0.1575,0.1405,0.145,6.0
0.439,0.48,0.36,0.194,0.115,0.099,0.1,8.0
0.6015,0.48,0.365,0.312,0.14,0.117,0.12,7.0
0.649,0.49,0.385,0.32,0.1695,0.124,0.125,8.0
0.6335,0.495,0.395,0.3035,0.1495,0.1295,0.135,8.0
0.61,0.495,0.4,0.272,0.144,0.1435,0.135,7.0
0.6595,0.5,0.39,0.3145,0.1565,0.1535,0.135,6.0
0.6425,0.5,0.385,0.3195,0.1535,0.129,0.135,7.0
0.6725,0.5,0.4,0.336,0.1825,0.12,0.125,7.0
0.642,0.505,0.41,0.289,0.155,0.133,0.125,9.0
0.769,0.51,0.39,0.3935,0.19,0.1455,0.135,8.0
0.7035,0.51,0.405,0.347,0.1885,0.134,0.15,8.0
0.796,0.51,0.41,0.3865,0.1955,0.1815,0.145,8.0
0.7125,0.515,0.39,0.3695,0.155,0.137,0.155,7.0
0.7325,0.525,0.4,0.334,0.17,0.1575,0.14,11.0
0.6515,0.53,0.405,0.2715,0.186,0.1605,0.125,7.0
0.7165,0.535,0.43,0.2855,0.2155,0.1595,0.14,8.0
0.874,0.535,0.435,0.3735,0.2195,0.229,0.14,8.0
1.195,0.57,0.45,0.5625,0.295,0.2565,0.155,10.0
1.1935,0.57,0.45,0.513,0.343,0.21,0.155,10.0
1.0635,0.57,0.445,0.5265,0.24,0.2195,0.14,8.0
0.9035,0.57,0.46,0.4075,0.214,0.1935,0.17,7.0
1.114,0.575,0.475,0.4955,0.29,0.2745,0.16,9.0
1.012,0.58,0.455,0.4985,0.2835,0.2115,0.15,10.0
1.1335,0.58,0.49,0.586,0.237,0.2565,0.13,9.0
1.136,0.59,0.465,0.5245,0.275,0.2615,0.155,11.0
1.206,0.59,0.47,0.479,0.309,0.2425,0.16,8.0
1.213,0.595,0.475,0.621,0.274,0.2435,0.165,9.0
1.044,0.595,0.455,0.518,0.27,0.2205,0.15,9.0
1.161,0.605,0.475,0.572,0.275,0.2455,0.155,9.0
1.2315,0.605,0.47,0.6025,0.2925,0.262,0.165,11.0
1.1625,0.61,0.47,0.565,0.3085,0.258,0.15,11.0
1.168,0.61,0.475,0.554,0.3295,0.239,0.155,10.0
1.3325,0.625,0.49,0.5705,0.405,0.271,0.175,10.0
1.278,0.63,0.485,0.637,0.31,0.275,0.155,8.0
1.1785,0.63,0.48,0.5185,0.3235,0.248,0.15,8.0
1.375,0.635,0.49,0.623,0.395,0.2705,0.175,11.0
1.4065,0.635,0.525,0.684,0.3745,0.3,0.185,10.0
1.4025,0.64,0.505,0.705,0.335,0.2655,0.155,10.0
1.636,0.645,0.52,0.779,0.432,0.342,0.175,11.0
1.561,0.645,0.52,0.709,0.4,0.3555,0.175,8.0
1.3385,0.645,0.5,0.633,0.349,0.299,0.175,11.0
1.304,0.65,0.495,0.57,0.3725,0.312,0.16,9.0
1.6785,0.65,0.52,0.6665,0.46,0.308,0.21,11.0
1.622,0.65,0.525,0.6645,0.477,0.3225,0.185,10.0
1.5905,0.66,0.535,0.6425,0.5175,0.297,0.19,9.0
1.6275,0.66,0.495,0.594,0.485,0.3595,0.195,10.0
1.6085,0.67,0.525,0.682,0.4005,0.3145,0.165,11.0
