length,diameter,height,viscera_weight,shell_weight,shucked_weight,whole_weight,rings
0.21,0.15,0.05,0.0085,0.01,0.0155,0.0385,3.0
0.2,0.14,0.055,0.008,0.01,0.0145,0.035,5.0
0.235,0.16,0.06,0.0095,0.015,0.0265,0.0545,4.0
0.175,0.125,0.04,0.006,0.005,0.0095,0.024,4.0
0.155,0.11,0.04,0.003,0.005,0.0065,0.0155,3.0
0.385,0.3,0.095,0.059,0.085,0.0885,0.24,9.0
0.29,0.23,0.075,0.0255,0.04,0.043,0.1165,7.0
0.275,0.205,0.07,0.02,0.0325,0.0335,0.094,5.0
0.42,0.325,0.115,0.057,0.1135,0.1,0.2885,15.0
0.445,0.35,0.115,0.0695,0.117,0.1565,0.3615,8.0
0.32,0.245,0.075,0.038,0.049,0.0585,0.1555,11.0
0.255,0.195,0.065,0.018,0.027,0.0315,0.08,8.0
0.205,0.155,0.045,0.0055,0.0155,0.017,0.0425,7.0
0.35,0.255,0.065,0.0385,0.06,0.0705,0.179,10.0
0.28,0.21,0.08,0.0265,0.0345,0.041,0.1085,7.0
0.45,0.335,0.14,0.076,0.15,0.164,0.4625,14.0
0.535,0.42,0.15,0.153,0.24,0.2575,0.6995,12.0
0.345,0.27,0.09,0.0455,0.059,0.078,0.195,9.0
0.37,0.285,0.1,0.0675,0.081,0.0675,0.228,10.0
0.35,0.265,0.09,0.042,0.068,0.0575,0.1775,12.0
0.195,0.145,0.05,0.008,0.012,0.01,0.032,4.0
0.325,0.24,0.075,0.0355,0.06,0.0475,0.155,9.0
0.415,0.345,0.135,0.07,0.148,0.128,0.3865,13.0
0.32,0.24,0.085,0.047,0.049,0.0655,0.17,7.0
0.31,0.225,0.075,0.0335,0.044,0.0455,0.1295,9.0
0.235,0.17,0.055,0.0105,0.0195,0.018,0.0515,7.0
0.345,0.255,0.08,0.0425,0.054,0.06,0.169,10.0
0.34,0.265,0.085,0.046,0.065,0.077,0.1835,10.0
0.46,0.365,0.125,0.0945,0.158,0.1895,0.467,10.0
0.36,0.295,0.1,0.0525,0.075,0.066,0.2105,9.0
0.355,0.265,0.09,0.041,0.063,0.05,0.168,8.0
0.38,0.235,0.1,0.054,0.08,0.1055,0.258,7.0
0.355,0.26,0.085,0.0485,0.055,0.081,0.1905,6.0
0.325,0.24,0.085,0.038,0.05,0.0795,0.173,7.0
0.33,0.255,0.095,0.045,0.06,0.0735,0.1875,7.0
0.45,0.34,0.13,0.0795,0.105,0.1605,0.3715,9.0
0.33,0.215,0.075,0.0265,0.035,0.045,0.1145,6.0
0.48,0.375,0.145,0.13,0.17,0.216,0.777,9.0
0.255,0.18,0.065,0.014,0.025,0.034,0.079,5.0
0.31,0.225,0.08,0.024,0.05,0.054,0.1345,7.0
0.295,0.215,0.075,0.0295,0.04,0.05,0.129,7.0
0.455,0.35,0.12,0.144,0.16,0.1815,0.4835,11.0
0.55,0.425,0.155,0.243,0.335,0.2775,0.9175,13.0
0.475,0.385,0.145,0.108,0.215,0.235,0.6175,14.0
0.49,0.39,0.15,0.124,0.17,0.225,0.573,21.0
0.54,0.415,0.145,0.168,0.245,0.2635,0.74,12.0
0.485,0.37,0.14,0.1415,0.175,0.204,0.5725,10.0
0.535,0.405,0.185,0.1725,0.29,0.3175,0.8345,16.0
0.51,0.4,0.14,0.1665,0.185,0.2455,0.6515,10.0
0.565,0.44,0.185,0.2325,0.255,0.344,0.909,15.0
0.525,0.4,0.17,0.2055,0.195,0.279,0.7305,11.0
0.59,0.44,0.15,0.2425,0.295,0.366,0.9555,11.0
0.5,0.375,0.15,0.145,0.19,0.2535,0.636,10.0
0.38,0.29,0.12,0.0655,0.085,0.1175,0.283,9.0
0.28,0.205,0.1,0.0285,0.03,0.0545,0.1165,5.0
0.385,0.285,0.105,0.0685,0.0875,0.1215,0.2905,12.0
0.395,0.295,0.115,0.0595,0.1105,0.1205,0.316,12.0
0.4,0.3,0.125,0.09,0.1175,0.191,0.417,9.0
0.415,0.325,0.14,0.1015,0.144,0.1535,0.417,10.0
0.315,0.25,0.09,0.037,0.0795,0.0615,0.203,11.0
0.36,0.295,0.13,0.057,0.1005,0.0895,0.2765,10.0
0.375,0.3,0.1,0.0475,0.083,0.104,0.2465,11.0
0.355,0.265,0.085,0.053,0.0695,0.069,0.201,8.0
0.35,0.255,0.08,0.0385,0.063,0.08,0.1915,9.0
0.555,0.455,0.16,0.228,0.293,0.3925,1.0575,13.0
0.555,0.44,0.15,0.212,0.4405,0.416,1.092,15.0
0.525,0.41,0.13,0.243,0.295,0.3865,0.99,15.0
0.465,0.36,0.08,0.125,0.155,0.191,0.488,11.0
0.4,0.305,0.085,0.0705,0.1,0.108,0.297,10.0
0.505,0.4,0.125,0.159,0.255,0.2735,0.77,13.0
0.525,0.4,0.13,0.1825,0.275,0.2405,0.8295,11.0
0.545,0.42,0.13,0.1695,0.23,0.374,0.879,13.0
0.52,0.4,0.12,0.1805,0.265,0.298,0.823,15.0
0.505,0.38,0.13,0.1785,0.22,0.227,0.656,13.0
0.525,0.425,0.12,0.176,0.29,0.2825,0.8665,18.0
0.51,0.39,0.125,0.1835,0.175,0.262,0.6565,10.0
0.52,0.385,0.115,0.172,0.205,0.2385,0.669,12.0
0.535,0.41,0.135,0.1525,0.32,0.2855,0.862,14.0
0.445,0.345,0.09,0.074,0.125,0.143,0.3795,10.0
0.53,0.44,0.205,0.2175,0.245,0.32,0.835,14.0
0.53,0.415,0.13,0.1945,0.265,0.275,0.8425,20.0
0.52,0.385,0.14,0.2035,0.16,0.2485,0.6595,9.0
0.535,0.42,0.13,0.181,0.28,0.301,0.8055,14.0
0.695,0.515,0.175,0.4105,0.39,0.578,1.5165,15.0
0.485,0.355,0.12,0.1615,0.14,0.215,0.547,10.0
0.65,0.515,0.175,0.272,0.525,0.5295,1.4805,20.0
0.62,0.505,0.185,0.368,0.35,0.69,1.5275,13.0
0.615,0.525,0.155,0.236,0.37,0.367,1.1375,20.0
0.57,0.44,0.155,0.2315,0.27,0.4775,1.116,13.0
0.57,0.43,0.12,0.167,0.31,0.348,1.0615,15.0
0.585,0.405,0.15,0.202,0.325,0.435,1.2565,15.0
0.64,0.51,0.19,0.361,0.47,0.6215,1.613,14.0
0.545,0.45,0.15,0.1905,0.3,0.3365,0.978,11.0
0.345,0.27,0.095,0.05,0.07,0.0665,0.197,9.0
0.385,0.275,0.115,0.0825,0.085,0.0975,0.2685,8.0
0.455,0.34,0.135,0.158,0.12,0.1675,0.462,9.0
0.49,0.38,0.14,0.167,0.185,0.245,0.7605,10.0
0.53,0.41,0.165,0.17,0.31,0.189,0.732,11.0
0.505,0.385,0.145,0.179,0.2,0.236,0.6775,15.0
0.49,0.38,0.14,0.142,0.195,0.2305,0.6385,13.0
0.465,0.35,0.14,0.1505,0.19,0.2015,0.5755,15.0
0.56,0.41,0.165,0.237,0.3,0.3505,0.93,13.0
0.505,0.385,0.15,0.152,0.215,0.246,0.6415,12.0
0.515,0.435,0.145,0.206,0.255,0.292,0.8815,10.0
0.55,0.415,0.175,0.2325,0.2905,0.3295,1.042,15.0
0.495,0.385,0.135,0.1375,0.262,0.211,0.709,12.0
0.47,0.37,0.18,0.1285,0.1625,0.1915,0.51,9.0
0.575,0.45,0.165,0.225,0.256,0.3275,0.9215,12.0
0.58,0.465,0.16,0.26,0.3635,0.315,1.0345,12.0
0.515,0.405,0.145,0.1635,0.234,0.215,0.695,15.0
0.53,0.41,0.155,0.1685,0.214,0.2805,0.7155,11.0
0.44,0.335,0.11,0.096,0.122,0.157,0.394,9.0
0.52,0.42,0.16,0.157,0.2885,0.255,0.745,11.0
0.46,0.34,0.135,0.117,0.185,0.1655,0.495,10.0
0.45,0.335,0.125,0.1055,0.115,0.119,0.349,10.0
0.425,0.33,0.13,0.0935,0.155,0.152,0.4405,9.0
0.515,0.38,0.135,0.2095,0.155,0.2875,0.6615,10.0
0.405,0.305,0.12,0.0905,0.095,0.1235,0.3185,7.0
0.505,0.405,0.14,0.174,0.285,0.2665,0.875,12.0
0.415,0.305,0.1,0.0505,0.091,0.156,0.325,6.0
0.47,0.375,0.12,0.0935,0.169,0.266,0.5805,8.0
0.49,0.385,0.125,0.096,0.1775,0.3065,0.609,8.0
0.5,0.4,0.125,0.1275,0.166,0.27,0.5975,9.0
0.505,0.44,0.14,0.1855,0.239,0.3415,0.8275,8.0
0.525,0.395,0.13,0.1425,0.225,0.3375,0.7635,8.0
0.54,0.405,0.125,0.1915,0.202,0.4815,0.891,9.0
0.55,0.45,0.15,0.2015,0.2875,0.407,1.0145,10.0
0.555,0.435,0.145,0.168,0.2385,0.4985,0.9685,9.0
0.565,0.45,0.155,0.24,0.265,0.4735,1.0595,10.0
0.57,0.455,0.15,0.2155,0.2745,0.3895,0.952,9.0
0.57,0.435,0.13,0.1755,0.194,0.349,0.7535,10.0
0.59,0.475,0.165,0.244,0.3095,0.4545,1.077,9.0
0.59,0.46,0.13,0.2055,0.33,0.455,1.102,12.0
0.6,0.475,0.175,0.2875,0.36,0.549,1.3445,11.0
0.6,0.495,0.175,0.276,0.3445,0.606,1.29,11.0
0.605,0.455,0.16,0.3015,0.325,0.421,1.1035,9.0
0.615,0.51,0.15,0.3315,0.32,0.545,1.296,9.0
0.615,0.505,0.165,0.2815,0.41,0.5315,1.34,12.0
0.62,0.5,0.165,0.2545,0.315,0.6355,1.307,9.0
0.63,0.505,0.165,0.2755,0.406,0.4525,1.26,14.0
0.635,0.51,0.17,0.305,0.39,0.619,1.3555,9.0
0.65,0.525,0.175,0.315,0.399,0.675,1.4715,11.0
0.655,0.52,0.165,0.291,0.405,0.586,1.4095,9.0
0.655,0.58,0.205,0.3415,0.601,0.959,2.0805,17.0
0.66,0.53,0.17,0.212,0.453,0.5905,1.3905,15.0
0.66,0.52,0.19,0.298,0.4,0.755,1.558,10.0
0.73,0.595,0.23,0.419,0.897,1.1465,2.8255,17.0
0.47,0.365,0.12,0.15,0.14,0.327,0.612,8.0
0.475,0.37,0.125,0.1215,0.15,0.222,0.537,9.0
0.48,0.375,0.115,0.1065,0.17,0.3205,0.6765,6.0
0.48,0.385,0.145,0.1405,0.1575,0.2925,0.64,6.0
0.48,0.36,0.1,0.099,0.115,0.194,0.439,8.0
0.48,0.365,0.12,0.117,0.14,0.312,0.6015,7.0
0.49,0.385,0.125,0.124,0.1695,0.32,0.649,8.0
0.495,0.395,0.135,0.1295,0.1495,0.3035,0.6335,8.0
0.495,0.4,0.135,0.1435,0.144,0.272,0.61,7.0
0.5,0.39,0.135,0.1535,0.1565,0.3145,0.6595,6.0
0.5,0.385,0.135,0.129,0.1535,0.3195,0.6425,7.0
0.5,0.4,0.125,0.12,0.1825,0.336,0.6725,7.0
0.505,0.41,0.125,0.133,0.155,0.289,0.642,9.0
0.51,0.39,0.135,0.1455,0.19,0.3935,0.769,8.0
0.51,0.405,0.15,0.134,0.1885,0.347,0.7035,8.0
0.51,0.41,0.145,0.1815,0.1955,0.3865,0.796,8.0
0.515,0.39,0.155,0.137,0.155,0.3695,0.7125,7.0
0.525,0.4,0.14,0.1575,0.17,0.334,0.7325,11.0
0.53,0.405,0.125,0.1605,0.186,0.2715,0.6515,7.0
0.535,0.43,0.14,0.1595,0.2155,0.2855,0.7165,8.0
0.535,0.435,0.14,0.229,0.2195,0.3735,0.874,8.0
0.57,0.45,0.155,0.2565,0.295,0.5625,1.195,10.0
0.57,0.45,0.155,0.21,0.343,0.513,1.1935,10.0
0.57,0.445,0.14,0.2195,0.24,0.5265,1.0635,8.0
0.57,0.46,0.17,0.1935,0.214,0.4075,0.9035,7.0
0.575,0.475,0.16,0.2745,0.29,0.4955,1.114,9.0
0.58,0.455,0.15,0.2115,0.2835,0.4985,1.012,10.0
0.58,0.49,0.13,0.2565,0.237,0.586,1.1335,9.0
0.59,0.465,0.155,0.2615,0.275,0.5245,1.136,11.0
0.59,0.47,0.16,0.2425,0.309,0.479,1.206,8.0
0.595,0.475,0.165,0.2435,0.274,0.621,1.213,9.0
0.595,0.455,0.15,0.2205,0.27,0.518,1.044,9.0
0.605,0.475,0.155,0.2455,0.275,0.572,1.161,9.0
0.605,0.47,0.165,0.262,0.2925,0.6025,1.2315,11.0
0.61,0.47,0.15,0.258,0.3085,0.565,1.1625,11.0
0.61,0.475,0.155,0.239,0.3295,0.554,1.168,10.0
0.625,0.49,0.175,0.271,0.405,0.5705,1.3325,10.0
0.63,0.485,0.155,0.275,0.31,0.637,1.278,8.0
0.63,0.48,0.15,0.248,0.3235,0.5185,1.1785,8.0
0.635,0.49,0.175,0.2705,0.395,0.623,1.375,11.0
0.635,0.525,0.185,0.3,0.3745,0.684,1.4065,10.0
0.64,0.505,0.155,0.2655,0.335,0.705,1.4025,10.0
0.645,0.52,0.175,0.342,0.432,0.779,1.636,11.0
0.645,0.52,0.175,0.3555,0.4,0.709,1.561,8.0
0.645,0.5,0.175,0.299,0.349,0.633,1.3385,11.0
0.65,0.495,0.16,0.312,0.3725,0.57,1.304,9.0
0.65,0.52,0.21,0.308,0.46,0.6665,1.6785,11.0
0.65,0.525,0.185,0.3225,0.477,0.6645,1.622,10.0
0.66,0.535,0.19,0.297,0.5175,0.6425,1.5905,9.0
0.66,0.495,0.195,0.3595,0.485,0.594,1.6275,10.0
0.67,0.525,0.165,0.3145,0.4005,0.682,1.6085,11.0
