whole_weight,shucked_weight,viscera_weight,diameter,length,shell_weight,height,rings
0.9065,0.342,0.156,0.455,0.565,0.32,0.17,18.0
0.7505,0.2475,0.13,0.42,0.545,0.255,0.14,22.0
0.662,0.2815,0.137,0.41,0.5,0.22,0.15,11.0
0.3055,0.143,0.0645,0.3,0.39,0.085,0.09,9.0
0.6885,0.249,0.138,0.415,0.5,0.25,0.165,13.0
0.9815,0.329,0.136,0.435,0.565,0.39,0.185,13.0
0.9265,0.354,0.1575,0.455,0.565,0.375,0.185,16.0
1.098,0.4765,0.232,0.5,0.605,0.375,0.175,12.0
1.891,0.6975,0.4725,0.565,0.725,0.58,0.215,16.0
0.8375,0.3485,0.1735,0.47,0.575,0.24,0.14,11.0
0.2665,0.115,0.061,0.285,0.38,0.075,0.1,11.0
1.388,0.567,0.2735,0.53,0.655,0.41,0.195,13.0
1.4385,0.545,0.2665,0.555,0.675,0.465,0.2,21.0
0.7395,0.261,0.1395,0.415,0.53,0.2645,0.175,17.0
1.347,0.4955,0.254,0.54,0.665,0.415,0.175,17.0
1.756,0.637,0.3405,0.59,0.735,0.58,0.225,21.0
1.32,0.5305,0.2635,0.545,0.66,0.455,0.185,16.0
0.9325,0.3605,0.2445,0.4,0.575,0.3,0.155,17.0
0.849,0.3785,0.1765,0.465,0.57,0.24,0.125,15.0
1.0115,0.4235,0.237,0.48,0.63,0.305,0.145,12.0
0.92,0.378,0.2385,0.45,0.55,0.29,0.13,11.0
0.8075,0.3485,0.1795,0.42,0.54,0.235,0.135,11.0
1.073,0.475,0.19,0.455,0.59,0.285,0.145,14.0
0.921,0.357,0.181,0.46,0.58,0.29,0.13,13.0
1.2635,0.486,0.2635,0.53,0.655,0.415,0.175,15.0
1.369,0.5875,0.2185,0.5,0.625,0.37,0.195,17.0
0.874,0.3275,0.202,0.45,0.555,0.305,0.175,10.0
1.105,0.4865,0.247,0.47,0.6,0.315,0.175,15.0
0.8395,0.3325,0.157,0.46,0.56,0.305,0.235,12.0
1.055,0.3815,0.221,0.455,0.585,0.365,0.225,15.0
0.889,0.36,0.204,0.435,0.56,0.25,0.18,11.0
0.146,0.061,0.0365,0.22,0.31,0.045,0.085,6.0
0.1,0.0385,0.0195,0.195,0.27,0.03,0.08,6.0
0.2795,0.1115,0.0575,0.29,0.4,0.075,0.115,9.0
0.0915,0.033,0.0215,0.2,0.28,0.03,0.08,5.0
0.147,0.06,0.034,0.23,0.325,0.045,0.09,4.0
0.0385,0.0155,0.0085,0.15,0.21,0.01,0.05,3.0
0.035,0.0145,0.008,0.14,0.2,0.01,0.055,5.0
0.0545,0.0265,0.0095,0.16,0.235,0.015,0.06,4.0
0.024,0.0095,0.006,0.125,0.175,0.005,0.04,4.0
0.0155,0.0065,0.003,0.11,0.155,0.005,0.04,3.0
0.24,0.0885,0.059,0.3,0.385,0.085,0.095,9.0
0.1165,0.043,0.0255,0.23,0.29,0.04,0.075,7.0
0.094,0.0335,0.02,0.205,0.275,0.0325,0.07,5.0
0.2885,0.1,0.057,0.325,0.42,0.1135,0.115,15.0
0.3615,0.1565,0.0695,0.35,0.445,0.117,0.115,8.0
0.1555,0.0585,0.038,0.245,0.32,0.049,0.075,11.0
0.08,0.0315,0.018,0.195,0.255,0.027,0.065,8.0
0.0425,0.017,0.0055,0.155,0.205,0.0155,0.045,7.0
0.179,0.0705,0.0385,0.255,0.35,0.06,0.065,10.0
0.1085,0.041,0.0265,0.21,0.28,0.0345,0.08,7.0
0.4625,0.164,0.076,0.335,0.45,0.15,0.14,14.0
0.6995,0.2575,0.153,0.42,0.535,0.24,0.15,12.0
0.195,0.078,0.0455,0.27,0.345,0.059,0.09,9.0
0.228,0.0675,0.0675,0.285,0.37,0.081,0.1,10.0
0.1775,0.0575,0.042,0.265,0.35,0.068,0.09,12.0
0.032,0.01,0.008,0.145,0.195,0.012,0.05,4.0
0.155,0.0475,0.0355,0.24,0.325,0.06,0.075,9.0
0.3865,0.128,0.07,0.345,0.415,0.148,0.135,13.0
0.17,0.0655,0.047,0.24,0.32,0.049,0.085,7.0
0.1295,0.0455,0.0335,0.225,0.31,0.044,0.075,9.0
0.0515,0.018,0.0105,0.17,0.235,0.0195,0.055,7.0
0.169,0.06,0.0425,0.255,0.345,0.054,0.08,10.0
0.1835,0.077,0.046,0.265,0.34,0.065,0.085,10.0
0.467,0.1895,0.0945,0.365,0.46,0.158,0.125,10.0
0.2105,0.066,0.0525,0.295,0.36,0.075,0.1,9.0
0.168,0.05,0.041,0.265,0.355,0.063,0.09,8.0
0.258,0.1055,0.054,0.235,0.38,0.08,0.1,7.0
0.1905,0.081,0.0485,0.26,0.355,0.055,0.085,6.0
0.173,0.0795,0.038,0.24,0.325,0.05,0.085,7.0
0.1875,0.0735,0.045,0.255,0.33,0.06,0.095,7.0
0.3715,0.1605,0.0795,0.34,0.45,0.105,0.13,9.0
0.1145,0.045,0.0265,0.215,0.33,0.035,0.075,6.0
0.777,0.216,0.13,0.375,0.48,0.17,0.145,9.0
0.079,0.034,0.014,0.18,0.255,0.025,0.065,5.0
0.1345,0.054,0.024,0.225,0.31,0.05,0.08,7.0
0.129,0.05,0.0295,0.215,0.295,0.04,0.075,7.0
0.4835,0.1815,0.144,0.35,0.455,0.16,0.12,11.0
0.9175,0.2775,0.243,0.425,0.55,0.335,0.155,13.0
0.6175,0.235,0.108,0.385,0.475,0.215,0.145,14.0
0.573,0.225,0.124,0.39,0.49,0.17,0.15,21.0
0.74,0.2635,0.168,0.415,0.54,0.245,0.145,12.0
0.5725,0.204,0.1415,0.37,0.485,0.175,0.14,10.0
0.8345,0.3175,0.1725,0.405,0.535,0.29,0.185,16.0
0.6515,0.2455,0.1665,0.4,0.51,0.185,0.14,10.0
0.909,0.344,0.2325,0.44,0.565,0.255,0.185,15.0
0.7305,0.279,0.2055,0.4,0.525,0.195,0.17,11.0
0.9555,0.366,0.2425,0.44,0.59,0.295,0.15,11.0
0.636,0.2535,0.145,0.375,0.5,0.19,0.15,10.0
0.283,0.1175,0.0655,0.29,0.38,0.085,0.12,9.0
0.1165,0.0545,0.0285,0.205,0.28,0.03,0.1,5.0
0.2905,0.1215,0.0685,0.285,0.385,0.0875,0.105,12.0
0.316,0.1205,0.0595,0.295,0.395,0.1105,0.115,12.0
0.417,0.191,0.09,0.3,0.4,0.1175,0.125,9.0
0.417,0.1535,0.1015,0.325,0.415,0.144,0.14,10.0
0.203,0.0615,0.037,0.25,0.315,0.0795,0.09,11.0
0.2765,0.0895,0.057,0.295,0.36,0.1005,0.13,10.0
0.2465,0.104,0.0475,0.3,0.375,0.083,0.1,11.0
0.201,0.069,0.053,0.265,0.355,0.0695,0.085,8.0
0.1915,0.08,0.0385,0.255,0.35,0.063,0.08,9.0
1.0575,0.3925,0.228,0.455,0.555,0.293,0.16,13.0
1.092,0.416,0.212,0.44,0.555,0.4405,0.15,15.0
0.99,0.3865,0.243,0.41,0.525,0.295,0.13,15.0
0.488,0.191,0.125,0.36,0.465,0.155,0.08,11.0
0.297,0.108,0.0705,0.305,0.4,0.1,0.085,10.0
0.77,0.2735,0.159,0.4,0.505,0.255,0.125,13.0
0.8295,0.2405,0.1825,0.4,0.525,0.275,0.13,11.0
0.879,0.374,0.1695,0.42,0.545,0.23,0.13,13.0
0.823,0.298,0.1805,0.4,0.52,0.265,0.12,15.0
0.656,0.227,0.1785,0.38,0.505,0.22,0.13,13.0
0.8665,0.2825,0.176,0.425,0.525,0.29,0.12,18.0
0.6565,0.262,0.1835,0.39,0.51,0.175,0.125,10.0
0.669,0.2385,0.172,0.385,0.52,0.205,0.115,12.0
0.862,0.2855,0.1525,0.41,0.535,0.32,0.135,14.0
0.3795,0.143,0.074,0.345,0.445,0.125,0.09,10.0
0.835,0.32,0.2175,0.44,0.53,0.245,0.205,14.0
0.8425,0.275,0.1945,0.415,0.53,0.265,0.13,20.0
0.6595,0.2485,0.2035,0.385,0.52,0.16,0.14,9.0
0.8055,0.301,0.181,0.42,0.535,0.28,0.13,14.0
1.5165,0.578,0.4105,0.515,0.695,0.39,0.175,15.0
0.547,0.215,0.1615,0.355,0.485,0.14,0.12,10.0
1.4805,0.5295,0.272,0.515,0.65,0.525,0.175,20.0
1.5275,0.69,0.368,0.505,0.62,0.35,0.185,13.0
1.1375,0.367,0.236,0.525,0.615,0.37,0.155,20.0
1.116,0.4775,0.2315,0.44,0.57,0.27,0.155,13.0
1.0615,0.348,0.167,0.43,0.57,0.31,0.12,15.0
1.2565,0.435,0.202,0.405,0.585,0.325,0.15,15.0
1.613,0.6215,0.361,0.51,0.64,0.47,0.19,14.0
0.978,0.3365,0.1905,0.45,0.545,0.3,0.15,11.0
0.197,0.0665,0.05,0.27,0.345,0.07,0.095,9.0
0.2685,0.0975,0.0825,0.275,0.385,0.085,0.115,8.0
0.462,0.1675,0.158,0.34,0.455,0.12,0.135,9.0
0.7605,0.245,0.167,0.38,0.49,0.185,0.14,10.0
0.732,0.189,0.17,0.41,0.53,0.31,0.165,11.0
0.6775,0.236,0.179,0.385,0.505,0.2,0.145,15.0
0.6385,0.2305,0.142,0.38,0.49,0.195,0.14,13.0
0.5755,0.2015,0.1505,0.35,0.465,0.19,0.14,15.0
0.93,0.3505,0.237,0.41,0.56,0.3,0.165,13.0
0.6415,0.246,0.152,0.385,0.505,0.215,0.15,12.0
0.8815,0.292,0.206,0.435,0.515,0.255,0.145,10.0
1.042,0.3295,0.2325,0.415,0.55,0.2905,0.175,15.0
0.709,0.211,0.1375,0.385,0.495,0.262,0.135,12.0
0.51,0.1915,0.1285,0.37,0.47,0.1625,0.18,9.0
0.9215,0.3275,0.225,0.45,0.575,0.256,0.165,12.0
1.0345,0.315,0.26,0.465,0.58,0.3635,0.16,12.0
0.695,0.215,0.1635,0.405,0.515,0.234,0.145,15.0
0.7155,0.2805,0.1685,0.41,0.53,0.214,0.155,11.0
0.394,0.157,0.096,0.335,0.44,0.122,0.11,9.0
0.745,0.255,0.157,0.42,0.52,0.2885,0.16,11.0
0.495,0.1655,0.117,0.34,0.46,0.185,0.135,10.0
0.349,0.119,0.1055,0.335,0.45,0.115,0.125,10.0
0.4405,0.152,0.0935,0.33,0.425,0.155,0.13,9.0
0.6615,0.2875,0.2095,0.38,0.515,0.155,0.135,10.0
0.3185,0.1235,0.0905,0.305,0.405,0.095,0.12,7.0
0.875,0.2665,0.174,0.405,0.505,0.285,0.14,12.0
0.325,0.156,0.0505,0.305,0.415,0.091,0.1,6.0
0.5805,0.266,0.0935,0.375,0.47,0.169,0.12,8.0
0.609,0.3065,0.096,0.385,0.49,0.1775,0.125,8.0
0.5975,0.27,0.1275,0.4,0.5,0.166,0.125,9.0
0.8275,0.3415,0.1855,0.44,0.505,0.239,0.14,8.0
0.7635,0.3375,0.1425,0.395,0.525,0.225,0.13,8.0
0.891,0.4815,0.1915,0.405,0.54,0.202,0.125,9.0
1.0145,0.407,0.2015,0.45,0.55,0.2875,0.15,10.0
0.9685,0.4985,0.168,0.435,0.555,0.2385,0.145,9.0
1.0595,0.4735,0.24,0.45,0.565,0.265,0.155,10.0
0.952,0.3895,0.2155,0.455,0.57,0.2745,0.15,9.0
0.7535,0.349,0.1755,0.435,0.57,0.194,0.13,10.0
1.077,0.4545,0.244,0.475,0.59,0.3095,0.165,9.0
1.102,0.455,0.2055,0.46,0.59,0.33,0.13,12.0
1.3445,0.549,0.2875,0.475,0.6,0.36,0.175,11.0
1.29,0.606,0.276,0.495,0.6,0.3445,0.175,11.0
1.1035,0.421,0.3015,0.455,0.605,0.325,0.16,9.0
1.296,0.545,0.3315,0.51,0.615,0.32,0.15,9.0
1.34,0.5315,0.2815,0.505,0.615,0.41,0.165,12.0
1.307,0.6355,0.2545,0.5,0.62,0.315,0.165,9.0
1.26,0.4525,0.2755,0.505,0.63,0.406,0.165,14.0
1.3555,0.619,0.305,0.51,0.635,0.39,0.17,9.0
1.4715,0.675,0.315,0.525,0.65,0.399,0.175,11.0
1.4095,0.586,0.291,0.52,0.655,0.405,0.165,9.0
2.0805,0.959,0.3415,0.58,0.655,0.601,0.205,17.0
1.3905,0.5905,0.212,0.53,0.66,0.453,0.17,15.0
1.558,0.755,0.298,0.52,0.66,0.4,0.19,10.0
2.8255,1.1465,0.419,0.595,0.73,0.897,0.23,17.0
0.612,0.327,0.15,0.365,0.47,0.14,0.12,8.0
0.537,0.222,0.1215,0.37,0.475,0.15,0.125,9.0
0.6765,0.3205,0.1065,0.375,0.48,0.17,0.115,6.0
0.64,0.2925,0.1405,0.385,0.48,0.1575,0.145,6.0
0.439,0.194,0.099,0.36,0.48,0.115,0.1,8.0
0.6015,0.312,0.117,0.365,0.48,0.14,0.12,7.0
0.649,0.32,0.124,0.385,0.49,0.1695,0.125,8.0
0.6335,0.3035,0.1295,0.395,0.495,0.1495,0.135,8.0
0.61,0.272,0.1435,0.4,0.495,0.144,0.135,7.0
0.6595,0.3145,0.1535,0.39,0.5,0.1565,0.135,6.0
0.6425,0.3195,0.129,0.385,0.5,0.1535,0.135,7.0
0.6725,0.336,0.12,0.4,0.5,0.1825,0.125,7.0
0.642,0.289,0.133,0.41,0.505,0.155,0.125,9.0
0.769,0.3935,0.1455,0.39,0.51,0.19,0.135,8.0
0.7035,0.347,0.134,0.405,0.51,0.1885,0.15,8.0
0.796,0.3865,0.1815,0.41,0.51,0.1955,0.145,8.0
0.7125,0.3695,0.137,0.39,0.515,0.155,0.155,7.0
0.7325,0.334,0.1575,0.4,0.525,0.17,0.14,11.0
0.6515,0.2715,0.1605,0.405,0.53,0.186,0.125,7.0
0.7165,0.2855,0.1595,0.43,0.535,0.2155,0.14,8.0
0.874,0.3735,0.229,0.435,0.535,0.2195,0.14,8.0
1.195,0.5625,0.2565,0.45,0.57,0.295,0.155,10.0
1.1935,0.513,0.21,0.45,0.57,0.343,0.155,10.0
1.0635,0.5265,0.2195,0.445,0.57,0.24,0.14,8.0
0.9035,0.4075,0.1935,0.46,0.57,0.214,0.17,7.0
1.114,0.4955,0.2745,0.475,0.575,0.29,0.16,9.0
1.012,0.4985,0.2115,0.455,0.58,0.2835,0.15,10.0
1.1335,0.586,0.2565,0.49,0.58,0.237,0.13,9.0
1.136,0.5245,0.2615,0.465,0.59,0.275,0.155,11.0
1.206,0.479,0.2425,0.47,0.59,0.309,0.16,8.0
1.213,0.621,0.2435,0.475,0.595,0.274,0.165,9.0
1.044,0.518,0.2205,0.455,0.595,0.27,0.15,9.0
1.161,0.572,0.2455,0.475,0.605,0.275,0.155,9.0
1.2315,0.6025,0.262,0.47,0.605,0.2925,0.165,11.0
1.1625,0.565,0.258,0.47,0.61,0.3085,0.15,11.0
1.168,0.554,0.239,0.475,0.61,0.3295,0.155,10.0
1.3325,0.5705,0.271,0.49,0.625,0.405,0.175,10.0
1.278,0.637,0.275,0.485,0.63,0.31,0.155,8.0
1.1785,0.5185,0.248,0.48,0.63,0.3235,0.15,8.0
1.375,0.623,0.2705,0.49,0.635,0.395,0.175,11.0
1.4065,0.684,0.3,0.525,0.635,0.3745,0.185,10.0
1.4025,0.705,0.2655,0.505,0.64,0.335,0.155,10.0
1.636,0.779,0.342,0.52,0.645,0.432,0.175,11.0
1.561,0.709,0.3555,0.52,0.645,0.4,0.175,8.0
1.3385,0.633,0.299,0.5,0.645,0.349,0.175,11.0
1.304,0.57,0.312,0.495,0.65,0.3725,0.16,9.0
1.6785,0.6665,0.308,0.52,0.65,0.46,0.21,11.0
1.622,0.6645,0.3225,0.525,0.65,0.477,0.185,10.0
1.5905,0.6425,0.297,0.535,0.66,0.5175,0.19,9.0
1.6275,0.594,0.3595,0.495,0.66,0.485,0.195,10.0
1.6085,0.682,0.3145,0.525,0.67,0.4005,0.165,11.0
