length,diameter,whole_weight,shucked_weight,viscera_weight,height,shell_weight,rings
0.705,0.56,1.981,0.8175,0.3085,0.22,0.76,14.0
0.695,0.55,1.9565,0.7125,0.541,0.215,0.59,14.0
0.525,0.435,1.065,0.486,0.233,0.155,0.285,8.0
0.58,0.475,0.97,0.385,0.2165,0.15,0.35,11.0
0.57,0.48,0.9395,0.399,0.2,0.18,0.295,14.0
0.64,0.51,1.368,0.515,0.266,0.175,0.57,21.0
0.62,0.49,1.218,0.5455,0.2965,0.19,0.355,13.0
0.615,0.48,1.1595,0.4845,0.2165,0.18,0.325,13.0
0.61,0.485,1.0225,0.419,0.2405,0.17,0.36,12.0
0.58,0.45,0.927,0.276,0.1815,0.15,0.36,14.0
0.5,0.405,0.772,0.346,0.1535,0.155,0.245,12.0
0.64,0.5,1.3035,0.4445,0.2635,0.185,0.465,16.0
0.56,0.45,0.922,0.432,0.178,0.16,0.26,15.0
0.585,0.46,0.922,0.3635,0.213,0.185,0.285,10.0
0.5,0.4,0.825,0.254,0.205,0.165,0.285,13.0
0.42,0.335,0.369,0.171,0.071,0.115,0.12,8.0
0.335,0.25,0.181,0.0755,0.0415,0.09,0.06,7.0
0.5,0.405,0.6155,0.241,0.1355,0.14,0.205,9.0
0.55,0.405,0.8025,0.244,0.1635,0.14,0.255,10.0
0.45,0.35,0.46,0.174,0.111,0.13,0.135,8.0
0.47,0.36,0.501,0.1665,0.115,0.135,0.165,10.0
0.555,0.445,0.836,0.336,0.1625,0.135,0.275,13.0
0.565,0.44,0.9025,0.31,0.193,0.175,0.325,14.0
0.625,0.505,1.4455,0.496,0.287,0.215,0.435,22.0
0.565,0.425,0.9425,0.3495,0.2185,0.16,0.275,17.0
0.59,0.47,1.1235,0.4205,0.2805,0.18,0.36,13.0
0.6,0.495,1.2415,0.485,0.2775,0.165,0.34,15.0
0.56,0.45,1.011,0.3835,0.2065,0.175,0.37,15.0
0.56,0.45,1.07,0.3805,0.175,0.185,0.41,19.0
0.545,0.46,0.8975,0.341,0.1655,0.16,0.345,10.0
0.53,0.42,0.8945,0.319,0.239,0.165,0.245,11.0
0.27,0.2,0.1205,0.0465,0.028,0.08,0.04,6.0
0.52,0.45,0.895,0.3615,0.186,0.15,0.235,14.0
0.35,0.275,0.2925,0.1225,0.0635,0.11,0.0905,8.0
0.47,0.39,0.6355,0.2185,0.0885,0.15,0.255,9.0
0.59,0.5,1.187,0.412,0.2705,0.2,0.37,16.0
0.62,0.485,1.219,0.3875,0.2505,0.205,0.385,14.0
0.63,0.505,1.525,0.56,0.3335,0.225,0.45,15.0
0.63,0.515,1.259,0.4105,0.197,0.155,0.41,13.0
0.655,0.54,1.844,0.7425,0.327,0.215,0.585,22.0
0.61,0.5,1.642,0.532,0.3345,0.24,0.69,18.0
0.635,0.525,1.484,0.55,0.3115,0.205,0.43,20.0
0.485,0.395,0.6295,0.2285,0.127,0.14,0.225,14.0
0.515,0.38,0.9565,0.325,0.158,0.175,0.31,14.0
0.53,0.435,0.699,0.288,0.1595,0.155,0.205,10.0
0.44,0.355,0.4775,0.132,0.0815,0.125,0.19,9.0
0.54,0.435,0.996,0.3835,0.226,0.18,0.325,17.0
0.61,0.475,1.116,0.428,0.2205,0.165,0.315,15.0
0.6,0.495,1.0575,0.384,0.19,0.195,0.375,26.0
0.49,0.395,0.549,0.2215,0.1275,0.14,0.15,11.0
0.37,0.28,0.234,0.0905,0.0585,0.105,0.075,9.0
0.37,0.28,0.252,0.1065,0.0595,0.1,0.074,8.0
0.36,0.27,0.217,0.0885,0.0495,0.1,0.0715,6.0
0.645,0.515,1.5415,0.471,0.369,0.24,0.535,13.0
0.55,0.41,0.7605,0.2505,0.1635,0.125,0.195,14.0
0.57,0.435,0.9055,0.3925,0.2355,0.145,0.275,10.0
0.56,0.44,0.971,0.443,0.2045,0.14,0.265,14.0
0.595,0.455,1.3305,0.4595,0.3235,0.195,0.345,19.0
0.63,0.485,1.3,0.4335,0.2945,0.175,0.46,23.0
0.45,0.35,0.3675,0.1465,0.1015,0.1,0.12,10.0
0.385,0.31,0.2845,0.1065,0.075,0.1,0.1,11.0
0.335,0.265,0.222,0.0935,0.056,0.105,0.075,7.0
0.51,0.4,0.6435,0.27,0.1665,0.13,0.205,12.0
0.36,0.295,0.241,0.0865,0.053,0.105,0.095,8.0
0.5,0.38,0.5955,0.2135,0.161,0.155,0.2,12.0
0.62,0.465,1.3415,0.5705,0.3175,0.19,0.355,11.0
0.6,0.475,1.0875,0.403,0.2655,0.19,0.325,14.0
0.59,0.45,1.283,0.473,0.276,0.185,0.425,16.0
0.62,0.475,1.325,0.6045,0.325,0.185,0.33,13.0
0.575,0.455,1.165,0.581,0.2275,0.145,0.3,14.0
0.62,0.465,1.274,0.579,0.3065,0.185,0.32,12.0
0.49,0.39,0.707,0.2795,0.2185,0.14,0.18,13.0
0.61,0.48,1.2,0.56,0.2455,0.15,0.28,14.0
0.57,0.46,0.9535,0.4465,0.2065,0.14,0.245,12.0
0.58,0.455,0.93,0.408,0.259,0.17,0.22,9.0
0.635,0.515,1.275,0.509,0.286,0.17,0.34,16.0
0.7,0.58,2.13,0.7415,0.49,0.205,0.58,20.0
0.675,0.525,1.587,0.6935,0.336,0.185,0.395,13.0
0.745,0.585,2.499,0.9265,0.472,0.215,0.7,17.0
0.605,0.49,1.227,0.48,0.287,0.18,0.35,18.0
0.63,0.515,1.016,0.4215,0.244,0.16,0.355,19.0
0.58,0.465,0.887,0.4405,0.1655,0.145,0.265,11.0
0.63,0.49,1.13,0.458,0.2765,0.18,0.315,12.0
0.685,0.52,1.343,0.4635,0.292,0.15,0.4,13.0
0.63,0.49,1.1775,0.4935,0.3365,0.19,0.285,11.0
0.565,0.465,0.995,0.3895,0.183,0.175,0.37,15.0
0.605,0.47,1.1405,0.3755,0.2805,0.18,0.385,15.0
0.535,0.42,0.791,0.33,0.189,0.145,0.25,10.0
0.485,0.4,0.663,0.313,0.137,0.135,0.2,10.0
0.47,0.375,0.5565,0.226,0.122,0.12,0.195,12.0
0.545,0.425,0.8445,0.373,0.21,0.135,0.235,10.0
0.54,0.42,0.7385,0.3515,0.152,0.155,0.215,12.0
0.46,0.38,0.482,0.207,0.1225,0.135,0.145,10.0
0.49,0.42,0.609,0.239,0.1435,0.125,0.22,14.0
0.475,0.375,0.593,0.277,0.115,0.125,0.18,10.0
0.47,0.38,0.5865,0.2385,0.144,0.145,0.185,8.0
0.535,0.44,0.6765,0.256,0.139,0.15,0.26,12.0
0.585,0.455,0.987,0.4355,0.2075,0.15,0.31,11.0
0.515,0.455,0.7225,0.295,0.1625,0.135,0.235,9.0
0.45,0.355,0.479,0.2125,0.1045,0.115,0.15,8.0
0.59,0.485,0.911,0.39,0.182,0.12,0.29,16.0
0.555,0.45,0.915,0.4,0.246,0.145,0.285,11.0
0.57,0.44,0.827,0.3395,0.2215,0.095,0.235,8.0
0.59,0.5,1.1045,0.4565,0.2425,0.165,0.34,15.0
0.585,0.475,0.945,0.41,0.2115,0.12,0.28,14.0
0.545,0.44,0.8565,0.3475,0.1715,0.12,0.24,12.0
0.63,0.515,1.352,0.488,0.349,0.165,0.45,20.0
0.545,0.41,0.625,0.223,0.16,0.14,0.235,13.0
0.58,0.45,1.068,0.425,0.203,0.175,0.32,13.0
0.6,0.5,1.015,0.3995,0.1735,0.16,0.33,19.0
0.6,0.47,1.036,0.4375,0.196,0.155,0.325,20.0
0.565,0.455,0.9065,0.342,0.156,0.17,0.32,18.0
0.545,0.42,0.7505,0.2475,0.13,0.14,0.255,22.0
0.5,0.41,0.662,0.2815,0.137,0.15,0.22,11.0
0.39,0.3,0.3055,0.143,0.0645,0.09,0.085,9.0
0.5,0.415,0.6885,0.249,0.138,0.165,0.25,13.0
0.565,0.435,0.9815,0.329,0.136,0.185,0.39,13.0
0.565,0.455,0.9265,0.354,0.1575,0.185,0.375,16.0
0.605,0.5,1.098,0.4765,0.232,0.175,0.375,12.0
0.725,0.565,1.891,0.6975,0.4725,0.215,0.58,16.0
0.575,0.47,0.8375,0.3485,0.1735,0.14,0.24,11.0
0.38,0.285,0.2665,0.115,0.061,0.1,0.075,11.0
0.655,0.53,1.388,0.567,0.2735,0.195,0.41,13.0
0.675,0.555,1.4385,0.545,0.2665,0.2,0.465,21.0
0.53,0.415,0.7395,0.261,0.1395,0.175,0.2645,17.0
0.665,0.54,1.347,0.4955,0.254,0.175,0.415,17.0
0.735,0.59,1.756,0.637,0.3405,0.225,0.58,21.0
0.66,0.545,1.32,0.5305,0.2635,0.185,0.455,16.0
0.575,0.4,0.9325,0.3605,0.2445,0.155,0.3,17.0
0.57,0.465,0.849,0.3785,0.1765,0.125,0.24,15.0
0.63,0.48,1.0115,0.4235,0.237,0.145,0.305,12.0
0.55,0.45,0.92,0.378,0.2385,0.13,0.29,11.0
0.54,0.42,0.8075,0.3485,0.1795,0.135,0.235,11.0
0.59,0.455,1.073,0.475,0.19,0.145,0.285,14.0
0.58,0.46,0.921,0.357,0.181,0.13,0.29,13.0
0.655,0.53,1.2635,0.486,0.2635,0.175,0.415,15.0
0.625,0.5,1.369,0.5875,0.2185,0.195,0.37,17.0
0.555,0.45,0.874,0.3275,0.202,0.175,0.305,10.0
0.6,0.47,1.105,0.4865,0.247,0.175,0.315,15.0
0.56,0.46,0.8395,0.3325,0.157,0.235,0.305,12.0
0.585,0.455,1.055,0.3815,0.221,0.225,0.365,15.0
0.56,0.435,0.889,0.36,0.204,0.18,0.25,11.0
0.31,0.22,0.146,0.061,0.0365,0.085,0.045,6.0
0.27,0.195,0.1,0.0385,0.0195,0.08,0.03,6.0
0.4,0.29,0.2795,0.1115,0.0575,0.115,0.075,9.0
0.28,0.2,0.0915,0.033,0.0215,0.08,0.03,5.0
0.325,0.23,0.147,0.06,0.034,0.09,0.045,4.0
0.21,0.15,0.0385,0.0155,0.0085,0.05,0.01,3.0
0.2,0.14,0.035,0.0145,0.008,0.055,0.01,5.0
0.235,0.16,0.0545,0.0265,0.0095,0.06,0.015,4.0
0.175,0.125,0.024,0.0095,0.006,0.04,0.005,4.0
0.155,0.11,0.0155,0.0065,0.003,0.04,0.005,3.0
0.385,0.3,0.24,0.0885,0.059,0.095,0.085,9.0
0.29,0.23,0.1165,0.043,0.0255,0.075,0.04,7.0
0.275,0.205,0.094,0.0335,0.02,0.07,0.0325,5.0
0.42,0.325,0.2885,0.1,0.057,0.115,0.1135,15.0
0.445,0.35,0.3615,0.1565,0.0695,0.115,0.117,8.0
0.32,0.245,0.1555,0.0585,0.038,0.075,0.049,11.0
0.255,0.195,0.08,0.0315,0.018,0.065,0.027,8.0
0.205,0.155,0.0425,0.017,0.0055,0.045,0.0155,7.0
0.35,0.255,0.179,0.0705,0.0385,0.065,0.06,10.0
0.28,0.21,0.1085,0.041,0.0265,0.08,0.0345,7.0
0.45,0.335,0.4625,0.164,0.076,0.14,0.15,14.0
0.535,0.42,0.6995,0.2575,0.153,0.15,0.24,12.0
0.345,0.27,0.195,0.078,0.0455,0.09,0.059,9.0
0.37,0.285,0.228,0.0675,0.0675,0.1,0.081,10.0
0.35,0.265,0.1775,0.0575,0.042,0.09,0.068,12.0
0.195,0.145,0.032,0.01,0.008,0.05,0.012,4.0
0.325,0.24,0.155,0.0475,0.0355,0.075,0.06,9.0
0.415,0.345,0.3865,0.128,0.07,0.135,0.148,13.0
0.32,0.24,0.17,0.0655,0.047,0.085,0.049,7.0
0.31,0.225,0.1295,0.0455,0.0335,0.075,0.044,9.0
0.235,0.17,0.0515,0.018,0.0105,0.055,0.0195,7.0
0.345,0.255,0.169,0.06,0.0425,0.08,0.054,10.0
0.34,0.265,0.1835,0.077,0.046,0.085,0.065,10.0
0.46,0.365,0.467,0.1895,0.0945,0.125,0.158,10.0
0.36,0.295,0.2105,0.066,0.0525,0.1,0.075,9.0
0.355,0.265,0.168,0.05,0.041,0.09,0.063,8.0
0.38,0.235,0.258,0.1055,0.054,0.1,0.08,7.0
0.355,0.26,0.1905,0.081,0.0485,0.085,0.055,6.0
0.325,0.24,0.173,0.0795,0.038,0.085,0.05,7.0
0.33,0.255,0.1875,0.0735,0.045,0.095,0.06,7.0
0.45,0.34,0.3715,0.1605,0.0795,0.13,0.105,9.0
0.33,0.215,0.1145,0.045,0.0265,0.075,0.035,6.0
0.48,0.375,0.777,0.216,0.13,0.145,0.17,9.0
0.255,0.18,0.079,0.034,0.014,0.065,0.025,5.0
0.31,0.225,0.1345,0.054,0.024,0.08,0.05,7.0
0.295,0.215,0.129,0.05,0.0295,0.075,0.04,7.0
0.455,0.35,0.4835,0.1815,0.144,0.12,0.16,11.0
0.55,0.425,0.9175,0.2775,0.243,0.155,0.335,13.0
0.475,0.385,0.6175,0.235,0.108,0.145,0.215,14.0
0.49,0.39,0.573,0.225,0.124,0.15,0.17,21.0
0.54,0.415,0.74,0.2635,0.168,0.145,0.245,12.0
0.485,0.37,0.5725,0.204,0.1415,0.14,0.175,10.0
0.535,0.405,0.8345,0.3175,0.1725,0.185,0.29,16.0
0.51,0.4,0.6515,0.2455,0.1665,0.14,0.185,10.0
0.565,0.44,0.909,0.344,0.2325,0.185,0.255,15.0
0.525,0.4,0.7305,0.279,0.2055,0.17,0.195,11.0
0.59,0.44,0.9555,0.366,0.2425,0.15,0.295,11.0
0.5,0.375,0.636,0.2535,0.145,0.15,0.19,10.0
0.38,0.29,0.283,0.1175,0.0655,0.12,0.085,9.0
0.28,0.205,0.1165,0.0545,0.0285,0.1,0.03,5.0
0.385,0.285,0.2905,0.1215,0.0685,0.105,0.0875,12.0
0.395,0.295,0.316,0.1205,0.0595,0.115,0.1105,12.0
0.4,0.3,0.417,0.191,0.09,0.125,0.1175,9.0
0.415,0.325,0.417,0.1535,0.1015,0.14,0.144,10.0
0.315,0.25,0.203,0.0615,0.037,0.09,0.0795,11.0
0.36,0.295,0.2765,0.0895,0.057,0.13,0.1005,10.0
0.375,0.3,0.2465,0.104,0.0475,0.1,0.083,11.0
0.355,0.265,0.201,0.069,0.053,0.085,0.0695,8.0
0.35,0.255,0.1915,0.08,0.0385,0.08,0.063,9.0
0.555,0.455,1.0575,0.3925,0.228,0.16,0.293,13.0
0.555,0.44,1.092,0.416,0.212,0.15,0.4405,15.0
0.525,0.41,0.99,0.3865,0.243,0.13,0.295,15.0
0.465,0.36,0.488,0.191,0.125,0.08,0.155,11.0
0.4,0.305,0.297,0.108,0.0705,0.085,0.1,10.0
0.505,0.4,0.77,0.2735,0.159,0.125,0.255,13.0
0.525,0.4,0.8295,0.2405,0.1825,0.13,0.275,11.0
0.545,0.42,0.879,0.374,0.1695,0.13,0.23,13.0
0.52,0.4,0.823,0.298,0.1805,0.12,0.265,15.0
0.505,0.38,0.656,0.227,0.1785,0.13,0.22,13.0
0.525,0.425,0.8665,0.2825,0.176,0.12,0.29,18.0
0.51,0.39,0.6565,0.262,0.1835,0.125,0.175,10.0
0.52,0.385,0.669,0.2385,0.172,0.115,0.205,12.0
0.535,0.41,0.862,0.2855,0.1525,0.135,0.32,14.0
0.445,0.345,0.3795,0.143,0.074,0.09,0.125,10.0
0.53,0.44,0.835,0.32,0.2175,0.205,0.245,14.0
0.53,0.415,0.8425,0.275,0.1945,0.13,0.265,20.0
0.52,0.385,0.6595,0.2485,0.2035,0.14,0.16,9.0
0.535,0.42,0.8055,0.301,0.181,0.13,0.28,14.0
0.695,0.515,1.5165,0.578,0.4105,0.175,0.39,15.0
0.485,0.355,0.547,0.215,0.1615,0.12,0.14,10.0
0.65,0.515,1.4805,0.5295,0.272,0.175,0.525,20.0
0.62,0.505,1.5275,0.69,0.368,0.185,0.35,13.0
0.615,0.525,1.1375,0.367,0.236,0.155,0.37,20.0
0.57,0.44,1.116,0.4775,0.2315,0.155,0.27,13.0
0.57,0.43,1.0615,0.348,0.167,0.12,0.31,15.0
0.585,0.405,1.2565,0.435,0.202,0.15,0.325,15.0
0.64,0.51,1.613,0.6215,0.361,0.19,0.47,14.0
0.545,0.45,0.978,0.3365,0.1905,0.15,0.3,11.0
0.345,0.27,0.197,0.0665,0.05,0.095,0.07,9.0
0.385,0.275,0.2685,0.0975,0.0825,0.115,0.085,8.0
0.455,0.34,0.462,0.1675,0.158,0.135,0.12,9.0
0.49,0.38,0.7605,0.245,0.167,0.14,0.185,10.0
0.53,0.41,0.732,0.189,0.17,0.165,0.31,11.0
0.505,0.385,0.6775,0.236,0.179,0.145,0.2,15.0
0.49,0.38,0.6385,0.2305,0.142,0.14,0.195,13.0
0.465,0.35,0.5755,0.2015,0.1505,0.14,0.19,15.0
0.56,0.41,0.93,0.3505,0.237,0.165,0.3,13.0
0.505,0.385,0.6415,0.246,0.152,0.15,0.215,12.0
0.515,0.435,0.8815,0.292,0.206,0.145,0.255,10.0
0.55,0.415,1.042,0.3295,0.2325,0.175,0.2905,15.0
0.495,0.385,0.709,0.211,0.1375,0.135,0.262,12.0
0.47,0.37,0.51,0.1915,0.1285,0.18,0.1625,9.0
0.575,0.45,0.9215,0.3275,0.225,0.165,0.256,12.0
0.58,0.465,1.0345,0.315,0.26,0.16,0.3635,12.0
0.515,0.405,0.695,0.215,0.1635,0.145,0.234,15.0
0.53,0.41,0.7155,0.2805,0.1685,0.155,0.214,11.0
0.44,0.335,0.394,0.157,0.096,0.11,0.122,9.0
0.52,0.42,0.745,0.255,0.157,0.16,0.2885,11.0
0.46,0.34,0.495,0.1655,0.117,0.135,0.185,10.0
0.45,0.335,0.349,0.119,0.1055,0.125,0.115,10.0
0.425,0.33,0.4405,0.152,0.0935,0.13,0.155,9.0
0.515,0.38,0.6615,0.2875,0.2095,0.135,0.155,10.0
0.405,0.305,0.3185,0.1235,0.0905,0.12,0.095,7.0
0.505,0.405,0.875,0.2665,0.174,0.14,0.285,12.0
0.415,0.305,0.325,0.156,0.0505,0.1,0.091,6.0
0.47,0.375,0.5805,0.266,0.0935,0.12,0.169,8.0
0.49,0.385,0.609,0.3065,0.096,0.125,0.1775,8.0
0.5,0.4,0.5975,0.27,0.1275,0.125,0.166,9.0
0.505,0.44,0.8275,0.3415,0.1855,0.14,0.239,8.0
0.525,0.395,0.7635,0.3375,0.1425,0.13,0.225,8.0
0.54,0.405,0.891,0.4815,0.1915,0.125,0.202,9.0
0.55,0.45,1.0145,0.407,0.2015,0.15,0.2875,10.0
0.555,0.435,0.9685,0.4985,0.168,0.145,0.2385,9.0
0.565,0.45,1.0595,0.4735,0.24,0.155,0.265,10.0
0.57,0.455,0.952,0.3895,0.2155,0.15,0.2745,9.0
0.57,0.435,0.7535,0.349,0.1755,0.13,0.194,10.0
0.59,0.475,1.077,0.4545,0.244,0.165,0.3095,9.0
0.59,0.46,1.102,0.455,0.2055,0.13,0.33,12.0
0.6,0.475,1.3445,0.549,0.2875,0.175,0.36,11.0
0.6,0.495,1.29,0.606,0.276,0.175,0.3445,11.0
0.605,0.455,1.1035,0.421,0.3015,0.16,0.325,9.0
0.615,0.51,1.296,0.545,0.3315,0.15,0.32,9.0
0.615,0.505,1.34,0.5315,0.2815,0.165,0.41,12.0
0.62,0.5,1.307,0.6355,0.2545,0.165,0.315,9.0
0.63,0.505,1.26,0.4525,0.2755,0.165,0.406,14.0
0.635,0.51,1.3555,0.619,0.305,0.17,0.39,9.0
0.65,0.525,1.4715,0.675,0.315,0.175,0.399,11.0
0.655,0.52,1.4095,0.586,0.291,0.165,0.405,9.0
0.655,0.58,2.0805,0.959,0.3415,0.205,0.601,17.0
0.66,0.53,1.3905,0.5905,0.212,0.17,0.453,15.0
0.66,0.52,1.558,0.755,0.298,0.19,0.4,10.0
0.73,0.595,2.8255,1.1465,0.419,0.23,0.897,17.0
0.47,0.365,0.612,0.327,0.15,0.12,0.14,8.0
0.475,0.37,0.537,0.222,0.1215,0.125,0.15,9.0
0.48,0.375,0.6765,0.3205,0.1065,0.115,0.17,6.0
0.48,0.385,0.64,0.2925,0.1405,0.145,0.1575,6.0
0.48,0.36,0.439,0.194,0.099,0.1,0.115,8.0
0.48,0.365,0.6015,0.312,0.117,0.12,0.14,7.0
0.49,0.385,0.649,0.32,0.124,0.125,0.1695,8.0
0.495,0.395,0.6335,0.3035,0.1295,0.135,0.1495,8.0
0.495,0.4,0.61,0.272,0.1435,0.135,0.144,7.0
0.5,0.39,0.6595,0.3145,0.1535,0.135,0.1565,6.0
0.5,0.385,0.6425,0.3195,0.129,0.135,0.1535,7.0
0.5,0.4,0.6725,0.336,0.12,0.125,0.1825,7.0
0.505,0.41,0.642,0.289,0.133,0.125,0.155,9.0
0.51,0.39,0.769,0.3935,0.1455,0.135,0.19,8.0
0.51,0.405,0.7035,0.347,0.134,0.15,0.1885,8.0
0.51,0.41,0.796,0.3865,0.1815,0.145,0.1955,8.0
0.515,0.39,0.7125,0.3695,0.137,0.155,0.155,7.0
0.525,0.4,0.7325,0.334,0.1575,0.14,0.17,11.0
0.53,0.405,0.6515,0.2715,0.1605,0.125,0.186,7.0
0.535,0.43,0.7165,0.2855,0.1595,0.14,0.2155,8.0
0.535,0.435,0.874,0.3735,0.229,0.14,0.2195,8.0
0.57,0.45,1.195,0.5625,0.2565,0.155,0.295,10.0
0.57,0.45,1.1935,0.513,0.21,0.155,0.343,10.0
0.57,0.445,1.0635,0.5265,0.2195,0.14,0.24,8.0
0.57,0.46,0.9035,0.4075,0.1935,0.17,0.214,7.0
0.575,0.475,1.114,0.4955,0.2745,0.16,0.29,9.0
0.58,0.455,1.012,0.4985,0.2115,0.15,0.2835,10.0
0.58,0.49,1.1335,0.586,0.2565,0.13,0.237,9.0
0.59,0.465,1.136,0.5245,0.2615,0.155,0.275,11.0
0.59,0.47,1.206,0.479,0.2425,0.16,0.309,8.0
0.595,0.475,1.213,0.621,0.2435,0.165,0.274,9.0
0.595,0.455,1.044,0.518,0.2205,0.15,0.27,9.0
0.605,0.475,1.161,0.572,0.2455,0.155,0.275,9.0
0.605,0.47,1.2315,0.6025,0.262,0.165,0.2925,11.0
0.61,0.47,1.1625,0.565,0.258,0.15,0.3085,11.0
0.61,0.475,1.168,0.554,0.239,0.155,0.3295,10.0
0.625,0.49,1.3325,0.5705,0.271,0.175,0.405,10.0
0.63,0.485,1.278,0.637,0.275,0.155,0.31,8.0
0.63,0.48,1.1785,0.5185,0.248,0.15,0.3235,8.0
0.635,0.49,1.375,0.623,0.2705,0.175,0.395,11.0
0.635,0.525,1.4065,0.684,0.3,0.185,0.3745,10.0
0.64,0.505,1.4025,0.705,0.2655,0.155,0.335,10.0
0.645,0.52,1.636,0.779,0.342,0.175,0.432,11.0
0.645,0.52,1.561,0.709,0.3555,0.175,0.4,8.0
0.645,0.5,1.3385,0.633,0.299,0.175,0.349,11.0
0.65,0.495,1.304,0.57,0.312,0.16,0.3725,9.0
0.65,0.52,1.6785,0.6665,0.308,0.21,0.46,11.0
0.65,0.525,1.622,0.6645,0.3225,0.185,0.477,10.0
0.66,0.535,1.5905,0.6425,0.297,0.19,0.5175,9.0
0.66,0.495,1.6275,0.594,0.3595,0.195,0.485,10.0
0.67,0.525,1.6085,0.682,0.3145,0.165,0.4005,11.0
