diameter,shucked_weight,shell_weight,height,whole_weight,viscera_weight,length,rings
0.39,0.2185,0.255,0.15,0.6355,0.0885,0.47,9.0
0.5,0.412,0.37,0.2,1.187,0.2705,0.59,16.0
0.485,0.3875,0.385,0.205,1.219,0.2505,0.62,14.0
0.505,0.56,0.45,0.225,1.525,0.3335,0.63,15.0
0.515,0.4105,0.41,0.155,1.259,0.197,0.63,13.0
0.54,0.7425,0.585,0.215,1.844,0.327,0.655,22.0
0.5,0.532,0.69,0.24,1.642,0.3345,0.61,18.0
0.525,0.55,0.43,0.205,1.484,0.3115,0.635,20.0
0.395,0.2285,0.225,0.14,0.6295,0.127,0.485,14.0
0.38,0.325,0.31,0.175,0.9565,0.158,0.515,14.0
0.435,0.288,0.205,0.155,0.699,0.1595,0.53,10.0
0.355,0.132,0.19,0.125,0.4775,0.0815,0.44,9.0
0.435,0.3835,0.325,0.18,0.996,0.226,0.54,17.0
0.475,0.428,0.315,0.165,1.116,0.2205,0.61,15.0
0.495,0.384,0.375,0.195,1.0575,0.19,0.6,26.0
0.395,0.2215,0.15,0.14,0.549,0.1275,0.49,11.0
0.28,0.0905,0.075,0.105,0.234,0.0585,0.37,9.0
0.28,0.1065,0.074,0.1,0.252,0.0595,0.37,8.0
0.27,0.0885,0.0715,0.1,0.217,0.0495,0.36,6.0
0.515,0.471,0.535,0.24,1.5415,0.369,0.645,13.0
0.41,0.2505,0.195,0.125,0.7605,0.1635,0.55,14.0
0.435,0.3925,0.275,0.145,0.9055,0.2355,0.57,10.0
0.44,0.443,0.265,0.14,0.971,0.2045,0.56,14.0
0.455,0.4595,0.345,0.195,1.3305,0.3235,0.595,19.0
0.485,0.4335,0.46,0.175,1.3,0.2945,0.63,23.0
0.35,0.1465,0.12,0.1,0.3675,0.1015,0.45,10.0
0.31,0.1065,0.1,0.1,0.2845,0.075,0.385,11.0
0.265,0.0935,0.075,0.105,0.222,0.056,0.335,7.0
0.4,0.27,0.205,0.13,0.6435,0.1665,0.51,12.0
0.295,0.0865,0.095,0.105,0.241,0.053,0.36,8.0
0.38,0.2135,0.2,0.155,0.5955,0.161,0.5,12.0
0.465,0.5705,0.355,0.19,1.3415,0.3175,0.62,11.0
0.475,0.403,0.325,0.19,1.0875,0.2655,0.6,14.0
0.45,0.473,0.425,0.185,1.283,0.276,0.59,16.0
0.475,0.6045,0.33,0.185,1.325,0.325,0.62,13.0
0.455,0.581,0.3,0.145,1.165,0.2275,0.575,14.0
0.465,0.579,0.32,0.185,1.274,0.3065,0.62,12.0
0.39,0.2795,0.18,0.14,0.707,0.2185,0.49,13.0
0.48,0.56,0.28,0.15,1.2,0.2455,0.61,14.0
0.46,0.4465,0.245,0.14,0.9535,0.2065,0.57,12.0
0.455,0.408,0.22,0.17,0.93,0.259,0.58,9.0
0.515,0.509,0.34,0.17,1.275,0.286,0.635,16.0
0.58,0.7415,0.58,0.205,2.13,0.49,0.7,20.0
0.525,0.6935,0.395,0.185,1.587,0.336,0.675,13.0
0.585,0.9265,0.7,0.215,2.499,0.472,0.745,17.0
0.49,0.48,0.35,0.18,1.227,0.287,0.605,18.0
0.515,0.4215,0.355,0.16,1.016,0.244,0.63,19.0
0.465,0.4405,0.265,0.145,0.887,0.1655,0.58,11.0
0.49,0.458,0.315,0.18,1.13,0.2765,0.63,12.0
0.52,0.4635,0.4,0.15,1.343,0.292,0.685,13.0
0.49,0.4935,0.285,0.19,1.1775,0.3365,0.63,11.0
0.465,0.3895,0.37,0.175,0.995,0.183,0.565,15.0
0.47,0.3755,0.385,0.18,1.1405,0.2805,0.605,15.0
0.42,0.33,0.25,0.145,0.791,0.189,0.535,10.0
0.4,0.313,0.2,0.135,0.663,0.137,0.485,10.0
0.375,0.226,0.195,0.12,0.5565,0.122,0.47,12.0
0.425,0.373,0.235,0.135,0.8445,0.21,0.545,10.0
0.42,0.3515,0.215,0.155,0.7385,0.152,0.54,12.0
0.38,0.207,0.145,0.135,0.482,0.1225,0.46,10.0
0.42,0.239,0.22,0.125,0.609,0.1435,0.49,14.0
0.375,0.277,0.18,0.125,0.593,0.115,0.475,10.0
0.38,0.2385,0.185,0.145,0.5865,0.144,0.47,8.0
0.44,0.256,0.26,0.15,0.6765,0.139,0.535,12.0
0.455,0.4355,0.31,0.15,0.987,0.2075,0.585,11.0
0.455,0.295,0.235,0.135,0.7225,0.1625,0.515,9.0
0.355,0.2125,0.15,0.115,0.479,0.1045,0.45,8.0
0.485,0.39,0.29,0.12,0.911,0.182,0.59,16.0
0.45,0.4,0.285,0.145,0.915,0.246,0.555,11.0
0.44,0.3395,0.235,0.095,0.827,0.2215,0.57,8.0
0.5,0.4565,0.34,0.165,1.1045,0.2425,0.59,15.0
0.475,0.41,0.28,0.12,0.945,0.2115,0.585,14.0
0.44,0.3475,0.24,0.12,0.8565,0.1715,0.545,12.0
0.515,0.488,0.45,0.165,1.352,0.349,0.63,20.0
0.41,0.223,0.235,0.14,0.625,0.16,0.545,13.0
0.45,0.425,0.32,0.175,1.068,0.203,0.58,13.0
0.5,0.3995,0.33,0.16,1.015,0.1735,0.6,19.0
0.47,0.4375,0.325,0.155,1.036,0.196,0.6,20.0
0.455,0.342,0.32,0.17,0.9065,0.156,0.565,18.0
0.42,0.2475,0.255,0.14,0.7505,0.13,0.545,22.0
0.41,0.2815,0.22,0.15,0.662,0.137,0.5,11.0
0.3,0.143,0.085,0.09,0.3055,0.0645,0.39,9.0
0.415,0.249,0.25,0.165,0.6885,0.138,0.5,13.0
0.435,0.329,0.39,0.185,0.9815,0.136,0.565,13.0
0.455,0.354,0.375,0.185,0.9265,0.1575,0.565,16.0
0.5,0.4765,0.375,0.175,1.098,0.232,0.605,12.0
0.565,0.6975,0.58,0.215,1.891,0.4725,0.725,16.0
0.47,0.3485,0.24,0.14,0.8375,0.1735,0.575,11.0
0.285,0.115,0.075,0.1,0.2665,0.061,0.38,11.0
0.53,0.567,0.41,0.195,1.388,0.2735,0.655,13.0
0.555,0.545,0.465,0.2,1.4385,0.2665,0.675,21.0
0.415,0.261,0.2645,0.175,0.7395,0.1395,0.53,17.0
0.54,0.4955,0.415,0.175,1.347,0.254,0.665,17.0
0.59,0.637,0.58,0.225,1.756,0.3405,0.735,21.0
0.545,0.5305,0.455,0.185,1.32,0.2635,0.66,16.0
0.4,0.3605,0.3,0.155,0.9325,0.2445,0.575,17.0
0.465,0.3785,0.24,0.125,0.849,0.1765,0.57,15.0
0.48,0.4235,0.305,0.145,1.0115,0.237,0.63,12.0
0.45,0.378,0.29,0.13,0.92,0.2385,0.55,11.0
0.42,0.3485,0.235,0.135,0.8075,0.1795,0.54,11.0
0.455,0.475,0.285,0.145,1.073,0.19,0.59,14.0
0.46,0.357,0.29,0.13,0.921,0.181,0.58,13.0
0.53,0.486,0.415,0.175,1.2635,0.2635,0.655,15.0
0.5,0.5875,0.37,0.195,1.369,0.2185,0.625,17.0
0.45,0.3275,0.305,0.175,0.874,0.202,0.555,10.0
0.47,0.4865,0.315,0.175,1.105,0.247,0.6,15.0
0.46,0.3325,0.305,0.235,0.8395,0.157,0.56,12.0
0.455,0.3815,0.365,0.225,1.055,0.221,0.585,15.0
0.435,0.36,0.25,0.18,0.889,0.204,0.56,11.0
0.22,0.061,0.045,0.085,0.146,0.0365,0.31,6.0
0.195,0.0385,0.03,0.08,0.1,0.0195,0.27,6.0
0.29,0.1115,0.075,0.115,0.2795,0.0575,0.4,9.0
0.2,0.033,0.03,0.08,0.0915,0.0215,0.28,5.0
0.23,0.06,0.045,0.09,0.147,0.034,0.325,4.0
0.15,0.0155,0.01,0.05,0.0385,0.0085,0.21,3.0
0.14,0.0145,0.01,0.055,0.035,0.008,0.2,5.0
0.16,0.0265,0.015,0.06,0.0545,0.0095,0.235,4.0
0.125,0.0095,0.005,0.04,0.024,0.006,0.175,4.0
0.11,0.0065,0.005,0.04,0.0155,0.003,0.155,3.0
0.3,0.0885,0.085,0.095,0.24,0.059,0.385,9.0
0.23,0.043,0.04,0.075,0.1165,0.0255,0.29,7.0
0.205,0.0335,0.0325,0.07,0.094,0.02,0.275,5.0
0.325,0.1,0.1135,0.115,0.2885,0.057,0.42,15.0
0.35,0.1565,0.117,0.115,0.3615,0.0695,0.445,8.0
0.245,0.0585,0.049,0.075,0.1555,0.038,0.32,11.0
0.195,0.0315,0.027,0.065,0.08,0.018,0.255,8.0
0.155,0.017,0.0155,0.045,0.0425,0.0055,0.205,7.0
0.255,0.0705,0.06,0.065,0.179,0.0385,0.35,10.0
0.21,0.041,0.0345,0.08,0.1085,0.0265,0.28,7.0
0.335,0.164,0.15,0.14,0.4625,0.076,0.45,14.0
0.42,0.2575,0.24,0.15,0.6995,0.153,0.535,12.0
0.27,0.078,0.059,0.09,0.195,0.0455,0.345,9.0
0.285,0.0675,0.081,0.1,0.228,0.0675,0.37,10.0
0.265,0.0575,0.068,0.09,0.1775,0.042,0.35,12.0
0.145,0.01,0.012,0.05,0.032,0.008,0.195,4.0
0.24,0.0475,0.06,0.075,0.155,0.0355,0.325,9.0
0.345,0.128,0.148,0.135,0.3865,0.07,0.415,13.0
0.24,0.0655,0.049,0.085,0.17,0.047,0.32,7.0
0.225,0.0455,0.044,0.075,0.1295,0.0335,0.31,9.0
0.17,0.018,0.0195,0.055,0.0515,0.0105,0.235,7.0
0.255,0.06,0.054,0.08,0.169,0.0425,0.345,10.0
0.265,0.077,0.065,0.085,0.1835,0.046,0.34,10.0
0.365,0.1895,0.158,0.125,0.467,0.0945,0.46,10.0
0.295,0.066,0.075,0.1,0.2105,0.0525,0.36,9.0
0.265,0.05,0.063,0.09,0.168,0.041,0.355,8.0
0.235,0.1055,0.08,0.1,0.258,0.054,0.38,7.0
0.26,0.081,0.055,0.085,0.1905,0.0485,0.355,6.0
0.24,0.0795,0.05,0.085,0.173,0.038,0.325,7.0
0.255,0.0735,0.06,0.095,0.1875,0.045,0.33,7.0
0.34,0.1605,0.105,0.13,0.3715,0.0795,0.45,9.0
0.215,0.045,0.035,0.075,0.1145,0.0265,0.33,6.0
0.375,0.216,0.17,0.145,0.777,0.13,0.48,9.0
0.18,0.034,0.025,0.065,0.079,0.014,0.255,5.0
0.225,0.054,0.05,0.08,0.1345,0.024,0.31,7.0
0.215,0.05,0.04,0.075,0.129,0.0295,0.295,7.0
0.35,0.1815,0.16,0.12,0.4835,0.144,0.455,11.0
0.425,0.2775,0.335,0.155,0.9175,0.243,0.55,13.0
0.385,0.235,0.215,0.145,0.6175,0.108,0.475,14.0
0.39,0.225,0.17,0.15,0.573,0.124,0.49,21.0
0.415,0.2635,0.245,0.145,0.74,0.168,0.54,12.0
0.37,0.204,0.175,0.14,0.5725,0.1415,0.485,10.0
0.405,0.3175,0.29,0.185,0.8345,0.1725,0.535,16.0
0.4,0.2455,0.185,0.14,0.6515,0.1665,0.51,10.0
0.44,0.344,0.255,0.185,0.909,0.2325,0.565,15.0
0.4,0.279,0.195,0.17,0.7305,0.2055,0.525,11.0
0.44,0.366,0.295,0.15,0.9555,0.2425,0.59,11.0
0.375,0.2535,0.19,0.15,0.636,0.145,0.5,10.0
0.29,0.1175,0.085,0.12,0.283,0.0655,0.38,9.0
0.205,0.0545,0.03,0.1,0.1165,0.0285,0.28,5.0
0.285,0.1215,0.0875,0.105,0.2905,0.0685,0.385,12.0
0.295,0.1205,0.1105,0.115,0.316,0.0595,0.395,12.0
0.3,0.191,0.1175,0.125,0.417,0.09,0.4,9.0
0.325,0.1535,0.144,0.14,0.417,0.1015,0.415,10.0
0.25,0.0615,0.0795,0.09,0.203,0.037,0.315,11.0
0.295,0.0895,0.1005,0.13,0.2765,0.057,0.36,10.0
0.3,0.104,0.083,0.1,0.2465,0.0475,0.375,11.0
0.265,0.069,0.0695,0.085,0.201,0.053,0.355,8.0
0.255,0.08,0.063,0.08,0.1915,0.0385,0.35,9.0
0.455,0.3925,0.293,0.16,1.0575,0.228,0.555,13.0
0.44,0.416,0.4405,0.15,1.092,0.212,0.555,15.0
0.41,0.3865,0.295,0.13,0.99,0.243,0.525,15.0
0.36,0.191,0.155,0.08,0.488,0.125,0.465,11.0
0.305,0.108,0.1,0.085,0.297,0.0705,0.4,10.0
0.4,0.2735,0.255,0.125,0.77,0.159,0.505,13.0
0.4,0.2405,0.275,0.13,0.8295,0.1825,0.525,11.0
0.42,0.374,0.23,0.13,0.879,0.1695,0.545,13.0
0.4,0.298,0.265,0.12,0.823,0.1805,0.52,15.0
0.38,0.227,0.22,0.13,0.656,0.1785,0.505,13.0
0.425,0.2825,0.29,0.12,0.8665,0.176,0.525,18.0
0.39,0.262,0.175,0.125,0.6565,0.1835,0.51,10.0
0.385,0.2385,0.205,0.115,0.669,0.172,0.52,12.0
0.41,0.2855,0.32,0.135,0.862,0.1525,0.535,14.0
0.345,0.143,0.125,0.09,0.3795,0.074,0.445,10.0
0.44,0.32,0.245,0.205,0.835,0.2175,0.53,14.0
0.415,0.275,0.265,0.13,0.8425,0.1945,0.53,20.0
0.385,0.2485,0.16,0.14,0.6595,0.2035,0.52,9.0
0.42,0.301,0.28,0.13,0.8055,0.181,0.535,14.0
0.515,0.578,0.39,0.175,1.5165,0.4105,0.695,15.0
0.355,0.215,0.14,0.12,0.547,0.1615,0.485,10.0
0.515,0.5295,0.525,0.175,1.4805,0.272,0.65,20.0
0.505,0.69,0.35,0.185,1.5275,0.368,0.62,13.0
0.525,0.367,0.37,0.155,1.1375,0.236,0.615,20.0
0.44,0.4775,0.27,0.155,1.116,0.2315,0.57,13.0
0.43,0.348,0.31,0.12,1.0615,0.167,0.57,15.0
0.405,0.435,0.325,0.15,1.2565,0.202,0.585,15.0
0.51,0.6215,0.47,0.19,1.613,0.361,0.64,14.0
0.45,0.3365,0.3,0.15,0.978,0.1905,0.545,11.0
0.27,0.0665,0.07,0.095,0.197,0.05,0.345,9.0
0.275,0.0975,0.085,0.115,0.2685,0.0825,0.385,8.0
0.34,0.1675,0.12,0.135,0.462,0.158,0.455,9.0
0.38,0.245,0.185,0.14,0.7605,0.167,0.49,10.0
0.41,0.189,0.31,0.165,0.732,0.17,0.53,11.0
0.385,0.236,0.2,0.145,0.6775,0.179,0.505,15.0
0.38,0.2305,0.195,0.14,0.6385,0.142,0.49,13.0
0.35,0.2015,0.19,0.14,0.5755,0.1505,0.465,15.0
0.41,0.3505,0.3,0.165,0.93,0.237,0.56,13.0
0.385,0.246,0.215,0.15,0.6415,0.152,0.505,12.0
0.435,0.292,0.255,0.145,0.8815,0.206,0.515,10.0
0.415,0.3295,0.2905,0.175,1.042,0.2325,0.55,15.0
0.385,0.211,0.262,0.135,0.709,0.1375,0.495,12.0
0.37,0.1915,0.1625,0.18,0.51,0.1285,0.47,9.0
0.45,0.3275,0.256,0.165,0.9215,0.225,0.575,12.0
0.465,0.315,0.3635,0.16,1.0345,0.26,0.58,12.0
0.405,0.215,0.234,0.145,0.695,0.1635,0.515,15.0
0.41,0.2805,0.214,0.155,0.7155,0.1685,0.53,11.0
0.335,0.157,0.122,0.11,0.394,0.096,0.44,9.0
0.42,0.255,0.2885,0.16,0.745,0.157,0.52,11.0
0.34,0.1655,0.185,0.135,0.495,0.117,0.46,10.0
0.335,0.119,0.115,0.125,0.349,0.1055,0.45,10.0
0.33,0.152,0.155,0.13,0.4405,0.0935,0.425,9.0
0.38,0.2875,0.155,0.135,0.6615,0.2095,0.515,10.0
0.305,0.1235,0.095,0.12,0.3185,0.0905,0.405,7.0
0.405,0.2665,0.285,0.14,0.875,0.174,0.505,12.0
0.305,0.156,0.091,0.1,0.325,0.0505,0.415,6.0
0.375,0.266,0.169,0.12,0.5805,0.0935,0.47,8.0
0.385,0.3065,0.1775,0.125,0.609,0.096,0.49,8.0
0.4,0.27,0.166,0.125,0.5975,0.1275,0.5,9.0
0.44,0.3415,0.239,0.14,0.8275,0.1855,0.505,8.0
0.395,0.3375,0.225,0.13,0.7635,0.1425,0.525,8.0
0.405,0.4815,0.202,0.125,0.891,0.1915,0.54,9.0
0.45,0.407,0.2875,0.15,1.0145,0.2015,0.55,10.0
0.435,0.4985,0.2385,0.145,0.9685,0.168,0.555,9.0
0.45,0.4735,0.265,0.155,1.0595,0.24,0.565,10.0
0.455,0.3895,0.2745,0.15,0.952,0.2155,0.57,9.0
0.435,0.349,0.194,0.13,0.7535,0.1755,0.57,10.0
0.475,0.4545,0.3095,0.165,1.077,0.244,0.59,9.0
0.46,0.455,0.33,0.13,1.102,0.2055,0.59,12.0
0.475,0.549,0.36,0.175,1.3445,0.2875,0.6,11.0
0.495,0.606,0.3445,0.175,1.29,0.276,0.6,11.0
0.455,0.421,0.325,0.16,1.1035,0.3015,0.605,9.0
0.51,0.545,0.32,0.15,1.296,0.3315,0.615,9.0
0.505,0.5315,0.41,0.165,1.34,0.2815,0.615,12.0
0.5,0.6355,0.315,0.165,1.307,0.2545,0.62,9.0
0.505,0.4525,0.406,0.165,1.26,0.2755,0.63,14.0
0.51,0.619,0.39,0.17,1.3555,0.305,0.635,9.0
0.525,0.675,0.399,0.175,1.4715,0.315,0.65,11.0
0.52,0.586,0.405,0.165,1.4095,0.291,0.655,9.0
0.58,0.959,0.601,0.205,2.0805,0.3415,0.655,17.0
0.53,0.5905,0.453,0.17,1.3905,0.212,0.66,15.0
0.52,0.755,0.4,0.19,1.558,0.298,0.66,10.0
0.595,1.1465,0.897,0.23,2.8255,0.419,0.73,17.0
0.365,0.327,0.14,0.12,0.612,0.15,0.47,8.0
0.37,0.222,0.15,0.125,0.537,0.1215,0.475,9.0
0.375,0.3205,0.17,0.115,0.6765,0.1065,0.48,6.0
0.385,0.2925,0.1575,0.145,0.64,0.1405,0.48,6.0
0.36,0.194,0.115,0.1,0.439,0.099,0.48,8.0
0.365,0.312,0.14,0.12,0.6015,0.117,0.48,7.0
0.385,0.32,0.1695,0.125,0.649,0.124,0.49,8.0
0.395,0.3035,0.1495,0.135,0.6335,0.1295,0.495,8.0
0.4,0.272,0.144,0.135,0.61,0.1435,0.495,7.0
0.39,0.3145,0.1565,0.135,0.6595,0.1535,0.5,6.0
0.385,0.3195,0.1535,0.135,0.6425,0.129,0.5,7.0
0.4,0.336,0.1825,0.125,0.6725,0.12,0.5,7.0
0.41,0.289,0.155,0.125,0.642,0.133,0.505,9.0
0.39,0.3935,0.19,0.135,0.769,0.1455,0.51,8.0
0.405,0.347,0.1885,0.15,0.7035,0.134,0.51,8.0
0.41,0.3865,0.1955,0.145,0.796,0.1815,0.51,8.0
0.39,0.3695,0.155,0.155,0.7125,0.137,0.515,7.0
0.4,0.334,0.17,0.14,0.7325,0.1575,0.525,11.0
0.405,0.2715,0.186,0.125,0.6515,0.1605,0.53,7.0
0.43,0.2855,0.2155,0.14,0.7165,0.1595,0.535,8.0
0.435,0.3735,0.2195,0.14,0.874,0.229,0.535,8.0
0.45,0.5625,0.295,0.155,1.195,0.2565,0.57,10.0
0.45,0.513,0.343,0.155,1.1935,0.21,0.57,10.0
0.445,0.5265,0.24,0.14,1.0635,0.2195,0.57,8.0
0.46,0.4075,0.214,0.17,0.9035,0.1935,0.57,7.0
0.475,0.4955,0.29,0.16,1.114,0.2745,0.575,9.0
0.455,0.4985,0.2835,0.15,1.012,0.2115,0.58,10.0
0.49,0.586,0.237,0.13,1.1335,0.2565,0.58,9.0
0.465,0.5245,0.275,0.155,1.136,0.2615,0.59,11.0
0.47,0.479,0.309,0.16,1.206,0.2425,0.59,8.0
0.475,0.621,0.274,0.165,1.213,0.2435,0.595,9.0
0.455,0.518,0.27,0.15,1.044,0.2205,0.595,9.0
0.475,0.572,0.275,0.155,1.161,0.2455,0.605,9.0
0.47,0.6025,0.2925,0.165,1.2315,0.262,0.605,11.0
0.47,0.565,0.3085,0.15,1.1625,0.258,0.61,11.0
0.475,0.554,0.3295,0.155,1.168,0.239,0.61,10.0
0.49,0.5705,0.405,0.175,1.3325,0.271,0.625,10.0
0.485,0.637,0.31,0.155,1.278,0.275,0.63,8.0
0.48,0.5185,0.3235,0.15,1.1785,0.248,0.63,8.0
0.49,0.623,0.395,0.175,1.375,0.2705,0.635,11.0
0.525,0.684,0.3745,0.185,1.4065,0.3,0.635,10.0
0.505,0.705,0.335,0.155,1.4025,0.2655,0.64,10.0
0.52,0.779,0.432,0.175,1.636,0.342,0.645,11.0
0.52,0.709,0.4,0.175,1.561,0.3555,0.645,8.0
0.5,0.633,0.349,0.175,1.3385,0.299,0.645,11.0
0.495,0.57,0.3725,0.16,1.304,0.312,0.65,9.0
0.52,0.6665,0.46,0.21,1.6785,0.308,0.65,11.0
0.525,0.6645,0.477,0.185,1.622,0.3225,0.65,10.0
0.535,0.6425,0.5175,0.19,1.5905,0.297,0.66,9.0
0.495,0.594,0.485,0.195,1.6275,0.3595,0.66,10.0
0.525,0.682,0.4005,0.165,1.6085,0.3145,0.67,11.0
