weight,year,origin,cylinders,acceleration,mpg,displacement
3012.0,76.0,1.0,6.0,17.6,24.0,200.0
3085.0,76.0,1.0,6.0,17.6,22.5,232.0
2035.0,76.0,1.0,4.0,22.2,29.0,85.0
2164.0,76.0,1.0,4.0,22.1,24.5,98.0
1937.0,76.0,2.0,4.0,14.2,29.0,90.0
1795.0,76.0,3.0,4.0,17.4,33.0,91.0
3651.0,76.0,1.0,6.0,17.7,20.0,225.0
3574.0,76.0,1.0,6.0,21.0,18.0,250.0
3645.0,76.0,1.0,6.0,16.2,18.5,250.0
3193.0,76.0,1.0,6.0,17.8,17.5,258.0
1825.0,76.0,2.0,4.0,12.2,29.5,97.0
1990.0,76.0,3.0,4.0,17.0,32.0,85.0
2155.0,76.0,3.0,4.0,16.4,28.0,97.0
2565.0,76.0,1.0,4.0,13.6,26.5,140.0
3150.0,76.0,2.0,4.0,15.7,20.0,130.0
3940.0,76.0,1.0,8.0,13.2,13.0,318.0
3270.0,76.0,2.0,4.0,21.9,19.0,120.0
2930.0,76.0,3.0,6.0,15.5,19.0,156.0
3820.0,76.0,2.0,6.0,16.7,16.5,168.0
4380.0,76.0,1.0,8.0,12.1,16.5,350.0
4055.0,76.0,1.0,8.0,12.0,13.0,350.0
3870.0,76.0,1.0,8.0,15.0,13.0,302.0
3755.0,76.0,1.0,8.0,14.0,13.0,318.0
2045.0,77.0,3.0,4.0,18.5,31.5,98.0
2155.0,77.0,1.0,4.0,14.8,30.0,111.0
1825.0,77.0,2.0,4.0,18.6,36.0,79.0
2300.0,77.0,1.0,4.0,15.5,25.5,122.0
1945.0,77.0,3.0,4.0,16.8,33.5,85.0
3880.0,77.0,1.0,8.0,12.5,17.5,305.0
4060.0,77.0,1.0,8.0,19.0,17.0,260.0
4140.0,77.0,1.0,8.0,13.7,15.5,318.0
4295.0,77.0,1.0,8.0,14.9,15.0,302.0
3520.0,77.0,1.0,6.0,16.4,17.5,250.0
3425.0,77.0,1.0,6.0,16.9,20.5,231.0
3630.0,77.0,1.0,6.0,17.7,19.0,225.0
3525.0,77.0,1.0,6.0,19.0,18.5,250.0
4220.0,77.0,1.0,8.0,11.1,16.0,400.0
4165.0,77.0,1.0,8.0,11.4,15.5,350.0
4325.0,77.0,1.0,8.0,12.2,15.5,400.0
4335.0,77.0,1.0,8.0,14.5,16.0,351.0
1940.0,77.0,2.0,4.0,14.5,29.0,97.0
2740.0,77.0,1.0,4.0,16.0,24.5,151.0
2265.0,77.0,3.0,4.0,18.2,26.0,97.0
2755.0,77.0,1.0,4.0,15.8,25.5,140.0
2051.0,77.0,1.0,4.0,17.0,30.5,98.0
2075.0,77.0,1.0,4.0,15.9,33.5,98.0
1985.0,77.0,3.0,4.0,16.4,30.0,97.0
2190.0,77.0,2.0,4.0,14.1,30.5,97.0
2815.0,77.0,3.0,6.0,14.5,22.0,146.0
2600.0,77.0,2.0,4.0,12.8,21.5,121.0
2720.0,77.0,3.0,3.0,13.5,21.5,80.0
1985.0,78.0,2.0,4.0,21.5,43.1,90.0
1800.0,78.0,1.0,4.0,14.4,36.1,98.0
1985.0,78.0,3.0,4.0,19.4,32.8,78.0
2070.0,78.0,3.0,4.0,18.6,39.4,85.0
1800.0,78.0,3.0,4.0,16.4,36.1,91.0
3365.0,78.0,1.0,8.0,15.5,19.9,260.0
3735.0,78.0,1.0,8.0,13.2,19.4,318.0
3570.0,78.0,1.0,8.0,12.8,20.2,302.0
3535.0,78.0,1.0,6.0,19.2,19.2,231.0
3155.0,78.0,1.0,6.0,18.2,20.5,200.0
2965.0,78.0,1.0,6.0,15.8,20.2,200.0
2720.0,78.0,1.0,4.0,15.4,25.1,140.0
3430.0,78.0,1.0,6.0,17.2,20.5,225.0
3210.0,78.0,1.0,6.0,17.2,19.4,232.0
3380.0,78.0,1.0,6.0,15.8,20.6,231.0
3070.0,78.0,1.0,6.0,16.7,20.8,200.0
3620.0,78.0,1.0,6.0,18.7,18.6,225.0
3410.0,78.0,1.0,6.0,15.1,18.1,258.0
3425.0,78.0,1.0,8.0,13.2,19.2,305.0
3445.0,78.0,1.0,6.0,13.4,17.7,231.0
3205.0,78.0,1.0,8.0,11.2,18.1,302.0
4080.0,78.0,1.0,8.0,13.7,17.5,318.0
2155.0,78.0,1.0,4.0,16.5,30.0,98.0
2560.0,78.0,3.0,4.0,14.2,27.5,134.0
2300.0,78.0,3.0,4.0,14.7,27.2,119.0
2230.0,78.0,1.0,4.0,14.5,30.9,105.0
2515.0,78.0,3.0,4.0,14.8,21.1,134.0
2745.0,78.0,1.0,4.0,16.7,23.2,156.0
2855.0,78.0,1.0,4.0,17.6,23.8,151.0
2405.0,78.0,3.0,4.0,14.9,23.9,119.0
2830.0,78.0,2.0,5.0,15.9,20.3,131.0
3140.0,78.0,2.0,6.0,13.6,17.0,163.0
2795.0,78.0,2.0,4.0,15.7,21.6,121.0
3410.0,78.0,2.0,6.0,15.8,16.2,163.0
1990.0,78.0,2.0,4.0,14.9,31.5,89.0
2135.0,78.0,3.0,4.0,16.6,29.5,98.0
3245.0,79.0,1.0,6.0,15.4,21.5,231.0
2990.0,79.0,1.0,6.0,18.2,19.8,200.0
2890.0,79.0,1.0,4.0,17.3,22.3,140.0
3265.0,79.0,1.0,6.0,18.2,20.2,232.0
3360.0,79.0,1.0,6.0,16.6,20.6,225.0
3840.0,79.0,1.0,8.0,15.4,17.0,305.0
3725.0,79.0,1.0,8.0,13.4,17.6,302.0
3955.0,79.0,1.0,8.0,13.2,16.5,351.0
3830.0,79.0,1.0,8.0,15.2,18.2,318.0
4360.0,79.0,1.0,8.0,14.9,16.9,350.0
4054.0,79.0,1.0,8.0,14.3,15.5,351.0
3605.0,79.0,1.0,8.0,15.0,19.2,267.0
3940.0,79.0,1.0,8.0,13.0,18.5,360.0
1925.0,79.0,2.0,4.0,14.0,31.9,89.0
1975.0,79.0,3.0,4.0,15.2,34.1,86.0
1915.0,79.0,1.0,4.0,14.4,35.7,98.0
2670.0,79.0,1.0,4.0,15.0,27.4,121.0
3530.0,79.0,2.0,5.0,20.1,25.4,183.0
3900.0,79.0,1.0,8.0,17.4,23.0,350.0
3190.0,79.0,2.0,4.0,24.8,27.2,141.0
3420.0,79.0,1.0,8.0,22.2,23.9,260.0
2200.0,79.0,1.0,4.0,13.2,34.2,105.0
2150.0,79.0,1.0,4.0,14.9,34.5,105.0
2020.0,79.0,3.0,4.0,19.2,31.8,85.0
2130.0,79.0,2.0,4.0,14.7,37.3,91.0
2670.0,79.0,1.0,4.0,16.0,28.4,151.0
2595.0,79.0,1.0,6.0,11.3,28.8,173.0
2700.0,79.0,1.0,6.0,12.9,26.8,173.0
2556.0,79.0,1.0,4.0,13.2,33.5,151.0
2144.0,80.0,2.0,4.0,14.7,41.5,98.0
1968.0,80.0,3.0,4.0,18.8,38.1,89.0
2120.0,80.0,1.0,4.0,15.5,32.1,98.0
2019.0,80.0,3.0,4.0,16.4,37.2,86.0
2678.0,80.0,1.0,4.0,16.5,28.0,151.0
2870.0,80.0,1.0,4.0,18.1,26.4,140.0
3003.0,80.0,1.0,4.0,20.1,24.3,151.0
3381.0,80.0,1.0,6.0,18.7,19.1,225.0
2188.0,80.0,2.0,4.0,15.8,34.3,97.0
2711.0,80.0,3.0,4.0,15.5,29.8,134.0
2542.0,80.0,3.0,4.0,17.5,31.3,120.0
2434.0,80.0,3.0,4.0,15.0,37.0,119.0
2265.0,80.0,3.0,4.0,15.2,32.2,108.0
2110.0,80.0,3.0,4.0,17.9,46.6,86.0
2800.0,80.0,1.0,4.0,14.4,27.9,156.0
2110.0,80.0,3.0,4.0,19.2,40.8,85.0
2085.0,80.0,2.0,4.0,21.7,44.3,90.0
2335.0,80.0,2.0,4.0,23.7,43.4,90.0
2950.0,80.0,2.0,5.0,19.9,36.4,121.0
3250.0,80.0,2.0,4.0,21.8,30.0,146.0
1850.0,80.0,3.0,4.0,13.8,44.6,91.0
1835.0,80.0,2.0,4.0,17.3,40.9,85.0
2145.0,80.0,3.0,4.0,18.0,33.8,97.0
1845.0,80.0,2.0,4.0,15.3,29.8,89.0
2910.0,80.0,3.0,6.0,11.4,32.7,168.0
2420.0,80.0,3.0,3.0,12.5,23.7,70.0
2500.0,80.0,2.0,4.0,15.1,35.0,122.0
2905.0,80.0,1.0,4.0,14.3,23.6,140.0
2290.0,80.0,3.0,4.0,17.0,32.4,107.0
2490.0,81.0,1.0,4.0,15.7,27.2,135.0
2635.0,81.0,1.0,4.0,16.4,26.6,151.0
2620.0,81.0,1.0,4.0,14.4,25.8,156.0
2725.0,81.0,1.0,6.0,12.6,23.5,173.0
2385.0,81.0,1.0,4.0,12.9,30.0,135.0
1755.0,81.0,3.0,4.0,16.9,39.1,79.0
1875.0,81.0,1.0,4.0,16.4,39.0,86.0
1760.0,81.0,3.0,4.0,16.1,35.1,81.0
2065.0,81.0,3.0,4.0,17.8,32.3,97.0
1975.0,81.0,3.0,4.0,19.4,37.0,85.0
2050.0,81.0,3.0,4.0,17.3,37.7,89.0
1985.0,81.0,3.0,4.0,16.0,34.1,91.0
2215.0,81.0,1.0,4.0,14.9,34.7,105.0
2045.0,81.0,1.0,4.0,16.2,34.4,98.0
2380.0,81.0,1.0,4.0,20.7,29.9,98.0
2190.0,81.0,2.0,4.0,14.2,33.0,105.0
2320.0,81.0,2.0,4.0,15.8,34.5,100.0
2210.0,81.0,3.0,4.0,14.4,33.7,107.0
2350.0,81.0,3.0,4.0,16.8,32.4,108.0
2615.0,81.0,3.0,4.0,14.8,32.9,119.0
2635.0,81.0,3.0,4.0,18.3,31.6,120.0
3230.0,81.0,2.0,4.0,20.4,28.1,141.0
3160.0,81.0,2.0,6.0,19.6,30.7,145.0
2900.0,81.0,3.0,6.0,12.6,25.4,168.0
2930.0,81.0,3.0,6.0,13.8,24.2,146.0
3415.0,81.0,1.0,6.0,15.8,22.4,231.0
3725.0,81.0,1.0,8.0,19.0,26.6,350.0
3060.0,81.0,1.0,6.0,17.1,20.2,200.0
3465.0,81.0,1.0,6.0,16.6,17.6,225.0
2605.0,82.0,1.0,4.0,19.6,28.0,112.0
2640.0,82.0,1.0,4.0,18.6,27.0,112.0
2395.0,82.0,1.0,4.0,18.0,34.0,112.0
2575.0,82.0,1.0,4.0,16.2,31.0,112.0
2525.0,82.0,1.0,4.0,16.0,29.0,135.0
2735.0,82.0,1.0,4.0,18.0,27.0,151.0
2865.0,82.0,1.0,4.0,16.4,24.0,140.0
1980.0,82.0,2.0,4.0,15.3,36.0,105.0
2025.0,82.0,3.0,4.0,18.2,37.0,91.0
1970.0,82.0,3.0,4.0,17.6,31.0,91.0
2125.0,82.0,1.0,4.0,14.7,38.0,105.0
2125.0,82.0,1.0,4.0,17.3,36.0,98.0
2160.0,82.0,3.0,4.0,14.5,36.0,120.0
2205.0,82.0,3.0,4.0,14.5,36.0,107.0
2245.0,82.0,3.0,4.0,16.9,34.0,108.0
1965.0,82.0,3.0,4.0,15.0,38.0,91.0
1965.0,82.0,3.0,4.0,15.7,32.0,91.0
1995.0,82.0,3.0,4.0,16.2,38.0,91.0
2945.0,82.0,1.0,6.0,16.4,25.0,181.0
3015.0,82.0,1.0,6.0,17.0,38.0,262.0
2585.0,82.0,1.0,4.0,14.5,26.0,156.0
2835.0,82.0,1.0,6.0,14.7,22.0,232.0
2665.0,82.0,3.0,4.0,13.9,32.0,144.0
2370.0,82.0,1.0,4.0,13.0,36.0,135.0
2950.0,82.0,1.0,4.0,17.3,27.0,151.0
2790.0,82.0,1.0,4.0,15.6,27.0,140.0
2130.0,82.0,2.0,4.0,24.6,44.0,97.0
2295.0,82.0,1.0,4.0,11.6,32.0,135.0
2625.0,82.0,1.0,4.0,18.6,28.0,120.0
2720.0,82.0,1.0,4.0,19.4,31.0,119.0
