weight,year,mpg,acceleration,origin,cylinders,displacement
2126.0,72.0,25.0,17.0,1.0,4.0,97.5
2254.0,72.0,23.0,23.5,2.0,4.0,97.0
2408.0,72.0,20.0,19.5,1.0,4.0,140.0
2226.0,72.0,21.0,16.5,1.0,4.0,122.0
4274.0,72.0,13.0,12.0,1.0,8.0,350.0
4385.0,72.0,14.0,12.0,1.0,8.0,400.0
4135.0,72.0,15.0,13.5,1.0,8.0,318.0
4129.0,72.0,14.0,13.0,1.0,8.0,351.0
3672.0,72.0,17.0,11.5,1.0,8.0,304.0
4633.0,72.0,11.0,11.0,1.0,8.0,429.0
4502.0,72.0,13.0,13.5,1.0,8.0,350.0
4456.0,72.0,12.0,13.5,1.0,8.0,350.0
4422.0,72.0,13.0,12.5,1.0,8.0,400.0
2330.0,72.0,19.0,13.5,3.0,3.0,70.0
3892.0,72.0,15.0,12.5,1.0,8.0,304.0
4098.0,72.0,13.0,14.0,1.0,8.0,307.0
4294.0,72.0,13.0,16.0,1.0,8.0,302.0
4077.0,72.0,14.0,14.0,1.0,8.0,318.0
2933.0,72.0,18.0,14.5,2.0,4.0,121.0
2511.0,72.0,22.0,18.0,2.0,4.0,121.0
2979.0,72.0,21.0,19.5,2.0,4.0,120.0
2189.0,72.0,26.0,18.0,2.0,4.0,96.0
2395.0,72.0,22.0,16.0,1.0,4.0,122.0
2288.0,72.0,28.0,17.0,3.0,4.0,97.0
2506.0,72.0,23.0,14.5,3.0,4.0,120.0
2164.0,72.0,28.0,15.0,1.0,4.0,98.0
2100.0,72.0,27.0,16.5,3.0,4.0,97.0
4100.0,73.0,13.0,13.0,1.0,8.0,350.0
3672.0,73.0,14.0,11.5,1.0,8.0,304.0
3988.0,73.0,13.0,13.0,1.0,8.0,350.0
4042.0,73.0,14.0,14.5,1.0,8.0,302.0
3777.0,73.0,15.0,12.5,1.0,8.0,318.0
4952.0,73.0,12.0,11.5,1.0,8.0,429.0
4464.0,73.0,13.0,12.0,1.0,8.0,400.0
4363.0,73.0,13.0,13.0,1.0,8.0,351.0
4237.0,73.0,14.0,14.5,1.0,8.0,318.0
4735.0,73.0,13.0,11.0,1.0,8.0,440.0
4951.0,73.0,12.0,11.0,1.0,8.0,455.0
3821.0,73.0,13.0,11.0,1.0,8.0,360.0
3121.0,73.0,18.0,16.5,1.0,6.0,225.0
3278.0,73.0,16.0,18.0,1.0,6.0,250.0
2945.0,73.0,18.0,16.0,1.0,6.0,232.0
3021.0,73.0,18.0,16.5,1.0,6.0,250.0
2904.0,73.0,23.0,16.0,1.0,6.0,198.0
1950.0,73.0,26.0,21.0,2.0,4.0,97.0
4997.0,73.0,11.0,14.0,1.0,8.0,400.0
4906.0,73.0,12.0,12.5,1.0,8.0,400.0
4654.0,73.0,13.0,13.0,1.0,8.0,360.0
4499.0,73.0,12.0,12.5,1.0,8.0,350.0
2789.0,73.0,18.0,15.0,1.0,6.0,232.0
2279.0,73.0,20.0,19.0,3.0,4.0,97.0
2401.0,73.0,21.0,19.5,1.0,4.0,140.0
2379.0,73.0,22.0,16.5,3.0,4.0,108.0
2124.0,73.0,18.0,13.5,3.0,3.0,70.0
2310.0,73.0,19.0,18.5,1.0,4.0,122.0
2472.0,73.0,21.0,14.0,1.0,6.0,155.0
2265.0,73.0,26.0,15.5,2.0,4.0,98.0
4082.0,73.0,15.0,13.0,1.0,8.0,350.0
4278.0,73.0,16.0,9.5,1.0,8.0,400.0
1867.0,73.0,29.0,19.5,2.0,4.0,68.0
2158.0,73.0,24.0,15.5,2.0,4.0,116.0
2582.0,73.0,20.0,14.0,2.0,4.0,114.0
2868.0,73.0,19.0,15.5,2.0,4.0,121.0
3399.0,73.0,15.0,11.0,1.0,8.0,318.0
2660.0,73.0,24.0,14.0,2.0,4.0,121.0
2807.0,73.0,20.0,13.5,3.0,6.0,156.0
3664.0,73.0,11.0,11.0,1.0,8.0,350.0
3102.0,74.0,20.0,16.5,1.0,6.0,198.0
2875.0,74.0,21.0,17.0,1.0,6.0,200.0
2901.0,74.0,19.0,16.0,1.0,6.0,232.0
3336.0,74.0,15.0,17.0,1.0,6.0,250.0
1950.0,74.0,31.0,19.0,3.0,4.0,79.0
2451.0,74.0,26.0,16.5,1.0,4.0,122.0
1836.0,74.0,32.0,21.0,3.0,4.0,71.0
2542.0,74.0,25.0,17.0,1.0,4.0,140.0
3781.0,74.0,16.0,17.0,1.0,6.0,250.0
3632.0,74.0,16.0,18.0,1.0,6.0,258.0
3613.0,74.0,18.0,16.5,1.0,6.0,225.0
4141.0,74.0,16.0,14.0,1.0,8.0,302.0
4699.0,74.0,13.0,14.5,1.0,8.0,350.0
4457.0,74.0,14.0,13.5,1.0,8.0,318.0
4638.0,74.0,14.0,16.0,1.0,8.0,302.0
4257.0,74.0,14.0,15.5,1.0,8.0,304.0
2219.0,74.0,29.0,16.5,2.0,4.0,98.0
1963.0,74.0,26.0,15.5,2.0,4.0,79.0
2300.0,74.0,26.0,14.5,2.0,4.0,97.0
1649.0,74.0,31.0,16.5,3.0,4.0,76.0
2003.0,74.0,32.0,19.0,3.0,4.0,83.0
2125.0,74.0,28.0,14.5,1.0,4.0,90.0
2108.0,74.0,24.0,15.5,2.0,4.0,90.0
2246.0,74.0,26.0,14.0,2.0,4.0,116.0
2489.0,74.0,24.0,15.0,3.0,4.0,120.0
2391.0,74.0,26.0,15.5,3.0,4.0,108.0
2000.0,74.0,31.0,16.0,2.0,4.0,79.0
3264.0,75.0,19.0,16.0,1.0,6.0,225.0
3459.0,75.0,18.0,16.0,1.0,6.0,250.0
3432.0,75.0,15.0,21.0,1.0,6.0,250.0
3158.0,75.0,15.0,19.5,1.0,6.0,250.0
4668.0,75.0,16.0,11.5,1.0,8.0,400.0
4440.0,75.0,15.0,14.0,1.0,8.0,350.0
4498.0,75.0,16.0,14.5,1.0,8.0,318.0
4657.0,75.0,14.0,13.5,1.0,8.0,351.0
3907.0,75.0,17.0,21.0,1.0,6.0,231.0
3897.0,75.0,16.0,18.5,1.0,6.0,250.0
3730.0,75.0,15.0,19.0,1.0,6.0,258.0
3785.0,75.0,18.0,19.0,1.0,6.0,225.0
3039.0,75.0,21.0,15.0,1.0,6.0,231.0
3221.0,75.0,20.0,13.5,1.0,8.0,262.0
3169.0,75.0,13.0,12.0,1.0,8.0,302.0
2171.0,75.0,29.0,16.0,3.0,4.0,97.0
2639.0,75.0,23.0,17.0,1.0,4.0,140.0
2914.0,75.0,20.0,16.0,1.0,6.0,232.0
2592.0,75.0,23.0,18.5,1.0,4.0,140.0
2702.0,75.0,24.0,13.5,3.0,4.0,134.0
2223.0,75.0,25.0,16.5,2.0,4.0,90.0
2545.0,75.0,24.0,17.0,3.0,4.0,119.0
2984.0,75.0,18.0,14.5,1.0,6.0,171.0
1937.0,75.0,29.0,14.0,2.0,4.0,90.0
3211.0,75.0,19.0,17.0,1.0,6.0,232.0
2694.0,75.0,23.0,15.0,2.0,4.0,115.0
2957.0,75.0,23.0,17.0,2.0,4.0,120.0
2945.0,75.0,22.0,14.5,2.0,4.0,121.0
2671.0,75.0,25.0,13.5,2.0,4.0,121.0
1795.0,75.0,33.0,17.5,3.0,4.0,91.0
2464.0,76.0,28.0,15.5,2.0,4.0,107.0
2220.0,76.0,25.0,16.9,2.0,4.0,116.0
2572.0,76.0,25.0,14.9,1.0,4.0,140.0
2255.0,76.0,26.0,17.7,1.0,4.0,98.0
2202.0,76.0,27.0,15.3,2.0,4.0,101.0
4215.0,76.0,17.5,13.0,1.0,8.0,305.0
4190.0,76.0,16.0,13.0,1.0,8.0,318.0
3962.0,76.0,15.5,13.9,1.0,8.0,304.0
4215.0,76.0,14.5,12.8,1.0,8.0,351.0
3233.0,76.0,22.0,15.4,1.0,6.0,225.0
3353.0,76.0,22.0,14.5,1.0,6.0,250.0
3012.0,76.0,24.0,17.6,1.0,6.0,200.0
3085.0,76.0,22.5,17.6,1.0,6.0,232.0
2035.0,76.0,29.0,22.2,1.0,4.0,85.0
2164.0,76.0,24.5,22.1,1.0,4.0,98.0
1937.0,76.0,29.0,14.2,2.0,4.0,90.0
1795.0,76.0,33.0,17.4,3.0,4.0,91.0
3651.0,76.0,20.0,17.7,1.0,6.0,225.0
3574.0,76.0,18.0,21.0,1.0,6.0,250.0
3645.0,76.0,18.5,16.2,1.0,6.0,250.0
3193.0,76.0,17.5,17.8,1.0,6.0,258.0
1825.0,76.0,29.5,12.2,2.0,4.0,97.0
1990.0,76.0,32.0,17.0,3.0,4.0,85.0
2155.0,76.0,28.0,16.4,3.0,4.0,97.0
2565.0,76.0,26.5,13.6,1.0,4.0,140.0
3150.0,76.0,20.0,15.7,2.0,4.0,130.0
3940.0,76.0,13.0,13.2,1.0,8.0,318.0
3270.0,76.0,19.0,21.9,2.0,4.0,120.0
2930.0,76.0,19.0,15.5,3.0,6.0,156.0
3820.0,76.0,16.5,16.7,2.0,6.0,168.0
4380.0,76.0,16.5,12.1,1.0,8.0,350.0
4055.0,76.0,13.0,12.0,1.0,8.0,350.0
3870.0,76.0,13.0,15.0,1.0,8.0,302.0
3755.0,76.0,13.0,14.0,1.0,8.0,318.0
2045.0,77.0,31.5,18.5,3.0,4.0,98.0
2155.0,77.0,30.0,14.8,1.0,4.0,111.0
1825.0,77.0,36.0,18.6,2.0,4.0,79.0
2300.0,77.0,25.5,15.5,1.0,4.0,122.0
1945.0,77.0,33.5,16.8,3.0,4.0,85.0
3880.0,77.0,17.5,12.5,1.0,8.0,305.0
4060.0,77.0,17.0,19.0,1.0,8.0,260.0
4140.0,77.0,15.5,13.7,1.0,8.0,318.0
4295.0,77.0,15.0,14.9,1.0,8.0,302.0
3520.0,77.0,17.5,16.4,1.0,6.0,250.0
3425.0,77.0,20.5,16.9,1.0,6.0,231.0
3630.0,77.0,19.0,17.7,1.0,6.0,225.0
3525.0,77.0,18.5,19.0,1.0,6.0,250.0
4220.0,77.0,16.0,11.1,1.0,8.0,400.0
4165.0,77.0,15.5,11.4,1.0,8.0,350.0
4325.0,77.0,15.5,12.2,1.0,8.0,400.0
4335.0,77.0,16.0,14.5,1.0,8.0,351.0
1940.0,77.0,29.0,14.5,2.0,4.0,97.0
2740.0,77.0,24.5,16.0,1.0,4.0,151.0
2265.0,77.0,26.0,18.2,3.0,4.0,97.0
2755.0,77.0,25.5,15.8,1.0,4.0,140.0
2051.0,77.0,30.5,17.0,1.0,4.0,98.0
2075.0,77.0,33.5,15.9,1.0,4.0,98.0
1985.0,77.0,30.0,16.4,3.0,4.0,97.0
2190.0,77.0,30.5,14.1,2.0,4.0,97.0
2815.0,77.0,22.0,14.5,3.0,6.0,146.0
2600.0,77.0,21.5,12.8,2.0,4.0,121.0
2720.0,77.0,21.5,13.5,3.0,3.0,80.0
1985.0,78.0,43.1,21.5,2.0,4.0,90.0
1800.0,78.0,36.1,14.4,1.0,4.0,98.0
1985.0,78.0,32.8,19.4,3.0,4.0,78.0
2070.0,78.0,39.4,18.6,3.0,4.0,85.0
1800.0,78.0,36.1,16.4,3.0,4.0,91.0
3365.0,78.0,19.9,15.5,1.0,8.0,260.0
3735.0,78.0,19.4,13.2,1.0,8.0,318.0
3570.0,78.0,20.2,12.8,1.0,8.0,302.0
3535.0,78.0,19.2,19.2,1.0,6.0,231.0
3155.0,78.0,20.5,18.2,1.0,6.0,200.0
2965.0,78.0,20.2,15.8,1.0,6.0,200.0
2720.0,78.0,25.1,15.4,1.0,4.0,140.0
3430.0,78.0,20.5,17.2,1.0,6.0,225.0
3210.0,78.0,19.4,17.2,1.0,6.0,232.0
3380.0,78.0,20.6,15.8,1.0,6.0,231.0
3070.0,78.0,20.8,16.7,1.0,6.0,200.0
3620.0,78.0,18.6,18.7,1.0,6.0,225.0
3410.0,78.0,18.1,15.1,1.0,6.0,258.0
3425.0,78.0,19.2,13.2,1.0,8.0,305.0
3445.0,78.0,17.7,13.4,1.0,6.0,231.0
3205.0,78.0,18.1,11.2,1.0,8.0,302.0
4080.0,78.0,17.5,13.7,1.0,8.0,318.0
2155.0,78.0,30.0,16.5,1.0,4.0,98.0
2560.0,78.0,27.5,14.2,3.0,4.0,134.0
2300.0,78.0,27.2,14.7,3.0,4.0,119.0
2230.0,78.0,30.9,14.5,1.0,4.0,105.0
2515.0,78.0,21.1,14.8,3.0,4.0,134.0
2745.0,78.0,23.2,16.7,1.0,4.0,156.0
2855.0,78.0,23.8,17.6,1.0,4.0,151.0
2405.0,78.0,23.9,14.9,3.0,4.0,119.0
2830.0,78.0,20.3,15.9,2.0,5.0,131.0
3140.0,78.0,17.0,13.6,2.0,6.0,163.0
2795.0,78.0,21.6,15.7,2.0,4.0,121.0
3410.0,78.0,16.2,15.8,2.0,6.0,163.0
1990.0,78.0,31.5,14.9,2.0,4.0,89.0
2135.0,78.0,29.5,16.6,3.0,4.0,98.0
3245.0,79.0,21.5,15.4,1.0,6.0,231.0
2990.0,79.0,19.8,18.2,1.0,6.0,200.0
2890.0,79.0,22.3,17.3,1.0,4.0,140.0
3265.0,79.0,20.2,18.2,1.0,6.0,232.0
3360.0,79.0,20.6,16.6,1.0,6.0,225.0
3840.0,79.0,17.0,15.4,1.0,8.0,305.0
3725.0,79.0,17.6,13.4,1.0,8.0,302.0
3955.0,79.0,16.5,13.2,1.0,8.0,351.0
3830.0,79.0,18.2,15.2,1.0,8.0,318.0
4360.0,79.0,16.9,14.9,1.0,8.0,350.0
4054.0,79.0,15.5,14.3,1.0,8.0,351.0
3605.0,79.0,19.2,15.0,1.0,8.0,267.0
3940.0,79.0,18.5,13.0,1.0,8.0,360.0
1925.0,79.0,31.9,14.0,2.0,4.0,89.0
1975.0,79.0,34.1,15.2,3.0,4.0,86.0
1915.0,79.0,35.7,14.4,1.0,4.0,98.0
2670.0,79.0,27.4,15.0,1.0,4.0,121.0
3530.0,79.0,25.4,20.1,2.0,5.0,183.0
3900.0,79.0,23.0,17.4,1.0,8.0,350.0
3190.0,79.0,27.2,24.8,2.0,4.0,141.0
3420.0,79.0,23.9,22.2,1.0,8.0,260.0
2200.0,79.0,34.2,13.2,1.0,4.0,105.0
2150.0,79.0,34.5,14.9,1.0,4.0,105.0
2020.0,79.0,31.8,19.2,3.0,4.0,85.0
2130.0,79.0,37.3,14.7,2.0,4.0,91.0
2670.0,79.0,28.4,16.0,1.0,4.0,151.0
2595.0,79.0,28.8,11.3,1.0,6.0,173.0
2700.0,79.0,26.8,12.9,1.0,6.0,173.0
2556.0,79.0,33.5,13.2,1.0,4.0,151.0
2144.0,80.0,41.5,14.7,2.0,4.0,98.0
1968.0,80.0,38.1,18.8,3.0,4.0,89.0
2120.0,80.0,32.1,15.5,1.0,4.0,98.0
2019.0,80.0,37.2,16.4,3.0,4.0,86.0
2678.0,80.0,28.0,16.5,1.0,4.0,151.0
2870.0,80.0,26.4,18.1,1.0,4.0,140.0
3003.0,80.0,24.3,20.1,1.0,4.0,151.0
3381.0,80.0,19.1,18.7,1.0,6.0,225.0
2188.0,80.0,34.3,15.8,2.0,4.0,97.0
2711.0,80.0,29.8,15.5,3.0,4.0,134.0
2542.0,80.0,31.3,17.5,3.0,4.0,120.0
2434.0,80.0,37.0,15.0,3.0,4.0,119.0
2265.0,80.0,32.2,15.2,3.0,4.0,108.0
2110.0,80.0,46.6,17.9,3.0,4.0,86.0
2800.0,80.0,27.9,14.4,1.0,4.0,156.0
2110.0,80.0,40.8,19.2,3.0,4.0,85.0
2085.0,80.0,44.3,21.7,2.0,4.0,90.0
2335.0,80.0,43.4,23.7,2.0,4.0,90.0
2950.0,80.0,36.4,19.9,2.0,5.0,121.0
3250.0,80.0,30.0,21.8,2.0,4.0,146.0
1850.0,80.0,44.6,13.8,3.0,4.0,91.0
1835.0,80.0,40.9,17.3,2.0,4.0,85.0
2145.0,80.0,33.8,18.0,3.0,4.0,97.0
1845.0,80.0,29.8,15.3,2.0,4.0,89.0
2910.0,80.0,32.7,11.4,3.0,6.0,168.0
2420.0,80.0,23.7,12.5,3.0,3.0,70.0
2500.0,80.0,35.0,15.1,2.0,4.0,122.0
2905.0,80.0,23.6,14.3,1.0,4.0,140.0
2290.0,80.0,32.4,17.0,3.0,4.0,107.0
2490.0,81.0,27.2,15.7,1.0,4.0,135.0
2635.0,81.0,26.6,16.4,1.0,4.0,151.0
2620.0,81.0,25.8,14.4,1.0,4.0,156.0
2725.0,81.0,23.5,12.6,1.0,6.0,173.0
2385.0,81.0,30.0,12.9,1.0,4.0,135.0
1755.0,81.0,39.1,16.9,3.0,4.0,79.0
1875.0,81.0,39.0,16.4,1.0,4.0,86.0
1760.0,81.0,35.1,16.1,3.0,4.0,81.0
2065.0,81.0,32.3,17.8,3.0,4.0,97.0
1975.0,81.0,37.0,19.4,3.0,4.0,85.0
2050.0,81.0,37.7,17.3,3.0,4.0,89.0
1985.0,81.0,34.1,16.0,3.0,4.0,91.0
2215.0,81.0,34.7,14.9,1.0,4.0,105.0
2045.0,81.0,34.4,16.2,1.0,4.0,98.0
2380.0,81.0,29.9,20.7,1.0,4.0,98.0
2190.0,81.0,33.0,14.2,2.0,4.0,105.0
2320.0,81.0,34.5,15.8,2.0,4.0,100.0
2210.0,81.0,33.7,14.4,3.0,4.0,107.0
2350.0,81.0,32.4,16.8,3.0,4.0,108.0
2615.0,81.0,32.9,14.8,3.0,4.0,119.0
2635.0,81.0,31.6,18.3,3.0,4.0,120.0
3230.0,81.0,28.1,20.4,2.0,4.0,141.0
3160.0,81.0,30.7,19.6,2.0,6.0,145.0
2900.0,81.0,25.4,12.6,3.0,6.0,168.0
2930.0,81.0,24.2,13.8,3.0,6.0,146.0
3415.0,81.0,22.4,15.8,1.0,6.0,231.0
3725.0,81.0,26.6,19.0,1.0,8.0,350.0
3060.0,81.0,20.2,17.1,1.0,6.0,200.0
3465.0,81.0,17.6,16.6,1.0,6.0,225.0
2605.0,82.0,28.0,19.6,1.0,4.0,112.0
2640.0,82.0,27.0,18.6,1.0,4.0,112.0
2395.0,82.0,34.0,18.0,1.0,4.0,112.0
2575.0,82.0,31.0,16.2,1.0,4.0,112.0
2525.0,82.0,29.0,16.0,1.0,4.0,135.0
2735.0,82.0,27.0,18.0,1.0,4.0,151.0
2865.0,82.0,24.0,16.4,1.0,4.0,140.0
1980.0,82.0,36.0,15.3,2.0,4.0,105.0
2025.0,82.0,37.0,18.2,3.0,4.0,91.0
1970.0,82.0,31.0,17.6,3.0,4.0,91.0
2125.0,82.0,38.0,14.7,1.0,4.0,105.0
2125.0,82.0,36.0,17.3,1.0,4.0,98.0
2160.0,82.0,36.0,14.5,3.0,4.0,120.0
2205.0,82.0,36.0,14.5,3.0,4.0,107.0
2245.0,82.0,34.0,16.9,3.0,4.0,108.0
1965.0,82.0,38.0,15.0,3.0,4.0,91.0
1965.0,82.0,32.0,15.7,3.0,4.0,91.0
1995.0,82.0,38.0,16.2,3.0,4.0,91.0
2945.0,82.0,25.0,16.4,1.0,6.0,181.0
3015.0,82.0,38.0,17.0,1.0,6.0,262.0
2585.0,82.0,26.0,14.5,1.0,4.0,156.0
2835.0,82.0,22.0,14.7,1.0,6.0,232.0
2665.0,82.0,32.0,13.9,3.0,4.0,144.0
2370.0,82.0,36.0,13.0,1.0,4.0,135.0
2950.0,82.0,27.0,17.3,1.0,4.0,151.0
2790.0,82.0,27.0,15.6,1.0,4.0,140.0
2130.0,82.0,44.0,24.6,2.0,4.0,97.0
2295.0,82.0,32.0,11.6,1.0,4.0,135.0
2625.0,82.0,28.0,18.6,1.0,4.0,120.0
2720.0,82.0,31.0,19.4,1.0,4.0,119.0
