displacement,acceleration,weight,year,cylinders,origin,mpg
258.0,13.5,2962.0,71.0,6.0,1.0,18.0
140.0,19.0,2408.0,71.0,4.0,1.0,22.0
250.0,15.0,3282.0,71.0,6.0,1.0,19.0
250.0,14.5,3139.0,71.0,6.0,1.0,18.0
122.0,14.0,2220.0,71.0,4.0,1.0,23.0
116.0,14.0,2123.0,71.0,4.0,2.0,28.0
79.0,19.5,2074.0,71.0,4.0,2.0,30.0
88.0,14.5,2065.0,71.0,4.0,2.0,30.0
71.0,19.0,1773.0,71.0,4.0,3.0,31.0
72.0,18.0,1613.0,71.0,4.0,3.0,35.0
97.0,19.0,1834.0,71.0,4.0,2.0,27.0
91.0,20.5,1955.0,71.0,4.0,1.0,26.0
113.0,15.5,2278.0,72.0,4.0,3.0,24.0
97.5,17.0,2126.0,72.0,4.0,1.0,25.0
97.0,23.5,2254.0,72.0,4.0,2.0,23.0
140.0,19.5,2408.0,72.0,4.0,1.0,20.0
122.0,16.5,2226.0,72.0,4.0,1.0,21.0
350.0,12.0,4274.0,72.0,8.0,1.0,13.0
400.0,12.0,4385.0,72.0,8.0,1.0,14.0
318.0,13.5,4135.0,72.0,8.0,1.0,15.0
351.0,13.0,4129.0,72.0,8.0,1.0,14.0
304.0,11.5,3672.0,72.0,8.0,1.0,17.0
429.0,11.0,4633.0,72.0,8.0,1.0,11.0
350.0,13.5,4502.0,72.0,8.0,1.0,13.0
350.0,13.5,4456.0,72.0,8.0,1.0,12.0
400.0,12.5,4422.0,72.0,8.0,1.0,13.0
70.0,13.5,2330.0,72.0,3.0,3.0,19.0
304.0,12.5,3892.0,72.0,8.0,1.0,15.0
307.0,14.0,4098.0,72.0,8.0,1.0,13.0
302.0,16.0,4294.0,72.0,8.0,1.0,13.0
318.0,14.0,4077.0,72.0,8.0,1.0,14.0
121.0,14.5,2933.0,72.0,4.0,2.0,18.0
121.0,18.0,2511.0,72.0,4.0,2.0,22.0
120.0,19.5,2979.0,72.0,4.0,2.0,21.0
96.0,18.0,2189.0,72.0,4.0,2.0,26.0
122.0,16.0,2395.0,72.0,4.0,1.0,22.0
97.0,17.0,2288.0,72.0,4.0,3.0,28.0
120.0,14.5,2506.0,72.0,4.0,3.0,23.0
98.0,15.0,2164.0,72.0,4.0,1.0,28.0
97.0,16.5,2100.0,72.0,4.0,3.0,27.0
350.0,13.0,4100.0,73.0,8.0,1.0,13.0
304.0,11.5,3672.0,73.0,8.0,1.0,14.0
350.0,13.0,3988.0,73.0,8.0,1.0,13.0
302.0,14.5,4042.0,73.0,8.0,1.0,14.0
318.0,12.5,3777.0,73.0,8.0,1.0,15.0
429.0,11.5,4952.0,73.0,8.0,1.0,12.0
400.0,12.0,4464.0,73.0,8.0,1.0,13.0
351.0,13.0,4363.0,73.0,8.0,1.0,13.0
318.0,14.5,4237.0,73.0,8.0,1.0,14.0
440.0,11.0,4735.0,73.0,8.0,1.0,13.0
455.0,11.0,4951.0,73.0,8.0,1.0,12.0
360.0,11.0,3821.0,73.0,8.0,1.0,13.0
225.0,16.5,3121.0,73.0,6.0,1.0,18.0
250.0,18.0,3278.0,73.0,6.0,1.0,16.0
232.0,16.0,2945.0,73.0,6.0,1.0,18.0
250.0,16.5,3021.0,73.0,6.0,1.0,18.0
198.0,16.0,2904.0,73.0,6.0,1.0,23.0
97.0,21.0,1950.0,73.0,4.0,2.0,26.0
400.0,14.0,4997.0,73.0,8.0,1.0,11.0
400.0,12.5,4906.0,73.0,8.0,1.0,12.0
360.0,13.0,4654.0,73.0,8.0,1.0,13.0
350.0,12.5,4499.0,73.0,8.0,1.0,12.0
232.0,15.0,2789.0,73.0,6.0,1.0,18.0
97.0,19.0,2279.0,73.0,4.0,3.0,20.0
140.0,19.5,2401.0,73.0,4.0,1.0,21.0
108.0,16.5,2379.0,73.0,4.0,3.0,22.0
70.0,13.5,2124.0,73.0,3.0,3.0,18.0
122.0,18.5,2310.0,73.0,4.0,1.0,19.0
155.0,14.0,2472.0,73.0,6.0,1.0,21.0
98.0,15.5,2265.0,73.0,4.0,2.0,26.0
350.0,13.0,4082.0,73.0,8.0,1.0,15.0
400.0,9.5,4278.0,73.0,8.0,1.0,16.0
68.0,19.5,1867.0,73.0,4.0,2.0,29.0
116.0,15.5,2158.0,73.0,4.0,2.0,24.0
114.0,14.0,2582.0,73.0,4.0,2.0,20.0
121.0,15.5,2868.0,73.0,4.0,2.0,19.0
318.0,11.0,3399.0,73.0,8.0,1.0,15.0
121.0,14.0,2660.0,73.0,4.0,2.0,24.0
156.0,13.5,2807.0,73.0,6.0,3.0,20.0
350.0,11.0,3664.0,73.0,8.0,1.0,11.0
198.0,16.5,3102.0,74.0,6.0,1.0,20.0
200.0,17.0,2875.0,74.0,6.0,1.0,21.0
232.0,16.0,2901.0,74.0,6.0,1.0,19.0
250.0,17.0,3336.0,74.0,6.0,1.0,15.0
79.0,19.0,1950.0,74.0,4.0,3.0,31.0
122.0,16.5,2451.0,74.0,4.0,1.0,26.0
71.0,21.0,1836.0,74.0,4.0,3.0,32.0
140.0,17.0,2542.0,74.0,4.0,1.0,25.0
250.0,17.0,3781.0,74.0,6.0,1.0,16.0
258.0,18.0,3632.0,74.0,6.0,1.0,16.0
225.0,16.5,3613.0,74.0,6.0,1.0,18.0
302.0,14.0,4141.0,74.0,8.0,1.0,16.0
350.0,14.5,4699.0,74.0,8.0,1.0,13.0
318.0,13.5,4457.0,74.0,8.0,1.0,14.0
302.0,16.0,4638.0,74.0,8.0,1.0,14.0
304.0,15.5,4257.0,74.0,8.0,1.0,14.0
98.0,16.5,2219.0,74.0,4.0,2.0,29.0
79.0,15.5,1963.0,74.0,4.0,2.0,26.0
97.0,14.5,2300.0,74.0,4.0,2.0,26.0
76.0,16.5,1649.0,74.0,4.0,3.0,31.0
83.0,19.0,2003.0,74.0,4.0,3.0,32.0
90.0,14.5,2125.0,74.0,4.0,1.0,28.0
90.0,15.5,2108.0,74.0,4.0,2.0,24.0
116.0,14.0,2246.0,74.0,4.0,2.0,26.0
120.0,15.0,2489.0,74.0,4.0,3.0,24.0
108.0,15.5,2391.0,74.0,4.0,3.0,26.0
79.0,16.0,2000.0,74.0,4.0,2.0,31.0
225.0,16.0,3264.0,75.0,6.0,1.0,19.0
250.0,16.0,3459.0,75.0,6.0,1.0,18.0
250.0,21.0,3432.0,75.0,6.0,1.0,15.0
250.0,19.5,3158.0,75.0,6.0,1.0,15.0
400.0,11.5,4668.0,75.0,8.0,1.0,16.0
350.0,14.0,4440.0,75.0,8.0,1.0,15.0
318.0,14.5,4498.0,75.0,8.0,1.0,16.0
351.0,13.5,4657.0,75.0,8.0,1.0,14.0
231.0,21.0,3907.0,75.0,6.0,1.0,17.0
250.0,18.5,3897.0,75.0,6.0,1.0,16.0
258.0,19.0,3730.0,75.0,6.0,1.0,15.0
225.0,19.0,3785.0,75.0,6.0,1.0,18.0
231.0,15.0,3039.0,75.0,6.0,1.0,21.0
262.0,13.5,3221.0,75.0,8.0,1.0,20.0
302.0,12.0,3169.0,75.0,8.0,1.0,13.0
97.0,16.0,2171.0,75.0,4.0,3.0,29.0
140.0,17.0,2639.0,75.0,4.0,1.0,23.0
232.0,16.0,2914.0,75.0,6.0,1.0,20.0
140.0,18.5,2592.0,75.0,4.0,1.0,23.0
134.0,13.5,2702.0,75.0,4.0,3.0,24.0
90.0,16.5,2223.0,75.0,4.0,2.0,25.0
119.0,17.0,2545.0,75.0,4.0,3.0,24.0
171.0,14.5,2984.0,75.0,6.0,1.0,18.0
90.0,14.0,1937.0,75.0,4.0,2.0,29.0
232.0,17.0,3211.0,75.0,6.0,1.0,19.0
115.0,15.0,2694.0,75.0,4.0,2.0,23.0
120.0,17.0,2957.0,75.0,4.0,2.0,23.0
121.0,14.5,2945.0,75.0,4.0,2.0,22.0
121.0,13.5,2671.0,75.0,4.0,2.0,25.0
91.0,17.5,1795.0,75.0,4.0,3.0,33.0
107.0,15.5,2464.0,76.0,4.0,2.0,28.0
116.0,16.9,2220.0,76.0,4.0,2.0,25.0
140.0,14.9,2572.0,76.0,4.0,1.0,25.0
98.0,17.7,2255.0,76.0,4.0,1.0,26.0
101.0,15.3,2202.0,76.0,4.0,2.0,27.0
305.0,13.0,4215.0,76.0,8.0,1.0,17.5
318.0,13.0,4190.0,76.0,8.0,1.0,16.0
304.0,13.9,3962.0,76.0,8.0,1.0,15.5
351.0,12.8,4215.0,76.0,8.0,1.0,14.5
225.0,15.4,3233.0,76.0,6.0,1.0,22.0
250.0,14.5,3353.0,76.0,6.0,1.0,22.0
200.0,17.6,3012.0,76.0,6.0,1.0,24.0
232.0,17.6,3085.0,76.0,6.0,1.0,22.5
85.0,22.2,2035.0,76.0,4.0,1.0,29.0
98.0,22.1,2164.0,76.0,4.0,1.0,24.5
90.0,14.2,1937.0,76.0,4.0,2.0,29.0
91.0,17.4,1795.0,76.0,4.0,3.0,33.0
225.0,17.7,3651.0,76.0,6.0,1.0,20.0
250.0,21.0,3574.0,76.0,6.0,1.0,18.0
250.0,16.2,3645.0,76.0,6.0,1.0,18.5
258.0,17.8,3193.0,76.0,6.0,1.0,17.5
97.0,12.2,1825.0,76.0,4.0,2.0,29.5
85.0,17.0,1990.0,76.0,4.0,3.0,32.0
97.0,16.4,2155.0,76.0,4.0,3.0,28.0
140.0,13.6,2565.0,76.0,4.0,1.0,26.5
130.0,15.7,3150.0,76.0,4.0,2.0,20.0
318.0,13.2,3940.0,76.0,8.0,1.0,13.0
120.0,21.9,3270.0,76.0,4.0,2.0,19.0
156.0,15.5,2930.0,76.0,6.0,3.0,19.0
168.0,16.7,3820.0,76.0,6.0,2.0,16.5
350.0,12.1,4380.0,76.0,8.0,1.0,16.5
350.0,12.0,4055.0,76.0,8.0,1.0,13.0
302.0,15.0,3870.0,76.0,8.0,1.0,13.0
318.0,14.0,3755.0,76.0,8.0,1.0,13.0
98.0,18.5,2045.0,77.0,4.0,3.0,31.5
111.0,14.8,2155.0,77.0,4.0,1.0,30.0
79.0,18.6,1825.0,77.0,4.0,2.0,36.0
122.0,15.5,2300.0,77.0,4.0,1.0,25.5
85.0,16.8,1945.0,77.0,4.0,3.0,33.5
305.0,12.5,3880.0,77.0,8.0,1.0,17.5
260.0,19.0,4060.0,77.0,8.0,1.0,17.0
318.0,13.7,4140.0,77.0,8.0,1.0,15.5
302.0,14.9,4295.0,77.0,8.0,1.0,15.0
250.0,16.4,3520.0,77.0,6.0,1.0,17.5
231.0,16.9,3425.0,77.0,6.0,1.0,20.5
225.0,17.7,3630.0,77.0,6.0,1.0,19.0
250.0,19.0,3525.0,77.0,6.0,1.0,18.5
400.0,11.1,4220.0,77.0,8.0,1.0,16.0
350.0,11.4,4165.0,77.0,8.0,1.0,15.5
400.0,12.2,4325.0,77.0,8.0,1.0,15.5
351.0,14.5,4335.0,77.0,8.0,1.0,16.0
97.0,14.5,1940.0,77.0,4.0,2.0,29.0
151.0,16.0,2740.0,77.0,4.0,1.0,24.5
97.0,18.2,2265.0,77.0,4.0,3.0,26.0
140.0,15.8,2755.0,77.0,4.0,1.0,25.5
98.0,17.0,2051.0,77.0,4.0,1.0,30.5
98.0,15.9,2075.0,77.0,4.0,1.0,33.5
97.0,16.4,1985.0,77.0,4.0,3.0,30.0
97.0,14.1,2190.0,77.0,4.0,2.0,30.5
146.0,14.5,2815.0,77.0,6.0,3.0,22.0
121.0,12.8,2600.0,77.0,4.0,2.0,21.5
80.0,13.5,2720.0,77.0,3.0,3.0,21.5
90.0,21.5,1985.0,78.0,4.0,2.0,43.1
98.0,14.4,1800.0,78.0,4.0,1.0,36.1
78.0,19.4,1985.0,78.0,4.0,3.0,32.8
85.0,18.6,2070.0,78.0,4.0,3.0,39.4
91.0,16.4,1800.0,78.0,4.0,3.0,36.1
260.0,15.5,3365.0,78.0,8.0,1.0,19.9
318.0,13.2,3735.0,78.0,8.0,1.0,19.4
302.0,12.8,3570.0,78.0,8.0,1.0,20.2
231.0,19.2,3535.0,78.0,6.0,1.0,19.2
200.0,18.2,3155.0,78.0,6.0,1.0,20.5
200.0,15.8,2965.0,78.0,6.0,1.0,20.2
140.0,15.4,2720.0,78.0,4.0,1.0,25.1
225.0,17.2,3430.0,78.0,6.0,1.0,20.5
232.0,17.2,3210.0,78.0,6.0,1.0,19.4
231.0,15.8,3380.0,78.0,6.0,1.0,20.6
200.0,16.7,3070.0,78.0,6.0,1.0,20.8
225.0,18.7,3620.0,78.0,6.0,1.0,18.6
258.0,15.1,3410.0,78.0,6.0,1.0,18.1
305.0,13.2,3425.0,78.0,8.0,1.0,19.2
231.0,13.4,3445.0,78.0,6.0,1.0,17.7
302.0,11.2,3205.0,78.0,8.0,1.0,18.1
318.0,13.7,4080.0,78.0,8.0,1.0,17.5
98.0,16.5,2155.0,78.0,4.0,1.0,30.0
134.0,14.2,2560.0,78.0,4.0,3.0,27.5
119.0,14.7,2300.0,78.0,4.0,3.0,27.2
105.0,14.5,2230.0,78.0,4.0,1.0,30.9
134.0,14.8,2515.0,78.0,4.0,3.0,21.1
156.0,16.7,2745.0,78.0,4.0,1.0,23.2
151.0,17.6,2855.0,78.0,4.0,1.0,23.8
119.0,14.9,2405.0,78.0,4.0,3.0,23.9
131.0,15.9,2830.0,78.0,5.0,2.0,20.3
163.0,13.6,3140.0,78.0,6.0,2.0,17.0
121.0,15.7,2795.0,78.0,4.0,2.0,21.6
163.0,15.8,3410.0,78.0,6.0,2.0,16.2
89.0,14.9,1990.0,78.0,4.0,2.0,31.5
98.0,16.6,2135.0,78.0,4.0,3.0,29.5
231.0,15.4,3245.0,79.0,6.0,1.0,21.5
200.0,18.2,2990.0,79.0,6.0,1.0,19.8
140.0,17.3,2890.0,79.0,4.0,1.0,22.3
232.0,18.2,3265.0,79.0,6.0,1.0,20.2
225.0,16.6,3360.0,79.0,6.0,1.0,20.6
305.0,15.4,3840.0,79.0,8.0,1.0,17.0
302.0,13.4,3725.0,79.0,8.0,1.0,17.6
351.0,13.2,3955.0,79.0,8.0,1.0,16.5
318.0,15.2,3830.0,79.0,8.0,1.0,18.2
350.0,14.9,4360.0,79.0,8.0,1.0,16.9
351.0,14.3,4054.0,79.0,8.0,1.0,15.5
267.0,15.0,3605.0,79.0,8.0,1.0,19.2
360.0,13.0,3940.0,79.0,8.0,1.0,18.5
89.0,14.0,1925.0,79.0,4.0,2.0,31.9
86.0,15.2,1975.0,79.0,4.0,3.0,34.1
98.0,14.4,1915.0,79.0,4.0,1.0,35.7
121.0,15.0,2670.0,79.0,4.0,1.0,27.4
183.0,20.1,3530.0,79.0,5.0,2.0,25.4
350.0,17.4,3900.0,79.0,8.0,1.0,23.0
141.0,24.8,3190.0,79.0,4.0,2.0,27.2
260.0,22.2,3420.0,79.0,8.0,1.0,23.9
105.0,13.2,2200.0,79.0,4.0,1.0,34.2
105.0,14.9,2150.0,79.0,4.0,1.0,34.5
85.0,19.2,2020.0,79.0,4.0,3.0,31.8
91.0,14.7,2130.0,79.0,4.0,2.0,37.3
151.0,16.0,2670.0,79.0,4.0,1.0,28.4
173.0,11.3,2595.0,79.0,6.0,1.0,28.8
173.0,12.9,2700.0,79.0,6.0,1.0,26.8
151.0,13.2,2556.0,79.0,4.0,1.0,33.5
98.0,14.7,2144.0,80.0,4.0,2.0,41.5
89.0,18.8,1968.0,80.0,4.0,3.0,38.1
98.0,15.5,2120.0,80.0,4.0,1.0,32.1
86.0,16.4,2019.0,80.0,4.0,3.0,37.2
151.0,16.5,2678.0,80.0,4.0,1.0,28.0
140.0,18.1,2870.0,80.0,4.0,1.0,26.4
151.0,20.1,3003.0,80.0,4.0,1.0,24.3
225.0,18.7,3381.0,80.0,6.0,1.0,19.1
97.0,15.8,2188.0,80.0,4.0,2.0,34.3
134.0,15.5,2711.0,80.0,4.0,3.0,29.8
120.0,17.5,2542.0,80.0,4.0,3.0,31.3
119.0,15.0,2434.0,80.0,4.0,3.0,37.0
108.0,15.2,2265.0,80.0,4.0,3.0,32.2
86.0,17.9,2110.0,80.0,4.0,3.0,46.6
156.0,14.4,2800.0,80.0,4.0,1.0,27.9
85.0,19.2,2110.0,80.0,4.0,3.0,40.8
90.0,21.7,2085.0,80.0,4.0,2.0,44.3
90.0,23.7,2335.0,80.0,4.0,2.0,43.4
121.0,19.9,2950.0,80.0,5.0,2.0,36.4
146.0,21.8,3250.0,80.0,4.0,2.0,30.0
91.0,13.8,1850.0,80.0,4.0,3.0,44.6
85.0,17.3,1835.0,80.0,4.0,2.0,40.9
97.0,18.0,2145.0,80.0,4.0,3.0,33.8
89.0,15.3,1845.0,80.0,4.0,2.0,29.8
168.0,11.4,2910.0,80.0,6.0,3.0,32.7
70.0,12.5,2420.0,80.0,3.0,3.0,23.7
122.0,15.1,2500.0,80.0,4.0,2.0,35.0
140.0,14.3,2905.0,80.0,4.0,1.0,23.6
107.0,17.0,2290.0,80.0,4.0,3.0,32.4
135.0,15.7,2490.0,81.0,4.0,1.0,27.2
151.0,16.4,2635.0,81.0,4.0,1.0,26.6
156.0,14.4,2620.0,81.0,4.0,1.0,25.8
173.0,12.6,2725.0,81.0,6.0,1.0,23.5
135.0,12.9,2385.0,81.0,4.0,1.0,30.0
79.0,16.9,1755.0,81.0,4.0,3.0,39.1
86.0,16.4,1875.0,81.0,4.0,1.0,39.0
81.0,16.1,1760.0,81.0,4.0,3.0,35.1
97.0,17.8,2065.0,81.0,4.0,3.0,32.3
85.0,19.4,1975.0,81.0,4.0,3.0,37.0
89.0,17.3,2050.0,81.0,4.0,3.0,37.7
91.0,16.0,1985.0,81.0,4.0,3.0,34.1
105.0,14.9,2215.0,81.0,4.0,1.0,34.7
98.0,16.2,2045.0,81.0,4.0,1.0,34.4
98.0,20.7,2380.0,81.0,4.0,1.0,29.9
105.0,14.2,2190.0,81.0,4.0,2.0,33.0
100.0,15.8,2320.0,81.0,4.0,2.0,34.5
107.0,14.4,2210.0,81.0,4.0,3.0,33.7
108.0,16.8,2350.0,81.0,4.0,3.0,32.4
119.0,14.8,2615.0,81.0,4.0,3.0,32.9
120.0,18.3,2635.0,81.0,4.0,3.0,31.6
141.0,20.4,3230.0,81.0,4.0,2.0,28.1
145.0,19.6,3160.0,81.0,6.0,2.0,30.7
168.0,12.6,2900.0,81.0,6.0,3.0,25.4
146.0,13.8,2930.0,81.0,6.0,3.0,24.2
231.0,15.8,3415.0,81.0,6.0,1.0,22.4
350.0,19.0,3725.0,81.0,8.0,1.0,26.6
200.0,17.1,3060.0,81.0,6.0,1.0,20.2
225.0,16.6,3465.0,81.0,6.0,1.0,17.6
112.0,19.6,2605.0,82.0,4.0,1.0,28.0
112.0,18.6,2640.0,82.0,4.0,1.0,27.0
112.0,18.0,2395.0,82.0,4.0,1.0,34.0
112.0,16.2,2575.0,82.0,4.0,1.0,31.0
135.0,16.0,2525.0,82.0,4.0,1.0,29.0
151.0,18.0,2735.0,82.0,4.0,1.0,27.0
140.0,16.4,2865.0,82.0,4.0,1.0,24.0
105.0,15.3,1980.0,82.0,4.0,2.0,36.0
91.0,18.2,2025.0,82.0,4.0,3.0,37.0
91.0,17.6,1970.0,82.0,4.0,3.0,31.0
105.0,14.7,2125.0,82.0,4.0,1.0,38.0
98.0,17.3,2125.0,82.0,4.0,1.0,36.0
120.0,14.5,2160.0,82.0,4.0,3.0,36.0
107.0,14.5,2205.0,82.0,4.0,3.0,36.0
108.0,16.9,2245.0,82.0,4.0,3.0,34.0
91.0,15.0,1965.0,82.0,4.0,3.0,38.0
91.0,15.7,1965.0,82.0,4.0,3.0,32.0
91.0,16.2,1995.0,82.0,4.0,3.0,38.0
181.0,16.4,2945.0,82.0,6.0,1.0,25.0
262.0,17.0,3015.0,82.0,6.0,1.0,38.0
156.0,14.5,2585.0,82.0,4.0,1.0,26.0
232.0,14.7,2835.0,82.0,6.0,1.0,22.0
144.0,13.9,2665.0,82.0,4.0,3.0,32.0
135.0,13.0,2370.0,82.0,4.0,1.0,36.0
151.0,17.3,2950.0,82.0,4.0,1.0,27.0
140.0,15.6,2790.0,82.0,4.0,1.0,27.0
97.0,24.6,2130.0,82.0,4.0,2.0,44.0
135.0,11.6,2295.0,82.0,4.0,1.0,32.0
120.0,18.6,2625.0,82.0,4.0,1.0,28.0
119.0,19.4,2720.0,82.0,4.0,1.0,31.0
