price,peak-rpm,curb-weight,symboling,body-style_hatchback,fuel-system_2bbl,body-style_wagon,engine-type_ohcf,drive-wheels_4wd,body-style_hardtop,engine-location,engine-type_dohcv,fuel-system_mfi,fuel-system_spfi,body-style_convertible,fuel-system_spdi,fuel-system_1bbl,engine-type_dohc,engine-type_ohcv,engine-type_l,fuel-system_idi,aspiration,drive-wheels_rwd,fuel-system_mpfi,body-style_sedan,drive-wheels_fwd,engine-type_ohc,fuel-type,num-of-doors,stroke,bore,num-of-cylinders,compression-ratio,city-mpg,highway-mpg,height,width,wheel-base,horsepower,engine-size,length,make
6377,5500,1876,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3.23,2.97,4,9.4,31,38,50.8,63.8,93.7,68,90,157.3,dodge
7957,5500,2128,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,2,3.39,3.03,4,7.6,24,30,50.8,63.8,93.7,102,98,157.3,dodge
6229,5500,1967,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,3.23,2.97,4,9.4,31,38,50.6,63.8,93.7,68,90,157.3,dodge
6692,5500,1989,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3.23,2.97,4,9.4,31,38,50.6,63.8,93.7,68,90,157.3,dodge
7609,5500,1989,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3.23,2.97,4,9.4,31,38,50.6,63.8,93.7,68,90,157.3,dodge
8558,5500,2191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,4,3.39,3.03,4,7.6,24,30,50.6,63.8,93.7,102,98,157.3,dodge
8921,5000,2535,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,3.46,3.34,4,8.5,24,30,59.8,64.6,103.3,88,122,174.6,dodge
12964,5000,2811,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,3.9,3.6,4,7.0,19,24,50.2,66.3,95.9,145,156,173.2,dodge
6479,4800,1713,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,3.41,2.91,4,9.6,49,54,50.8,63.9,86.6,58,92,144.6,honda
6855,6000,1819,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,3.41,2.91,4,9.2,31,38,50.8,63.9,86.6,76,92,144.6,honda
5399,5500,1837,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,3.07,2.91,4,10.1,38,42,52.6,64.0,93.7,60,79,150.0,honda
6529,6000,1940,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,3.41,2.91,4,9.2,30,34,52.6,64.0,93.7,76,92,150.0,honda
7129,6000,1956,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,3.41,2.91,4,9.2,30,34,52.6,64.0,93.7,76,92,150.0,honda
7295,6000,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,4,3.41,2.91,4,9.2,30,34,54.5,64.0,96.5,76,92,163.4,honda
7295,6000,2024,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,4,3.41,2.92,4,9.2,30,34,58.3,63.9,96.5,76,92,157.1,honda
7895,5800,2236,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,3.58,3.15,4,9.0,27,33,53.3,65.2,96.5,86,110,167.5,honda
9095,5800,2289,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,3.58,3.15,4,9.0,27,33,53.3,65.2,96.5,86,110,167.5,honda
8845,5800,2304,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,4,3.58,3.15,4,9.0,27,33,54.1,65.2,96.5,86,110,175.4,honda
10295,5800,2372,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,4,3.58,3.15,4,9.0,27,33,54.1,62.5,96.5,86,110,175.4,honda
12945,5800,2465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,3.58,3.15,4,9.0,24,28,54.1,65.2,96.5,101,110,175.4,honda
10345,5500,2293,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3.58,3.15,4,9.1,25,31,51.0,66.0,96.5,100,110,169.1,honda
6785,4800,2337,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,4,3.23,3.31,4,8.5,24,29,53.5,61.8,94.3,78,111,170.7,isuzu
8000,5400,1874,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3.11,3.03,4,9.6,38,43,52.0,63.6,94.5,70,90,155.9,isuzu
9000,5400,1909,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3.11,3.03,4,9.6,38,43,52.0,63.6,94.5,70,90,155.9,isuzu
11048,5000,2734,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,3.23,3.43,4,9.2,24,29,51.4,65.2,96.0,90,119,172.6,isuzu
32250,4750,4066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,4,4.17,3.63,6,8.1,15,19,52.8,69.6,113.0,176,258,199.6,jaguar
35550,4750,4066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,4,4.17,3.63,6,8.1,15,19,52.8,69.6,113.0,176,258,199.6,jaguar
36000,5000,3950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,2,2.76,3.54,12,11.5,13,17,47.8,70.6,102.0,262,326,191.7,jaguar
5195,5000,1890,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3.15,3.03,4,9.0,30,31,54.1,64.2,93.1,68,91,159.1,mazda
6095,5000,1900,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3.15,3.03,4,9.0,31,38,54.1,64.2,93.1,68,91,159.1,mazda
6795,5000,1905,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3.15,3.03,4,9.0,31,38,54.1,64.2,93.1,68,91,159.1,mazda
6695,5000,1945,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3.15,3.03,4,9.0,31,38,54.1,64.2,93.1,68,91,166.8,mazda
7395,5000,1950,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3.15,3.08,4,9.0,31,38,54.1,64.2,93.1,68,91,166.8,mazda
8845,4800,2385,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3.39,3.39,4,8.6,26,32,53.7,66.5,98.8,84,122,177.8,mazda
8495,4800,2410,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3.39,3.39,4,8.6,26,32,55.5,66.5,98.8,84,122,177.8,mazda
10595,4800,2385,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3.39,3.39,4,8.6,26,32,53.7,66.5,98.8,84,122,177.8,mazda
10245,4800,2410,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3.39,3.39,4,8.6,26,32,55.5,66.5,98.8,84,122,177.8,mazda
10795,4650,2443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,4,3.39,3.39,4,22.7,36,42,55.5,66.5,98.8,64,122,177.8,mazda
11245,4800,2425,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,3.39,3.39,4,8.6,26,32,55.5,66.5,98.8,84,122,177.8,mazda
18280,5000,2670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,4,3.16,3.76,4,8.0,19,27,54.4,66.1,104.9,120,140,175.0,mazda
18344,4200,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,4,3.64,3.43,4,22.0,31,39,54.4,66.1,104.9,72,134,175.0,mazda
25552,4350,3515,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,4,3.64,3.58,5,21.5,22,25,56.5,70.3,110.0,123,183,190.9,mercedes-benz
28248,4350,3750,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,4,3.64,3.58,5,21.5,22,25,58.7,70.3,110.0,123,183,190.9,mercedes-benz
28176,4350,3495,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,3.64,3.58,5,21.5,22,25,54.9,70.3,106.7,123,183,187.5,mercedes-benz
31600,4350,3770,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,4,3.64,3.58,5,21.5,22,25,56.3,71.7,115.6,123,183,202.6,mercedes-benz
34184,4750,3740,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,4,3.1,3.46,8,8.3,16,18,56.5,71.7,115.6,155,234,202.6,mercedes-benz
35056,4750,3685,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,2,3.1,3.46,8,8.3,16,18,50.8,70.5,96.6,155,234,180.3,mercedes-benz
40960,4500,3900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,4,3.35,3.8,8,8.0,14,16,56.7,71.7,120.9,184,308,208.1,mercedes-benz
45400,4500,3715,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,3.35,3.8,8,8.0,14,16,55.4,72.0,112.0,184,304,199.2,mercedes-benz
16503,5000,2910,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,2,3.12,3.78,4,8.0,19,24,54.8,68.0,102.7,175,140,178.4,mercury
5389,5500,1918,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3.23,2.97,4,9.4,37,41,50.8,64.4,93.7,68,92,157.3,mitsubishi
6189,5500,1944,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3.23,2.97,4,9.4,31,38,50.8,64.4,93.7,68,92,157.3,mitsubishi
6669,5500,2004,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3.23,2.97,4,9.4,31,38,50.8,64.4,93.7,68,92,157.3,mitsubishi
7689,5500,2145,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,3.39,3.03,4,7.6,24,30,50.8,63.8,93.0,102,98,157.3,mitsubishi
9959,5500,2370,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,3.46,3.17,4,7.5,23,30,49.4,65.4,96.3,116,110,173.0,mitsubishi
8499,5000,2328,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3.46,3.35,4,8.5,25,32,49.4,65.4,96.3,88,122,173.0,mitsubishi
12629,5000,2833,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,3.86,3.58,4,7.0,19,24,50.2,66.3,95.9,145,156,173.2,mitsubishi
14869,5000,2921,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,3.86,3.59,4,7.0,19,24,50.2,66.3,95.9,145,156,173.2,mitsubishi
14489,5000,2926,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,3.86,3.59,4,7.0,19,24,50.2,66.3,95.9,145,156,173.2,mitsubishi
6989,5000,2365,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3.46,3.35,4,8.5,25,32,51.6,65.4,96.3,88,122,172.4,mitsubishi
8189,5000,2405,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3.46,3.35,4,8.5,25,32,51.6,65.4,96.3,88,122,172.4,mitsubishi
9279,5500,2403,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,4,3.46,3.17,4,7.5,23,30,51.6,65.4,96.3,116,110,172.4,mitsubishi
9279,5500,2403,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,4,3.46,3.17,4,7.5,23,30,51.6,65.4,96.3,116,110,172.4,mitsubishi
5499,5200,1889,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3.29,3.15,4,9.4,31,37,54.5,63.8,94.5,69,97,165.3,nissan
7099,4800,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,2,3.47,2.99,4,21.9,45,50,54.5,63.8,94.5,55,103,165.3,nissan
6649,5200,1918,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3.29,3.15,4,9.4,31,37,54.5,63.8,94.5,69,97,165.3,nissan
6849,5200,1938,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3.29,3.15,4,9.4,31,37,54.5,63.8,94.5,69,97,165.3,nissan
7349,5200,2024,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,3.29,3.15,4,9.4,31,37,53.5,63.8,94.5,69,97,170.2,nissan
7299,5200,1951,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3.29,3.15,4,9.4,31,37,54.5,63.8,94.5,69,97,165.3,nissan
7799,5200,2028,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3.29,3.15,4,9.4,31,37,53.3,63.8,94.5,69,97,165.6,nissan
7499,5200,1971,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3.29,3.15,4,9.4,31,37,54.5,63.8,94.5,69,97,165.3,nissan
7999,5200,2037,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,3.29,3.15,4,9.4,31,37,53.5,63.8,94.5,69,97,170.2,nissan
8249,5200,2008,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3.29,3.15,4,9.4,31,37,53.3,63.8,95.1,69,97,162.4,nissan
8949,5200,2324,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,3.47,3.33,4,8.5,27,34,54.7,65.2,97.2,97,120,173.4,nissan
9549,5200,2302,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3.47,3.33,4,8.5,27,34,54.7,65.2,97.2,97,120,173.4,nissan
13499,5200,3095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,4,3.27,3.43,6,9.0,17,22,55.1,66.5,100.4,152,181,181.7,nissan
14399,5200,3296,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,4,3.27,3.43,6,9.0,17,22,56.1,66.5,100.4,152,181,184.6,nissan
13499,5200,3060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,4,3.27,3.43,6,9.0,19,25,55.1,66.5,100.4,152,181,184.6,nissan
17199,5200,3071,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,3.27,3.43,6,9.0,19,25,49.7,67.9,91.3,160,181,170.7,nissan
19699,5200,3139,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,2,3.27,3.43,6,7.8,17,23,49.7,67.9,91.3,200,181,170.7,nissan
18399,5200,3139,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,3.27,3.43,6,9.0,19,25,49.7,67.9,99.2,160,181,178.5,nissan
11900,5000,3020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,4,3.19,3.46,4,8.4,19,24,56.7,68.4,107.9,97,120,186.7,peugot
13200,4150,3197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,4,3.52,3.7,4,21.0,28,33,56.7,68.4,107.9,95,152,186.7,peugot
12440,5000,3230,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,4,3.19,3.46,4,8.4,19,24,58.7,68.4,114.2,97,120,198.9,peugot
13860,4150,3430,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,3.52,3.7,4,21.0,25,25,58.7,68.4,114.2,95,152,198.9,peugot
15580,5000,3075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,4,2.19,3.46,4,8.4,19,24,56.7,68.4,107.9,95,120,186.7,peugot
16900,4150,3252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,4,3.52,3.7,4,21.0,28,33,56.7,68.4,107.9,95,152,186.7,peugot
16695,5000,3285,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,4,2.19,3.46,4,8.4,19,24,56.7,68.4,114.2,95,120,198.9,peugot
17075,4150,3485,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,3.52,3.7,4,21.0,25,25,58.7,68.4,114.2,95,152,198.9,peugot
16630,5000,3075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,4,3.19,3.46,4,8.4,19,24,56.7,68.4,107.9,97,120,186.7,peugot
17950,4150,3252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,4,3.52,3.7,4,21.0,28,33,56.7,68.4,107.9,95,152,186.7,peugot
18150,5600,3130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,4,3.21,3.61,4,7.0,18,24,56.0,68.3,108.0,142,134,186.7,peugot
5572,5500,1918,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3.23,2.97,4,9.4,37,41,50.8,63.8,93.7,68,90,157.3,plymouth
7957,5500,2128,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,3.39,3.03,4,7.6,24,30,50.8,63.8,93.7,102,98,157.3,plymouth
6229,5500,1967,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,3.23,2.97,4,9.4,31,38,50.6,63.8,93.7,68,90,157.3,plymouth
6692,5500,1989,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3.23,2.97,4,9.4,31,38,50.8,63.8,93.7,68,90,167.3,plymouth
7609,5500,2191,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3.23,2.97,4,9.4,31,38,50.8,63.8,93.7,68,98,167.3,plymouth
8921,5000,2535,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,3.46,3.35,4,8.5,24,30,59.8,64.6,103.3,88,122,174.6,plymouth
12764,5000,2818,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,2,3.86,3.59,4,7.0,19,24,50.2,66.3,95.9,145,156,173.2,plymouth
22018,5500,2778,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,3.11,3.94,4,9.5,19,27,50.2,68.3,94.5,143,151,168.9,porsche
32528,5900,2756,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,2.9,3.74,6,9.5,17,25,51.6,65.0,89.5,207,194,168.9,porsche
34028,5900,2756,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,2.9,3.74,6,9.5,17,25,51.6,65.0,89.5,207,194,168.9,porsche
37028,5900,2800,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2,2.9,3.74,6,9.5,17,25,51.6,65.0,89.5,207,194,168.9,porsche
39000,5750,3366,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,3.11,3.94,8,10.0,17,28,50.5,72.3,98.4,288,203,175.7,porsche
11850,5250,2658,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,3.07,3.54,4,9.31,21,28,56.1,66.5,99.1,110,121,186.6,saab
12170,5250,2695,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,3.07,3.54,4,9.3,21,28,56.1,66.5,99.1,110,121,186.6,saab
15040,5250,2707,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2.07,2.54,4,9.3,21,28,56.1,66.5,99.1,110,121,186.6,saab
