symboling,curb-weight,price,peak-rpm,length,engine-size,horsepower,wheel-base,width,height,highway-mpg,city-mpg,compression-ratio,num-of-cylinders,bore,stroke,num-of-doors,fuel-type,engine-type_ohc,drive-wheels_fwd,fuel-system_2bbl,body-style_sedan,fuel-system_mpfi,drive-wheels_rwd,aspiration,fuel-system_idi,engine-type_l,body-style_wagon,drive-wheels_4wd,engine-type_ohcf,engine-location,body-style_hardtop,engine-type_ohcv,engine-type_dohc,body-style_convertible,fuel-system_spfi,fuel-system_mfi,engine-type_dohcv,fuel-system_spdi,fuel-system_1bbl,body-style_hatchback,make
1,1876,6377,5500,157.3,90,68,93.7,63.8,50.8,38,31,9.4,4,2.97,3.23,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,dodge
1,2128,7957,5500,157.3,98,102,93.7,63.8,50.8,30,24,7.6,4,3.03,3.39,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,dodge
1,1967,6229,5500,157.3,90,68,93.7,63.8,50.6,38,31,9.4,4,2.97,3.23,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,dodge
1,1989,6692,5500,157.3,90,68,93.7,63.8,50.6,38,31,9.4,4,2.97,3.23,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dodge
1,1989,7609,5500,157.3,90,68,93.7,63.8,50.6,38,31,9.4,4,2.97,3.23,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dodge
1,2191,8558,5500,157.3,98,102,93.7,63.8,50.6,30,24,7.6,4,3.03,3.39,4,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dodge
-1,2535,8921,5000,174.6,122,88,103.3,64.6,59.8,30,24,8.5,4,3.34,3.46,4,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dodge
3,2811,12964,5000,173.2,156,145,95.9,66.3,50.2,24,19,7.0,4,3.6,3.9,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,dodge
2,1713,6479,4800,144.6,92,58,86.6,63.9,50.8,54,49,9.6,4,2.91,3.41,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,honda
2,1819,6855,6000,144.6,92,76,86.6,63.9,50.8,38,31,9.2,4,2.91,3.41,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,honda
1,1837,5399,5500,150.0,79,60,93.7,64.0,52.6,42,38,10.1,4,2.91,3.07,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,honda
1,1940,6529,6000,150.0,92,76,93.7,64.0,52.6,34,30,9.2,4,2.91,3.41,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,honda
1,1956,7129,6000,150.0,92,76,93.7,64.0,52.6,34,30,9.2,4,2.91,3.41,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,honda
0,2010,7295,6000,163.4,92,76,96.5,64.0,54.5,34,30,9.2,4,2.91,3.41,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,honda
0,2024,7295,6000,157.1,92,76,96.5,63.9,58.3,34,30,9.2,4,2.92,3.41,4,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,honda
0,2236,7895,5800,167.5,110,86,96.5,65.2,53.3,33,27,9.0,4,3.15,3.58,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,honda
0,2289,9095,5800,167.5,110,86,96.5,65.2,53.3,33,27,9.0,4,3.15,3.58,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,honda
0,2304,8845,5800,175.4,110,86,96.5,65.2,54.1,33,27,9.0,4,3.15,3.58,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,honda
0,2372,10295,5800,175.4,110,86,96.5,62.5,54.1,33,27,9.0,4,3.15,3.58,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,honda
0,2465,12945,5800,175.4,110,101,96.5,65.2,54.1,28,24,9.0,4,3.15,3.58,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honda
1,2293,10345,5500,169.1,110,100,96.5,66.0,51.0,31,25,9.1,4,3.15,3.58,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,honda
0,2337,6785,4800,170.7,111,78,94.3,61.8,53.5,29,24,8.5,4,3.31,3.23,4,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,isuzu
1,1874,8000,5400,155.9,90,70,94.5,63.6,52.0,43,38,9.6,4,3.03,3.11,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,isuzu
0,1909,9000,5400,155.9,90,70,94.5,63.6,52.0,43,38,9.6,4,3.03,3.11,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,isuzu
2,2734,11048,5000,172.6,119,90,96.0,65.2,51.4,29,24,9.2,4,3.43,3.23,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,isuzu
0,4066,32250,4750,199.6,258,176,113.0,69.6,52.8,19,15,8.1,6,3.63,4.17,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,jaguar
0,4066,35550,4750,199.6,258,176,113.0,69.6,52.8,19,15,8.1,6,3.63,4.17,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,jaguar
0,3950,36000,5000,191.7,326,262,102.0,70.6,47.8,17,13,11.5,12,3.54,2.76,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,jaguar
1,1890,5195,5000,159.1,91,68,93.1,64.2,54.1,31,30,9.0,4,3.03,3.15,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mazda
1,1900,6095,5000,159.1,91,68,93.1,64.2,54.1,38,31,9.0,4,3.03,3.15,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mazda
1,1905,6795,5000,159.1,91,68,93.1,64.2,54.1,38,31,9.0,4,3.03,3.15,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mazda
1,1945,6695,5000,166.8,91,68,93.1,64.2,54.1,38,31,9.0,4,3.03,3.15,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mazda
1,1950,7395,5000,166.8,91,68,93.1,64.2,54.1,38,31,9.0,4,3.08,3.15,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mazda
1,2385,8845,4800,177.8,122,84,98.8,66.5,53.7,32,26,8.6,4,3.39,3.39,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mazda
0,2410,8495,4800,177.8,122,84,98.8,66.5,55.5,32,26,8.6,4,3.39,3.39,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mazda
1,2385,10595,4800,177.8,122,84,98.8,66.5,53.7,32,26,8.6,4,3.39,3.39,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mazda
0,2410,10245,4800,177.8,122,84,98.8,66.5,55.5,32,26,8.6,4,3.39,3.39,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mazda
0,2443,10795,4650,177.8,122,64,98.8,66.5,55.5,42,36,22.7,4,3.39,3.39,4,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mazda
0,2425,11245,4800,177.8,122,84,98.8,66.5,55.5,32,26,8.6,4,3.39,3.39,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mazda
0,2670,18280,5000,175.0,140,120,104.9,66.1,54.4,27,19,8.0,4,3.76,3.16,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mazda
0,2700,18344,4200,175.0,134,72,104.9,66.1,54.4,39,31,22.0,4,3.43,3.64,4,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mazda
-1,3515,25552,4350,190.9,183,123,110.0,70.3,56.5,25,22,21.5,5,3.58,3.64,4,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mercedes-benz
-1,3750,28248,4350,190.9,183,123,110.0,70.3,58.7,25,22,21.5,5,3.58,3.64,4,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,mercedes-benz
0,3495,28176,4350,187.5,183,123,106.7,70.3,54.9,25,22,21.5,5,3.58,3.64,2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,mercedes-benz
-1,3770,31600,4350,202.6,183,123,115.6,71.7,56.3,25,22,21.5,5,3.58,3.64,4,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mercedes-benz
-1,3740,34184,4750,202.6,234,155,115.6,71.7,56.5,18,16,8.3,8,3.46,3.1,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mercedes-benz
3,3685,35056,4750,180.3,234,155,96.6,70.5,50.8,18,16,8.3,8,3.46,3.1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,mercedes-benz
0,3900,40960,4500,208.1,308,184,120.9,71.7,56.7,16,14,8.0,8,3.8,3.35,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mercedes-benz
1,3715,45400,4500,199.2,304,184,112.0,72.0,55.4,16,14,8.0,8,3.8,3.35,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,mercedes-benz
1,2910,16503,5000,178.4,140,175,102.7,68.0,54.8,24,19,8.0,4,3.78,3.12,2,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mercury
2,1918,5389,5500,157.3,92,68,93.7,64.4,50.8,41,37,9.4,4,2.97,3.23,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mitsubishi
2,1944,6189,5500,157.3,92,68,93.7,64.4,50.8,38,31,9.4,4,2.97,3.23,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mitsubishi
2,2004,6669,5500,157.3,92,68,93.7,64.4,50.8,38,31,9.4,4,2.97,3.23,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mitsubishi
1,2145,7689,5500,157.3,98,102,93.0,63.8,50.8,30,24,7.6,4,3.03,3.39,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,mitsubishi
3,2370,9959,5500,173.0,110,116,96.3,65.4,49.4,30,23,7.5,4,3.17,3.46,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,mitsubishi
3,2328,8499,5000,173.0,122,88,96.3,65.4,49.4,32,25,8.5,4,3.35,3.46,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mitsubishi
3,2833,12629,5000,173.2,156,145,95.9,66.3,50.2,24,19,7.0,4,3.58,3.86,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,mitsubishi
3,2921,14869,5000,173.2,156,145,95.9,66.3,50.2,24,19,7.0,4,3.59,3.86,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,mitsubishi
3,2926,14489,5000,173.2,156,145,95.9,66.3,50.2,24,19,7.0,4,3.59,3.86,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,mitsubishi
1,2365,6989,5000,172.4,122,88,96.3,65.4,51.6,32,25,8.5,4,3.35,3.46,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mitsubishi
1,2405,8189,5000,172.4,122,88,96.3,65.4,51.6,32,25,8.5,4,3.35,3.46,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mitsubishi
1,2403,9279,5500,172.4,110,116,96.3,65.4,51.6,30,23,7.5,4,3.17,3.46,4,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,mitsubishi
-1,2403,9279,5500,172.4,110,116,96.3,65.4,51.6,30,23,7.5,4,3.17,3.46,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,mitsubishi
1,1889,5499,5200,165.3,97,69,94.5,63.8,54.5,37,31,9.4,4,3.15,3.29,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nissan
1,2017,7099,4800,165.3,103,55,94.5,63.8,54.5,50,45,21.9,4,2.99,3.47,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nissan
1,1918,6649,5200,165.3,97,69,94.5,63.8,54.5,37,31,9.4,4,3.15,3.29,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nissan
1,1938,6849,5200,165.3,97,69,94.5,63.8,54.5,37,31,9.4,4,3.15,3.29,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nissan
1,2024,7349,5200,170.2,97,69,94.5,63.8,53.5,37,31,9.4,4,3.15,3.29,4,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,nissan
1,1951,7299,5200,165.3,97,69,94.5,63.8,54.5,37,31,9.4,4,3.15,3.29,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nissan
1,2028,7799,5200,165.6,97,69,94.5,63.8,53.3,37,31,9.4,4,3.15,3.29,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,nissan
1,1971,7499,5200,165.3,97,69,94.5,63.8,54.5,37,31,9.4,4,3.15,3.29,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nissan
1,2037,7999,5200,170.2,97,69,94.5,63.8,53.5,37,31,9.4,4,3.15,3.29,4,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,nissan
2,2008,8249,5200,162.4,97,69,95.1,63.8,53.3,37,31,9.4,4,3.15,3.29,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,nissan
0,2324,8949,5200,173.4,120,97,97.2,65.2,54.7,34,27,8.5,4,3.33,3.47,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,nissan
0,2302,9549,5200,173.4,120,97,97.2,65.2,54.7,34,27,8.5,4,3.33,3.47,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nissan
0,3095,13499,5200,181.7,181,152,100.4,66.5,55.1,22,17,9.0,6,3.43,3.27,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nissan
0,3296,14399,5200,184.6,181,152,100.4,66.5,56.1,22,17,9.0,6,3.43,3.27,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,nissan
0,3060,13499,5200,184.6,181,152,100.4,66.5,55.1,25,19,9.0,6,3.43,3.27,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nissan
3,3071,17199,5200,170.7,181,160,91.3,67.9,49.7,25,19,9.0,6,3.43,3.27,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,nissan
3,3139,19699,5200,170.7,181,200,91.3,67.9,49.7,23,17,7.8,6,3.43,3.27,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,nissan
1,3139,18399,5200,178.5,181,160,99.2,67.9,49.7,25,19,9.0,6,3.43,3.27,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,nissan
0,3020,11900,5000,186.7,120,97,107.9,68.4,56.7,24,19,8.4,4,3.46,3.19,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,peugot
0,3197,13200,4150,186.7,152,95,107.9,68.4,56.7,33,28,21.0,4,3.7,3.52,4,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,peugot
0,3230,12440,5000,198.9,120,97,114.2,68.4,58.7,24,19,8.4,4,3.46,3.19,4,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,peugot
0,3430,13860,4150,198.9,152,95,114.2,68.4,58.7,25,25,21.0,4,3.7,3.52,4,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,peugot
0,3075,15580,5000,186.7,120,95,107.9,68.4,56.7,24,19,8.4,4,3.46,2.19,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,peugot
0,3252,16900,4150,186.7,152,95,107.9,68.4,56.7,33,28,21.0,4,3.7,3.52,4,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,peugot
0,3285,16695,5000,198.9,120,95,114.2,68.4,56.7,24,19,8.4,4,3.46,2.19,4,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,peugot
0,3485,17075,4150,198.9,152,95,114.2,68.4,58.7,25,25,21.0,4,3.7,3.52,4,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,peugot
0,3075,16630,5000,186.7,120,97,107.9,68.4,56.7,24,19,8.4,4,3.46,3.19,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,peugot
0,3252,17950,4150,186.7,152,95,107.9,68.4,56.7,33,28,21.0,4,3.7,3.52,4,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,peugot
0,3130,18150,5600,186.7,134,142,108.0,68.3,56.0,24,18,7.0,4,3.61,3.21,4,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,peugot
1,1918,5572,5500,157.3,90,68,93.7,63.8,50.8,41,37,9.4,4,2.97,3.23,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,plymouth
1,2128,7957,5500,157.3,98,102,93.7,63.8,50.8,30,24,7.6,4,3.03,3.39,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,plymouth
1,1967,6229,5500,157.3,90,68,93.7,63.8,50.6,38,31,9.4,4,2.97,3.23,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,plymouth
1,1989,6692,5500,167.3,90,68,93.7,63.8,50.8,38,31,9.4,4,2.97,3.23,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plymouth
1,2191,7609,5500,167.3,98,68,93.7,63.8,50.8,38,31,9.4,4,2.97,3.23,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plymouth
-1,2535,8921,5000,174.6,122,88,103.3,64.6,59.8,30,24,8.5,4,3.35,3.46,4,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,plymouth
3,2818,12764,5000,173.2,156,145,95.9,66.3,50.2,24,19,7.0,4,3.59,3.86,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,plymouth
3,2778,22018,5500,168.9,151,143,94.5,68.3,50.2,27,19,9.5,4,3.94,3.11,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,porsche
3,2756,32528,5900,168.9,194,207,89.5,65.0,51.6,25,17,9.5,6,3.74,2.9,2,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,porsche
3,2756,34028,5900,168.9,194,207,89.5,65.0,51.6,25,17,9.5,6,3.74,2.9,2,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,porsche
3,2800,37028,5900,168.9,194,207,89.5,65.0,51.6,25,17,9.5,6,3.74,2.9,2,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,porsche
1,3366,39000,5750,175.7,203,288,98.4,72.3,50.5,28,17,10.0,8,3.94,3.11,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,porsche
3,2658,11850,5250,186.6,121,110,99.1,66.5,56.1,28,21,9.31,4,3.54,3.07,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,saab
2,2695,12170,5250,186.6,121,110,99.1,66.5,56.1,28,21,9.3,4,3.54,3.07,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,saab
3,2707,15040,5250,186.6,121,110,99.1,66.5,56.1,28,21,9.3,4,2.54,2.07,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,saab
