curb-weight,price,peak-rpm,length,engine-size,wheel-base,horsepower,width,height,city-mpg,num-of-cylinders,stroke,bore,num-of-doors,fuel-type,engine-type_ohc,drive-wheels_fwd,fuel-system_2bbl,body-style_sedan,fuel-system_mpfi,drive-wheels_rwd,aspiration,fuel-system_spdi,engine-type_dohc,body-style_convertible,engine-type_ohcv,fuel-system_mfi,engine-type_dohcv,engine-location,fuel-system_spfi,engine-type_l,fuel-system_idi,body-style_hardtop,engine-type_ohcf,drive-wheels_4wd,body-style_wagon,fuel-system_1bbl,body-style_hatchback,symboling,compression-ratio,highway-mpg,make
1874,8000,5400,155.9,90,94.5,70,63.6,52.0,38,4,3.11,3.03,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.6,43,isuzu
1909,9000,5400,155.9,90,94.5,70,63.6,52.0,38,4,3.11,3.03,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,43,isuzu
2734,11048,5000,172.6,119,96.0,90,65.2,51.4,24,4,3.23,3.43,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,9.2,29,isuzu
4066,32250,4750,199.6,258,113.0,176,69.6,52.8,15,6,4.17,3.63,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,19,jaguar
4066,35550,4750,199.6,258,113.0,176,69.6,52.8,15,6,4.17,3.63,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,19,jaguar
3950,36000,5000,191.7,326,102.0,262,70.6,47.8,13,12,2.76,3.54,2,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,17,jaguar
1890,5195,5000,159.1,91,93.1,68,64.2,54.1,30,4,3.15,3.03,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.0,31,mazda
1900,6095,5000,159.1,91,93.1,68,64.2,54.1,31,4,3.15,3.03,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.0,38,mazda
1905,6795,5000,159.1,91,93.1,68,64.2,54.1,31,4,3.15,3.03,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.0,38,mazda
1945,6695,5000,166.8,91,93.1,68,64.2,54.1,31,4,3.15,3.03,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,38,mazda
1950,7395,5000,166.8,91,93.1,68,64.2,54.1,31,4,3.15,3.08,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,38,mazda
2385,8845,4800,177.8,122,98.8,84,66.5,53.7,26,4,3.39,3.39,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.6,32,mazda
2410,8495,4800,177.8,122,98.8,84,66.5,55.5,26,4,3.39,3.39,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,32,mazda
2385,10595,4800,177.8,122,98.8,84,66.5,53.7,26,4,3.39,3.39,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.6,32,mazda
2410,10245,4800,177.8,122,98.8,84,66.5,55.5,26,4,3.39,3.39,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,32,mazda
2443,10795,4650,177.8,122,98.8,64,66.5,55.5,36,4,3.39,3.39,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.7,42,mazda
2425,11245,4800,177.8,122,98.8,84,66.5,55.5,26,4,3.39,3.39,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.6,32,mazda
2670,18280,5000,175.0,140,104.9,120,66.1,54.4,19,4,3.16,3.76,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,27,mazda
2700,18344,4200,175.0,134,104.9,72,66.1,54.4,31,4,3.64,3.43,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.0,39,mazda
3515,25552,4350,190.9,183,110.0,123,70.3,56.5,22,5,3.64,3.58,4,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,21.5,25,mercedes-benz
3750,28248,4350,190.9,183,110.0,123,70.3,58.7,22,5,3.64,3.58,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1,21.5,25,mercedes-benz
3495,28176,4350,187.5,183,106.7,123,70.3,54.9,22,5,3.64,3.58,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,21.5,25,mercedes-benz
3770,31600,4350,202.6,183,115.6,123,71.7,56.3,22,5,3.64,3.58,4,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,21.5,25,mercedes-benz
3740,34184,4750,202.6,234,115.6,155,71.7,56.5,16,8,3.1,3.46,4,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,8.3,18,mercedes-benz
3685,35056,4750,180.3,234,96.6,155,70.5,50.8,16,8,3.1,3.46,2,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,8.3,18,mercedes-benz
3900,40960,4500,208.1,308,120.9,184,71.7,56.7,14,8,3.35,3.8,4,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,16,mercedes-benz
3715,45400,4500,199.2,304,112.0,184,72.0,55.4,14,8,3.35,3.8,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,8.0,16,mercedes-benz
2910,16503,5000,178.4,140,102.7,175,68.0,54.8,19,4,3.12,3.78,2,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.0,24,mercury
1918,5389,5500,157.3,92,93.7,68,64.4,50.8,37,4,3.23,2.97,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9.4,41,mitsubishi
1944,6189,5500,157.3,92,93.7,68,64.4,50.8,31,4,3.23,2.97,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9.4,38,mitsubishi
2004,6669,5500,157.3,92,93.7,68,64.4,50.8,31,4,3.23,2.97,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9.4,38,mitsubishi
2145,7689,5500,157.3,98,93.0,102,63.8,50.8,24,4,3.39,3.03,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.6,30,mitsubishi
2370,9959,5500,173.0,110,96.3,116,65.4,49.4,23,4,3.46,3.17,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7.5,30,mitsubishi
2328,8499,5000,173.0,122,96.3,88,65.4,49.4,25,4,3.46,3.35,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8.5,32,mitsubishi
2833,12629,5000,173.2,156,95.9,145,66.3,50.2,19,4,3.86,3.58,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7.0,24,mitsubishi
2921,14869,5000,173.2,156,95.9,145,66.3,50.2,19,4,3.86,3.59,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7.0,24,mitsubishi
2926,14489,5000,173.2,156,95.9,145,66.3,50.2,19,4,3.86,3.59,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7.0,24,mitsubishi
2365,6989,5000,172.4,122,96.3,88,65.4,51.6,25,4,3.46,3.35,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.5,32,mitsubishi
2405,8189,5000,172.4,122,96.3,88,65.4,51.6,25,4,3.46,3.35,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.5,32,mitsubishi
2403,9279,5500,172.4,110,96.3,116,65.4,51.6,23,4,3.46,3.17,4,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.5,30,mitsubishi
2403,9279,5500,172.4,110,96.3,116,65.4,51.6,23,4,3.46,3.17,4,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,7.5,30,mitsubishi
1889,5499,5200,165.3,97,94.5,69,63.8,54.5,31,4,3.29,3.15,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.4,37,nissan
2017,7099,4800,165.3,103,94.5,55,63.8,54.5,45,4,3.47,2.99,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,21.9,50,nissan
1918,6649,5200,165.3,97,94.5,69,63.8,54.5,31,4,3.29,3.15,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.4,37,nissan
1938,6849,5200,165.3,97,94.5,69,63.8,54.5,31,4,3.29,3.15,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.4,37,nissan
2024,7349,5200,170.2,97,94.5,69,63.8,53.5,31,4,3.29,3.15,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9.4,37,nissan
1951,7299,5200,165.3,97,94.5,69,63.8,54.5,31,4,3.29,3.15,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.4,37,nissan
2028,7799,5200,165.6,97,94.5,69,63.8,53.3,31,4,3.29,3.15,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.4,37,nissan
1971,7499,5200,165.3,97,94.5,69,63.8,54.5,31,4,3.29,3.15,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.4,37,nissan
2037,7999,5200,170.2,97,94.5,69,63.8,53.5,31,4,3.29,3.15,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9.4,37,nissan
2008,8249,5200,162.4,97,95.1,69,63.8,53.3,31,4,3.29,3.15,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,9.4,37,nissan
2324,8949,5200,173.4,120,97.2,97,65.2,54.7,27,4,3.47,3.33,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.5,34,nissan
2302,9549,5200,173.4,120,97.2,97,65.2,54.7,27,4,3.47,3.33,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,34,nissan
3095,13499,5200,181.7,181,100.4,152,66.5,55.1,17,6,3.27,3.43,4,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,22,nissan
3296,14399,5200,184.6,181,100.4,152,66.5,56.1,17,6,3.27,3.43,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9.0,22,nissan
3060,13499,5200,184.6,181,100.4,152,66.5,55.1,19,6,3.27,3.43,4,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,25,nissan
3071,17199,5200,170.7,181,91.3,160,67.9,49.7,19,6,3.27,3.43,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,9.0,25,nissan
3139,19699,5200,170.7,181,91.3,200,67.9,49.7,17,6,3.27,3.43,2,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,7.8,23,nissan
3139,18399,5200,178.5,181,99.2,160,67.9,49.7,19,6,3.27,3.43,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,9.0,25,nissan
3020,11900,5000,186.7,120,107.9,97,68.4,56.7,19,4,3.19,3.46,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.4,24,peugot
3197,13200,4150,186.7,152,107.9,95,68.4,56.7,28,4,3.52,3.7,4,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,21.0,33,peugot
3230,12440,5000,198.9,120,114.2,97,68.4,58.7,19,4,3.19,3.46,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8.4,24,peugot
3430,13860,4150,198.9,152,114.2,95,68.4,58.7,25,4,3.52,3.7,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,21.0,25,peugot
3075,15580,5000,186.7,120,107.9,95,68.4,56.7,19,4,2.19,3.46,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.4,24,peugot
3252,16900,4150,186.7,152,107.9,95,68.4,56.7,28,4,3.52,3.7,4,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,21.0,33,peugot
3285,16695,5000,198.9,120,114.2,95,68.4,56.7,19,4,2.19,3.46,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8.4,24,peugot
3485,17075,4150,198.9,152,114.2,95,68.4,58.7,25,4,3.52,3.7,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,21.0,25,peugot
3075,16630,5000,186.7,120,107.9,97,68.4,56.7,19,4,3.19,3.46,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.4,24,peugot
3252,17950,4150,186.7,152,107.9,95,68.4,56.7,28,4,3.52,3.7,4,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,21.0,33,peugot
3130,18150,5600,186.7,134,108.0,142,68.3,56.0,18,4,3.21,3.61,4,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0,24,peugot
1918,5572,5500,157.3,90,93.7,68,63.8,50.8,37,4,3.23,2.97,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.4,41,plymouth
2128,7957,5500,157.3,98,93.7,102,63.8,50.8,24,4,3.39,3.03,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.6,30,plymouth
1967,6229,5500,157.3,90,93.7,68,63.8,50.6,31,4,3.23,2.97,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.4,38,plymouth
1989,6692,5500,167.3,90,93.7,68,63.8,50.8,31,4,3.23,2.97,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.4,38,plymouth
2191,7609,5500,167.3,98,93.7,68,63.8,50.8,31,4,3.23,2.97,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.4,38,plymouth
2535,8921,5000,174.6,122,103.3,88,64.6,59.8,24,4,3.46,3.35,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,8.5,30,plymouth
2818,12764,5000,173.2,156,95.9,145,66.3,50.2,19,4,3.86,3.59,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7.0,24,plymouth
2778,22018,5500,168.9,151,94.5,143,68.3,50.2,19,4,3.11,3.94,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9.5,27,porsche
2756,32528,5900,168.9,194,89.5,207,65.0,51.6,17,6,2.9,3.74,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,9.5,25,porsche
2756,34028,5900,168.9,194,89.5,207,65.0,51.6,17,6,2.9,3.74,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,9.5,25,porsche
2800,37028,5900,168.9,194,89.5,207,65.0,51.6,17,6,2.9,3.74,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,9.5,25,porsche
3366,39000,5750,175.7,203,98.4,288,72.3,50.5,17,8,3.11,3.94,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,10.0,28,porsche
2658,11850,5250,186.6,121,99.1,110,66.5,56.1,21,4,3.07,3.54,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9.31,28,saab
2695,12170,5250,186.6,121,99.1,110,66.5,56.1,21,4,3.07,3.54,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9.3,28,saab
2707,15040,5250,186.6,121,99.1,110,66.5,56.1,21,4,2.07,2.54,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9.3,28,saab
