drive-wheels_fwd,wheel-base,aspiration,length,fuel-system_spdi,fuel-system_1bbl,fuel-system_mpfi,drive-wheels_4wd,compression-ratio,curb-weight,engine-type_dohcv,horsepower,body-style_hatchback,body-style_hardtop,engine-type_ohcv,num-of-doors,width,bore,engine-size,drive-wheels_rwd,num-of-cylinders,fuel-system_spfi,engine-type_ohc,fuel-system_mfi,body-style_sedan,city-mpg,fuel-system_2bbl,price,highway-mpg,height,fuel-system_idi,body-style_convertible,fuel-type,symboling,stroke,engine-type_ohcf,body-style_wagon,peak-rpm,engine-type_dohc,engine-location,engine-type_l,make
0,101.2,0,176.8,0,0,1,0,8.8,2395,0,101,0,0,0,2,64.8,3.5,108,1,4,0,1,0,1,23,0,16430,29,54.3,0,0,1,2,2.8,0,0,5800,0,0,0,bmw
0,101.2,0,176.8,0,0,1,0,8.8,2395,0,101,0,0,0,4,64.8,3.5,108,1,4,0,1,0,1,23,0,16925,29,54.3,0,0,1,0,2.8,0,0,5800,0,0,0,bmw
0,101.2,0,176.8,0,0,1,0,9.0,2710,0,121,0,0,0,2,64.8,3.31,164,1,6,0,1,0,1,21,0,20970,28,54.3,0,0,1,0,3.19,0,0,4250,0,0,0,bmw
0,101.2,0,176.8,0,0,1,0,9.0,2765,0,121,0,0,0,4,64.8,3.31,164,1,6,0,1,0,1,21,0,21105,28,54.3,0,0,1,0,3.19,0,0,4250,0,0,0,bmw
0,103.5,0,189.0,0,0,1,0,9.0,3055,0,121,0,0,0,4,66.9,3.31,164,1,6,0,1,0,1,20,0,24565,25,55.7,0,0,1,1,3.19,0,0,4250,0,0,0,bmw
0,103.5,0,189.0,0,0,1,0,8.0,3230,0,182,0,0,0,4,66.9,3.62,209,1,6,0,1,0,1,16,0,30760,22,55.7,0,0,1,0,3.39,0,0,5400,0,0,0,bmw
0,103.5,0,193.8,0,0,1,0,8.0,3380,0,182,0,0,0,2,67.9,3.62,209,1,6,0,1,0,1,16,0,41315,22,53.7,0,0,1,0,3.39,0,0,5400,0,0,0,bmw
0,110.0,0,197.0,0,0,1,0,8.0,3505,0,182,0,0,0,4,70.9,3.62,209,1,6,0,1,0,1,15,0,36880,20,56.3,0,0,1,0,3.39,0,0,5400,0,0,0,bmw
1,88.4,0,141.1,0,0,0,0,9.5,1488,0,48,1,0,0,2,60.3,2.91,61,0,3,0,0,0,0,47,1,5151,53,53.2,0,0,1,2,3.03,0,0,5100,0,0,1,chevrolet
1,94.5,0,155.9,0,0,0,0,9.6,1874,0,70,1,0,0,2,63.6,3.03,90,0,4,0,1,0,0,38,1,6295,43,52.0,0,0,1,1,3.11,0,0,5400,0,0,0,chevrolet
1,94.5,0,158.8,0,0,0,0,9.6,1909,0,70,0,0,0,4,63.6,3.03,90,0,4,0,1,0,1,38,1,6575,43,52.0,0,0,1,0,3.11,0,0,5400,0,0,0,chevrolet
1,93.7,0,157.3,0,0,0,0,9.41,1876,0,68,1,0,0,2,63.8,2.97,90,0,4,0,1,0,0,37,1,5572,41,50.8,0,0,1,1,3.23,0,0,5500,0,0,0,dodge
1,93.7,0,157.3,0,0,0,0,9.4,1876,0,68,1,0,0,2,63.8,2.97,90,0,4,0,1,0,0,31,1,6377,38,50.8,0,0,1,1,3.23,0,0,5500,0,0,0,dodge
1,93.7,1,157.3,0,0,1,0,7.6,2128,0,102,1,0,0,2,63.8,3.03,98,0,4,0,1,0,0,24,0,7957,30,50.8,0,0,1,1,3.39,0,0,5500,0,0,0,dodge
1,93.7,0,157.3,0,0,0,0,9.4,1967,0,68,1,0,0,4,63.8,2.97,90,0,4,0,1,0,0,31,1,6229,38,50.6,0,0,1,1,3.23,0,0,5500,0,0,0,dodge
1,93.7,0,157.3,0,0,0,0,9.4,1989,0,68,0,0,0,4,63.8,2.97,90,0,4,0,1,0,1,31,1,6692,38,50.6,0,0,1,1,3.23,0,0,5500,0,0,0,dodge
1,93.7,0,157.3,0,0,0,0,9.4,1989,0,68,0,0,0,4,63.8,2.97,90,0,4,0,1,0,1,31,1,7609,38,50.6,0,0,1,1,3.23,0,0,5500,0,0,0,dodge
1,93.7,1,157.3,0,0,1,0,7.6,2191,0,102,0,0,0,4,63.8,3.03,98,0,4,0,1,0,1,24,0,8558,30,50.6,0,0,1,1,3.39,0,0,5500,0,0,0,dodge
1,103.3,0,174.6,0,0,0,0,8.5,2535,0,88,0,0,0,4,64.6,3.34,122,0,4,0,1,0,0,24,1,8921,30,59.8,0,0,1,-1,3.46,0,1,5000,0,0,0,dodge
1,95.9,1,173.2,0,0,0,0,7.0,2811,0,145,1,0,0,2,66.3,3.6,156,0,4,0,1,1,0,19,0,12964,24,50.2,0,0,1,3,3.9,0,0,5000,0,0,0,dodge
1,86.6,0,144.6,0,1,0,0,9.6,1713,0,58,1,0,0,2,63.9,2.91,92,0,4,0,1,0,0,49,0,6479,54,50.8,0,0,1,2,3.41,0,0,4800,0,0,0,honda
1,86.6,0,144.6,0,1,0,0,9.2,1819,0,76,1,0,0,2,63.9,2.91,92,0,4,0,1,0,0,31,0,6855,38,50.8,0,0,1,2,3.41,0,0,6000,0,0,0,honda
1,93.7,0,150.0,0,1,0,0,10.1,1837,0,60,1,0,0,2,64.0,2.91,79,0,4,0,1,0,0,38,0,5399,42,52.6,0,0,1,1,3.07,0,0,5500,0,0,0,honda
1,93.7,0,150.0,0,1,0,0,9.2,1940,0,76,1,0,0,2,64.0,2.91,92,0,4,0,1,0,0,30,0,6529,34,52.6,0,0,1,1,3.41,0,0,6000,0,0,0,honda
1,93.7,0,150.0,0,1,0,0,9.2,1956,0,76,1,0,0,2,64.0,2.91,92,0,4,0,1,0,0,30,0,7129,34,52.6,0,0,1,1,3.41,0,0,6000,0,0,0,honda
1,96.5,0,163.4,0,1,0,0,9.2,2010,0,76,0,0,0,4,64.0,2.91,92,0,4,0,1,0,1,30,0,7295,34,54.5,0,0,1,0,3.41,0,0,6000,0,0,0,honda
1,96.5,0,157.1,0,1,0,0,9.2,2024,0,76,0,0,0,4,63.9,2.92,92,0,4,0,1,0,0,30,0,7295,34,58.3,0,0,1,0,3.41,0,1,6000,0,0,0,honda
1,96.5,0,167.5,0,1,0,0,9.0,2236,0,86,1,0,0,2,65.2,3.15,110,0,4,0,1,0,0,27,0,7895,33,53.3,0,0,1,0,3.58,0,0,5800,0,0,0,honda
1,96.5,0,167.5,0,1,0,0,9.0,2289,0,86,1,0,0,2,65.2,3.15,110,0,4,0,1,0,0,27,0,9095,33,53.3,0,0,1,0,3.58,0,0,5800,0,0,0,honda
1,96.5,0,175.4,0,1,0,0,9.0,2304,0,86,0,0,0,4,65.2,3.15,110,0,4,0,1,0,1,27,0,8845,33,54.1,0,0,1,0,3.58,0,0,5800,0,0,0,honda
1,96.5,0,175.4,0,1,0,0,9.0,2372,0,86,0,0,0,4,62.5,3.15,110,0,4,0,1,0,1,27,0,10295,33,54.1,0,0,1,0,3.58,0,0,5800,0,0,0,honda
1,96.5,0,175.4,0,0,1,0,9.0,2465,0,101,0,0,0,4,65.2,3.15,110,0,4,0,1,0,1,24,0,12945,28,54.1,0,0,1,0,3.58,0,0,5800,0,0,0,honda
1,96.5,0,169.1,0,0,0,0,9.1,2293,0,100,0,0,0,2,66.0,3.15,110,0,4,0,1,0,1,25,1,10345,31,51.0,0,0,1,1,3.58,0,0,5500,0,0,0,honda
0,94.3,0,170.7,0,0,0,0,8.5,2337,0,78,0,0,0,4,61.8,3.31,111,1,4,0,1,0,1,24,1,6785,29,53.5,0,0,1,0,3.23,0,0,4800,0,0,0,isuzu
1,94.5,0,155.9,0,0,0,0,9.6,1874,0,70,0,0,0,2,63.6,3.03,90,0,4,0,1,0,1,38,1,8000,43,52.0,0,0,1,1,3.11,0,0,5400,0,0,0,isuzu
1,94.5,0,155.9,0,0,0,0,9.6,1909,0,70,0,0,0,4,63.6,3.03,90,0,4,0,1,0,1,38,1,9000,43,52.0,0,0,1,0,3.11,0,0,5400,0,0,0,isuzu
0,96.0,0,172.6,0,0,0,0,9.2,2734,0,90,1,0,0,2,65.2,3.43,119,1,4,1,1,0,0,24,0,11048,29,51.4,0,0,1,2,3.23,0,0,5000,0,0,0,isuzu
0,113.0,0,199.6,0,0,1,0,8.1,4066,0,176,0,0,0,4,69.6,3.63,258,1,6,0,0,0,1,15,0,32250,19,52.8,0,0,1,0,4.17,0,0,4750,1,0,0,jaguar
0,113.0,0,199.6,0,0,1,0,8.1,4066,0,176,0,0,0,4,69.6,3.63,258,1,6,0,0,0,1,15,0,35550,19,52.8,0,0,1,0,4.17,0,0,4750,1,0,0,jaguar
0,102.0,0,191.7,0,0,1,0,11.5,3950,0,262,0,0,1,2,70.6,3.54,326,1,12,0,0,0,1,13,0,36000,17,47.8,0,0,1,0,2.76,0,0,5000,0,0,0,jaguar
1,93.1,0,159.1,0,0,0,0,9.0,1890,0,68,1,0,0,2,64.2,3.03,91,0,4,0,1,0,0,30,1,5195,31,54.1,0,0,1,1,3.15,0,0,5000,0,0,0,mazda
1,93.1,0,159.1,0,0,0,0,9.0,1900,0,68,1,0,0,2,64.2,3.03,91,0,4,0,1,0,0,31,1,6095,38,54.1,0,0,1,1,3.15,0,0,5000,0,0,0,mazda
1,93.1,0,159.1,0,0,0,0,9.0,1905,0,68,1,0,0,2,64.2,3.03,91,0,4,0,1,0,0,31,1,6795,38,54.1,0,0,1,1,3.15,0,0,5000,0,0,0,mazda
1,93.1,0,166.8,0,0,0,0,9.0,1945,0,68,0,0,0,4,64.2,3.03,91,0,4,0,1,0,1,31,1,6695,38,54.1,0,0,1,1,3.15,0,0,5000,0,0,0,mazda
1,93.1,0,166.8,0,0,0,0,9.0,1950,0,68,0,0,0,4,64.2,3.08,91,0,4,0,1,0,1,31,1,7395,38,54.1,0,0,1,1,3.15,0,0,5000,0,0,0,mazda
1,98.8,0,177.8,0,0,0,0,8.6,2385,0,84,1,0,0,2,66.5,3.39,122,0,4,0,1,0,0,26,1,8845,32,53.7,0,0,1,1,3.39,0,0,4800,0,0,0,mazda
1,98.8,0,177.8,0,0,0,0,8.6,2410,0,84,0,0,0,4,66.5,3.39,122,0,4,0,1,0,1,26,1,8495,32,55.5,0,0,1,0,3.39,0,0,4800,0,0,0,mazda
1,98.8,0,177.8,0,0,0,0,8.6,2385,0,84,1,0,0,2,66.5,3.39,122,0,4,0,1,0,0,26,1,10595,32,53.7,0,0,1,1,3.39,0,0,4800,0,0,0,mazda
1,98.8,0,177.8,0,0,0,0,8.6,2410,0,84,0,0,0,4,66.5,3.39,122,0,4,0,1,0,1,26,1,10245,32,55.5,0,0,1,0,3.39,0,0,4800,0,0,0,mazda
1,98.8,0,177.8,0,0,0,0,22.7,2443,0,64,0,0,0,4,66.5,3.39,122,0,4,0,1,0,1,36,0,10795,42,55.5,1,0,0,0,3.39,0,0,4650,0,0,0,mazda
1,98.8,0,177.8,0,0,0,0,8.6,2425,0,84,1,0,0,4,66.5,3.39,122,0,4,0,1,0,0,26,1,11245,32,55.5,0,0,1,0,3.39,0,0,4800,0,0,0,mazda
0,104.9,0,175.0,0,0,1,0,8.0,2670,0,120,0,0,0,4,66.1,3.76,140,1,4,0,1,0,1,19,0,18280,27,54.4,0,0,1,0,3.16,0,0,5000,0,0,0,mazda
0,104.9,0,175.0,0,0,0,0,22.0,2700,0,72,0,0,0,4,66.1,3.43,134,1,4,0,1,0,1,31,0,18344,39,54.4,1,0,0,0,3.64,0,0,4200,0,0,0,mazda
0,110.0,1,190.9,0,0,0,0,21.5,3515,0,123,0,0,0,4,70.3,3.58,183,1,5,0,1,0,1,22,0,25552,25,56.5,1,0,0,-1,3.64,0,0,4350,0,0,0,mercedes-benz
0,110.0,1,190.9,0,0,0,0,21.5,3750,0,123,0,0,0,4,70.3,3.58,183,1,5,0,1,0,0,22,0,28248,25,58.7,1,0,0,-1,3.64,0,1,4350,0,0,0,mercedes-benz
0,106.7,1,187.5,0,0,0,0,21.5,3495,0,123,0,1,0,2,70.3,3.58,183,1,5,0,1,0,0,22,0,28176,25,54.9,1,0,0,0,3.64,0,0,4350,0,0,0,mercedes-benz
0,115.6,1,202.6,0,0,0,0,21.5,3770,0,123,0,0,0,4,71.7,3.58,183,1,5,0,1,0,1,22,0,31600,25,56.3,1,0,0,-1,3.64,0,0,4350,0,0,0,mercedes-benz
0,115.6,0,202.6,0,0,1,0,8.3,3740,0,155,0,0,1,4,71.7,3.46,234,1,8,0,0,0,1,16,0,34184,18,56.5,0,0,1,-1,3.1,0,0,4750,0,0,0,mercedes-benz
0,96.6,0,180.3,0,0,1,0,8.3,3685,0,155,0,0,1,2,70.5,3.46,234,1,8,0,0,0,0,16,0,35056,18,50.8,0,1,1,3,3.1,0,0,4750,0,0,0,mercedes-benz
0,120.9,0,208.1,0,0,1,0,8.0,3900,0,184,0,0,1,4,71.7,3.8,308,1,8,0,0,0,1,14,0,40960,16,56.7,0,0,1,0,3.35,0,0,4500,0,0,0,mercedes-benz
0,112.0,0,199.2,0,0,1,0,8.0,3715,0,184,0,1,1,2,72.0,3.8,304,1,8,0,0,0,0,14,0,45400,16,55.4,0,0,1,1,3.35,0,0,4500,0,0,0,mercedes-benz
0,102.7,1,178.4,0,0,1,0,8.0,2910,0,175,1,0,0,2,68.0,3.78,140,1,4,0,1,0,0,19,0,16503,24,54.8,0,0,1,1,3.12,0,0,5000,0,0,0,mercury
1,93.7,0,157.3,0,0,0,0,9.4,1918,0,68,1,0,0,2,64.4,2.97,92,0,4,0,1,0,0,37,1,5389,41,50.8,0,0,1,2,3.23,0,0,5500,0,0,0,mitsubishi
1,93.7,0,157.3,0,0,0,0,9.4,1944,0,68,1,0,0,2,64.4,2.97,92,0,4,0,1,0,0,31,1,6189,38,50.8,0,0,1,2,3.23,0,0,5500,0,0,0,mitsubishi
1,93.7,0,157.3,0,0,0,0,9.4,2004,0,68,1,0,0,2,64.4,2.97,92,0,4,0,1,0,0,31,1,6669,38,50.8,0,0,1,2,3.23,0,0,5500,0,0,0,mitsubishi
1,93.0,1,157.3,1,0,0,0,7.6,2145,0,102,1,0,0,2,63.8,3.03,98,0,4,0,1,0,0,24,0,7689,30,50.8,0,0,1,1,3.39,0,0,5500,0,0,0,mitsubishi
1,96.3,1,173.0,1,0,0,0,7.5,2370,0,116,1,0,0,2,65.4,3.17,110,0,4,0,1,0,0,23,0,9959,30,49.4,0,0,1,3,3.46,0,0,5500,0,0,0,mitsubishi
1,96.3,0,173.0,0,0,0,0,8.5,2328,0,88,1,0,0,2,65.4,3.35,122,0,4,0,1,0,0,25,1,8499,32,49.4,0,0,1,3,3.46,0,0,5000,0,0,0,mitsubishi
1,95.9,1,173.2,1,0,0,0,7.0,2833,0,145,1,0,0,2,66.3,3.58,156,0,4,0,1,0,0,19,0,12629,24,50.2,0,0,1,3,3.86,0,0,5000,0,0,0,mitsubishi
1,95.9,1,173.2,1,0,0,0,7.0,2921,0,145,1,0,0,2,66.3,3.59,156,0,4,0,1,0,0,19,0,14869,24,50.2,0,0,1,3,3.86,0,0,5000,0,0,0,mitsubishi
1,95.9,1,173.2,1,0,0,0,7.0,2926,0,145,1,0,0,2,66.3,3.59,156,0,4,0,1,0,0,19,0,14489,24,50.2,0,0,1,3,3.86,0,0,5000,0,0,0,mitsubishi
1,96.3,0,172.4,0,0,0,0,8.5,2365,0,88,0,0,0,4,65.4,3.35,122,0,4,0,1,0,1,25,1,6989,32,51.6,0,0,1,1,3.46,0,0,5000,0,0,0,mitsubishi
1,96.3,0,172.4,0,0,0,0,8.5,2405,0,88,0,0,0,4,65.4,3.35,122,0,4,0,1,0,1,25,1,8189,32,51.6,0,0,1,1,3.46,0,0,5000,0,0,0,mitsubishi
1,96.3,1,172.4,1,0,0,0,7.5,2403,0,116,0,0,0,4,65.4,3.17,110,0,4,0,1,0,1,23,0,9279,30,51.6,0,0,1,1,3.46,0,0,5500,0,0,0,mitsubishi
1,96.3,0,172.4,1,0,0,0,7.5,2403,0,116,0,0,0,4,65.4,3.17,110,0,4,0,1,0,1,23,0,9279,30,51.6,0,0,1,-1,3.46,0,0,5500,0,0,0,mitsubishi
1,94.5,0,165.3,0,0,0,0,9.4,1889,0,69,0,0,0,2,63.8,3.15,97,0,4,0,1,0,1,31,1,5499,37,54.5,0,0,1,1,3.29,0,0,5200,0,0,0,nissan
1,94.5,0,165.3,0,0,0,0,21.9,2017,0,55,0,0,0,2,63.8,2.99,103,0,4,0,1,0,1,45,0,7099,50,54.5,1,0,0,1,3.47,0,0,4800,0,0,0,nissan
1,94.5,0,165.3,0,0,0,0,9.4,1918,0,69,0,0,0,2,63.8,3.15,97,0,4,0,1,0,1,31,1,6649,37,54.5,0,0,1,1,3.29,0,0,5200,0,0,0,nissan
1,94.5,0,165.3,0,0,0,0,9.4,1938,0,69,0,0,0,4,63.8,3.15,97,0,4,0,1,0,1,31,1,6849,37,54.5,0,0,1,1,3.29,0,0,5200,0,0,0,nissan
1,94.5,0,170.2,0,0,0,0,9.4,2024,0,69,0,0,0,4,63.8,3.15,97,0,4,0,1,0,0,31,1,7349,37,53.5,0,0,1,1,3.29,0,1,5200,0,0,0,nissan
1,94.5,0,165.3,0,0,0,0,9.4,1951,0,69,0,0,0,2,63.8,3.15,97,0,4,0,1,0,1,31,1,7299,37,54.5,0,0,1,1,3.29,0,0,5200,0,0,0,nissan
1,94.5,0,165.6,0,0,0,0,9.4,2028,0,69,1,0,0,2,63.8,3.15,97,0,4,0,1,0,0,31,1,7799,37,53.3,0,0,1,1,3.29,0,0,5200,0,0,0,nissan
1,94.5,0,165.3,0,0,0,0,9.4,1971,0,69,0,0,0,4,63.8,3.15,97,0,4,0,1,0,1,31,1,7499,37,54.5,0,0,1,1,3.29,0,0,5200,0,0,0,nissan
1,94.5,0,170.2,0,0,0,0,9.4,2037,0,69,0,0,0,4,63.8,3.15,97,0,4,0,1,0,0,31,1,7999,37,53.5,0,0,1,1,3.29,0,1,5200,0,0,0,nissan
1,95.1,0,162.4,0,0,0,0,9.4,2008,0,69,0,1,0,2,63.8,3.15,97,0,4,0,1,0,0,31,1,8249,37,53.3,0,0,1,2,3.29,0,0,5200,0,0,0,nissan
1,97.2,0,173.4,0,0,0,0,8.5,2324,0,97,1,0,0,4,65.2,3.33,120,0,4,0,1,0,0,27,1,8949,34,54.7,0,0,1,0,3.47,0,0,5200,0,0,0,nissan
1,97.2,0,173.4,0,0,0,0,8.5,2302,0,97,0,0,0,4,65.2,3.33,120,0,4,0,1,0,1,27,1,9549,34,54.7,0,0,1,0,3.47,0,0,5200,0,0,0,nissan
1,100.4,0,181.7,0,0,1,0,9.0,3095,0,152,0,0,1,4,66.5,3.43,181,0,6,0,0,0,1,17,0,13499,22,55.1,0,0,1,0,3.27,0,0,5200,0,0,0,nissan
1,100.4,0,184.6,0,0,1,0,9.0,3296,0,152,0,0,1,4,66.5,3.43,181,0,6,0,0,0,0,17,0,14399,22,56.1,0,0,1,0,3.27,0,1,5200,0,0,0,nissan
1,100.4,0,184.6,0,0,1,0,9.0,3060,0,152,0,0,1,4,66.5,3.43,181,0,6,0,0,0,1,19,0,13499,25,55.1,0,0,1,0,3.27,0,0,5200,0,0,0,nissan
0,91.3,0,170.7,0,0,1,0,9.0,3071,0,160,1,0,1,2,67.9,3.43,181,1,6,0,0,0,0,19,0,17199,25,49.7,0,0,1,3,3.27,0,0,5200,0,0,0,nissan
0,91.3,1,170.7,0,0,1,0,7.8,3139,0,200,1,0,1,2,67.9,3.43,181,1,6,0,0,0,0,17,0,19699,23,49.7,0,0,1,3,3.27,0,0,5200,0,0,0,nissan
0,99.2,0,178.5,0,0,1,0,9.0,3139,0,160,1,0,1,2,67.9,3.43,181,1,6,0,0,0,0,19,0,18399,25,49.7,0,0,1,1,3.27,0,0,5200,0,0,0,nissan
0,107.9,0,186.7,0,0,1,0,8.4,3020,0,97,0,0,0,4,68.4,3.46,120,1,4,0,0,0,1,19,0,11900,24,56.7,0,0,1,0,3.19,0,0,5000,0,0,1,peugot
0,107.9,1,186.7,0,0,0,0,21.0,3197,0,95,0,0,0,4,68.4,3.7,152,1,4,0,0,0,1,28,0,13200,33,56.7,1,0,0,0,3.52,0,0,4150,0,0,1,peugot
0,114.2,0,198.9,0,0,1,0,8.4,3230,0,97,0,0,0,4,68.4,3.46,120,1,4,0,0,0,0,19,0,12440,24,58.7,0,0,1,0,3.19,0,1,5000,0,0,1,peugot
0,114.2,1,198.9,0,0,0,0,21.0,3430,0,95,0,0,0,4,68.4,3.7,152,1,4,0,0,0,0,25,0,13860,25,58.7,1,0,0,0,3.52,0,1,4150,0,0,1,peugot
0,107.9,0,186.7,0,0,1,0,8.4,3075,0,95,0,0,0,4,68.4,3.46,120,1,4,0,0,0,1,19,0,15580,24,56.7,0,0,1,0,2.19,0,0,5000,0,0,1,peugot
0,107.9,1,186.7,0,0,0,0,21.0,3252,0,95,0,0,0,4,68.4,3.7,152,1,4,0,0,0,1,28,0,16900,33,56.7,1,0,0,0,3.52,0,0,4150,0,0,1,peugot
0,114.2,0,198.9,0,0,1,0,8.4,3285,0,95,0,0,0,4,68.4,3.46,120,1,4,0,0,0,0,19,0,16695,24,56.7,0,0,1,0,2.19,0,1,5000,0,0,1,peugot
0,114.2,1,198.9,0,0,0,0,21.0,3485,0,95,0,0,0,4,68.4,3.7,152,1,4,0,0,0,0,25,0,17075,25,58.7,1,0,0,0,3.52,0,1,4150,0,0,1,peugot
0,107.9,0,186.7,0,0,1,0,8.4,3075,0,97,0,0,0,4,68.4,3.46,120,1,4,0,0,0,1,19,0,16630,24,56.7,0,0,1,0,3.19,0,0,5000,0,0,1,peugot
0,107.9,1,186.7,0,0,0,0,21.0,3252,0,95,0,0,0,4,68.4,3.7,152,1,4,0,0,0,1,28,0,17950,33,56.7,1,0,0,0,3.52,0,0,4150,0,0,1,peugot
0,108.0,1,186.7,0,0,1,0,7.0,3130,0,142,0,0,0,4,68.3,3.61,134,1,4,0,0,0,1,18,0,18150,24,56.0,0,0,1,0,3.21,0,0,5600,0,0,1,peugot
1,93.7,0,157.3,0,0,0,0,9.4,1918,0,68,1,0,0,2,63.8,2.97,90,0,4,0,1,0,0,37,1,5572,41,50.8,0,0,1,1,3.23,0,0,5500,0,0,0,plymouth
1,93.7,1,157.3,1,0,0,0,7.6,2128,0,102,1,0,0,2,63.8,3.03,98,0,4,0,1,0,0,24,0,7957,30,50.8,0,0,1,1,3.39,0,0,5500,0,0,0,plymouth
1,93.7,0,157.3,0,0,0,0,9.4,1967,0,68,1,0,0,4,63.8,2.97,90,0,4,0,1,0,0,31,1,6229,38,50.6,0,0,1,1,3.23,0,0,5500,0,0,0,plymouth
1,93.7,0,167.3,0,0,0,0,9.4,1989,0,68,0,0,0,4,63.8,2.97,90,0,4,0,1,0,1,31,1,6692,38,50.8,0,0,1,1,3.23,0,0,5500,0,0,0,plymouth
1,93.7,0,167.3,0,0,0,0,9.4,2191,0,68,0,0,0,4,63.8,2.97,98,0,4,0,1,0,1,31,1,7609,38,50.8,0,0,1,1,3.23,0,0,5500,0,0,0,plymouth
1,103.3,0,174.6,0,0,0,0,8.5,2535,0,88,0,0,0,4,64.6,3.35,122,0,4,0,1,0,0,24,1,8921,30,59.8,0,0,1,-1,3.46,0,1,5000,0,0,0,plymouth
0,95.9,1,173.2,1,0,0,0,7.0,2818,0,145,1,0,0,2,66.3,3.59,156,1,4,0,1,0,0,19,0,12764,24,50.2,0,0,1,3,3.86,0,0,5000,0,0,0,plymouth
0,94.5,0,168.9,0,0,1,0,9.5,2778,0,143,1,0,0,2,68.3,3.94,151,1,4,0,1,0,0,19,0,22018,27,50.2,0,0,1,3,3.11,0,0,5500,0,0,0,porsche
0,89.5,0,168.9,0,0,1,0,9.5,2756,0,207,0,1,0,2,65.0,3.74,194,1,6,0,0,0,0,17,0,32528,25,51.6,0,0,1,3,2.9,1,0,5900,0,1,0,porsche
0,89.5,0,168.9,0,0,1,0,9.5,2756,0,207,0,1,0,2,65.0,3.74,194,1,6,0,0,0,0,17,0,34028,25,51.6,0,0,1,3,2.9,1,0,5900,0,1,0,porsche
0,89.5,0,168.9,0,0,1,0,9.5,2800,0,207,0,0,0,2,65.0,3.74,194,1,6,0,0,0,0,17,0,37028,25,51.6,0,1,1,3,2.9,1,0,5900,0,1,0,porsche
0,98.4,0,175.7,0,0,1,0,10.0,3366,1,288,1,0,0,2,72.3,3.94,203,1,8,0,0,0,0,17,0,39000,28,50.5,0,0,1,1,3.11,0,0,5750,0,0,0,porsche
1,99.1,0,186.6,0,0,1,0,9.31,2658,0,110,1,0,0,2,66.5,3.54,121,0,4,0,1,0,0,21,0,11850,28,56.1,0,0,1,3,3.07,0,0,5250,0,0,0,saab
1,99.1,0,186.6,0,0,1,0,9.3,2695,0,110,0,0,0,4,66.5,3.54,121,0,4,0,1,0,1,21,0,12170,28,56.1,0,0,1,2,3.07,0,0,5250,0,0,0,saab
1,99.1,0,186.6,0,0,1,0,9.3,2707,0,110,1,0,0,2,66.5,2.54,121,0,4,0,1,0,0,21,0,15040,28,56.1,0,0,1,3,2.07,0,0,5250,0,0,0,saab
