curb-weight,peak-rpm,price,num-of-cylinders,stroke,bore,num-of-doors,fuel-type,engine-type_ohc,drive-wheels_fwd,fuel-system_2bbl,body-style_sedan,fuel-system_mpfi,drive-wheels_rwd,aspiration,fuel-system_spdi,fuel-system_idi,engine-type_l,body-style_convertible,fuel-system_spfi,engine-location,engine-type_dohcv,fuel-system_mfi,engine-type_dohc,engine-type_ohcv,body-style_hardtop,drive-wheels_4wd,engine-type_ohcf,body-style_wagon,fuel-system_1bbl,body-style_hatchback,symboling,compression-ratio,city-mpg,highway-mpg,horsepower,length,engine-size,wheel-base,width,height,make
2535,5000,8921,4,3.46,3.34,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,8.5,24,30,88,174.6,122,103.3,64.6,59.8,dodge
2811,5000,12964,4,3.9,3.6,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,7.0,19,24,145,173.2,156,95.9,66.3,50.2,dodge
1713,4800,6479,4,3.41,2.91,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,9.6,49,54,58,144.6,92,86.6,63.9,50.8,honda
1819,6000,6855,4,3.41,2.91,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,9.2,31,38,76,144.6,92,86.6,63.9,50.8,honda
1837,5500,5399,4,3.07,2.91,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10.1,38,42,60,150.0,79,93.7,64.0,52.6,honda
1940,6000,6529,4,3.41,2.91,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9.2,30,34,76,150.0,92,93.7,64.0,52.6,honda
1956,6000,7129,4,3.41,2.91,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9.2,30,34,76,150.0,92,93.7,64.0,52.6,honda
2010,6000,7295,4,3.41,2.91,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.2,30,34,76,163.4,92,96.5,64.0,54.5,honda
2024,6000,7295,4,3.41,2.92,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9.2,30,34,76,157.1,92,96.5,63.9,58.3,honda
2236,5800,7895,4,3.58,3.15,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9.0,27,33,86,167.5,110,96.5,65.2,53.3,honda
2289,5800,9095,4,3.58,3.15,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9.0,27,33,86,167.5,110,96.5,65.2,53.3,honda
2304,5800,8845,4,3.58,3.15,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0,27,33,86,175.4,110,96.5,65.2,54.1,honda
2372,5800,10295,4,3.58,3.15,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0,27,33,86,175.4,110,96.5,62.5,54.1,honda
2465,5800,12945,4,3.58,3.15,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,24,28,101,175.4,110,96.5,65.2,54.1,honda
2293,5500,10345,4,3.58,3.15,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.1,25,31,100,169.1,110,96.5,66.0,51.0,honda
2337,4800,6785,4,3.23,3.31,4,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,24,29,78,170.7,111,94.3,61.8,53.5,isuzu
1874,5400,8000,4,3.11,3.03,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.6,38,43,70,155.9,90,94.5,63.6,52.0,isuzu
1909,5400,9000,4,3.11,3.03,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,38,43,70,155.9,90,94.5,63.6,52.0,isuzu
2734,5000,11048,4,3.23,3.43,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,9.2,24,29,90,172.6,119,96.0,65.2,51.4,isuzu
4066,4750,32250,6,4.17,3.63,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.1,15,19,176,199.6,258,113.0,69.6,52.8,jaguar
4066,4750,35550,6,4.17,3.63,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.1,15,19,176,199.6,258,113.0,69.6,52.8,jaguar
3950,5000,36000,12,2.76,3.54,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.5,13,17,262,191.7,326,102.0,70.6,47.8,jaguar
1890,5000,5195,4,3.15,3.03,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.0,30,31,68,159.1,91,93.1,64.2,54.1,mazda
1900,5000,6095,4,3.15,3.03,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.0,31,38,68,159.1,91,93.1,64.2,54.1,mazda
1905,5000,6795,4,3.15,3.03,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.0,31,38,68,159.1,91,93.1,64.2,54.1,mazda
1945,5000,6695,4,3.15,3.03,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,31,38,68,166.8,91,93.1,64.2,54.1,mazda
1950,5000,7395,4,3.15,3.08,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,31,38,68,166.8,91,93.1,64.2,54.1,mazda
2385,4800,8845,4,3.39,3.39,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.6,26,32,84,177.8,122,98.8,66.5,53.7,mazda
2410,4800,8495,4,3.39,3.39,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,26,32,84,177.8,122,98.8,66.5,55.5,mazda
2385,4800,10595,4,3.39,3.39,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.6,26,32,84,177.8,122,98.8,66.5,53.7,mazda
2410,4800,10245,4,3.39,3.39,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,26,32,84,177.8,122,98.8,66.5,55.5,mazda
2443,4650,10795,4,3.39,3.39,4,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7,36,42,64,177.8,122,98.8,66.5,55.5,mazda
2425,4800,11245,4,3.39,3.39,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.6,26,32,84,177.8,122,98.8,66.5,55.5,mazda
2670,5000,18280,4,3.16,3.76,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,19,27,120,175.0,140,104.9,66.1,54.4,mazda
2700,4200,18344,4,3.64,3.43,4,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,31,39,72,175.0,134,104.9,66.1,54.4,mazda
3515,4350,25552,5,3.64,3.58,4,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,21.5,22,25,123,190.9,183,110.0,70.3,56.5,mercedes-benz
3750,4350,28248,5,3.64,3.58,4,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,21.5,22,25,123,190.9,183,110.0,70.3,58.7,mercedes-benz
3495,4350,28176,5,3.64,3.58,2,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21.5,22,25,123,187.5,183,106.7,70.3,54.9,mercedes-benz
3770,4350,31600,5,3.64,3.58,4,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,21.5,22,25,123,202.6,183,115.6,71.7,56.3,mercedes-benz
3740,4750,34184,8,3.1,3.46,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,8.3,16,18,155,202.6,234,115.6,71.7,56.5,mercedes-benz
3685,4750,35056,8,3.1,3.46,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,8.3,16,18,155,180.3,234,96.6,70.5,50.8,mercedes-benz
3900,4500,40960,8,3.35,3.8,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.0,14,16,184,208.1,308,120.9,71.7,56.7,mercedes-benz
3715,4500,45400,8,3.35,3.8,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,8.0,14,16,184,199.2,304,112.0,72.0,55.4,mercedes-benz
2910,5000,16503,4,3.12,3.78,2,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.0,19,24,175,178.4,140,102.7,68.0,54.8,mercury
1918,5500,5389,4,3.23,2.97,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9.4,37,41,68,157.3,92,93.7,64.4,50.8,mitsubishi
1944,5500,6189,4,3.23,2.97,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9.4,31,38,68,157.3,92,93.7,64.4,50.8,mitsubishi
2004,5500,6669,4,3.23,2.97,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9.4,31,38,68,157.3,92,93.7,64.4,50.8,mitsubishi
2145,5500,7689,4,3.39,3.03,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.6,24,30,102,157.3,98,93.0,63.8,50.8,mitsubishi
2370,5500,9959,4,3.46,3.17,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7.5,23,30,116,173.0,110,96.3,65.4,49.4,mitsubishi
2328,5000,8499,4,3.46,3.35,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8.5,25,32,88,173.0,122,96.3,65.4,49.4,mitsubishi
2833,5000,12629,4,3.86,3.58,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7.0,19,24,145,173.2,156,95.9,66.3,50.2,mitsubishi
2921,5000,14869,4,3.86,3.59,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7.0,19,24,145,173.2,156,95.9,66.3,50.2,mitsubishi
2926,5000,14489,4,3.86,3.59,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7.0,19,24,145,173.2,156,95.9,66.3,50.2,mitsubishi
2365,5000,6989,4,3.46,3.35,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.5,25,32,88,172.4,122,96.3,65.4,51.6,mitsubishi
2405,5000,8189,4,3.46,3.35,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.5,25,32,88,172.4,122,96.3,65.4,51.6,mitsubishi
2403,5500,9279,4,3.46,3.17,4,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.5,23,30,116,172.4,110,96.3,65.4,51.6,mitsubishi
2403,5500,9279,4,3.46,3.17,4,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,7.5,23,30,116,172.4,110,96.3,65.4,51.6,mitsubishi
1889,5200,5499,4,3.29,3.15,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.4,31,37,69,165.3,97,94.5,63.8,54.5,nissan
2017,4800,7099,4,3.47,2.99,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.9,45,50,55,165.3,103,94.5,63.8,54.5,nissan
1918,5200,6649,4,3.29,3.15,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.4,31,37,69,165.3,97,94.5,63.8,54.5,nissan
1938,5200,6849,4,3.29,3.15,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.4,31,37,69,165.3,97,94.5,63.8,54.5,nissan
2024,5200,7349,4,3.29,3.15,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9.4,31,37,69,170.2,97,94.5,63.8,53.5,nissan
1951,5200,7299,4,3.29,3.15,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.4,31,37,69,165.3,97,94.5,63.8,54.5,nissan
2028,5200,7799,4,3.29,3.15,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.4,31,37,69,165.6,97,94.5,63.8,53.3,nissan
1971,5200,7499,4,3.29,3.15,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.4,31,37,69,165.3,97,94.5,63.8,54.5,nissan
2037,5200,7999,4,3.29,3.15,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9.4,31,37,69,170.2,97,94.5,63.8,53.5,nissan
2008,5200,8249,4,3.29,3.15,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,9.4,31,37,69,162.4,97,95.1,63.8,53.3,nissan
2324,5200,8949,4,3.47,3.33,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.5,27,34,97,173.4,120,97.2,65.2,54.7,nissan
2302,5200,9549,4,3.47,3.33,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,27,34,97,173.4,120,97.2,65.2,54.7,nissan
3095,5200,13499,6,3.27,3.43,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.0,17,22,152,181.7,181,100.4,66.5,55.1,nissan
3296,5200,14399,6,3.27,3.43,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9.0,17,22,152,184.6,181,100.4,66.5,56.1,nissan
3060,5200,13499,6,3.27,3.43,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.0,19,25,152,184.6,181,100.4,66.5,55.1,nissan
3071,5200,17199,6,3.27,3.43,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,9.0,19,25,160,170.7,181,91.3,67.9,49.7,nissan
3139,5200,19699,6,3.27,3.43,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,7.8,17,23,200,170.7,181,91.3,67.9,49.7,nissan
3139,5200,18399,6,3.27,3.43,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,9.0,19,25,160,178.5,181,99.2,67.9,49.7,nissan
3020,5000,11900,4,3.19,3.46,4,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,19,24,97,186.7,120,107.9,68.4,56.7,peugot
3197,4150,13200,4,3.52,3.7,4,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,28,33,95,186.7,152,107.9,68.4,56.7,peugot
3230,5000,12440,4,3.19,3.46,4,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.4,19,24,97,198.9,120,114.2,68.4,58.7,peugot
3430,4150,13860,4,3.52,3.7,4,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.0,25,25,95,198.9,152,114.2,68.4,58.7,peugot
3075,5000,15580,4,2.19,3.46,4,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,19,24,95,186.7,120,107.9,68.4,56.7,peugot
3252,4150,16900,4,3.52,3.7,4,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,28,33,95,186.7,152,107.9,68.4,56.7,peugot
3285,5000,16695,4,2.19,3.46,4,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.4,19,24,95,198.9,120,114.2,68.4,56.7,peugot
3485,4150,17075,4,3.52,3.7,4,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.0,25,25,95,198.9,152,114.2,68.4,58.7,peugot
3075,5000,16630,4,3.19,3.46,4,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,19,24,97,186.7,120,107.9,68.4,56.7,peugot
3252,4150,17950,4,3.52,3.7,4,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,28,33,95,186.7,152,107.9,68.4,56.7,peugot
3130,5600,18150,4,3.21,3.61,4,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,18,24,142,186.7,134,108.0,68.3,56.0,peugot
1918,5500,5572,4,3.23,2.97,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.4,37,41,68,157.3,90,93.7,63.8,50.8,plymouth
2128,5500,7957,4,3.39,3.03,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.6,24,30,102,157.3,98,93.7,63.8,50.8,plymouth
1967,5500,6229,4,3.23,2.97,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.4,31,38,68,157.3,90,93.7,63.8,50.6,plymouth
1989,5500,6692,4,3.23,2.97,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.4,31,38,68,167.3,90,93.7,63.8,50.8,plymouth
2191,5500,7609,4,3.23,2.97,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.4,31,38,68,167.3,98,93.7,63.8,50.8,plymouth
2535,5000,8921,4,3.46,3.35,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,8.5,24,30,88,174.6,122,103.3,64.6,59.8,plymouth
2818,5000,12764,4,3.86,3.59,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7.0,19,24,145,173.2,156,95.9,66.3,50.2,plymouth
2778,5500,22018,4,3.11,3.94,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9.5,19,27,143,168.9,151,94.5,68.3,50.2,porsche
2756,5900,32528,6,2.9,3.74,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,9.5,17,25,207,168.9,194,89.5,65.0,51.6,porsche
2756,5900,34028,6,2.9,3.74,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,9.5,17,25,207,168.9,194,89.5,65.0,51.6,porsche
2800,5900,37028,6,2.9,3.74,2,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3,9.5,17,25,207,168.9,194,89.5,65.0,51.6,porsche
3366,5750,39000,8,3.11,3.94,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,10.0,17,28,288,175.7,203,98.4,72.3,50.5,porsche
2658,5250,11850,4,3.07,3.54,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9.31,21,28,110,186.6,121,99.1,66.5,56.1,saab
2695,5250,12170,4,3.07,3.54,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9.3,21,28,110,186.6,121,99.1,66.5,56.1,saab
2707,5250,15040,4,2.07,2.54,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9.3,21,28,110,186.6,121,99.1,66.5,56.1,saab
